	"107.heat shock 10 min"	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"120.w303a vs w303a fkh1 fkh2"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"830.1.5 mM diamide (10 min)"	"831.1.5 mM diamide (20 min)"	"1009.YPD 2 h (25C)"	"1010.YPD 4 h (25C)"	"1011.YPD 8 h (25C)"	"2966.WT vs Lpz8 null cells in high Cu-repeat"	"3020.WT vs lpz8 null cells in high Cu"	"4047.0.8M NaCl +FK506 - 15 min"	"4048.0.8M NaCl +FK506 - 30 min"	"5357.1.5 mM diamide (5 min)"	"7758.Na 15min"	"7759.Na 30min"	"7760.Na 45min"	"7761.Na 60min"	"7762.Na+FK 15min"	"7763.Na+FK 30min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"12744.heat shock 17 to 37, 20 minutes"	"13072.Ca/Ca+FK 30min (1)"	"13133.Ca/Ca+FK 30min (2)"	"17472.Ca+FK 15min (5)"	"17676.Na+FK 45min (4)"	"17677.Na+FK 60min (4)"	"32251.DBY8778_heat_shock2_5min"	"32254.DBY8778_heat_shock2_30min"	"32255.DBY8778_heat_shock2_60min"	"33779.delYPL230w_stationary_phase_5hours"	"38150.03II01 batch p6"
"YNL002C"	-3.547	-4.666	-4.07	-0.082	-3.305	-4.559	-4.222	-1.685	-2.627	0.092	-0.436	-1.816	-0.227	-0.191	-0.242	-1.603	-0.77	0.132	-1.398	-2.774	-1.803	-0.21	-1.355	-2.843	-2.776	-4.603	0.621	0.43	-2.639	-3.349	-3.183	-3.249	-2.594	-1.228	-4.466	-0.065
"YNL062C"	-2.043	-3.459	-2.934	-0.649	-2.143	-3.093	-2.844	-1.303	-1.917	-0.33	-0.502	-1.085	-0.362	-0.452	0.099	-1.123	-0.664	0.178	-0.856	-1.772	-1.297	0.028	-0.904	-1.751	-1.657	-2.71	0.409	0.152	-2.052	-1.603	-1.653	-3.32	-2.584	-1.365	-2.838	-0.116
"YNL075W"	-2.664	-3.86	-3.164	0.075	-2.558	-3.304	-2.768	-1.244	-2.078	0.062	-0.301	-1.158	-0.037	-0.027	-0.002	-1.057	-0.762	0.066	-1.037	-1.85	-1.445	0.285	-0.405	-1.521	-1.884	-3.301	0.398	0.491	-2.144	-2.146	-1.758	-3.326	-2.361	-1.615	-3.779	-0.33
"YNL110C"	-3.468	-4.43	-3.64	-0.073	-3.768	-4.56	-4.991	-2.042	-2.66	-0.249	-0.944	-2.129	-0.456	-0.665	-0.822	-2.56	-1.078	-0.501	-2.395	-3.662	-2.623	-0.488	-2.07	-3.62	-3.346	-5.064	0.65	0.594	-2.701	-4.105	-2.816	-4.233	-3.471	-1.921	-4.747	0.138
"YNL151C"	-1.51	-2.707	-2.055	-0.224	-2.682	-2.835	-2.667	-0.683	-1.236	-0.125	-0.133	-0.494	-0.333	-0.533	0.055	-1.333	-0.395	0.404	-1.069	-1.545	-0.912	0.056	-0.942	-1.41	-1.578	-3.201	0.739	0.564	-1.749	-1.792	-1.429	-2.213	-1.745	-1.203	-3.425	-0.206
"YNL248C"	-4.024	-4.791	-4.315	-0.213	-3.398	-4.455	-4.373	-1.354	-2.425	-0.131	-0.294	-1.612	-0.045	-0.373	-0.618	-2.721	-0.551	-0.677	-2.371	-2.958	-1.972	-0.539	-1.687	-2.005	-1.857	-4.868	0.584	0.481	-1.293	-2.931	-1.58	-3.442	-2.886	-1.415	-6.193	-0.16
"YNR003C"	-1.515	-2.607	-2.109	-0.259	-2.322	-0.339	-2.07	-0.903	-1.731	-0.181	-0.321	-2.327	0.069	0.149	-0.061	-1.163	-0.556	-0.209	-1.176	-2.262	-2.06	0.088	-0.96	-2.032	-2.168	-2.321	0.095	-0.376	-1.341	-2.276	-1.474	-2.305	-2.475	-1.049	-3.32	0.212
"YNR054C"	-2.316	-3.072	-1.849	-0.087	-2.561	-3.745	-2.256	-1.437	-1.723	-0.043	-0.108	-0.816	-0.508	-0.324	0.076	-1.121	-0.702	0.389	-0.734	-1.675	-0.914	0.286	-0.496	-1.531	-1.814	-3.271	0.194	0.293	-2.393	-2.343	-1.678	-2.435	-1.802	-0.633	-2.609	-0.798
"YOL022C"	-1.069	-2.578	-2.43	0.225	-2.344	-2.29	-2.301	-0.833	-1.744	0.011	-0.307	-1.09	-0.209	0.054	-0.295	-1.272	-0.424	-0.213	-1.385	-1.85	-1.697	0.233	-0.948	-1.957	-4.728	-2.13	0.127	0.174	-0.616	-1.84	-1.157	-1.956	-2.184	-0.959	-2.775	-0.102
"YOL077C"	-4.404	-5.439	-5.04	-0.052	-4.336	-5.22	-4.28	-1.244	-2.83	0.172	-0.535	-1.689	-0.135	-0.169	-0.461	-2.206	-0.349	-0.273	-2.121	-3.287	-2.054	-0.44	-2.035	-3.032	-2.96	-4.7	0.988	0.787	-3.209	-3.568	-2.005	-4.174	-3.866	-1.991	-5.145	-0.305
"YOR078W"	-1.712	-2.451	-1.56	-0.22	-1.619	-2.067	-1.907	-1.215	-1.545	-0.341	-0.493	-1.38	-0.549	-0.501	-0.405	-0.667	-0.775	0.031	-0.852	-1.183	-0.811	0.123	-0.28	-0.62	-0.948	-2.101	0.473	0.695	-2.279	-0.956	-1.523	-2.387	-1.966	-0.78	-3.288	-0.327
"YOR146W"	-2.407	-3.231	-2.681	-0.183	-3.597	-3.42	-3.036	-1.51	-2.093	-0.005	-0.029	-0.259	-0.076	-0.133	0.01	-2.119	-0.755	-0.115	-1.605	-2.933	-1.348	0.028	-1.656	-2.496	-2.291	-4.259	0.764	0.496	-2.747	-3.316	-1.828	-2.045	-1.898	-0.755	-2.731	-0.473
"YOR243C"	-3.173	-3.594	-3.234	-0.468	-2.436	-3.633	-3.982	-1.209	-1.985	-0.145	-0.28	-0.858	-0.075	-0.193	-0.892	-2.009	-0.703	-0.574	-1.837	-1.872	-1.457	-0.461	-1.498	-1.652	-1.335	-4.099	-0.182	0.028	-1.028	-1.855	-1.007	-2.442	-1.727	-1.002	-2.825	-0.851
"YOR285W"	2.196	2.249	1.793	0.38	1.979	2.258	2.284	1.568	-1.0	0.183	0.448	1.531	0.03	0.064	0.547	1.369	0.687	0.304	0.611	1.245	1.281	-0.2	0.814	1.162	1.176	2.865	0.2	0.458	1.587	1.106	1.5	2.766	1.785	1.229	2.663	-0.034
"YPL043W"	-2.829	-4.246	-4.0	0.409	-3.773	-4.198	-4.087	-2.268	-2.529	-0.44	-0.706	-1.689	-0.711	-0.608	-0.782	-2.31	-1.497	-0.813	-2.339	-2.772	-2.128	-0.93	-1.506	-2.207	-2.26	-4.555	0.246	0.509	-2.009	-2.192	-2.094	-4.18	-2.531	-1.874	-4.308	-1.016
"YPL146C"	-2.261	-3.196	-2.458	1.1455	-2.143	-3.003	-3.135	-1.669	-2.267	-0.001	-0.515	-1.703	-0.39	-0.604	-0.158	-0.699	-1.309	0.308	-0.68	-1.278	-0.965	0.056	-0.374	-1.027	-1.125	-3.416	0.001	0.308	-1.09	-1.298	-1.492	-3.452	-1.919	-1.174	-2.955	-0.214
"YPL160W"	-1.727	-1.6415	-1.5095	0.812	-1.541	-1.989	-2.429	-0.528666666666667	-0.818	0.111	0.2095	0.0035	0.371	0.307	-0.023	-0.9745	0.0143333333333333	0.1315	-0.7945	-1.523	-1.1165	0.5065	-0.4035	-0.682	-0.496	-2.203	-0.1965	-0.2565	-1.3465	-1.4455	-0.739	-1.232	-1.333	-0.776	-3.512	-0.4335
"YPL226W"	-3.629	-3.457	-3.002	0.43	-2.4945	-3.229	-4.183	-1.34366666666667	-1.99	-0.0175	0.078	0.0045	-0.24	-0.0935	-0.2215	-1.5835	-0.372666666666667	-0.087	-0.891	-1.907	-1.6065	-0.297	-1.068	-1.3845	-1.3565	-3.215	0.5835	0.139	-1.95	-2.47	-1.5745	-2.55	-2.041	-1.164	-3.811	0.546
"YPR144C"	-1.792	-4.441	-4.211	0.7515	-2.783	-3.783	-3.366	-1.765	-2.554	-0.033	-0.094	-1.469	-0.338	-0.097	0.136	-1.173	-0.8075	0.416	-0.532	-1.376	-0.956	-0.099	-0.697	-1.438	-1.474	-4.107	-0.028	0.131	-1.711	-1.811	-1.181	-3.581	-2.381	-1.442	-3.937	-0.199
