	"686.YP ethanol vs reference pool"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"865.Amino acid + adenine starvation 6 h"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"984.MHY1 (crt1) vs. CRY1 (wild type) - log phase"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1108.DY zap1 3 mM vs. 10 uM zinc #2"	"6344.DES460 + 0.02% MMS - 5 min"	"8227.dtt 000 min"	"8229.dtt 030 min"	"8233.dtt 120 min"	"8287.mcm1-1 + pRS315 vs. mcm1-1 + pRS-MCM7"	"11466.yO1 test hyb"	"13059.wt/crz1 Na 45min (1)"	"13060.wt/crz1 Na 45min (2)"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"
"YIL078W"	-1.288	-2.219	-2.498	-1.911	-5.192	-6.059	0.028	-2.5	-2.462	0.137	-1.821	-2.436	-3.226	-4.41	-4.902	-4.944	-0.181	0.1345	0.344	0.475	-0.001	0.306	-2.348	0.305	0.336	-1.937	-1.453
"YIL138C"	-0.404	0.056	-0.564	-0.416	-2.433	-3.747	-0.007	-0.803	-0.493	0.081	-0.258	-1.136	-1.149	-1.524	-2.298	-1.906	0.104	-0.1275	0.424	0.124	0.355	0.114	-0.886	0.017	-0.071	-0.638	-0.286
"YJL002C"	-1.028	-1.454	-1.243	-1.658	-2.469	-4.487	-0.332	-1.766	-0.803	-0.295	-0.838	-0.942	-1.17	-1.748	-2.556	-2.618	-0.252	0.138	0.252	0.375	0.324	0.195	-1.272	0.165	0.164	-1.076	-0.934
"YJL014W"	-1.0	-1.283	-1.494	-1.383	-2.624	-3.962	-0.434	-1.425	-1.317	0.022	-1.338	-1.558	-1.58	-2.252	-3.068	-2.866	-0.171	0.1285	0.636	0.037	-0.004	0.298	-1.31	-0.03	-0.093	-1.358	-0.89
"YJL097W"	0.123	-0.584	-1.604	-2.089	-2.596	-4.683	-0.083	-0.944	-1.483	-0.138	-0.265	-1.025	-1.409	-1.461	-2.558	-2.276	0.425	0.1215	0.547	0.474	0.402	0.333	-1.401	0.128	0.155	-0.544	-1.1655
"YJL138C"	-0.635	-1.167	-1.195	-1.358	-3.125	-5.625	-0.491	-1.674	-1.959	0.46	-0.932	-1.763	-2.049	-2.542	-2.785	-3.522	-0.297	0.136	0.975	0.736	-0.314	0.527	-1.828	0.361	0.31	-1.737	-1.676
"YJL188C"	-0.164	-1.864	-1.323	-1.808	-2.786	-4.633	-0.213	-2.519	-1.879	0.891	-1.897	-1.885	-1.929	-2.169	-2.54	-2.776	0.087	0.2065	1.191	0.907	-0.913	0.587	-1.525	0.278	0.316	-1.947	-2.01
"YJR007W"	-0.919	-2.107	-1.68	-2.662	-3.21	-8.057	-0.217	-1.824	-1.91	0.087	-1.571	-1.848	-2.051	-2.909	-3.009	-3.616	-0.156	0.099	0.728	0.592	-0.062	0.103	-1.685	0.089	0.114	-2.16	-1.386
"YJR014W"	-0.134	-0.747	-1.035	-1.084	-2.399	-3.649	-0.339	-0.739	-0.484	0.237	-0.838	-0.911	-1.062	-0.993	-1.578	-1.95	0.063	-0.0505	0.296	0.566	-0.355	-0.042	NaN	0.063	0.094	-0.847	-0.97
"YJR064W"	-0.869	-2.216	-1.854	-2.589	-1.931	-4.297	-0.454	-1.978	-1.919	0.051	-1.246	-1.592	-1.762	-1.961	-2.702	-2.57	-0.321	0.09	0.617	0.452	-0.254	0.126	-1.762	0.106	0.023	-1.001	-1.435
"YJR139C"	-0.744	-1.072	-1.226	-0.736	-2.333	-4.462	0.651	-1.32	-1.529	0.029	-0.158	-0.762	-1.269	-1.914	-2.388	-2.051	0.415	0.25	0.474	0.384	0.452	0.398	-1.02	0.683	0.428	-0.553	-1.115
"YJR143C"	-0.945	-1.648	-1.487	-1.713	-4.675	-5.523	-0.49	-2.573	-3.031	-0.388	-1.08	-1.986	-2.118	-3.335	-3.698	-3.382	-0.267	0.2165	0.687	0.454	-0.089	0.398	-1.896	0.682	0.068	-1.351	-2.698
"YKL021C"	-0.97	-0.931	-1.424	-1.387	-2.503	-3.469	-0.327	-1.103	-0.873	0.194	-1.537	-1.655	-1.492	-2.25	-2.126	-2.619	-0.45	-0.271	0.687	0.268	-0.587	0.134	-1.502	-0.135	-0.31	-1.862	-1.971
"YKL056C"	-1.453	-2.355	-1.541	-1.771	-3.426	-5.119	-0.503	-2.371	-2.389	0.4	-1.669	-1.741	-2.281	-2.754	-3.265	-3.483	0.32	0.2585	0.722	0.817	-0.599	0.559	-1.777	0.932	0.736	-1.747	-2.598
"YKL080W"	-1.216	-1.941	-1.25	-1.469	-4.229	-5.94	-0.143	-1.461	-1.699	-0.018	-0.824	-1.299	-1.962	-2.874	-2.944	-2.866	0.204	0.3535	0.475	0.371	0.485	0.378	-1.244	-0.059	0.261	-1.463	-2.233
"YKL122C"	-0.008	-1.091	-1.321	-1.025	-2.027	-4.576	-0.522	-1.249	-1.64	0.065	-1.057	-1.296	-1.282	-2.178	-2.544	-2.706	-0.107	-0.149	0.622	0.453	-0.016	0.364	-0.857	0.161	0.255	-0.911	-1.112
"YKL154W"	-0.144	-1.327	-1.486	-1.312	-2.701	-3.89	-0.045	-1.136	-0.702	0.345	-1.194	-1.477	-1.447	-1.765	-2.132	-2.222	-0.209	0.075	0.58	0.349	-0.413	0.144	-1.175	-0.253	-0.414	-2.137	-1.102
"YKL212W"	-0.313	-0.845	-1.247	-1.079	-3.014	-4.806	0.198	-1.651	-1.64	-0.031	-0.736	-1.656	-1.598	-2.516	-2.929	-3.374	-0.195	-0.31	0.35	0.326	0.549	-0.029	-1.089	-1.225	-1.283	-1.607	-1.839
"YKR026C"	-0.5	-2.212	-1.705	-1.843	-2.863	-3.755	-0.251	-1.657	-1.681	0.283	-1.296	-1.369	-1.003	-1.858	-2.363	-2.231	-0.045	-0.063	0.181	0.489	-0.262	0.226	-0.604	0.038	-0.043	-1.851	-0.708
"YKR028W"	0.0	-1.198	-0.742	-1.164	-2.477	-4.381	-0.472	-0.908	-1.519	-0.112	-0.41	-0.672	-0.248	-1.296	-1.963	-2.574	-0.28	0.554	-0.071	0.093	-0.243	-0.007	-0.184	-0.267	-0.237	-1.227	-0.691
"YKR042W"	0.203	-1.699	-2.313	-1.69	-1.538	-3.497	-0.138	-1.645	-1.869	-0.38	-1.402	-1.735	-1.634	-1.958	-2.729	-2.548	0.315	NaN	0.151	-0.242	0.681	0.019	-2.232	0.172	0.064	-0.857	-1.038
"YKR059W"	-0.733	-1.181	-1.543	-1.54	-2.817	-4.998	-0.336	-2.531	-2.238	0.328	-1.043	-1.844	-2.106	-2.623	-2.96	-3.568	-0.03	-0.226	1.021	0.774	-0.184	0.514	-1.996	0.059	0.224	-2.0	-2.698
"YLL024C"	-1.779	-2.373	-1.683	-1.16	-2.574	-5.009	-0.397	-1.621	-1.443	-0.367	-0.942	-0.684	-0.85	-2.804	-3.024	-3.122	0.948	0.369	0.609	0.558	-0.385	0.226	-2.009	0.616	0.336	-1.424	-1.63
"YLR002C"	-0.899	-1.352	-1.168	-0.99	-3.154	-4.959	-0.467	-1.157	-1.015	0.234	-1.603	-1.661	-1.599	-2.578	-3.265	-3.45	-0.935	-0.324	0.835	-0.058	-0.942	0.054	0.135	-0.231	-0.439	-1.445	-0.718
"YLR045C"	0.263	-0.605	-1.363	-0.299	-1.804	-2.728	-0.013	-1.052	-0.794	-0.143	-0.724	-1.092	-1.01	-1.829	-1.751	-2.74	-0.111	0.04	0.122	0.167	-0.303	0.175	-0.728	0.53	0.506	-1.334	-0.48
"YLR060W"	-1.157	-2.296	-2.499	-2.849	-4.941	-5.967	-0.401	-2.672	-2.566	0.317	-1.546	-2.397	-2.667	-3.118	-3.713	-4.371	0.136	0.076	0.663	0.317	-0.11	0.376	-2.464	-0.058	-0.301	-2.666	-3.346
"YLR100W"	-0.548	-0.795	-1.172	-1.003	-2.507	-4.853	0.252	-1.268	-1.167	0.147	-0.746	-1.184	-1.09	-1.855	-2.159	-2.128	0.103	0.113	0.282	0.14	0.624	0.087	-1.441	0.155	0.225	-1.533	-1.332
"YLR101C"	-0.598	-0.823	-1.233	-1.344	-2.239	-3.161	0.462	-0.811	-1.629	-0.005	-1.115	-1.073	-1.203	-1.911	-2.069	-2.518	0.433	-0.041	-0.159	0.081	0.787	0.176	-1.499	0.014	0.198	-1.166	-1.408
"YLR196W"	-0.842	-2.049	-1.898	-2.276	-4.437	-5.836	-0.725	-1.799	-1.477	0.242	-2.182	-2.66	-2.604	-3.933	-4.664	-4.392	-0.824	-0.191	0.766	0.147	-1.306	0.096	-1.216	-0.422	-0.316	-2.83	-2.265
"YLR208W"	-0.592	-0.814	-1.266	NaN	-1.968	-4.432	0.141	-1.568	-2.018	-0.186	-1.003	-1.454	-1.248	-1.898	-2.183	-2.499	-0.087	0.063	-0.059	0.456	0.638	0.076	-1.044	0.101	0.045	-0.841	-1.229
"YLR210W"	-0.358	-0.61	-1.529	0.949	-1.644	-4.137	-0.072	0.103	-0.937	0.093	-0.844	-1.246	-1.41	-1.551	-1.527	-1.71	-0.419	0.203	0.055	-0.308	-0.09	-0.059	-0.458	0.395	0.182	-0.792	-1.564
"YLR243W"	-0.234	-2.004	-1.307	-2.063	-1.955	-3.657	-0.255	-1.501	-1.433	0.057	-1.292	-1.413	-1.404	-1.542	-2.373	-1.983	0.069	-0.118	0.111	0.36	-0.195	0.013	-0.503	-0.051	0.021	-1.993	-0.687
"YLR291C"	-0.737	-1.83	-1.482	-1.792	-3.037	-4.762	-0.365	-1.104	-2.027	0.143	-1.21	-1.186	-1.283	-1.783	-2.216	-2.363	-0.426	-0.027	0.603	0.359	-0.104	0.029	-1.532	-0.005	-0.067	-1.747	-1.054
"YLR292C"	-0.336	-0.829	-0.855	-0.297	-1.605	-3.717	0.278	-0.893	-0.887	0.318	-1.411	-1.241	-0.63	-1.388	-1.751	-1.71	0.017	-0.076	0.116	0.455	0.473	0.095	-0.984	-0.049	-0.06	-1.098	-0.445
"YLR293C"	-1.282	-2.565	-2.207	-2.675	-3.488	-6.281	-0.248	-2.233	-2.661	0.117	-1.576	-1.45	-2.158	-2.379	-3.03	-3.186	0.069	0.168	0.637	0.595	0.078	-0.145	-2.235	0.406	0.387	-2.525	-2.582
"YLR314C"	-0.501	-0.859	-1.783	-1.658	-2.218	-5.585	0.173	-1.368	-1.023	-0.141	-1.702	-2.505	-2.761	-2.906	-3.447	-3.937	-0.219	0.203	-0.047	0.194	0.208	-0.065	-1.17	0.068	-0.065	-1.957	-1.259
"YLR388W"	-0.744	-1.926	-1.98	-1.738	-3.596	-5.506	-0.568	-2.742	-2.362	0.583	-2.079	-2.671	-2.555	-2.232	-2.581	-3.193	0.34	0.371	1.302	0.822	-0.913	0.337	-2.034	0.131	0.25	-2.798	-2.864
"YLR412W"	-0.312	-0.826	-0.63	-0.444	-1.827	-4.156	0.155	-0.501	-0.828	-0.036	-0.928	-0.892	-0.742	-0.959	-1.335	-2.231	0.199	-0.079	0.038	-0.007	-0.047	0.152	-0.856	-0.171	-0.013	-1.09	-0.712
"YLR432W"	-1.179	-1.536	-1.818	-2.129	-3.532	-5.65	-0.227	-3.15	-3.001	0.165	-0.9	-1.997	-2.641	-1.934	-2.482	-3.034	-0.302	0.104	0.935	0.432	0.122	0.88	-1.904	-0.403	-0.258	-3.179	-3.367
"YML031W"	-0.551	-0.794	-1.017	-1.313	-3.731	-3.953	NaN	-1.039	-1.611	-0.272	-0.824	-1.039	-1.033	-1.68	-1.828	-2.276	-0.412	-0.114	0.347	0.348	-0.185	-0.011	-0.533	-0.114	0.109	-1.245	-2.0
"YML038C"	-0.287	-0.937	-0.344	-0.642	-2.091	-2.385	-0.126	-0.647	-0.712	-0.085	-0.698	-0.403	-0.835	-1.905	-1.837	-2.117	0.097	-0.022	0.108	-0.331	0.179	0.268	-0.359	-0.161	-0.423	-1.158	-1.275
"YML073C"	-0.935	-2.182	-1.884	-2.135	-3.862	-6.033	-0.641	-3.087	-2.501	0.594	-2.471	-2.561	-2.549	-2.401	-2.624	-3.718	-0.026	-0.28	1.37	0.837	-0.892	0.311	-1.975	0.014	0.036	-3.737	-2.901
"YML074C"	-0.67	-1.538	-0.951	-2.161	-2.837	-5.319	-0.414	-1.664	-0.962	0.186	-0.727	-1.207	-1.673	-2.826	-3.214	-3.466	0.163	0.124	0.037	-0.056	0.221	-0.129	-1.767	-0.205	-0.106	-1.494	-1.561
"YMR017W"	0.436	0.807	1.684	0.271	2.858	4.246	-1.224	1.603	0.243	0.0	0.017	0.619	1.867	2.08	2.127	2.376	-0.208	-0.528	-0.585	-0.848	-0.476	0.084	-0.577	-0.072	-0.059	-1.129	0.596
"YMR033W"	-0.608	-1.084	-1.434	-1.22	-3.063	-4.454	-0.245	-1.514	-1.984	-0.256	-1.273	-1.244	-1.469	-1.745	-1.826	-1.988	-0.168	0.071	0.439	0.381	0.106	0.175	-1.013	0.065	0.011	-1.833	-1.188
"YMR091C"	-0.691	-1.31	-1.39	-1.603	-1.458	-4.005	0.16	-1.052	-1.247	-0.112	-0.754	-0.855	-1.288	-1.396	-2.09	-2.24	-0.307	0.035	0.275	0.285	-0.09	-0.02	-1.247	-0.118	0.03	-0.783	-1.804
"YMR114C"	0.604	3.029	2.847	2.327	4.1	4.572	0.35	2.58	2.319	-0.564	1.024	2.032	2.343	3.614	3.555	3.502	0.617	-0.008	-0.427	-0.48	0.562	-0.084	1.879	0.125	0.032	2.896	2.229
"YMR135C"	0.642	1.938	1.278	1.394	2.425	4.053	0.408	2.04	1.747	-0.349	0.618	0.733	1.325	2.843	3.141	3.078	0.411	-0.203	-0.531	-0.402	0.008	-0.2	0.918	0.314	0.191	1.912	0.744
"YMR146C"	-0.774	-1.931	-1.186	-2.424	-1.725	-4.642	-0.014	-1.791	-1.738	-0.067	-1.331	-1.339	-1.621	-1.793	-1.962	-3.093	-0.15	0.067	0.515	0.187	-0.334	0.291	-1.576	-0.031	-0.02	-0.791	-2.417
"YMR208W"	-0.846	-0.871	-0.82	-1.063	-2.542	-3.618	-0.029	-0.674	-1.088	-0.155	-0.429	-0.931	-1.136	-1.98	-2.454	-2.354	0.143	0.047	0.354	0.212	0.49	0.101	-0.6815	-0.045	-0.139	-1.148	-0.233
"YMR220W"	-1.022	-1.413	-0.681	-0.969	-1.869	-3.12	-0.05	-0.905	-1.473	-0.01	-0.952	-0.492	-0.881	-1.468	-2.008	-1.728	-0.253	-0.08	0.226	-0.684	0.369	-0.007	-0.883	-0.233	-0.234	-1.199	-0.983
"YMR235C"	-1.348	-1.493	-1.783	-1.785	-3.534	-5.187	-0.104	-1.879	-2.052	0.052	-1.439	-2.046	-2.046	-2.838	-3.21	-3.756	-0.176	-0.11	0.428	0.181	0.17	0.226	-1.782	0.123	-0.02	-1.514	-1.301
"YMR237W"	-0.41	-0.134	-0.894	-1.08	-2.955	-4.233	0.27	-0.509	-0.68	-0.364	-0.268	-0.651	-0.65	-1.452	-1.947	-2.335	0.134	-0.065	-0.107	-0.003	0.582	0.231	-0.828	-0.061	-0.126	-0.807	-1.306
"YMR274C"	-0.637	1.171	-1.304	-1.065	-2.011	-1.446	0.054	-0.36	-0.413	-0.122	-0.26	-0.928	-0.91	-0.644	-1.603	-1.294	-0.136	-0.121	-0.047	0.209	-0.292	0.034	-0.3085	0.475	0.296	-2.641	-1.465
"YMR321C"	-1.575	-2.138	-2.55	-2.298	-3.288	-3.811	-0.609	-2.22	-2.53	0.481	-1.952	-1.913	-2.8	-2.409	-2.567	-2.424	-0.499	0.126	0.746	0.71	-0.697	-0.364	-2.3015	0.456	0.441	-1.521	-2.546
"YNL001W"	-0.14	-0.823	-1.065	-0.887	-1.318	-3.241	-0.439	-0.717	-1.239	0.127	-0.964	-1.24	-1.077	-1.116	-1.395	-1.761	0.005	-0.043	0.255	0.085	-0.299	0.218	-0.914	-0.106	0.115	-0.96	-1.215
"YNL010W"	-1.069	-2.229	-1.703	-2.892	-1.296	-4.52	0.335	-1.922	-2.057	0.384	-1.502	-1.834	-1.936	-2.483	-2.738	-3.396	0.085	0.154	0.325	0.548	0.334	0.218	-1.9585	0.463	0.441	-0.677	-1.75
"YNL016W"	-0.7755	-1.2915	-0.986	-0.6375	-1.2125	-3.2085	-0.254	-1.4025	-1.3055	0.06	-0.6975	-0.714	-0.745	-1.256	-1.271	-1.9635	0.3025	0.184	0.367	0.1155	0.017	0.415	-1.25966666666667	-0.1725	-0.2325	-1.192	-1.648
"YNL079C"	-0.208	-0.574	-0.891	-1.362	-2.802	-4.703	0.423	-1.01	-0.652	0.27	-0.034	-0.764	-0.464	-1.383	-2.486	-3.23	0.287	0.25	0.047	-0.274	0.476	0.167	-1.2105	-0.034	0.311	0.248	-0.503
"YNL085W"	-0.656	-0.37	-0.67	-0.991	-2.342	-5.369	-0.282	-1.365	-1.115	-0.213	-0.652	-1.668	-1.484	-2.001	-2.706	-3.291	-0.499	-0.366	0.262	0.13	0.079	0.331	-0.946	-0.463	-0.511	-1.145	-0.881
"YNL090W"	-0.339	-1.298	-1.485	-1.166	-2.438	-2.292	0.228	-1.032	-1.162	0.073	-1.181	-1.304	-1.549	-1.844	-1.862	-2.234	-0.139	0.103	-0.042	0.098	0.252	-0.037	-1.4075	0.61	0.441	-0.592	-1.288
"YNL132W"	-0.762	-3.25	-2.572	-3.653	-4.956	-6.392	-1.012	-2.521	-2.512	-0.045	-2.313	-2.799	-2.936	-3.396	-4.377	-4.049	-0.561	-0.156	0.708	0.447	-1.479	0.103	-1.281	-0.001	0.148	-2.948	-1.776
"YNL189W"	-0.751	-0.902	-1.084	-1.349	-2.367	-4.06	-0.447	-1.183	-1.19	0.104	-1.0	-1.33	-1.294	-2.058	-2.641	-3.084	-0.097	-0.06	0.59	0.611	0.197	-0.032	-1.6445	-0.039	-0.215	-0.016	-1.254
"YNL256W"	-0.585	-1.259	-1.376	-1.049	-2.448	-3.668	0.221	0.397	1.222	0.13	-1.429	-1.334	-1.45	-2.464	-3.25	-3.112	-0.376	-0.138	0.261	0.453	-0.512	0.139	-0.721	0.099	0.023	-1.684	-1.519
"YNR043W"	-1.019	-1.574	-1.86	-2.628	-2.934	-5.1565	0.3155	-1.949	-1.8335	0.085	-1.59	-2.078	-2.382	-2.655	-3.803	-3.856	0.374	0.057	0.4865	0.0705	-0.3685	0.007	-1.878	0.258	0.109	-1.955	-2.285
"YOR151C"	-0.361	-0.6805	-0.6135	-1.226	-1.0045	-3.5555	-0.396	-1.3845	-1.7195	-0.156	-0.909	-1.275	-1.622	-0.973	-1.754	-2.127	-0.443	0.164	0.1985	0.33	-0.284	0.181	-0.75	-0.022	-0.013	-1.139	-0.259
"YOR164C"	-0.251	-0.568	-0.779	-0.894	-2.555	-4.0095	-0.0455	-1.1575	0.5865	0.082	-0.36	-0.909	-1.072	-1.603	-1.956	-2.107	0.085	0.001	0.393	0.2735	0.3365	-0.328	-0.949	0.328	0.25	-0.228	-1.35
"YOR165W"	-0.815	-0.5905	-0.623	-0.771	-1.1925	-3.5345	-0.2195	-0.94	-1.266	-0.246	-0.462	-0.559	-0.753	-1.611	-1.996	-2.281	-0.288	0.159	0.248	0.2255	-0.0255	0.131	-0.7	0.074	0.031	-0.467	-0.985
"YOR197W"	-0.466	-1.0065	-1.1345	-1.492	-1.971	-3.178	0.3835	-0.7485	-0.8695	-0.399	-0.607	-0.675	-0.795	-1.165	-1.398	-1.64	0.502	0.247	-0.3445	0.017	0.9165	-0.119	-1.058	-0.102	-0.206	-1.408	0.112
"YOR198C"	-0.646	-1.3675	-1.6725	-1.933	-4.452	-5.562	0.6795	-1.262	-0.9675	0.206	-1.543	-2.3	-2.828	-4.384	-4.657	-4.415	-0.329	0.182	-0.181	-0.1755	0.559	-0.099	-2.297	-0.149	-0.209	-2.131	-2.312
"YOR239W"	-0.538	-1.1765	-1.31	-2.145	-3.232	-5.0985	0.073	-1.633	-1.8425	-0.271	-1.273	-2.053	-2.15	-3.149	-3.934	-3.704	-0.287	0.021	-0.276	0.2135	0.4805	0.313	-1.366	-0.2655	-0.1615	-0.884	-0.564
"YOR241W"	-0.322	-1.455	-1.287	-1.237	-2.668	-6.523	0.1025	-1.0865	-1.725	0.076	-1.108	-1.077	-1.0	-1.779	-2.794	-2.058	-0.275	0.111	0.2955	0.472	0.288	0.145	-0.758	-0.155	0.025	-1.913	-1.192
"YOR253W"	-1.267	-1.46	-1.575	-1.759	-2.7935	-5.157	-0.2645	-1.538	-2.16	0.022	-1.318	-1.139	-1.299	-1.872	-2.672	-2.633	-0.369	0.181	0.2645	0.563	0.099	0.348	-0.978	0.248	0.301	-1.537	-2.319
"YOR254C"	-1.067	-1.406	-1.671	-1.5485	-2.192	-6.426	0.076	-2.018	-1.4845	-0.167	-1.666	-1.904	-1.86	-2.354	-2.689	-2.309	-0.191	0.019	-0.0515	0.5455	0.4995	0.179	-1.174	-0.192	0.005	-2.254	-2.314
"YOR260W"	-0.503	-1.432	-1.6735	-1.833	-2.507	-4.639	-0.374	-1.6575	3.0405	0.205	-1.26	-1.513	-1.624	-2.257	-2.577	-3.081	-0.106	-0.043	0.773	0.243	-0.222	0.151	-1.54	0.031	0.232	-1.909	-2.111
"YOR272W"	-0.572	-1.5575	-1.682	-1.968	-3.353	-4.712	-0.161	-1.779	-1.376	0.373	-1.777	-2.312	-2.009	-3.017	-3.307	-4.52	-0.983	-0.615	1.0365	0.3365	-1.299	0.184	-1.264	0.396	0.392	-2.332	-1.282
"YOR305W"	0.0	-1.254	-0.8795	-1.4945	-1.6535	-2.672	-0.072	-1.1315	-0.948	0.039	-0.732	-0.719	-1.206	-1.227	-1.264	-1.883	-0.127	0.03	-0.194	0.397	0.146	0.091	-0.568	0.365	0.343	-0.621	-0.581
"YOR323C"	-0.775	-1.757	-1.941	-2.0305	-4.2845	-6.434	0.0785	-2.106	-2.053	0.064	-0.904	-1.557	-1.382	-2.742	-3.497	-3.428	0.049	0.227	0.5905	0.4405	0.28	-0.091	-1.603	0.142	0.093	-2.03	-1.584
"YOR326W"	-0.926	-1.475	-1.329	-1.6295	-3.4635	-4.9875	-0.672	-2.6115	-1.9335	0.406	-1.343	-1.82	-2.099	-3.585	-3.591	-2.795	0.098	0.205	0.09	-0.108	0.0115	0.098	-1.467	0.02	0.009	-1.568	-1.621
"YPL028W"	-0.766	-0.917	-1.3315	-1.7105	-3.482	-5.5385	-0.446	-1.9625	-2.1645	0.077	-0.033	-1.336	-1.006	-1.692	-2.17	-2.948	0.53	0.225	0.344	-0.06	0.882	0.076	-1.486	-0.201	-0.121	-0.712	-2.228
"YPL037C"	-0.462	-1.9235	-1.975	-2.12	-3.9955	-5.417	-0.131	-2.148	-1.96	0.399	-1.255	-1.561	-1.872	-2.115	-3.222	-3.654	-0.12	0.237	0.9945	0.382	-0.013	0.411	-1.648	0.499	0.4	-1.607	-0.859
"YPL048W"	-1.022	-0.9805	-1.6885	-1.898	-3.2175	-4.579	-0.444	-1.4725	1.47	-0.121	-0.541	-1.113	-0.823	-1.535	-1.925	-2.183	-0.036	-0.059	0.3955	0.2405	0.403	0.099	-0.719	-0.196	-0.193	-0.254	-0.112
"YPL063W"	-0.474	-0.789	-1.224	-1.2775	-1.226	-3.318	-0.484	-1.336	-1.4555	-0.514	-0.971	-1.111	-1.226	-0.715	-1.272	-2.447	-0.438	0.182	-0.049	-0.054	0.0175	0.046	-0.903	0.044	0.152	-1.16	-0.904
"YPL081W"	-0.796	-3.083	-2.508	-3.086	-3.4025	-6.801	-0.208	-2.428	-2.3315	0.633	-2.461	-2.849	-2.929	-2.789	-2.909	-3.725	-0.082	0.171	1.001	0.7545	-0.3725	0.463	-1.844	0.145	0.101	-2.359	-3.157
"YPL086C"	-0.648	-1.1505	-1.1455	-0.869	-2.5065	-5.552	-0.735	-1.808	-1.6415	0.074	-1.489	-1.604	-1.418	-1.907	-1.958	-2.56	-0.365	-0.281	0.6145	0.222	-0.963	0.212	-0.762	0.16	0.066	-2.108	-0.837
"YPL142C"	-0.787	-2.2525	-1.78	-1.891	-3.5865	-5.604	-0.481	-2.8235	-2.16	0.55	-2.082	-2.303	-2.376	-2.148	-2.632	-2.979	-0.24	0.304	1.161	0.702	-0.7625	0.238	-2.011	0.301	0.513	-3.021	-3.35
"YPL147W"	1.0	3.046	3.802	3.194	5.74466666666667	5.18233333333333	0.21	2.694	2.44766666666667	-0.063	2.8035	2.074	2.4785	4.8195	4.6645	4.599	-0.1905	-0.05	-0.277333333333333	-0.444666666666667	0.385333333333333	0.067	2.8235	0.081	0.002	2.565	2.078
"YPL178W"	-0.26	-0.3995	-0.866	-0.909	-2.0395	-3.2495	0.181	-0.3965	-0.2915	0.173	-0.592	-1.104	-1.052	-1.535	-1.511	-1.922	-0.036	0.165	0.2695	0.2675	0.3015	0.156	-0.741	0.11	0.068	0.0585	-0.7665
"YPL183C"	-0.807	-1.5955	-1.8275	-1.544	-4.1755	-3.957	-0.1015	-1.7965	-2.531	0.052	-1.757	-1.735	-1.38	-2.512	-2.745	-3.056	-0.574	-0.09	-0.3145	0.312	-1.253	0.142	-1.146	-0.062	-0.178	-2.4425	-1.825
"YPL220W"	-1.189	-2.214	-2.1715	-2.2495	-3.187	-6.1465	-0.486	-3.3935	-2.852	0.968	-1.794	-2.548	-2.639	-2.247	-2.571	-3.926	0.099	0.236	1.324	0.7055	-0.7215	0.669	-1.925	0.448	0.378	-2.375	-3.007
"YPL226W"	-1.114	-2.407	-1.80333333333333	-2.21533333333333	-3.95033333333333	-5.67966666666667	-0.949666666666667	-2.786	-2.922	0.122	-2.363	-2.3985	-2.8955	-3.407	-2.9025	-3.983	-0.3925	0.0465	0.789333333333333	0.288333333333333	-1.18233333333333	0.402	-1.7375	-0.148	-0.0335	-3.519	-2.36
"YPL237W"	-0.439	-2.3465	-2.029	-2.27	-2.875	-5.7585	-0.54	-1.8945	-2.2035	0.356	-1.665	-1.817	-1.927	-2.006	-2.44	-3.024	-0.138	0.179	0.673	0.6835	-0.3505	0.133	-1.537	0.093	0.116	-1.966	-1.695
"YPL243W"	-0.823	-1.109	-1.456	-1.5805	-4.1455	-5.276	-0.166	-1.315	-1.5105	-0.112	-1.042	-1.377	-1.873	-2.602	-3.541	-3.544	-0.304	0.174	0.2855	0.4795	0.1125	0.102	-1.188	0.019	0.072	-1.14	-1.773
"YPL273W"	-1.52	-2.59566666666667	-2.792	-2.96466666666667	-3.722	-5.69966666666667	-0.642333333333333	-2.69266666666667	-2.72566666666667	0.5435	-2.088	-2.4545	-3.2755	-2.794	-3.21	-3.3575	-0.4665	0.168	0.744333333333333	0.680666666666667	-0.626	-0.034	-2.628	0.446	0.535	-1.961	-3.204
"YPR033C"	-0.59	-1.908	-2.534	-2.142	-4.8805	-7.94	-0.435	-2.759	-2.6225	0.186	-1.226	-2.096	-2.55	-3.951	-4.382	-4.54	0.058	0.242	0.6775	0.3525	0.0185	-0.175	-2.107	0.003	0.112	-2.033	-2.053
"YPR080W"	-1.309	-1.6075	-1.771	-2.584	-2.848	-5.6305	-0.502	-2.5835	-2.8585	0.4	-0.95	-1.197	-1.321	-1.689	-2.389	-3.139	0.065	0.408	0.6615	0.3165	0.0195	0.441	-1.681	0.583	0.42	-1.319	-2.163
