	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"2966.WT vs Lpz8 null cells in high Cu-repeat"	"3020.WT vs lpz8 null cells in high Cu"	"4872.1M sorbitol - 60 min"	"11466.yO1 test hyb"	"18416.2mM MD 120min"	"18418.2mM MD 170min"	"18421.2mM MD 140min"	"18424.2mM MD 055min"	"18429.2mM MD 210min"	"18431.2mM MD 070min"	"18432.2mM MD 077min"	"18434.2mM MD 100min"	"21664..24 mM H2O2- 170 minutes/redo"	"34348.wt_hypo_osmotic_shock_7min"	"34349.wt_hypo_osmotic_shock_16min"	"34352.delPPT1_hypo_osmotic_shock_0min"	"34353.delPPT1_hypo_osmotic_shock_7min"	"34354.delPPT1_hypo_osmotic_shock_15min"
"YGR061C"	-1.1505	-1.4555	-1.015	-1.0655	-1.003	-1.6865	-2.8345	-3.447	-1.6965	-0.9045	-1.048	-1.7135	-1.1355	-1.7575	-1.891	-1.7885	-1.6345	-2.528	0.2295	0.0825	-0.0275	0.329	-0.434	0.02	-0.711333333333333	-0.148	-0.6885	0.235666666666667	1.022	-0.22525	-0.0335	0.3345	-0.151	0.4225	0.3825	0.036
"YGR083C"	-2.133	-1.321	-0.78	-0.914	-0.971	-0.569	-1.845	-4.599	-1.304	-1.21	-1.183	-0.979	-1.198	-1.409	-1.27	-2.544	-2.794	-3.226	-0.185	-0.197	0.042	-2.013	-1.1425	-0.5495	-0.39	-0.7875	-0.777	-1.504	-1.844	-0.8935	0.309	0.235	-0.096	-0.024	-0.077	-0.0015
"YGR084C"	1.014	0.549	0.427	-0.355	-0.47	-0.95	-1.586	-3.069	-0.116	-0.503	-0.492	-0.743	-0.299	-0.529	-0.59	-1.647	-1.704	-1.762	0.053	-0.004	0.002	-0.533	-0.236	0.7055	-0.3135	-0.606	-0.0335	-0.607	0.8315	-1.126	0.24	-0.383	-0.67	-0.498	-0.616	-0.581
"YGR085C"	-3.713	-3.301	-2.511	-2.202	-2.29	-2.146	-3.406	-6.059	-3.071	-3.255	-3.013	-2.215	-2.106	-2.625	-2.77	-3.306	-3.54	-4.179	-0.037	0.361	0.278	-2.156	-1.646	-1.216	-0.146	-1.597	-0.578	-1.866	-0.6145	-0.613	-0.98	0.309	0.539	0.333	-0.059	0.492
"YGR123C"	-4.447	-2.7	-2.234	-2.041	-1.249	-2.224	-3.794	-4.328	-2.878	-2.97	-2.137	-0.249	-1.549	-1.989	-1.536	-1.42	-2.413	-2.243	-0.181	-0.189	-0.141	-1.7365	0.16775	0.092	0.46375	-0.007	-1.0705	-0.2515	-0.263	0.0945	0.489	-0.24	0.033	0.026	0.358	0.044
"YGR128C"	-3.032	-2.601	-2.603	-2.213	-1.732	-2.665	-2.66	-4.271	-2.816	-2.202	-1.622	-1.376	-1.88	-2.107	-2.236	-2.017	-3.037	-2.679	-0.37	-0.218	0.096	-1.9935	-1.11933333333333	-0.45225	-0.416666666666667	-0.745	-0.582	-0.93825	0.329666666666667	0.38725	-0.6065	-0.54	-0.225	0.396	-0.005	-0.091
"YGR148C"	-3.45	-3.596	-3.464	-3.033	-2.31	-2.615	-3.884	-5.757	-3.141	-3.011	-2.956	-2.722	-2.455	-2.508	-2.896	-3.022	-3.649	-4.092	0.411	0.201	0.022	-2.7095	-0.3905	0.07075	-0.19725	-0.2935	-0.62025	-0.84075	0.0507500000000001	-0.13575	-0.719	0.418	0.56	0.518	0.418	0.344
"YGR155W"	-1.383	-0.902	-1.262	-0.984	-0.517	-0.062	-1.39	-4.396	-0.015	0.046	0.119	-0.863	-0.915	-1.408	-1.625	-1.318	-1.786	-2.407	0.217	-0.026	0.384	-1.5655	-0.07425	-0.14025	-0.50675	0.3015	0.401	0.85425	-0.669	0.106333333333333	-0.6475	1.321	1.121	0.637	0.675	0.402
"YGR185C"	-3.192	-1.697	-1.695	-1.31	-2.13	-2.168	-5.306	-6.361	-1.442	-1.736	-2.6	-2.266	-1.434	-2.531	-2.944	-4.576	-4.871	-5.006	0.193	-0.14	0.181	-2.438	0.054	-0.223	0.905	-0.351	-0.431	-0.484	-0.4985	-0.521	-0.372	0.922	0.961	0.466	0.294	0.401
"YGR200C"	-3.964	-1.851	-1.376	-1.152	-1.152	-1.306	-2.863	-3.668	-2.565	-2.446	-1.597	-1.625	-1.1	-1.274	-1.456	-1.861	-2.863	-2.446	-0.013	0.019	-0.037	-1.091	0.421	0.0864999999999999	-0.313	-0.0015	0.5345	-0.1395	0.1325	-0.1655	0.83	-0.662	-0.515	-0.612	-0.223	-0.141
"YGR285C"	-3.959	-2.444	-2.267	-1.794	-1.645	-1.67	-4.078	-6.1	-1.648	-1.332	-1.877	-1.393	-2.259	-2.557	-2.811	-3.452	-4.07	-4.065	0.045	-0.071	0.15	-2.068	-0.7835	0.0489999999999999	-1.2505	-0.755	-0.8985	0.458	-0.231	1.341	-1.086	0.485	0.559	0.367	0.381	0.427
"YHL033C"	-3.758	-2.864	-2.635	-1.944	-1.277	-2.205	-3.984	-6.65	-3.056	-3.153	-3.005	-2.318	-2.112	-2.808	-2.523	-2.601	-2.923	-4.209	0.082	0.148	0.08	-1.956	-2.928	-1.3405	-0.547	-0.842	-0.567	-0.193	-1.3635	-0.812	-0.487	0.907	0.942	0.567	0.772	0.668
"YHR005C"	-0.713	-0.202	-0.26	0.127	0.255	-0.01	-1.947	-4.17	-0.815	-0.569	-1.102	-1.473	-0.667	-0.574	-0.985	-2.115	-2.592	-2.519	-0.188	-0.102	-0.301	-0.333	0.6755	0.13	0.881	0.157	0.021	0.0549999999999999	0.198	0.034	-0.363	0.582	0.439	0.455	0.356	0.347
"YHR010W"	-3.693	-3.281	-3.149	-2.926	-2.458	-3.025	-3.508	-4.514	-3.343	-3.288	-3.007	-2.769	-2.399	-2.244	-2.541	-1.71	-2.032	-2.684	0.234	0.024	-0.034	-2.412	-1.6055	-0.843	-0.6235	-1.731	-0.5545	-0.678	-0.495	-1.2245	-0.624	-0.059	0.076	0.101	-0.049	0.296
"YHR019C"	-2.949	-1.631	-1.096	-1.467	-1.831	-2.048	-4.051	-5.077	-3.299	-2.825	-2.664	-2.76	-1.385	-2.109	-2.06	-3.117	-3.721	-4.387	0.227	0.207	0.071	-1.834	-0.554	0.311	0.18	0.4695	-0.6095	-0.0095	-0.779	-0.259	-0.264	0.308	0.549	0.471	0.229	0.906
"YHR043C"	0.786	-0.342	-0.183	-0.203	-0.943	-0.232	-1.983	-3.778	0.826	-0.283	-0.155	-1.052	-0.736	-0.839	-1.062	-1.59	-1.963	-1.696	0.055	-0.119	-0.021	-0.818	0.4325	-0.1945	0.486	-0.487	-0.0645	-0.553	0.0595	-0.4725	0.259	-0.132	0.134	0.147	0.287	0.276
"YHR049W"	-2.308	-0.7	-1.276	-1.584	-2.256	-1.62	-3.623	-4.702	-2.158	-2.342	-1.668	-1.451	-0.826	-1.17	-1.96	-1.968	-2.952	-2.443	-0.148	0.089	0.522	-2.05	-0.404	-0.4995	-0.2065	-0.128	-0.764	-0.255	0.2555	0.4695	-1.1	0.758	0.378	1.343	0.899	0.648
"YHR063C"	-1.836	-1.956	-1.527	-1.345	-1.469	-2.215	-3.309	-4.42	-0.605	-0.601	-0.927	-0.253	-1.217	-1.385	-1.916	-2.162	-3.419	-3.036	-0.051	0.12	-0.03	-1.701	0.6675	-0.2815	0.558	0.4815	0.501	0.3985	1.4855	-0.1795	0.304	0.33	0.241	0.071	-0.034	0.604
"YHR068W"	-3.316	-2.566	-2.252	-2.251	-3.015	-2.166	-4.28	-6.532	-2.873	-2.52	-2.526	-1.119	-1.652	-1.927	-2.429	-2.724	-3.669	-3.425	0.194	0.118	0.241	-2.29	-1.0405	-0.461	-1.0355	-0.9425	-0.789	-1.607	-0.245	0.2445	0.673	0.365	0.495	0.192	0.289	0.026
"YHR123W"	-1.168	-0.611	-0.799	-1.05	-1.555	-1.135	-3.763	-4.132	-1.118	-1.492	-1.439	-2.046	-1.72	-1.965	-2.024	-2.917	-2.775	-2.647	0.216	0.133	0.254	-1.21	-0.2365	-0.4665	-0.0145	-0.829	0.026	-0.9985	0.078	0.9335	-0.31	0.416	0.303	0.489	0.44	0.161
"YHR128W"	-4.359	-3.335	-2.68	-3.111	-3.159	-3.742	-4.967	-6.006	-3.351	-3.988	-3.361	-3.012	-2.425	-3.051	-3.482	-3.191	-3.494	-3.516	-0.856	-0.976	0.062	-1.769	-2.537	-1.642	-1.2875	-0.6125	-1.2235	-1.6595	-1.327	-1.736	-0.728	-0.057	0.213	0.045	0.112	-0.018
"YHR133C"	-1.498	-1.357	-0.653	-1.163	-1.453	-1.561	-1.885	-3.501	-1.51	-1.708	-1.622	-0.998	-1.072	-1.703	-1.806	-1.64	-1.82	-2.45	0.133	0.076	-0.043	-0.395	-1.031	0.2075	0.1215	-0.3575	-0.6445	-0.055	-0.073	0.5775	0.968	-0.567	-0.321	-0.212	-0.276	-0.216
"YHR193C"	-1.48	-1.571	-1.259	-1.548	-1.341	-1.99	-3.11	-4.166	-1.819	-1.491	-1.955	-1.2	-1.558	-1.494	-1.913	-1.778	-2.357	-2.845	0.339	0.201	-0.018	-1.764	0.4065	-0.7085	0.344	-0.404	-1.895	-0.1835	-0.798	-1.5195	-0.26	0.726	1.122	0.551	0.415	0.388
"YHR203C"	-3.926	-2.827	-3.148	-2.671	-2.372	-2.895	-3.782	-5.944	-3.917	-3.774	-3.412	-3.049	-2.276	-2.437	-2.591	-2.575	-3.081	-3.941	0.137	0.242	0.264	-2.302	-1.609	-1.912	-1.728	-1.3785	-1.038	-1.4745	-1.42	-1.5545	-0.577	0.006	0.154	0.175	0.073	0.248
"YHR212C"	0.336	1.297	1.377	1.183	1.043	1.82	1.434	-0.297	0.436	0.509	1.29	0.965	1.134	0.775	0.717	1.188	1.071	0.933	-0.066	-0.387	0.102	0.441	-0.7935	-0.5615	-0.213	0.3705	-1.0605	-0.11	-0.747	-0.008	-0.09	-0.045	-0.018	-0.244	-0.026	-0.177
"YIL018W"	-4.365	-3.03	-2.782	-2.724	-2.488	-2.78	-3.492	-5.749	-3.362	-3.505	-3.056	-3.151	-1.842	-2.218	-2.606	-2.661	-3.27	-3.914	-0.056	0.19	-0.233	-2.495	-1.5825	-2.062	-0.203	-1.5065	-1.42	-1.7885	-0.85	-1.2065	-0.857	-0.277	0.054	-0.036	-0.238	-0.201
"YIL052C"	-3.856	-3.261	-2.954	-2.61	-2.22	-3.178	-2.895	-6.278	-2.82	-2.793	-2.559	-2.622	-2.279	-2.271	-2.546	-2.162	-2.5	-3.158	-0.026	0.257	0.24	-1.743	-1.613	-1.4685	-1.1335	-0.5825	-1.349	-1.6745	-1.1245	-0.316	-0.065	0.135	0.546	0.199	0.085	0.233
"YIL078W"	-2.907	-2.075	-2.018	-2.219	-2.498	-1.911	-5.192	-6.059	-2.282	-2.288	-2.5	-2.462	-1.821	-2.436	-3.226	-4.41	-4.902	-4.944	0.262	-0.049	0.141	-2.348	0.091	-0.5225	-0.251	0.139	-0.2045	-0.2475	0.07	-0.0135	-0.772	-0.117	-0.015	-0.064	-0.089	0.066
"YIR012W"	-4.7	-3.151	-2.338	-2.719	-2.544	-2.595	-3.791	-4.69	-2.614	-2.412	-2.137	-2.092	-1.366	-1.684	-1.486	-1.547	-2.217	-2.528	-0.171	-0.162	0.194	-1.751	-0.274	-0.7505	0.017	-0.4555	-0.621	-1.232	-0.326	1.2135	-0.076	-0.34	-0.536	-0.124	0.024	-0.195
"YJL097W"	-0.355	0.261	-0.063	-0.584	-1.604	-2.089	-2.596	-4.683	-1.112	-0.608	-0.944	-1.483	-0.265	-1.025	-1.409	-1.461	-2.558	-2.276	-0.121	0.098	-0.165	-1.401	-0.193	0.892	0.519	1.261	0.001	-0.392	-0.037	0.03	-0.348	0.134	0.2875	0.2025	0.3405	0.222
"YJL138C"	-2.487	-1.169	-1.274	-1.167	-1.195	-1.358	-3.125	-5.625	-1.273	-2.285	-1.674	-1.959	-0.932	-1.763	-2.049	-2.542	-2.785	-3.522	-0.129	0.398	0.058	-1.828	-0.833	-0.9745	0.3255	0.0435	-0.1345	-0.3985	-0.2635	-0.54	-0.852	0.356	0.376	0.209	0.188	0.086
"YJL145W"	-2.076	-1.698	-1.277	-0.742	-1.431	-2.509	-2.136	-3.628	-1.713	-1.117	-1.336	-1.747	-1.17	-1.678	-1.482	-2.303	-2.334	-2.853	0.209	0.266	-0.225	-1.334	-0.1295	1.612	0.166	0.2075	0.081	0.546	-0.007	0.543	0.143	-0.011	0.017	-0.247	-0.188	-0.033
"YJL157C"	-2.634	-0.695	-1.69	-1.634	-1.708	-0.962	-3.548	-7.731	-2.404	-1.403	-2.54	-2.599	-1.274	-1.008	-2.535	-3.198	-3.396	-3.219	-0.234	-0.395	0.018	-1.339	0.057	-0.9825	-0.9525	-1.551	-0.619	-1.0975	0.1835	0.7935	0.111	0.501	0.444	0.635	0.622	0.466
"YJL190C"	-3.794	-3.553	-3.267	-2.958	-2.413	-3.287	-3.585	-6.079	-3.969	-3.744	-3.536	-3.062	-2.547	-3.105	-3.227	-2.941	-3.365	-3.524	0.16	0.362	0.048	-2.43	-1.9605	-1.6185	-1.548	-1.4465	-1.2985	-2.599	-1.6995	-1.942	-0.941	-0.227	-0.112	-0.255	-0.284	-0.137
"YJR007W"	-2.169	-1.704	-1.629	-2.107	-1.68	-2.662	-3.21	-8.057	-1.588	-1.339	-1.824	-1.91	-1.571	-1.848	-2.051	-2.909	-3.009	-3.616	-0.507	-0.681	-0.054	-1.685	1.485	-0.994	-0.439	0.0775	-0.352	0.0225	-0.18	-0.5495	-0.446	0.384	0.414	0.331	0.493	0.481
"YJR064W"	-3.248	-2.118	-1.695	-2.216	-1.854	-2.589	-1.931	-4.297	-2.003	-2.214	-1.978	-1.919	-1.246	-1.592	-1.762	-1.961	-2.702	-2.57	0.0	0.033	0.016	-1.762	-0.2055	-0.249	-0.747	0.5265	-0.724	0.1325	-0.2795	-0.3735	-0.813	-0.162	-0.317	-0.199	-0.031	-0.145
"YJR145C"	-4.507	-3.488	-3.177	-2.731	-2.328	-2.413	-3.54	-6.528	-3.551	-3.547	-3.597	-3.707	-1.988	-2.396	-2.336	-2.519	-3.105	-3.178	0.066	0.111	0.381	-2.312	-1.434	-1.7965	-0.9085	-1.191	-1.493	-2.08	-1.926	-1.6925	-0.558	-0.198	0.047	-0.15	0.115	0.137
"YKL006W"	-4.299	-3.901	-3.389	-2.854	-2.383	-3.16	-2.835	-5.113	-3.049	-3.027	-2.997	-2.743	-2.315	-2.442	-2.791	-1.939	-2.29	-2.843	-0.563	-0.045	0.2	-2.458	-2.252	-1.15	-1.533	-1.015	-1.039	-1.792	-1.325	-1.055	-0.723	-0.106	0.02	0.038	0.05	0.065
"YKL056C"	-3.205	-2.603	-3.118	-2.355	-1.541	-1.771	-3.426	-5.119	-1.914	-2.359	-2.371	-2.389	-1.669	-1.741	-2.281	-2.754	-3.265	-3.483	0.082	0.203	0.072	-1.777	-1.055	-1.647	-0.094	-0.481	0.07	-0.941	-0.718	-0.271	-0.445	-0.301	-0.172	-0.086	-0.139	-0.049
"YKL154W"	-1.585	-1.703	-1.223	-1.327	-1.486	-1.312	-2.701	-3.89	-1.149	-1.358	-1.136	-0.702	-1.194	-1.477	-1.447	-1.765	-2.132	-2.222	-0.008	-0.178	-0.006	-1.175	-0.976	-1.441	0.237	-0.438	0.062	-0.608	0.619	0.283	0.061	-0.376	-0.291	-0.675	-0.446	-0.612
"YKL212W"	-1.431	-1.053	-0.648	-0.845	-1.247	-1.079	-3.014	-4.806	-1.409	-1.065	-1.651	-1.64	-0.736	-1.656	-1.598	-2.516	-2.929	-3.374	-0.038	-0.015	-0.068	-1.089	-0.257	0.098	0.26	-0.27	-0.788	-0.289	-0.111	0.7	-0.165	0.432	0.334	-0.276	-0.142	-0.012
"YKR059W"	-2.144	-1.383	-1.242	-1.181	-1.543	-1.54	-2.817	-4.998	-2.593	-2.103	-2.531	-2.238	-1.043	-1.844	-2.106	-2.623	-2.96	-3.568	-0.079	0.04	0.062	-1.996	-0.209	0.508	0.698	0.315	-0.13	-1.152	-0.797	-0.956	-0.646	0.197	0.222	0.181	0.198	0.128
"YLL045C"	-3.851	-3.176	-2.506	-2.189	-1.64	-2.221	-3.857	-6.618	-3.169	-3.335	-3.185	-2.744	-2.096	-2.604	-2.495	-2.943	-3.021	-3.731	-0.092	-0.06	0.223	-2.165	-2.104	-0.281	-0.402	-2.065	-0.962	-0.661	-2.377	-2.057	-0.398	0.364	0.726	0.252	0.255	0.217
"YLR002C"	-3.541	-1.701	-1.693	-1.352	-1.168	-0.99	-3.154	-4.959	-2.611	-1.589	-1.157	-1.015	-1.603	-1.661	-1.599	-2.578	-3.265	-3.45	-0.22	-0.222	0.14	0.135	0.18	-0.302	-0.197	-0.541	-0.805	0.913	0.548	1.629	-0.313	0.052	0.241	-0.02	0.243	0.076
"YLR048W"	-4.075	-2.679	-2.64	-2.034	-2.257	-1.88	-3.645	-3.72	-3.296	-3.55	-2.771	-2.506	-2.08	-2.645	-2.575	-2.294	-2.17	-3.634	0.255	0.31	0.258	-2.293	-1.053	-0.906	-0.931	-1.28	-0.584	-1.966	-1.3	-1.087	-0.876	0.147	0.415	0.295	0.129	0.167
"YLR061W"	-4.925	-4.297	-4.115	-3.603	-2.908	-3.127	-4.939	-6.591	-3.239	-3.818	-3.021	-3.058	-2.164	-2.433	-2.88	-3.309	-3.833	-3.91	0.189	0.195	0.078	-2.482	-2.491	-2.123	1.241	-0.965	-2.234	-0.794	-0.805	-0.163	-0.198	-0.603	-0.748	-0.551	-0.463	-0.651
"YLR076C"	-3.332	-2.564	-2.261	-1.808	-1.463	-1.839	-1.78	-4.142	-1.405	-2.576	-2.924	-2.039	-1.22	-1.575	-1.453	-1.198	-1.871	-1.996	0.089	0.404	-0.03	-2.021	0.311	0.419	-0.429	-0.111	-0.184	0.399	-0.181	-0.306	-0.521	-0.246	0.056	-0.337	-0.297	-0.01
"YLR097C"	1.765	0.623	0.727	0.174	0.624	0.193	0.479	-0.294	0.701	1.134	0.766	0.533	0.925	1.433	1.52	1.592	0.967	0.518	0.048	0.219	-0.039	0.408	0.672	0.42	-0.907	0.417	-0.442	0.514	0.433	-0.023	0.211	0.274	0.133	-0.009	-0.084	-0.019
"YLR129W"	-4.83	-2.28	-3.089	-2.498	-2.028	-2.718	-2.877	-4.914	-3.12	-2.647	-2.185	-2.333	-2.137	-1.99	-2.481	-2.714	-2.42	-3.068	-0.078	-0.151	0.139	-2.011	-1.52	-0.192	0.17	-0.739	-0.564	-0.469	0.741	-0.956	-0.158	-0.613	-0.445	-0.598	-0.285	-0.517
"YLR185W"	-4.508	-3.498	-3.001	-2.551	-2.201	-2.749	-2.578	-5.928	-2.94	-2.559	-2.616	-2.445	-2.046	-2.136	-2.209	-2.015	-2.479	-3.065	0.468	-0.076	-0.006	-2.023	-1.991	-1.047	-0.267	-1.119	-0.675	-1.679	-1.246	-0.589	-0.383	-0.176	0.165	-0.089	-0.183	-0.188
"YLR264W"	-3.105	-2.523	-2.018	-1.862	-1.529	-1.693	-2.597	-5.152	-2.945	-2.94	-2.616	-2.15	-2.236	-2.241	-2.158	-1.649	-2.334	-2.391	0.123	0.224	-0.175	-1.833	-0.858	-0.619	0.371	-0.881	-0.173	-1.569	-0.852	-1.094	-0.865	-0.487	-0.378	-0.263	-0.173	-0.024
"YLR340W"	-2.59	-2.224	-2.566	-1.969	-2.963	-2.876	-4.11	-6.819	-2.128	-2.646	-3.015	-2.689	-1.834	-2.703	-2.701	-2.702	-3.206	-4.105	-0.273	0.014	0.285	-2.949	-1.212	-0.854	-0.201	-1.753	-0.882	-2.743	-2.154	-2.278	-0.495	0.11	0.364	0.438	0.295	0.457
"YLR435W"	-4.216	-2.534	-2.556	-2.839	-2.421	-2.684	-2.8	-3.819	-1.506	-2.134	-1.317	-0.932	-2.004	-1.983	-2.216	-2.038	-2.387	-2.149	-0.056	-0.281	0.176	-1.234	-0.809	-0.977	-0.766	-1.018	-0.295	-1.004	-0.53	-1.418	0.427	-0.113	-0.154	0.088	-0.174	-0.193
"YLR447C"	-1.142	-1.259	-1.316	-1.387	-1.195	-1.182	-1.09	-3.159	-0.975	-1.45	-1.604	-1.988	-0.361	-0.659	-1.032	-0.886	-1.877	-1.621	0.318	0.191	0.255	-0.985	0.647	-0.242	-0.616	0.266	0.637	0.471	-0.498	0.569	-0.524	-0.172	-0.233	-0.046	-0.109	-0.015
"YML018C"	-3.624	-2.452	-2.174	-2.315	-1.808	-2.038	-2.284	-3.383	-1.603	-0.997	-0.729	-0.482	-1.191	-1.451	-0.755	-1.452	-1.922	-2.274	-0.587	-0.566	0.141	-1.455	-2.305	-0.94	0.005	-0.745	-0.189	-0.91	-0.14	0.152	-0.479	-0.44	-0.105	0.09	-0.301	-0.367
"YML024W"	-3.616	-3.535	-3.016	-2.718	-2.475	-3.285	-3.909	-4.621	-3.523	-3.666	-3.004	-3.408	-2.442	-2.512	-2.583	-1.81	-2.221	-2.415	0.184	0.084	-0.183	-1.868	-1.617	-2.69	-1.192	-0.926	-0.332	-1.862	-1.635	-1.608	-0.971	-0.26	-0.202	0.102	-0.028	0.151
"YML026C"	-3.811	-3.779	-3.236	-2.913	-2.934	-3.29	-4.268	-5.271	-3.779	-3.636	-3.131	-3.217	-2.525	-2.873	-2.821	-2.898	-2.803	-2.821	0.093	-0.013	-0.067	-1.928	-1.392	-1.704	-2.124	-0.862	-1.779	-1.819	-2.159	-1.981	-0.721	-0.273	-0.164	-0.168	-0.189	-0.169
"YML073C"	0.912	-3.01	-3.061	-2.182	-1.884	-2.135	-3.862	-6.033	-3.5	-3.371	-3.087	-2.501	-2.471	-2.561	-2.549	-2.401	-2.624	-3.718	0.206	-0.063	0.02	-1.975	-1.242	-1.488	-1.153	-1.013	-0.465	-1.442	-1.35	-1.208	0.161	0.294	0.455	0.154	0.026	-0.166
"YMR014W"	-3.923	-1.56	-1.6	-1.193	-0.69	-0.916	-2.024	-4.826	-2.229	-1.468	-1.256	-0.234	-1.512	-1.587	-1.607	-1.774	-1.985	-1.778	-0.511	-0.471	0.147	-0.157	-0.539	-0.437	0.371	-0.044	0.134	-0.636	0.755	1.327	0.62	-0.349	0.093	-0.016	-0.117	-0.203
"YMR093W"	-1.169	-3.661	-3.154	-2.81	-2.903	-2.924	-3.98	-4.21	-2.075	-2.079	-1.615	-2.068	-1.991	-1.912	-2.558	-2.591	-3.429	-3.183	NaN	-0.469	0.05	-2.368	-2.524	-0.975	-1.998	-0.862	-0.756	0.917	-2.206	-0.707	0.724	-0.388	-0.618	-0.3	-0.3	-0.398
"YMR107W"	4.775	5.066	5.686	5.593	6.861	4.338	6.497	6.511	6.054	6.663	6.747	6.04	3.069	2.589	3.698	4.755	5.373	4.702	-0.516	-0.066	-0.109	4.765	1.185	2.685	1.771	-1.162	1.25	1.179	0.378	-0.335	1.133	-1.308	-0.994	-0.021	-0.575	-0.552
"YMR114C"	2.727	2.543	2.068	3.029	2.847	2.327	4.1	4.572	2.095	2.582	2.58	2.319	1.024	2.032	2.343	3.614	3.555	3.502	-0.13	0.374	0.124	1.879	-0.4	-0.355	-0.107	0.216	-0.167	1.309	1.548	1.366	1.889	-0.531	-0.474	-0.581	-0.618	-0.499
"YMR116C"	-3.012	-3.687	-4.292	-3.142	-3.089	-3.798	-4.551	-6.865	-2.937	-3.905	-3.535	-3.312	-2.408	-2.851	-2.888	-2.906	-3.561	-4.003	0.314	0.108	-0.542	-2.539	-1.091	-1.6	-0.945	-0.608	-1.37	-1.285	-1.878	-2.238	-1.023	-0.367	-0.144	-0.157	0.031	0.106
"YMR121C"	-3.215	-2.875	-2.279	-2.002	-1.905	-2.539	NaN	-4.199	-2.574	-2.217	-2.44	-1.709	-1.698	-2.019	-2.144	-2.277	-2.155	-2.582	0.323	0.36	0.08	-1.702	-1.231	-0.293	0.344	-0.705	-0.825	-1.352	-0.505	-1.039	-0.582	0.038	0.35	-0.047	0.01	0.085
"YMR131C"	-5.631	-3.641	-3.811	-2.698	-2.414	-2.914	-5.052	-6.665	-3.547	-2.98	1.316	-3.081	-2.776	-2.829	-3.214	-4.236	-5.241	-4.266	-0.019	-0.049	-0.015	-1.789	-0.524	-0.346	0.003	-1.901	-0.701	-1.315	NaN	-1.153	0.183	0.123	-0.204	-0.195	-0.283	-0.448
"YMR146C"	-2.391	-1.631	-2.261	-1.931	-1.186	-2.424	-1.725	-4.642	-1.638	-1.543	-1.791	-1.738	-1.331	-1.339	-1.621	-1.793	-1.962	-3.093	0.235	-0.073	0.138	-1.576	-0.327	-0.722	0.023	-0.285	-1.378	-0.9	-0.392	-0.546	-0.214	0.109	0.039	-0.138	-0.033	0.081
"YMR208W"	-1.479	-0.769	0.126	-0.871	-0.82	-1.063	-2.542	-3.618	-0.766	-0.389	-0.674	-1.088	-0.429	-0.931	-1.136	-1.98	-2.454	-2.354	-0.094	-0.094	-0.022	-0.6815	0.241	-0.393	-0.06	0.555	-0.561	-0.229	0.081	-0.297	-0.357	-0.163	0.054	-0.348	-0.222	-0.224
"YMR229C"	-6.1495	-3.5335	-3.765	-2.743	-2.443	-2.304	-4.4055	-5.288	-2.914	-2.1435	-2.161	-2.184	-2.78	-2.897	-2.0525	-3.7195	-3.685	-3.93	-0.201	-0.21	0.0125	-1.93833333333333	-1.1495	0.2635	1.2125	-0.2755	0.5875	-0.854	0.9165	0.8495	-0.3835	-0.1185	-0.589	-0.557	-0.226	-0.3255
"YMR230W"	-3.465	-3.053	-2.702	-2.699	-2.427	-1.989	-3.24	-4.541	-2.924	-2.999	-2.959	-3.013	-2.361	-2.361	-1.71	-1.57	-1.442	-2.394	0.158	0.199	-0.474	-2.387	-1.04	-1.364	-1.356	-1.665	-0.317	-1.343	-0.85	-0.778	-0.136	-0.427	-0.249	-0.38	-0.392	-0.147
"YMR242C"	-4.702	-3.631	-3.819	-3.001	-2.522	-3.032	-3.971	-6.226	-3.832	-4.338	-3.636	-3.62	-2.479	-2.59	-3.004	-2.601	-3.133	-3.475	-0.371	0.139	0.442	-2.4615	-1.745	-1.25	-0.728	-0.722	-0.865	-1.385	-2.237	-1.15	-0.81	-0.152	0.17	0.031	-0.222	-0.086
"YMR290C"	-5.132	-3.842	-3.455	-3.073	-2.719	-3.471	-3.509	-5.217	-3.243	-3.378	-2.625	-2.846	-3.037	-3.295	-3.716	-3.219	-3.665	-2.938	-0.241	-0.227	-0.092	-2.957	-2.772	-0.594	-0.498	-0.919	-1.166	-1.656	-1.587	-1.524	-0.214	-0.146	-0.41	-0.306	0.014	-0.357
"YMR308C"	-1.769	-1.565	-1.814	-1.324	-1.165	-1.375	-3.091	-4.033	-1.731	-1.443	-0.193	-1.36	-1.539	-2.014	-1.774	-2.239	-2.796	-2.451	0.371	0.228	0.006	-1.504	0.486	0.111	0.819	-0.915	0.357	0.369	1.207	-0.003	-0.459	-0.096	-0.473	-0.743	-0.121	-0.176
