	"115.heat shock 20 min repeat"	"116.heat shock 40 min"	"297.Kb vs. Ctrl"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"497.Heat Shock 000 minutes"	"680.YP glucose vs reference pool"	"781.Heat Shock 000 minutes (series 2)"	"797.Heat Shock 000 minutes (series 3)"	"801.Heat Shock 030inutes"	"836.1.5 mM diamide (40 min)"	"838.1.5 mM diamide (50 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"1012.YPD 12 h (25C)"	"1673.alpha factor release sample021"	"2064.Hypo-osmotic shock - 5 min"	"2554.Hypo-osmotic shock -15 minutes"	"4783.29C to 33C -30 min"	"4787.29C +1M sorbitol to 33C + 1M sorbitol - 30 min"	"5245.DES459 (mec1) - mock irradiation - 30 min"	"5246.DES459 (mec1) - mock irradiation - 60 min"	"7542.DES459 (mec1) - log phase (MMS time "	"7547.33C no sorbitol 30 min"	"7760.Na 45min"	"7761.Na 60min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"12744.heat shock 17 to 37, 20 minutes"	"21631..24 mM H2O2- 190 minutes"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"32255.DBY8778_heat_shock2_60min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34352.delPPT1_hypo_osmotic_shock_0min"	"34502.wt_hypo_osmotic_shock_0min_repeat"	"38154.03II01 batch p10"
"YML080W"	-2.019	0.164	0.209	-1.716	-0.95	-1.854	1.14	0.269	1.095	0.412	-0.711	-1.122	-0.783	-3.965	-2.843	-1.705	-5.947	-1.388	-2.386	-2.094	-1.716	0.174	0.054	0.858	0.541	0.825	0.547	0.157	-0.459	0.84	-1.821	-1.389	-1.165	-1.386	-2.219	-0.543	-3.687	-2.739	-1.374	-1.011	-1.601	-3.22	-2.176	-1.929	-1.222	-0.286	-0.438	-1.795
"YMR014W"	-1.984	-0.814	0.246	-1.961	-2.533	-2.14	1.135	0.444	1.26	0.62	-0.767	-1.418	-1.192	-3.923	-1.56	-1.6	-4.826	2.39	-2.229	-1.468	-2.668	0.126	0.164	0.8	0.149	0.638	0.155	-0.135	-0.179	0.655	-1.437	-0.57	-1.653	-1.961	-2.796	0.066	-3.477	-2.718	-1.473	-2.793	-2.888	-3.974	-2.269	-2.581	-1.349	-0.016	-0.871	-1.902
"YMR121C"	-1.588	-2.048	-0.037	-1.431	-1.388	-1.87	0.931	0.266	0.674	0.931	-1.182	-1.406	-0.95	-3.215	-2.875	-2.279	-4.199	-0.903	-2.574	-2.217	-2.864	0.145	0.094	0.194	-0.257	-0.241	-0.771	-0.084	-0.652	0.039	-1.118	-1.209	-0.66	-1.534	-1.331	0.007	-2.346	-1.462	-0.569	-3.713	-2.508	-3.436	-2.969	-2.254	-2.182	-0.047	-0.265	-1.288
"YMR142C"	-1.964	-1.472	-0.155	-2.064	-3.395	-3.688	0.887	0.524	1.026	1.125	-1.33	-1.111	-0.913	-3.579	-3.719	-3.19	-6.693	-2.458	-3.048	-3.849	-4.4	NaN	0.193	0.25	-0.096	0.042	-0.31	-0.121	-0.253	0.151	-2.156	-1.564	-2.0	-2.02	-3.22	0.117	-2.173	-1.104	-1.035	-4.355	-3.347	-4.039	-3.538	-3.031	-3.042	-0.096	-0.034	-1.544
"YMR242C"	-2.539	-1.544	-0.037	-1.639	-3.309	-3.708	1.262	0.414	1.333	1.294	-1.34	-1.353	-1.006	-4.702	-3.631	-3.819	-6.226	-2.432	-3.832	-4.338	-4.84	0.2	0.172	0.188	-0.295	-0.482	-0.742	-0.352	-0.355	-0.208	-2.598	-2.072	-2.755	-2.478	-3.054	0.216	-2.43	-1.144	-0.538	-4.158	-3.141	-4.607	-3.588	-2.771	-3.856	0.031	-0.084	-1.655
"YNL002C"	-4.07	-1.784	0.027	-3.305	-4.559	-4.222	1.243	0.5	1.183	1.119	-2.167	-1.766	-1.16	-5.196	-2.914	-2.785	-3.468	-2.839	-3.072	-2.59	-3.426	0.334	0.127	0.868	-0.143	0.287	0.139	-0.096	-0.778	0.48	-2.774	-1.803	-2.843	-2.776	-4.603	-0.461	-3.481	-2.594	-1.228	-2.92	-2.649	-4.466	-2.41	-2.181	-2.211	-0.248	-0.832	-1.552
"YNL061W"	-3.927	-1.543	0.227	-4.143	-4.404	-3.948	1.161	0.859	1.249	0.976	-1.446	-1.799	-1.163	-4.329	-2.031	-1.794	-4.27	-2.724	-2.519	-2.417	-3.268	0.167	0.14	0.915	0.173	0.303	0.422	0.148	-0.676	0.488	-2.599	-1.44	-2.111	-2.07	-5.38	0.017	-3.925	-2.946	-1.676	-2.055	-1.808	-2.571	-1.387	-1.085	-1.055	0.401	0.096	-1.501
"YNL075W"	-3.164	-2.073	0.136	-2.558	-3.304	-2.768	1.178	0.96	1.226	0.992	-0.99	-1.319	-1.01	-4.782	-2.75	-2.189	-3.339	-2.433	-3.095	-2.494	-2.149	0.044	-0.123	0.811	0.02	0.31	0.032	-0.216	-0.476	0.531	-1.85	-1.445	-1.521	-1.884	-3.301	-0.841	-2.935	-2.361	-1.615	-2.459	-1.475	-3.779	-2.192	-1.642	-1.957	-0.268	-0.657	-1.961
"YNL110C"	-3.64	-2.443	-0.099	-3.768	-4.56	-4.991	1.332	-0.008	1.1	1.189	-2.2	-1.926	-1.517	-5.108	-3.05	-2.608	-3.296	-1.641	-2.565	-1.986	-4.151	0.239	0.039	0.859	-1.05	0.256	-0.205	-0.34	-0.002	0.758	-3.662	-2.623	-3.62	-3.346	-5.064	-0.164	-4.907	-3.471	-1.921	-3.18	-2.579	-4.747	-2.546	-2.431	-1.608	0.023	-0.551	-1.758
"YNL114C"	-2.686	-1.404	0.377	-2.468	-3.33	-3.663	1.0	0.158	0.814	0.999	-1.211	-1.0	-0.448	-5.245	-2.663	-2.941	-6.572	-2.048	-2.827	-2.978	-3.032	0.054	0.091	0.749	0.033	0.486	0.046	-0.385	0.297	0.72	-2.901	-2.07	-2.953	-2.748	-2.799	-0.317	-2.336	-1.721	-0.947	-2.905	-1.754	-4.14	-2.842	-1.49	-2.128	0.162	-0.142	-1.563
"YNL162W"	-2.384	-1.359	-0.355	-1.97	-3.17	-3.58	1.123	0.924	1.003	1.055	-0.808	-0.954	-0.581	-3.953	-3.395	-3.14	-6.425	-2.882	-2.86	-2.872	-3.999	0.096	0.032	0.109	-0.238	-0.037	-0.905	-0.471	-0.355	-0.153	-2.109	-1.436	-2.23	-1.918	-2.998	0.04	-2.02	-1.415	-0.913	-2.704	-2.701	-3.916	-3.323	-2.825	-3.105	-0.462	-0.75	-1.809
"YNL301C"	-1.715	-1.116	-0.306	-1.685	-2.335	-3.036	1.125	0.795	1.063	1.048	-0.806	-1.128	-1.044	-2.992	-2.551	-2.514	-6.272	-2.514	-2.943	-3.585	-3.466	-0.029	0.117	0.191	-0.146	-0.341	-0.517	-0.246	-0.657	-0.443	-1.892	-1.408	-1.944	-2.088	-2.136	0.111	-2.144	-1.116	-0.604	-4.167	-3.163	-4.02	-3.032	-2.764	-3.161	-0.145	-0.164	-1.619
"YNL302C"	-1.6365	-0.6045	-0.3435	-0.916	-1.268	-1.2955	0.265	0.2675	1.061	0.8545	-0.693	-1.076	-1.0125	-2.266	-2.265	-1.899	-4.746	-1.068	-2.3395	-2.4085	-2.3425	0.258	-0.2995	-0.0705	-0.149	0.7165	-0.436	-0.399	-0.5555	0.525	-1.125	-0.86	-1.1145	-0.8115	-1.727	0.578	-2.646	-1.536	-0.668	-4.107	-3.25	-3.631	-3.426	-2.699	-2.943	0.071	-0.113	-1.653
"YNL308C"	-1.689	-0.755	0.026	-2.757	-3.366	-3.336	0.658	0.15	0.756	0.635	-1.947	-2.046	-1.628	-4.351	-2.623	-2.15	-2.686	-2.473	-2.614	-2.202	-3.207	0.138	-0.074	0.602	0.078	0.235	-0.055	-0.106	-0.282	0.59	-1.605	-1.238	-1.613	-1.902	-3.272	0.294	-4.586	-2.561	-1.77	-1.512	-2.337	-3.307	-2.409	-1.94	-2.419	0.107	-0.326	-2.017
"YOL040C"	-2.147	-1.367	-0.303	-1.958	-3.012	-3.574	0.975	0.518	1.057	0.9	-1.666	-1.024	-0.747	-0.886	-3.313	-1.742	-6.413	-1.1735	-3.385	-0.756	-3.938	0.24	0.225	0.209	-0.238	-0.234	-0.587	-0.152	-0.57	-0.345	-1.407	-0.556	-2.057	-1.629	-3.277	0.197	-2.391	-1.542	-0.824	-4.411	-3.555	-3.746	-3.451	-2.823	-2.976	0.614	0.407	-1.36
"YOR206W"	-3.702	-2.15	0.286	-3.585	-5.083	-4.513	1.184	0.802	1.088	0.951	-1.8605	-1.859	-1.39	-5.827	-2.568	-2.0395	-6.4785	-2.919	-3.1625	-1.9445	-3.888	0.079	0.247	1.049	0.272	0.378	0.37	-0.037	-0.009	0.473	-3.65	-2.191	-2.398	-2.168	-5.066	-0.493	-3.839	-2.816	-1.474	-3.193	-2.539	-4.817	-2.585	-1.507	-2.379	-0.224	-0.516	-2.141
"YOR293W"	-2.435	-1.765	-0.269	-2.205	-3.618	-3.854	1.033	0.0	0.782	0.753	-1.3	-1.323	-0.998	-4.155	-3.7615	-3.19	-4.496	-2.907	-3.442	-3.1085	-4.233	0.428	0.14	0.317	-0.097	-0.063	-0.746	-0.259	0.177	0.176	-2.613	-1.918	-2.238	-2.131	-3.151	0.057	-3.047	-1.776	-0.822	-3.53	-3.262	-3.853	-3.23	-2.89	-3.271	-0.499	-0.548	-1.809
"YOR294W"	-3.828	-2.336	0.312	-3.73	-4.407	-3.632	1.553	1.007	1.543	1.28	-1.7325	-1.598	-1.099	-5.6475	-2.427	-1.914	-5.2465	-2.791	-3.318	-1.8445	-1.284	0.314	0.197	1.102	0.1	0.36	-0.011	0.033	-0.547	0.641	-3.461	-1.971	-3.216	-3.031	-4.852	-0.365	-4.841	-3.679	-1.729	-2.722	-2.74	-5.145	-2.254	-1.895	-1.229	-0.342	-0.611	-1.907
"YOR310C"	-4.365	-2.174	0.11	-3.309	-4.639	-3.004	1.211	0.783	1.223	1.0465	0.19	-1.831	-1.366	-6.006	-3.92	-3.4655	-7.1385	-3.101	-3.766	-3.585	-5.777	0.126	0.245	0.809	0.307	0.094	0.285	0.046	-0.207	0.306	-2.449	-1.598	-2.08	-2.17	-4.948	-0.018	-4.326	-3.006	-1.468	-4.564	-4.629	-5.14	-4.292	-3.502	-2.073	-0.23	-0.442	-2.539
"YOR312C"	-2.612	-1.832	0.049	-1.995	-2.723	-3.7	1.374	0.785	1.167	0.9475	0.351	-1.361	-1.05	-3.8645	-3.381	-2.919	-4.8175	-2.4995	-2.99	-3.177	-4.638	-0.041	0.38	0.46	0.087	0.016	-0.45	-0.253	0.046	-0.019	-2.549	-1.732	-2.5	-2.243	-2.873	0.182	-3.057	-1.602	-1.109	-4.379	-3.433	-4.531	-3.454	-2.689	-2.886	-0.38	-0.246	-1.926
"YPL090C"	-2.09	-1.812	-0.046	-2.497	-3.529	-3.965	0.955	0.319	0.871	0.9415	-1.1425	-1.4	-0.979	-3.9615	-3.256	-2.7785	-6.197	-2.01	-3.398	-3.223	-5.307	0.091	0.304	0.332	-0.113	-0.095	-0.717	-0.376	-0.715	0.127	-2.805	-2.023	-1.985	-1.805	-3.272	0.325	-2.536	-1.416	-0.133	-4.244	-3.265	-4.101	-3.571	-2.951	-2.658	-0.08	0.054	-1.851
"YPL142C"	-1.932	-1.577	-0.214	-2.625	-2.913	-3.225	1.023	0.966	1.2695	1.009	-0.6385	-0.9545	-0.7835	-3.1395	-2.973	-2.7515	-5.604	-2.427	-2.825	-3.3035	-4.155	0.263	0.549	0.493	0.24	0.055	-0.293	-0.332	-1.025	-0.002	-1.852	-1.366	-1.839	-2.009	-3.034	0.152	-2.333	-1.691	-0.82	-3.763	-3.021	-3.677	-3.278	-2.971	-3.35	0.009	-0.317	-1.942
"YPL183C"	-2.124	-0.975	-0.021	-2.298	-1.925	-2.585	1.098	0.149	0.813	0.748	-0.76	-1.325	-1.2805	-3.014	-2.069	-1.767	-3.957	-1.459	-2.1075	-1.7485	-2.335	0.058	-0.297	0.697	0.168	-0.06	-0.093	0.076	-0.891	0.348	-2.373	-1.906	-1.231	-1.307	NaN	-0.331	-2.4425	-2.179	-1.072	-2.605	-2.4425	-2.8755	-2.0785	-1.577	-1.825	-0.6625	-0.9615	-1.9935
"YPL198W"	-1.747	-1.674	-0.131	-2.023	-3.084	-3.342	1.284	1.049	0.94	0.968	-0.782	-1.127	-0.9245	-4.269	-3.194	-2.836	-6.879	-2.7345	-3.4825	-3.3185	-3.875	0.137	0.219	0.4	-0.02	-0.062	-0.382	-0.26	-0.189	-0.133	-2.043	-1.497	-1.951	-2.099	-2.581	-0.214	-2.3655	-1.4145	-0.5425	-4.2325	-3.528	-3.4955	-4.5575	-2.68	-3.5	0.1925	0.213	-2.162
"YPL220W"	-2.404	-2.004	-0.422	-2.267	-3.278	-3.871	1.277	1.152	1.154	1.2	-1.263	-1.541	-1.1745	-3.389	-2.4215	-2.18	-6.1465	-2.8915	-3.0375	-3.442	-3.51	0.401	0.263	0.252	-0.338	-0.627	-0.536	-0.154	-0.05	-0.475	-2.457	-2.005	-2.078	-2.022	-3.09	-0.241	-2.654	-2.004	-0.542	-3.366	-2.375	-3.554	-2.774	-2.352	-3.007	-0.154	-0.397	-1.785
"YPL226W"	-3.002	-1.42	-0.1885	-2.4945	-3.229	-4.183	0.7565	0.8625	0.906666666666667	0.858	-1.164	-1.50333333333333	-1.065	-4.86566666666667	-3.38066666666667	-2.57633333333333	-5.67966666666667	-2.472	-3.37333333333333	-2.503	-4.0095	0.386	0.4195	0.7775	0.1235	-0.4785	1.0685	0.7015	-0.1985	-0.0315	-1.907	-1.6065	-1.3845	-1.3565	-3.215	-0.745	-3.076	-2.041	-1.164	-2.657	-3.519	-3.811	-3.004	-2.748	-2.36	-0.123	-0.092	-1.471
"YPR102C"	-2.298	-1.669	-0.074	-2.206	-3.37	-4.232	1.367	0.34	1.2	1.1555	-1.2305	-1.199	-0.851	-3.521	-3.2315	-3.2945	-6.451	-1.9585	-3.5055	-4.118	-4.644	0.506	0.199	0.253	-0.07	-0.164	-0.806	-0.289	-0.546	0.106	-2.388	-1.826	-2.23	-2.126	-3.007	-0.209	-2.5	-1.582	-0.624	-3.927	-2.614	-4.015	-3.517	-2.547	-3.247	-0.207	-0.279	-2.16
"YPR110C"	-3.084	-1.217	0.085	-2.507	-3.52	-3.728	0.96	0.952	1.068	0.986	-1.421	-1.383	-1.0145	-5.7185	-3.423	-3.2115	-6.318	-2.6255	-3.01	-3.296	-3.88	0.311	0.279	0.744	0.179	-0.016	0.09	-0.127	-0.469	0.419	-2.308	-1.703	-2.158	-2.174	-3.168	-0.355	-3.436	-2.354	-1.182	-2.851	-1.853	-3.882	-3.113	-2.597	-2.759	-0.53	-0.607	-1.842
"YPR143W"	-2.179	-2.174	-0.018	-2.433	-3.115	-2.963	0.954	0.105	0.8905	0.9115	-0.523	-1.2205	-1.158	-1.922	-1.2485	-0.975	-3.332	-1.4065	-2.0935	-1.4905	-2.489	0.049	-0.133	0.699	-0.092	0.359	-0.159	-0.227	-0.292	0.535	-1.404	-1.302	-1.163	-1.721	-3.674	0.007	-2.33	-1.733	-0.765	-2.449	-1.507	-3.13	-1.987	-1.478	-0.892	-0.015	-0.812	-1.118
"YPR144C"	-4.211	-1.224	-0.07	-2.783	-3.783	-3.366	1.086	0.111	1.1655	1.1525	-1.378	-1.342	-0.8905	-3.855	-1.9705	-2.235	-4.2065	-2.4285	-2.0425	-1.8885	-2.256	0.257	-0.073	0.584	0.01	0.214	0.617	0.179	-0.66	0.345	-1.376	-0.956	-1.438	-1.474	-4.107	-0.141	-3.213	-2.381	-1.442	-2.991	-2.5	-3.937	-2.277	-1.752	-0.96	0.273	-0.471	-1.26
"YPR163C"	-2.832	-1.926	0.268	-2.415	-3.276	-3.939	1.032	-0.186	1.048	1.063	-1.3005	-1.2635	-0.946	-3.6815	-2.265	-2.266	-5.4905	-2.1035	-2.5635	-2.469	-3.136	0.119	0.059	0.28	-0.278	-0.286	-0.021	0.198	-0.605	-0.106	-2.045	-1.884	-1.688	-1.806	-3.572	-0.164	-3.015	-1.939	-1.454	-3.506	-3.14	-3.575	-2.873	-2.034	-2.32	-0.204	-0.238	-1.088
