	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"800.Heat Shock 015 minutes"	"811.DES459 (mec1) + heat 20 min"	"813.MHY1 (dun1) + heat 20 min"	"824.DY1457 (wild type) 10 uM zinc vs. 3 mM"	"831.1.5 mM diamide (20 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"942.starv_in_H2O_1_h_30C"	"976.wt_plus_gamma_5_min"	"1107.alpha factor release sample025"	"1155.DY1457 (wild type) 3 mM vs. 10 uM zinc"	"4780.DBYtrr1 + 0.1 mM H2O2 - 30 min"	"4781.DBYtrr1 + 0.3 mM H2O2 - 30 min"	"4872.1M sorbitol - 60 min"	"6679.trr - 0.1 mM H2O2 - 10 min"	"6681.trr - 0.1 mM H2O2 - 30 min"	"6685.trr - 0.3 mM H2O2 - 10 min"	"6688.trr - 0.3 mM H2O2 - 30 min"	"7536.25C -- 30 min"	"7538.25C -- 60 min"	"7539.25C -- 90 min"	"8521.dun1- + 0.02% MMS - 120 min"	"8528.dun1- + 0.02% MMS - 90 min"	"12169.aft2 minus cells with control plasmid vs aft2 minus cells with AFT2 vector"	"12744.heat shock 17 to 37, 20 minutes"	"32253.DBY8778_heat_shock2_15min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"37280.CC SP 2A  Sulfate-Phosphate Chemostat Comparison"	"37281.CC SP 3A  Sulfate-Phosphate Chemostat Comparison"
"YLR129W"	-4.096	-2.921	-3.022	-2.347	-3.676	-3.658	-3.455	-1.722	-0.985	-0.211	-2.548	-4.83	-2.28	-4.914	-3.214	-3.12	-1.83	-0.04	-0.048	-0.484	-0.082	0.139	-1.033	-1.465	-1.923	-1.91	1.167	0.345	0.456	-0.141	-0.046	-0.06	-4.108	-4.374	-3.422	-2.781	-4.119	-2.843	-2.213	0.067	0.021
"YLR196W"	-5.425	-5.709	-5.04	-3.221	-4.896	-4.532	-3.946	-2.273	-1.576	0.106	-2.562	-5.083	-3.01	-5.836	-2.118	-2.858	-1.404	-0.053	0.036	-0.433	-1.133	0.24	-1.051	-0.278	-1.188	-1.159	1.362	1.194	0.764	-0.434	-0.223	-0.406	-5.097	-3.697	-2.901	-2.83	-3.658	-2.412	-1.969	0.298	0.108
"YLR222C"	-6.055	-4.536	-4.292	-2.648	-4.709	-3.682	-2.852	-1.755	-1.167	0.158	-2.269	-4.423	-1.933	-4.745	-2.391	-2.384	-1.525	-0.197	0.276	0.063	-0.343	0.048	-1.12	-0.643	-0.721	-1.184	0.799	0.211	0.337	-0.186	0.093	0.15	-4.667	-1.806	0.423	-1.501	-1.727	-1.391	-1.453	0.208	0.093
"YMR197C"	2.306	2.409	1.506	2.121	2.282	1.924	0.636	0.909	0.744	-0.096	1.482	1.437	0.675	-2.474	1.448	1.788	1.403	-0.189	-0.001	0.259	0.334	0.254	0.404	0.344	0.55	1.391	-0.829	-0.57	-0.99	0.805	0.647	0.148	2.301	1.769	0.438	0.417	0.908	0.774	0.344	-0.193	-0.214
"YMR290C"	-3.64	-3.112	-3.689	-2.957	-3.89	-3.624	-2.19	-2.714	-2.071	0.218	-2.545	-5.132	-3.842	-5.217	-3.458	-3.243	-2.166	0.132	0.161	-0.548	-0.503	-0.092	-1.56	-0.567	-1.643	-1.973	1.486	0.729	1.055	-0.155	-0.094	-0.327	-4.129	-4.343	-4.028	-3.856	-4.544	-3.558	-3.243	0.313	0.177
"YNL002C"	-4.666	-4.12	-4.07	-3.305	-4.559	-4.222	-3.653	-2.677	-1.824	0.443	-2.627	-5.196	-2.914	-3.468	-2.839	-3.072	-1.983	-0.152	0.124	-1.244	-1.265	-0.059	-1.728	-0.693	-2.118	-1.586	1.193	0.996	0.499	-0.098	0.05	-0.454	-4.603	-3.481	-2.92	-2.649	-4.466	-2.41	-2.181	-0.149	-0.309
"YNL062C"	-3.459	-1.549	-2.934	-2.143	-3.093	-2.844	-1.873	-1.093	-1.064	0.05	-1.917	-4.157	-2.785	-6.263	-2.538	-2.304	-1.441	0.077	0.064	-0.24	-0.254	-0.003	-0.524	-0.336	-0.914	-1.294	0.991	0.209	0.08	0.291	0.232	0.233	-2.71	-4.112	-2.698	-2.338	-2.838	-2.509	-1.871	0.385	0.088
"YNL074C"	1.661	1.273	0.823	1.15	1.394	1.529	0.32	0.817	0.325	-0.037	0.538	0.651	0.981	1.668	0.412	0.719	0.459	-0.17	0.081	0.266	0.291	-0.119	0.255	0.281	0.08	0.507	-0.211	-0.117	-0.595	0.522	0.553	0.087	1.441	1.074	0.653	0.673	1.209	1.13	0.417	0.099	0.091
"YNL113W"	-3.404	-2.327	-2.697	-2.322	-2.536	-2.502	-1.524	-1.165	-0.592	0.314	-1.612	-5.347	-3.34	-7.034	-2.113	-3.971	-1.332	-0.096	0.344	-0.645	-1.158	-0.176	-0.967	-0.508	-1.198	-1.413	1.074	0.755	0.206	-0.119	0.08	-0.517	-3.986	-2.788	-2.809	-2.407	-4.226	-2.606	-2.059	-0.086	-0.052
"YNL114C"	-2.893	-1.943	-2.686	-2.468	-3.33	-3.663	-2.355	-1.548	-0.814	0.127	-1.853	-5.245	-2.663	-6.572	-2.048	-2.827	-1.491	-0.056	0.085	-0.674	-0.589	0.383	-1.329	-0.77	-1.614	-1.434	1.12	0.698	-0.002	-0.447	0.074	0.028	-2.799	-2.336	-2.905	-1.754	-4.14	-2.842	-1.49	-0.069	-0.081
"YNL151C"	-2.707	-1.814	-2.055	-2.682	-2.835	-2.667	-1.586	-1.246	-1.202	0.296	-1.236	-1.688	-0.896	-2.706	-1.45	-1.523	-1.076	-0.104	0.009	-0.353	-0.704	-0.217	-0.665	-0.153	-0.314	-0.683	0.823	0.635	0.586	0.159	-0.313	-0.206	-3.201	-2.152	-3.305	-2.364	-3.425	-2.373	-1.589	-0.192	-0.473
"YNL248C"	-4.791	-4.364	-4.315	-3.398	-4.455	-4.373	-3.395	-2.352	-1.798	0.104	-2.425	-5.716	-3.559	-5.215	-3.618	-3.866	-1.594	0.19	-0.032	-0.801	-0.904	0.124	-1.222	-0.549	-1.744	-2.203	1.136	0.531	0.583	-0.171	-0.119	-0.223	-4.868	NaN	-4.652	-4.217	-6.193	-3.878	-3.385	0.389	0.203
"YNL313C"	-3.472	-3.287	-3.026	-2.399	-2.935	-3.02	-1.887	-1.152	-0.746	0.176	-2.31	-4.999	-2.695	-5.714	-2.852	-3.129	-1.095	0.191	0.244	-0.093	-0.15	0.106	-0.846	-0.426	-1.018	-0.982	0.614	0.041	0.202	0.259	0.469	0.3	-3.009	-2.824	-1.867	-1.835	-3.85	-2.129	-1.672	0.101	-0.099
"YNR054C"	-3.072	-1.505	-1.849	-2.561	-3.745	-2.256	-0.952	-1.698	-1.382	0.144	-1.723	-1.6465	-0.4305	-0.975	-1.43	-1.1455	-1.358	-0.14	0.091	-0.371	-0.213	-0.094	-0.756	-0.1	0.181	-0.9	0.708	0.587	0.237	0.445	0.401	-0.158	-3.271	-3.275	0.252	-2.01	-2.609	-1.366	-1.353	0.036	-0.127
"YOR056C"	-3.307	-2.372	-2.801	-2.448	-3.069	-2.663	-0.9735	-1.533	-1.248	0.486	-2.064	-2.513	-1.525	-4.196	-1.481	-1.2525	-1.039	-0.172	0.162	-0.485	0.028	-0.097	-0.724	-0.436	-0.194	-0.669	1.041	1.117	0.313	0.379	0.257	-0.395	-3.073	-3.941	-1.546	-1.837	-3.046	-1.406	-1.47	-0.169	-0.389
"YOR145C"	-3.98	-3.649	-3.795	-2.871	-3.492	-3.402	-2.2695	-1.606	-0.938	0.219	-2.441	-4.1305	-2.03	-3.4715	-1.3615	-2.7235	-1.688	-0.002	0.135	-0.972	-0.966	-0.001	-1.429	-0.678	-1.414	-1.825	1.009	1.174	0.337	-0.009	0.102	-0.285	-3.948	-3.644	-2.939	-2.352	-4.493	-1.998	-1.893	0.398	0.171
"YOR146W"	-3.231	-2.16	-2.681	-3.597	-3.42	-3.036	-2.036	-1.335	-0.728	0.378	-2.093	-3.402	-1.9575	-3.7465	-2.384	-2.648	-1.376	-0.123	0.07	-0.46	-0.294	0.047	-1.176	-0.279	-1.026	-0.958	1.06	0.994	0.34	0.077	0.074	-0.083	-4.259	-2.594	-0.569	-1.294	-2.731	-1.055	-0.935	0.211	0.055
"YOR206W"	-5.087	-4.715	-3.702	-3.585	-5.083	-4.513	-3.849	-2.605	-1.361	-0.056	-2.894	-5.827	-2.568	-6.4785	-2.919	-3.1625	-1.949	-0.064	0.155	-0.849	-1.25	-0.2	-1.803	-0.889	-1.981	-2.42	1.327	0.571	0.769	-0.476	0.088	-0.157	-5.066	-3.839	-3.193	-2.539	-4.817	-2.585	-1.507	-0.037	-0.03
"YOR243C"	-3.594	-2.991	-3.234	-2.436	-3.633	-3.982	-2.5655	-1.407	-1.357	0.204	-1.985	-3.8055	-2.475	-4.3935	-1.9265	-2.588	-0.821	0.092	-0.029	-0.524	-0.652	-0.005	-1.441	-0.516	-1.451	-2.226	1.638	0.609	0.884	0.0	-0.026	0.112	-4.099	-2.845	-1.759	-1.808	-2.825	-2.065	-1.562	0.29	0.085
"YOR294W"	-4.574	-3.533	-3.828	-3.73	-4.407	-3.632	-3.3475	-2.027	-1.528	-0.044	-2.434	-5.6475	-2.427	-5.2465	-2.791	-3.318	-1.683	-0.101	0.084	-1.186	-1.288	-0.128	-1.656	-0.773	-1.872	-1.818	0.666	0.727	0.564	-0.333	-0.13	-0.133	-4.852	-4.841	-2.722	-2.74	-5.145	-2.254	-1.895	-0.054	-0.136
"YOR309C"	-4.991	-4.198	-4.328	-3.697	-5.523	-5.514	-3.838	-2.572	-2.067	0.31	-2.476	-6.798	-4.4185	-6.859	-3.07	-3.709	-1.08	0.103	0.043	-1.787	-1.618	0.043	-2.169	-0.712	-2.746	-2.255	1.648	1.375	1.048	-0.223	0.026	-0.679	-4.939	-2.102	-2.543	-3.28	-4.097	-3.518	-2.477	0.038	-0.246
"YPL003W"	1.675	1.768	1.117	1.252	0.894	1.059	0.706	0.863	-0.228	-0.304	1.067	1.0545	1.256	-1.299	1.4645	1.0535	1.124	-0.33	-0.317	-0.077	0.138	-0.14	-0.046	0.091	-0.002	0.7	-0.456	0.077	-0.475	0.128	0.5	-0.169	1.13	1.027	0.969	0.831	0.822	0.715	0.008	-0.162	-0.105
"YPL043W"	-4.246	-2.686	-4.0	-3.773	-4.198	-4.087	-3.299	-2.45	-1.639	-0.067	-2.529	-4.668	-2.8315	-3.79	-3.242	-3.157	-1.295	-0.013	-0.308	-0.485	-0.18	-0.112	-0.585	-0.62	-0.856	-1.281	1.546	1.67	0.996	-0.255	-0.346	-0.299	-4.555	-3.988	-3.093	-2.958	-4.308	-2.784	-2.516	0.085	-0.132
"YPL086C"	-2.374	-1.678	-1.502	-2.322	-2.561	-2.524	-1.6435	-1.408	-1.243	0.065	-1.533	-3.4025	-1.371	-5.552	-2.399	-2.6475	-1.494	-0.137	0.258	-0.074	-0.684	0.072	-1.205	-0.526	-1.391	-1.462	1.052	0.474	0.336	0.164	0.24	0.456	-2.138	-3.386	-2.994	-2.108	-3.672	-1.773	-1.346	0.158	0.035
"YPL123C"	3.408	NaN	2.954	1.795	2.13	2.313	1.0335	2.373	0.768	-0.064	1.313	3.3745	1.7765	-2.286	1.518	2.33	1.425	-0.432	-0.15	0.993	0.632	-0.187	0.867	0.599	0.336	1.512	NaN	-0.918	-0.205	0.308	0.761	0.166	3.422	3.01	2.792	2.65	3.201	2.71	2.144	0.57	0.621
"YPL146C"	-3.196	-2.071	-2.458	-2.143	-3.003	-3.135	-1.205	-1.618	-1.21	0.283	-2.267	-2.239	-1.417	-3.5085	-1.4725	-2.007	-1.329	-0.188	-0.109	-0.682	-0.284	-0.045	-0.991	-0.78	-0.395	-0.818	1.269	0.795	0.775	-0.13	-0.07	-0.155	-3.416	-2.623	-2.508	-1.864	-2.955	-2.098	-1.463	-0.259	-0.242
"YPL212C"	-2.8775	-0.0235	-2.504	-2.069	-3.0655	-2.0715	-0.110333333333333	-0.9905	-0.9265	0.216	-1.24433333333333	-3.33233333333333	-2.51233333333333	-2.626	-1.57066666666667	-1.874	0.027	-0.3745	-0.0765	0.0675	-0.3365	-0.0425	-0.1435	0.3715	-0.304	-0.4765	1.013	0.6295	0.4105	0.409	0.481	-0.0485	-2.912	-2.6875	-2.339	-2.278	-3.1355	-2.7785	-1.994	-0.166	-0.312
"YPL263C"	-1.7625	-1.5025	-1.571	-1.659	-2.1515	-1.5755	-0.724333333333333	-1.5225	-1.498	-0.0276666666666667	-1.644	-2.61633333333333	-1.47966666666667	-4.9735	-2.01166666666667	-2.09033333333333	-0.828	-0.002	-0.2085	-0.5305	-0.954	0.0595	-0.617	-0.06	-0.976	-1.5055	0.368	0.157	0.2475	-0.059	-0.214	-0.154	-2.388	-2.6785	-2.2465	-1.5945	-2.799	-1.521	-0.8505	-0.2115	-0.3155
"YPR008W"	0.896	1.077	0.665	0.485	0.948	1.051	0.743	1.152	0.351	0.055	-0.0045	0.7185	0.6615	-1.0	1.1745	0.989	0.212	-0.157	0.012	-0.218	0.008	-0.083	-0.204	0.018	-0.091	0.127	0.293	-0.245	-0.091	-0.291	-0.039	-0.388	1.128	0.249	-0.094	0.284	0.582	0.696	-0.016	-0.106	-0.021
"YPR110C"	-3.178	-1.98	-3.084	-2.507	-3.52	-3.728	-2.207	-1.742	-1.61	0.123	-1.572	-5.7185	-3.423	-6.318	-2.6255	-3.01	-1.698	-0.038	0.243	-0.709	-0.678	-0.091	-1.496	-0.567	-1.994	-1.245	1.389	0.81	0.644	-0.157	0.216	-0.752	-3.168	-3.436	-2.851	-1.853	-3.882	-3.113	-2.597	0.115	-0.03
"YPR137W"	-2.433	-2.948	-1.82	-2.027	-2.094	-2.127	-1.5625	-1.216	-0.865	0.189	-1.601	-3.344	-2.178	-3.783	-1.6655	-2.4325	-1.21	-0.124	-0.06	0.037	0.186	-0.048	-0.713	-0.873	-0.256	-0.822	0.967	0.309	0.176	-0.126	-0.385	-0.216	-2.92	-2.642	-3.399	-3.112	-3.954	-3.383	-2.267	-0.034	-0.162
"YPR144C"	-4.441	-3.739	-4.211	-2.783	-3.783	-3.366	-2.613	-1.773	-1.056	-0.0215	-2.554	-3.855	-1.9705	-4.2065	-2.4285	-2.0425	-1.439	0.04	-0.027	-0.54	-0.306	0.207	-1.164	-0.636	-1.424	-1.887	0.686	0.069	0.157	-0.007	0.082	-0.2	-4.107	-3.213	-2.991	-2.5	-3.937	-2.277	-1.752	0.322	0.202
"YPR163C"	-2.552	-2.883	-2.832	-2.415	-3.276	-3.939	-1.9175	-2.061	-1.817	0.1245	-1.102	-3.6815	-2.265	-5.4905	-2.1035	-2.5635	-0.622	-0.189	0.319	-1.139	-1.408	-0.06	-0.93	-0.02	-1.288	-1.34	0.634	1.037	0.853	-0.448	-0.36	-0.602	-3.572	-3.015	-3.506	-3.14	-3.575	-2.873	-2.034	-0.1	-0.247
"YPR190C"	-2.139	-2.172	-2.209	-1.967	-2.308	-2.807	-1.5	-1.371	-0.718	0.1075	-2.027	-3.288	-1.7615	-3.101	-1.5995	-2.21	-1.145	0.007	0.317	-0.536	-0.249	0.147	-1.033	-0.932	-1.143	-0.911	0.858	0.784	0.14	0.136	0.176	-0.023	-2.414	-1.065	-0.472	-1.181	-2.124	-1.108	-0.715	-0.031	-0.004
