	"686.YP ethanol vs reference pool"	"812.1M sorbitol - 45 min (* centrifugation problem)"	"813.MHY1 (dun1) + heat 20 min"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"2554.Hypo-osmotic shock -15 minutes"	"2556.Hypo-osmotic shock - 45 minutes"	"2557.Hypo-osmotic shock - 60 minutes"	"5358.1M sorbitol - 5 min"	"6344.DES460 + 0.02% MMS - 5 min"	"6824.Sporulation t0"	"7539.25C -- 90 min"	"8291.wt+pRS315 vs. wt+pRS-MCM7"	"11466.yO1 test hyb"	"12053.GAL-vector expression 0 hr (repeat 01)"
"YOR198C"	-0.646	0.094	0.191	-1.107	-0.782	-1.3675	-1.6725	-1.933	-4.452	-5.562	-1.262	-0.9675	-2.46	-1.543	-2.3	-2.828	-4.384	-4.657	-4.415	0.433	0.329	0.312	-0.098	0.182	0.096	0.483	-0.068	-2.297	0.029
"YOR239W"	-0.538	0.065	-0.421	-0.777	-0.5165	-1.1765	-1.31	-2.145	-3.232	-5.0985	-1.633	-1.8425	-1.631	-1.273	-2.053	-2.15	-3.149	-3.934	-3.704	0.276	0.23	0.309	0.184	0.021	-0.121	0.848	0.172	-1.366	-0.1615
"YOR281C"	-0.988	0.194	-0.511	-1.026	-0.771	-1.146	-0.8725	-1.02	-2.3545	-2.4825	-1.0995	-1.0595	-1.732	-1.155	-1.256	-1.893	-2.557	-2.663	-2.572	-0.075	0.025	0.064	-0.076	0.094	-0.518	0.095	-0.248	-1.456	-0.193
"YOR323C"	-0.775	-0.05	-0.816	-1.7105	-1.401	-1.757	-1.941	-2.0305	-4.2845	-6.434	-2.106	-2.053	-1.211	-0.904	-1.557	-1.382	-2.742	-3.497	-3.428	0.283	0.269	-0.003	0.031	0.227	0.018	0.034	0.238	-1.603	-0.532
"YOR326W"	-0.926	-0.12	-1.069	-1.798	-0.945	-1.475	-1.329	-1.6295	-3.4635	-4.9875	-2.6115	-1.9335	-2.219	-1.343	-1.82	-2.099	-3.585	-3.591	-2.795	0.115	0.422	0.556	0.183	0.205	0.215	0.525	-0.003	-1.467	0.354
"YOR345C"	-0.663	-0.078	-0.764	-0.9875	-0.919	-0.807	-0.5	-0.542	-0.9555	-2.4785	-0.2035	-1.0685	-1.665	-1.253	-0.694	-0.539	-1.084	-1.785	-1.66	0.041	0.108	0.029	-0.213	0.161	-0.722	-0.539	0.346	-0.02	0.268
"YPL037C"	-0.462	-0.359	-0.961	-2.081	-2.0885	-1.9235	-1.975	-2.12	-3.9955	-5.417	-2.148	-1.96	-2.203	-1.255	-1.561	-1.872	-2.115	-3.222	-3.654	0.27	0.319	0.234	-0.218	0.237	-0.288	1.094	0.473	-1.648	-0.204
"YPL070W"	0.177	-0.041	0.524	0.5995	0.844	0.494	1.114	1.581	-0.703	-1.722	0.249	-0.092	0.32	-0.039	0.74	1.192	-0.749	-1.012	-2.973	0.233	0.017	0.084	0.029	-0.02	0.007	-0.242	-0.172	0.972	-0.086
"YPL243W"	-0.823	-0.143	-0.704	-1.434	-1.106	-1.109	-1.456	-1.5805	-4.1455	-5.276	-1.315	-1.5105	-1.931	-1.042	-1.377	-1.873	-2.602	-3.541	-3.544	0.133	0.074	-0.001	-0.137	0.174	0.008	0.196	0.321	-1.188	0.202
"YPR033C"	-0.59	-0.253	-1.113	-1.8465	-1.291	-1.908	-2.534	-2.142	-4.8805	-7.94	-2.759	-2.6225	-2.203	-1.226	-2.096	-2.55	-3.951	-4.382	-4.54	0.576	0.458	0.431	0.089	0.242	0.135	0.506	0.024	-2.107	-0.152
"YPR072W"	-0.316	0.007	-0.148	-0.59	-0.261	-0.5605	-0.886	-1.344	-2.898	-2.576	-0.614	-0.71	-0.603	-0.762	-1.049	-1.217	-2.507	-2.585	-2.634	0.022	-0.078	-0.062	-0.151	0.061	0.066	0.214	0.219	-1.021	-0.047
"YPR119W"	-0.787	-0.453	-1.356	-2.3105	-1.0915	-1.6945	-4.2055	-1.976	-4.6155	-4.3695	-2.3625	-2.5025	-2.424	-1.119	-2.207	-4.062	-3.433	-3.885	-3.308	-0.077	-0.348	0.06	-0.241	-0.096	-0.067	0.504	0.03	-1.316	0.01
