	"58.Elutriation2:Sample2:Time5.0hrs"	"781.Heat Shock 000 minutes (series 2)"	"812.1M sorbitol - 45 min (* centrifugation problem)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"1009.YPD 2 h (25C)"	"1014.YPD 2 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1107.alpha factor release sample025"	"1155.DY1457 (wild type) 3 mM vs. 10 uM zinc"	"1303.diauxic shift timecourse: 0 hr"	"2557.Hypo-osmotic shock - 60 minutes"	"4872.1M sorbitol - 60 min"	"6344.DES460 + 0.02% MMS - 5 min"	"6351.DES460 + 0.02% MMS - 30 min"	"6354.DES460 + 0.2% MMS - 45 min"	"6357.DES460 + 0.02% MMS - 60 min"	"6358.DES460 + 0.02% MMS - 90 min"	"6688.trr - 0.3 mM H2O2 - 30 min"	"8287.mcm1-1 + pRS315 vs. mcm1-1 + pRS-MCM7"	"8520.DES460 + 0.02% MMS - 120 min"	"11466.yO1 test hyb"	"13059.wt/crz1 Na 45min (1)"	"13060.wt/crz1 Na 45min (2)"	"13064.wt/crz1 Ca 30min (2)"	"13070.Ca/Ca+FK 15min (2)"	"16338.DES460 vs. DES460 YPD log phase control"	"21661..24 mM H2O2- 049 minutes/redo"	"21666..24 mM H2O2- 055 minutes"	"40949.H2O2_II_35_min"	"40950.H2O2_II_42_min"	"40951.H2O2_II_49_min"	"40952.H2O2_II_56_min"	"40953.H2O2_II_63_min"	"40954.H2O2_II_70_min"	"40955.H2O2_II_77_min"	"40957.H2O2_II_120_min"	"40967.MD_II_42_min"	"40968.MD_II_49_min"	"40969.MD_II_56_min"	"40970.MD_II_63_min"	"40971.MD_II_77_min"	"40972.MD_II_85_min"	"40973.MD_II_100_min"	"40974.MD_II_120_min"	"40975.MD_II_130_min"	"40976.MD_II_140_min"
"YGL234W"	0.192	0.662	0.434	-3.06	-2.064	-1.819	-2.485	-5.74	0.488	-0.696	-0.919	-1.198	0.086	0.116	0.18	0.161	0.254	NaN	-0.467	-0.406	-0.18	-0.04	-1.671	0.155	-0.33	-1.528	0.424	0.409	-0.36	-0.323	0.394	-2.443	-2.106	-2.803	-2.409	-2.651	-3.493	-3.311	-1.896	-1.777	-2.517	-1.473	-2.449	-2.551	-3.518	-2.992	-3.972	-2.755	-1.583	-3.191	-2.35
"YGR030C"	0.135	0.629	-0.106	-0.026	0.263	-0.892	1.282	-2.548	-0.002	-0.179	-0.636	-0.753	-0.031	-0.298	-0.216	-0.352	0.012	-0.12	-0.197	-0.192	-0.437	-0.241	-0.506	0.075	-0.139	-0.17	0.02	0.182	-0.068	0.099	0.131	-1.906	-0.588	-2.04	-2.521	-2.206	-2.025	-1.403	-0.847	-1.264	-0.821	-1.714	-1.014	-3.177	-2.109	-2.13	-1.727	-3.015	-2.61	-0.923	-1.108
"YGR033C"	0.326	0.361	0.107	0.702	0.371	0.695	0.765	-1.736	0.178	0.469	1.371	1.069	0.139	-0.125	0.165	-0.096	0.127	-0.177	-0.082	-0.214	-0.228	-0.115	0.132	-0.063	-0.25	-0.498	-0.113	0.041	0.112	0.202	0.232	-1.814	-1.251	-0.831	-2.741	-1.98	-2.631	-1.491	-1.778	-1.899	-0.787	-1.502	-0.917	-3.155	-2.515	-1.661	-1.661	-1.416	-1.233	-1.187	-2.56
"YGR061C"	0.367	0.2595	-0.292	-1.1505	-1.4555	-1.6865	-2.8345	-3.447	0.021	-1.7575	-1.6345	-2.528	-0.344	0.14	0.183	0.3115	-0.0275	-0.2455	-0.485	-0.5875	-0.5045	-0.479	-1.19	0.108	-0.407	0.329	-0.187	-0.206	-0.1255	0.265	-0.4465	-1.2355	-0.7205	-1.94	-1.676	-1.7555	-1.914	-2.2585	-2.133	-1.54	-1.276	-1.7475	-1.7845	-1.868	-2.215	-2.278	-1.9185	-1.68	-1.48	-1.8825	-1.3055
"YGR095C"	0.181	0.633	-0.032	-1.905	-1.296	-0.359	-0.816	-3.157	0.313	-0.514	-0.362	-1.176	0.039	0.141	0.029	0.214	0.108	-0.1	-0.508	-0.454	-0.441	-0.186	0.173	-0.013	-0.35	-0.227	0.284	0.39	0.267	0.274	0.209	-1.048	0.01	-0.255	-0.985	-1.084	-0.941	-1.966	-1.331	-0.831	-1.061	-2.052	NaN	-2.001	-0.61	-1.472	-1.633	-1.264	-1.077	-1.26	-1.734
"YGR128C"	-0.352	0.922	-0.203	-3.032	-2.601	-2.665	-2.66	-4.271	-0.071	-2.107	-3.037	-2.679	0.001	-0.086	0.349	0.227	0.096	-0.059	-0.65	-0.361	-0.594	-0.493	-1.376	0.317	-0.446	-1.9935	0.0155	-0.023	-0.302	-0.179	0.278	-2.645	-2.494	-1.4975	-4.806	-2.6405	-2.081	-2.224	-1.335	-1.589	-0.7305	-1.833	-1.582	-1.682	-2.0775	-1.0295	-1.5745	-1.3425	-2.1185	-1.8025	-2.6165
"YGR158C"	0.053	0.674	-0.254	-2.111	-0.958	-1.405	-2.12	-2.421	0.139	-1.068	-1.801	-2.176	0.059	0.17	0.147	-0.1	-0.275	-0.1195	-0.51	-0.535	-0.523	-0.354	-1.047	0.252	-0.634	-0.8485	0.172	0.214	-0.176	-0.096	-0.4895	-1.3505	-1.1445	-0.9055	-2.7335	-1.874	-1.3705	-1.5995	-1.547	-0.8945	-0.8905	-1.0375	-1.848	-1.223	-1.64	-1.698	-2.056	-3.052	-2.433	-1.622	-1.8995
"YGR162W"	0.564	0.8005	-0.4285	-2.589	-1.995	-1.532	-0.459	-3.2845	0.008	-1.1185	-1.614	-1.8905	0.257	0.2065	0.342	0.644	0.0345	0.0393333333333333	-0.3675	-0.355	-0.438	-0.638	-0.178	0.0375	-0.4625	-1.539	-0.118666666666667	-0.212666666666667	-0.236	0.098	-0.23	-1.46566666666667	-1.216	-1.27333333333333	-1.901	-1.64033333333333	-1.90833333333333	-1.96133333333333	-1.47166666666667	-1.25533333333333	-0.908666666666667	-1.62766666666667	-1.40533333333333	-2.19633333333333	-1.209	-1.30466666666667	-1.53633333333333	-3.23066666666667	-2.39433333333333	-1.641	-1.56033333333333
"YGR216C"	-0.257	0.125	-0.119	0.469	0.577	-0.147	0.218	-1.101	-0.008	-0.396	-1.091	-0.943	0.173	-0.209	0.169	0.066	0.018	0.272	-0.089	-0.13	-0.136	-0.142	-0.354	0.407	-0.077	0.755	-0.078	-0.13	-0.014	0.006	0.08	-1.329	-0.992	-0.996	-2.781	-1.846	-1.303	-1.168	-1.861	-1.171	-0.972	-1.145	-0.73	-2.129	-1.213	-0.781	-0.396	-1.481	-1.259	-1.755	-1.43
"YGR264C"	0.048	0.85	-0.214	-3.787	-2.696	-3.206	-5.206	-4.616	0.362	-2.707	-4.957	-4.753	0.071	0.234	0.499	0.275	-0.079	-0.026	-0.432	-0.287	-0.511	-0.701	-0.867	0.328	-0.827	-2.468	0.034	-0.035	-0.271	-0.331	0.147	-1.405	-1.912	-2.244	-2.542	-1.979	-2.475	-2.845	-2.239	-2.046	-2.09	-1.735	-2.295	-3.481	-2.999	-1.884	-1.222	-2.931	-2.022	-4.532	-2.536
"YGR276C"	-0.024	0.202	0.217	-0.353	-0.479	-0.409	-0.325	-2.175	0.205	-0.539	-1.155	-1.637	0.074	0.081	0.279	0.122	-0.1	-0.032	0.113	0.181	0.241	0.295	0.739	0.127	0.154	-0.367	-0.214	-0.175	0.202	-0.107	0.166	-1.623	-1.371	-0.995	-2.046	-1.493	-1.169	-1.267	-1.245	-1.649	-0.671	-2.561	-2.054	-1.951	-2.037	-2.552	-1.195	-3.764	-0.841	-1.79	-2.064
"YHL013C"	-0.14	0.452	-0.169	-1.592	-0.779	-1.218	-3.25	-2.833	0.07	-1.116	-2.2	-0.717	0.261	0.021	-0.065	0.055	0.038	-0.1885	-0.273	-0.254	-0.368	-0.439	-0.958	0.21	-0.204	-0.585	0.305	0.411	-0.351	-0.425	0.015	-1.106	-1.367	-1.573	-1.68	-2.253	-1.833	-1.526	-2.158	-1.591	-1.033	-1.318	-2.933	-3.325	-2.312	-1.963	-2.096	-1.887	-2.003	-2.976	-2.505
"YHL039W"	-0.074	0.837	-0.2745	-1.821	-0.65	-0.4745	-0.9825	-3.2375	0.036	-0.9225	-0.851	-1.0325	0.119	-0.1685	0.066	0.3655	-0.052	-0.251666666666667	-0.7255	-0.5865	-0.5515	-0.402	-0.709	0.0865	-0.4805	-0.508	-0.0595	-0.127	-0.1965	-0.1515	0.125	-1.644	-1.655	-0.993	-1.7975	-1.079	-1.2905	-1.608	-0.9835	-0.7395	-1.3875	-1.5475	-2.5555	-1.912	-0.8785	-1.3605	-1.7855	-1.648	-1.315	-2.2625	-2.4065
"YHR020W"	0.012	0.868	-0.261	-4.019	-2.214	-2.709	-2.69	-4.045	0.286	-1.649	-2.26	-2.19	0.291	0.185	1.959	0.844	-0.16	0.1685	-0.256	-0.316	-0.509	-0.544	-0.879	-0.017	-0.521	-2.656	0.137	0.093	-0.34	-0.343	-0.461	-1.634	-1.358	-0.958	-2.132	-2.031	-1.903	-2.306	-1.471	-2.453	-1.938	-1.668	-2.26	-2.475	-3.496	-3.304	-2.501	-2.595	-2.125	-3.397	-2.597
"YHR031C"	0.349	0.053	-0.158	-0.464	-0.383	0.907	-2.163	-3.341	0.154	-0.414	-1.807	-1.254	-0.4	0.157	-0.34	-0.006	0.496	-0.1485	-0.823	-0.353	-0.461	-0.22	-0.646	-1.363	-0.246	-0.023	0.43	0.45	-0.443	-0.085	-0.457	-0.586	-0.711	-0.73	NaN	-2.149	-1.899	-3.37	-0.668	-0.869	-1.113	-2.251	-1.586	-1.143	-1.657	-1.621	-2.044	-0.896	-3.088	-1.667	-1.6
"YHR128W"	0.394	0.833	-0.214	-4.359	-3.335	-3.742	-4.967	-6.006	0.394	-3.051	-3.494	-3.516	0.195	0.338	0.296	0.288	0.062	0.0725	-0.562	-0.793	-0.851	-1.271	-2.062	-0.097	-1.307	-1.769	0.27	0.315	0.559	0.384	-0.44	-1.311	-2.079	-0.09	-1.861	-2.441	-2.644	-2.222	-2.467	-1.653	-1.593	-1.853	-3.324	-1.517	-3.173	-2.944	-2.747	-3.448	-3.644	-3.711	-4.039
"YHR148W"	0.334	1.341	-0.176	-3.086	-1.904	-1.63	-2.321	-3.377	-0.085	-0.949	-0.995	-0.267	-0.032	-0.041	0.104	0.294	-0.024	0.0325	-0.504	-0.553	-0.819	-1.037	-0.255	0.237	-0.559	-1.486	-0.192	-0.162	-0.493	-0.264	-0.331	-1.702	-1.694	-2.268	-3.323	-3.249	-3.362	-1.915	-4.073	-1.797	-0.655	-1.316	-2.256	-2.333	-1.169	-1.809	-2.863	-0.905	-1.392	-1.588	-2.152
"YHR169W"	-0.067	1.037	-0.578	-4.241	-3.115	-1.952	-3.506	-3.088	0.076	-1.172	-1.459	-2.009	0.061	0.324	0.129	0.091	-0.009	-0.2335	-1.087	-1.018	-0.983	-0.761	-1.817	0.062	-0.908	-1.859	0.41	0.334	-0.551	-0.538	-0.623	-2.043	-2.218	-2.309	NaN	-3.404	-3.113	-3.352	-2.985	-2.46	-1.793	-4.874	-4.577	-5.35	-4.569	-4.214	-2.461	-3.238	-3.492	-2.71	-2.794
"YHR170W"	0.099	1.292	-0.663	-4.51	-1.901	-2.063	-2.573	-4.858	0.213	-2.149	-2.758	-2.443	-0.027	0.177	0.154	0.454	0.037	-0.1305	-1.052	-1.528	-1.479	-1.253	-1.32	0.296	-1.224	-1.761	0.423	0.199	-0.418	0.157	-0.057	-1.579	-2.364	-1.535	-2.751	-3.22	-3.476	-3.076	-2.087	-1.465	-1.393	-2.568	-2.821	-3.173	-3.089	-2.313	-2.219	-3.041	-2.637	-4.036	-2.383
"YHR179W"	-0.028	0.505	-0.537	-2.165	-1.726	-1.311	-3.188	-4.68	0.491	-1.236	-5.251	-4.091	0.103	0.522	0.335	0.637	-0.598	0.12	0.446	0.818	0.742	0.884	1.179	-0.186	1.065	-1.77	0.55	0.531	0.097	-0.012	-0.233	2.603	3.334	3.415	2.865	3.306	2.982	2.197	1.853	1.251	-0.468	1.001	2.535	2.487	2.671	2.599	3.463	0.922	2.413	1.753	1.542
"YHR187W"	0.016	0.431	-0.024	-1.29	-1.061	-1.088	-0.229	-2.798	-0.058	-0.175	-0.519	-0.527	0.139	0.02	0.09	0.04	0.069	0.055	-0.263	0.046	-0.024	0.149	-0.522	0.061	0.131	-0.462	0.334	0.178	0.132	-0.073	-0.017	-1.205	-0.78	-0.994	-1.511	-1.034	-0.524	-0.927	-0.559	-1.128	-0.744	-1.6	-1.007	-1.838	-0.305	-0.745	-1.527	-0.609	-0.067	-1.637	-1.686
"YHR199C"	0.301	-0.57	-0.19	1.593	1.457	1.172	0.607	0.48	0.192	0.914	1.911	1.547	0.108	0.695	0.198	0.035	-0.17	0.209	0.442	0.586	0.676	0.828	1.503	0.035	0.786	0.828	0.293	0.393	0.457	0.307	-0.291	2.504	3.503	1.997	3.69	3.838	2.393	2.773	3.081	2.492	1.045	1.608	2.392	1.858	2.615	1.975	2.314	1.927	2.3	2.155	1.706
"YHR201C"	0.006	0.454	-0.345	-0.362	-0.829	-1.721	-1.811	-4.155	0.214	-1.193	-1.632	-2.134	-0.078	-0.092	0.179	-0.035	-0.051	-0.014	0.112	0.24	0.099	-0.023	0.325	0.052	0.13	-1.989	0.075	0.042	0.127	-0.169	-0.237	-0.354	-0.477	-1.763	-2.031	-1.714	-1.585	-1.718	-1.022	-1.688	-1.229	-1.714	-0.583	-2.003	-2.032	-2.503	-0.602	-1.963	-1.803	-1.503	-2.003
"YHR207C"	-0.249	0.143	-0.221	0.792	0.33	-0.657	-1.164	-2.162	-0.083	-0.133	-1.572	-0.987	0.215	-0.033	-0.039	-0.165	0.133	0.086	-0.097	-0.013	-0.15	-0.319	-0.112	-0.547	-0.059	NaN	0.325	0.24	-0.366	-0.412	-0.246	-0.198	-0.683	-1.578	-1.634	-2.531	-2.744	-3.904	-1.852	-2.115	-1.759	-2.699	-1.406	-2.307	-2.55	NaN	-1.323	-1.411	-1.153	-0.591	-2.041
"YIL008W"	0.27	0.787	-0.005	-2.425	-1.466	-1.0	-1.092	-4.308	0.085	-1.196	-1.056	-0.069	1.094	0.126	0.109	0.339	0.274	0.1605	-0.261	0.034	-0.205	-0.101	-0.559	0.152	0.13	-0.493	0.418	0.556	-0.044	0.173	0.395	-1.433	-0.761	-0.707	-1.159	-1.549	-1.783	-1.632	-1.487	-1.487	0.108	-2.287	-0.781	-1.217	-1.394	-2.27	-3.157	-1.453	-1.13	-1.896	-3.056
"YIL019W"	0.266	1.208	0.005	-2.459	-1.454	-0.934	-0.601	-3.212	-0.207	-0.885	-0.95	-0.415	-0.06	0.102	-0.035	0.26	0.446	-0.205	-0.919	-1.125	-1.105	-1.259	-0.812	0.14	-0.6	-1.026	0.161	0.036	-0.238	-0.258	-0.364	0.087	-1.457	-1.522	-1.861	NaN	-3.058	-3.118	-3.455	-1.834	-0.87	-2.246	-4.402	-3.036	-2.762	-2.349	-3.255	-2.302	-2.853	-3.424	-4.0
"YIL020C"	-0.099	0.642	-0.078	-1.861	-1.374	-1.241	-2.251	-3.447	-0.283	-1.134	-1.943	-1.728	0.186	0.124	0.051	-0.18	-0.158	-0.0545	-0.308	-0.133	-0.126	-0.143	-0.215	0.058	-0.268	-1.289	0.245	0.206	0.419	0.319	0.073	-0.905	-0.939	-1.144	-3.237	-2.757	-1.998	-2.682	-2.266	-1.925	-1.077	-1.607	-0.995	-2.124	-1.614	-0.398	-0.676	-0.964	-1.371	-1.504	-1.836
"YIL147C"	0.154	0.146	0.033	-0.47	-0.245	0.443	-0.286	-1.413	0.03	0.172	-0.542	-0.798	0.263	-0.209	0.296	0.249	0.313	-0.031	-0.292	-0.425	-0.467	-0.433	-0.794	-0.087	-0.603	0.188	-0.153	0.032	-0.178	-1.014	-0.246	-1.568	1.455	-1.3	-2.856	-1.934	-1.374	-1.269	-2.585	-0.989	-0.454	-1.339	-0.419	-6.208	-2.328	-2.836	-1.384	-2.088	-1.95	-2.565	-2.674
"YIR012W"	-0.195	0.869	-0.252	-4.7	-3.151	-2.595	-3.791	-4.69	0.222	-1.684	-2.217	-2.528	0.111	0.554	0.346	0.145	0.194	0.0135	0.005	-0.614	-0.573	-0.491	-0.279	-0.09	-0.434	-1.751	-0.138	0.062	-0.123	-0.303	-0.163	-1.548	-0.82	-1.875	-3.007	-1.988	-1.517	-1.046	-0.878	-1.723	-0.816	-2.394	-2.635	-2.14	-2.658	-1.857	-1.846	-3.403	-2.956	-1.67	-2.629
"YJL069C"	-0.368	0.854	-0.739	-4.742	-2.843	-2.386	-3.072	-6.298	-0.007	-1.863	-1.653	-2.017	-0.013	0.16	0.435	0.35	-0.09	-0.174	-0.746	-0.522	-0.477	-0.512	-0.751	0.126	-0.58	-0.549	-0.103	0.114	-0.4	0.178	0.071	-0.801	-1.754	-2.726	NaN	-3.223	-3.75	-1.763	-2.393	-1.892	-0.905	-1.964	-4.069	-3.096	-2.407	-1.973	-2.556	-2.789	-3.229	-2.615	-3.111
"YJL109C"	-0.2495	0.3375	-0.134	-2.165	-1.7305	-1.647	-2.408	-2.278	-0.1435	-2.532	-3.2785	-3.3735	-0.242	-0.2595	-0.028	0.7695	-0.025	-0.0193333333333333	-1.0005	-0.7635	-0.68	-0.81	0.25	0.174	-0.7595	-1.6855	0.0995	0.1595	-0.019	-0.263	-0.2515	-2.1055	-1.9775	-2.327	-2.278	-5.133	-2.804	-3.415	-2.0755	-2.439	-0.7065	-1.8655	-2.735	-2.0515	-2.1535	-2.0845	-3.9425	-1.9915	-2.6275	-1.9955	-2.1055
"YJL157C"	0.056	0.861	-0.312	-2.634	-0.695	-0.962	-3.548	-7.731	0.175	-1.008	-3.396	-3.219	-0.456	-0.636	0.004	-0.3	0.018	-0.0515	-0.521	-0.745	-0.343	-1.092	-0.987	0.218	-0.932	-1.339	0.267	0.284	0.167	0.718	0.175	-3.173	-1.463	-1.768	-3.606	-3.623	-3.099	-2.999	-2.752	-1.798	-1.927	-2.56	-1.913	-2.797	-2.146	-1.09	-1.831	-1.459	-2.699	-0.803	-2.44
"YJL169W"	0.307	-0.363	-0.152	-1.372	-1.085	-1.138	-2.464	-3.972	0.014	-0.865	-1.455	-1.448	0.087	-0.229	-0.007	-0.08	0.001	-0.047	-0.132	-0.124	-0.014	-0.433	-0.367	0.35	-0.457	-0.546	0.267	0.382	0.355	-0.106	-0.219	-1.409	-0.523	-2.304	-3.371	NaN	-1.696	-1.64	-1.334	-1.991	-0.895	-2.107	-2.201	-2.041	-2.006	-3.85	-2.961	-1.983	-2.235	-3.928	-0.879
"YJL183W"	0.271	0.42	-0.109	-2.65	-1.47	-1.944	-2.097	-4.986	0.019	-1.436	-2.208	-2.121	-0.094	-0.158	0.369	0.007	0.247	0.0265	-0.434	-0.287	-0.175	-0.225	-0.488	0.306	-0.294	-1.239	0.349	0.375	0.105	0.255	-0.376	-1.053	-1.24	-1.716	-2.095	-1.596	-0.698	-2.069	-2.015	-1.237	-1.148	-1.006	-0.971	-2.329	-1.921	-1.611	-2.342	-2.416	-1.331	-1.87	-2.226
"YJL193W"	-0.047	0.51	-0.185	-1.23	-1.026	-0.919	-1.401	-3.265	-0.066	-0.026	-0.164	0.074	-0.014	-0.209	0.179	-0.201	-0.048	-0.036	-0.258	-0.101	-0.186	-0.191	-0.72	0.181	-0.371	-0.152	0.21	0.227	0.031	0.32	0.115	-1.488	-1.69	-2.341	-2.919	-2.37	-1.226	-1.046	-2.714	-1.448	-1.12	-0.95	-0.494	-2.143	-1.545	-1.661	-1.317	-1.082	-1.805	-1.321	-2.04
"YJL198W"	0.109	0.897	-0.039	-2.049	-1.408	-1.641	-2.531	-2.784	0.182	-1.451	-1.808	-1.415	-0.158	-0.152	0.138	0.303	-0.219	-0.176	-0.613	-0.526	-0.454	-0.626	-1.553	0.099	-0.467	-1.034	0.254	0.192	-0.435	0.29	-0.708	-2.339	-1.89	-0.808	-2.263	-2.783	-2.089	-0.967	-2.11	-1.27	-1.609	-1.053	-2.031	-2.331	-2.205	-1.554	-2.074	-1.301	-1.775	-3.514	-2.538
"YJR003C"	-0.092	0.758	-0.705	-2.372	-2.025	-1.43	-2.48	-3.457	0.15	-0.824	-2.349	-2.42	-0.42	-0.218	-0.22	0.115	-0.218	-0.0655	-0.571	-0.721	-0.783	-0.603	-0.683	0.011	-0.847	-0.882	0.461	0.387	-0.22	-0.427	0.087	-1.471	-1.898	-1.826	-2.617	-1.989	-2.215	-1.557	-0.514	-1.176	-1.359	-2.696	-1.272	-2.98	-1.802	-2.324	-2.56	-3.052	-2.968	-2.907	-2.457
"YJR024C"	-0.077	0.376	-0.092	-1.64	-0.762	-1.151	-1.994	-4.204	0.334	-0.33	-0.937	-1.571	-0.106	0.11	-0.053	0.162	0.145	0.1255	-0.2	-0.134	-0.053	0.165	0.324	0.199	-0.133	-0.362	0.378	0.517	-0.019	0.163	-0.374	-0.577	-0.291	-0.207	-2.364	-1.67	-1.463	-2.216	-1.524	-1.071	-1.67	-2.285	-1.186	-2.858	-2.144	-1.891	-2.614	-2.614	-1.52	-2.399	-2.501
"YJR032W"	0.172	0.051	-0.123	-2.197	-1.721	-1.097	-2.635	-3.054	0.246	-0.808	-1.609	-1.727	0.046	0.084	0.13	0.005	0.034	-0.0325	-0.418	-0.334	-0.385	-0.315	-0.542	0.27	-0.281	-0.624	-0.09	-0.156	-0.087	-0.118	-0.15	-1.623	-0.907	-1.619	-1.891	-1.705	-1.177	-1.498	-1.866	-0.991	-1.037	-2.322	-1.326	-2.812	-2.261	-3.088	-2.44	-1.849	-1.085	-1.392	0.199
"YJR054W"	0.218	0.353	-0.254	-2.133	-1.476	-0.967	-1.262	-2.301	-0.068	-0.551	-2.0	-1.547	0.391	-0.148	0.145	-0.037	0.087	-0.014	-0.084	0.074	-0.217	-0.295	-1.364	-0.171	-0.399	-0.604	0.318	0.313	0.634	0.214	0.06	-0.781	-0.69	-1.326	-3.122	-2.779	-1.882	-2.281	-1.794	-1.077	-0.916	-1.571	-0.111	-1.988	-1.37	-2.665	-0.422	-0.655	-1.012	-0.04	-2.158
"YJR068W"	0.236	0.446	0.154	-0.512	-1.162	-0.947	-1.221	-3.298	0.002	-0.557	-0.709	-1.0	-0.007	-0.295	-0.172	-0.025	0.027	0.112	-0.105	-0.023	-0.321	-0.193	0.011	0.033	-0.052	-0.694	0.127	0.064	0.008	-0.153	0.05	-0.115	0.06	-1.526	-1.562	-2.096	-1.055	-2.196	-0.563	-1.124	-1.456	-2.378	-1.398	-1.238	-1.586	-2.324	-0.604	-2.305	-2.693	-0.968	-1.73
"YJR133W"	0.203	-0.075	0.075	-0.287	0.558	-0.362	-0.507	-2.339	0.307	-0.228	-0.771	-0.655	0.012	0.221	0.177	0.021	0.087	0.108	-0.136	-0.023	-0.128	-0.073	-0.203	0.054	0.147	-0.696	-0.052	-0.117	0.155	0.189	-0.122	-0.431	-0.77	-1.337	-2.037	-1.349	-1.711	-2.377	-1.003	-0.911	-0.998	-1.891	-0.691	-1.709	-1.876	-2.425	-0.657	-2.572	-2.536	-1.129	-1.805
"YKL068W"	-0.018	0.496	-0.228	-2.131	-1.194	-1.208	-1.98	-3.325	0.186	-0.788	-1.563	-1.621	-0.113	0.224	0.342	0.075	0.014	-0.0175	-0.242	-0.279	-0.673	-0.739	-0.572	0.121	-0.846	-0.515	-0.073	-0.148	-0.321	-0.178	-0.243	-0.152	-0.477	-1.786	-2.311	-1.784	-1.501	-2.971	-0.916	-1.062	-1.264	-1.962	-2.575	-0.825	-1.187	-1.217	-1.707	-2.099	-0.88	-1.165	-1.833
"YKL181W"	-0.213	1.201	-0.131	-3.28	-1.879	-1.771	-1.818	-4.28	0.172	-1.301	-2.292	-2.779	0.2	0.185	0.242	0.312	-0.212	NaN	-0.667	-0.528	-0.486	-0.379	-1.534	0.559	-0.394	-1.417	-0.006	-0.091	-0.227	-0.018	-0.26	-1.92	-1.698	-2.109	-2.199	-2.619	-2.113	-2.191	-2.38	-0.937	-1.212	-1.724	-1.54	-3.679	-2.455	-0.891	-2.305	-3.12	-1.687	-2.501	-1.645
"YKR082W"	0.022	0.217	-0.122	-0.889	-1.103	-1.122	-2.473	-2.648	-0.057	-0.885	-1.895	-2.598	-0.075	-0.126	0.223	0.137	-0.053	0.119	-0.235	-0.301	-0.369	-0.265	-0.825	-0.036	-0.64	-0.573	-0.152	-0.112	-0.393	-0.236	0.262	-0.587	-1.216	-0.948	-0.953	-1.797	-1.176	-1.007	-0.766	-0.416	-0.59	-1.72	-0.142	-0.829	-1.158	-1.339	-2.356	-1.193	-2.208	-1.294	-0.767
"YLR083C"	-0.087	0.765	0.011	-3.703	-2.067	-2.216	-3.767	-5.137	0.006	-2.031	-3.88	-3.36	-0.167	-0.347	0.278	0.203	0.145	-0.098	-0.616	-0.623	-0.626	-0.742	-1.574	0.635	-0.821	-2.297	-0.101	-0.063	-0.317	-0.188	0.134	-1.901	-2.623	-1.634	-2.184	-2.194	-2.355	-2.957	-1.566	-1.313	-1.639	-2.543	-1.434	-2.672	-3.552	-3.06	-2.069	-6.227	-4.301	NaN	-2.861
"YLR103C"	-0.08	0.209	-0.08	-1.69	-1.224	-1.301	-1.434	-2.114	0.0	-0.58	0.354	-0.229	0.442	-0.19	-0.034	0.462	0.092	0.047	0.602	0.547	0.46	0.797	-0.421	0.249	0.554	-0.828	-0.034	0.29	0.293	-0.293	0.026	NaN	-0.679	-2.911	NaN	-2.841	-1.3	-1.293	-2.936	-1.363	-1.073	NaN	-1.569	-1.131	NaN	-1.579	-3.126	-0.829	-2.344	-1.58	-1.196
"YLR146C"	0.18	1.222	0.082	-1.534	-0.974	-0.866	-2.716	-3.233	0.389	-1.307	-2.206	-1.389	0.074	0.25	-0.018	0.147	0.183	-0.208	-0.081	-0.278	-0.358	-0.04	-0.247	-0.018	-0.143	-1.024	0.303	0.256	-0.038	-0.015	0.005	-0.976	-2.142	-0.561	-2.684	-3.147	-1.951	-1.707	-1.564	-0.982	-1.241	-3.867	-2.282	-3.339	-0.732	-1.118	-2.743	NaN	-1.69	-3.848	-1.833
"YLR147C"	0.12	0.389	-0.057	-1.185	-1.485	-1.207	-1.436	-2.798	0.124	-0.322	-0.867	-0.81	-0.149	-0.07	-0.01	0.12	-0.293	-0.31	-0.423	-0.253	-0.251	-0.465	-0.092	0.177	-0.206	-0.436	0.174	0.075	0.273	-0.053	-0.137	-0.174	-1.386	-1.574	-2.956	-2.797	-0.826	-0.412	-1.644	-1.707	-1.44	-1.431	NaN	-4.243	-2.435	-2.023	-1.114	-1.324	-1.809	-2.33	-3.598
"YLR249W"	-0.152	1.219	0.061	-6.529	-4.864	-3.637	-4.146	-6.742	0.176	-3.131	-4.549	-4.992	0.174	0.465	0.127	0.373	0.257	-1.1	-0.731	-0.904	-0.938	-0.9	-2.508	0.57	-0.823	-3.421	0.139	-0.052	-0.092	-0.041	-0.307	-2.943	-3.42	-2.352	-2.492	-2.945	-3.861	-4.463	-2.262	-1.802	-1.965	-3.081	-2.776	-3.492	-2.717	-2.43	-3.279	-2.727	-2.013	-3.921	-3.381
"YLR264W"	0.609	0.922	-0.149	-3.105	-2.523	-1.693	-2.597	-5.152	0.095	-2.241	-2.334	-2.391	0.338	0.041	0.2	0.631	-0.175	0.246	-0.079	-0.056	-0.511	-0.336	-1.178	0.618	-0.369	-1.833	0.768	0.667	0.311	0.446	0.429	-2.216	-2.004	-1.941	-2.665	-3.008	-2.899	-2.481	-2.579	-2.683	-0.774	-2.875	-2.32	-3.351	-2.946	-1.936	-3.256	-2.57	-2.3	-3.435	-3.465
