	"107.heat shock 10 min"	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"116.heat shock 40 min"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"497.Heat Shock 000 minutes"	"781.Heat Shock 000 minutes (series 2)"	"797.Heat Shock 000 minutes (series 3)"	"830.1.5 mM diamide (10 min)"	"831.1.5 mM diamide (20 min)"	"834.1.5 mM diamide (30 min)"	"854.YPD_6_h_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"976.wt_plus_gamma_5_min"	"977.wt_plus_gamma_10_min"	"986.constant 0.32 mM H2O2 (30 min) redo"	"1009.YPD 2 h (25C)"	"1010.YPD 4 h (25C)"	"4872.1M sorbitol - 60 min"	"4874.1M sorbitol - 90 min"	"6351.DES460 + 0.02% MMS - 30 min"	"6354.DES460 + 0.2% MMS - 45 min"	"6357.DES460 + 0.02% MMS - 60 min"	"6358.DES460 + 0.02% MMS - 90 min"	"8520.DES460 + 0.02% MMS - 120 min"	"12744.heat shock 17 to 37, 20 minutes"	"15635.Ca+FK 15min (2)"	"17472.Ca+FK 15min (5)"	"17676.Na+FK 45min (4)"	"17677.Na+FK 60min (4)"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"33259.delKIN82_heat shock _15min"	"33779.delYPL230w_stationary_phase_5hours"	"34360.batch 02X25 4"	"34876.S4Comp 07 hr 10 min Sulfate Batch vs Chemostat Comparison"	"34877.S4Comp 08 hr 05 min Sulfate Batch vs Chemostat Comparison"	"38152.03II01 batch p8"	"38153.03II01 batch p9"	"38154.03II01 batch p10"	"42375.CC LS 3B Leucine-Sulfate Chemostat Comparison"	"42377.CC LS 3A Leucine-Sulfate Chemostat Comparison (scanner1)"	"42386.CC UL 1B Uracil-Leucine Chemostat Comparison"	"42392.L2 CompR 05 hr 00 min Leucine Batch vs Chemostat Comparison"	"42393.L2 CompR 05 hr 58 min Leucine Batch vs Chemostat Comparison"	"42394.L2 CompR 06 hr 58 min Leucine Batch vs Chemostat Comparison"	"42395.L2 CompR 07 hr 58 min Leucine Batch vs Chemostat Comparison"	"42396.L2 CompR 08 hr 58 min Leucine Batch vs Chemostat Comparison"
"YJR096W"	2.743	3.153	3.311	1.34	3.07	3.2195	3.4165	-1.251	-1.357	-0.981	1.492	2.648	2.827	5.037	0.846	2.524	1.003	1.193	2.354	0.213	0.099	0.316	0.109	0.816	1.03	1.751	1.212	1.314	3.707	3.394	2.197	1.08	0.896	2.099	1.271	2.093	3.463	2.387	0.229	0.014	2.925	4.063	3.516	-0.494	0.206	0.065	-0.132	-0.087	-0.126	0.362	0.125
"YKL021C"	-2.355	-2.41	-1.988	-1.7875	-1.5375	-1.979	-2.0995	1.168	1.121	0.947	-0.987	-1.283	-1.171	-2.005	-3.469	-1.026	-0.953	-0.61	-0.993	0.171	-0.202	-0.065	0.004	-0.76	-0.723	-0.463	-0.395	-0.405	-2.5805	-1.446	-1.946	-0.912	-1.042	-2.504	-1.987	-2.666	-2.274	-0.86	-0.185	0.387	-0.688	-1.189	-0.521	-0.283	0.131	-0.392	-0.659	-0.935	-0.588	-0.741	-0.387
"YKL035W"	4.094	2.459	4.283	1.986	2.527	1.539	2.1225	-1.678	-1.704	-1.862	2.201	3.083	2.966	3.076	-2.294	0.904	2.026	2.264	2.173	0.651	1.094	0.304	0.465	0.605	0.669	0.874	1.368	1.284	4.293	3.321	3.537	2.844	3.616	3.568	2.265	3.371	3.697	2.449	-0.357	-0.927	2.932	2.887	3.021	-0.224	0.219	1.307	-0.482	-0.303	-0.291	-0.4	-0.473
"YKL151C"	3.971	4.653	4.533	3.431	3.849	4.45	4.63	-2.412	-1.624	-2.162	1.31	1.978	2.469	3.642	-0.685	1.609	1.608	1.749	0.79	0.258	-0.02	-0.074	-0.101	0.878	1.221	1.359	2.072	2.247	4.996	2.686	2.035	1.691	2.673	2.694	2.443	2.025	3.988	0.796	-0.448	-0.531	2.513	3.462	3.47	-0.359	-0.026	1.508	0.445	0.698	0.855	0.562	0.779
"YKR025W"	-1.492	-1.502	-1.585	-1.27	-1.383	-1.224	-1.936	1.015	1.028	0.699	-0.628	-1.129	-1.186	-2.594	-3.468	-1.607	-0.548	-0.194	-0.76	0.272	0.111	-0.141	-0.095	-0.202	-0.256	-0.491	0.114	-0.033	-2.209	-1.314	-1.304	-1.384	-1.196	-1.748	-1.384	-0.5	-2.437	-1.104	0.384	0.101	-1.115	-0.732	-0.685	-0.23	0.154	0.287	-0.666	-0.324	-0.378	-0.639	-0.229
"YKR056W"	-3.646	-4.01	-3.872	-1.682	-2.945	-3.217	-3.127	1.171	1.262	0.804	-1.962	-2.718	-2.101	-4.495	-4.34	-2.379	-1.64	-0.643	-1.196	-0.137	-0.372	-0.129	-0.101	-0.769	-0.447	1.144	-0.548	-0.601	-3.682	-2.186	-2.055	-0.997	-1.351	-2.586	-2.146	-2.061	-3.056	-1.279	0.21	-0.23	-1.01	-1.139	-0.554	-0.119	0.38	0.319	-0.774	-0.886	-0.554	-0.79	-0.517
"YLL008W"	-2.364	-4.973	-4.981	-1.744	-3.751	-4.808	-4.019	0.828	0.601	0.91	-2.363	-3.718	-3.309	-5.659	-6.113	-2.364	-2.137	-0.835	-2.335	0.022	-0.476	-0.01	-0.182	-1.029	-0.87	-0.943	-0.705	-0.737	-4.642	-3.401	-2.672	-3.707	-2.763	-4.08	-2.614	-2.378	-3.042	-1.757	0.046	0.148	-1.826	-3.002	-2.689	0.269	-0.234	-1.0	-0.463	-0.236	-0.226	-0.41	0.221
"YLR002C"	-4.018	-4.273	-3.029	-1.506	-2.585	-3.425	-2.737	1.116	1.087	1.015	-1.771	-2.267	-2.081	-3.541	-4.959	-2.611	-1.144	-0.616	-1.19	0.03	-0.243	0.14	0.065	-0.85	-1.0	-0.79	-0.495	-0.699	-4.018	-0.564	-0.976	-0.271	-1.801	-2.317	-2.108	-1.524	-2.422	-1.166	0.89	0.456	-1.479	-1.378	-1.304	0.01	0.097	-0.186	-0.303	-0.758	-0.379	-0.63	-0.511
"YLR009W"	-2.705	-4.735	-4.564	-1.981	-2.897	-4.204	-3.864	1.074	1.035	0.872	-1.475	-2.25	-2.132	-4.675	-5.388	-2.737	-1.835	-0.764	-1.804	-0.092	-0.423	-0.064	-0.226	-0.938	-1.111	-1.101	-1.256	-1.071	-4.344	-2.61	-3.247	-2.788	-2.344	-3.436	-1.875	-1.829	-3.361	-2.04	0.639	-0.226	-2.601	-2.653	-2.19	-0.292	0.374	-0.602	-0.788	-0.71	-0.449	-0.829	-0.356
"YLR083C"	-2.517	-1.886	-2.035	0.028	-1.6	-1.568	-2.248	0.768	0.765	0.758	-0.892	-1.532	-1.504	-3.703	-5.137	-2.718	-0.535	-0.521	-0.144	0.006	0.176	0.145	-0.129	-0.616	-0.623	-0.626	-0.742	-0.821	-2.311	0.218	-1.126	-1.961	-0.485	-2.0	-1.625	-2.538	-3.492	-2.271	-0.452	-0.521	-1.326	-1.819	-1.058	0.113	0.283	-0.769	-0.076	-0.134	-0.203	-0.268	-0.481
"YLR175W"	-4.217	-4.176	-3.679	-2.134	-3.07	-4.552	-4.902	1.215	1.304	1.12	-1.304	-2.338	-2.257	-5.607	-5.468	-3.996	-0.877	-0.723	-1.455	0.04	0.092	0.21	0.163	-0.983	-0.937	-1.073	-1.188	-1.334	-4.431	-2.435	-2.326	-2.547	-1.5	-4.177	-1.884	-3.986	-4.338	-2.713	0.295	0.325	-2.978	-2.879	-2.89	0.314	-0.13	-0.128	-0.259	-0.088	-0.084	-0.197	0.485
"YLR177W"	2.8735	3.3095	2.643	1.001	2.3305	3.1295	2.898	-2.1605	-1.8755	-1.028	1.0265	1.8205	1.346	1.7235	1.036	2.2765	1.216	0.5325	1.087	0.0335	-0.1	0.103	-0.015	0.553	0.612	0.503	0.621	0.4975	3.1335	2.2915	2.2345	2.3195	1.916	3.163	2.146	3.156	3.171	1.941	0.2	-0.275	2.215	1.039	1.893	-0.331	-0.195	0.635	-0.045	-0.074	-0.144	-0.209	-0.242
"YLR196W"	-4.71	-5.425	-5.04	-1.973	-3.221	-4.896	-4.532	1.483	1.407	1.059	-1.792	-2.562	-2.364	-5.083	-5.836	-2.858	-1.404	-0.682	-2.225	0.195	-0.038	0.24	0.082	-1.257	-1.533	-1.553	-1.357	-1.252	-5.097	-2.536	-1.995	-2.15	NaN	-3.697	-2.702	-2.671	-3.658	-2.247	0.173	0.141	-1.579	-1.62	-1.73	0.217	-0.341	-0.627	-0.771	-0.492	-0.388	-0.625	-0.35
"YLR197W"	-3.755	-4.98	-4.044	-2.606	-3.638	-4.76	-5.179	1.23	1.252	1.224	-1.149	-2.263	-2.63	-5.817	-5.242	-3.899	-1.145	-0.716	-1.692	0.348	-0.036	0.131	0.049	-1.07	-1.006	-0.958	-0.966	-1.143	-5.072	-2.715	-1.851	-3.105	-1.563	-4.496	-2.603	-4.151	-4.545	-3.015	0.486	0.354	-2.647	-2.994	-2.559	0.395	-0.094	0.074	-0.618	-0.841	-0.655	-0.759	-0.762
"YLR258W"	4.492	4.617	4.273	2.738	3.655	4.262	4.866	-2.434	-2.894	-2.721	2.827	3.517	3.132	4.602	0.406	2.686	2.177	1.123	2.801	0.741	1.336	0.375	1.005	0.785	0.855	0.861	0.821	0.904	4.686	3.236	2.483	0.601	2.642	3.754	2.37	3.876	5.121	3.322	-0.714	-0.397	3.356	3.233	3.499	-0.092	-0.018	0.93	0.575	0.223	0.315	0.281	0.211
"YLR276C"	-3.536	-4.199	-3.855	-2.573	-3.331	-3.732	-4.143	1.132	1.168	0.994	-1.697	-2.616	-1.884	-4.467	-5.399	-2.386	-1.72	-0.791	-1.604	-0.082	-0.276	-0.088	-0.208	-0.961	-0.966	-1.006	-0.964	-0.905	-2.51	-3.239	-2.537	-3.609	-1.452	-4.014	-2.707	-2.803	-3.838	-2.228	0.29	-0.071	-2.272	-1.937	-1.878	-0.299	0.205	-0.144	-0.184	-0.245	-0.455	-0.653	-0.084
"YML056C"	-2.994	-3.762	-3.158	-1.618	-3.16	-2.963	-3.376	0.759	1.188	1.131	-0.754	-1.642	-2.244	-3.967	-5.251	-3.243	-0.525	0.022	-1.166	0.162	0.593	-0.123	-0.279	-0.598	-1.2	-1.225	-0.89	-0.841	-3.776	-2.314	-2.19	-3.029	-1.948	-4.017	-2.736	-2.625	-4.322	-3.168	0.964	0.715	NaN	-1.717	-2.154	0.994	-0.917	0.079	-0.823	-0.517	-0.257	-0.818	-0.632
"YML125C"	-1.404	-1.191	-1.302	-0.524	-0.918	-0.984	-1.485	0.878	0.934	0.334	0.426	0.313	0.334	-2.776	-4.288	-2.537	-0.645	-0.159	0.732	0.404	0.591	0.202	0.259	0.349	0.534	0.562	0.712	0.863	-1.919	-0.52	-0.711	0.47	-0.444	-1.135	-0.461	-2.012	-2.716	-0.986	0.25	0.37	-0.613	-0.953	-1.084	-0.277	0.17	-0.771	-0.011	-0.027	0.317	0.092	-0.13
"YMR031C"	1.446	2.251	1.789	1.058	2.107	1.839	1.689	-0.887	-1.019	-0.728	0.57	1.155	1.142	2.709	-1.155	1.488	0.825	1.357	0.391	0.346	0.478	0.044	0.311	0.383	0.452	0.364	0.305	0.382	1.641	1.275	1.138	0.011	1.171	1.926	1.661	0.868	2.994	1.974	-0.794	-0.435	1.295	0.537	1.351	-1.116	0.602	-0.378	0.071	-0.115	-0.059	-0.13	0.368
"YMR131C"	-3.068	-4.819	-4.183	-2.431	-3.849	-4.525	-4.347	1.141	0.906	0.972	-1.061	-2.255	-2.188	-5.631	-6.665	-3.547	-1.779	-0.959	-1.814	-0.227	-0.183	-0.015	0.12	-1.074	-0.906	-0.881	-0.606	-0.866	-4.674	-2.286	-1.937	-4.32	-1.8	-3.866	-3.136	-3.736	-4.181	-2.03	0.545	0.468	-2.149	-3.389	-2.21	-0.368	0.088	-0.336	-0.499	-0.454	-0.408	-0.536	-0.465
"YMR239C"	-2.12	-3.656	-2.175	-1.498	-2.426	-2.921	-2.351	1.348	0.907	0.902	-2.159	-2.534	-2.067	-4.414	-3.323	-2.372	-1.305	-0.557	-1.934	-0.412	-0.623	-0.205	-0.217	-1.148	-1.052	-0.936	-0.763	-0.745	-3.237	-1.678	-1.633	-1.262	-1.666	-1.962	-2.998	-3.188	-4.048	-1.419	0.619	0.565	-2.35	-1.808	-1.545	-0.164	-0.137	-0.641	-0.619	0.017	-0.247	-0.444	0.235
"YMR241W"	-1.718	-1.618	-1.479	-1.179	-1.347	-1.896	-2.396	0.986	0.728	0.745	-0.127	-1.046	-1.326	-1.66	-3.349	-1.507	-0.617	-0.588	-0.643	0.248	0.275	-0.379	0.394	-0.432	-0.423	-0.188	-0.113	-0.053	-2.057	-0.592	-0.659	-1.075	-0.804	-1.157	-0.481	-1.572	-2.457	-1.377	0.402	-0.029	-0.553	-0.136	-0.416	0.529	-0.411	-0.64	0.11	0.167	0.175	-0.249	-0.26
"YMR250W"	5.161	6.007	5.491	4.651	5.246	5.448	5.563	-4.172	-3.731	-3.482	2.822	3.78	4.002	4.705	1.279	2.923	3.042	2.972	4.477	0.529	1.043	1.356	0.575	2.033	2.324	2.637	3.01	3.38	5.984	5.546	5.342	4.545	5.083	4.606	3.471	4.16	5.68	5.241	-1.06	-0.13	4.48	5.204	6.07	-1.074	0.49	2.225	-1.067	-0.467	-2.636	0.188	-0.888
"YMR310C"	-3.178	-3.117	-2.423	-1.416	-2.264	-2.522	-1.974	1.112	1.304	0.872	-1.198	-1.727	-1.738	-2.999	-3.842	-2.25	-1.616	-0.972	-1.728	0.202	0.258	0.2	0.115	-0.637	-0.914	-0.821	-0.664	-0.792	-2.882	-1.748	-2.046	-1.603	-1.376	-2.857	-1.577	-2.977	-3.588	-1.042	0.137	0.004	-1.63	-1.986	-1.901	0.465	-0.274	0.301	-0.833	-0.782	-0.409	-0.755	-0.799
"YNL002C"	-3.547	-4.666	-4.07	-1.784	-3.305	-4.559	-4.222	1.243	1.183	1.119	-1.685	-2.627	-2.564	-5.196	-3.468	-3.072	-1.983	-1.037	-1.731	0.092	-0.436	-0.059	0.023	-1.062	-0.99	-1.187	-0.937	-1.02	-4.603	-1.375	-2.639	-3.349	-3.183	-3.481	-2.594	-3.245	-4.466	-2.619	0.577	0.144	-2.083	-1.86	-1.552	-0.403	0.154	-1.702	-0.926	-0.652	-0.668	-0.841	-0.399
"YNL075W"	-2.664	-3.86	-3.164	-2.073	-2.558	-3.304	-2.768	1.178	1.226	0.992	-1.244	-2.078	-1.5	-4.782	-3.339	-3.095	-1.575	-0.733	-0.349	0.062	-0.301	-0.203	0.024	-0.676	-0.638	-0.624	-0.597	-0.556	-3.301	-1.948	-2.144	-2.146	-1.758	-2.935	-2.361	-2.748	-3.779	-1.93	0.103	0.482	-2.202	-2.141	-1.961	-0.527	0.438	-1.531	-0.866	-0.808	-0.694	-0.738	-0.469
"YNL110C"	-3.468	-4.43	-3.64	-2.443	-3.768	-4.56	-4.991	1.332	1.1	1.189	-2.042	-2.66	-2.463	-5.108	-3.296	-2.565	-1.979	-0.74	-1.894	-0.249	-0.944	-0.088	-0.14	-1.457	-1.374	-1.108	-1.396	-1.41	-5.064	-2.18	-2.701	-4.105	-2.816	-4.907	-3.471	-3.973	-4.747	-2.002	-0.246	-0.566	-2.512	-2.299	-1.758	-0.451	0.845	-0.114	-0.769	-0.697	-0.69	-0.959	0.075
"YNL132W"	-2.988	-4.679	-5.146	-2.394	-3.658	-3.329	-4.954	1.008	0.683	0.542	-2.191	-2.754	-3.143	-5.826	-6.392	-3.285	-1.97	-1.309	-1.242	0.12	-0.354	-0.079	0.067	-1.488	-1.185	-1.068	-1.121	-1.335	-3.45	-2.541	-2.688	-1.816	-2.23	-4.311	-2.617	-3.564	-3.989	-2.269	0.522	-0.55	-2.333	-1.182	-2.393	0.227	-0.32	-0.051	-0.55	-1.156	-0.667	-0.715	-0.525
"YNL141W"	-3.887	-3.622	-3.468	-2.53	-3.233	-3.112	-3.624	1.551	1.605	1.201	-2.379	-3.483	-3.387	-5.105	-4.776	-2.833	-2.759	-1.671	-5.269	0.31	0.258	-0.281	-0.066	-1.965	-1.572	-1.418	-1.344	-1.21	-3.291	-3.127	-4.212	NaN	NaN	-3.821	-2.855	-3.973	-4.363	-3.573	-0.006	-0.603	-2.202	-2.13	-2.406	-0.558	0.298	-0.823	-1.044	-1.024	-1.177	-1.273	-1.411
"YNL175C"	-2.67	-5.334	-4.901	-2.739	-4.11	-4.362	-3.931	1.14	1.152	0.899	-1.431	-2.567	-2.692	-4.877	-6.011	-2.575	-1.975	-1.208	-2.234	0.116	-0.104	0.344	0.153	-1.122	-0.84	-0.736	-0.538	-0.532	-5.147	-2.569	-2.751	-2.87	-3.229	-2.388	-1.8585	-1.746	-2.5475	-0.823	-0.126	0.2385	-1.506	-1.974	-2.0935	-0.2535	-0.1905	0.101	-0.9695	-0.673	-0.6575	-0.708	-0.3845
"YNL209W"	-1.228	-2.368	-2.469	-2.114	-3.114	-4.441	-4.707	1.383	0.958	1.135	0.035	-0.693	-1.204	-3.795	-5.803	-3.728	-0.396	-0.5	-1.255	0.228	0.329	0.134	0.069	-0.46	-0.636	-0.626	-0.603	-0.747	-4.616	-1.331	-1.077	-2.946	-0.95	-3.361	-2.694	-3.413	-4.209	-2.057	-0.465	-0.194	-1.703	-2.213	-1.979	-0.014	0.322	-1.191	0.071	0.007	0.043	-0.297	-0.25
"YNL248C"	-4.024	-4.791	-4.315	-1.698	-3.398	-4.455	-4.373	1.117	1.227	1.182	-1.354	-2.425	-2.173	-5.716	-5.215	-3.866	-1.594	-1.291	-1.474	-0.131	-0.294	0.124	-0.265	-0.797	-0.493	-0.816	-0.64	-0.874	-4.868	-2.089	-1.293	-2.931	-1.58	NaN	-2.886	-5.118	-6.193	-3.661	0.949	0.413	-2.94	-3.256	-3.147	0.407	-0.187	-0.363	-0.556	-0.816	-0.406	-0.535	-0.818
"YNL313C"	-3.06	-3.472	-3.026	-1.419	-2.399	-2.935	-3.02	0.923	0.673	0.694	-1.493	-2.31	-1.97	-4.999	-5.714	-3.129	-1.095	-0.443	-0.949	0.287	0.004	0.106	0.371	-0.631	-0.508	-0.452	-0.348	-0.547	-3.009	-1.754	-2.292	-1.116	-1.179	-2.824	-2.352	-1.81	-3.85	-1.573	0.165	-0.316	-2.192	-3.049	-1.686	-0.066	-0.258	-0.764	-0.436	-0.05	-0.557	-0.623	-0.538
"YOL077C"	-4.404	-5.439	-5.04	-2.828	-4.336	-5.22	-4.28	1.476	1.273	-0.096	-1.244	-2.83	-2.938	-5.186	-6.552	-4.174	-2.046	-1.264	-2.307	0.172	-0.535	-0.102	0.019	-1.19	-1.046	-0.89	-0.767	-0.911	-4.7	-3.013	-3.209	-3.568	-2.005	-4.969	-3.866	-4.679	-5.145	-2.897	0.433	-0.1	-2.418	-2.762	-2.379	-0.267	0.389	0.22	-0.788	-0.738	-0.72	-0.918	-0.871
"YOR021C"	-1.325	-2.424	-2.232	-1.715	-1.661	-2.204	-2.166	0.971	0.942	0.348	-0.391	-1.196	-1.656	-2.468	-2.956	-2.17	-1.077	-0.26	-0.891	0.103	-0.291	0.045	-0.006	-0.629	-0.648	-0.505	-0.752	-0.426	-2.297	-1.117	-1.339	-2.084	-2.001	-2.366	-1.299	-1.996	-1.781	-0.072	-0.644	0.107	-0.052	-0.285	-0.293	-0.465	0.71	-0.876	-0.745	-0.4	-0.325	-0.426	-0.397
"YOR100C"	2.582	2.64	1.901	1.14	1.778	1.643	1.35	-2.251	-2.2	-1.724	0.038	0.534	1.077	2.5745	3.667	2.076	-0.227	-0.289	0.316	-0.99	-0.447	0.267	0.518	-0.037	-0.2	0.222	0.225	-0.094	2.005	0.816	0.104	0.274	0.983	2.042	1.676	1.407	1.34	0.755	-0.07	-0.229	-0.261	0.571	0.329	0.462	-0.968	-0.233	0.151	-0.744	0.257	0.052	0.456
"YOR145C"	-3.045	-3.98	-3.795	-1.872	-2.871	-3.492	-3.402	1.535	1.303	1.288	-1.668	-2.441	-1.805	-4.1305	-3.4715	-2.7235	-1.688	-0.577	-1.281	0.079	-0.231	-0.001	0.129	-1.055	-0.883	-0.988	-0.682	-0.675	-3.948	-2.785	-3.41	-3.77	-2.036	-3.644	-2.806	-3.265	-4.493	-1.536	0.087	-0.353	-2.139	-1.717	-1.933	-0.66	0.541	0.073	-0.91	-1.057	-0.7	-0.914	-0.804
"YOR167C"	0.16	-1.171	-1.916	-2.16	-1.631	-2.402	-2.633	1.232	0.974	0.689	0.591	-0.244	-0.632	-1.901	-3.313	-2.747	-0.146	-0.214	-0.769	0.09	0.09	-0.245	-0.238	-0.257	-0.416	-0.337	-0.481	-0.749	-2.358	-4.739	-1.083	-1.992	-2.462	-1.736	-1.289	-0.704	-3.035	-0.909	0.645	0.211	-0.975	-0.718	-1.669	0.136	0.43	0.347	0.078	0.139	0.241	-0.024	-0.31
"YOR206W"	-3.294	-5.087	-3.702	-2.15	-3.585	-5.083	-4.513	1.184	1.088	0.951	-1.977	-2.894	-2.77	-5.827	-6.4785	-3.1625	-1.949	-0.721	-2.182	0.141	-0.397	-0.2	0.139	-1.225	-1.25	-1.25	-1.17	-1.234	-5.066	-2.89	-2.693	-3.011	-2.376	-3.839	-2.816	-4.003	-4.817	-2.166	0.346	0.368	-2.558	-2.475	-2.141	-0.224	-0.217	NaN	-0.706	-0.899	NaN	0.358	NaN
"YOR243C"	-3.173	-3.594	-3.234	-2.239	-2.436	-3.633	-3.982	1.203	1.139	1.2455	-1.209	-1.985	-1.827	-3.8055	-4.3935	-2.588	-0.821	-0.76	-1.541	-0.145	-0.28	-0.005	0.213	-0.732	-0.582	-0.696	-0.451	-0.611	-4.099	-1.514	-1.028	-1.855	-1.007	-2.845	-1.727	-2.616	-2.825	-1.862	-0.114	0.253	-1.778	-3.197	-1.962	0.29	-0.298	-0.431	-0.211	-0.384	-0.188	-0.154	-0.102
"YOR294W"	-3.856	-4.574	-3.828	-2.336	-3.73	-4.407	-3.632	1.553	1.543	1.28	-1.927	-2.434	-2.234	-5.6475	-5.2465	-3.318	-1.683	-0.684	-1.564	0.009	-0.187	-0.128	-0.268	-1.075	-1.278	-1.24	-1.014	-1.042	-4.852	-2.423	-3.102	-3.764	-2.77	-4.841	-3.679	-3.042	-5.145	-1.895	0.072	-0.781	-2.096	-2.075	-1.907	-0.348	0.25	0.208	-0.616	-0.324	-0.21	-0.706	-0.182
"YOR310C"	-4.866	-5.053	-4.365	-2.174	-3.309	-4.639	-3.004	1.211	1.223	1.0465	-1.362	-2.348	-2.686	-6.006	-7.1385	-3.766	-0.878	-0.629	-2.056	0.437	0.308	0.202	0.415	-0.768	-0.905	-0.845	-0.871	-0.965	-4.948	-2.765	-2.68	-2.738	-1.284	-4.326	-3.006	-4.099	-5.14	-3.033	0.033	-0.197	-2.639	-2.241	-2.539	-0.012	-0.215	-0.311	-1.189	-1.036	-0.909	-1.184	-1.042
"YOR315W"	-1.754	-2.356	-2.611	-1.425	-2.196	-1.918	-2.468	1.132	0.975	0.7375	-0.769	-1.243	-1.488	-3.8935	-4.3035	-1.742	-2.291	-2.175	-2.734	0.003	0.008	-0.191	-0.13	-1.361	-1.673	-1.691	-2.239	-2.24	-2.442	-4.028	-3.766	-2.983	-4.426	-2.806	-1.686	-3.042	-1.822	-1.783	0.11	-0.004	-1.264	-2.622	-1.952	0.408	-0.166	-0.702	0.02	0.023	-0.017	-0.238	-0.282
"YPL123C"	2.039	3.408	2.954	2.691	1.795	2.13	2.313	0.585	-2.355	-1.4895	1.347	1.313	1.546	3.3745	-2.286	2.33	1.425	0.905	0.676	-0.016	-0.148	-0.187	-0.312	0.88	1.142	0.794	0.803	1.416	3.422	3.05	4.069	2.633	3.303	3.01	2.48	2.212	3.201	3.156	-1.286	-0.234	3.379	3.054	3.894	-0.587	0.522	-0.133	-0.611	0.319	-0.112	0.591	0.046
"YPL142C"	-0.691	-1.892	-1.932	-1.577	-2.625	-2.913	-3.225	1.023	1.2695	1.009	0.403	-0.301	-0.87	-3.1395	-5.604	-2.825	-0.319	-0.521	-0.757	0.25	0.465	0.2	-0.016	-0.111	-0.392	-0.385	-0.394	-0.415	-3.034	-0.626	-1.032	-1.706	-1.624	-2.333	-1.691	-1.946	-3.677	-1.359	0.526	0.887	-0.968	-0.778	-1.942	0.191	0.213	0.48	0.125	0.134	0.254	-0.058	-0.123
"YPL186C"	3.577	3.741	3.149	2.144	2.445	2.982	2.824	-2.379	-2.2015	-2.18	1.778	2.2495	3.1605	4.53	4.699	3.634	1.41	1.022	0.675	-0.279	-0.057	0.206	0.0	0.683	-0.028	0.928	0.347	0.577	3.423	2.767	2.506	2.578	1.828	3.248	2.145	1.389	3.997	3.178	-0.919	0.478	2.512	2.411	3.062	-1.095	0.562	2.237	0.177	NaN	-0.334	-0.29	-0.894
"YPL212C"	-2.2725	-2.8775	-2.504	-0.5295	-2.069	-3.0655	-2.0715	1.2095	0.097	0.782	-0.769333333333333	-1.24433333333333	-1.38833333333333	-3.33233333333333	-2.626	-1.874	0.027	-0.0055	-0.8875	-0.082	-0.116	-0.0425	-0.205	0.143	-0.037	-0.1	-0.119	-0.2245	-2.912	-2.41	-1.7645	-1.0425	-1.073	-2.6875	-1.5995	-1.685	-3.1355	-1.3695	0.3015	0.4045	-1.7465	-1.816	-1.838	0.103	-0.275	-0.3695	-0.6805	-0.4555	-0.259	-0.342	0.0305
"YPL226W"	-3.629	-3.457	-3.002	-1.42	-2.4945	-3.229	-4.183	0.7565	0.906666666666667	0.858	-1.34366666666667	-1.99	-1.997	-4.86566666666667	-5.67966666666667	-3.37333333333333	-3.5245	-0.7995	-0.6625	-0.0175	0.078	-0.0735	0.0015	-0.6695	-0.6865	-0.7095	-0.7495	-0.606	-3.215	-2.0895	-1.95	-2.47	-1.5745	-3.076	-2.041	-3.793	-3.811	-1.952	-0.362	-0.661	-1.494	-1.763	-1.471	0.122	-0.527	-0.842	0.018	-0.076	0.059	-0.042	-0.113
"YPR006C"	1.99	1.443	0.949	1.354	0.441	1.146	1.459	-0.801	-0.907	-0.555	0.489	0.391	0.676	1.438	2.7045	1.7945	-0.333	0.272	-0.907	-0.063	-0.188	0.152	0.018	0.177	0.47	0.155	0.511	0.777	2.002	0.251	0.197	0.002	-0.691	0.264	0.372	0.695	0.3585	1.133	-0.052	-0.706	0.837	0.6475	1.699	-0.336	0.1965	-0.178	-0.549	-0.879	0.016	-0.2115	-0.3065
"YPR110C"	-1.58	-3.178	-3.084	-1.217	-2.507	-3.52	-3.728	0.96	1.068	0.986	-0.888	-1.572	-2.073	-5.7185	-6.318	-3.01	-1.698	-1.41	-1.601	0.151	-0.087	-0.091	-0.257	-0.593	-0.473	-0.671	-0.799	-0.474	-3.168	-2.04	-1.598	-2.787	-1.248	-3.436	-2.354	-3.503	-3.882	-2.538	0.811	0.207	-1.564	-2.129	-1.842	0.069	-0.268	-1.018	-0.297	-0.031	-0.061	-0.273	-0.416
"YPR184W"	2.613	4.98	4.012	3.048	4.087	4.327	4.258	-2.874	-3.426	-0.8275	1.088	2.6555	2.583	3.57	1.559	2.8455	2.503	2.226	0.752	-0.009	-0.298	0.241	-0.16	0.484	1.109	0.944	1.169	1.072	4.475	0.798	0.144	3.491	NaN	3.263	2.638	0.867	5.124	1.603	-1.19	-1.008	1.972	1.215	2.708	-0.278	0.079	0.602	-0.249	-0.304	-0.486	-0.076	NaN
