	"49.Elutriation2:Sample2:Time0.0hrs"	"107.heat shock 10 min"	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"116.heat shock 40 min"	"117.heat shock 60 min"	"407.heat shock 33 to 37, 20 minutes"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"512.2.5mM DTT 005 min"	"513.2.5mM DTT 015 min"	"824.DY1457 (wild type) 10 uM zinc vs. 3 mM"	"830.1.5 mM diamide (10 min)"	"831.1.5 mM diamide (20 min)"	"834.1.5 mM diamide (30 min)"	"836.1.5 mM diamide (40 min)"	"838.1.5 mM diamide (50 min)"	"840.1.5 mM diamide (60 min)"	"842.1.5 mM diamide (90 min)"	"854.YPD_6_h_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"866.starv_in_H2O_0.5_h_30C"	"906.w303a vs w303a hcm1"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"1009.YPD 2 h (25C)"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1155.DY1457 (wild type) 3 mM vs. 10 uM zinc"	"1303.diauxic shift timecourse: 0 hr"	"1310.diauxic shift timecourse: 9.5 hr"	"2560.29C to 33C - 15 min"	"4786.29C +1M sorbitol to 33C + 1M sorbitol - 5 min"	"6362.DES459 (mec1-) + 0.02% MMS - 5 min"	"6364.DES459 (mec1-) + 0.02% MMS - 15 min"	"8195.steady state 21 dec C"	"8197.steady state 25 dec C"	"8227.dtt 000 min"	"8228.dtt 015 min"	"8229.dtt 030 min"	"12169.aft2 minus cells with control plasmid vs aft2 minus cells with AFT2 vector"	"12471.aft2 minus cells with control plasmid vs aft2 minus cells with AFT2 mutant vector"	"12744.heat shock 17 to 37, 20 minutes"	"14946.Hydrostatic pressure (C2 vs P2)"	"28844.P2Comp 09 hr 36 min Phosphate Batch vs Chemostat Comparison2"	"28845.P2Comp 09 hr 49 min Phosphate Batch vs Chemostat Comparison2"	"32251.DBY8778_heat_shock2_5min"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"33259.delKIN82_heat shock _15min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34353.delPPT1_hypo_osmotic_shock_7min"	"34354.delPPT1_hypo_osmotic_shock_15min"	"34357.batch 02X25 1"	"34358.batch 02X25 2"	"34359.batch 02X25 3"	"38156.03II01 batch p12"
"YOL077C"	-1.531	-4.404	-5.439	-5.781	-5.04	-2.828	-1.344	-2.032	-4.336	-5.22	-4.28	-0.02	-0.396	-0.194	-1.244	-2.83	-2.938	-2.428	-1.471	-0.929	-0.624	-5.186	-6.552	-2.1355	-2.01	0.304	-4.174	-0.219	-2.917	0.172	-3.705	-2.565	-2.549	-3.046	0.103	0.316	0.125	-1.609	-1.43	0.843	0.438	-0.5905	-0.114	-0.032	0.48	0.684	-0.447	0.167	-4.7	0.506	-0.562	-2.367	-4.174	-4.969	-3.866	-4.679	-2.855	-2.586	-2.262	-5.145	-2.894	-2.392	-2.446	-0.159	-0.298	0.503	0.252	0.002	0.78
"YOL124C"	-2.322	-3.477	-5.367	-3.025	-5.101	-2.355	-0.421	-1.608	-3.858	-4.247	-3.145	0.051	0.086	0.452	-1.748	-2.33	-1.693	-1.364	-0.705	-0.486	0.028	-1.6095	-0.8855	-1.895	-2.876	0.508	-1.787	-0.9045	-1.517	-0.068	-3.058	-2.212	-2.627	-2.654	0.152	0.157	-0.2	-0.862	-0.428	0.49	0.189	0.628	0.9635	0.868	0.198	-0.2705	0.035	-0.139	-4.313	0.556	-0.061	-0.533	-3.304	-3.978	-2.981	-4.404	-3.721	-2.651	-2.744	-4.431	-2.893	-2.185	-2.647	-0.583	-0.737	0.669	0.373	-0.091	0.586
"YOL125W"	-1.376	-1.913	-2.564	-2.016	-2.585	-0.646	-0.481	-0.616	-1.524	-2.591	-2.213	0.287	-0.13	-0.394	-1.38	-2.243	-1.759	-1.469	-0.837	-0.363	-0.235	-2.059	-2.1485	-1.7255	-1.4135	0.161	-1.052	-1.0065	0.6735	-0.456	-0.67	-0.877	-1.167	-0.669	0.224	0.069	0.135	-0.813	-0.568	0.177	-0.159	0.434	-0.0325	-0.0765	-0.89	0.2375	-0.047	0.118	-2.614	0.319	-0.64	-0.501	-2.055	-1.735	-1.499	-2.526	-1.442	-0.987	-0.599	-1.961	-0.984	0.017	-1.118	-0.21	-0.213	0.591	0.322	-0.261	0.22
"YOR021C"	-1.029	-1.325	-2.424	-2.166	-2.232	-1.715	-0.974	-1.392	-1.661	-2.204	-2.166	-0.038	-0.189	0.068	-0.391	-1.196	-1.656	-1.315	-0.811	-0.473	-0.288	-2.468	-2.956	-1.636	-1.532	0.244	-2.17	-1.75	-1.067	0.103	-1.602	-1.352	-1.123	-1.513	0.035	0.101	0.06	-1.036	-1.002	0.715	0.353	0.393	0.179	0.447	-0.206	-0.2325	-0.542	0.414	-2.297	0.002	0.187	0.253	-0.944	-2.366	-1.299	-1.996	-0.44	0.152	0.235	-1.781	-0.554	-0.449	-0.877	0.059	0.008	0.24	0.327	0.704	-0.18
"YOR028C"	-1.692	2.894	2.291	-0.323	1.954	-0.314	0.043	-0.971	1.553	1.98	2.212	-0.29	0.184	0.115	2.465	1.745	1.497	0.917	-0.144	-0.594	-0.399	0.18	1.871	0.8975	1.3485	0.431	2.461	1.5865	1.205	-0.321	-0.975	-0.299	0.344	2.225	-0.185	-0.397	-0.162	0.59	-0.116	-0.186	-0.011	-0.284	-0.229	0.304	-0.035	0.368	0.217	0.127	2.862	-0.429	1.49	0.066	1.696	1.3	0.456	1.173	-0.733	-0.153	0.145	0.717	0.319	-0.426	0.375	1.713	1.543	0.072	-0.353	-0.297	-0.94
"YOR091W"	-0.38	-2.076	-3.01	-1.939	-2.688	-0.519	0.313	-0.957	-1.642	-2.72	-2.309	0.713	0.865	-0.061	-1.362	-2.094	-1.799	-1.318	-0.783	-0.651	-0.144	-3.211	-1.504	-1.963	-0.467	-0.358	-1.597	0.6055	0.102	-0.316	-2.354	-1.778	-1.125	-1.688	-0.112	0.171	0.175	-0.7	-0.515	0.196	0.058	0.192	0.3195	-0.9145	-0.3125	0.484	-0.134	0.354	-2.366	0.302	-0.959	-0.785	-3.107	-3.395	-1.759	-1.529	-2.587	-1.87	-1.61	-3.639	-2.474	-2.19	-1.806	-0.234	0.062	-0.293	-0.186	-0.295	-0.44
"YOR095C"	-1.355	-2.575	-4.521	-4.917	-4.288	-2.381	-1.518	-1.787	-3.939	-4.34	-4.285	-0.091	-0.489	0.07	-1.081	-2.47	-2.585	-2.162	-1.01	-0.607	-0.399	-1.698	-4.37	0.482	-0.707	0.355	-3.469	0.291	-0.402	0.306	-1.726	-0.824	-1.933	-2.497	0.294	0.036	0.05	-1.727	-1.609	0.272	-0.031	0.667	-0.4295	0.0525	-0.683	-1.0605	-0.305	0.792	-3.778	0.192	-1.95	-1.77	-2.495	-3.665	-3.086	-3.849	-3.423	-0.799	-1.282	-4.298	-0.77	0.119	-1.123	-0.224	-0.288	0.3	0.0	-0.146	0.522
"YOR101W"	-0.622	-1.74	-1.895	-1.791	-2.147	-1.619	-1.032	-0.678	-1.543	-2.469	-2.494	-0.337	-0.336	-0.187	-0.418	-0.91	-0.866	-0.636	-0.561	-0.281	-0.322	-2.223	-0.3155	-0.8625	-0.8805	0.365	-3.003	-0.169	0.818	0.252	-1.616	-2.142	-1.518	-2.201	-0.088	0.162	0.055	-1.229	-0.888	0.368	0.004	0.509	0.478	0.67	-0.754	-1.149	-0.105	0.525	-2.311	0.148	-0.392	-0.672	-1.87	-1.907	-1.623	-2.05	-2.087	-2.759	-2.394	-2.121	-2.433	-2.296	-1.946	-0.102	-0.07	0.295	0.024	-0.069	0.049
"YOR116C"	-0.8725	-1.664	-0.2705	-1.648	-1.045	-0.434	-0.6345	-0.806	-1.252	-0.9245	-1.2105	-0.473	-0.0755	-0.2955	-1.2265	-0.9075	-1.195	-0.9105	-0.7295	-0.4385	-0.5395	-1.662	-2.715	-2.13466666666667	-0.0273333333333333	0.033	-1.415	-1.70433333333333	-0.7025	-0.201	-1.0045	-0.9695	-0.8885	-0.6205	0.0045	-0.297	-0.187	-0.1005	-0.2805	0.185	-0.3845	-0.215	0.189	-0.417666666666667	-0.134	-0.0343333333333333	0.115	0.141	-1.179	-0.1705	-0.3635	-0.56	-1.6375	-1.985	-1.0155	-1.3795	-1.0165	-1.3775	-1.215	-1.741	-0.6935	-1.422	-0.467	-0.102	-0.089	-0.1965	-0.391	-0.4785	-0.5815
"YOR120W"	1.251	2.674	3.611	0.278	3.535	2.348	1.169	2.124	3.086	3.797	4.06	-1.322	-0.698	0.573	2.467	2.94	2.947	2.802	2.504	2.261	0.92	1.576	0.0195	2.906	1.427	0.052	3.563	3.336	2.82	0.026	3.214	2.785	2.804	3.439	1.068	-0.424	-0.539	2.239	2.122	-0.15	0.122	-0.688	-1.569	-0.6295	-0.916	-0.706	-0.17	0.13	4.078	-0.895	1.308	0.358	2.119	3.207	2.666	3.005	3.606	3.258	2.529	3.403	3.666	2.452	3.058	-0.079	-0.023	-0.298	-0.054	0.556	0.181
"YOR145C"	-0.438	-3.045	-3.98	-3.649	-3.795	-1.872	-0.609	-1.583	-2.871	-3.492	-3.402	0.028	-0.162	0.219	-1.668	-2.441	-1.805	-1.614	-0.843	-0.433	-0.383	-4.1305	-3.4715	-1.3615	-2.307	0.056	-2.7235	-1.903	-1.5745	0.079	-0.787	-0.757	-0.742	-0.788	0.135	0.313	0.263	-1.028	-0.788	0.464	0.266	0.4025	0.234	1.2575	0.899	0.135	-0.285	0.447	-3.948	0.608	-0.675	-0.749	-3.355	-3.644	-2.806	-3.265	-2.939	-2.352	-1.732	-4.493	-1.998	-1.893	-1.091	-0.016	-0.212	0.351	0.465	-0.18	0.636
"YOR146W"	-0.495	-2.407	-3.231	-2.16	-2.681	-1.165	-0.394	-1.628	-3.597	-3.42	-3.036	-1.059	-0.888	0.378	-1.51	-2.093	-1.987	-1.521	-0.97	-0.626	-0.476	-3.402	-3.7465	-2.384	-2.1935	0.457	-2.648	-1.68	-1.6095	-0.005	-0.296	-0.284	-0.451	-0.292	0.07	0.035	-0.144	-0.721	-0.603	0.404	0.464	0.536	0.3405	1.0305	0.9035	0.418	-0.083	0.243	-4.259	0.628	-1.763	-0.381	-2.045	-2.594	-1.898	-2.065	-0.569	-1.294	-0.654	-2.731	-1.055	-0.935	-0.676	0.003	-0.179	0.379	0.252	-0.146	-0.121
"YOR206W"	-0.747	-3.294	-5.087	-4.715	-3.702	-2.15	-0.722	-1.66	-3.585	-5.083	-4.513	1.058	0.83	-0.056	-1.977	-2.894	-2.77	-1.859	-1.39	-0.949	-0.511	-5.827	-6.4785	-2.919	-1.049	0.207	-3.1625	-1.9445	-2.2495	0.141	-3.888	-2.026	-2.451	-2.637	0.155	0.126	0.13	-1.193	-0.934	0.811	0.454	0.537	0.4395	0.5695	0.9085	0.334	-0.157	-0.205	-5.066	0.54	-1.232	-0.898	-3.782	-3.839	-2.816	-4.003	-3.193	-2.539	-1.324	-4.817	-2.585	-1.507	-2.379	-0.221	-0.285	-0.08	-0.135	-0.204	0.382
"YOR243C"	-0.582	-3.173	-3.594	-2.991	-3.234	-2.239	-1.468	-0.62	-2.436	-3.633	-3.982	0.114	0.2	0.204	-1.209	-1.985	-1.827	-1.157	-0.863	-0.624	-0.339	-3.8055	-4.3935	-1.9265	-2.119	0.447	-2.588	-2.1815	-1.6325	-0.145	-3.635	-2.371	-2.179	-2.726	-0.029	0.211	0.308	-1.245	-0.836	0.512	0.218	0.759	0.66	0.6185	0.7605	0.6085	0.112	-0.219	-4.099	0.837	-1.228	-1.238	-2.442	-2.845	-1.727	-2.616	-1.759	-1.808	-1.803	-2.825	-2.065	-1.562	-1.363	0.073	0.149	-0.096	0.663	-0.206	-0.333
"YOR277C"	-0.227	-0.226	-1.703	-1.52	-2.052	-1.546	-1.046	-1.354	-1.329	-2.137	-2.041	0.258	0.0	0.116	0.199	-0.457	-0.817	-0.642	-0.433	-0.211	-0.24	-2.185	-4.571	-1.2845	-1.4635	0.104	-1.7745	-1.802	-2.148	0.131	-2.305	-1.656	-1.464	-2.047	-0.247	-0.1	-0.173	-0.523	-0.493	0.343	0.111	0.465	0.2915	0.444	0.521	0.5175	-0.358	0.324	-2.015	0.257	-1.565	-1.0	-0.939	-1.137	-1.05	-1.361	-1.552	-1.709	-0.85	-1.606	-1.913	-1.457	-1.886	0.28	0.232	0.14	0.255	0.068	0.356
"YOR287C"	-1.107	-1.639	-3.97	-2.641	-2.174	-2.111	-0.286	-0.891	-2.322	-3.247	-2.585	0.027	-0.606	0.166	-1.758	-2.167	-2.019	-1.664	-1.44	-1.094	-0.515	-3.973	-2.752	-1.7665	-2.2675	0.507	-2.833	-1.879	-1.405	-0.285	-2.146	-1.162	-1.159	-1.269	0.016	0.051	-0.286	-1.084	-0.674	0.688	0.297	0.5215	0.108	-0.437	0.347	0.1025	-0.204	-0.236	-2.646	0.074	-0.054	-0.373	-3.301	-3.942	-2.391	-2.109	-2.365	-2.712	-1.181	-3.411	-1.923	-1.759	-0.878	-0.444	-0.437	-0.095	0.056	0.141	-0.035
"YOR289W"	1.282	2.96	3.218	3.265	3.068	2.084	1.181	2.317	2.572	2.935	2.676	-0.931	-0.909	-0.309	1.567	2.084	2.367	2.451	2.255	2.281	1.521	4.4405	-0.134	1.86	2.535	-0.11	2.721	2.9015	2.166	-0.335	2.948	2.726	3.378	3.636	0.012	-0.106	0.006	1.079	1.12	0.031	-0.009	-0.2635	-0.7035	-1.6235	-2.278	-1.4165	-0.024	-0.199	3.401	-0.686	1.057	0.287	2.535	2.723	2.032	1.83	3.785	3.484	2.364	3.745	3.176	2.549	2.774	0.087	-0.197	-0.785	-0.316	0.438	-0.855
"YOR294W"	-1.637	-3.856	-4.574	-3.533	-3.828	-2.336	-1.101	-1.804	-3.73	-4.407	-3.632	0.247	-0.74	-0.044	-1.927	-2.434	-2.234	-1.598	-1.099	-0.54	-0.294	-5.6475	-5.2465	-2.791	-2.5155	-0.283	-3.318	-1.8445	-1.1745	0.009	-1.284	-1.517	-1.08	-0.98	0.084	0.037	-0.031	-1.253	-1.006	0.772	0.434	0.507	0.528	0.2195	1.1465	0.0685	-0.133	0.149	-4.852	0.089	-1.971	-1.75	-3.894	-4.841	-3.679	-3.042	-2.722	-2.74	-1.658	-5.145	-2.254	-1.895	-1.229	-0.299	-0.531	0.3	0.348	-0.109	0.162
"YOR310C"	-1.671	-4.866	-5.053	-0.887	-4.365	-2.174	-1.109	-2.299	-3.309	-4.639	-3.004	0.808	0.124	0.492	-1.362	-2.348	-2.686	-1.831	-1.366	-1.016	-0.53	-6.006	-7.1385	-3.101	-2.5655	0.234	-3.766	-3.585	-3.5415	0.437	-5.777	-2.773	-3.838	-4.105	0.18	0.222	0.038	-0.998	-1.065	0.718	0.239	0.711	0.446	1.276	1.051	0.5145	-0.589	0.359	-4.948	0.67	-2.121	-2.262	-3.619	-4.326	-3.006	-4.099	-4.564	-4.629	-3.407	-5.14	-4.292	-3.502	-2.073	0.03	-0.119	0.184	0.263	-0.206	0.764
"YOR347C"	0.249	3.368	3.347	2.735	2.539	2.27	1.195	1.938	2.503	2.76	2.778	-0.158	-0.715	-0.239	1.397	2.209	2.217	2.128	1.794	1.343	0.718	2.303	-1.665	1.6495	2.052	-0.485	1.5195	1.3825	1.019	0.137	0.172	0.0	0.45	0.022	0.005	-0.093	0.281	1.693	1.719	-0.29	-0.309	-0.1575	-0.358	-0.6955	-0.4625	-0.23	0.136	-0.076	2.34	-0.276	1.755	1.479	2.671	2.86	1.801	3.134	1.608	0.65	0.261	2.218	1.275	1.263	1.021	0.563	0.551	-0.408	0.182	0.44	-0.355
"YOR367W"	-0.278	1.378	0.491	1.631	0.614	0.104	-0.196	0.499	0.485	0.245	0.0	-0.678	0.124	-0.067	0.857	0.766	0.525	0.83	0.415	-0.042	-0.287	-0.859	-1.075	0.485	-0.175	0.248	-0.591	-0.448	-0.802	0.021	-1.434	-0.49	0.018	0.28	-0.231	0.002	-0.111	0.616	0.673	0.115	0.177	0.004	0.00249999999999999	-0.153	-0.049	0.191	-0.073	0.375	-1.115	-0.381	0.946	0.211	0.31	0.443	0.318	0.971	-0.971	-1.031	0.236	-0.159	-0.501	-0.649	-0.297	0.17	0.204	0.564	0.157	0.129	0.172
"YPL004C"	0.992	2.638	3.048	2.832	2.525	0.56	-0.008	1.992	2.254	2.241	2.589	0.469	-0.088	0.048	1.991	2.316	2.364	2.113	1.404	0.673	0.248	2.962	0.1385	1.954	2.034	0.247	1.4925	1.224	0.504	0.564	3.013	2.417	1.835	2.007	0.148	0.288	0.473	1.297	2.064	0.02	-0.302	-0.223	-0.086	0.056	0.0035	0.3505	-0.167	0.144	2.2	-0.265	1.123	1.324	3.209	3.003	2.446	2.486	2.73	2.358	1.924	3.09	2.61	1.146	0.623	1.734	1.912	0.407	0.282	0.676	0.791
"YPL043W"	-1.666	-2.829	-4.246	-2.686	-4.0	-1.47	-1.37	-2.102	-3.773	-4.198	-4.087	0.397	0.084	-0.067	-2.268	-2.529	-2.671	-2.001	-1.51	-1.19	-0.891	-4.668	-3.79	-3.242	-2.2635	0.126	-3.157	-2.2695	-1.9305	-0.44	-3.89	-2.277	-2.069	-2.134	-0.308	0.286	0.206	-1.227	-0.492	0.609	-0.047	0.6335	0.3205	0.5575	0.5745	-0.0075	-0.299	0.065	-4.555	0.428	0.437	0.274	-4.18	-3.988	-2.531	-2.639	-3.093	-2.958	-2.833	-4.308	-2.784	-2.516	-1.302	0.214	-0.003	0.342	0.29	0.123	0.481
"YPL061W"	-0.739	2.499	2.328	2.044	1.939	1.028	-0.241	1.008	1.535	1.341	1.892	-0.111	-0.328	0.833	2.858	2.898	2.901	3.074	2.712	1.594	2.02	-1.184	-4.39	1.492	0.2595	-0.127	-0.876	-1.2265	-1.938	0.231	-0.871	1.133	0.042	-1.174	-0.068	0.445	0.008	1.536	1.297	0.281	0.111	-0.081	0.241	0.645	0.2405	0.0285	0.103	0.923	1.779	0.102	0.082	-0.313	2.071	1.989	1.037	1.854	-3.222	-1.788	-2.538	-2.167	-1.157	-1.136	-0.312	2.003	1.556	0.955	0.787	0.319	1.195
"YPL165C"	1.535	2.897	2.691	2.456	2.172	1.569	0.807	1.052	2.129	2.291	2.216	-0.151	0.0995	-0.053	0.9445	1.154	0.5595	0.388	0.3145	0.3605	-0.119	3.0615	-0.491	1.852	1.9355	0.1615	1.51	2.0305	1.946	0.306	2.873	1.778	2.207	2.795	0.182	-0.208	0.026	1.135	0.876	-0.282	-0.046	-0.3525	-0.7555	-0.866	-0.9635	-0.3935	0.139	0.408	NaN	-0.814	0.613	0.319	1.285	1.729	1.066	1.56	1.938	1.221	0.975	1.867	2.051	1.11	1.218	0.228	0.367	0.123	0.322	-0.043	-0.737
"YPL212C"	-1.259	-2.2725	-2.8775	-0.0235	-2.504	-0.5295	-0.323	-1.361	-2.069	-3.0655	-2.0715	0.544	0.24	0.216	-0.769333333333333	-1.24433333333333	-1.38833333333333	-0.963333333333333	-0.767666666666667	-0.881	-0.287666666666667	-3.33233333333333	-2.626	-1.57066666666667	-2.44266666666667	0.096	-1.874	-2.052	-1.01433333333333	-0.082	-2.621	-2.0305	-2.322	-2.2515	-0.0765	0.015	-0.033	-0.1775	0.1195	0.546	0.0905	0.346333333333333	0.247	0.377	0.517	0.245666666666667	-0.0485	-0.1005	-2.912	0.4345	-0.889	0.1315	-2.2795	-2.6875	-1.5995	-1.685	-2.339	-2.278	-1.0775	-3.1355	-2.7785	-1.994	-2.14	-0.137	-0.078	0.3365	0.8675	-0.3415	-0.02
"YPL226W"	-1.8195	-3.629	-3.457	-0.2535	-3.002	-1.42	-0.933	-1.6735	-2.4945	-3.229	-4.183	-0.112	-0.420333333333333	0.222333333333333	-1.34366666666667	-1.99	-1.997	-1.50333333333333	-1.065	-0.477666666666667	-0.681	-4.86566666666667	-5.67966666666667	-2.472	-2.84333333333333	0.252333333333333	-3.37333333333333	-2.503	-2.786	-0.0175	-4.0095	-2.363	-2.3985	-2.8955	0.0975	0.105	0.122	-0.8535	-0.5515	0.249	-0.507	0.493666666666667	0.373	0.789333333333333	0.748	0.288333333333333	-0.3285	0.1745	-3.215	0.369	-0.5545	-0.594	-2.55	-3.076	-2.041	-3.793	-2.657	-3.519	-1.48	-3.811	-3.004	-2.748	-2.36	0.199	0.142	0.433	0.121	-0.293	0.377
"YPL229W"	0.713	1.049	0.917	0.541	0.28	-0.121	-0.123	0.451	0.358	0.495	0.637	0.228	0.015	-0.0045	-0.13	-0.0595	-0.1235	0.144	0.177	0.248	0.0615	1.0685	0.0795	0.4915	0.4255	-0.2445	0.5835	0.698	0.732	-0.049	0.174	0.199	0.54	0.869	-0.021	0.303	0.103	0.666	0.671	-0.201	0.047	0.0565	0.0585	-0.115	0.2065	-0.0175	0.17	-0.175	0.357	0.171	-0.046	-0.385	-0.359	0.388	-0.153	0.264	0.228	0.562	0.779	0.484	0.866	0.296	1.842	0.089	0.041	-0.059	0.117	-0.456	-0.443
"YPL232W"	0.582	0.527	0.426	0.283	0.532	-0.036	0.328	0.354	0.016	0.406	0.425	-0.5535	0.1395	-0.1545	0.113	0.3035	0.2405	0.298	0.302	0.1655	0.0805	1.5595	-2.1425	0.6485	0.8825	-0.1925	1.1145	0.538	0.0665	0.391	-0.034	-0.147	-0.214	-0.253	0.026	-0.127	-0.274	0.292	0.556	0.527	0.479	0.43	0.4275	0.2695	-0.123	0.092	0.301	0.017	-0.25	0.571	0.109	-0.363	1.179	0.064	-0.037	0.132	0.62	0.383	-0.44	0.483	0.572	-0.121	-0.444	0.305	0.106	0.213	0.162	0.457	0.427
"YPL247C"	1.056	3.521	3.7175	3.1825	2.8855	1.276	0.688	1.5785	2.3165	3.0315	3.09	-1.259	-0.939333333333333	-0.63	1.36866666666667	1.94866666666667	1.773	1.493	0.953	1.11433333333333	0.429666666666667	3.12633333333333	-0.0946666666666667	1.57233333333333	2.10133333333333	-0.619333333333333	1.923	1.86	1.69133333333333	-0.5415	0.7255	0.06	-0.0025	0.6655	0.1165	0.068	-1.407	1.3	1.032	-0.5885	-0.46	-0.173333333333333	-0.033	-0.817333333333333	-0.797333333333333	-0.373	0.176	-0.393	3.357	-0.6555	0.97	0.694	2.389	2.541	1.455	2.472	3.502	2.62	1.528	3.868	2.856	1.362	1.934	0.217	0.605	-0.452	0.042	0.498	-1.647
"YPL266W"	-1.014	-2.487	-3.981	-2.802	-3.222	-1.605	-0.686	-1.233	-2.968	-3.585	-3.063	0.32	0.1025	0.166	-0.843	-1.9705	-1.846	-1.773	-1.1315	-0.5905	-0.176	-4.1135	-3.1595	-2.162	-1.4815	0.3935	-3.267	-2.3995	-1.8745	0.104	-2.099	-1.926	-2.07	-1.477	0.333	-0.228	-0.174	-1.242	-1.094	0.656	0.646	0.412	0.3645	1.08	1.121	0.8915	-0.501	0.234	-3.636	0.297	-0.83	-0.522	-3.195	-4.813	-2.51	-2.945	-3.274	-2.154	-1.743	-4.271	-2.451	-1.929	-2.098	-0.047	0.034	0.345	0.479	-0.149	0.337
"YPL273W"	-1.333	-0.7835	-1.992	-2.0635	-2.2005	-1.1265	-0.6635	-1.2115	-1.7945	-2.3665	-2.375	-0.400333333333333	-0.094	0.093	-0.0823333333333333	-0.916	-1.504	-1.141	-0.931666666666667	-0.551	-0.330333333333333	-3.42133333333333	-5.69966666666667	-1.294	-2.034	0.051	-2.94366666666667	-2.86466666666667	-2.69266666666667	0.217	-2.8035	-2.088	-2.4545	-3.2755	-0.345	0.151	0.326	-0.6175	-0.686	0.485	0.237	0.390333333333333	0.438333333333333	0.744333333333333	0.771333333333333	0.680666666666667	-0.307	-0.006	-2.24	0.5605	-0.828	0.746	-1.347	-1.97	-1.752	-1.838	-1.883	-1.961	-1.127	-3.012	-2.524	-2.277	-3.204	-0.316	-0.166	0.266	0.149	-0.187	0.041
"YPR010C"	-0.434	-2.2405	-3.225	-2.949	-2.887	-1.446	-0.754	-2.017	-3.0415	-3.3095	-3.049	0.0873333333333333	0.057	0.243666666666667	-1.499	-1.94733333333333	-2.196	-1.75433333333333	-1.29866666666667	-0.782666666666667	-0.626333333333333	-2.19933333333333	-3.425	-1.76166666666667	-0.913333333333333	0.568333333333333	-1.99066666666667	-2.13833333333333	-1.50933333333333	-0.039	-1.991	-1.6105	-1.8945	-1.5645	0.2215	-0.134	0.085	-0.994	-0.9445	0.1205	-0.4285	0.115	0.157666666666667	0.697666666666667	0.393666666666667	0.226333333333333	0.206	-0.093	-3.0355	0.7125	-1.09	-0.169	-2.39	-3.6845	-2.23	-3.8585	-2.412	-2.1855	-1.629	-3.761	-2.866	-2.5065	-2.7385	0.2335	0.214	0.17	0.1675	-0.435	0.034
"YPR110C"	-0.524	-1.58	-3.178	-1.98	-3.084	-1.217	-0.931	-1.163	-2.507	-3.52	-3.728	-0.201	-0.4585	0.123	-0.888	-1.572	-2.073	-1.383	-1.0145	-0.3585	-0.4175	-5.7185	-6.318	-2.6255	-1.862	0.4215	-3.01	-3.296	-2.285	0.151	-3.88	-2.186	-2.175	-2.703	0.243	0.352	0.334	-0.882	-0.777	0.572	0.002	0.264	0.3115	0.767	0.475	0.6265	-0.752	0.201	-3.168	0.106	-0.968	-0.951	-2.665	-3.436	-2.354	-3.503	-2.851	-1.853	-0.937	-3.882	-3.113	-2.597	-2.759	-0.241	-0.157	0.539	0.389	0.067	0.527
"YPR144C"	-0.583	-1.792	-4.441	-3.739	-4.211	-1.224	-0.758	-3.145	-2.783	-3.783	-3.366	-0.1555	-0.515	-0.0215	-1.765	-2.554	-1.9485	-1.342	-0.8905	-0.3905	-0.0515	-3.855	-4.2065	-2.4285	-1.3485	0.0855	-2.0425	-1.8885	-1.2035	-0.033	-2.256	-1.327	-1.4	-1.22	-0.027	0.12	0.167	-0.859	-0.563	0.131	-0.259	0.5055	0.266	0.843	0.876	0.21	-0.2	-0.162	-4.107	0.146	-1.285	-0.233	-3.581	-3.213	-2.381	-2.677	-2.991	-2.5	-2.501	-3.937	-2.277	-1.752	-0.96	0.239	0.056	0.218	0.164	-0.159	0.304
