	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"407.heat shock 33 to 37, 20 minutes"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"686.YP ethanol vs reference pool"	"809.DBY7286 37degree heat - 20 min"	"810.DES460 (wild type) + heat 20 min"	"814.DBYmsn2-4- 37degree heat - 20 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"944.starv_in_H2O_4_h_30C"	"1012.YPD 12 h (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1258.DBYyap1 + 37degree heat (repeat)"	"2560.29C to 33C - 15 min"	"4786.29C +1M sorbitol to 33C + 1M sorbitol - 5 min"	"4789.33C + 1M sorbitol vs. 29C - adapted"	"6361.DBYyap1- 37degree heat - 20 min (redo)"	"7530.DBY msn2msn4 37C - 20 min"	"11466.yO1 test hyb"	"12734.Nitrogen Depletion 12 h"	"12736.Nitrogen Depletion 1 d"	"12737.Nitrogen Depletion 2 d"	"12738.Nitrogen Depletion 3 d"	"12741.Nitrogen Depletion 1 h"	"17676.Na+FK 45min (4)"	"33774.DBY8778(wt)_stationary_phase_7hours"
"YJL080C"	-1.102	-1.1275	-1.3445	-1.1655	-1.2035	-1.63	-1.147	-0.873	-0.24	-0.888	-2.655	-2.64	-1.79	-1.719	-1.923	-3.029	-3.232	-1.545	-2.248	-2.293	-2.334	-2.401	-2.866	-3.001	-0.463	-0.09	0.286	-0.421	-0.7935	-0.317	-1.086	-2.775	-2.294	-0.748	-3.138	-0.767	NaN	-1.83
"YJR064W"	1.1545	-0.906	-0.229	-0.5995	-1.054	-1.305	-0.869	-0.13	-0.156	-0.108	-3.248	-2.118	-2.216	-1.854	-2.589	-1.931	-4.297	-1.978	-2.119	-1.592	-1.762	-1.961	-2.702	-2.57	0.586	-0.197	0.093	0.226	-0.4	0.03	-1.762	-1.091	-1.12	-0.872	-1.372	0.287	-0.643	-1.981
"YJR143C"	-0.9645	-1.8585	-0.9745	-1.283	-1.6305	-1.8185	-0.945	-1.328	-0.607	-1.129	-1.748	-1.012	-1.648	-1.487	-1.713	-4.675	-5.523	-2.573	-1.799	-1.986	-2.118	-3.335	-3.698	-3.382	-1.158	-0.289	-0.72	-0.82	-1.3065	-0.531	-1.896	-2.672	-2.162	-2.24	-2.832	-0.989	-1.529	-1.722
"YKL154W"	-0.868	-0.639	-0.17	-0.251	-0.477	-0.971	-0.144	0.031	0.106	-0.059	-1.585	-1.703	-1.327	-1.486	-1.312	-2.701	-3.89	-1.136	-2.099	-1.477	-1.447	-1.765	-2.132	-2.222	0.037	0.03	0.013	0.208	-0.165	0.233	-1.175	-0.82	-0.869	-1.107	-0.541	0.122	-0.316	-2.361
"YLR060W"	-0.453	-0.649	-0.405	-0.87	-1.031	-1.141	-1.157	-0.273	-0.552	-0.551	-3.165	-2.617	-2.296	-2.499	-2.849	-4.941	-5.967	-2.672	-2.773	-2.397	-2.667	-3.118	-3.713	-4.371	-0.471	-0.11	0.123	-0.019	-0.708	-0.147	-2.464	-1.72	-1.77	-1.452	-2.018	-0.589	-0.992	-2.734
"YLR065C"	-0.089	-0.763	-0.291	-0.254	-0.361	-0.348	-0.71	0.195	-0.157	-0.025	-1.734	-1.826	-1.638	-1.191	-1.341	-1.93	-3.028	-1.411	-1.44	-1.07	-1.137	-1.477	-1.554	-1.642	-0.307	0.005	-0.347	-0.156	-0.087	-0.141	-0.712	-0.544	-0.786	-0.69	-0.544	-0.076	-1.134	-0.712
"YLR083C"	-1.886	-2.035	-1.68	-1.6	-1.568	-2.248	-0.926	-1.173	-0.917	-1.582	-3.703	-2.067	-1.598	-2.021	-2.216	-3.767	-5.137	-0.41	-3.208	-2.031	-2.545	-2.29	-3.88	-3.36	-0.943	-0.756	-0.803	-0.946	-1.513	-0.924	-2.297	-2.339	-2.644	-3.016	-2.773	-1.283	-1.961	-3.186
"YLR197W"	-4.98	-4.044	-1.636	-3.638	-4.76	-5.179	-1.17	-1.737	-1.741	-1.659	-5.817	-3.612	-2.795	-2.789	-3.255	-4.736	-5.242	-3.258	-5.671	-3.067	-3.716	-4.423	-4.976	-5.033	-0.933	-1.497	-1.383	-0.496	-1.878	-0.809	-2.488	-3.052	-3.145	-3.099	-2.81	-2.075	-3.105	-4.983
"YLR198C"	-4.57	-4.694	-1.876	-3.371	-4.643	-4.805	-0.846	-1.561	-1.547	-1.785	-5.143	-2.989	-2.376	-2.064	-2.252	-3.745	-3.401	-2.998	-5.282	-3.21	-3.479	-3.841	-4.919	-4.589	-0.935	-1.379	-1.177	-0.315	-1.735	-0.856	-2.698	-2.706	-2.917	-3.086	-3.164	-2.332	-2.296	-2.271
"YLR293C"	-0.611	-1.037	-0.049	-0.839	-0.72	-1.135	-1.282	-0.547	-0.733	-0.595	-3.594	-2.185	-2.565	-2.207	-2.675	-3.488	-6.281	-2.233	-2.473	-1.45	-2.158	-2.379	-3.03	-3.186	-0.31	-0.2	-0.227	0.068	-0.733	-0.488	-2.235	-1.553	-1.559	-1.887	-1.39	-0.706	-0.934	-3.113
