	"40.alpha factor release sample029"	"107.heat shock 10 min"	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"585.21 deg growth"	"597.25 deg growth"	"691.DBY7286 + 0.3 mM H2O2 (20 min)"	"692.DBYyap1- + 0.3 mM H2O2 (20 min)"	"831.1.5 mM diamide (20 min)"	"854.YPD_6_h_30C"	"856.YPD_10_h_30C"	"859.YPD_2_d_30C"	"906.w303a vs w303a hcm1"	"976.wt_plus_gamma_5_min"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1107.alpha factor release sample025"	"1167.NBW7 strain low-Pi vs. High-Pi, exp.1"	"1249.mec1_plus_gamma_5_min"	"1300.DBY7286 Low-Pi vs. High-Pi"	"1303.diauxic shift timecourse: 0 hr"	"2559.29C to 33C - 5 min"	"2964.WT vs lpz8 null cells in low Cu-repeat"	"3020.WT vs lpz8 null cells in high Cu"	"4048.0.8M NaCl +FK506 - 30 min"	"4785.29C +1M sorbitol to 33C + 1M sorbitol - 15 min"	"6672.wt - 0.3 mM H2O2 - 10 min"	"7759.Na 30min"	"7760.Na 45min"	"7761.Na 60min"	"7763.Na+FK 30min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"8213.steady state 36 dec C"	"8234.dtt 240 min"	"8247.steady state 36 dec C: y14n095"	"12742.Nitrogen Depletion 2 h"	"12744.heat shock 17 to 37, 20 minutes"	"13065.Na/Na+FK 30min (1)"	"13067.Na/Na+FK 45min (1)"	"13493.Y10 mRNP vs. Poly"	"14712.Ca 15min (1)"	"15180.Ca 15min (2)"	"16514.DES genomic DNA vs. MHY26 (dun1) genomic DNA (correct version)"	"17472.Ca+FK 15min (5)"	"17677.Na+FK 60min (4)"	"27095.P1Comp 05 hr 5 min Phosphate Batch vs Chemostat Comparison"	"27102.P1Comp 21 hr 5 min Phosphate Batch vs Chemostat Comparison"	"27108.P1Comp 45 hr 5 min Phosphate Batch vs Chemostat Comparison"	"28854.P2Comp 19 hr 45 min Phosphate Batch vs Chemostat Comparison2"	"32251.DBY8778_heat_shock2_5min"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"32255.DBY8778_heat_shock2_60min"	"33258.delKIN82_heat shock _5min"	"33259.delKIN82_heat shock _15min"	"33261.delKIN82_heat shock _30min"	"33779.delYPL230w_stationary_phase_5hours"	"34885.S4Comp 34 hr 20 min Sulfate Batch vs Chemostat Comparison"
"YGR128C"	0.347	-2.88	-2.985	-2.926	-3.042	-2.4315	-3.197	-2.749	-0.063	0.278	-1.5245	-1.9845	-2.282	-3.032	-2.603	-2.665	0.467	-1.872	-3.207	-1.88	-2.107	-2.236	0.001	-0.239	-1.371	-0.935	0.349	-1.294	0.059	-0.218	-1.961	-1.149	-0.226	-1.643	-2.422	-1.522	-1.405	-1.874	-1.85	0.054	-1.173	-0.143	-0.046	-2.534	0.0515	-0.5265	-0.255	-2.5515	-2.767	-0.1455	-2.175	-1.7225	0.4755	-0.582	-1.23	0.234	-2.591	-2.714	-1.919	-0.878	-1.369	-1.414	-0.404	-0.921	-0.614
"YGR145W"	0.152	-2.7705	-5.791	-6.346	-5.902	-3.702	-3.7955	-3.4415	0.845	0.774	-1.8235	-2.293	-3.204	-4.245	-1.808	-0.983	-0.142	-1.782	-3.496	-2.143	-1.897	-1.466	0.019	-0.015	-1.99	-0.619	0.08	-1.277	-0.396	-0.436	-1.856	-0.743	-0.614	-1.727	-2.735	-2.278	-0.988	-2.264	-2.469	-0.327	-1.533	-0.025	-0.511	-4.7725	-0.3695	-0.6505	-0.067	-2.8655	-3.5045	0.0895	-2.4145	-2.844	0.058	-0.2595	-0.37	-0.969	-3.598	-4.182	-3.769	-0.711	-1.288	-2.255	-2.001	-4.009	-0.362
"YGR245C"	0.332	-2.6095	-5.097	-5.457	-5.1995	-3.9345	-4.2355	-3.9115	0.758	0.633	-1.8945	-2.3165	-3.099	-4.207	-2.396	-2.045	0.065	-2.187	-3.164	-2.228	-2.367	-2.154	0.071	0.027	-1.863	-1.044	0.283	-0.948	-0.23	-0.439	-1.64	-0.59	-0.512	-1.451	-2.621	-2.539	-1.117	-2.046	-2.492	-0.847	-2.034	-0.601	-0.744	-4.6765	-0.024	0.198	-0.206	-1.846	-2.316	0.216	-0.744	-1.14	0.263	-0.036	0.353	-0.357	-2.295	-4.281	-2.645	-1.008	-0.285	-2.373	-2.036	-3.415	-0.469
"YGR283C"	-0.302	-3.2055	-2.8315	1.3875	-2.1325	-1.4595	-0.842	-1.164	0.269	0.304	-0.6165	-1.0765	-1.807	-1.969	-1.338	-0.554	0.196	-1.679	-1.242	-0.834	-0.794	-0.416	-0.119	-0.01	-1.279	-0.742	0.0	-1.382	0.109	-0.036	-1.467	-0.859	-0.748	-1.594	-2.493	-1.546	-0.915	-2.019	-2.054	-0.092	-0.578	-0.016	0.26	-1.9485	-0.244	-0.583	0.691	-2.577	-2.663	-0.376	-2.263	-1.617	-0.27	0.392	0.563	-0.166	-1.714	-0.712	-0.993	-0.314	-1.179	-0.426	-0.918	-0.701	0.506
"YHL021C"	0.269	5.6195	5.88	5.7395	5.508	4.666	5.5395	5.718	-1.225	-1.134	1.705	2.4895	3.993	5.13	4.461	3.435	0.047	2.544	3.904	3.646	3.694	2.488	-0.061	0.209	2.255	1.964	-0.348	3.596	0.504	0.863	4.431	3.006	0.534	3.59	3.443	3.832	2.99	3.239	3.337	0.877	1.811	1.193	0.334	5.9365	0.346	0.547	0.432	4.633	4.775	0.34	4.883	4.599	-1.362	-0.117	-0.417	-0.114	6.378	6.107	5.446	3.682	4.326	5.07	3.393	6.624	-0.079
"YHR088W"	0.262	-2.3875	-5.1145	-5.3925	-4.6805	-3.058	-3.613	-2.3075	0.494	0.451	-1.1035	-1.08	-3.19	-5.002	-1.955	-1.335	-0.516	-1.567	-1.713	-1.295	-0.722	-1.206	-0.041	-0.027	-1.562	-1.246	0.149	-1.965	-0.115	-0.036	-1.129	-1.417	-0.581	-1.231	-3.561	-1.727	-0.823	-1.811	-2.252	-0.403	-1.131	-0.527	0.192	-3.3645	0.006	-0.523	0.299	-2.284	-2.489	-0.103	-3.581	-2.323	0.231	0.03	0.073	-0.554	-2.592	-2.779	-2.184	-0.701	0.42	-1.48	-0.636	-2.768	0.25
"YHR170W"	0.125	-3.765	-5.3995	-6.3835	-4.622	-4.14	-4.723	-3.947	0.721	0.677	-1.2945	-1.526	-2.518	-4.51	-2.071	-2.063	0.178	-2.023	-2.314	-1.433	-2.149	-1.819	-0.027	-0.161	-1.519	-0.841	0.154	-0.995	-0.317	-0.182	-1.659	-0.636	-0.204	-1.725	-2.244	-2.093	-0.835	-1.733	-1.888	-0.425	-1.391	-0.578	-0.114	-5.252	0.226	-0.151	-0.618	-2.303	-2.354	-0.28	-1.429	-0.887	0.233	-0.94	-1.25	-2.023	-2.606	-3.576	-2.405	-1.181	-0.591	-2.772	-2.333	-3.601	-1.55
"YIL014W"	0.163	-0.4035	-0.329	-1.234	-0.627	-0.0675	-0.456	-0.401	-0.154	-0.185	-0.4835	-0.495	-0.405	0.022	0.307	0.6	-0.058	0.044	0.218	0.208	0.28	0.56	0.009	-0.029	-0.286	0.095	0.006	0.803	-0.264	-0.29	-0.681	0.002	-0.1	-0.93	-0.851	-0.696	-0.771	-0.703	-0.155	-0.033	0.014	0.069	-0.203	-0.4125	-0.021	-0.629	NaN	-0.256	-0.413	-0.028	0.486	-0.528	-0.08	0.048	-0.272	-0.093	-0.709	-0.976	-0.236	-0.232	-0.533	-0.432	-0.134	0.371	0.078
"YIL127C"	0.3	-1.5585	-2.724	-2.4155	-3.181	-1.7815	-2.8895	-2.6295	0.583	0.419	-1.185	-1.5605	-2.219	-3.825	-2.308	-1.833	0.211	-1.831	-2.484	-1.39	-1.039	-1.481	-0.027	-0.026	-1.691	-1.205	0.094	-1.483	-0.006	-0.38	-1.18	-1.109	-0.734	-1.33	-1.876	-1.539	-0.89	-2.052	-2.118	-0.009	-1.608	-0.404	0.533	-2.6085	-0.063	-0.293	0.349	-2.289	-2.493	0.081	-2.063	-2.36	0.083	-0.407	-0.171	0.019	-3.424	-2.784	-1.905	-1.009	-1.677	-1.765	-1.048	-3.693	-0.551
"YIR039C"	0.123	2.385	3.633	3.4175	3.2675	2.848	3.293	3.373	-0.094	-0.26	1.6155	2.3125	1.82	4.648	3.921	3.092	-0.078	1.785	3.871	2.453	1.744	1.941	-0.039	-0.133	0.9	1.071	-0.27	1.243	0.252	0.297	1.191	0.595	0.212	1.013	1.293	1.395	0.633	1.287	1.745	0.66	1.735	-0.083	0.231	3.736	0.35	0.265	-0.128	1.238	1.179	-0.275	0.647	0.974	-0.312	0.073	-0.583	1.735	1.152	2.835	2.607	1.407	0.927	2.541	1.974	4.051	0.698
"YJL122W"	0.087	-2.271	-3.1605	-2.3075	-2.6115	-2.3555	-3.015	-2.6085	0.603	0.498	-1.4065	-1.731	-2.04	-4.13	-2.636	-1.794	0.304	-1.984	-1.834	-1.836	-1.889	-1.753	-0.184	-0.259	-1.628	-1.074	0.029	-1.33	0.063	-0.59	-1.669	-1.004	-0.524	-1.63	-2.152	-1.354	-1.899	-2.238	-2.159	0.312	-1.155	0.501	-0.012	-2.9625	0.288	-0.522	-0.113	-2.626	-2.873	0.399	-2.726	-3.107	0.29	-0.646	-0.599	-0.801	-2.578	-3.081	-2.605	-1.588	-2.341	-2.196	-1.794	-3.406	-0.345
"YJL148W"	0.083	-3.4665	-2.7525	-2.493	-2.695	-2.0075	-3.2015	-2.403	0.747	0.849	-1.378	-1.9615	-2.197	-3.572	-2.266	-1.709	0.36	-1.666	-3.662	-2.646	-2.572	-2.639	-0.205	0.039	-1.451	-1.089	0.153	-0.732	-0.09	-0.393	-1.019	-0.332	-0.775	-1.239	-2.592	-1.966	-0.52	-1.856	-2.304	-0.467	-1.657	-0.698	-0.139	-2.967	0.435	-0.058	0.075	-2.864	-2.863	-0.144	-2.596	-2.24	0.722	-1.224	-1.15	-1.389	-3.149	-3.84	-2.82	-1.72	-2.92	-4.029	-2.601	-3.944	-2.345
"YJR070C"	-0.049	-3.0685	-4.6905	-4.6305	-4.824	-3.895	-4.828	-4.332	-0.362	-0.035	-2.531	-2.3445	-2.536	-5.317	-3.514	-3.68	-0.131	-1.678	-2.102	-1.698	-1.543	-1.829	0.112	-0.201	-1.518	-0.721	0.257	-1.079	0.312	-0.137	-0.876	-0.815	-0.447	-0.684	-2.306	-2.277	-1.265	-2.616	-3.193	0.08	-2.021	-0.075	-0.217	-4.7655	0.583	0.277	0.147	-2.676	-2.971	0.338	-2.297	-2.739	0.627	-0.376	-1.192	-0.036	-2.778	-3.81	-2.429	-1.002	-1.02	-4.096	-1.614	-3.754	-1.314
"YKL007W"	0.005	1.208	0.8305	1.125	0.9855	0.88	0.7945	0.683	-0.023	0.005	0.696	0.199	1.135	0.599	0.183	0.099	0.346	0.926	0.503	0.361	0.409	0.384	0.245	-0.048	0.985	0.201	0.07	0.627	0.101	0.405	0.738	0.844	0.277	0.376	0.82	0.903	0.64	0.508	0.782	-0.064	0.435	0.111	0.799	0.5835	0.123	0.232	0.42	1.003	1.439	0.182	1.03	1.11	-0.23	0.349	0.107	0.035	0.316	0.789	0.537	0.181	0.489	0.605	1.216	-0.057	-0.2
"YKL009W"	0.156	-3.0175	-1.833	-3.1635	-3.58	-3.253	-4.1895	-4.13	1.19	0.632	-1.2135	-1.678	-2.089	-5.997	-3.38	-2.449	0.54	-1.9	-4.341	-2.546	-2.432	-2.856	0.31	-0.149	-1.603	-1.044	-0.106	-1.425	0.163	0.013	-1.886	-1.109	-0.452	-2.265	-2.841	-2.079	-1.492	-2.592	-2.565	-1.068	-1.783	-0.623	0.009	-4.4285	0.229	-0.663	0.319	-3.064	-2.756	-0.096	-2.346	-2.954	0.544	-0.96	-0.517	-0.665	-3.974	-4.247	-2.782	-1.967	-2.458	-3.549	-2.199	-4.823	-1.925
"YKL021C"	-0.594	-2.355	-2.41	-1.9315	-1.988	-1.5375	-1.979	-2.0995	0.444	0.526	-0.949	-1.0805	-1.283	-2.005	-1.265	-1.387	0.284	-0.953	-2.158	-1.537	-1.655	-1.492	-0.017	-0.105	-0.96	-0.519	0.144	-0.841	-0.329	-0.199	-0.856	-0.493	-0.73	-0.93	-0.834	-0.93	-0.686	-0.895	-1.055	-0.548	-0.862	-0.22	-0.066	-2.5805	-0.661	-0.708	0.339	-1.309	-1.371	-0.48	-1.946	-1.042	0.052	-0.181	-0.083	-0.886	-2.818	-2.504	-1.987	-1.632	-1.751	-2.666	-1.54	-2.274	-0.892
"YKL035W"	-0.106	4.094	2.459	4.556	4.283	2.527	1.539	2.1225	-0.604	-0.36	1.3015	1.8725	3.083	3.076	1.74	1.096	-0.218	2.026	1.918	1.737	1.553	0.942	0.087	0.101	1.695	1.201	0.314	2.213	0.259	0.613	2.435	1.947	0.506	2.237	3.062	3.076	1.378	2.695	2.942	0.476	1.148	0.439	-0.014	4.293	0.696	1.175	-0.715	2.256	2.018	0.273	3.537	3.616	-0.605	1.139	-0.125	0.731	3.778	3.568	2.265	1.148	3.098	3.371	1.539	3.697	-0.788
"YKL085W"	-0.201	2.143	2.516	2.6	2.611	1.578	2.557	2.992	-0.142	0.162	0.544	1.926	1.869	4.338	4.735	3.112	-0.087	0.965	3.733	3.587	2.72	2.135	-0.183	0.256	0.987	1.06	0.102	1.43	0.387	0.227	1.53	1.531	0.561	1.231	1.354	1.516	0.823	1.457	1.179	0.282	0.909	0.134	0.06	2.286	0.527	0.203	0.14	1.204	1.57	-0.369	1.874	1.404	-0.986	0.404	-0.126	-0.934	1.325	1.868	1.741	0.282	1.334	2.442	1.436	2.917	-0.716
"YKL099C"	0.115	-2.757	-4.464	-4.014	-3.88	-2.796	-3.564	-3.037	0.775	0.625	-1.021	-1.41	-2.672	-4.145	-2.146	-1.537	0.061	-1.7	-3.26	-1.746	-1.419	-1.618	0.088	-0.032	-1.671	-1.171	0.217	-1.617	0.045	-0.331	-1.766	-1.143	-0.726	-2.002	-2.597	-2.271	-1.408	-2.54	-2.778	-0.903	-1.348	-0.517	0.653	-3.926	0.026	-0.274	-0.333	-2.49	-2.457	0.034	-2.269	-2.556	-0.49	-0.105	-0.605	1.177	-3.154	NaN	-2.909	-1.64	-2.675	-2.722	-1.825	-3.486	-0.462
"YKL103C"	0.024	3.901	4.422	4.528	4.114	3.921	4.231	4.041	-0.843	-0.718	3.004	2.723	3.367	3.523	2.525	1.948	-0.791	2.172	2.163	2.298	1.921	1.524	0.151	0.066	2.332	1.227	-0.011	1.522	0.046	0.052	2.137	1.333	0.955	1.72	2.804	3.086	0.852	1.841	2.296	1.25	1.289	0.869	1.561	4.119	0.014	-0.227	0.022	2.079	2.229	-0.029	1.863	0.743	-1.259	0.291	-0.099	-0.316	2.335	3.183	2.564	1.652	2.182	3.995	2.43	2.724	-0.432
"YKR011C"	-0.151	2.771	2.754	3.134	3.114	2.849	3.092	2.411	0.139	0.181	1.849	2.298	2.145	2.562	2.023	1.271	0.143	0.249	1.075	1.505	1.11	1.068	-0.309	0.225	1.023	1.277	-0.045	1.237	0.268	0.371	2.477	1.557	-0.123	2.375	2.968	2.696	2.134	2.517	2.312	-0.073	0.838	0.121	0.456	2.868	-0.257	0.127	0.06	2.944	3.112	-0.305	1.898	1.712	-0.096	0.4	0.019	0.649	2.879	2.828	2.342	1.769	1.928	2.451	1.896	2.508	-0.268
"YKR056W"	-0.27	-3.646	-4.01	-3.863	-3.872	-2.945	-3.217	-3.127	0.441	0.284	-1.414	-1.83	-2.718	-4.495	-2.343	-2.639	0.199	-1.64	-1.986	-1.639	-1.597	-1.637	0.009	-0.005	-1.471	0.035	0.402	-2.016	-0.166	-0.275	-2.462	-1.734	-0.18	-1.933	-2.896	-1.713	-1.662	-3.105	-2.539	-0.519	-0.763	-0.468	-0.256	-3.682	0.451	-0.202	0.692	-2.118	-2.059	-0.387	-2.055	-1.351	0.318	-0.118	-0.366	-0.528	-1.97	-2.586	-2.146	-1.597	-2.145	-2.061	-1.311	-3.056	-1.028
"YKR081C"	-0.031	-4.01	-4.459	-3.157	-3.308	-1.58	-3.81	-3.431	0.73	0.661	-1.567	-2.224	-2.342	-4.081	-2.469	-1.821	0.471	-1.186	-3.734	-2.064	-2.119	-2.118	-0.04	-0.229	-1.47	-0.755	0.298	-1.449	0.162	-0.313	-2.166	-0.988	-0.541	-1.865	-2.808	-1.645	-1.476	-2.276	-2.28	-0.519	-1.645	-0.417	0.484	-3.505	-0.206	-1.013	-0.585	-2.534	-2.641	0.137	-2.582	-2.789	0.75	-0.248	-0.389	-1.024	-2.229	-2.666	-1.731	-1.18	-1.688	-2.514	-1.758	-3.261	-0.873
"YLL008W"	0.29	-2.364	-4.973	-6.033	-4.981	-3.751	-4.808	-4.019	0.381	0.007	-1.64	-1.904	-3.718	-5.659	-3.627	-3.282	-0.103	-2.137	-3.473	-2.41	-2.154	-2.612	0.116	-0.068	-1.7	0.093	0.212	-0.882	-0.544	-0.432	-1.385	-0.911	-0.175	-1.558	-2.724	-1.847	-1.295	-2.071	-2.458	-0.423	-1.714	-0.488	-0.604	-4.642	-0.015	0.271	-0.505	-2.679	-3.343	0.012	-2.672	-2.763	-0.137	0.082	-0.95	0.231	-2.884	-4.08	-2.614	-1.681	-1.673	-2.378	-1.863	-3.042	-1.27
"YLR003C"	-0.112	-2.628	-3.442	-2.921	-2.957	-2.644	-3.201	-3.212	0.84	0.701	-1.227	-1.838	-2.267	-3.378	-2.083	-1.803	0.205	-1.007	-3.393	-1.951	-1.333	-1.316	-0.23	0.12	-1.368	-0.895	0.319	-1.212	-0.182	-0.37	-1.374	-1.017	-0.668	-1.627	-1.985	-1.287	-1.157	-1.946	-1.909	-0.903	-1.447	-0.459	0.325	-3.305	-0.195	-0.55	0.143	-2.208	-2.329	-0.424	-2.502	-1.965	0.614	0.08	-0.002	-0.375	-2.062	-2.573	-1.447	-0.496	-1.706	-2.402	-1.32	-3.839	-0.587
"YLR009W"	0.579	-2.705	-4.735	-4.567	-4.564	-2.897	-4.204	-3.864	0.606	0.52	-1.087	-1.651	-2.25	-4.675	-2.259	-2.126	0.462	-1.835	-3.455	-2.226	-1.984	-2.757	0.188	0.011	-1.929	-1.153	0.175	-1.678	0.139	-0.5	-2.459	-1.592	-0.225	-2.563	-2.802	-2.013	-2.197	-2.902	-2.825	-0.369	-1.555	-0.357	0.181	-4.344	0.322	0.257	-0.086	-2.856	-2.849	-0.134	-3.247	-2.344	0.544	-0.202	-0.027	-0.517	-3.489	-3.436	-1.875	-1.385	-1.397	-1.829	-0.663	-3.361	-1.745
"YLR129W"	0.097	-4.191	-4.096	-2.921	-3.022	-2.347	-3.676	-3.658	0.412	0.291	-1.33	-1.9	-2.548	-4.83	-3.089	-2.718	0.367	-1.83	-3.861	-2.137	-1.99	-2.481	-0.04	0.143	-1.251	-0.781	-0.281	-1.149	-0.759	-0.151	-2.104	-1.281	-0.095	-2.216	-2.343	-1.807	-1.667	-1.65	-1.427	-0.206	-1.327	-0.049	-0.441	-4.108	-0.287	-0.076	-0.786	-1.749	-1.272	-0.067	-2.339	-2.519	0.444	-0.173	-0.248	-1.784	-4.157	-4.374	-2.07	-0.673	-2.949	-3.858	-1.404	-4.119	-1.023
"YLR149C"	-0.529	3.684	4.616	4.115	4.196	3.715	4.069	3.872	-0.327	-0.5	1.758	2.136	2.478	4.105	3.717	3.387	0.173	2.532	4.749	3.585	4.206	4.313	-0.144	0.126	1.466	2.213	-0.186	5.32	-0.082	0.445	2.949	2.18	0.23	2.647	2.93	2.4	1.68	2.382	2.61	0.288	1.56	0.162	0.278	4.23	-0.057	0.251	0.212	1.083	1.203	0.023	2.648	-1.672	-0.605	0.359	-0.315	0.164	3.629	3.532	2.634	1.184	2.629	2.317	1.822	4.717	1.49
"YLR196W"	-0.171	-4.71	-5.425	-5.709	-5.04	-3.221	-4.896	-4.532	0.626	0.586	-1.643	-2.15	-2.562	-5.083	-3.156	-2.276	0.249	-1.404	-4.378	-2.182	-2.66	-2.604	-0.053	0.031	-1.725	-0.792	0.333	-1.52	-0.219	-0.291	-2.107	-1.266	-0.428	-1.656	-2.793	-1.956	-1.326	-2.637	-2.454	-0.595	-1.12	-0.758	-0.476	-5.097	-0.591	-0.673	0.182	-1.034	-2.435	0.296	-1.995	NaN	0.221	-0.364	-0.734	-0.284	-2.941	-3.697	-2.702	-1.684	-2.416	-2.671	-2.167	-3.658	-1.302
"YLR258W"	-0.587	4.492	4.617	4.224	4.273	3.655	4.262	4.866	-1.258	-1.162	2.376	3.033	3.517	4.602	4.226	3.089	0.176	2.177	5.214	4.198	3.429	3.18	-0.031	-0.392	1.673	-0.211	0.133	2.839	0.216	0.899	2.986	2.186	1.014	2.515	2.646	2.207	1.935	2.64	2.578	0.985	1.204	0.97	-0.616	4.686	0.388	0.385	0.233	1.722	1.292	0.216	2.483	2.642	-1.522	0.381	-0.368	0.045	4.484	3.754	2.37	1.786	2.946	3.876	2.349	5.121	-0.52
"YLR327C"	0.475	6.488	5.954	5.645	5.778	5.125	5.199	5.112	-0.921	-1.0	1.713	0.856	4.386	4.027	2.868	1.507	-0.485	3.453	3.561	3.106	3.253	3.422	0.14	0.368	2.211	2.208	-0.133	4.93	0.451	1.027	3.316	3.353	0.979	3.569	3.895	3.191	2.478	2.683	3.199	0.782	1.757	1.171	0.248	6.244	-0.786	-0.049	-0.073	4.713	5.694	0.004	3.76	3.768	-2.825	0.453	2.228	1.076	4.578	4.915	4.035	3.016	1.182	2.679	1.438	4.86	2.112
"YLR345W"	0.2455	5.322	NaN	3.123	NaN	NaN	NaN	NaN	-0.493	-0.338	-1.821	-3.67	1.594	3.284	2.973	2.964	-0.085	0.969	2.784	2.404	2.672	2.873	-0.123	0.094	1.33	1.007	-0.114	2.414	-0.055	0.354	2.044	1.513	0.352	1.481	2.064	1.826	1.203	1.932	1.928	-0.152	1.016	-0.316	0.399	NaN	0.309	0.017	NaN	2.52	2.472	0.252	2.899	1.415	-0.475	0.749	0.368	0.703	2.555	2.676	2.345	2.007	1.146	2.212	1.561	2.961	0.974
"YLR409C"	-0.232	-4.088	NaN	-3.474	-3.176	-2.574	-3.696	-3.852	0.347	0.097	-1.556	-2.082	-2.715	-4.402	-2.6	-2.222	0.481	-1.928	-2.708	-1.92	-2.024	-2.286	0.054	0.426	-1.525	-0.554	0.274	-1.442	-0.355	-0.093	-1.957	-1.229	-0.145	-1.383	-1.911	-1.548	-1.239	-1.565	-1.295	-0.103	-1.55	-0.352	-0.819	-4.473	-0.126	0.025	-0.759	-1.735	-1.598	-0.039	-1.706	-1.125	-0.168	-0.595	-0.384	-0.45	-3.152	-2.812	-1.603	-1.405	-2.389	-2.584	-1.453	-3.231	-0.8
"YML100W"	-0.363	5.316	6.476	6.109	6.414	5.251	6.445	7.021	-1.607	-1.435	2.405	3.268	4.344	6.107	4.088	4.113	-0.126	2.343	3.917	4.132	3.925	4.015	-0.079	0.725	1.837	2.034	0.366	4.112	0.516	0.432	4.291	2.858	1.746	2.753	3.692	4.03	2.199	2.933	3.008	1.728	2.246	1.287	-0.268	6.199	-0.372	0.192	0.278	-0.313	0.492	0.185	-0.461	0.002	0.024	-0.133	-0.307	-0.215	6.107	5.901	5.052	3.587	4.955	3.944	3.89	4.68	1.151
"YMR105C"	-0.22	6.504	7.421	7.216	6.858	6.445	6.665	6.783	-0.17	-0.273	3.051	3.551	4.095	4.909	4.356	3.333	-0.3	3.248	3.095	3.543	4.109	3.285	0.09	0.681	2.586	2.162	0.133	3.823	0.147	0.325	3.966	3.058	0.817	2.888	3.652	3.607	2.154	3.361	3.627	0.72	1.973	1.084	-0.279	6.837	1.045	1.56	0.303	3.052	3.171	-0.429	4.636	3.883	-1.457	0.819	0.06	2.073	5.78	5.764	3.906	2.627	1.749	4.753	3.237	6.583	1.127
"YMR110C"	0.06	2.134	2.615	2.502	2.414	2.26	2.565	2.824	-0.151	-0.118	1.112	1.295	1.437	3.925	3.746	2.517	0.023	0.527	4.042	3.217	2.995	3.422	-0.179	0.144	0.914	0.833	0.1	1.125	-0.363	0.193	1.765	1.147	-0.18	1.252	1.966	1.767	1.239	1.879	2.022	-0.005	0.952	0.004	-0.025	2.675	0.028	0.254	-0.187	2.258	1.888	0.119	1.948	1.709	-1.001	1.029	0.089	1.206	2.229	2.545	1.675	1.149	1.241	1.23	1.854	3.64	0.545
"YMR197C"	0.359	2.081	2.306	2.409	1.506	2.121	2.282	1.924	-0.281	-0.322	1.059	1.503	1.482	1.437	1.265	0.331	0.045	1.403	0.696	0.953	0.804	1.005	-0.189	-0.072	0.794	0.321	-0.04	1.753	0.256	0.014	1.469	0.951	0.114	0.696	1.362	1.595	0.41	0.993	1.185	0.229	0.417	0.2	0.853	2.301	0.24	0.219	NaN	1.411	1.43	0.21	1.231	1.773	-0.336	0.659	0.797	0.527	1.357	1.769	1.517	0.556	0.948	1.494	1.189	0.908	0.356
"YMR239C"	-0.096	-2.12	-3.656	-2.952	-2.175	-2.426	-2.921	-2.351	0.473	0.634	-1.33	-2.097	-2.534	-4.414	-2.693	-2.209	0.321	-1.305	-3.095	-1.885	-1.474	-1.516	-0.035	-0.223	-1.159	-1.269	0.112	-1.564	-0.56	-0.667	-1.454	-0.852	-0.696	-1.474	-1.82	-1.728	-0.935	-1.384	-1.706	-0.465	-1.451	-0.17	-0.016	-3.237	-0.687	-0.305	-0.335	-2.016	-1.855	0.352	-1.633	-1.666	0.026	-0.269	-0.586	1.629	-4.33	-1.962	-2.998	-1.923	-2.365	-3.188	-1.387	-4.048	0.019
"YMR250W"	-1.338	5.161	6.007	5.745	5.491	5.246	5.448	5.563	-0.717	-1.032	3.35	4.117	3.78	4.705	3.979	NaN	-0.152	3.042	5.655	5.109	4.892	4.741	-0.356	-0.102	2.649	0.777	-0.024	3.422	0.016	0.393	3.727	1.888	1.288	3.487	4.187	3.663	2.768	3.676	4.128	1.081	1.807	1.095	-0.579	5.984	0.095	0.312	-0.687	4.552	4.589	-0.044	5.342	5.083	-1.288	1.404	0.587	1.181	4.217	4.606	3.471	2.059	3.076	4.16	2.947	5.68	1.284
"YNL002C"	0.249	-3.547	-4.666	-4.12	-4.07	-3.305	-4.559	-4.222	0.581	0.443	-1.118	-1.834	-2.627	-5.196	-2.785	-2.475	0.476	-1.983	-3.426	-2.209	-1.856	-2.186	-0.152	-0.06	-1.79	-0.998	-0.035	-1.675	-0.25	-0.191	-1.603	-1.402	-0.409	-1.398	-2.774	-1.803	-1.355	-2.843	-2.776	-0.454	-1.453	-0.697	0.195	-4.603	0.592	-0.63	-1.166	-2.334	-2.612	-0.007	-2.639	-3.183	0.225	-0.062	0.333	-0.032	-3.249	-3.481	-2.594	-1.228	-1.818	-3.245	-1.514	-4.466	-1.237
"YNL011C"	0.084	0.827	1.065	1.268	1.144	1.011	1.469	1.126	-0.433	-0.301	0.683	0.996	0.81	1.685	0.12	0.461	0.146	0.108	1.065	0.412	0.835	1.04	-0.353	0.073	0.603	0.715	-0.125	1.538	-0.155	-0.412	1.652	0.871	-0.228	1.452	1.38	1.065	1.847	1.405	1.081	0.435	0.203	0.0	0.265	1.418	0.548	0.781	1.726	1.053	1.542	-0.679	2.068	2.006	0.446	0.212	-0.213	-0.313	1.345	1.636	1.397	1.11	0.35	0.862	0.694	1.172	-0.222
