	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"1012.YPD 12 h (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1155.DY1457 (wild type) 3 mM vs. 10 uM zinc"	"2064.Hypo-osmotic shock - 5 min"	"2556.Hypo-osmotic shock - 45 minutes"	"2557.Hypo-osmotic shock - 60 minutes"	"4872.1M sorbitol - 60 min"	"4874.1M sorbitol - 90 min"	"13059.wt/crz1 Na 45min (1)"	"13060.wt/crz1 Na 45min (2)"	"30463.Pomona/Brown pol2-12 red"	"32628.S1Comp 12 hr 57 min Sulfate Batch vs Chemostat Comparison"	"32631.S1Comp 20 hr 10 min Sulfate Batch vs Chemostat Comparison"	"32633.S1Comp 24 hr 10 min Sulfate Batch vs Chemostat Comparison"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34881.S4Comp 11 hr 00 min Sulfate Batch vs Chemostat Comparison (rescan)"	"34882.S4Comp 13 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34883.S4Comp 14 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34884.S4Comp 15 hr 05 min Sulfate Batch vs Chemostat Comparison"
"YLR186W"	-4.787	-2.844	-2.174	-2.293	-2.346	-4.298	-5.516	-3.036	-2.821	-2.372	-1.74	-2.678	-2.467	0.165	-0.273	0.245	0.059	0.05	0.36	0.226	0.375	0.168	-2.138	-1.615	-1.692	-3.381	-2.552	-4.173	-2.896	-1.936	-2.714	-1.582	-1.375	-1.278	-1.399
"YLR197W"	-5.817	-3.612	-2.795	-2.789	-3.255	-4.736	-5.242	-3.899	-3.238	-5.671	-4.423	-4.976	-5.033	0.013	-0.157	0.357	0.193	0.131	0.049	0.045	0.103	0.184	-2.979	-3.077	-1.921	-4.983	-3.17	-4.545	-3.045	-2.593	-2.321	-2.864	-2.292	-2.639	-3.033
"YLR243W"	-2.943	-2.291	-2.004	-1.307	-2.063	-1.955	-3.657	-1.171	-0.3	-1.95	-1.542	-2.373	-1.983	0.25	-0.096	0.101	0.011	0.041	-0.202	-0.051	0.021	-0.109	-1.501	-1.389	-0.981	-2.153	-1.993	-2.756	-1.58	-1.411	-0.687	-1.682	-0.716	-1.047	-0.903
"YLR264W"	-3.105	-2.523	-1.862	-1.529	-1.693	-2.597	-5.152	-2.945	-2.94	-3.525	-1.649	-2.334	-2.391	0.041	0.317	0.441	0.631	-0.175	0.181	0.768	0.667	0.08	-1.453	-1.339	-1.978	-3.507	-2.202	-3.145	-2.797	-2.013	-2.667	-2.276	-0.775	-1.107	-1.375
"YLR276C"	-4.467	-2.163	-1.532	-1.655	-1.858	-3.174	-5.399	-2.386	-2.199	-3.49	-1.866	-3.17	-3.081	-0.042	0.066	0.642	0.399	-0.088	-0.208	-0.131	-0.486	-0.089	-1.612	-1.514	-1.718	-2.141	-1.833	-3.838	-1.145	-2.088	-2.066	-1.67	-1.114	-1.653	-0.537
"YLR333C"	-3.93	-3.067	-2.401	-1.851	-2.342	-3.011	-5.863	-3.538	-3.334	-4.032	-1.584	-2.45	-2.848	0.253	0.279	0.512	0.373	0.246	0.067	0.51	0.544	-0.536	-0.588	-0.398	-0.966	-4.086	-2.673	-3.582	-2.843	-2.359	-1.826	-1.763	-0.9	-0.405	-0.362
"YLR448W"	-4.815	-3.882	-3.083	-2.052	-2.688	-3.552	-5.971	-3.425	-3.454	-4.891	-2.668	-3.192	-4.132	0.171	0.339	0.467	0.403	0.011	0.099	-0.043	-0.066	0.054	-1.149	-1.018	-1.245	-4.85	-3.788	-4.791	-4.505	-3.161	-3.636	-1.106	-1.569	-1.089	-0.648
"YML026C"	-3.811	-3.779	-2.913	-2.934	-3.29	-4.268	-5.271	-3.779	-3.636	-3.572	-2.898	-2.803	-2.821	0.081	0.017	0.157	0.385	-0.067	-0.007	0.418	0.264	-0.409	-0.905	-1.795	-2.033	-4.522	-3.396	-4.595	-3.765	-2.94	-3.307	-1.213	-0.985	-1.627	-0.831
"YML093W"	-4.947	-2.836	-1.822	-1.272	-2.007	-2.962	-5.889	-2.797	-2.437	-3.309	-2.547	-2.745	-3.262	0.036	0.376	0.643	0.609	0.305	0.063	-0.171	-0.148	-0.002	-1.243	-1.644	-3.516	-2.999	-2.533	-4.548	-2.489	-2.192	-2.403	-2.035	-1.303	-0.724	-1.053
"YMR142C"	-3.579	-3.719	-2.326	-2.653	-2.822	-0.651	-6.693	-3.048	-3.849	-4.4	-2.774	-3.415	-4.248	0.132	0.193	0.324	0.569	0.009	0.053	0.141	0.224	0.283	-1.249	-0.725	-0.557	-4.355	-3.347	-4.039	-3.538	-3.031	-3.042	-1.949	-1.036	-0.755	-1.472
"YMR194W"	-3.75	-3.078	-2.507	-2.488	-2.233	-3.476	-4.585	-2.862	-2.77	-3.355	-1.69	-1.672	-2.34	0.195	0.221	0.252	0.428	-0.173	-0.271	0.451	0.197	-0.817	-1.063	-1.875	-1.387	-3.084	-2.454	-3.71	-3.315	-2.879	-3.437	-0.686	-0.506	-0.907	-0.127
"YMR202W"	-3.652	-2.101	-1.785	-2.236	-2.852	-4.391	-5.431	-1.983	-1.581	-1.406	-2.263	-2.876	-2.931	0.336	-0.014	0.391	0.623	-0.052	-0.338	0.26	0.306	0.4715	-0.898	-0.291	-0.446	-3.376	-2.583	-3.34	-2.624	-2.11	-1.758	-1.369	-0.246	-0.437	-0.322
"YMR205C"	-1.433	-0.932	0.117	-0.518	0.486	-1.015	-4.53	-1.007	-1.144	-1.314	-1.0	-1.671	-2.366	0.256	0.075	0.065	0.184	0.183	0.155	-0.501	-0.533	0.561	-1.404	-0.604	-1.419	-1.828	-2.085	-0.952	-1.368	-1.594	-1.265	-3.208	-1.58	-1.177	-1.526
"YMR229C"	-6.1495	-3.5335	-2.743	-2.443	-2.304	-4.4055	-5.288	-2.914	-2.1435	-4.826	-3.7195	-3.685	-3.93	0.022	0.36	1.046	0.767	0.0125	-0.182	0.1115	0.0305	-0.221333333333333	-1.469	-1.96	-1.903	-3.4135	-2.548	-3.9575	-2.553	-2.0965	-1.7485	-1.42	-0.947	-0.9045	-1.244
"YMR230W"	-3.465	-3.053	-2.699	-2.427	-1.989	-3.24	-4.541	-2.924	-2.999	-3.21	-1.57	-1.442	-2.394	-0.05	0.119	0.219	0.384	-0.474	-0.152	0.602	0.582	-0.655	-0.814	-0.421	-1.643	-3.054	-2.758	-3.802	-3.223	-2.456	-2.976	-1.444	-0.205	-0.569	-0.274
"YMR242C"	-4.702	-3.631	-3.001	-2.522	-3.032	-3.971	-6.226	-3.832	-4.338	-4.84	-2.601	-3.133	-3.475	0.038	0.172	0.408	0.408	0.442	-0.025	0.125	0.261	0.5545	-1.645	-1.653	-2.005	-4.158	-3.141	-4.607	-3.588	-2.771	-3.856	-1.257	-1.497	-1.14	-1.361
"YMR290C"	-5.132	-3.842	-3.073	-2.719	-3.471	-3.509	-5.217	-3.243	-3.378	-4.614	-3.219	-3.665	-2.938	0.161	-0.084	0.521	0.295	-0.092	0.063	0.221	0.276	-0.5325	-1.884	-2.268	-1.539	-4.028	-3.856	-4.544	-3.558	-3.243	-3.217	-2.23	-2.241	-2.219	-0.939
"YMR300C"	-3.362	-2.403	-1.008	-1.155	-1.794	-3.133	-4.702	-2.115	-1.993	-1.559	-1.803	-2.016	-1.571	0.108	1.291	0.252	0.059	0.135	0.254	0.09	-0.102	0.366	-2.599	-1.391	-1.381	-2.533	-3.184	-2.758	NaN	-1.063	-1.469	-2.905	-1.386	-1.693	-1.707
"YMR301C"	-2.923	-0.655	-0.583	-1.028	-1.185	-0.248	-1.804	-1.032	0.045	-0.727	-0.835	-1.674	-0.959	-0.061	-0.219	0.185	0.026	-0.043	-0.029	0.059	0.0	1.1045	-1.48	-0.632	-0.952	-2.453	-1.713	-2.606	-1.806	-0.967	-0.785	-0.788	-0.498	-1.687	-0.362
"YNL002C"	-5.196	-2.914	-2.336	-1.951	-2.475	-2.73	-3.468	-3.072	-2.59	-3.426	-2.277	-2.592	-2.588	0.124	0.127	0.492	0.3	-0.059	0.023	-0.019	-0.071	0.2685	-1.322	-1.688	-1.171	-2.92	-2.649	-4.466	-2.41	-2.181	-2.211	-2.528	-1.065	-0.976	-0.96
"YNL060C"	-5.032	-2.43	-2.105	-0.912	-2.428	-2.397	-3.243	-2.119	-1.685	-2.933	-0.815	-1.617	-1.851	-0.018	-0.167	0.34	0.196	-0.108	-0.069	0.123	-0.076	-0.662	-1.852	-1.588	-1.77	-1.761	-2.147	-3.208	-2.173	-1.48	-0.534	-1.569	-0.903	-0.92	-0.833
"YNL062C"	-4.157	-2.785	-2.256	-1.556	-2.835	-3.07	-6.263	-2.304	-2.254	-2.028	-1.717	-2.639	-2.206	0.064	-0.053	0.399	0.156	-0.003	-0.198	0.533	0.44	-0.448	-0.698	-0.69	-1.649	-2.698	-2.338	-2.838	-2.509	-1.871	-2.066	-1.05	-0.83	-1.073	-0.471
"YNL065W"	-1.932	-2.45	-2.821	-3.524	-2.077	-3.991	-3.706	-3.578	-3.15	-0.034	-0.779	-0.994	-0.814	0.367	0.358	-0.404	-0.439	-0.107	0.251	-0.469	-0.316	0.4255	-0.309	0.341	-0.859	-1.659	-2.683	-2.577	-2.591	-2.771	-1.21	-1.398	-0.378	-1.381	0.142
"YNL069C"	-3.663	-3.006	-1.993	-1.978	-2.285	-4.006	-4.824	-3.44	-3.85	-4.269	-2.107	-2.509	-3.665	0.201	0.173	0.434	0.398	0.164	0.257	0.3	0.292	0.4005	-2.144	-1.605	-1.94	-3.601	-3.131	-3.741	-3.469	-3.02	-3.775	-2.249	-1.222	-1.41	-1.269
"YNL075W"	-4.782	-2.75	-1.683	-1.75	-1.696	-2.103	-3.339	-3.095	-2.494	-2.149	-0.506	-1.122	-0.976	0.122	-0.123	0.346	0.084	-0.203	0.024	0.482	0.651	0.0835	-1.587	-1.55	-1.639	-2.459	-1.475	-3.779	-2.192	-1.642	-1.957	-1.9	-0.859	-0.8	-0.944
"YNL096C"	-4.113	-3.765	-3.235	-2.81	-3.616	-4.038	-6.106	-3.331	-3.045	-4.716	-3.644	-4.096	-4.68	-0.027	0.007	0.381	0.323	-0.057	-0.048	0.115	0.04	0.457	-1.444	-1.2	-0.855	-3.52	-2.764	-3.087	-3.372	-2.098	-2.779	-1.903	-0.905	-0.801	-0.694
"YNL119W"	-6.697	-3.692	-2.909	-2.2	-3.337	-5.354	-6.231	-3.359	-3.366	-3.55	-2.822	-2.843	-3.318	0.382	0.112	0.181	0.315	-0.324	-0.225	0.084	0.018	0.235	-1.688	-1.362	-1.058	-3.587	-2.801	-4.042	-2.748	-2.546	-2.406	-1.886	-1.59	-1.14	-1.031
"YNL132W"	-5.826	-3.389	-3.25	-2.572	-3.653	-4.956	-6.392	-3.285	-3.141	-4.353	-3.396	-4.377	-4.049	0.344	0.14	0.569	0.308	-0.079	0.067	-0.001	0.148	0.133	-2.553	-2.293	-1.116	-2.994	-2.948	-3.989	-2.673	-2.3	-1.776	-0.56	-1.355	-1.649	-0.767
"YNL150W"	-1.878	-1.962	-1.64	-0.948	-1.607	-0.614	-2.283	-1.072	-1.069	-1.206	-0.529	-1.011	-1.015	0.187	-0.227	0.001	-0.044	-0.028	-0.17	0.011	0.238	0.574	1.196	0.733	0.59	-1.362	-0.752	-2.07	-1.729	-1.417	-0.106	0.338	-0.296	0.57	0.576
"YNL162W"	-3.953	-3.395	-2.838	-2.175	-2.163	-2.858	-6.425	-2.86	-2.872	-3.999	-1.742	-2.487	-3.468	-0.066	0.032	0.234	0.234	-0.03	-0.153	0.268	0.288	-0.014	-1.487	-1.402	-1.082	-2.704	-2.701	-3.916	-3.323	-2.825	-3.105	-0.772	-0.606	-0.771	-0.467
"YNL174W"	-5.141	-3.51	0.252	-2.478	-2.797	-4.079	-4.409	-2.319	-2.439	-4.372	-3.046	-3.229	-3.118	0.011	-0.008	0.478	0.198	0.29	-0.031	0.469	0.413	0.6685	0.085	-0.286	-0.896	-1.035	-2.624	-3.816	-2.839	-1.053	-2.153	-2.261	-1.228	-0.991	-0.229
"YNL248C"	-5.716	-3.559	-3.442	-2.794	-3.857	-4.575	-5.215	-3.866	-3.014	-5.072	-2.98	-3.902	-3.609	-0.032	-0.211	0.377	0.193	0.124	-0.265	0.097	0.268	-0.149	-2.287	-2.131	-1.762	-4.652	-4.217	-6.193	-3.878	-3.385	-3.227	-2.442	-1.842	-1.895	-1.257
"YNL313C"	-4.999	-2.695	-2.007	-1.538	-2.126	-3.628	-5.714	-3.129	-2.948	-2.839	-2.01	-2.343	-2.518	0.244	0.22	0.57	0.472	0.106	0.371	-0.053	-0.085	-0.193	-1.821	-1.014	-1.746	-1.867	-1.835	-3.85	-2.129	-1.672	-1.421	-0.945	-1.358	-1.488	1.405
"YNL315C"	1.293	1.277	0.068	0.052	0.031	-1.37	-3.311	0.384	0.629	1.766	-0.01	-0.699	-1.189	0.155	-0.036	-0.192	-0.017	-0.184	0.183	-0.146	-0.126	0.427	-1.016	-0.959	-1.197	1.855	1.838	1.812	1.407	1.628	0.633	-1.114	-1.137	-0.481	-0.294
"YOL077C"	-5.186	-0.2885	-2.568	-2.817	-2.79	-3.02	-6.552	-4.174	-0.219	-3.705	-3.299	-3.894	-4.326	0.103	-0.139	0.461	0.296	-0.102	0.019	-0.032	0.152	-0.368	-2.431	-2.124	-1.955	-2.855	-2.586	-5.145	-2.894	-2.392	-2.446	-2.816	-2.594	-2.177	-2.807
"YOL097C"	-4.26	0.1345	-2.906	-0.4555	-2.768	-0.491	-6.314	-2.427	-2.464	-3.246	-3.398	-4.044	-4.151	0.171	-0.013	0.232	0.056	-0.49	-0.177	0.1	0.075	0.455	-2.452	-2.921	-2.608	-2.626	-2.945	-3.063	-3.051	-2.335	-2.523	-1.543	-1.226	-1.83	-1.411
"YOR056C"	-2.513	-1.525	1.307	-2.137	-0.394	-0.474	-4.196	-1.2525	0.169	-1.461	-0.911	-1.029	-0.915	0.162	0.067	0.414	0.201	-0.097	0.167	-0.072	-0.046	0.069	-1.25	-0.254	-1.968	-1.546	-1.837	-3.046	-1.406	-1.47	-1.013	0.102	-0.708	0.425	0.064
"YOR206W"	-5.827	-2.568	-1.991	-2.0975	-2.174	-3.681	-6.4785	-3.1625	-1.9445	-3.888	-3.151	-3.692	-3.694	0.155	0.247	0.555	0.429	-0.2	0.139	0.029	-0.013	-0.135	-2.427	-3.194	-2.63	-3.193	-2.539	-4.817	-2.585	-1.507	-2.379	-2.192	-1.735	-1.369	-1.793
"YOR209C"	-1.879	-0.84	-1.5995	-1.2605	-1.766	-2.998	-6.004	-1.3455	-1.865	-1.744	-1.897	-2.681	-2.954	0.301	0.385	0.094	0.031	-0.05	-0.14	-0.736	-0.784	-0.225	-1.414	-1.844	-1.662	-2.517	-2.034	-1.699	-1.928	-1.39	-0.873	-0.807	-0.89	-2.141	-0.787
"YOR233W"	-2.481	-1.647	-1.205	-2.3215	-1.0315	-2.672	-3.781	-2.3125	-1.425	-1.779	-1.124	-0.919	-0.984	0.008	0.126	0.467	0.309	0.097	-0.356	0.231	0.205	-0.07	-0.799	-0.85	-0.994	-2.549	-1.796	-2.621	-1.978	-1.207	-0.519	-0.38	0.16	-0.417	-0.14
"YOR234C"	-4.006	-3.3605	-2.6575	-2.058	-1.908	-2.8745	-4.019	-2.7115	-2.657	-3.657	-0.593	-0.648	-2.139	0.288	0.253	0.421	0.395	0.151	0.103	0.315	0.188	-0.022	-1.061	-1.556	-0.397	-3.604	-2.922	-4.032	-3.302	-2.445	-3.127	-1.521	-1.004	-0.748	-0.693
"YOR254C"	-2.6515	-1.5795	-1.406	-1.671	-1.5485	-2.192	-6.426	-2.053	-1.8245	-2.631	-2.354	-2.689	-2.309	-0.064	0.263	0.497	0.348	0.143	0.04	-0.192	0.005	0.393	-2.867	-2.436	-2.216	-2.166	-2.254	-2.342	-2.212	-1.537	-2.314	-2.161	-1.601	-1.239	-1.14
"YOR260W"	-2.6835	-1.6535	-1.432	-1.6735	-1.833	-2.507	-4.639	-2.1155	-1.8705	-1.898	-2.257	-2.577	-3.081	0.29	-0.267	0.257	0.092	-0.213	-0.023	0.031	0.232	0.455	-1.792	-1.35	-1.582	-2.096	-1.909	-2.099	-1.944	-1.556	-2.111	-1.209	-0.765	-0.964	-1.4
"YOR294W"	-5.6475	-2.427	-1.2675	-0.7345	-1.3525	-1.2415	-5.2465	-3.318	-1.8445	-1.284	-0.528	-0.816	-0.624	0.084	0.197	0.513	0.45	-0.128	-0.268	0.525	-0.215	-0.025	-0.971	-1.245	-0.551	-2.722	-2.74	-5.145	-2.254	-1.895	-1.229	0.714	-1.456	-0.913	-1.184
"YOR309C"	-6.798	-4.4185	-4.227	-3.75	-3.942	-4.234	-6.859	-3.709	-3.9105	-5.839	-4.746	-5.449	-5.009	0.043	0.15	0.634	0.468	0.043	-0.118	-0.085	0.043	-0.024	-2.499	-1.709	-3.667	-2.543	-3.28	-4.097	-3.518	-2.477	-3.672	-2.361	-1.85	-1.878	-1.749
"YOR310C"	-6.006	-3.92	-3.0705	-3.303	-3.319	-4.7765	-7.1385	-3.766	-3.585	-5.777	-4.745	-5.099	-4.866	0.18	0.245	0.641	0.466	0.202	0.415	-0.037	0.008	0.394	-3.205	-3.426	-1.99	-4.564	-4.629	-5.14	-4.292	-3.502	-2.073	-3.589	-3.138	-3.403	-2.073
"YOR312C"	-3.8645	-3.381	-2.263	-2.227	-2.2895	-3.3005	-4.8175	-2.99	-3.177	-4.638	-2.039	-1.569	-3.224	0.162	0.38	0.589	0.525	0.298	0.272	-0.105	0.045	0.358	-1.714	-1.884	-1.656	-4.379	-3.433	-4.531	-3.454	-2.689	-2.886	-0.114	-1.302	-1.364	-1.056
"YPL044C"	-4.1695	-2.458	-1.6585	-1.769	-1.773	-2.688	-4.2355	-3.256	-2.8325	-3.164	-1.454	-2.06	-1.739	-0.115	-0.11	0.476	0.247	-0.198	-0.091	-0.066	-0.257	0.063	-0.142	-0.98	-1.311	-1.798	-2.545	-2.954	-2.261	-0.951	-1.163	2.116	-1.841	-1.098	-0.203
"YPL079W"	-4.616	-4.1965	-3.3525	-2.3565	-2.6495	-3.892	-6.4765	-3.085	-3.172	-4.735	-3.015	-3.498	-4.547	-0.181	0.199	0.527	0.467	0.031	-0.058	0.284	0.34	0.097	-1.659	-1.505	-1.34	-2.865	-2.753	-3.573	-3.431	-2.725	-2.785	-0.994	-0.516	-0.517	-0.626
"YPL081W"	-4.5065	-3.3595	-3.083	-2.508	-3.086	-3.4025	-6.801	-2.5355	-2.916	-4.022	-2.789	-2.909	-3.725	-0.13	0.087	0.584	0.656	0.099	0.136	0.145	0.101	0.115	-1.421	-1.616	-1.991	-3.083	-2.359	-3.939	-2.717	-2.656	-3.157	-2.373	-1.177	-1.856	-1.12
"YPL142C"	-3.1395	-2.973	-2.2525	-1.78	-1.891	-3.5865	-5.604	-2.825	-3.3035	-4.155	-2.148	-2.632	-2.979	0.131	0.549	0.689	0.686	0.2	-0.016	0.301	0.513	0.481	-1.883	-1.318	-1.85	-3.763	-3.021	-3.677	-3.278	-2.971	-3.35	-1.281	-1.207	-1.466	-1.893
"YPL160W"	-3.26033333333333	-2.28466666666667	-1.608	-1.47166666666667	-2.13233333333333	-3.08233333333333	-5.284	-2.22666666666667	-2.35066666666667	-4.0365	-3.1695	-3.499	-2.977	-5.0E-4	0.418	0.7685	0.5555	0.0515	0.0055	-0.174	-0.216	0.115	-2.124	-2.1145	-1.5875	-3.477	-2.958	-3.512	-2.719	-2.2345	-2.589	-1.5465	-1.376	-1.059	-1.725
"YPL198W"	-4.269	-3.194	-2.46	-2.218	-2.395	-4.3605	-6.879	-3.4825	-3.3185	-3.875	-2.487	NaN	-3.133	0.25	0.219	0.489	0.598	-0.237	0.283	0.352	0.283	0.16	-1.3935	-1.1185	-0.7645	-4.2325	-3.528	-3.4955	-4.5575	-2.68	-3.5	-2.179	-1.0	-0.8575	-1.247
"YPL211W"	-5.5605	-3.5535	-3.4755	-2.914	-3.869	-4.4555	-5.029	-3.216	-3.3805	-4.129	-3.267	-2.652	-2.337	-0.328	0.2	0.593	0.39	-0.02	-0.075	0.407	0.451	-0.582	-1.644	-1.923	-1.437	-2.333	-2.347	-3.981	-2.743	-1.72	-1.583	-2.17	-2.099	-1.74	-1.704
"YPL220W"	-3.389	-2.4215	-2.214	-2.1715	-2.2495	-3.187	-6.1465	-3.0375	-3.442	-3.51	-2.247	-2.571	-3.926	0.266	0.263	0.545	0.483	0.081	0.221	0.448	0.378	0.634	-2.091	-1.629	-2.1	-3.366	-2.375	-3.554	-2.774	-2.352	-3.007	-2.388	-1.33	-1.418	-1.133
"YPL226W"	-4.86566666666667	-3.38066666666667	-2.407	-1.80333333333333	-2.21533333333333	-3.95033333333333	-5.67966666666667	-3.37333333333333	-2.503	-4.0095	-3.407	-2.9025	-3.983	0.0975	0.4195	0.667	0.5305	-0.0735	0.0015	-0.148	-0.0335	0.128	-1.494	-0.68	-1.655	-2.657	-3.519	-3.811	-3.004	-2.748	-2.36	-1.355	-1.324	-1.131	-1.12
"YPL263C"	-2.61633333333333	-1.47966666666667	-1.78033333333333	-2.59366666666667	-2.35933333333333	-1.689	-4.9735	-2.09033333333333	-1.47333333333333	-1.7685	-1.742	-2.0455	-1.8115	-0.2085	-0.0995	0.0835	0.157	0.0595	-0.3045	0.203	0.282	-0.13	-1.2425	-1.8355	-2.3035	-2.2465	-1.5945	-2.799	-1.521	-0.8505	-1.911	-1.565	-1.2845	-1.1755	-1.3775
"YPR043W"	-2.5775	-2.728	-1.9305	-1.707	-1.435	-1.9405	-4.426	-2.7405	-3.037	-2.953	-0.871	-1.08	-2.187	-0.002	0.28	0.457	0.437	-0.07	0.116	0.34	0.134	0.047	-1.258	-1.127	-1.002	-3.698	-2.612	-3.516	-2.939	-2.785	-3.169	-0.588	-0.832	-1.394	-0.582
"YPR044C"	-3.163	-2.92933333333333	-2.52066666666667	-2.15066666666667	-2.388	-2.87	-4.76433333333333	-3.21966666666667	-2.78233333333333	-3.0915	-1.2955	-1.702	-1.9615	-0.004	0.22	0.339	0.408	-0.088	-0.0245	0.346	0.497	-0.44	-1.152	-1.509	-1.406	-2.586	-2.282	-2.862	-2.352	-2.43	-2.877	-1.086	-0.742	-1.234	-0.645
"YPR060C"	-3.5465	-3.094	-3.075	-3.446	-3.377	-2.069	-3.801	-1.7345	-1.7935	-2.71	-2.107	-3.352	-2.894	-0.08	-0.195	0.044	-0.079	-0.092	-0.235	0.444	0.574	-0.532	-1.153	-1.911	-2.332	-2.631	-1.945	-2.784	-2.741	-2.38	-2.719	-1.389	-0.923	-1.209	-0.912
"YPR102C"	-3.521	-3.2315	-3.3515	-2.7315	-2.6455	-4.045	-6.451	-3.5055	-4.118	-4.644	-3.352	-3.749	-4.692	0.195	0.199	0.43	0.413	0.219	0.076	0.446	0.519	0.448	-2.037	-1.601	-2.033	-3.927	-2.614	-4.015	-3.517	-2.547	-3.247	-2.134	-1.408	-1.914	-0.913
"YPR110C"	-5.7185	-3.423	-2.9215	-2.8345	-3.133	-3.662	-6.318	-3.01	-3.296	-3.88	-2.993	-3.212	-3.358	0.243	0.279	0.608	0.565	-0.091	-0.257	0.048	0.305	-0.481	-2.065	-2.061	-1.381	-2.851	-1.853	-3.882	-3.113	-2.597	-2.759	-2.389	-1.581	-2.205	-1.24
"YPR120C"	-1.0425	-1.195	0.8725	-1.0295	-1.4325	-1.3205	-2.3515	-1.1155	-1.4075	-0.951	-1.305	-1.977	-2.023	-0.24	-0.836	0.121	-0.006	0.119	0.149	0.12	0.171	-0.282	-0.663	-1.989	-0.944	-1.676	-1.331	-2.164	-1.306	-0.823	-1.284	-1.222	-1.168	-0.67	-0.125
"YPR132W"	-2.849	-3.586	-1.806	-2.6445	-2.672	-3.1925	-5.805	-2.5895	-3.048	-3.788	-1.968	-2.388	-3.151	0.155	0.312	0.377	0.37	0.125	0.057	0.678	0.452	0.3	-1.604	-1.698	-1.491	-2.884	-2.466	-2.903	-2.829	-2.063	-2.893	-1.15	-0.544	-0.765	-0.482
"YPR163C"	-3.6815	-2.265	-1.717	-1.8375	-0.93	-2.9485	-5.4905	-2.5635	-2.469	-3.136	-2.642	-2.895	-2.82	0.319	0.059	0.629	0.538	-0.06	-0.396	-0.247	-0.331	0.563	-2.41	-2.191	-1.744	-3.506	-3.14	-3.575	-2.873	-2.034	-2.32	-3.048	-1.493	-1.627	-1.399
