	"497.Heat Shock 000 minutes"	"512.2.5mM DTT 005 min"	"513.2.5mM DTT 015 min"	"598.29 deg growth"	"781.Heat Shock 000 minutes (series 2)"	"797.Heat Shock 000 minutes (series 3)"	"817.1M sorbitol - 30 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"858.YPD_1_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1012.YPD 12 h (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1167.NBW7 strain low-Pi vs. High-Pi, exp.1"	"1313.diauxic shift timecourse: 20.5 hr"	"4779.DBY7286 + 0.1 mM H2O2 - 30 min"	"4872.1M sorbitol - 60 min"	"5237.DES460 (wt) - mock irradiation - 5 min"	"5357.1.5 mM diamide (5 min)"	"5358.1M sorbitol - 5 min"	"6344.DES460 + 0.02% MMS - 5 min"	"6349.DES460 + 0.02% MMS - 15 min"	"6672.wt - 0.3 mM H2O2 - 10 min"	"7538.25C -- 60 min"	"8204.steady state 29 dec C"	"8210.steady state 33 dec C"	"11466.yO1 test hyb"	"12169.aft2 minus cells with control plasmid vs aft2 minus cells with AFT2 vector"	"12734.Nitrogen Depletion 12 h"	"12736.Nitrogen Depletion 1 d"	"12737.Nitrogen Depletion 2 d"	"12738.Nitrogen Depletion 3 d"	"14946.Hydrostatic pressure (C2 vs P2)"	"16338.DES460 vs. DES460 YPD log phase control"	"16514.DES genomic DNA vs. MHY26 (dun1) genomic DNA (correct version)"	"30773.Pomona/Brown Sir3x red"	"32628.S1Comp 12 hr 57 min Sulfate Batch vs Chemostat Comparison"	"32629.S1Comp 15 hr 20 min Sulfate Batch vs Chemostat Comparison"	"32630.S1Comp 18 hr 00 min Sulfate Batch vs Chemostat Comparison"	"32631.S1Comp 20 hr 10 min Sulfate Batch vs Chemostat Comparison"	"32632.S1Comp 22 hr 05 min Sulfate Batch vs Chemostat Comparison"	"32633.S1Comp 24 hr 10 min Sulfate Batch vs Chemostat Comparison"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34346.delPPT1(DBY10090)  vs. wt(DBY8778)"	"34362.batch 02X25 5"	"34881.S4Comp 11 hr 00 min Sulfate Batch vs Chemostat Comparison (rescan)"	"34882.S4Comp 13 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34883.S4Comp 14 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34884.S4Comp 15 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34885.S4Comp 34 hr 20 min Sulfate Batch vs Chemostat Comparison"	"38155.03II01 batch p11"
"YMR318C"	-0.015	-0.109	0.0	0.044	0.396	0.476	0.143	-2.436	-2.298	-3.244	-3.467	-3.423	-1.463	-1.406	-1.826	-1.902	-1.737	-3.398	-2.822	-2.227	-2.227	-2.879	-0.112	-1.672	-0.033	0.164	0.302	1.622	0.157	-0.092	-0.109	0.439	1.205	0.171	0.022	-1.814	-0.404	-2.48	-2.615	-3.058	-3.595	0.619	-0.012	0.463	0.254	-3.696	-4.061	-3.573	-2.503	-3.591	-2.962	-2.657	-3.304	-3.653	-1.553	-2.369	0.155	-1.933	-2.698	-2.479	-2.691	-2.33	-3.285	-2.474
"YNL154C"	0.248	0.167	-0.026	0.027	0.281	0.349	-0.042	-0.952	-1.632	-1.0	-1.871	-3.909	-0.647	-0.405	-1.037	-0.547	-2.02	-0.946	-1.374	-1.346	-2.5	-2.113	0.13	-0.509	-0.013	-0.208	0.0	0.044	-0.073	0.288	0.237	0.021	0.537	-0.072	0.121	-1.3335	-0.596	-0.908	-1.218	-1.093	-1.784	0.7	0.387	0.11	0.095	-1.509	-3.064	-2.039	-1.795	-2.729	-2.118	-1.184	-0.9	-0.623	-0.899	-1.27	0.274	-0.381	-0.869	-1.351	-0.608	-0.963	-1.815	-0.955
"YNL247W"	0.772	-0.172	-0.218	-0.123	0.698	0.677	-0.898	-2.799	-1.535	-1.822	-3.191	-4.64	-2.34	-2.065	-2.13	-2.019	-2.936	-1.899	-2.277	-2.658	-3.388	-2.515	0.17	-1.791	-0.07	-0.061	-0.072	-0.179	-0.388	-0.394	-0.556	0.33	0.943	0.459	0.787	-1.655	-0.244	-1.822	-2.534	-2.379	-3.057	0.848	-0.323	-0.297	0.108	-2.165	-2.812	-1.992	-2.512	-3.103	-2.052	-3.771	-2.246	-2.147	-1.583	-1.551	-0.252	-2.085	-2.759	-2.157	-2.15	-1.506	-2.549	-1.391
"YNR043W"	0.34	-0.322	-0.384	-0.048	0.308	0.7105	-0.293	-3.5005	-1.8155	-1.86	-2.934	-5.1565	-2.5105	-1.9175	-1.949	-1.8335	-1.36	-2.078	-2.382	-2.655	-3.803	-3.856	-0.03	-1.184	-0.493	-0.264	0.02	-0.103	-0.371	0.057	-0.742	-0.151	1.015	0.106	-0.1335	-1.878	-0.373	-1.559	-1.841	-1.612	-1.996	0.334	0.009	-0.082	0.113	-1.736	-1.001	-1.494	-1.456	-2.09	-2.016	-1.759	-1.955	-1.673	-1.696	-2.285	0.28	-0.859	-1.23	-1.142	-1.425	-1.336	-0.99	-1.433
"YOR151C"	0.268	0.08	-0.058	-0.156	0.094	0.317	0.217	-1.3025	-0.907	-0.6135	-1.0045	-3.5555	-1.062	-0.818	-1.3845	-1.7195	-1.851	-1.275	-1.622	-0.973	-1.754	-2.127	0.133	-0.224	-0.161	-0.097	0.136	-0.281	-0.29	0.164	-0.067	0.234	0.13	-0.233	0.3925	-0.75	0.241	-0.993	-1.344	-1.203	-2.069	0.563	-0.268	-0.251	0.251	-1.904	-2.422	-2.319	-2.45	-2.505	-2.407	-1.357	-1.139	-0.669	-0.587	-0.259	-0.303	-0.669	-1.661	-1.695	-1.408	-1.565	-1.424	-0.638
"YOR198C"	0.337	0.908	0.129	0.401	0.516	0.2155	0.015	-1.0295	-1.107	-1.6725	-4.452	-5.562	-0.8245	-1.185	-1.262	-0.9675	-2.46	-2.3	-2.828	-4.384	-4.657	-4.415	0.202	-0.599	-0.275	0.253	-0.174	-0.259	-0.098	0.182	-0.07	0.649	0.434	0.4785	0.2445	-2.297	-0.482	-2.749	-2.555	-2.772	-2.855	0.938	0.105	0.122	0.23	-2.073	0.806	-1.891	-1.312	-1.892	-0.606	-2.009	-2.131	-1.557	-2.015	-2.312	0.618	-1.229	-1.135	-0.928	-1.218	-0.76	-0.772	-0.347
"YOR224C"	0.887	0.472	-0.279	-0.117	0.9	0.6655	-0.736	-2.895	-1.9785	-2.2005	-3.348	-4.849	-2.254	-2.252	-2.4505	-2.027	-2.185	-2.173	-2.296	-2.099	-2.615	-2.202	-0.225	-1.753	-0.114	0.002	-0.804	0.116	-0.483	0.083	-0.429	-0.263	0.947	0.4205	0.0285	-2.041	-0.361	-2.013	-2.006	-2.085	-1.876	0.269	-0.757	-0.28	0.075	-2.192	-2.553	-1.983	-2.358	-2.146	-1.8	-1.343	-1.751	-1.739	-1.681	-1.682	-0.034	-1.324	-2.898	-1.458	-2.261	-1.912	-1.534	-1.28
"YOR241W"	0.3	0.213	0.13	-0.197	0.171	0.5705	-0.024	-1.0885	-1.044	-1.287	-2.668	-6.523	-1.27	-0.8785	-1.0865	-1.725	-1.509	-1.077	-1.0	-1.779	-2.794	-2.058	0.014	-0.161	0.135	-0.338	-0.319	-0.11	-0.693	0.111	-0.186	0.08	-0.136	-0.1585	-0.1975	-0.758	0.479	-0.538	-0.714	-0.56	-0.258	0.513	0.18	-0.433	0.213	-2.583	-2.447	-2.332	-2.834	-2.866	-4.201	-1.423	-1.913	-1.31	0.001	-1.192	-0.308	-0.662	-1.003	-1.048	-1.682	-1.925	-1.665	-1.048
"YOR247W"	0.511	0.177	0.0	-0.011	0.606	0.778	-0.713	-1.699	-1.371	-3.6325	-2.8065	-3.7675	-1.468	-1.3375	-2.7045	-3.31	-1.746	-2.65	-4.168	-2.915	-3.371	-3.616	0.248	-0.861	0.037	-0.405	-0.164	0.197	0.071	0.209	0.012	-0.056	1.225	-0.163	-0.3125	-2.712	-0.188	-2.913	-3.76	-3.587	-4.332	0.483	-0.44	0.153	0.191	-3.871	-4.634	-4.884	-4.972	-5.08	-5.703	-2.561	-2.343	-1.405	-0.851	-3.019	0.067	-1.146	-3.013	-3.847	-3.575	-3.735	-4.847	-1.756
"YOR248W"	0.355	0.446	-0.003	0.145	0.687	0.3495	-0.599	-1.281	-1.101	-3.1655	-2.455	-3.649	-1.0325	-1.328	-2.5005	-2.522	-1.589	-2.529	-3.268	-2.03	-3.131	-2.868	-0.028	-1.271	0.244	-0.434	0.053	0.163	0.208	0.121	0.167	0.322	1.127	0.2075	-0.116	-2.535	-0.062	-2.556	-3.396	-3.082	-4.137	0.493	-0.351	-0.069	0.179	-3.384	-3.67	-3.482	-4.659	-4.798	-4.852	-1.721	-1.809	-1.566	-1.608	-2.576	0.373	-0.882	-1.437	-2.919	-3.558	-4.102	-3.995	-1.116
"YOR254C"	0.5	-0.14	0.442	-0.111	0.296	0.314	-0.548	-2.6515	-1.5795	-1.671	-2.192	-6.426	-2.053	-1.8245	-2.018	-1.4845	-2.631	-1.904	-1.86	-2.354	-2.689	-2.309	0.078	-1.325	-0.44	0.143	-0.462	0.12	-0.377	0.019	-0.2	0.112	0.221	0.046	0.2225	-1.174	-0.358	-1.388	-1.468	-1.679	-1.489	0.53	0.495	0.205	0.143	-2.867	-3.196	-2.86	-2.436	-2.896	-2.216	-2.166	-2.254	-2.212	-1.537	-2.314	-0.326	-1.367	-2.161	-1.601	-1.239	-1.14	-1.819	-1.815
"YOR260W"	0.805	0.117	-0.169	0.035	0.712	0.6415	0.041	-2.6835	-1.6535	-1.6735	-2.507	-4.639	-2.1155	-1.8705	-1.6575	3.0405	-1.898	-1.513	-1.624	-2.257	-2.577	-3.081	0.012	-1.093	-0.167	-0.213	-0.459	-0.055	-0.106	-0.043	-0.131	-0.084	-0.121	0.119	0.1975	-1.54	-0.594	-0.98	-0.972	-1.183	-1.067	1.091	-0.12	0.014	0.165	-1.792	-2.218	-2.159	-1.35	-2.125	-1.582	-2.096	-1.909	-1.944	-1.556	-2.111	-0.109	-1.102	-1.209	-0.765	-0.964	-1.4	-1.341	-1.393
"YOR326W"	0.041	0.667	-0.217	-0.454	-0.016	-0.12	-0.237	-2.4275	-1.798	-1.329	-3.4635	-4.9875	-1.3825	-1.3315	-2.6115	-1.9335	-2.219	-1.82	-2.099	-3.585	-3.591	-2.795	0.188	-1.1	-0.749	0.117	0.296	-0.539	0.183	0.205	-0.087	0.279	-0.066	-0.023	0.6355	-1.467	-0.384	-1.606	-1.497	-1.522	-1.655	0.17	-0.024	0.356	0.263	-1.984	-1.925	-2.788	-2.392	-2.817	-2.239	-1.109	-1.568	-1.215	-0.751	-1.621	-0.426	-0.961	-0.845	-0.82	-0.704	-1.506	-0.917	-2.007
"YPL160W"	0.5835	0.0646666666666667	-0.161	-0.115	0.598	0.415	-0.4935	-3.26033333333333	-2.28466666666667	-1.47166666666667	-3.08233333333333	-5.284	-2.22666666666667	-2.35066666666667	-2.11133333333333	-1.59566666666667	-4.0365	-2.449	-2.824	-3.1695	-3.499	-2.977	0.321	-1.702	-5.0E-4	0.0515	-0.229	0.0143333333333333	-0.189	0.0565	-0.134	0.6005	0.3365	0.365	0.93	-1.8045	-0.1485	-2.4615	-2.584	-2.827	-2.7275	0.489	-0.287	0.1535	0.309	-2.124	-2.5015	-1.7655	-2.1145	-2.096	-1.5875	-3.477	-2.958	-2.719	-2.2345	-2.589	0.079	-1.3955	-1.5465	-1.376	-1.059	-1.725	-1.5195	-1.403
"YPL273W"	0.8235	-0.400333333333333	-0.094	0.116666666666667	0.772	0.938	-0.5265	-3.42133333333333	-2.60833333333333	-2.792	-3.722	-5.69966666666667	-2.94366666666667	-2.86466666666667	-2.69266666666667	-2.72566666666667	-2.8035	-2.4545	-3.2755	-2.794	-3.21	-3.3575	0.117	-1.306	-0.318	0.0235	-0.8195	0.145333333333333	0.0565	0.168	0.239	-0.3455	1.23	0.504666666666667	-0.003	-2.628	-0.307	-1.821	-2.3675	-2.6985	-2.601	0.5605	0.605	0.023	0.282	-2.406	-2.523	-1.132	-1.424	-2.29	-1.428	-1.883	-1.961	-2.524	-2.277	-3.204	-0.078	-0.37	-1.772	-1.223	-1.141	-1.0	-0.808	-0.914
"YPR033C"	0.789	0.015	-0.267	-0.0965	0.6725	0.5805	-0.815	-2.7945	-1.8465	-2.534	-4.8805	-7.94	-2.32	-2.0735	-2.759	-2.6225	-2.203	-2.096	-2.55	-3.951	-4.382	-4.54	-0.256	-1.379	-0.558	0.015	-0.576	0.0695	0.089	0.242	-0.079	0.001	0.49	0.16	0.16	-2.107	-0.493	-2.213	-2.318	-2.374	-2.285	0.78	-0.181	0.278	0.327	-1.478	-1.7485	-1.877	-2.2955	-2.43	-2.3255	-2.1325	-2.033	-1.9695	-1.4105	-2.053	-0.068	-1.1885	-2.3695	-1.59	-2.03	-1.6955	-1.855	-1.4035
"YPR074C"	0.666	0.117	-0.3665	-0.005	0.5385	0.5795	-0.48	-3.2435	-2.5595	-3.2975	-5.337	-5.42	-3.374	-2.2005	-3.7185	-4.2955	-3.649	-2.351	-3.162	-3.369	-3.61	-3.663	0.272	-1.261	-0.78	-0.227	-0.174	0.3345	-0.28	0.099	-0.144	0.122	0.992	0.4185	0.455	-3.132	-0.176	-3.257	-3.973	-3.946	-4.176	0.469	-0.322	0.016	0.172	-3.097	-3.071	-1.863	-1.688	-3.316	-2.418	-4.473	-3.729	-3.123	-1.997	-3.18	-0.332	-1.879	-4.153	-2.835	-3.446	-2.231	-2.642	-2.381
"YPR119W"	0.554	-0.5945	-1.0595	-0.007	0.123	0.39	-0.541	-2.692	-2.3105	-4.2055	-4.6155	-4.3695	-1.235	-0.8395	-2.3625	-2.5025	-2.424	-2.207	-4.062	-3.433	-3.885	-3.308	0.227	-0.785	-0.802	0.153	0.047	-0.601	-0.241	-0.096	-0.94	-0.057	-0.54	-0.017	-0.195	-1.316	0.749	-3.195	-3.442	-3.42	-3.81	0.309	-0.147	-0.1	0.084	-1.364	-2.727	-2.833	-2.1	-1.553	-2.428	-2.849	-2.418	-2.925	-0.962	-1.893	-0.686	-0.783	-1.219	-1.43	-2.614	-1.965	-2.752	-0.598
"YPR145W"	0.948	0.2795	-0.195	0.381	0.9065	0.714	-0.819	-3.263	-1.5905	-2.5015	-3.737	-5.02	-0.8115	-0.8305	-1.2765	-0.775	-2.229	-2.228	-2.21	-3.369	-3.625	-3.498	0.077	-1.127	-0.476	-0.442	-0.282	0.2425	-0.614	0.072	0.526	0.147	1.465	0.544	0.298	-2.303	-1.321	-2.266	-1.571	-1.309	-1.254	0.97	-0.568	0.393	0.181	-4.032	-3.782	-3.472	-3.473	-3.793	-3.152	-3.325	-2.035	-1.807	-1.273	-1.223	-0.122	-0.924	-3.589	-3.068	-3.87	-2.685	-3.513	-1.697
"YPR163C"	1.032	1.224	0.578	0.2055	1.048	1.063	-0.88	-3.6815	-2.265	-1.8375	-2.9485	-5.4905	-2.5635	-2.469	-2.6395	-2.0525	-3.136	-2.05	-2.325	-2.642	-2.895	-2.82	0.106	-1.271	-0.298	-0.06	-0.87	-0.204	0.005	-0.192	-0.043	-0.382	1.037	0.3075	-0.091	-2.145	-0.602	-1.345	-1.666	-1.832	-2.618	1.175	-0.462	-0.222	0.195	-2.41	-1.273	-2.071	-2.191	-1.804	-1.744	-3.506	-3.14	-2.873	-2.034	-2.32	-0.155	-1.525	-3.048	-1.493	-1.627	-1.399	-1.336	-1.558
