	"29.alpha factor release sample016"	"35.alpha factor release sample015"	"37.alpha factor release sample018"	"39.alpha factor release sample027"	"40.alpha factor release sample029"	"42.alpha factor release sample022"	"103.alpha factor release sample026"	"104.alpha factor release sample024"	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"116.heat shock 40 min"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"650.alpha factor release sample017"	"651.alpha factor release sample019"	"686.YP ethanol vs reference pool"	"800.Heat Shock 015 minutes"	"811.DES459 (mec1) + heat 20 min"	"814.DBYmsn2-4- 37degree heat - 20 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1097.alpha factor release sample020"	"1099.alpha factor release sample030"	"1103.alpha factor release sample028"	"1105.alpha factor release sample023"	"1107.alpha factor release sample025"	"1309.diauxic shift timecourse: 18.5 hr"	"1313.diauxic shift timecourse: 20.5 hr"	"1673.alpha factor release sample021"	"6679.trr - 0.1 mM H2O2 - 10 min"	"6685.trr - 0.3 mM H2O2 - 10 min"	"6688.trr - 0.3 mM H2O2 - 30 min"	"8234.dtt 240 min"	"11466.yO1 test hyb"	"12733.Nitrogen Depletion 8 h"	"12739.Nitrogen Depletion 30 min."	"12741.Nitrogen Depletion 1 h"	"12744.heat shock 17 to 37, 20 minutes"	"32253.DBY8778_heat_shock2_15min"	"33259.delKIN82_heat shock _15min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34365.batch 02X25 6"	"34879.S4Comp 10 hr 00 min Sulfate Batch vs Chemostat Comparison"
"YJL177W"	0.155	-0.092	-0.083	0.704	0.716	-0.007	0.029	-0.009	-2.0	-2.4035	-1.5595	-2.211	-3.2765	-3.7865	0.183	0.236	-1.171	-1.397	-2.665	-1.951	-4.132	-3.846	-3.2	-2.981	-0.605	-2.747	-3.255	-5.49	-2.648	-3.409	-3.772	-3.428	-3.164	-5.074	-2.17	-2.525	-2.421	-1.768	-2.278	-2.905	0.253	0.056	0.072	0.188	0.263	-1.858	-2.013	0.165	-1.663	-2.211	-2.127	-2.196	-2.348	-3.809	-1.477	-2.301	-3.293	-2.626	-1.517	-4.72	-4.004	-4.54	-4.115	-3.056	-3.266	-3.25	-3.163
"YJL188C"	0.266	-0.185	0.242	0.355	0.401	0.641	0.194	0.1	-1.789	-1.645	-1.4305	-1.9795	-2.06	-2.5615	-0.345	-0.106	-0.164	-0.516	-2.075	-0.978	-2.525	-2.39	-2.043	-1.864	-1.323	-1.808	-2.786	-4.633	-2.442	-2.24	-2.745	-2.519	-1.879	-3.453	-1.897	-1.885	-1.929	-2.169	-2.54	-2.776	0.333	0.168	0.295	0.362	0.223	-1.089	-1.486	0.261	-0.971	-0.853	-1.144	-1.98	-1.525	-1.376	-0.86	-1.182	-2.649	-1.864	-1.115	-2.879	-1.947	-2.777	-2.447	-2.254	-2.01	-2.16	-1.603
"YJL189W"	0.166	-0.277	0.101	0.336	0.2	0.077	0.299	-0.044	-1.379	-1.8565	-1.682	-1.73	-2.7325	-2.8195	-0.138	-0.168	-0.38	-0.731	-1.93	-0.815	-3.545	-2.317	-2.319	-2.282	-1.647	-1.644	-2.901	-4.28	-2.473	-2.446	-2.278	-1.716	-1.833	-3.49	-1.87	-1.78	-2.141	-1.577	-2.282	-2.837	0.421	-0.177	0.265	0.132	0.052	-1.651	-1.713	-0.004	-1.134	-1.469	-1.922	-2.0	-1.034	-1.798	-0.955	-0.893	-2.3825	-1.952	-1.325	-2.736	-2.597	-2.888	-2.522	-2.288	-1.966	-1.765	-1.692
"YJL190C"	0.179	-0.128	0.199	0.486	0.317	0.445	0.277	0.032	-2.166	-2.525	-1.748	-2.8085	-3.022	-3.838	-0.137	-0.144	-1.053	-1.283	-2.911	-1.982	-3.794	-3.553	-3.267	-2.958	-2.413	-3.287	-3.585	-6.079	-3.053	-3.969	-3.744	-3.536	-3.062	-4.469	-2.547	-3.105	-3.227	-2.941	-3.365	-3.524	0.17	0.175	0.242	0.246	0.252	-1.426	-1.906	0.182	-1.554	-1.477	-1.858	-2.139	-2.43	-3.532	-2.107	-2.806	-3.7855	-3.078	-2.354	-4.772	-3.912	-4.874	-4.273	-3.311	-3.497	-3.692	-3.568
"YJL198W"	-0.88	-0.741	-0.301	-0.11	0.01	0.083	-0.005	-0.212	-2.413	-2.408	-1.155	-2.049	-2.7905	-2.457	-0.053	0.209	-0.778	-1.352	-1.476	-0.953	-2.049	-1.408	-0.672	-0.563	-0.269	-1.641	-2.531	-2.784	-1.227	-2.115	-1.669	-1.189	-0.505	-0.9	-0.777	-1.451	-1.441	-0.665	-1.808	-1.415	-0.166	-0.128	0.069	-0.116	-0.158	-0.97	-1.129	0.069	-0.391	-0.615	-1.553	-0.853	-1.034	-0.713	-1.139	-0.786	-3.027	NaN	-3.372	-1.239	-1.37	-2.296	-1.538	-2.057	-2.474	-1.112	-0.208
"YJR002W"	-0.78	-0.8795	-0.368	-0.122	0.355	0.051	0.06	-0.0665	-3.52066666666667	-2.819	-1.96566666666667	-2.21066666666667	-2.34	-3.20666666666667	-0.313	0.078	-0.345	-2.205	-1.817	-1.0645	-2.9885	-1.465	-0.8715	-0.6495	-0.7305	-0.868	-0.9755	-4.416	-2.145	-2.066	-1.3185	-0.855	-1.0445	-2.212	-1.302	-1.257	-1.1615	-1.3795	-1.974	-2.293	0.1445	0.038	0.0035	-0.0675	-0.0945	-0.562	-0.226	0.185	-1.1685	-1.045	-1.4345	-1.223	-0.924	-0.808	-1.341	-1.0915	-3.31866666666667	-3.252	-2.97	-2.669	-1.374	-2.426	-1.264	-1.356	-1.092	-0.882	-1.204
"YJR003C"	-1.064	-0.996	-0.267	-0.095	0.223	-0.094	-0.27	-0.576	-2.3135	-2.6315	-1.2815	-1.374	-1.783	-1.5255	-0.392	-0.057	-0.549	-1.312	-1.508	-0.367	-2.372	-2.025	-1.727	-1.346	-0.767	-1.43	-2.48	-3.457	-1.374	-1.107	-1.02	-0.552	-1.397	-2.02	-1.37	-0.824	-0.91	-2.176	-2.349	-2.42	0.101	-0.132	-0.307	-0.07	-0.42	-1.525	-0.9	0.021	-0.938	-1.197	-0.683	-0.412	-0.882	-0.34	-0.693	-0.45	-1.7235	-2.523	-1.93	-1.962	-1.307	-2.567	-1.637	-1.267	-0.569	-0.671	-0.367
"YJR063W"	-0.502	-1.372	-0.204	-0.356	-0.319	0.301	-0.3	-0.173	-2.675	-2.1255	-1.323	-2.576	-2.555	-2.2705	-0.653	-0.135	-0.516	-1.893	-1.634	-0.488	-3.233	-2.702	-2.518	-2.034	-2.513	-2.698	-2.37	-3.68	-2.039	-1.586	-2.243	-0.583	-1.382	-2.236	-1.596	-1.698	-1.726	-1.715	-2.078	-1.317	-0.416	-0.151	-0.232	-0.039	-0.089	-1.035	-1.721	0.015	-0.514	0.382	-0.533	-1.182	-1.026	-1.197	-1.416	-1.586	-3.415	-1.276	-2.068	-1.51	-1.289	-2.958	-2.455	-1.224	-2.045	-1.627	-1.45
"YJR109C"	1.867	1.901	1.247	1.228	0.85	1.502	1.158	1.019	0.381	0.2245	0.4745	0.246	-1.7845	-2.4915	1.179	0.986	0.492	0.444	-0.002	0.178	-0.947	-0.071	0.063	0.335	-0.263	1.306	-1.284	-0.036	2.097	-0.491	0.364	0.691	0.311	-0.278	-0.322	-0.647	-0.469	-1.407	-0.967	-1.245	1.309	1.236	1.43	1.139	0.824	-0.844	0.672	1.155	-0.64	-1.469	-0.792	1.144	-0.923	-0.602	2.05	2.753	-1.568	-0.117	-1.116	-1.172	-0.166	-1.058	0.658	0.314	0.956	-0.194	-0.037
"YKL006W"	0.243	0.26	0.6	0.803	0.796	0.256	0.237	-0.004	-1.828	-2.75	-1.283	-1.949	-3.315	-3.5445	0.39	0.229	-1.288	-1.048	-2.018	-1.656	-4.299	-3.901	-3.389	-2.854	-2.383	-3.16	-2.835	-5.113	-2.919	-3.049	-3.027	-2.997	-2.743	-4.545	-2.315	-2.442	-2.791	-1.939	-2.29	-2.843	0.16	-0.065	0.189	0.49	0.303	-0.989	-1.748	0.239	-1.659	-2.164	-1.708	-2.167	-2.458	-3.013	-1.774	-2.306	-3.02	-2.654	-1.927	-4.432	-3.39	-4.756	-4.221	-2.993	-3.593	-3.514	-2.715
"YKL009W"	-0.784	-1.019	-0.088	-0.216	0.156	-0.119	-0.29	-0.442	-1.833	-3.58	-2.2705	-3.253	-4.1895	-4.13	-0.171	0.148	-1.098	-2.745	-2.29	-0.676	-5.997	-3.719	-3.38	-2.839	-2.973	-2.449	-3.082	-6.168	-3.014	-3.144	-2.368	-2.098	2.263	-4.341	-2.546	-2.432	-2.856	-2.349	-3.318	-2.938	-0.302	-0.178	-0.252	-0.271	0.31	-2.075	-2.148	0.086	-1.509	-1.46	-2.08	-1.783	-2.269	-1.588	-2.608	-1.665	-4.4285	-4.247	-3.549	-2.602	-2.728	-4.823	-3.636	-3.036	-2.444	-3.087	-3.584
"YKL029C"	-0.932	-1.141	-0.203	-0.176	-0.073	-0.033	-0.068	0.023	-3.2475	-2.5265	0.448	-2.434	-1.5705	-1.1705	-0.001	0.556	0.088	-2.834	-2.01	-0.403	-0.945	-0.625	-0.254	-0.593	-0.935	-0.49	-1.354	-1.855	-1.245	-0.315	-0.636	0.95	-0.055	-0.395	-0.171	-0.317	-0.498	-0.31	-0.276	-0.74	-0.009	-0.39	-0.035	-0.126	0.073	0.529	0.065	0.338	-1.081	-1.541	-2.201	-1.336	-0.856	-1.012	-0.573	-0.488	-0.974	-4.123	-2.675	-3.059	-3.707	-4.187	-3.397	-1.462	-1.897	-0.954	-1.957
"YKL180W"	0.188	-0.181	0.076	0.492	0.187	0.341	0.235	0.161	-1.731	-1.947	-1.228	-2.16	-2.81	-3.531	-0.014	-0.053	-0.73	-0.954	-2.553	-1.901	-2.661	-2.738	-2.549	-1.831	-1.633	-1.857	-2.561	-5.237	-2.195	-2.625	-3.204	-2.593	-2.296	-4.629	-1.825	-2.351	-2.354	-2.059	-2.04	-2.857	0.083	0.26	0.363	0.331	0.365	0.404	0.21	0.332	-1.229	-1.497	-1.563	-1.665	-2.393	-3.208	-1.285	-2.019	-3.37	-1.891	-1.571	-3.827	-3.339	-3.071	-2.962	-2.254	-2.482	-4.065	-2.517
"YKR024C"	-0.203	-0.949	-0.251	0.124	0.254	-0.025	-0.169	-0.266	-3.382	-3.489	-1.214	-2.212	-3.285	-2.848	-0.063	0.264	-0.609	-2.146	-1.625	-0.509	-4.227	-2.481	-2.732	-2.049	-0.907	-2.038	-1.784	NaN	-2.358	-2.262	-2.227	-0.51	-1.327	-2.134	-1.226	-0.372	-0.479	-0.878	-0.863	-0.96	0.009	-0.145	0.19	-0.186	0.252	0.093	-0.95	0.064	-1.438	-1.924	-1.387	-1.06	-0.836	-0.995	-1.292	-1.281	-3.49	-1.518	-2.377	-1.543	-0.879	-2.389	-1.827	-1.385	-1.426	-1.343	-0.602
"YKR060W"	-0.756	-0.851	-0.502	-0.3	-0.447	0.147	-0.103	-0.501	-2.755	-2.43	-1.475	-1.512	-2.593	-2.337	-0.375	0.081	-0.479	-1.645	-1.355	-0.138	-3.243	-2.165	-2.05	-2.019	-1.793	-2.106	-3.218	-3.796	-1.826	-2.014	-1.723	-0.962	-0.73	-2.182	-1.468	-1.536	-1.719	-1.64	-3.104	-1.59	0.238	-0.068	0.236	-0.191	0.175	-0.259	-0.571	0.438	-0.936	-0.972	-1.276	-1.309	-1.493	0.156	-0.484	-0.421	-2.833	-0.972	-1.669	-1.105	-1.234	-2.055	-1.281	-0.897	-1.602	-1.015	-0.754
"YKR081C"	-0.515	-1.339	-0.117	-0.436	-0.031	0.363	-0.162	-0.11	-4.459	-3.308	-1.663	-1.58	-3.81	-3.431	-0.65	-0.09	-0.991	-2.31	-1.773	-1.033	-4.081	-2.662	-2.469	-1.772	-1.667	-1.821	-2.08	-4.632	-2.467	-3.278	-2.505	-1.918	-1.782	-3.734	-2.064	-2.119	-2.118	-2.282	-2.696	-2.515	0.008	0.104	0.021	-0.169	-0.04	-0.599	-1.065	0.334	-1.37	-1.151	-1.509	-1.645	-1.349	-1.95	-2.388	-1.678	-3.505	-2.666	-2.514	-3.386	-2.103	-3.261	-2.433	-1.814	-1.48	-2.38	-2.014
"YKR092C"	-0.52	-1.084	-0.079	0.055	0.263	-0.113	-0.121	-0.367	-2.199	-2.646	-0.825	-2.78	-3.432	-2.595	0.238	0.312	-1.23	-2.278	-1.84	-0.865	-3.321	-2.765	-2.665	-2.556	-2.786	-2.63	-2.016	-2.54	-2.673	-2.076	-1.729	-2.186	-2.284	-1.592	-1.605	-1.026	-1.62	-0.709	-0.639	-0.778	-0.023	-0.344	-0.138	-0.125	-0.106	-0.617	-0.925	0.081	-1.446	-1.932	-1.509	-1.686	-2.882	-1.398	-0.727	-0.965	-2.835	-2.794	-2.743	-2.126	-1.877	-3.872	-2.601	-1.732	-2.402	-2.874	-1.433
"YKR094C"	-0.017	0.062	-0.26	0.389	0.488	0.07	-0.121	-0.257	-1.518	-2.14	-1.513	-2.109	-2.994	-3.29	0.072	0.049	-1.08	-1.373	-1.884	-0.579	-3.138	-2.914	-2.619	-2.274	-1.978	-2.41	-2.464	-4.383	-2.065	-2.102	-2.333	-1.972	-2.7	-2.785	-1.579	-1.746	-1.839	-1.792	-2.197	-2.387	-0.077	0.003	-0.159	-0.057	0.144	-1.496	-1.456	-0.226	-1.449	-1.835	-1.364	-2.122	-2.035	-2.111	-0.816	-1.412	-2.821	-2.445	-1.554	-3.423	-2.549	-3.694	-3.422	-2.865	-3.683	-3.73	-2.087
"YLL008W"	-0.334	-0.867	0.15	0.174	0.29	0.13	0.165	-0.016	-4.973	-4.981	-1.744	-3.751	-4.808	-4.019	0.069	0.427	-1.155	-3.12	-2.387	-1.147	-5.659	-3.509	-3.627	-2.64	-2.165	-3.282	-2.899	-6.113	-3.126	-2.364	-2.55	-1.847	-2.162	-3.473	-2.41	-2.154	-2.612	-2.386	-2.487	-2.92	0.155	0.057	0.126	0.064	0.116	-1.874	-1.75	0.271	-1.584	-1.748	-1.752	-1.714	-1.906	-2.656	-1.544	-2.027	-4.642	-4.08	-2.378	-1.915	-1.563	-3.042	-2.072	-1.554	-2.201	-1.789	-0.844
"YLL036C"	-0.745	-0.546	-0.379	-0.032	0.03	-0.308	-0.4	-0.495	-0.396	-0.694	-0.218	-0.465	-0.606	-0.642	-0.195	0.169	-0.064	-0.273	-0.006	-0.063	-1.969	-1.038	-1.624	-1.364	-1.351	-1.042	-3.663	NaN	-0.486	-0.886	-1.709	-1.201	1.906	-0.743	-0.764	-0.968	-0.901	-1.42	-2.012	-1.793	-0.307	-0.503	-0.103	-0.406	-0.293	0.379	0.54	-0.048	-0.268	-0.678	0.369	-1.927	-0.88	-0.247	-0.191	0.117	-0.463	-0.932	-0.37	-0.206	-0.011	-0.209	-0.577	-0.583	-1.033	-0.227	-0.55
"YLL044W"	-0.077	-0.028	-0.121	0.597	-0.002	-0.059	0.231	-0.028	-1.737	-2.526	-1.821	-2.196	-3.582	-4.162	0.232	-0.22	-1.193	-1.173	-2.783	-2.041	-4.871	-3.525	-3.158	-2.869	-2.211	-2.963	-3.79	-6.48	-2.802	-3.313	-3.031	-3.269	-2.156	-3.872	-1.944	-2.654	-2.736	-2.724	-3.494	-3.967	0.148	-0.165	0.597	0.724	0.04	-2.05	-2.154	0.287	-1.949	-2.676	-2.356	-2.173	-2.227	-3.04	-1.532	-2.312	-3.517	-2.328	-2.048	-3.189	-2.774	-3.806	-2.77	-2.196	-2.935	-3.902	-3.485
"YLL045C"	0.141	-0.393	0.086	0.492	0.118	0.072	0.341	0.171	-1.746	-2.105	-1.781	-2.319	-3.116	-3.722	-0.06	0.093	-0.971	-0.961	-2.573	-1.94	-3.851	-3.176	-2.506	-2.189	-1.64	-2.221	-3.857	-6.618	-2.711	-3.169	-3.335	-3.185	-2.744	-3.66	-2.096	-2.604	-2.495	-2.943	-3.021	-3.731	-0.049	0.417	0.325	0.188	0.209	-1.89	-2.692	0.309	-1.813	-1.821	-2.284	-1.957	-2.165	-2.953	-1.497	-2.279	-3.545	-2.751	-1.04	-3.449	-2.833	-3.788	-3.87	-2.635	-2.362	-2.778	-2.324
"YLR056W"	-0.538	-0.778	0.363	0.55	0.57	0.213	0.185	-0.008	-1.589	-1.883	-0.311	-1.231	-0.743	-1.351	0.478	1.105	0.622	-1.855	-1.986	-0.905	-4.337	-0.184	0.5	0.637	0.037	-0.672	-3.197	-3.977	-1.009	-2.405	-1.791	-1.625	-1.158	-1.997	0.302	-0.397	-1.396	-2.642	-2.935	-3.507	0.303	-0.082	0.247	0.156	0.259	-2.141	-1.378	0.556	-2.253	-2.394	-2.558	0.504	0.126	0.862	-0.679	-0.63	-1.614	-1.977	-1.036	-3.406	-1.432	-4.018	-2.282	-0.768	-0.326	-1.287	-0.471
"YLR062C"	-0.497	0.153	-0.468	0.263	0.451	0.04	-0.095	-0.306	-2.174	-2.343	-2.188	-2.335	-3.557	-4.079	-0.001	0.125	-1.091	-1.285	-2.662	-1.641	-4.53	-4.418	-3.352	-3.067	-3.127	-4.077	-5.705	-6.896	-2.606	-3.6	-3.985	-3.965	-3.18	-4.96	-2.666	-3.209	-3.706	-4.299	-4.293	-5.234	-0.259	0.005	-0.186	0.055	0.082	-1.868	-2.368	0.143	-2.266	-2.692	-2.807	-2.245	-2.675	-3.446	-1.833	-2.11	-3.134	-2.944	-0.7	-3.806	-3.723	-4.54	-4.001	-2.894	-3.419	-3.141	-2.202
"YLR073C"	-0.01	-0.504	0.037	-0.161	-0.014	0.308	-0.048	-0.177	-1.822	-1.961	-1.541	-1.559	-1.616	-1.693	-0.017	0.027	-0.675	-1.071	-0.996	-0.586	-2.261	-1.429	-1.447	-1.037	-1.404	-1.749	-1.359	-2.085	-2.406	-2.105	-1.694	-1.127	-1.814	-0.686	-1.009	-1.41	-0.887	-0.028	-1.069	-0.781	0.246	-0.084	0.172	0.002	0.123	-1.119	-1.102	0.172	-1.093	-1.095	-1.418	-0.987	-1.196	-1.154	-1.189	-0.527	-1.594	-2.633	-2.648	-0.517	-0.491	-1.605	-0.971	-0.888	-1.604	-1.22	-1.313
"YLR083C"	-0.798	-0.914	-0.227	0.25	0.017	-0.544	-0.275	-0.663	-1.886	-2.035	0.028	-1.6	-1.568	-2.248	-0.127	0.353	-0.926	-1.622	-1.335	-1.582	-3.703	-2.067	-1.922	-1.598	-2.021	-2.216	-3.767	-5.137	-2.111	-2.718	-2.103	-0.41	-0.858	-3.208	-1.494	-2.031	-2.545	-2.29	-3.88	-3.36	-0.16	-0.37	-0.129	-0.349	-0.167	-1.413	-1.242	-0.062	-1.206	-1.503	-1.574	-0.683	-2.297	-2.227	-1.714	-1.283	-2.311	-2.0	-2.538	-3.186	-2.942	-3.492	-2.869	-2.182	-2.82	-2.06	-2.31
"YLR197W"	-0.542	-0.753	-0.329	0.117	-0.246	-0.125	-0.17	-0.192	-4.98	-4.044	-2.606	-3.638	-4.76	-5.179	-0.224	0.018	-1.17	-3.466	-2.844	-1.659	-5.817	-3.612	-3.173	-2.795	-2.789	-3.255	-4.736	-5.242	-3.387	-3.899	-3.238	-3.258	-3.282	-5.671	-2.611	-3.067	-3.716	-4.423	-4.976	-5.033	-0.15	0.04	0.1	0.297	0.069	-0.805	-1.633	0.42	-1.807	-2.103	-2.453	-1.869	-2.488	-3.686	-3.026	-2.075	-5.072	-4.496	-4.151	-4.983	-3.17	-4.545	-3.045	-2.593	-2.321	-3.736	-3.498
"YLR249W"	-0.09	-0.375	-0.189	0.518	0.223	0.134	0.235	0.308	-2.818	-3.122	-1.868	-3.317	-4.232	-4.758	0.053	0.178	-1.649	-1.851	-2.52	-2.738	-6.529	-4.864	-4.043	-3.482	-3.403	-3.637	-4.146	-6.742	-2.985	-3.879	-4.141	-3.557	-3.199	-4.679	-2.712	-3.131	-3.778	-3.883	-4.549	-4.992	0.17	0.286	0.466	0.237	0.174	-1.396	-2.381	0.167	-2.309	-3.045	-2.508	-1.42	-3.421	-2.684	-2.719	-2.995	-4.59	-3.998	-4.627	-5.053	-5.102	-5.085	-4.9	-3.269	-3.19	-4.673	-3.591
"YLR334C"	0.989	0.887	0.994	0.268	0.753	0.884	0.638	0.72	-0.026	-0.354	0.183	-0.174	-0.166	-0.267	0.794	0.685	-0.559	0.086	0.119	0.636	0.41	0.508	0.096	0.663	0.524	0.763	0.152	-0.768	0.15	0.704	0.377	1.445	0.434	0.981	0.395	0.285	0.301	0.91	0.789	0.476	0.979	0.701	0.714	0.74	0.695	0.079	0.131	0.752	-0.206	-0.074	-0.16	-0.366	-0.198	0.603	0.571	0.464	-0.364	-0.752	-0.204	-0.184	0.583	-0.37	-0.379	-0.269	0.284	0.927	0.203
"YLR388W"	0.101	-0.21	0.259	0.504	0.377	0.412	0.151	0.123	-1.974	-2.382	-1.424	-1.861	-2.879	-3.074	-0.097	0.077	-0.744	-0.943	-2.289	-1.403	-3.12	-2.544	-2.264	-1.926	-1.98	-1.738	-3.596	-5.506	-2.593	-3.204	-3.058	-2.742	-2.362	-4.025	-2.079	-2.671	-2.555	-2.232	-2.581	-3.193	-0.053	0.123	0.184	0.298	0.289	-1.207	-1.452	0.353	-1.591	-1.776	-2.41	-1.953	-2.034	-2.994	-1.62	-2.448	-2.761	-2.178	-0.623	-3.674	-2.798	-3.762	-3.521	-2.816	-2.864	-3.334	-1.723
"YLR397C"	-0.476	-0.542	-0.238	0.144	0.207	0.088	-0.081	-0.007	-1.872	-1.419	-0.599	-1.265	-1.312	-1.133	0.244	0.204	-1.255	-1.432	-0.902	-0.253	-2.71	-2.159	-1.356	-1.446	-1.044	-1.115	-1.226	-3.405	-0.953	-1.514	-1.327	-0.722	-1.413	-1.345	-1.507	-0.787	-1.066	-1.272	-1.336	-1.225	0.004	-0.029	0.059	0.118	0.12	-1.152	-0.795	0.195	-0.348	-0.979	-0.007	-0.786	-1.123	-0.721	-0.751	-0.715	-1.45	-2.458	-2.123	-0.839	-0.832	-2.467	-1.639	-1.818	-2.111	-0.709	-1.016
"YLR409C"	-0.344	-0.719	-0.258	-0.261	-0.232	-0.142	-0.188	-0.016	NaN	-3.176	-1.59	-2.574	-3.696	-3.852	-0.213	-0.043	-1.644	-3.427	-1.524	-1.006	-4.402	-2.709	-2.6	-1.8	-1.629	-2.222	-3.204	-4.211	-2.874	-2.308	-2.578	-1.928	-2.361	-2.708	-1.92	-2.024	-2.286	-2.713	-3.315	-3.47	-0.007	0.055	0.084	0.127	0.054	-2.021	-1.732	0.126	-1.274	-2.097	-1.94	-1.55	-1.502	-2.578	-2.351	-1.934	-4.473	-2.812	-2.584	-2.143	-1.648	-3.231	-1.992	-1.204	-1.981	-2.36	-2.63
"YLR413W"	-2.749	-2.245	-1.484	-0.365	-0.43	-0.048	-0.322	-0.18	NaN	-4.035	-2.22	-3.749	-4.155	-3.973	-1.903	-0.874	-2.452	-2.81	-3.224	-1.972	-4.758	-4.864	-5.057	-4.832	-4.874	-5.063	-5.414	-5.846	-3.411	-3.237	-3.865	-3.034	-3.629	-4.176	-4.488	-4.358	-4.993	-4.2	-4.656	-4.874	-0.683	0.112	-0.327	0.194	0.041	-2.398	-2.459	0.064	-1.756	-1.957	-1.753	-1.571	-3.737	-3.484	-2.051	-2.009	-3.69	-3.773	-3.616	-4.298	-4.176	-4.449	-4.04	-4.16	-4.919	0.786	-3.733
"YLR432W"	-0.509	-0.784	-0.412	-0.111	-0.181	0.052	-0.301	-0.045	-1.268	-2.203	-0.964	-1.608	-2.432	-3.062	-0.827	-0.304	-1.179	-0.807	-1.332	-1.667	-2.58	-2.16	-2.424	-1.536	-1.818	-2.129	-3.532	-5.65	-1.881	-2.412	-2.49	-3.15	-3.001	-2.585	-0.9	-1.997	-2.641	-1.934	-2.482	-3.034	-0.356	-0.022	0.057	-0.104	-0.128	-1.777	-1.772	-0.068	-1.473	-1.56	-1.534	-0.861	-1.904	-2.888	-1.496	-1.891	-3.251	-2.731	-2.209	-3.491	-3.179	-3.412	-2.927	-2.885	-3.367	-4.39	-2.698
"YML018C"	-0.506	-0.517	-0.236	-0.071	-0.498	-0.603	-0.499	-0.495	-1.908	-2.139	-0.951	-1.521	-2.192	-2.304	-0.106	0.135	-0.718	-1.469	-0.915	-0.484	-3.624	-2.452	-2.174	-2.315	-1.808	-2.038	-2.284	-3.383	1.048	-1.603	-0.997	-0.729	-0.482	-1.0	-1.191	-1.451	-0.755	-1.452	-1.922	-2.274	0.021	-0.577	-0.183	0.09	-0.11	-0.496	-0.857	0.037	-0.894	-1.377	-0.783	-0.818	-1.455	-0.774	0.299	0.831	-2.169	-2.236	-2.391	-2.241	-2.024	-3.046	-1.902	-2.258	-0.917	-1.393	0.378
"YML093W"	-0.621	-0.857	-0.502	-0.43	-0.044	0.08	0.074	-0.125	-4.507	-2.615	-1.452	-2.741	-3.357	-3.472	-0.287	-0.055	-0.188	-2.92	-1.785	-1.529	-4.947	-2.836	-1.941	-1.822	-1.272	-2.007	-2.962	-5.889	-2.751	-2.797	-2.437	-1.818	-1.659	-3.309	-1.656	-1.961	-2.236	-2.547	-2.745	-3.262	-0.034	0.056	-0.234	-0.216	-0.227	-0.837	-1.186	0.143	-0.974	-1.431	-1.264	-1.695	-1.522	-2.574	-2.234	-1.586	-3.703	-7.708	-3.619	-2.999	-2.533	-4.548	-2.489	-2.192	-2.403	-1.725	-2.841
"YMR046C"	1.209	1.061	1.217	1.218	0.567	1.26	1.218	1.219	0.139	0.212	-0.026	0.769	1.181	0.946	1.248	1.093	-0.251	0.926	0.652	0.775	0.217	0.58	0.546	0.374	0.403	0.465	-0.19	-1.652	0.63	0.93	1.018	0.785	0.854	1.276	1.304	1.334	0.97	2.23	2.399	1.676	1.1	1.135	1.338	1.143	0.697	-0.852	-0.748	1.212	-0.243	-0.476	-0.376	0.244	-0.076	1.702	0.801	1.29	0.59	0.046	-1.307	-0.069	1.159	0.239	0.869	0.633	0.295	1.296	2.057
"YMR051C"	1.635	1.299	1.551	1.397	0.826	1.504	1.413	1.358	0.191	0.424	0.084	0.744	1.202	1.004	1.458	1.348	-0.172	0.783	0.605	0.719	0.247	0.255	0.128	0.282	0.47	0.492	-0.012	-1.605	0.771	0.948	1.248	0.77	0.707	1.31	1.416	1.415	1.187	2.353	2.452	1.809	1.541	1.396	1.525	1.344	0.975	-0.833	-0.608	1.399	-0.073	-0.327	-0.024	0.314	0.264	1.705	0.848	1.356	0.764	0.196	-1.185	1.043	1.467	0.909	1.354	1.238	0.895	1.227	1.918
