	"42.alpha factor release sample022"	"115.heat shock 20 min repeat"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"801.Heat Shock 030inutes"	"810.DES460 (wild type) + heat 20 min"	"811.DES459 (mec1) + heat 20 min"	"812.1M sorbitol - 45 min (* centrifugation problem)"	"813.MHY1 (dun1) + heat 20 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"942.starv_in_H2O_1_h_30C"	"1012.YPD 12 h (25C)"	"1107.alpha factor release sample025"	"1155.DY1457 (wild type) 3 mM vs. 10 uM zinc"	"4872.1M sorbitol - 60 min"	"4874.1M sorbitol - 90 min"	"5187.MHY1 (crt1) vs CRY1 (wild type)"	"5245.DES459 (mec1) - mock irradiation - 30 min"	"5246.DES459 (mec1) - mock irradiation - 60 min"	"8233.dtt 120 min"	"9837.CLB2 induction 40minutes (possible against CLB5 0min)"	"9838.CLN3 induction 30 minutes"	"12744.heat shock 17 to 37, 20 minutes"	"21635..24 mM H2O2- 0 minutes"	"28842.P2Comp 08 hr 48 min Phosphate Batch vs Chemostat Comparison2"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"33259.delKIN82_heat shock _15min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"34360.batch 02X25 4"	"38154.03II01 batch p10"	"38155.03II01 batch p11"
"YNL209W"	0.0815	-2.469	-4.441	-4.707	-1.941	-1.446	-2.153	-0.293	-1.822	-3.795	-3.591	-5.803	-2.699	-3.728	-4.059	0.223	0.6	0.134	0.069	0.729	0.203	-0.006	-0.692	0.153	-0.461	-4.616	-0.76	-1.556	-3.361	-2.694	-3.413	-4.586	-3.709	-2.704	-4.209	-4.158	-3.075	-2.057	-1.979	-3.586
"YNL301C"	-0.001	-1.715	-2.335	-3.036	-0.806	-1.272	-1.652	-0.205	-1.273	-2.992	-2.551	-6.272	-2.514	-2.943	-3.466	0.204	0.303	0.135	0.423	0.231	-0.517	-0.246	-0.938	0.322	-0.968	-2.136	-0.829	0.469	-2.144	-1.116	-0.737	-4.167	-3.163	-3.507	-4.02	-3.032	-2.764	-1.771	-1.619	-2.51
"YNL302C"	-0.054	-1.6365	-1.268	-1.2955	-0.693	-1.065	-1.1985	0.1095	-1.0285	-2.266	-2.265	-4.746	-1.068	-2.3395	-2.3425	0.114	-0.131	0.081	-0.3065	-0.3545	-0.436	-0.399	-0.411	0.013	-0.113	-1.727	-0.294	0.42	-2.646	-1.536	-1.239	-4.107	-3.25	-2.449	-3.631	-3.426	-2.699	-1.67	-1.653	-2.373
"YOL040C"	-0.105	-2.147	-3.012	-3.574	-1.666	-1.391	-2.371	0.056	-1.781	-0.886	-3.313	-6.413	-1.1735	-3.385	-3.938	0.249	0.212	0.247	0.46	0.346	-0.587	-0.152	-0.347	0.296	-0.307	-3.277	-0.268	-0.273	-2.391	-1.542	-1.304	-4.411	-3.555	-2.716	-3.746	-3.451	-2.823	-1.611	-1.36	-2.228
"YOL077C"	-0.145	-5.04	-5.22	-4.28	-1.0455	-1.724	-3.046	-0.343	-2.24	-5.186	-0.2885	-6.552	-2.1355	-4.174	-3.705	0.035	0.103	-0.102	0.019	0.099	0.037	-0.142	-1.67	-0.252	-0.422	-4.7	0.475	0.008	-4.969	-3.866	-4.679	-2.855	-2.586	-2.262	-5.145	-2.894	-2.392	-2.897	-2.379	-2.251
"YOL092W"	-0.493	-2.049	-1.473	-1.931	-1.471	-0.689	-1.199	-0.047	-1.191	-2.052	1.054	-3.162	-1.348	0.226	-1.106	-0.082	-0.129	0.166	0.068	0.452	-0.018	-0.28	-0.2125	-0.011	-0.349	-1.767	-0.052	-1.639	-2.017	-1.566	-2.177	-2.217	-1.483	-0.927	-2.329	-1.437	-1.523	-1.224	-1.253	-1.549
"YOR185C"	-0.082	1.82	3.202	3.093	1.2135	1.053	0.892	0.457	1.666	0.879	0.7155	-2.607	0.7465	0.7285	-0.58	0.183	0.128	0.415	-0.212	-0.589	-0.255	-0.302	1.128	0.11	-0.227	3.38	0.67	-1.072	2.638	2.676	2.932	2.061	1.998	1.846	2.386	1.937	1.14	0.453	2.513	2.657
"YOR210W"	-0.015	-1.181	-1.814	-1.888	-0.537	-0.497	-1.023	-0.091	-0.605	-2.806	-2.217	-3.257	-1.0405	-1.9285	-2.266	-0.036	0.0	0.098	-0.015	-0.335	-0.447	-0.67	-0.6795	0.164	-0.604	-1.407	0.302	-0.504	-1.196	-0.695	-1.098	-1.772	-1.648	-0.256	-2.369	-1.897	-1.313	-1.028	-1.24	-1.025
"YOR234C"	0.109	-1.677	-2.03	-2.616	-0.301	-0.607	-1.644	0.084	-0.983	-4.006	-3.3605	-4.019	-2.302	-2.7115	-3.657	-0.014	0.288	0.151	0.103	0.281	-0.298	-0.284	-0.9825	0.429	-0.47	-1.745	0.152	-0.049	-2.108	-1.104	-1.628	-3.604	-2.922	-2.425	-4.032	-3.302	-2.445	-1.635	-1.958	-2.318
"YOR252W"	-0.325	-1.831	-2.252	-1.787	-0.5075	-0.944	-1.609	-0.294	-1.13	-1.9195	-1.25	-2.9525	-1.674	-2.196	-1.792	-0.173	0.106	0.096	0.055	-0.242	-0.276	-0.365	-0.8735	0.417	-0.327	-2.365	-0.141	-1.264	-1.317	-1.491	-1.116	-1.691	-0.965	-0.651	-2.721	-1.585	-0.862	-0.681	-1.397	-1.179
"YOR293W"	0.018	-2.435	-3.618	-3.854	-1.3	-1.238	-2.307	-0.131	-1.6	-4.155	-3.7615	-4.496	-2.907	-3.442	-4.233	0.213	0.041	-0.036	-0.104	-0.099	-0.746	-0.259	-1.0805	-0.162	-0.356	-3.151	-1.195	-0.157	-3.047	-1.776	-2.465	-3.53	-3.262	-3.205	-3.853	-3.23	-2.89	-1.762	-1.809	-2.477
"YOR294W"	0.269	-3.828	-4.407	-3.632	-1.7325	-1.537	-2.027	-0.61	-1.528	-5.6475	-2.427	-5.2465	-2.791	-3.318	-1.284	-0.101	0.084	-0.128	-0.268	0.202	-0.011	0.033	-1.377	-0.126	-0.895	-4.852	0.459	0.011	-4.841	-3.679	-3.042	-2.722	-2.74	-1.658	-5.145	-2.254	-1.895	-1.895	-1.907	-1.683
"YOR312C"	0.181	-2.612	-2.723	-3.7	0.351	-1.106	-2.417	0.1	-1.633	-3.8645	-3.381	-4.8175	-2.4995	-2.99	-4.638	-0.004	0.162	0.298	0.272	0.201	-0.45	-0.253	-1.0205	0.245	-0.543	-2.873	-0.245	0.351	-3.057	-1.602	-2.611	-4.379	-3.433	-3.512	-4.531	-3.454	-2.689	-1.564	-1.926	-2.281
"YOR335C"	-0.093	-0.8915	-0.961	-2.0285	-0.603333333333333	-1.4205	-0.8685	-0.0115	-1.728	-1.511	-1.43533333333333	-2.407	-1.129	-1.801	-1.8815	0.094	-0.421	0.1515	0.061	0.6495	0.4285	0.147	-0.203	-0.415	0.279	-1.278	-0.134	-0.177	-2.55	-1.967	-2.457	-3.698	-2.657	-1.982	-3.656	-1.993	-1.833	-1.5	-0.418	-1.04
"YOR347C"	-0.323	2.539	2.76	2.778	0.4095	0.199	0.418	-0.042	0.243	2.303	1.787	-1.665	1.6495	1.5195	0.172	-0.096	0.005	0.058	-0.204	0.251	-0.158	-0.132	0.8445	-0.233	0.679	2.34	0.804	-0.023	2.86	1.801	3.134	1.608	0.65	0.261	2.218	1.275	1.263	1.4	2.218	0.307
"YPL086C"	-0.091	-1.502	-2.561	-2.524	-0.5975	-1.22	-1.408	-0.352	-1.243	-3.4025	-1.371	-5.552	-2.399	-2.6475	-2.484	-0.137	0.258	0.072	0.08	0.567	0.483	0.029	-0.963	-0.013	-0.454	-2.138	-0.078	0.554	-3.386	-1.928	-3.259	-2.994	-2.108	-1.719	-3.672	-1.773	-1.346	-0.792	-1.086	-1.413
"YPL198W"	0.005	-1.747	-3.084	-3.342	-0.782	-1.23	-2.129	-0.252	-1.589	-4.269	-3.194	-6.879	-2.7345	-3.4825	-3.875	0.119	0.25	-0.237	0.283	0.257	-0.382	-0.26	-0.934	0.453	-0.289	-2.581	-0.321	-0.832	-2.3655	-1.4145	-1.667	-4.2325	-3.528	-3.0615	-3.4955	-4.5575	-2.68	-2.0715	-2.162	-2.635
"YPR136C"	-0.094	-1.4705	-2.5655	-2.366	-0.81	-0.498	-1.0055	-0.2615	-0.6735	-3.23366666666667	-2.631	-4.78933333333333	-1.667	-0.994666666666667	-1.41	-0.065	-0.1555	-0.081	0.005	0.89	0.5305	0.882	-1.071	-0.064	-0.261	-2.431	-0.321	0.485	-2.136	-1.076	-1.138	-0.948	-1.023	-0.654	-1.695	-1.465	-0.903	-3.465	NaN	1.217
"YPR163C"	0.181	-2.832	-3.276	-3.939	-1.3005	-1.284	-2.061	-0.26	-1.817	-3.6815	-2.265	-5.4905	-2.1035	-2.5635	-3.136	-0.189	0.319	-0.06	-0.396	-0.022	-0.021	0.198	-0.673	0.198	-0.788	-3.572	-0.045	0.456	-3.015	-1.939	-2.373	-3.506	-3.14	-1.955	-3.575	-2.873	-2.034	-1.488	-1.088	-1.558
"YPR187W"	0.061	-1.649	-1.951	-2.183	-0.6975	-0.737	-1.449	-0.326	-1.166	-2.5615	-1.8665	-5.408	-1.533	-2.283	-2.563	-0.15	0.121	-0.039	0.023	-0.229	-0.301	-0.168	-0.7435	0.028	-0.692	-2.036	-0.326	0.697	-2.158	-0.847	-1.664	-2.584	-2.061	-1.502	-2.896	-2.213	-1.752	-1.068	-0.957	-1.43
