	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"800.Heat Shock 015 minutes"	"811.DES459 (mec1) + heat 20 min"	"813.MHY1 (dun1) + heat 20 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"877.FY3 pRZ-MSN2 - Msn2 overexpression"	"878.FY3 pRZ-MSN4 - Msn4 overexpression"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"2966.WT vs Lpz8 null cells in high Cu-repeat"	"3020.WT vs lpz8 null cells in high Cu"	"4872.1M sorbitol - 60 min"	"7541.DES459 (mec1) - log phase (IR time "	"7542.DES459 (mec1) - log phase (MMS time "	"8204.steady state 29 dec C"	"8213.steady state 36 dec C"	"8247.steady state 36 dec C: y14n095"	"12744.heat shock 17 to 37, 20 minutes"	"30773.Pomona/Brown Sir3x red"	"33414.delKIN82_heat shock _0min_repeat"	"33417.delKIN82_heat shock _60min_repeat"	"33771.DBY8778(wt)_stationary_phase_0hours"	"33772.DBY8778(wt)_stationary_phase_3hours"	"33773.DBY8778(wt)_stationary_phase_5hours"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33777.delYPL230w_stationary_phase_0hours"	"33778.delYPL230w_stationary_phase_2hours"	"33779.delYPL230w_stationary_phase_5hours"	"34346.delPPT1(DBY10090)  vs. wt(DBY8778)"
"YLL045C"	-1.746	-2.108	-2.105	-2.319	-3.116	-3.722	-0.961	-2.573	-1.975	-3.851	-3.176	-2.506	-3.857	-6.618	-2.711	0.201	-0.031	-3.169	-3.335	-3.185	-3.66	-2.096	-2.604	-2.495	-2.943	-3.021	-3.731	-0.092	-0.06	0.223	-0.78	-0.565	0.908	0.294	-0.04	-3.545	0.142	1.033	-0.123	0.484	0.3	-0.323	-3.449	-2.833	-0.164	0.064	-3.788	0.015
"YLR003C"	-3.442	-2.921	-2.957	-2.644	-3.201	-3.212	-2.485	-1.894	-1.589	-3.378	-2.664	-2.083	-3.993	-3.267	-1.976	0.802	0.071	-2.206	-1.397	-1.028	-3.393	-1.951	-1.333	-1.316	-2.966	-3.316	-3.421	-0.228	-0.37	0.049	0.021	-0.255	0.365	-0.903	-0.459	-3.305	0.093	-0.731	-0.654	-0.561	-0.548	-0.708	-2.516	-1.754	-0.434	-0.366	-3.839	-0.165
"YLR028C"	1.196	1.408	1.348	0.907	1.217	1.261	0.484	1.172	0.34	1.65	0.844	1.11	-0.213	-2.182	0.799	-0.167	-0.091	0.389	0.148	-0.171	0.458	1.055	0.464	0.124	-0.194	-0.393	-1.304	0.178	0.45	-0.012	-0.89	-0.623	0.048	0.193	0.153	1.417	0.118	0.081	0.443	-0.344	0.266	0.187	1.039	0.786	0.255	0.345	1.581	-0.04
"YLR029C"	-1.495	-1.816	-1.874	-1.556	-2.241	-2.238	-0.498	-1.826	-1.74	-3.174	-2.641	-3.465	-3.615	-6.877	-1.294	-0.247	-0.214	-2.777	-2.809	-2.78	-3.178	-1.893	-2.201	-2.595	-2.242	-2.378	-2.987	-0.181	0.162	-0.158	-0.77	-0.514	0.202	-0.282	-0.148	-1.757	0.243	0.302	-0.349	0.107	0.346	-0.002	-3.518	-2.733	0.216	-0.065	-3.637	0.246
"YLR237W"	-0.704	-0.835	-0.962	-0.699	-0.38	-0.42	-0.605	-0.623	-0.164	-1.312	-0.077	-0.017	-0.346	-1.479	-0.502	-0.091	-0.152	-0.858	-0.46	-0.536	0.584	0.463	0.563	-0.047	0.184	-0.156	-0.491	-0.09	-0.091	-0.063	0.602	NaN	-0.491	0.205	0.066	-1.16	-0.023	-0.272	0.405	-0.154	0.045	-0.564	-0.852	-0.584	-0.586	-0.087	-0.559	-0.279
"YLR249W"	-2.818	-3.81	-3.122	-3.317	-4.232	-4.758	-1.851	-2.52	-1.853	-6.529	-4.864	-4.043	-4.146	-6.742	-2.985	0.188	-0.505	-3.879	-4.141	-3.557	-4.679	-2.712	-3.131	-3.778	-3.883	-4.549	-4.992	0.011	0.098	0.257	-0.08	0.241	0.415	-0.437	-0.508	-4.59	0.414	0.987	-0.246	-0.292	-0.415	-1.078	-5.053	-5.102	0.466	-0.212	-5.085	-0.038
"YLR388W"	-1.974	-1.927	-2.382	-1.861	-2.879	-3.074	-0.943	-2.289	-1.937	-3.12	-2.544	-2.264	-3.596	-5.506	-2.593	1.157	0.037	-3.204	-3.058	-2.742	-4.025	-2.079	-2.671	-2.555	-2.232	-2.581	-3.193	0.512	0.422	0.202	0.195	0.052	0.395	-0.253	0.085	-2.761	0.076	0.403	-0.684	0.278	-0.164	-0.276	-3.674	-2.798	0.418	0.567	-3.762	0.34
"YML026C"	-1.59	-1.488	-2.104	-1.803	-3.139	-3.539	-0.989	-2.467	-1.536	-3.811	-3.779	-3.236	-4.268	-5.271	-2.504	0.403	-0.357	-3.779	-3.636	-3.131	-3.572	-2.525	-2.873	-2.821	-2.898	-2.803	-2.821	0.093	-0.013	-0.067	-0.612	-0.227	0.041	-0.562	-0.457	-3.032	-0.823	0.601	-0.365	-0.121	0.017	-0.132	-4.522	-3.396	-0.089	-0.059	-4.595	0.155
"YML056C"	-3.762	-3.147	-3.158	-3.16	-2.963	-3.376	-2.066	-1.557	-1.854	-3.967	-3.497	-3.275	-2.698	-5.251	-2.85	0.512	0.359	-3.243	-3.63	-2.67	-2.774	-1.718	-2.437	-2.674	-1.337	-2.566	-2.751	0.079	-0.096	-0.123	0.121	-0.103	0.512	0.278	0.13	-3.776	0.38	0.337	-1.124	-0.508	-0.244	-0.036	-3.863	-3.469	0.177	-0.223	-4.322	-0.16
"YMR121C"	-1.48	-1.549	-1.588	-1.431	-1.388	-1.87	-0.315	-1.194	-1.008	-3.215	-2.875	-2.279	NaN	-4.199	-0.903	0.648	-0.313	-2.574	-2.217	-2.44	-2.864	-1.698	-2.019	-2.144	-2.277	-2.155	-2.582	0.323	0.36	0.08	-0.823	-0.652	0.36	-0.144	0.216	-1.331	0.051	0.375	-0.145	0.268	-0.427	-0.171	-3.713	-2.508	-0.283	0.366	-3.436	0.06
"YMR145C"	1.036	1.105	1.073	0.852	1.264	0.739	0.523	-0.664	-0.549	2.945	3.091	3.196	0.517	-1.346	-0.381	0.501	0.164	0.833	0.867	0.884	3.244	1.994	0.661	0.986	0.583	0.207	-1.377	-0.056	0.009	-0.205	0.765	0.339	-0.159	0.345	0.573	0.317	0.205	0.406	-0.051	-0.172	0.463	0.573	1.351	1.528	-0.078	0.236	1.01	0.318
"YMR217W"	-2.517	-3.361	-3.444	-2.705	-2.964	-3.238	-1.424	-2.862	-2.309	-5.293	-3.056	-3.049	-4.735	-5.29	-2.699	0.232	-0.239	-3.48	-2.869	-2.622	-4.287	-2.652	-3.341	-4.118	-3.713	-4.205	-4.469	-0.26	-0.163	0.291	-0.38	-0.859	0.771	0.036	0.49	-3.402	0.2045	0.376	-0.379	-0.264	0.012	-0.538	-3.621	-2.927	0.605	0.49	-4.222	0.421
"YMR246W"	-2.764	-3.006	-3.075	-2.728	-3.131	-2.12	-1.565	-2.409	-2.018	-4.244	-1.812	-1.399	-0.723	-3.101	-1.696	0.027	0.375	-1.299	-1.131	-1.539	-0.91	-0.71	-1.661	-1.449	-0.726	-1.278	-1.408	-0.143	-0.137	0.233	-0.214	-0.285	0.225	0.241	0.205	-2.601	0.286	0.426	-0.253	-0.449	-0.368	-0.784	-3.552	-2.495	-0.17	-0.149	-3.802	-0.676
"YMR321C"	-1.944	-1.983	-2.035	-1.737	-2.174	-2.078	-1.159	-1.805	-1.418	-2.201	-2.459	-2.58	-3.288	-3.811	-1.309	-0.464	-0.348	-2.632	-2.309	-2.22	-2.252	-1.952	-1.913	-2.8	-2.409	-2.567	-2.424	0.108	-0.041	-0.034	-0.834	-0.394	0.385	0.021	0.113	-2.265	0.0335	-0.245	-0.466	-0.606	0.222	-0.315	-1.627	-1.521	-0.191	0.081	-2.994	0.074
"YNL002C"	-4.666	-4.12	-4.07	-3.305	-4.559	-4.222	-3.653	-2.677	-1.824	-5.196	-2.914	-2.785	-2.73	-3.468	-2.839	1.049	0.124	-3.072	-2.59	-2.178	-3.426	-2.209	-1.856	-2.186	-2.277	-2.592	-2.588	-0.227	-0.191	-0.059	-0.063	-0.778	0.302	-0.454	-0.697	-4.603	0.0375	-0.542	-1.015	-0.887	-0.517	-1.22	-2.92	-2.649	-0.448	-0.177	-4.466	0.021
"YNL067W"	-2.389	-2.148	-2.348	-2.563	-3.335	-3.738	-1.353	-2.271	-1.499	-4.019	-2.871	-2.193	-2.84	-5.731	-2.532	-0.001	-0.177	-2.866	-3.241	-2.399	-4.131	-1.968	-2.506	-2.759	-1.884	-1.906	-2.76	0.135	-0.255	0.53	-0.839	-0.413	0.45	0.333	0.277	-3.16	-5.0E-4	0.279	-0.448	0.105	0.425	0.271	-2.698	-2.15	0.366	0.374	-3.107	0.114
"YNL110C"	-4.43	-5.407	-3.64	-3.768	-4.56	-4.991	-3.311	-2.683	-1.811	-5.108	-3.05	-2.608	-1.487	-3.296	-1.641	0.799	-0.007	-2.565	-1.986	-1.679	-4.151	-2.141	-1.741	-2.144	-2.154	-2.985	-3.387	-0.456	-0.665	-0.088	0.619	-0.002	0.206	-0.791	-0.933	-5.064	0.017	-0.725	-0.644	-0.503	-0.012	-0.975	-3.18	-2.579	0.296	0.585	-4.747	0.246
"YNL114C"	-2.893	-1.943	-2.686	-2.468	-3.33	-3.663	-2.355	-1.548	-0.814	-5.245	-2.663	-2.941	-3.791	-6.572	-2.048	-0.025	-0.19	-2.827	-2.978	-1.873	-3.032	-1.739	-1.645	-2.221	-1.96	-2.004	-2.111	-0.215	-0.319	0.383	0.365	0.297	0.403	-0.224	-0.19	-2.799	-0.226	-0.095	-0.393	-0.547	0.055	-0.446	-2.905	-1.754	0.366	0.289	-4.14	-0.291
"YNL134C"	2.129	NaN	1.608	2.953	3.75	3.714	1.168	0.886	0.629	3.455	3.412	3.676	1.649	0.987	0.622	0.513	0.442	0.277	0.754	0.288	2.41	2.493	2.483	2.489	2.146	1.603	1.29	-0.006	-0.062	-0.225	0.161	0.536	-0.859	-0.741	-0.738	2.889	0.182	0.955	0.326	0.12	0.936	0.824	3.873	3.196	0.083	0.707	3.7	0.457
"YNL162W"	-2.024	-1.886	-2.384	-1.97	-3.17	-3.58	-1.819	-2.232	-1.506	-3.953	-3.395	-3.14	-2.858	-6.425	-2.882	0.125	0.116	-2.86	-2.872	-2.421	-3.999	-2.089	-2.0	-2.0	-1.742	-2.487	-3.468	0.087	0.199	-0.03	-0.892	-0.355	0.596	0.205	-0.039	-2.998	-0.5945	0.212	-0.594	-0.056	0.056	0.105	-2.704	-2.701	-0.312	0.096	-3.916	0.491
"YNL308C"	-3.929	-2.764	-1.689	-2.757	-3.366	-3.336	-2.488	-2.095	-1.938	-4.351	-2.623	-2.15	-1.227	-2.686	-2.473	0.628	0.213	-2.614	-2.202	-1.792	-3.207	-1.872	-1.62	-2.065	-2.036	-2.775	-2.852	-0.414	-0.25	0.145	0.468	-0.282	0.539	-0.747	-0.64	-3.272	0.05	-0.639	-0.568	-0.806	-0.16	-0.782	-1.512	-2.337	0.067	-0.138	-3.307	-0.165
"YNL313C"	-3.472	-3.287	-3.026	-2.399	-2.935	-3.02	-1.887	-1.152	-0.746	-4.999	-2.695	-2.073	-3.628	-5.714	-2.852	-0.679	-0.718	-3.129	-2.948	-1.668	-2.839	-1.544	-1.333	-1.551	-2.01	-2.343	-2.518	-0.202	-0.163	0.106	-0.046	-0.08	0.151	0.088	-0.015	-3.009	-0.095	-0.597	0.31	-1.055	-0.553	-0.756	-1.867	-1.835	-0.015	-0.124	-3.85	-0.298
"YOR096W"	-2.282	-2.122	-2.106	-2.334	-3.385	-3.991	-1.146	-2.801	-2.243	-3.836	-1.9145	-3.249	-0.632	-0.414	0.1975	0.6685	-0.86	-3.353	-3.798	-3.257	-4.84	-2.181	-2.592	-2.585	-2.522	-2.337	-3.584	-0.099	-0.155	0.109	-0.962	-0.514	0.331	-0.126	-0.174	-3.232	0.07	0.327	-0.702	0.055	0.59	0.109	-4.534	-3.585	0.114	0.036	-4.458	-0.083
"YOR167C"	-1.171	-1.706	-1.916	-1.631	-2.402	-2.633	-0.5285	-2.174	-1.85	-1.901	-2.041	-1.52	-0.6035	-3.313	-2.212	0.648	0.155	-2.747	-2.5365	-2.376	-3.37	-2.06	-2.251	-2.421	-2.283	-2.319	-2.712	0.121	0.382	-0.245	-0.85	-0.222	0.2455	-0.2595	0.095	-2.358	-0.157	-0.207	-0.322	-0.166	0.308	-0.488	-2.829	-2.745	-0.226	-0.202	-3.035	0.08
"YOR206W"	-5.087	-4.715	-3.702	-3.585	-5.083	-4.513	-3.849	-2.605	-1.361	-5.827	-2.568	-2.0395	-3.681	-6.4785	-2.919	0.843	-0.07	-3.1625	-1.9445	-2.2495	-3.888	-2.026	-2.451	-2.637	-3.151	-3.692	-3.694	-0.104	-0.314	-0.2	0.39	-0.009	0.0475	-0.6855	-0.5855	-5.066	0.147	-0.548	-0.69	-0.526	-0.108	-0.835	-3.193	-2.539	-0.302	0.096	-4.817	-0.275
"YOR224C"	-1.836	-0.651	-1.859	-1.457	-1.589	-2.102	-0.888	-1.498	-1.367	-2.895	-1.9785	-1.9375	-3.348	-4.849	-2.0935	-0.049	-0.467	-2.254	-2.252	-2.4505	-2.185	-1.678	-2.173	-2.296	-2.099	-2.615	-2.202	0.266	0.315	0.002	-0.969	-0.402	0.4205	0.19	0.2945	-1.555	0.075	0.064	0.002	0.323	0.131	-0.431	-1.343	-1.751	-0.23	-0.186	-2.113	-0.034
"YOR288C"	1.784	2.009	1.793	1.475	2.251	2.435	1.125	2.522	2.267	2.3925	1.1025	1.251	-1.8125	-2.7925	0.477	0.2875	0.542	0.3855	-0.2565	-0.2465	0.691	0.716	0.146	0.191	-0.708	-0.769	-0.471	0.454	0.53	-0.106	-0.632	0.104	0.0555	0.6885	0.432	2.8	0.176	-0.334	0.64	0.114	-0.013	0.063	1.26	0.701	-0.42	0.037	1.092	-0.335
"YOR352W"	1.711	1.662	1.239	0.531	1.108	1.585	1.027	1.125	0.549	2.4075	1.302	1.559	0.698	0.2025	0.278	0.04	0.801	1.261	1.0245	0.4705	1.302	0.838	0.564	0.878	1.373	1.022	1.07	0.379	0.346	-0.098	-0.197	0.727	-0.0995	0.6205	-0.1495	1.467	0.017	-0.089	0.155	-0.514	-0.513	0.04	1.346	1.157	-0.59	-0.277	1.288	-0.461
"YOR356W"	0.681	1.414	0.736333333333333	0.183666666666667	-0.017	0.218666666666667	0.168	-0.443666666666667	-0.256666666666667	0.544666666666667	0.3155	0.56225	0.526666666666667	-2.108	0.00399999999999995	-0.4005	0.11325	0.81	-0.117	-0.251	0.725	0.657666666666667	0.480333333333333	0.405	0.817	0.791333333333333	0.784666666666667	0.0303333333333333	0.206333333333333	-0.0936666666666667	-0.514	0.062	0.111666666666667	0.489333333333333	0.30875	0.128666666666667	-0.0915	-0.455	0.15	-0.1225	0.036	0.168	0.713	0.2715	-0.113	-0.1435	0.646	-0.0745
"YOR361C"	-0.726	-0.222	-1.534	-1.5615	-1.489	-2.4355	-1.026	-0.8475	-1.241	-1.94833333333333	-1.73166666666667	-1.46466666666667	-2.869	-2.21	-0.963	-0.787666666666667	-0.512	-1.595	-0.816666666666667	-0.941666666666667	-2.3735	-1.763	-2.3155	-1.899	-2.266	-1.977	-2.109	-0.9775	-0.347	0.099	-0.5435	-0.7675	0.116666666666667	-0.304	0.310666666666667	-2.0645	0.242	-0.366	-0.257	-0.123	-0.082	-0.899	-3.164	-2.531	0.025	-0.096	-2.444	-0.167
"YPL079W"	-2.261	-2.147	-2.597	-2.277	-3.115	-3.828	-1.631	-2.516	-2.168	-4.616	-4.1965	-3.787	-3.892	-6.4765	-2.527	0.398	-0.3645	-3.085	-3.172	-3.0255	-4.735	-2.781	-2.741	-3.087	-3.015	-3.498	-4.547	-0.041	0.053	0.031	-0.881	-0.203	0.6185	-0.334	-0.2565	-3.135	-0.574	0.613	-0.771	-0.312	-0.197	-0.278	-2.865	-2.753	-0.329	0.028	-3.573	0.414
"YPL142C"	-1.892	-1.761	-1.932	-2.625	-2.913	-3.225	-0.8	-2.066	-1.527	-3.1395	-2.973	-2.7515	-3.5865	-5.604	-2.427	0.528	0.1135	-2.825	-3.3035	-2.8235	-4.155	-2.082	-2.303	-2.376	-2.148	-2.632	-2.979	0.447	0.15	0.2	-0.865	-1.025	0.587	-0.096	-0.112	-3.034	0.142	-0.542	-0.763	0.086	0.314	-0.313	-3.763	-3.021	-0.287	0.007	-3.677	0.123
"YPL220W"	-1.847	0.52	-2.404	-2.267	-3.278	-3.871	-0.8855	-2.806	-2.333	-3.389	-2.4215	-2.18	-3.187	-6.1465	-2.8915	0.7115	-0.0985	-3.0375	-3.442	-3.3935	-3.51	-1.794	-2.548	-2.639	-2.247	-2.571	-3.926	-0.03	-0.268	0.081	-0.822	-0.05	0.3965	-0.363	-0.0445	-3.09	0.216	0.436	-0.738	0.168	0.554	0.502	-3.366	-2.375	0.257	0.452	-3.554	0.49
"YPL263C"	-1.7625	-1.5025	-1.571	-1.659	-2.1515	-1.5755	-0.724333333333333	-1.5225	-1.498	-2.61633333333333	-1.47966666666667	-1.673	-1.689	-4.9735	-2.01166666666667	0.265	-0.495666666666667	-2.09033333333333	-1.47333333333333	-1.281	-1.7685	-1.961	-2.0785	-2.7455	-1.742	-2.0455	-1.8115	-0.002	-0.075	0.0595	-0.0425	-0.2645	0.27	0.0396666666666667	0.200333333333333	-2.388	0.126	-0.5465	0.289	-0.111	-0.331	-0.188	-2.2465	-1.5945	0.3625	-0.29	-2.799	0.208
"YPL273W"	-1.992	-2.0635	-2.2005	-1.7945	-2.3665	-2.375	-0.877	-1.257	-1.622	-3.42133333333333	-2.60833333333333	-2.705	-3.722	-5.69966666666667	-1.294	0.123333333333333	-0.313666666666667	-2.94366666666667	-2.86466666666667	-2.69266666666667	-2.8035	-2.088	-2.4545	-3.2755	-2.794	-3.21	-3.3575	0.2515	0.126	0.0235	-0.6685	-0.213	0.504666666666667	0.00766666666666667	0.228333333333333	-2.24	0.282	-0.215	-0.585	-0.354	0.116	-0.081	-1.883	-1.961	-0.116	-0.167	-3.012	-0.078
"YPR010C"	-3.225	-2.949	-2.887	-3.0415	-3.3095	-3.049	-2.113	-0.1445	-1.1405	-2.19933333333333	-1.686	-2.02033333333333	-1.86833333333333	-3.425	-1.76166666666667	-0.031	0.426	-1.99066666666667	-2.13833333333333	-1.50933333333333	-1.991	-1.6105	-1.8945	-1.5645	-1.852	-2.158	-2.729	-0.058	-0.1475	-0.0985	0.1175	-0.1275	0.27	0.129666666666667	-0.0433333333333333	-3.0355	-0.024	-0.1145	-0.932	-0.4985	-0.07	0.1315	-2.412	-2.1855	0.67	0.0145	-3.761	-0.103
"YPR110C"	-3.178	-1.98	-3.084	-2.507	-3.52	-3.728	-2.207	-1.742	-1.61	-5.7185	-3.423	-3.2115	-3.662	-6.318	-2.6255	-0.059	0.0175	-3.01	-3.296	-2.285	-3.88	-2.186	-2.175	-2.703	-2.993	-3.212	-3.358	-0.202	-0.125	-0.091	-0.852	-0.469	0.374	0.055	0.1245	-3.168	-0.194	0.128	-0.218	-0.799	-0.149	-0.235	-2.851	-1.853	0.077	-0.214	-3.882	-0.34
"YPR163C"	-2.552	-2.883	-2.832	-2.415	-3.276	-3.939	-1.9175	-2.061	-1.817	-3.6815	-2.265	-2.266	-2.9485	-5.4905	-2.1035	0.2875	-0.2775	-2.5635	-2.469	-2.6395	-3.136	-2.003	-2.05	-2.325	-2.642	-2.895	-2.82	0.274	-0.006	-0.06	-0.31	-0.605	0.3075	-0.4305	-0.2075	-3.572	0.195	0.108	-0.664	-0.325	-0.433	-0.639	-3.506	-3.14	-0.214	0.169	-3.575	-0.155
