	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"116.heat shock 40 min"	"407.heat shock 33 to 37, 20 minutes"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"797.Heat Shock 000 minutes (series 3)"	"800.Heat Shock 015 minutes"	"830.1.5 mM diamide (10 min)"	"854.YPD_6_h_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"990.constant 0.32 mM H2O2 (100 min) redo"	"993.constant 0.32 mM H2O2 (80 min) redo"	"1012.YPD 12 h (25C)"	"4048.0.8M NaCl +FK506 - 30 min"	"4785.29C +1M sorbitol to 33C + 1M sorbitol - 15 min"	"7528.DBYyap1 0.32 mM H2O2 - 20 min"	"7759.Na 30min"	"7760.Na 45min"	"7761.Na 60min"	"7763.Na+FK 30min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"12744.heat shock 17 to 37, 20 minutes"	"14712.Ca 15min (1)"	"14761.Ca 30min (1)"	"14946.Hydrostatic pressure (C2 vs P2)"	"15180.Ca 15min (2)"	"15181.Ca 30min (2)"	"15635.Ca+FK 15min (2)"	"15636.Ca+FK 30min (2)"	"17472.Ca+FK 15min (5)"	"17473.Ca+FK 30min (5)"	"21661..24 mM H2O2- 049 minutes/redo"	"28842.P2Comp 08 hr 48 min Phosphate Batch vs Chemostat Comparison2"	"32253.DBY8778_heat_shock2_15min"	"33772.DBY8778(wt)_stationary_phase_3hours"	"33779.delYPL230w_stationary_phase_5hours"	"34349.wt_hypo_osmotic_shock_16min"	"34350.wt_hypo_osmotic_shock_30min"	"34351.wt_hypo_osmotic_shock_60min"	"34354.delPPT1_hypo_osmotic_shock_15min"	"34355.delPPT1_hypo_osmotic_shock_30min"
"YLR061W"	-1.678	-2.212	-1.602	-0.743	-1.901	-3.322	-3.851	0.696	-1.577	-0.365	-4.925	-6.591	-2.641	-1.703	-3.239	-3.818	-3.021	-0.283	-0.166	-4.326	-0.697	0.068	-1.636	-1.005	-1.456	-0.703	-1.264	-1.889	-1.422	-2.697	-0.651	-0.26	0.216	-0.542	-0.586	-1.111	-1.518	-0.938	-0.516	-1.848	-0.609	-2.529	0.673	-4.004	-0.748	-0.613	-0.449	-0.651	-0.12
"YLR175W"	-4.176	-3.679	-2.134	-1.829	-3.07	-4.552	-4.902	1.12	-4.195	-1.304	-5.607	-5.468	-3.43	-2.275	-3.996	-3.068	-3.13	0.049	-0.463	-4.678	-1.253	-0.59	-1.896	-1.022	-2.188	-1.419	-0.552	-1.892	-1.798	-4.431	-2.55	-1.317	1.06	-2.519	-1.543	-2.435	-1.018	-2.326	-0.22	-1.796	-0.234	-4.177	-0.098	-4.338	-0.15	-0.022	-0.094	-0.003	-0.09
"YLR196W"	-5.425	-5.04	-1.973	-2.108	-3.221	-4.896	-4.532	1.059	-3.946	-1.792	-5.083	-5.836	-2.118	-2.001	-2.858	-2.859	-1.799	-0.446	0.045	-4.378	-2.107	-1.266	-1.581	-1.656	-2.793	-1.956	-1.326	-2.637	-2.454	-5.097	-1.034	-1.483	0.687	-2.435	-1.58	-2.536	-1.726	-1.995	-1.752	0.069	-0.441	-3.697	-0.452	-3.658	-0.202	-0.495	-0.74	0.066	-0.536
"YLR197W"	-4.98	-4.044	-2.606	-1.636	-3.638	-4.76	-5.179	1.224	-3.466	-1.149	-5.817	-5.242	-3.387	-1.811	-3.899	-3.238	-3.258	0.029	0.319	-5.671	-0.987	-0.419	-1.423	-0.92	-2.28	-1.776	-0.4	-1.768	-2.254	-5.072	-2.537	-1.484	1.062	-2.659	-1.783	-2.715	-1.25	-1.851	-0.691	NaN	-0.418	-4.496	-0.449	-4.545	0.549	-0.03	0.025	0.102	0.069
"YLR198C"	-4.57	-4.694	-2.132	-1.876	-3.371	-4.643	-4.805	0.338	-3.07	-0.881	-5.143	-3.401	-3.057	-1.956	-3.471	-3.106	-2.998	-0.328	0.457	-5.282	-0.627	-0.282	-1.384	-0.678	-2.026	-0.791	0.019	-1.502	-2.042	-4.143	-2.99	-2.002	1.038	-3.258	-1.912	-2.61	-1.654	-3.295	-2.094	-0.845	-0.292	-3.4	-0.039	-3.761	0.595	0.171	-0.138	0.074	-0.015
"YLR221C"	-3.146	-2.286	NaN	-1.074	-2.172	-2.998	-2.528	0.757	-1.949	-1.239	-2.998	-1.577	-1.622	-1.374	-1.591	-0.902	-1.508	0.167	0.043	-2.27	-1.338	-0.732	-1.365	-1.486	-2.46	-2.021	-1.05	-2.325	-2.724	-3.231	-1.987	-1.152	-0.184	-1.88	-1.476	-1.972	-0.67	-2.299	-0.875	-0.715	0.331	-3.034	-0.039	-3.361	-0.16	-0.336	-0.335	-0.311	-0.261
"YLR222C"	-6.055	-4.292	-1.314	-2.32	-2.648	-4.709	-3.682	1.054	-2.852	-1.853	-4.423	-4.745	-2.391	-1.818	-2.384	-2.21	-1.343	0.461	0.216	-3.785	-2.189	-1.107	-2.095	-1.808	-1.949	-1.181	-1.681	-1.55	-1.389	-4.667	-2.37	-1.345	0.359	-2.016	-1.154	-2.471	-0.964	-1.496	-0.192	-1.681	0.458	-1.806	0.239	-1.727	-0.18	-0.178	-0.466	-0.214	-0.229
"YLR250W"	1.055	0.804	0.588	1.082	0.948	0.928	0.906	-0.225	0.553	1.038	1.149	-2.016	0.894	0.847	0.579	0.778	-0.062	0.336	0.22	1.217	0.206	0.806	0.774	-0.24	0.007	0.219	-0.068	0.109	0.299	0.644	1.322	1.192	0.126	0.785	1.303	1.261	1.034	0.187	0.089	-0.01	-0.221	-0.069	0.476	1.328	0.212	0.115	0.233	0.392	-0.046
"YML024W"	-1.177	-2.033	-1.775	-0.343	-2.347	-3.361	-3.373	0.975	-1.0	0.267	-3.616	-4.621	-2.278	-1.809	-3.523	-3.666	-3.004	-0.003	-0.263	-3.455	-1.385	0.009	-0.975	-1.567	-2.106	-1.671	-1.066	-1.567	-2.011	-3.024	-0.535	-0.318	-0.182	-0.58	-1.014	-0.065	-1.166	-1.206	-0.195	-1.156	0.202	-2.692	0.242	-2.891	-0.202	0.613	0.19	0.151	0.381
"YMR131C"	-4.819	-4.183	-2.431	-1.969	-3.849	-4.525	-4.347	0.972	-3.041	-1.061	-5.631	-6.665	-3.153	-2.016	-3.547	-2.98	1.316	0.207	0.036	-4.277	-2.232	-0.245	-1.198	-2.0	-3.012	-2.205	-1.855	-2.522	-2.8	-4.674	-2.526	-1.638	0.435	-2.228	-1.145	-2.286	-0.725	-1.937	-0.489	-1.915	-0.076	-3.866	0.023	-4.181	-0.204	-0.288	-0.536	-0.448	-0.319
"YMR142C"	-2.549	-1.964	-1.472	-0.527	-2.064	-3.395	-3.688	1.125	-0.862	0.397	-3.579	-6.693	-2.458	-1.356	-3.048	-3.849	-3.197	0.442	-0.09	-4.4	-0.897	0.277	-1.078	-1.401	-2.156	-1.564	-1.0	-2.0	-2.02	-3.22	-0.535	-0.44	0.392	-0.717	-0.372	-0.488	-0.372	-0.653	-0.398	-1.07	-0.349	-2.173	-0.265	-4.039	0.033	0.115	0.155	-0.179	0.045
"YMR143W"	-1.513	-2.24	-1.637	-0.593	-2.096	-3.145	-3.327	0.76	-1.035	0.169	-3.748	-4.466	-2.848	-1.867	-3.563	-3.61	-3.657	0.306	0.04	-4.401	-1.073	0.008	-0.904	-1.396	-2.014	-1.259	-1.318	-1.828	-1.89	-2.631	-1.414	-0.793	0.37	-1.286	-0.823	-0.777	-0.394	-1.197	-0.491	-1.714	1.465	-2.781	-0.699	-4.75	0.248	0.248	0.307	0.296	0.333
"YMR242C"	-2.278	-2.539	-1.544	-0.588	-1.639	-3.309	-3.708	1.294	-1.705	0.231	-4.702	-6.226	-2.432	-2.004	-3.832	-4.338	-3.636	0.022	-0.25	-4.84	-1.524	-0.057	-1.126	-2.03	-2.598	-2.072	-1.85	-2.755	-2.478	-3.054	-0.626	-0.597	0.46	-0.706	-0.417	-0.373	-0.363	-0.522	-0.02	-1.163	-0.044	-2.43	0.303	-4.607	0.17	0.084	0.248	-0.086	0.168
"YMR290C"	-3.64	-3.689	-2.627	-1.56	-2.957	-3.89	-3.624	1.098	-2.19	-1.482	-5.132	-5.217	-3.458	-3.017	-3.243	-3.378	-2.625	0.246	-0.12	-4.614	-2.059	-0.749	-1.658	-1.983	-2.885	-2.633	-1.836	-2.648	-2.383	-4.129	-2.521	-2.08	1.064	-2.513	-2.49	-1.971	-0.56	-2.171	-1.13	-1.523	0.573	-4.343	-0.591	-4.544	-0.41	-0.49	-0.543	-0.357	-0.502
"YNL002C"	-4.666	-4.07	-1.784	-2.094	-3.305	-4.559	-4.222	1.119	-3.653	-1.685	-5.196	-3.468	-2.839	-1.894	-3.072	-2.59	-2.178	-0.547	0.131	-3.426	-1.603	-1.402	-1.829	-1.398	-2.774	-1.803	-1.355	-2.843	-2.776	-4.603	-2.334	-1.705	0.318	-2.612	-1.696	-1.375	-0.585	-2.639	-1.098	-2.496	-0.277	-3.481	-0.517	-4.466	-0.281	-0.516	-0.561	-0.319	-0.32
"YNL061W"	-4.928	-3.927	-1.543	-1.752	-4.143	-4.404	-3.948	0.976	-2.724	-1.745	-4.329	-4.27	-2.724	-1.459	-2.519	-2.417	-1.876	-0.114	-0.448	-3.268	-2.327	-0.954	-1.324	-1.7	-2.599	-1.44	-1.586	-2.111	-2.07	-5.38	-2.816	-1.925	0.998	-2.646	-1.72	-2.079	-1.136	-2.95	-1.78	-0.767	-0.122	-3.925	-0.46	-2.571	0.557	-0.044	-0.107	0.015	-0.192
"YNL062C"	-3.459	-2.934	-1.18	-0.927	-2.143	-3.093	-2.844	0.774	-1.873	-1.303	-4.157	-6.263	-2.538	-1.298	-2.304	-2.254	-1.829	0.159	-0.4	-2.028	-1.123	-0.88	-1.131	-0.856	-1.772	-1.297	-0.904	-1.751	-1.657	-2.71	-1.877	-1.389	0.33	-1.999	-1.567	-1.761	-0.795	-2.052	-0.76	-0.432	0.679	-4.112	-0.607	-2.838	-0.027	-0.422	-0.546	-0.487	-0.688
"YNL067W"	-2.389	-2.348	-1.571	-0.601	-2.563	-3.335	-3.738	0.859	-1.353	0.437	-4.019	-5.731	-2.532	-1.822	-2.866	-3.241	-2.399	0.276	0.093	-4.131	-0.814	0.252	-1.08	-1.4	-2.232	-1.859	-0.753	-2.17	-2.392	-3.16	-1.324	-1.233	0.479	-1.318	-0.91	-0.252	-0.161	-1.008	-0.28	-1.702	-0.284	-2.636	0.425	-3.107	-0.291	0.032	0.127	0.011	0.02
"YNL069C"	-1.415	-1.976	-1.761	-0.518	-1.954	-2.865	-3.347	0.906	-0.811	0.249	-3.663	-4.824	-2.585	-1.785	-3.44	-3.85	-3.199	0.059	-0.315	-4.269	-0.85	-0.11	-1.23	-1.054	-1.666	-1.263	-0.724	-1.779	-1.689	-2.91	-0.821	-0.629	0.503	-0.593	-0.265	-0.452	-0.017	-0.802	-0.623	-1.664	-0.498	-2.543	0.469	-3.741	0.124	0.151	0.187	-0.12	0.323
"YNL110C"	-4.43	-3.64	-2.443	-1.669	-3.768	-4.56	-4.991	1.189	-3.311	-2.042	-5.108	-3.296	-1.641	-1.55	-2.565	-1.986	-1.679	0.117	-0.092	-4.151	-2.56	-1.452	-1.665	-2.395	-3.662	-2.623	-2.07	-3.62	-3.346	-5.064	-2.547	-1.305	0.074	-2.308	-1.719	-2.18	-0.699	-2.701	-1.048	-0.986	0.551	-4.907	-0.012	-4.747	0.185	-0.272	-0.465	-0.245	-0.112
"YNL174W"	-5.157	-4.699	-1.913	-2.362	-4.233	-5.579	-4.714	0.772	-3.024	-1.64	-5.141	-4.409	-3.149	-0.505	-2.319	-2.439	-1.875	-0.066	0.1	-4.372	-0.842	-0.577	-1.498	-0.751	-2.4	-2.57	-0.803	-2.392	-2.87	-5.426	-2.751	-1.716	0.476	-3.06	-2.425	-2.201	-0.759	-2.499	-0.9	-2.225	-0.098	-3.76	-0.643	-3.816	0.051	-0.315	-0.47	-0.1	-0.253
"YNL175C"	-5.334	-4.901	-2.739	-1.351	-4.11	-4.362	-3.931	0.899	-2.77	-1.431	-4.877	-6.011	-3.06	-1.179	-2.575	-2.601	-2.327	-0.215	0.14	-4.587	-0.819	-0.42	-1.041	-0.767	-0.83	-2.557	-0.486	-2.034	-2.654	-5.147	-3.176	-2.131	0.791	-3.247	-1.703	-2.569	-0.986	-2.751	-0.698	-2.294	0.331	-2.388	-0.4345	-2.5475	-0.543	-0.0895	-0.45	0.0085	-0.2745
"YNL182C"	-6.33	-4.05	-1.434	-1.675	-2.807	-4.805	-3.807	1.115	-2.573	-2.13	-4.184	-2.532	-2.39	-2.37	-2.667	-2.624	-1.625	0.079	0.055	-3.931	-2.435	-1.683	-2.108	-1.884	-2.324	-1.727	-1.795	-2.106	-1.685	-4.61	-2.723	-1.785	0.558	-2.68	-1.814	-2.335	-0.765	-2.586	-0.964	-1.779	0.498	-3.082	-0.2	-3.607	-0.347	-0.712	-0.632	-0.232	-0.525
"YNR018W"	-0.414	-0.406	-0.473	-0.325	-0.794	-0.35	-0.458	0.4215	0.194	-0.099	-0.074	-2.4725	-0.049	-0.0795	-0.6775	-0.4755	0.7645	0.282	-0.172	-0.114	-1.425	0.302	-0.66	-1.334	-1.545	-1.257	-1.579	-1.853	-1.897	-0.883	-0.366	-0.809	0.336	-0.355	-0.014	-0.743	-0.565	-0.269	-0.658	-0.598	-0.601	-0.796	-0.045	-0.797	-0.268	-0.375	-0.197	-0.306	0.013
"YOR145C"	-3.98	-3.795	-1.872	-1.583	-2.871	-3.492	-3.402	1.288	-2.2695	-1.668	-4.1305	-3.4715	-1.3615	-2.307	-2.7235	-1.903	-1.5745	0.096	-0.306	-0.787	-2.247	-1.434	-1.641	-2.0	-2.938	-1.588	-2.187	-3.287	-2.536	-3.948	-3.1	-1.562	0.608	-2.784	-2.05	-2.785	-0.357	-3.41	-1.485	-1.453	0.204	-3.644	-0.592	-4.493	0.072	-0.286	-0.145	-0.212	-0.178
"YOR206W"	-5.087	-3.702	-2.15	-1.66	-3.585	-5.083	-4.513	0.951	-3.849	-1.977	-5.827	-6.4785	-2.919	-1.049	-3.1625	-1.9445	-2.2495	0.133	-0.18	-3.888	-2.465	-1.407	-1.355	-2.438	-3.65	-2.191	-1.944	-2.398	-2.168	-5.066	-2.957	-1.76	0.54	-3.013	-1.528	-2.89	-1.103	-2.693	-0.595	-2.256	-0.693	-3.839	-0.108	-4.817	-0.396	-0.287	-0.454	-0.285	-0.273
"YOR243C"	-3.594	-3.234	-2.239	-0.62	-2.436	-3.633	-3.982	1.2455	-2.5655	-1.209	-3.8055	-4.3935	-1.9265	-2.119	-2.588	-2.1815	-1.6325	0.204	-0.247	-3.635	-2.009	-0.774	-1.763	-1.837	-1.872	-1.457	-1.498	-1.652	-1.335	-4.099	-1.65	-1.367	0.837	-1.815	-1.539	-1.514	-1.083	-1.028	-0.203	-1.394	-0.268	-2.845	-0.288	-2.825	-0.124	-0.023	0.011	0.149	-0.106
"YOR293W"	-2.282	-2.435	-1.765	-0.437	-2.205	-3.618	-3.854	0.753	-1.692	0.214	-4.155	-4.496	-2.907	-2.2545	-3.442	-3.1085	-3.0195	-0.016	-0.191	-4.233	-1.529	0.064	-1.394	-2.072	-2.613	-1.918	-1.397	-2.238	-2.131	-3.151	-0.685	-0.456	-0.468	-0.473	-0.827	-0.981	-0.685	-1.368	-0.95	-1.29	-0.157	-3.047	-0.141	-3.853	-0.132	-0.46	-0.225	-0.265	-0.279
"YOR309C"	-4.991	-4.328	-1.906	-2.537	-3.697	-5.523	-5.514	0.8	-3.838	-1.218	-6.798	-6.859	-3.07	-2.054	-3.709	-3.9105	-3.8235	0.292	0.003	-5.839	-0.857	-0.64	-1.615	-0.771	-2.396	-1.481	-0.517	-1.875	-2.034	-4.939	-3.13	-1.903	0.52	-3.264	-1.846	-3.161	-0.979	-3.189	-1.409	-2.004	-1.291	-2.102	-0.509	-4.097	0.194	0.126	-0.125	0.154	0.213
"YOR312C"	-2.426	-2.612	-1.832	-1.038	-1.995	-2.723	-3.7	0.9475	-1.2165	0.151	-3.8645	-4.8175	-2.4995	-2.054	-2.99	-3.177	-3.0	0.187	-0.155	-4.638	-1.537	0.289	-1.207	-1.709	-2.549	-1.732	-1.545	-2.5	-2.243	-2.873	-0.627	-0.571	0.369	-1.221	-0.342	-0.745	-0.635	-1.078	-0.62	-0.712	0.351	-3.057	0.2	-4.531	-0.045	-0.1	-0.048	-0.355	-0.341
"YPL090C"	-2.294	-2.09	-1.812	-0.801	-2.497	-3.529	-3.965	0.9415	-1.289	0.424	-3.9615	-6.197	-2.01	-1.463	-3.398	-3.223	-3.3795	0.379	0.027	-5.307	-1.418	0.439	-0.845	-2.093	-2.805	-2.023	-1.131	-1.985	-1.805	-3.272	-0.692	-0.43	0.232	-0.595	-0.31	-0.679	-0.123	-0.443	-1.019	-0.93	-1.601	-2.536	-0.883	-4.101	0.268	0.085	0.033	-0.193	0.173
"YPL142C"	-1.892	-1.932	-1.577	-0.317	-2.625	-2.913	-3.225	1.009	-0.8	0.403	-3.1395	-5.604	-2.427	-2.088	-2.825	-3.3035	-2.8235	-0.161	-0.352	-4.155	-0.63	0.256	-0.981	-1.263	-1.852	-1.366	-0.847	-1.839	-2.009	-3.034	-0.802	-0.422	0.937	-0.383	-0.3	-0.626	-0.216	-1.032	-0.69	-1.507	0.294	-2.333	0.314	-3.677	0.093	0.043	0.053	-0.032	0.199
"YPL198W"	-1.974	-1.747	-1.674	-0.267	-2.023	-3.084	-3.342	0.968	-1.118	0.1755	-4.269	-6.879	-2.7345	-1.632	-3.4825	-3.3185	-3.022	0.103	-0.163	-3.875	-0.849	0.281	-1.119	-1.095	-2.043	-1.497	-1.242	-1.951	-2.099	-2.581	-1.314	-0.427	0.495	-0.912	-0.011	-1.104	-0.157	-1.418	-0.392	-1.105	-0.832	-2.3655	-0.549	-3.4955	0.594	0.4195	0.3165	0.165	0.4225
"YPL266W"	-3.981	-3.222	-1.605	-1.233	-2.968	-3.585	-3.063	1.17	-2.4965	-0.843	-4.1135	-3.1595	-2.162	-1.4815	-3.267	-2.3995	-1.8745	-0.125	0.327	-2.099	-1.362	-0.26	-0.987	-1.376	-2.134	-2.032	-1.074	-2.001	-2.596	-3.636	-1.773	-1.075	0.297	-2.344	-1.126	-2.118	-0.428	-1.57	-1.553	-1.084	-0.121	-4.813	-0.458	-4.271	-0.464	-0.334	-0.208	0.034	-0.125
"YPR110C"	-3.178	-3.084	-1.217	-1.163	-2.507	-3.52	-3.728	0.986	-2.207	-0.888	-5.7185	-6.318	-2.6255	-1.862	-3.01	-3.296	-2.285	0.055	0.001	-3.88	-1.308	-0.409	-1.053	-1.719	-2.308	-1.703	-1.435	-2.158	-2.174	-3.168	-1.628	-0.902	0.106	-1.899	-1.179	-2.04	-0.589	-1.598	-0.404	-1.175	-0.335	-3.436	-0.149	-3.882	-0.31	-0.477	-0.491	-0.157	-0.244
"YPR123C"	1.025	0.83	0.278	-0.408	0.175	0.923	0.705	-0.5645	0.584	0.561	2.577	-2.389	-0.49	-0.703	0.165	0.5245	0.7595	0.672	0.248	0.33	-2.736	0.338	-0.437	-2.429	-3.416	-3.835	-2.043	-1.723	-1.959	1.028	-0.746	-0.91	-0.271	-0.672	-0.758	-0.988	-1.014	-0.853	-1.21	0.342	0.116	-0.301	-0.191	-0.021	0.19	0.256	0.483	-0.327	-0.642
"YPR142C"	-3.13	-2.475	-1.287	-1.59	-1.934	-3.21	-3.322	0.989	-1.2285	-1.8355	-2.3555	-3.138	-1.3705	-1.607	-2.0655	-1.2365	-0.927	-0.126	-0.645	-2.665	-0.841	-1.076	-1.858	-0.961	-1.649	-1.478	-0.227	-1.528	-1.714	-3.649	-1.43	-0.945	0.278	-1.515	-1.453	-1.717	-0.963	-1.217	-0.386	0.336	-0.016	-1.951	-0.01	-1.825	-0.192	-0.474	-0.539	-0.275	-0.34
