	"52.Elutriation2:Sample2:Time1.5hrs"	"86.cdc15 250 min"	"405.W303a vs GZY45-15c"	"812.1M sorbitol - 45 min (* centrifugation problem)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"989.constant 0.32 mM H2O2 (10 min) redo"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1257.mec1_plus_gamma_120_min"	"1309.diauxic shift timecourse: 18.5 hr"	"1313.diauxic shift timecourse: 20.5 hr"	"1679.Elutriation2:Sample2:Time6.0hrs"	"2144.heat shock 37 to 37, 30 minutes"	"4872.1M sorbitol - 60 min"	"4874.1M sorbitol - 90 min"	"6344.DES460 + 0.02% MMS - 5 min"	"6824.Sporulation t0"	"7985.cdc47-1 ts grown at 34C versus 37C"	"8291.wt+pRS315 vs. wt+pRS-MCM7"	"11466.yO1 test hyb"	"12732.Nitrogen Depletion 4 h"	"12739.Nitrogen Depletion 30 min."	"12741.Nitrogen Depletion 1 h"	"13057.wt/crz1 Na 30min (1)"	"13058.wt/crz1 Na 30min (2)"	"13059.wt/crz1 Na 45min (1)"	"13060.wt/crz1 Na 45min (2)"	"16338.DES460 vs. DES460 YPD log phase control"	"16514.DES genomic DNA vs. MHY26 (dun1) genomic DNA (correct version)"	"27098.P1Comp 13 hr 15 min Phosphate Batch vs Chemostat Comparison"	"27099.P1Comp 15 hr 0 min Phosphate Batch vs Chemostat Comparison"	"30319.usv1("	"32628.S1Comp 12 hr 57 min Sulfate Batch vs Chemostat Comparison"	"32629.S1Comp 15 hr 20 min Sulfate Batch vs Chemostat Comparison"	"32630.S1Comp 18 hr 00 min Sulfate Batch vs Chemostat Comparison"	"32631.S1Comp 20 hr 10 min Sulfate Batch vs Chemostat Comparison"	"32632.S1Comp 22 hr 05 min Sulfate Batch vs Chemostat Comparison"	"32633.S1Comp 24 hr 10 min Sulfate Batch vs Chemostat Comparison"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34351.wt_hypo_osmotic_shock_60min"	"34365.batch 02X25 6"	"34368.batch 02X25 7"	"34882.S4Comp 13 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34883.S4Comp 14 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34884.S4Comp 15 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34885.S4Comp 34 hr 20 min Sulfate Batch vs Chemostat Comparison"
"YKR049C"	-0.009	-0.124	0.267	0.27	3.555	2.854	3.364	0.882	1.824	1.995	2.234	2.243	1.215	0.713	1.224	1.151	1.021	1.024	1.504	0.0	1.536	0.577	0.656	0.093	-0.126	0.199	-0.177	0.333	-0.35	-0.397	2.423	-0.01	0.245	0.255	0.099	0.07	-0.122	-0.197	0.039	0.456	0.378	0.76	-0.264	1.594	3.5	3.183	1.668	2.026	2.527	3.364	3.734	2.665	3.098	3.224	2.542	3.696	-0.209	3.24	1.172	2.036	2.565	2.488	2.003
"YLL027W"	0.199	0.037	0.022	-0.339	1.043	1.93	1.734	1.425	1.493	2.08	1.03	1.238	1.253	-0.814	1.252	1.264	1.344	1.09	0.931	0.16	0.662	1.113	-0.096	-0.196	-0.038	0.148	-0.114	-0.295	1.451	0.03	1.003	-0.119	0.35	0.807	-0.321	-0.132	0.185	0.243	-0.264	0.588	0.004	0.727	0.411	0.956	1.474	1.624	1.221	1.792	1.962	2.361	1.569	1.436	0.915	1.717	2.031	1.96	-0.18	1.984	1.81	0.313	0.533	0.394	0.6
"YLL056C"	0.23	NaN	-0.314	-0.005	1.224	0.963	1.573	1.698	1.624	2.137	0.956	1.055	1.298	0.731	1.017	1.396	1.478	1.672	1.402	0.397	0.75	0.862	-0.914	-0.205	0.182	0.197	-0.258	0.111	0.164	-0.2	1.61	-0.156	-0.396	-0.03	-0.072	0.188	0.132	0.077	0.23	0.238	0.28	0.333	0.131	1.416	2.647	2.464	2.995	3.139	2.379	1.336	1.984	2.499	0.93	1.808	1.334	1.469	-0.318	2.117	0.929	1.999	1.771	2.195	2.458
"YLR031W"	-0.0195	-0.1	-0.135	0.355	0.936	0.824	1.0705	2.546	0.9545	0.586	0.55	1.2285	0.708	0.7525	0.8075	1.2985	1.9945	0.6415	0.8595	-0.3005	0.188	0.164	-0.559	-0.023	-0.2195	0.117	-0.053	0.109	-0.2335	-0.332	1.497	-0.0325	-0.3705	-0.00549999999999999	-0.2535	0.1005	0.1255	0.13	-0.0535	-0.1005	0.853	0.808	0.049	2.142	2.851	2.281	1.223	1.521	0.765	1.067	1.501	1.505	1.882	1.321	1.013	1.541	0.002	2.101	2.189	2.648	2.687	2.102	2.393
"YLR060W"	0.258	-0.014	0.261	-0.118	-3.165	-2.617	-2.296	-2.499	-2.849	-4.941	-1.988	-2.672	-2.566	-0.232	-1.546	-2.397	-2.667	-3.118	-3.713	0.181	-1.062	-1.817	0.354	-0.334	-0.212	-0.082	0.076	0.144	0.795	0.285	-2.464	-0.295	-0.624	-0.589	0.203	-0.692	-0.058	-0.301	-0.194	0.393	0.051	-0.518	0.198	-3.176	-3.593	-3.552	-3.204	-4.441	-3.498	-2.734	-2.666	-1.403	-2.64	-2.996	-2.646	-3.346	-0.069	-2.55	-2.175	-2.049	-1.932	-1.31	-1.459
"YLR084C"	-0.904	-0.527	-0.338	NaN	-1.276	-0.878	-1.246	-2.131	-1.153	-3.113	-0.488	-1.141	-1.22	-0.167	NaN	-1.138	-1.616	NaN	0.71	-0.866	-1.094	-0.823	0.03	0.285	NaN	NaN	-0.012	0.081	-0.367	-0.061	-0.243	NaN	-0.794	NaN	0.009	0.4	0.058	0.08	0.275	0.266	0.725	0.446	0.183	-2.012	-2.793	-1.287	-2.031	-2.416	-1.889	-2.293	-2.127	-3.392	-2.067	-2.201	-1.204	-2.582	0.244	-0.43	-0.157	-2.005	-2.311	-1.258	-3.027
"YLR175W"	0.234	-0.399	-0.317	-0.548	-5.607	-3.276	-2.657	-2.484	-3.068	-3.401	-3.068	-3.13	-3.152	-0.37	-2.413	-2.762	-3.408	-3.701	-4.364	-0.182	-1.355	-1.941	-0.889	0.171	0.21	0.163	-0.038	-0.029	-0.287	0.609	-2.422	0.496	-3.065	-1.769	0.912	0.773	0.276	0.202	-0.378	0.037	-0.782	-1.744	0.071	-3.558	-5.174	-4.349	-4.036	-4.782	-3.935	-3.995	-3.16	-1.549	-4.338	-2.959	-2.455	-2.526	-0.094	-3.796	-2.767	-1.757	-1.996	-2.024	-1.813
"YLR311C"	0.066	-1.842	0.424	0.489	3.535	3.882	3.277	3.765	2.811	3.182	2.026	2.73	2.447	0.605	1.807	2.447	3.128	3.92	3.702	-0.2	1.47	2.503	-0.446	-0.321	-0.012	0.121	-0.083	0.332	0.114	-0.009	-0.359	0.159	0.361	0.499	-0.022	0.319	0.21	0.233	0.024	-0.681	0.493	0.463	0.219	1.852	2.311	2.919	2.874	2.312	0.775	3.194	4.272	2.736	3.89	4.89	3.742	4.728	-0.141	1.105	1.16	2.174	1.747	2.395	2.926
"YLR372W"	-0.549	-0.694	0.017	-0.493	-4.565	-3.104	-2.432	-2.818	-3.001	-2.731	-2.683	-2.643	2.656	-0.052	-2.106	-2.838	-3.773	-2.844	-3.456	-0.277	-1.143	-1.677	-0.729	0.133	-0.081	0.043	-0.066	0.01	-1.062	-0.07	-2.188	-0.007	-2.172	-1.313	0.487	0.333	0.238	0.236	-0.016	0.258	-1.325	-1.193	0.556	-1.486	-3.36	-2.724	-2.645	-2.943	-3.321	-3.386	-2.674	-2.156	-3.936	-3.603	-2.623	-3.925	-0.216	-3.718	-3.155	-3.571	-3.791	-3.13	-3.907
"YMR011W"	-0.221	-0.291	NaN	-0.265	-2.477	-3.381	-3.525	-3.206	NaN	-2.802	3.052	2.407	1.878	-1.336	-2.986	-2.517	-3.183	-2.255	-2.278	-0.812	-1.142	-0.99	0.1965	0.454	-0.734	-0.226	NaN	-0.142	-0.663	1.211	-0.807	-0.417	-0.388	0.294	-0.044	0.079	0.051	0.041	0.26	0.432	0.111	0.709	0.187	-2.703	-3.266	-3.589	-2.781	-3.697	-2.516	-2.882	-3.146	-3.826	-2.874	-3.37	-3.623	-2.776	-0.103	-3.64	-3.617	-3.018	-3.578	-3.453	-2.54
"YMR118C"	0.225	-0.496	0.328	0.064	1.566	2.237	3.914	5.005	4.013	3.37	2.062	3.038	3.051	0.269	2.637	3.669	3.896	3.917	3.997	-0.166	1.266	2.03	0.226	0.036	0.145	-0.014	0.039	0.188	0.639	0.24	4.034	-0.176	0.053	-0.007	0.462	0.021	0.444	0.473	0.18	-0.148	1.907	1.996	-0.266	1.292	1.493	2.582	4.185	3.698	2.181	1.914	3.07	3.019	1.55	3.693	1.817	3.974	-0.161	3.018	3.073	1.253	1.639	3.599	3.793
"YMR305C"	-0.793	-0.13	0.773	0.222	-3.802	-1.387	-1.439	-1.962	-1.885	-2.654	-2.213	-2.926	-3.562	0.07	-0.784	-1.607	-2.906	-1.996	-3.198	-0.007	-1.382	-1.276	-1.101	0.017	0.336	-0.276	0.136	-0.64	-1.038	0.109	-2.024	-0.061	-0.972	-0.314	-0.26	-0.691	-0.126	-0.293	-0.045	-0.257	-1.651	-1.655	0.71	-4.075	-4.224	-4.273	-3.547	-4.129	-4.786	-3.465	-1.982	-2.017	-3.526	-2.134	-1.791	-3.103	0.274	-1.805	-2.114	-3.949	-3.745	-2.987	-3.223
"YMR307W"	0.027	-0.457	0.251	0.194	-2.669	-1.341	-1.909	-3.74	-1.803	-5.132	-2.482	-3.284	-3.878	0.387	-1.413	-2.493	-3.39	-4.432	-5.016	-0.113	-0.845	-0.911	-0.646	0.046	0.827	0.245	0.095	-0.13	-0.67	NaN	-3.1665	-0.054	-1.093	-0.695	0.141	-0.307	0.012	0.138	-0.079	-0.142	-1.712	-1.807	0.331	-3.757	-3.663	-3.702	-3.808	-3.826	-4.145	-4.574	-3.18	-2.725	-2.866	-2.995	-1.549	-2.736	0.084	-2.72	-2.29	-4.513	-4.259	-2.398	-3.634
"YMR318C"	0.384	0.236	0.151	0.19	-2.436	-2.298	-2.382	-3.244	-3.511	-3.467	-1.406	-1.826	-1.902	1.76	-1.799	-3.398	-2.822	-2.227	-2.227	-0.005	-1.406	-1.672	-0.049	0.527	0.164	0.326	-0.092	0.08	-0.249	0.222	-1.814	-0.251	0.17	-0.008	-0.041	-0.589	-0.2	-0.22	-0.012	0.463	-0.095	0.38	-0.131	-3.696	-4.061	-3.573	-2.503	-3.591	-2.962	-2.657	-3.304	-2.577	-1.919	-3.653	-1.553	-2.369	-0.026	-2.109	-2.415	-2.479	-2.691	-2.33	-3.285
"YMR322C"	-0.194	-0.491	-0.091	0.053	0.936	0.592	2.074	3.784	2.061	0.946	2.31	3.089	3.419	-0.637	1.468	3.159	2.414	2.736	3.319	0.06	1.883	2.087	NaN	-0.567	0.195	0.262	-0.247	-0.092	0.273	-0.205	2.496	-0.126	-0.133	0.168	-0.376	-0.172	-0.052	-0.21	0.315	0.46	0.569	-0.002	0.099	1.3	2.281	2.668	2.135	1.961	0.423	1.229	1.633	1.355	1.767	2.549	1.193	2.809	-0.513	4.649	3.313	2.764	3.118	2.677	1.991
"YOR186W"	-0.164	-1.004	-0.064	-0.068	4.8495	3.547	3.744	4.6565	3.7125	0.3335	1.669	1.484	1.5165	0.327	2.162	3.506	3.768	3.818	3.185	0.04	1.478	1.378	-0.146	-0.272	0.031	0.115	-0.197	-0.076	0.162	-0.141	2.472	0.063	-0.258	-0.103	0.307	0.345	0.393	0.284	0.446	0.199	0.295	0.32	0.145	2.255	2.945	3.446	2.758	2.5	1.642	2.096	2.322	1.087	2.735	2.392	0.369	2.576	-0.362	3.166	2.787	0.679	3.034	2.16	2.352
"YOR247W"	-1.36	-0.185	-0.696	-0.49	-1.699	-1.371	-1.659	-3.6325	-2.4025	-2.8065	-1.3375	-2.7045	-3.31	-0.323	-1.533	-2.65	-4.168	-2.915	-3.371	0.011	-0.46	-0.861	-0.57	0.116	-0.405	-0.396	0.209	0.065	-1.185	-0.1	-2.712	-0.378	-0.963	-0.829	0.338	0.36	0.517	0.531	-0.44	0.153	-2.684	-1.487	0.297	-3.871	-4.634	-4.884	-4.972	-5.08	-5.703	-2.561	-2.343	-3.41	-2.026	-1.405	-0.851	-3.019	0.968	-1.856	-2.39	-3.847	-3.575	-3.735	-4.847
"YOR248W"	-1.353	0.07	-0.974	-0.553	-1.281	-1.101	-1.017	-3.1655	-1.9565	-2.455	-1.328	-2.5005	-2.522	0.248	-1.441	-2.529	-3.268	-2.03	-3.131	0.253	-0.668	-1.271	-0.297	0.115	-0.434	-0.306	0.121	0.02	-1.172	0.334	-2.535	-0.273	-0.823	-0.826	0.245	0.404	0.211	0.305	-0.351	-0.069	-1.956	-2.502	0.62	-3.384	-3.67	-3.482	-4.659	-4.798	-4.852	-1.721	-1.809	-2.491	-1.797	-1.566	-1.608	-2.576	0.907	-1.815	-2.334	-2.919	-3.558	-4.102	-3.995
"YOR391C"	0.063	-0.531	0.177	0.133	1.3455	1.4135	2.096	3.2805	4.858	3.5995	2.718	2.9945	3.139	0.807	0.937	3.269	3.303	2.476	2.264	0.611	1.71	2.135	-0.467	0.017	0.158	-0.075	-0.487	0.215	-0.044	-0.284	3.298	0.003	0.057	0.07	-0.4	-0.196	-0.176	0.012	-0.121	0.255	0.599	0.628	-0.265	2.292	2.591	2.339	3.455	1.721	2.5	0.722	1.144	1.531	1.89	2.667	1.503	2.728	-0.384	4.425	3.34	2.708	2.971	2.284	1.972
"YPL186C"	0.491	0.303	0.581	0.053	4.53	4.047	4.3765	4.288	4.8665	3.9855	2.8435	3.066	2.4625	0.079	1.76	2.76	2.023	2.83	3.48	0.29	1.967	2.117	0.614	-0.4515	0.206	0.0	0.315	0.06	-0.258	0.201	3.577	-0.204	1.006	-0.454	-0.295	-0.339	-0.586	-0.425	-0.24	-0.334	1.136	1.074	-0.823	2.458	1.666	3.493	2.592	1.709	4.107	3.028	3.716	3.007	3.997	3.587	1.863	4.312	0.094	2.78	1.746	2.283	3.155	3.362	2.602
"YPR074C"	0.764	-0.708	0.404	-0.011	-3.2435	-2.5595	-2.134	-3.2975	-2.2945	-5.337	-2.2005	-3.7185	-4.2955	-0.58	-1.5	-2.351	-3.162	-3.369	-3.61	-0.093	-1.242	-1.261	-0.268	0.3075	-0.227	-0.252	0.099	-0.463	-0.572	0.189	-3.132	-0.208	-1.371	-1.071	-0.241	-1.28	-0.493	-0.229	-0.322	0.016	-0.167	-0.842	0.24	-3.097	-3.071	-1.863	-1.688	-3.316	-2.418	-4.473	-3.729	-1.348	-2.351	-3.123	-1.997	-3.18	-0.085	-2.334	-2.026	-2.835	-3.446	-2.231	-2.642
"YPR127W"	0.463	-0.266	0.521	0.278	2.9265	2.1185	3.008	3.103	2.7765	1.3845	1.2175	1.0135	0.7545	0.254	1.523	3.269	3.256	1.207	0.888	0.146	0.529	0.547	0.277	0.141	-0.082	-0.131	0.03	-0.331	0.127	-0.107	3.102	-0.057	-0.109	-0.503	0.206	0.124	0.308	0.241	-0.19	0.034	1.564	1.725	-0.016	0.685	1.473	2.347	2.805	2.393	2.522	2.993	2.529	3.148	3.19	2.334	2.039	2.319	-0.138	3.336	2.587	0.356	1.137	1.694	1.721
"YPR145W"	0.461	-0.267	0.359	-0.814	-3.263	-1.5905	-1.9485	-2.5015	-0.508	-3.737	-0.8305	-1.2765	-0.775	0.35	-1.892	-2.228	-2.21	-3.369	-3.625	-0.276	-1.585	-1.127	0.31	0.311	-0.442	0.493	0.072	0.517	-0.415	0.377	-2.303	-0.428	1.201	1.095	-0.109	-1.103	-0.745	-0.7	-0.568	0.393	-0.69	-1.382	0.222	-4.032	-3.782	-3.472	-3.473	-3.793	-3.152	-3.325	-2.035	-1.056	-3.779	-1.807	-1.273	-1.223	0.245	-1.968	-0.821	-3.068	-3.87	-2.685	-3.513
