	"106.heat shock 05 min"	"107.heat shock 10 min"	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"584.17 deg growth"	"800.Heat Shock 015 minutes"	"812.1M sorbitol - 45 min (* centrifugation problem)"	"815.1M sorbitol - 15 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"862.Amino acid + adenine starvation 0.5 h"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"1012.YPD 12 h (25C)"	"1155.DY1457 (wild type) 3 mM vs. 10 uM zinc"	"1309.diauxic shift timecourse: 18.5 hr"	"1313.diauxic shift timecourse: 20.5 hr"	"4047.0.8M NaCl +FK506 - 15 min"	"4048.0.8M NaCl +FK506 - 30 min"	"5245.DES459 (mec1) - mock irradiation - 30 min"	"7758.Na 15min"	"7759.Na 30min"	"7760.Na 45min"	"7761.Na 60min"	"7763.Na+FK 30min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"12744.heat shock 17 to 37, 20 minutes"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34348.wt_hypo_osmotic_shock_7min"	"34353.delPPT1_hypo_osmotic_shock_7min"	"34354.delPPT1_hypo_osmotic_shock_15min"	"34355.delPPT1_hypo_osmotic_shock_30min"	"34360.batch 02X25 4"	"34362.batch 02X25 5"	"34365.batch 02X25 6"	"38152.03II01 batch p8"	"38153.03II01 batch p9"	"38154.03II01 batch p10"	"38155.03II01 batch p11"
"YLR149C"	2.798	3.684	4.616	4.196	3.715	4.069	3.872	-1.018	1.445	1.429	3.028	4.105	3.465	3.717	2.715	3.839	3.078	3.191	4.749	0.124	3.172	3.392	1.3	2.949	0.565	0.6	2.647	2.93	2.4	1.68	2.382	2.61	4.23	3.532	2.634	4.245	3.572	3.263	4.717	4.271	2.991	3.931	1.103	0.885	1.018	0.718	2.798	2.879	3.795	2.957	1.855	3.177	2.718
"YLR178C"	3.089	5.463	6.029	5.987	5.265	6.066	5.98	-1.002	1.398	0.889	1.024	5.949	5.421	4.881	3.949	3.516	3.832	3.455	3.6	1.074	3.177	2.411	1.619	3.899	-0.252	1.095	3.187	4.242	4.453	2.758	3.766	4.028	6.29	4.402	3.913	5.407	4.372	3.242	5.3	4.727	3.457	3.71	0.63	0.357	0.718	0.562	4.82	5.256	5.052	-2.35	4.76	4.833	4.465
"YLR193C"	0.632	1.331	1.013	0.885	0.322	0.996	0.939	-1.205	0.119	0.463	0.629	1.755	1.818	1.825	0.58	1.388	0.986	1.35	1.851	-0.183	1.602	1.38	0.108	0.391	-0.447	0.203	0.129	0.098	-0.091	0.336	0.314	0.068	1.288	0.622	0.991	1.516	2.362	1.674	2.205	2.279	2.461	2.092	-0.18	0.04	-0.104	0.077	0.708	1.099	0.828	0.577	1.2	0.79	-1.212
"YML054C"	0.675	1.471	2.266	1.964	1.0	2.272	2.11	-1.345	0.957	0.104	0.707	5.268	4.128	4.968	1.282	4.231	3.189	2.688	5.255	-0.302	2.606	3.39	0.273	1.739	0.01	0.113	1.646	1.728	1.473	0.753	1.0	1.117	3.838	1.948	1.426	4.187	5.343	1.793	5.314	4.811	2.678	3.017	0.086	-0.098	-0.166	0.125	2.777	3.115	2.675	3.873	3.743	4.321	3.474
"YML128C"	3.379	5.766	6.859	6.4	5.43	4.736	4.769	-0.6	1.522	2.986	3.683	4.497	4.007	4.229	3.999	4.137	4.28	4.369	4.504	0.717	3.828	3.824	1.618	4.48	0.014	0.672	3.249	3.623	4.151	2.778	3.393	3.76	5.297	4.573	3.359	5.111	4.729	4.503	5.91	5.407	3.945	5.151	1.675	1.594	1.427	1.117	4.155	4.994	4.05	3.745	3.524	3.891	4.364
"YMR071C"	0.306	0.75	0.392	0.376	0.269	0.667	0.712	-0.262	0.447	-0.028	0.099	1.874	0.555	0.583	0.642	0.312	0.755	0.285	1.317	0.131	0.771	-0.243	0.42	0.119	-0.524	0.166	-0.325	-0.09	0.012	-0.072	-0.213	-0.252	0.259	0.585	0.398	1.258	0.745	0.072	1.058	0.837	0.377	0.347	-0.41	-0.096	-0.237	-0.253	1.045	0.838	0.949	1.367	1.575	0.968	0.686
"YMR110C"	1.319	2.134	2.615	2.414	2.26	2.565	2.824	-0.58	0.902	0.729	1.548	3.925	3.346	3.746	2.145	2.734	2.473	2.516	4.042	0.281	2.401	2.339	0.299	1.765	-0.241	0.213	1.252	1.966	1.767	1.239	1.879	2.022	2.675	2.545	1.675	3.97	4.096	2.779	3.64	3.462	2.896	2.522	0.142	0.034	0.33	0.448	2.152	2.579	2.785	2.488	2.47	2.932	1.855
"YMR114C"	1.108	1.932	1.763	1.556	1.263	1.575	1.334	-0.419	0.669	0.044	0.184	2.727	2.543	2.068	1.71	2.302	2.095	2.582	1.821	-0.082	4.285	1.676	0.302	1.218	-0.7	0.373	0.953	1.179	0.867	0.811	1.037	0.779	1.643	0.782	0.916	2.623	2.896	2.416	2.454	2.753	2.047	2.229	-0.531	-0.618	-0.499	-0.212	1.675	1.873	2.402	0.976	1.198	1.976	1.433
"YMR115W"	-0.012	0.573	0.461	0.08	0.48	0.365	0.441	-0.546	-0.081	-0.126	-0.07	0.755	0.196	0.036	0.397	1.22	0.437	0.768	0.034	-0.247	1.167	1.344	-0.366	0.268	-0.145	-0.088	0.056	0.093	0.124	-0.106	0.232	0.143	0.578	0.547	0.18	1.102	0.832	0.495	0.93	0.755	0.387	0.109	-0.335	-0.015	0.048	0.08	0.758	0.685	1.151	0.401	0.697	1.375	0.966
"YMR170C"	1.631	4.153	5.429	5.057	4.008	5.21	5.684	-1.348	1.391	2.306	-0.233	6.85	2.236	0.522	1.1	3.917	3.8	2.053	4.668	0.902	3.806	2.736	0.869	4.06	0.196	0.297	3.578	4.235	4.323	2.97	3.461	4.144	6.459	4.409	2.648	4.934	4.039	3.912	6.253	4.167	2.972	3.706	0.301	0.45	0.158	0.289	4.253	5.329	5.089	4.258	5.006	5.472	3.751
"YMR206W"	2.124	3.118	3.517	1.91	1.115	1.678	1.726	-0.765	1.232	0.369	0.134	5.096	5.169	3.275	2.55	3.54	4.576	4.842	2.814	-0.893	1.871	2.575	-0.134	0.472	-0.627	0.065	0.641	1.044	0.835	0.408	0.92	1.231	2.805	0.858	0.592	2.638	5.044	2.713	5.241	5.047	3.103	4.036	-0.159	-0.192	-0.126	-0.508	2.251	2.396	2.997	3.437	3.644	2.77	1.052
"YMR250W"	3.291	5.161	6.007	5.491	5.246	5.448	5.563	-1.437	1.403	3.183	3.085	4.705	4.159	3.979	3.37	2.816	2.923	2.601	5.655	0.361	3.373	3.642	1.259	3.727	-0.352	0.656	3.487	4.187	3.663	2.768	3.676	4.128	5.984	4.606	3.471	5.331	5.018	3.436	5.68	4.944	4.024	3.524	1.327	0.728	0.847	0.847	5.241	5.579	6.752	4.48	5.204	6.07	4.1
"YMR264W"	-0.29	0.724	0.319	-0.068	0.027	0.407	0.513	-1.43	0.137	-0.292	-1.012	-0.191	0.279	-0.175	0.058	0.56	0.091	-0.208	0.484	-0.468	0.91	0.725	-0.106	-0.146	-0.722	-0.125	-0.748	-0.779	-0.495	-0.402	-0.897	-0.707	0.83	-0.266	0.105	0.727	0.797	0.298	0.138	0.774	0.246	0.437	-0.003	-0.265	-0.219	-0.188	0.278	0.242	0.135	0.476	1.111	0.415	0.505
"YNL015W"	1.476	2.601	2.433	3.124	2.455	3.302	2.984	-0.591	1.204	0.8	0.629	4.235	4.867	4.844	1.889	2.852	3.342	3.085	2.964	0.546	3.546	2.68	0.326	0.607	-0.52	0.132	0.247	0.907	1.077	0.216	0.532	0.588	3.501	2.636	1.503	2.8	3.339	2.117	2.634	3.327	3.061	2.362	1.23	0.512	0.151	-0.057	2.064	1.5	1.674	1.9	2.493	1.936	2.309
"YNL100W"	0.479	1.52	1.116	0.937	0.882	0.762	0.871	-0.616	0.394	0.455	0.583	2.554	1.745	1.228	0.772	1.946	1.411	1.439	2.194	-0.236	1.576	1.671	-0.141	0.782	-0.64	-0.229	0.231	0.793	0.631	0.182	0.58	0.408	0.874	0.515	0.368	2.7	3.137	1.661	2.761	2.339	1.488	0.83	-0.482	-0.435	-0.334	-0.027	1.282	1.441	0.676	1.138	1.513	1.199	0.526
"YNL122C"	0.308	0.938	0.603	0.482	0.245	0.434	0.399	-0.9	0.262	0.01	-0.202	0.858	1.04	-0.02	0.051	0.766	0.381	-0.026	0.648	-0.093	0.854	0.522	-1.261	-0.647	-0.579	-1.216	-1.308	-0.602	-0.728	-0.849	-0.651	-0.759	0.792	-0.457	-0.068	0.775	0.327	0.535	1.16	0.547	0.174	-0.137	-0.137	-0.195	-0.338	-0.016	0.413	0.263	-0.795	0.908	1.827	1.323	0.254
"YNL266W"	0.155	1.089	0.6	0.437	0.379	0.604	0.823	-0.998	0.097	0.287	-0.211	1.064	0.316	0.929	0.819	1.218	1.387	1.249	0.394	-0.399	1.09	0.906	-0.469	0.134	-0.338	-0.363	-0.318	0.458	0.734	-0.853	0.065	0.065	0.61	0.722	0.7	1.092	0.939	0.953	0.736	0.785	0.202	0.043	0.237	0.123	0.266	0.294	1.245	0.7	1.174	1.157	1.893	1.56	1.311
"YNL315C"	0.008	0.177	0.434	0.379	0.226	0.077	0.272	-0.482	0.025	0.328	0.018	1.293	1.277	1.168	0.017	0.634	0.384	0.629	1.766	0.155	1.315	0.481	-1.173	-0.591	-0.585	-0.693	-0.795	-0.39	-0.345	-0.507	-0.349	-0.385	0.552	0.323	0.084	1.855	1.838	1.878	1.812	1.407	1.628	0.633	-0.07	-0.39	-0.377	-0.18	1.012	0.75	-0.151	1.302	1.645	1.754	0.546
"YOR089C"	0.135	0.956	0.564	0.412	0.876	0.697	0.559	-0.972	1.3765	-0.211	-0.194	0.247	0.134	0.511	1.0725	1.333	1.117	1.3525	0.43	0.14	1.814	1.15	0.173	0.56	-0.486	0.015	0.313	0.474	0.13	0.286	0.041	-0.192	0.711	1.025	0.658	1.261	1.025	1.086	1.108	1.066	0.777	0.826	0.141	0.003	-0.147	-0.143	0.71	0.825	1.479	0.221	0.574	1.055	0.734
"YOR131C"	-0.214	0.801	0.455	0.139	0.197	0.532	0.597	-0.073	0.471	0.082	-0.399	0.125	1.557	0.687	0.118	1.08	0.241	-0.401	-0.404	0.172	0.98	0.403	-0.106	0.258	-0.652	-0.225	-0.262	0.014	-0.198	-0.212	-0.301	-0.429	0.795	0.746	0.512	0.684	0.976	0.683	0.714	0.235	0.479	0.277	-0.096	-0.25	-0.054	0.121	0.989	0.545	0.415	0.253	1.037	0.79	0.695
"YOR215C"	0.27	1.166	1.161	1.458	1.506	1.587	1.413	-0.005	0.4415	0.879	0.209	3.394	2.4755	3.208	1.594	2.579	2.4185	2.5175	2.731	-0.024	3.984	3.319	-0.289	0.352	-0.824	-0.188	-0.224	0.66	0.977	0.092	0.571	0.669	1.702	1.162	1.105	1.972	2.41	2.259	2.944	2.872	1.708	2.688	-0.167	-0.295	-0.201	-0.149	2.119	2.215	2.4	1.22	2.012	1.597	2.529
"YPL031C"	0.506	0.637	1.097	0.408	0.206	0.781	0.667	-1.049	0.288	-0.383	0.267	1.308	0.094	0.453	0.1335	0.937	0.534	0.219	0.052	-0.179	0.863	1.22	-0.263	-0.13	0.093	-0.774	-0.753	-0.496	-0.356	-0.474	-0.454	-0.389	1.102	0.75	0.032	0.866	0.8	-0.253	0.96	1.047	0.401	-0.181	-0.217	-0.035	-0.044	0.061	0.976	1.093	1.089	1.684	2.34	1.296	0.769
"YPL099C"	-0.085	1.245	0.38	0.458	0.29	0.49	0.503	-0.723	0.281	-0.123	0.103	0.7015	0.676	0.7175	0.613	1.016	0.965	0.274	1.095	-0.156	0.959	0.584	-0.362	-0.038	-0.462	-0.616	-0.724	-0.326	-0.448	-0.296	-0.517	-0.62	0.874	0.145	-0.107	0.878	1.254	0.399	0.368	1.022	0.609	0.068	-1.055	-0.399	-0.248	-0.227	0.66	0.951	0.736	1.114	1.905	1.281	0.812
"YPL123C"	1.7	2.039	3.408	2.954	1.795	2.13	2.313	-1.342	1.0335	-0.036	-0.719	3.3745	1.7765	2.981	1.518	2.5935	2.33	0.206	1.639	-0.15	2.486	2.147	-0.498	0.99	0.006	-0.786	0.057	0.865	0.791	0.245	0.189	0.934	3.422	3.01	2.48	2.792	2.65	2.314	3.201	2.71	2.144	2.01	0.168	-0.099	0.23	-0.009	3.156	3.639	4.49	3.379	3.054	3.894	2.059
"YPR099C"	0.246	0.115	0.131	0.574	0.247	0.142	0.294	-0.581	0.0895	0.179	0.087	1.333	1.737	1.547	0.0115	0.1805	0.108	0.307	1.135	-0.134	1.284	0.52	-0.129	-0.178	-0.476	-0.014	-0.681	-0.305	-0.25	-0.385	-0.365	-0.214	0.475	0.144	-0.037	0.864	1.213	0.892	1.155	1.006	1.119	0.41	-0.122	-0.369	-0.442	-0.434	0.551	0.062	-0.771	0.386	0.602	0.724	0.149
"YPR100W"	0.152	0.816	0.185	0.404	0.117	-0.115	0.258	-0.6485	0.2785	0.26	0.191	0.955	0.8	0.9345	-0.063	0.025	-0.5055	-0.0115	1.033	-0.1	1.217	1.066	-0.143	-0.045	-0.521	-0.418	-0.894	-0.59	-0.556	-0.57	-0.86	-0.809	0.612	0.275	0.346	0.914	1.336	1.33	1.299	1.517	1.02	0.111	-0.254	-0.282	-0.196	0.066	1.023	0.712	-0.662	0.398	1.17	0.671	-0.197
"YPR148C"	0.439	0.605	0.308	0.434	0.415	0.54	0.546	-0.8115	0.1795	0.455	0.124	0.9555	0.5855	0.6015	0.487	0.9055	0.6945	0.8235	0.348	-0.089	1.366	1.114	-0.202	0.388	-0.119	-0.179	-0.093	0.339	0.544	0.325	0.575	0.7	0.398	0.088	-0.066	1.248	0.778	0.119	1.344	0.837	0.282	-0.138	0.096	0.031	0.154	0.061	1.13	1.217	1.446	0.744	0.25	1.347	0.772
