	"56.Elutriation2:Sample2:Time3.5hrs"	"57.Elutriation2:Sample2:Time4.0hrs"	"297.Kb vs. Ctrl"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"686.YP ethanol vs reference pool"	"814.DBYmsn2-4- 37degree heat - 20 min"	"825.DY (zap1) 3 mM vs. 61 nM zinc"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"976.wt_plus_gamma_5_min"	"1009.YPD 2 h (25C)"	"1012.YPD 12 h (25C)"	"1155.DY1457 (wild type) 3 mM vs. 10 uM zinc"	"1173.PHO4c vs. wild type"	"2064.Hypo-osmotic shock - 5 min"	"2964.WT vs lpz8 null cells in low Cu-repeat"	"2966.WT vs Lpz8 null cells in high Cu-repeat"	"4784.29C to 33C - 90 min"	"6679.trr - 0.1 mM H2O2 - 10 min"	"6688.trr - 0.3 mM H2O2 - 30 min"	"6824.Sporulation t0"	"7528.DBYyap1 0.32 mM H2O2 - 20 min"	"8247.steady state 36 dec C: y14n095"	"12741.Nitrogen Depletion 1 h"	"12744.heat shock 17 to 37, 20 minutes"	"32250.DBY8778_heat_shock2_0min"	"32253.DBY8778_heat_shock2_15min"	"33414.delKIN82_heat shock _0min_repeat"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"38149.03II01 batch p5"
"YLR186W"	0.581	0.363	0.073	-2.976	-2.122	-0.538	-0.698	1.116	-4.787	-2.844	-2.506	-2.174	-2.346	-4.298	-5.516	-2.004	-3.036	-2.821	-2.007	2.878	-1.523	-0.004	-2.372	0.165	NaN	-0.273	0.161	-0.166	0.086	-0.967	-1.44	0.054	-1.886	-0.194	-1.069	-3.083	-0.686	-2.466	-0.429	-3.381	-2.552	-4.173	-2.896	-1.936	-2.714	0.75
"YLR196W"	0.013	-0.402	0.201	-4.896	-4.532	-0.842	-1.289	1.085	-5.083	-3.01	-3.156	-2.049	-2.276	-4.437	-5.836	-2.118	-2.858	-2.859	-1.799	-1.477	-1.404	0.195	-4.378	0.036	-0.383	0.039	-0.219	-0.273	-0.018	-1.051	-1.159	0.305	-1.581	-0.758	-2.593	-5.097	-0.799	-3.697	-0.753	-2.901	-2.83	-3.658	-2.412	-1.969	-2.265	-0.077
"YLR270W"	-0.357	-0.157	0.386	2.627	2.718	1.092	1.227	-0.222	3.652	2.309	2.746	2.685	2.688	2.756	-0.064	1.834	2.081	1.738	1.277	1.697	1.634	0.182	3.081	0.241	-0.276	0.149	0.147	0.045	0.098	1.246	1.864	0.16	2.369	0.439	1.515	3.272	0.317	2.407	0.419	2.699	2.67	3.716	2.802	1.955	2.213	1.324
"YLR448W"	0.661	0.033	-0.081	-2.821	-3.482	-1.597	-1.716	1.417	-4.815	-3.882	-3.116	-3.083	-2.688	-3.552	-5.971	-2.157	-3.425	-3.454	-3.179	-2.573	-0.71	0.011	-4.891	0.171	-0.466	0.339	0.407	0.062	0.255	-1.955	-2.356	-0.209	-1.501	0.268	-2.649	-2.983	0.209	-2.6	0.232	-4.85	-3.788	-4.791	-4.505	-3.161	-3.636	-0.45
"YML063W"	0.422	0.302	0.148	-3.191	-3.74	-0.746	-1.693	1.312	-4.408	-3.73	-3.027	-2.778	-2.904	-4.048	-13.273	-2.243	-3.657	-3.146	-3.415	-2.83	-0.581	0.345	-5.57	0.424	-0.416	0.335	0.015	0.128	0.201	-1.42	-2.215	0.003	-0.851	-0.115	-1.595	-3.158	0.41	-2.792	0.578	-4.819	-3.531	-4.008	-3.578	-2.829	-3.392	-0.1
"YMR090W"	-0.346	-0.016	0.571	3.436	3.281	1.703	0.496	-2.754	4.168	3.054	3.581	3.593	4.32	4.104	1.741	2.616	2.556	2.982	2.424	-1.5	1.621	0.247	4.083	0.619	0.228	0.023	-0.006	-0.411	-0.139	2.241	2.373	0.083	2.386	-0.196	2.01	3.497	0.34	2.821	0.174	3.749	3.663	3.446	3.111	2.718	3.037	0.343
"YMR170C"	-0.658	-0.205	0.08	5.21	5.684	0.79	0.541	-1.696	6.85	2.236	0.522	3.746	2.011	NaN	0.924	1.1	3.8	2.053	2.599	2.058	1.062	0.088	4.668	0.902	0.638	0.039	-0.255	-0.24	0.09	2.414	3.862	-0.009	3.94	0.555	0.963	6.459	0.013	4.409	0.412	4.934	4.039	6.253	4.167	2.972	3.706	0.952
"YMR211W"	-0.092	-0.189	0.139	-0.22	-0.209	-0.372	-0.448	0.463	-0.315	-0.085	0.358	0.367	0.225	-1.787	-1.774	0.081	-0.5	-0.227	0.355	0.112	-0.302	-0.083	-0.702	0.103	0.083	0.126	-0.172	-0.048	-0.08	-0.412	-0.441	0.261	-0.57	0.0	-0.13	-0.648	-1.048	-0.511	-0.756	-1.118	-0.589	-1.25	-0.541	-0.437	-0.769	0.529
"YMR217W"	0.326	-0.173	0.058	-2.964	-3.238	-1.12	-1.98	2.016	-5.293	-3.056	-3.049	-2.634	-3.785	-4.735	-5.29	-2.699	-3.48	-2.869	-2.622	-2.591	-1.632	0.203	-4.287	0.293	0.09	0.141	0.0	-0.26	0.708	-2.022	-2.496	0.121	-1.314	0.49	-3.0	-3.402	-0.404	-4.738	0.376	-3.621	-2.927	-4.222	-3.421	-2.938	-3.323	0.539
"YMR242C"	0.515	0.182	-0.037	-3.309	-3.708	-1.39	-1.779	0.875	-4.702	-3.631	-3.819	-3.001	-3.032	-3.971	-6.226	-2.432	-3.832	-4.338	-3.636	-3.62	-0.627	0.407	-4.84	0.038	-0.297	0.172	0.137	-0.371	0.24	-1.668	-1.87	0.115	-1.126	-0.193	-2.255	-3.054	0.741	-2.43	0.834	-4.158	-3.141	-4.607	-3.588	-2.771	-3.856	0.107
"YMR250W"	-0.714	-0.31	-0.132	5.448	5.563	1.006	0.964	-1.968	4.705	4.159	3.979	4.174	NaN	1.937	1.279	3.37	2.923	2.601	2.186	1.134	3.042	0.529	5.655	0.361	0.072	0.184	0.016	0.242	0.654	1.368	2.509	-0.129	3.101	1.095	1.109	5.984	1.943	4.606	1.365	5.331	5.018	5.68	4.944	4.024	3.524	0.397
"YMR290C"	-0.164	-0.618	0.154	-3.89	-3.624	-1.198	-1.864	1.944	-5.132	-3.842	-3.455	-3.073	-3.471	-3.509	-5.217	-3.458	-3.243	-3.378	-2.625	-2.846	-2.166	-0.08	-4.614	0.161	0.054	-0.084	-0.121	-0.241	0.29	-1.56	-1.973	-0.283	-1.658	-0.468	-2.481	-4.129	-1.382	-4.343	-0.124	-4.028	-3.856	-4.544	-3.558	-3.243	-3.217	0.511
"YNL002C"	-0.319	-0.598	0.027	-4.559	-4.222	-0.61	-1.141	0.842	-5.196	-2.914	-2.785	-2.336	-2.475	-2.73	-3.468	-2.839	-3.072	-2.59	-2.178	-2.177	-1.983	0.092	-3.426	0.124	-0.668	0.127	-0.25	-0.227	-0.259	-1.728	-1.586	-0.257	-1.829	-0.697	-1.348	-4.603	-0.753	-3.481	-0.542	-2.92	-2.649	-4.466	-2.41	-2.181	-2.211	-0.167
"YNL025C"	0.16	-0.061	-0.301	1.254	1.145	0.315	0.039	-0.514	1.002	0.071	0.553	0.191	-0.371	-0.119	-1.379	0.508	0.142	0.433	0.905	0.449	-0.26	0.141	1.115	0.226	-0.095	0.116	0.108	0.081	0.269	0.218	0.16	-0.334	1.195	0.327	0.549	1.256	0.256	1.099	0.308	0.148	-0.022	1.044	0.421	-0.16	0.114	0.592
"YNL075W"	0.155	-0.194	0.136	-3.304	-2.768	-0.564	-0.888	1.001	-4.782	-2.75	-2.189	-1.683	-1.696	-2.103	-3.339	-2.433	-3.095	-2.494	-1.5	0.665	-1.575	0.062	-2.149	0.122	0.233	-0.123	-0.041	-0.037	-0.137	-1.076	-1.627	0.174	-1.308	-0.319	-0.928	-3.301	-0.475	-2.935	-0.463	-2.459	-1.475	-3.779	-2.192	-1.642	-1.957	0.15
"YNL112W"	0.027	-0.64	0.54	-4.081	-3.89	-1.009	-1.219	0.951	-3.476	-3.056	-2.775	-1.708	-2.147	-1.052	-3.27	-1.112	-1.809	-2.081	-0.499	-1.018	-1.926	-0.202	-1.974	-0.315	-0.873	0.364	-0.307	-0.394	0.081	-1.132	-2.084	-0.091	-1.531	-0.604	-1.531	-3.744	-0.821	-4.902	-0.429	-2.809	-3.362	-4.027	-3.743	-3.044	-2.872	-0.655
"YNL113W"	0.167	0.079	0.412	-2.536	-2.502	-0.256	-0.498	0.396	-5.347	-3.34	-2.736	-2.957	-2.291	-2.537	-7.034	-2.113	-3.971	-2.612	-1.964	-2.048	-1.332	0.035	-3.24	0.344	-0.342	0.317	-0.084	-0.162	0.15	-0.967	-1.413	-0.282	-1.757	-0.014	-0.614	-3.986	-0.878	-2.788	-0.136	-2.809	-2.407	-4.226	-2.606	-2.059	-1.773	-0.338
"YNL114C"	-0.027	-0.272	0.377	-3.33	-3.663	-0.655	-0.36	0.237	-5.245	-2.663	-2.941	-2.849	-2.571	-3.791	-6.572	-2.048	-2.827	-2.978	-1.873	-1.205	-1.491	-0.055	-3.032	0.085	-0.323	0.091	0.015	-0.215	0.119	-1.329	-1.434	0.058	-1.911	-0.19	-0.555	-2.799	-1.035	-2.336	-0.095	-2.905	-1.754	-4.14	-2.842	-1.49	-2.128	-0.443
"YNL119W"	0.465	0.336	-0.377	-2.438	-3.435	-0.865	-1.792	1.229	-6.697	-3.692	-2.694	-2.909	-3.337	-5.354	-6.231	-2.598	-3.359	-3.366	-2.99	-2.998	-0.715	0.312	-3.55	0.382	0.122	0.112	-0.143	-0.107	0.302	-1.602	-2.239	-0.54	-1.364	0.053	-2.341	-2.524	-0.001	-2.669	0.328	-3.587	-2.801	-4.042	-2.748	-2.546	-2.406	0.08
"YNL191W"	0.39	0.231	-0.012	-0.038	-0.276	-0.107	1.202	0.413	-0.62	-0.388	-0.236	-0.816	-0.947	-1.485	-2.607	2.671	0.326	0.34	0.112	-0.127	-0.786	-0.056	0.753	0.363	-0.19	0.093	0.006	0.166	0.078	-0.301	-0.289	0.247	-0.376	0.064	1.066	-0.303	-0.211	-0.792	0.029	-0.788	-1.223	-1.431	-1.058	-1.003	-0.531	-0.458
"YNL211C"	-0.062	-0.186	-0.104	-0.492	-0.348	0.241	0.204	-0.556	-2.832	-0.915	-0.434	-1.676	-0.884	-1.28	-0.354	-0.833	-0.59	0.0	0.595	-0.182	-0.116	0.021	0.204	-0.107	-0.161	0.0	-0.183	0.041	-0.079	-0.421	-0.862	-0.035	-0.489	-0.036	-0.308	-0.151	-0.591	-0.42	-0.17	0.299	0.394	-0.645	-0.232	-0.08	-0.267	-0.906
"YNL248C"	-0.277	-0.568	0.26	-4.455	-4.373	-1.052	-1.572	1.61	-5.716	-3.559	-4.488	-3.442	-3.857	-4.575	-5.215	-3.618	-3.866	-3.014	-1.941	-3.947	-1.594	-0.131	-5.072	-0.032	-0.358	-0.211	-0.016	-0.045	0.052	-1.222	-2.203	-0.372	-1.9	-0.176	-2.517	-4.868	-0.864	NaN	-0.574	-4.652	-4.217	-6.193	-3.878	-3.385	-3.227	0.054
"YNL278W"	0.1	0.102	-0.06	-0.697	-0.729	-0.285	-0.044	0.622	0.755	0.718	0.737	0.791	0.802	-1.791	-0.791	0.557	0.627	0.757	1.589	0.679	-0.193	-0.59	0.144	-0.172	0.329	-0.249	-0.037	-0.034	0.209	-0.439	-1.017	-0.135	-0.721	0.068	0.405	-0.854	-0.287	-1.432	0.082	-0.506	-0.67	-0.692	-0.281	-0.424	-0.535	-0.281
"YNR062C"	-0.287	0.204	-0.223	-0.141	0.241	-0.17	-0.319	-0.777	0.181	0.382	0.5535	0.332	1.0795	-0.128	-1.799	0.9615	0.293	0.851	0.3525	0.0655	-0.537	-0.137	0.216	-0.269	-0.171	-0.066	-0.163	-0.069	0.003	-0.325	-0.47	0.095	-0.004	0.7425	0.127	0.207	-0.155	-0.689	-0.912	-1.194	-0.772	-1.547	-1.606	-0.825	-1.38	-1.333
"YOL017W"	0.435	0.199	0.074	-0.414	-0.553	0.107	-0.029	0.236	-2.522	-1.587	-0.5505	-0.8815	-1.0485	-3.2815	-2.996	-1.3875	-1.5475	-1.1775	-1.6185	-1.6135	0.686	-0.357	-1.0	-0.355	0.158	-0.039	-0.122	0.394	-0.639	0.962	0.609	0.038	0.806	-0.53	0.081	0.19	-0.691	-0.922	-0.957	-1.491	-0.622	-1.358	-1.412	-0.787	-0.973	-0.146
"YOR091W"	0.09	-0.241	0.136	-2.72	-2.309	-1.349	-0.831	0.569	-3.211	-2.424	-2.536	-1.957	-2.1815	-1.3995	-1.504	-1.963	-1.597	0.6055	0.102	0.792	-1.212	-0.316	-2.354	-0.112	-0.491	-0.14	-0.023	-0.033	-0.171	-1.308	-0.264	-0.173	-1.165	-0.172	-0.717	-2.366	-0.5	-3.395	-0.301	-2.587	-1.87	-3.639	-2.474	-2.19	-1.806	-0.388
"YOR206W"	0.116	-0.154	0.286	-5.083	-4.513	-0.623	-1.575	1.59	-5.827	-2.568	-2.0395	-1.991	-2.174	-3.681	-6.4785	-2.919	-3.1625	-1.9445	-2.2495	-1.9925	-1.949	0.141	-3.888	0.155	-0.145	0.247	-0.422	-0.104	-0.032	-1.803	-2.42	-0.078	-1.355	-0.5855	-1.987	-5.066	-1.036	-3.839	-0.548	-3.193	-2.539	-4.817	-2.585	-1.507	-2.379	-0.023
"YOR234C"	0.418	0.309	-0.215	-2.03	-2.616	-0.803	-0.911	0.548	-4.006	-3.3605	-2.805	-2.6575	-1.908	-2.8745	-4.019	-2.302	-2.7115	-2.657	-2.407	-2.3945	-0.497	0.123	-3.657	0.288	-0.614	0.253	-0.048	-0.068	0.281	-1.704	-2.452	-0.038	-1.287	-0.103	-1.689	-1.745	-0.186	-2.108	-0.591	-3.604	-2.922	-4.032	-3.302	-2.445	-3.127	-1.148
"YOR293W"	0.276	-0.28	-0.269	-3.618	-3.854	-1.549	-1.438	0.646	-4.155	-3.7615	-3.19	-2.996	-2.697	-2.7875	-4.496	-2.907	-3.442	-3.1085	-3.0195	-2.64	-0.504	0.257	-4.233	0.041	-0.797	0.14	0.243	0.129	0.387	-1.714	-2.261	0.064	-1.394	-0.303	-2.091	-3.151	-0.223	-3.047	-0.185	-3.53	-3.262	-3.853	-3.23	-2.89	-3.271	-0.415
"YPL079W"	-0.037	-0.043	-0.306	-3.115	-3.828	-1.022	-1.792	0.764	-4.616	-4.1965	-3.787	-3.3525	-2.6495	-3.892	-6.4765	-2.527	-3.085	-3.172	-3.0255	-3.112	-0.582	0.148	-4.735	-0.181	-0.757	0.199	0.058	-0.041	0.157	-1.29	-1.564	-0.072	-1.109	-0.2565	-2.132	-3.135	0.114	-1.936	0.613	-2.865	-2.753	-3.573	-3.431	-2.725	-2.785	-0.369
"YPL081W"	0.246	0.283	-0.3	-2.931	-3.841	-0.796	-1.27	0.609	-4.5065	-3.3595	-3.199	-3.083	-3.086	-3.4025	-6.801	-1.497	-2.5355	-2.916	-2.428	-2.3315	-0.791	0.181	-4.022	-0.13	-0.415	0.087	0.271	0.124	0.097	-1.145	-1.266	-0.228	-1.488	0.1445	-1.819	-2.52	-0.123	-1.967	0.28	-3.083	-2.359	-3.939	-2.717	-2.656	-3.157	0.01
"YPL123C"	-0.6	-0.497	-0.315	2.13	2.313	0.585	1.107	-1.54	3.3745	1.7765	2.981	2.355	2.6475	1.001	-2.286	1.518	2.33	0.206	1.323	1.159	1.425	-0.016	1.639	-0.15	0.252	-0.515	-0.295	-0.003	-0.496	0.867	1.512	0.193	2.416	-0.9035	1.208	3.422	0.684	3.01	0.178	2.792	2.65	3.201	2.71	2.144	2.01	1.002
"YPL146C"	-0.229	-0.41	0.012	-3.003	-3.135	-0.632	-0.414	0.8395	-2.239	-1.417	-1.1295	-1.693	-1.1555	-2.869	-3.5085	-1.4725	-2.007	-1.641	-1.4145	-0.17	-1.329	-0.001	-3.297	-0.109	-0.164	0.064	-0.419	-0.39	-0.404	-0.991	-0.818	0.117	-1.294	-0.876	-0.34	-3.416	-0.715	-2.623	-0.457	-2.508	-1.864	-2.955	-2.098	-1.463	-1.739	-0.337
"YPL175W"	-0.35	-0.64	-0.34	-0.588	-0.794	-0.61	0.122	0.398	-1.5185	-0.998	-1.039	-1.0105	-0.419	-2.841	-2.2385	-0.453	-0.762	-0.728	-0.362	-0.8065	-1.036	0.113	-0.682	0.285	0.447	0.139	0.02	0.004	0.085	-0.618	-0.282	-0.275	-0.568	0.2585	0.185	-0.506	-0.136	-0.532	0.011	-1.719	-1.694	-2.372	-1.036	-1.115	-1.126	-0.586
"YPL194W"	-0.025	0.021	-0.308	0.275	0.234	0.686	-0.317	-0.1205	0.217	0.936	1.0655	0.836	0.989	-0.6805	-2.5755	0.1415	-0.3765	1.8125	0.0405	-0.555	0.087	0.11	0.3	-0.137	0.119	-0.206	-0.263	-0.333	0.065	0.242	-0.107	-0.077	-0.244	0.4045	0.441	0.583	-0.491	-0.005	-0.96	-0.788	-0.734	-0.675	-0.556	-0.625	-0.781	-0.429
"YPL196W"	-0.056	-0.114	0.093	1.845	2.209	0.595	0.599	-0.7585	3.0515	1.806	2.0705	1.65	2.2245	0.833	0.132	0.7435	1.9775	1.8525	1.408	1.024	0.716	0.409	2.946	0.449	0.178	1.316	-0.024	0.199	-0.034	1.371	1.381	-0.368	1.964	0.486	0.757	2.38	0.095	1.167	0.28	2.951	2.852	2.732	2.827	1.84	1.198	-0.293
"YPL198W"	0.534	0.231	-0.131	-3.084	-3.342	-0.931	-1.605	1.2355	-4.269	-3.194	-2.836	-2.46	-2.395	-4.3605	-6.879	-2.7345	-3.4825	-3.3185	-3.022	-2.766	-0.85	0.506	-3.875	0.25	0.081	0.219	0.126	-0.077	0.342	-2.11	-2.454	0.128	-1.119	0.022	-1.73	-2.581	0.3525	-2.3655	0.4465	-4.2325	-3.528	-3.4955	-4.5575	-2.68	-3.5	-0.1685
"YPL226W"	0.1535	-0.154	-0.1885	-3.229	-4.183	-1.114	-1.6105	1.81766666666667	-4.86566666666667	-3.38066666666667	-2.57633333333333	-2.407	-2.21533333333333	-3.95033333333333	-5.67966666666667	-2.472	-3.37333333333333	-2.503	-2.786	-2.922	-3.5245	-0.0175	-4.0095	0.0975	0.761	0.4195	0.187	-0.24	-0.407	-1.373	-1.3215	-0.253	-1.8515	-0.409333333333333	-2.272	-3.215	-0.446	-3.076	0.312	-2.657	-3.519	-3.811	-3.004	-2.748	-2.36	1.125
"YPR010C"	-0.55	-0.1	0.005	-3.3095	-3.049	-0.8025	-1.7105	1.44333333333333	-2.19933333333333	-1.686	-2.02033333333333	-1.675	-1.21766666666667	-1.86833333333333	-3.425	-1.76166666666667	-1.99066666666667	-2.13833333333333	-1.50933333333333	-1.37666666666667	-1.2175	-0.039	-1.991	0.2215	0.406	0.248	-0.191	-0.058	0.554	-0.9205	-0.8925	-0.13	-0.707	-0.0433333333333333	-1.737	-3.0355	-0.5255	-3.6845	-0.1145	-2.412	-2.1855	-3.761	-2.866	-2.5065	-2.7385	0.2095
"YPR044C"	0.189	0.309	-0.211	-2.4	-2.752	-0.976	-1.31	0.439333333333333	-3.163	-2.92933333333333	-2.74733333333333	-2.52066666666667	-2.388	-2.87	-4.76433333333333	-2.63266666666667	-3.21966666666667	-2.78233333333333	-2.80733333333333	-2.81333333333333	-0.396	-0.043	-3.0915	-0.004	-0.396	0.22	0.536	0.312	0.3595	-1.132	-1.8395	0.187	-0.7275	-0.0553333333333333	-1.9585	-2.5325	0.306	-1.457	0.048	-2.586	-2.282	-2.862	-2.352	-2.43	-2.877	-0.827
"YPR110C"	-0.086	-0.413	0.085	-3.52	-3.728	-1.308	-1.316	1.2295	-5.7185	-3.423	-3.2115	-2.9215	-3.133	-3.662	-6.318	-2.6255	-3.01	-3.296	-2.285	-2.0215	-1.698	0.151	-3.88	0.243	0.131	0.279	-0.266	-0.202	0.147	-1.496	-1.245	0.137	-1.053	0.1245	-1.505	-3.168	-0.697	-3.436	0.128	-2.851	-1.853	-3.882	-3.113	-2.597	-2.759	0.362
