	"819.DY1457 (wild type) 3 mM vs. 61 nM zinc"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"983.wt_plus_gamma_120_min"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1106.DY zap1 3 mM vs. 76 nM zinc"	"1139.DY1457 (wild type) 3 mM vs. 76 nM zinc"	"4872.1M sorbitol - 60 min"	"8287.mcm1-1 + pRS315 vs. mcm1-1 + pRS-MCM7"	"13059.wt/crz1 Na 45min (1)"	"13060.wt/crz1 Na 45min (2)"	"21657..24 mM H2O2- 063 minutes"	"28843.P2Comp 09 hr 20 min Phosphate Batch vs Chemostat Comparison2"	"30463.Pomona/Brown pol2-12 red"	"30464.Rich vs. Minimal II"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"
"YNL114C"	0.202	-1.734	-2.571	-3.791	-6.572	-2.827	-2.978	-1.873	-0.196	-1.96	-2.004	-2.111	-0.605	0.171	0.383	0.189	-0.237	0.071	-2.724	-0.301	-0.052	0.4025	-2.905	-1.754	-4.14	-2.842	-1.49
"YNL132W"	0.685	-2.572	-3.653	-4.956	-6.392	-3.285	-3.141	-2.521	-0.689	-3.396	-4.377	-4.049	0.157	1.586	-0.079	0.103	-0.001	0.148	-1.409	-0.256	0.133	-0.3365	-2.994	-2.948	-3.989	-2.673	-2.3
"YNL163C"	0.086	-0.8065	-0.8885	-3.636	-4.2975	-1.5625	-1.0005	-0.7545	-0.1905	-2.331	-2.9335	-0.995	-0.126	0.4075	0.0715	-0.035	-0.2045	-0.252	-0.425	-0.5425	0.680666666666667	-1.33266666666667	-1.709	-1.982	-2.761	-2.055	-1.24
"YNL221C"	0.019	-0.293	-0.375	-2.485	-3.396	-0.839	-0.682	-0.382	-0.347	-0.896	-2.055	-1.934	-0.126	0.631	-0.008	-0.089	-0.151	-0.018	-0.366	0.137	-0.1795	-0.35	-0.845	-1.234	-1.785	-1.583	-0.942
"YNL281W"	-0.031	-0.905	-0.214	-1.217	-3.342	-1.206	-0.789	-0.921	-0.39	-0.442	-0.709	-0.858	-0.018	0.456	-0.348	0.149	0.098	0.26	-0.211	-0.147	0.412	-0.582	-1.01	-0.724	-1.036	-1.443	-1.307
"YNL313C"	0.53	-1.538	-2.126	-3.628	-5.714	-3.129	-2.948	-1.668	-0.267	-2.01	-2.343	-2.518	-0.057	1.131	0.106	0.078	-0.053	-0.085	0.274	-0.123	-0.193	0.215	-1.867	-1.835	-3.85	-2.129	-1.672
"YOL077C"	0.472	-2.817	-2.79	-3.02	-6.552	-4.174	-0.219	-2.917	-0.339	-3.299	-3.894	-4.326	0.236	1.091	-0.102	0.212	-0.032	0.152	-1.73	-1.214	-0.368	-2.413	-2.855	-2.586	-5.145	-2.894	-2.392
"YOR198C"	-0.264	-1.6725	-1.933	-4.452	-5.562	-0.8245	-1.185	-1.262	0.462	-4.384	-4.657	-4.415	-0.169	-0.049	0.253	-0.099	-0.149	-0.209	0.174	1.221	0.402	-2.15	-2.009	-2.131	-1.499	-1.557	-2.015
"YOR233W"	0.442	-2.3215	-1.0315	-2.672	-3.781	-2.3125	-1.425	-1.2095	-0.221	-1.124	-0.919	-0.984	-0.321	0.664	0.097	0.13	0.231	0.205	-0.023	-0.895	-0.07	-0.669	-2.549	-1.796	-2.621	-1.978	-1.207
"YOR236W"	-0.912	-0.955	-0.833	-2.4345	-3.971	-1.8955	-1.3805	-1.0385	-0.421	-1.568	-2.695	-2.322	-1.22	-0.432	0.249	0.048	-0.027	0.002	0.706	-0.288	0.046	-0.33	-0.945	-1.105	-1.948	-1.246	-0.795
"YOR310C"	0.78	-3.303	-3.319	-4.7765	-7.1385	-3.766	-3.585	-3.5415	0.419	-4.745	-5.099	-4.866	0.374	1.233	0.202	0.316	-0.037	0.008	-1.593	-1.735	0.394	NaN	-4.564	-4.629	-5.14	-4.292	-3.502
"YPL081W"	2.658	-2.508	-3.086	-3.4025	-6.801	-2.5355	-2.916	-2.428	0.019	-2.789	-2.909	-3.725	0.683	2.276	0.099	0.463	0.145	0.101	-1.142	-1.399	0.115	-0.155	-3.083	-2.359	-3.939	-2.717	-2.656
"YPL086C"	0.886	-1.1455	-0.869	-2.5065	-5.552	-2.6475	-2.4025	-1.808	-0.457	-1.907	-1.958	-2.56	0.547	1.405	0.072	0.212	0.16	0.066	-1.211	-0.73	0.091	-0.227	-2.994	-2.108	-3.672	-1.773	-1.346
"YPL090C"	1.925	-2.57	-2.203	-4.364	-6.197	-3.398	-3.223	-3.3795	-0.564	-3.292	-3.309	-4.719	1.004	2.457	-0.045	0.414	0.227	0.112	-1.911	-1.447	0.018	-0.021	-4.244	-3.265	-4.101	-3.571	-2.951
"YPL142C"	1.8475	-1.78	-1.891	-3.5865	-5.604	-2.825	-3.3035	-2.8235	0.304	-2.148	-2.632	-2.979	0.391	1.267	0.2	0.238	0.301	0.513	-3.138	-1.667	0.481	-1.302	-3.763	-3.021	-3.677	-3.278	-2.971
"YPL146C"	-0.1455	-1.316	-1.1555	-2.869	-3.5085	-2.007	-1.641	-1.4145	-0.374	-2.424	-3.141	-3.062	-0.15	-0.157	-0.045	0.321	-0.2	-0.027	0.545	-0.799	0.061	-1.793	-2.508	-1.864	-2.955	-2.098	-1.463
"YPL160W"	1.35366666666667	-1.47166666666667	-2.13233333333333	-3.08233333333333	-5.284	-2.22666666666667	-2.35066666666667	-2.11133333333333	-0.095	-3.1695	-3.499	-2.977	0.759	1.761	0.0515	0.015	-0.174	-0.216	-1.4795	-0.5875	0.115	-1.164	-3.477	-2.958	-3.512	-2.719	-2.2345
"YPL183C"	0.664	-1.8275	-1.544	-4.1755	-3.957	-2.1075	-1.7485	-1.7965	-0.837	-2.512	-2.745	-3.056	0.234	1.286	-0.103	0.142	-0.062	-0.178	0.575	-0.158	-0.934	0.125	-2.605	-2.4425	-2.8755	-2.0785	-1.577
"YPL198W"	2.2845	-2.218	-2.395	-4.3605	-6.879	-3.4825	-3.3185	-3.022	-0.501	-2.487	NaN	-3.133	0.955	2.698	-0.237	0.477	0.352	0.283	-1.438	-0.886	0.16	0.339	-4.2325	-3.528	-3.4955	-4.5575	-2.68
"YPL211W"	0.603	-2.914	-3.869	-4.4555	-5.029	-3.216	-3.3805	-3.046	-0.207	-3.267	-2.652	-2.337	0.438	1.049	-0.02	0.369	0.407	0.451	-2.716	-0.684	-0.582	0.444	-2.333	-2.347	-3.981	-2.743	-1.72
"YPL226W"	0.233333333333333	-1.80333333333333	-2.21533333333333	-3.95033333333333	-5.67966666666667	-3.37333333333333	-2.503	-2.786	-0.024	-3.407	-2.9025	-3.983	-0.146	0.8915	-0.0735	0.402	-0.148	-0.0335	-1.8465	-1.1055	0.128	-1.4385	-2.657	-3.519	-3.811	-3.004	-2.748
"YPL239W"	0.053	-0.835	-1.683	-1.915	-3.907	-0.6945	-0.766	-0.8005	-0.442	-1.503	-2.384	-2.259	-0.458	0.327	-0.387	0.011	0.569	0.656	-0.215	-1.412	0.318	-1.381	-1.124	-1.375	-2.097	-1.238	-1.072
"YPL273W"	1.41566666666667	-2.792	-2.96466666666667	-3.722	-5.69966666666667	-2.94366666666667	-2.86466666666667	-2.69266666666667	-0.644	-2.794	-3.21	-3.3575	0.743	1.535	0.0235	-0.034	0.446	0.535	-1.874	-1.346	0.418	0.062	-1.883	-1.961	-3.012	-2.524	-2.277
"YPR041W"	1.39933333333333	-1.647	-1.48733333333333	-2.36366666666667	-4.07266666666667	-2.403	-2.45	-2.41033333333333	-0.2945	-1.805	-1.8775	-2.441	-0.0775	1.351	-0.1465	0.175	-0.039	0.092	-1.4505	-0.111	0.3035	0.949	-3.035	-2.533	-3.187	-2.708	-2.293
"YPR102C"	2.3265	-2.7315	-2.6455	-4.045	-6.451	-3.5055	-4.118	-3.673	-0.063	-3.352	-3.749	-4.692	0.919	2.333	0.219	0.402	0.446	0.519	-2.905	-2.195	0.448	1.263	-3.927	-2.614	-4.015	-3.517	-2.547
"YPR114W"	1.087	-2.1515	-1.837	-2.9825	-3.903	-1.418	-1.604	-1.798	-0.137	-1.633	-1.738	-2.533	0.773	1.367	0.473	-0.043	-0.263	-0.356	-0.828	-0.67	0.548	-1.86	-1.61	-1.335	-0.936	-1.344	-1.093
"YPR126C"	-0.0055	-0.636	-0.597	-2.2565	-4.861	-1.1465	-1.4775	-1.42	-0.047	-0.339	-0.766	-0.093	-0.608	0.037	-0.03	-0.08	0.198	0.16	-0.491	-0.374	0.224	0.661	-1.206	-0.607	-1.516	-1.752	-0.852
"YPR163C"	0.877	-1.8375	-0.93	-2.9485	-5.4905	-2.5635	-2.469	-2.6395	-0.135	-2.642	-2.895	-2.82	0.568	1.474	-0.06	0.268	-0.247	-0.331	-1.972	0.242	0.563	-0.734	-3.506	-3.14	-3.575	-2.873	-2.034
"YPR187W"	0.5075	-1.511	-1.4365	-3.609	-5.408	-2.283	-2.232	-2.16	-0.645	-2.28	-2.584	-3.22	0.541	0.587	-0.039	0.567	0.111	0.022	-1.64	0.573	0.501	1.046	-2.584	-2.061	-2.896	-2.213	-1.752
