	"56.Elutriation2:Sample2:Time3.5hrs"	"634.Elutriation2:Sample2:Time6.5hrs"	"824.DY1457 (wild type) 10 uM zinc vs. 3 mM"	"854.YPD_6_h_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"945.starv_in_H2O_6_h_30C"	"1009.YPD 2 h (25C)"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1107.alpha factor release sample025"	"4780.DBYtrr1 + 0.1 mM H2O2 - 30 min"	"4872.1M sorbitol - 60 min"	"4874.1M sorbitol - 90 min"	"8287.mcm1-1 + pRS315 vs. mcm1-1 + pRS-MCM7"	"13059.wt/crz1 Na 45min (1)"	"32627.S1Comp 11 hr 10 min Sulfate Batch vs Chemostat Comparison"	"32628.S1Comp 12 hr 57 min Sulfate Batch vs Chemostat Comparison"	"32630.S1Comp 18 hr 00 min Sulfate Batch vs Chemostat Comparison"	"32631.S1Comp 20 hr 10 min Sulfate Batch vs Chemostat Comparison"	"32632.S1Comp 22 hr 05 min Sulfate Batch vs Chemostat Comparison"	"32633.S1Comp 24 hr 10 min Sulfate Batch vs Chemostat Comparison"	"33775.DBY8778(wt)_stationary_phase_9hours"	"34353.delPPT1_hypo_osmotic_shock_7min"	"34355.delPPT1_hypo_osmotic_shock_30min"	"34356.delPPT1_hypo_osmotic_shock_60min"	"34362.batch 02X25 5"	"34365.batch 02X25 6"	"34368.batch 02X25 7"	"34882.S4Comp 13 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34883.S4Comp 14 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34884.S4Comp 15 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34885.S4Comp 34 hr 20 min Sulfate Batch vs Chemostat Comparison"
"YJR032W"	-0.258	-0.358	-0.112	-2.197	-2.635	-3.054	-1.328	0.246	-1.466	-0.901	-0.808	-0.806	-1.546	-1.609	-1.727	0.046	-0.236	0.034	-0.014	0.27	-0.09	-0.557	-1.094	-1.324	-1.077	-1.172	-0.571	-1.954	-0.251	-0.389	-0.288	-0.658	-1.162	-0.741	-1.319	-0.822	-0.926	-0.694
"YJR063W"	0.086	0.085	0.223	-3.233	-2.37	-3.68	-1.382	-0.062	-2.236	-1.596	-1.698	-1.726	-1.715	-2.078	-1.317	-0.089	0.199	0.019	0.057	0.146	0.106	-1.42	-1.44	-1.332	-0.808	-1.266	-0.804	-1.289	0.002	-0.214	-0.265	-1.05	-1.627	-0.997	-1.004	-0.896	-1.252	-0.834
"YJR064W"	0.292	0.189	0.369	-3.248	-1.931	-4.297	-1.919	0.013	-2.119	-1.246	-1.592	-1.762	-1.961	-2.702	-2.57	-0.035	0.799	0.016	-0.603	0.126	0.106	-2.211	-2.125	-2.071	-1.256	-3.237	-2.353	-1.001	-0.031	0.116	-0.332	-0.713	-1.211	-0.696	-0.739	-0.554	0.526	-1.291
"YJR069C"	0.1225	-0.2255	0.165	-2.056	-3.527	-4.151	-0.539	-0.048	-1.021	-1.033	-1.358	-1.09	-1.656	-1.806	-1.42	-0.0915	-0.461	-0.156	0.036	-0.12	0.049	-1.357	-1.083	-1.737	-1.684	-0.586	-1.461	-1.181	-0.013	0.075	-0.226	-0.646	-1.359	-0.405	-0.789	-1.338	-0.215	-0.118
"YJR076C"	0.337	-0.235	-0.118	-0.317	-2.55	-4.614	0.846	0.175	-0.818	-0.547	-0.839	-0.776	-1.815	-2.814	-3.117	0.024	0.012	0.24	0.165	0.178	0.274	-1.693	-1.927	-2.489	-1.386	-2.945	-1.408	-0.406	0.186	0.179	0.096	0.006	-0.313	-0.476	-0.985	-0.89	-1.308	-0.554
"YJR124C"	0.138	-0.211	-0.418	-2.856	-2.359	-2.412	-1.46	-0.736	-2.346	-1.581	-1.778	-1.7	-1.401	-1.723	-2.242	-0.187	0.095	0.009	0.091	0.515	0.029	-2.065	-1.357	-1.142	-0.924	-2.724	-1.064	-1.941	-0.328	-0.028	-0.264	-0.529	-1.579	-0.537	-1.159	-1.259	-1.547	-0.679
"YKL009W"	-0.473	-0.524	0.229	-5.997	-3.082	-6.168	2.263	0.094	-4.341	-2.546	-2.432	-2.856	-2.349	-3.318	-2.938	0.31	-1.03	0.251	0.275	0.196	0.151	-3.175	-1.573	-2.288	-2.446	-2.238	-1.535	-2.728	-0.325	-0.264	-0.461	-2.027	-3.087	-1.677	-1.195	-1.381	-1.178	-1.925
"YKL073W"	0.338	-0.043	-0.155	-1.767	-2.672	-3.282	-1.963	0.281	-1.805	-0.99	-0.985	-1.089	-2.148	-2.623	-3.195	-0.071	0.012	-0.069	0.087	0.153	-0.593	-1.521	-0.98	-0.98	-0.885	-0.859	-0.955	-1.74	-0.501	-0.248	-0.177	-0.65	-1.05	-0.615	-1.023	-0.56	-0.35	-0.931
"YKL081W"	0.59	0.036	0.468	-3.858	-4.49	-5.155	-3.37	0.582	-3.635	-2.171	-3.222	-3.654	-2.997	-2.811	-3.497	0.351	-1.378	-0.042	0.247	0.601	-0.002	-1.875	-1.899	-2.081	-2.459	-2.252	-1.484	-3.449	0.642	0.695	0.695	-1.84	-2.812	-2.654	-2.135	-2.065	-2.093	-2.305
"YKL212W"	0.077	0.273	0.21	-1.431	-3.014	-4.806	-1.64	0.281	-1.923	-0.736	-1.656	-1.598	-2.516	-2.929	-3.374	0.042	0.143	-0.068	0.176	-0.029	-1.225	-1.416	-2.456	-2.39	-2.691	-2.996	-2.506	-1.607	-0.142	0.015	-0.265	-0.636	-1.336	-0.866	-1.547	-1.262	-1.911	-1.421
