	"54.Elutriation2:Sample2:Time2.5hrs"	"55.Elutriation2:Sample2:Time3.0hrs"	"56.Elutriation2:Sample2:Time3.5hrs"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1107.alpha factor release sample025"	"2557.Hypo-osmotic shock - 60 minutes"	"4872.1M sorbitol - 60 min"	"5244.DES459 (mec1) - mock irradiation -15 min"	"5246.DES459 (mec1) - mock irradiation - 60 min"	"5358.1M sorbitol - 5 min"	"6344.DES460 + 0.02% MMS - 5 min"	"7760.Na 45min"	"7761.Na 60min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"8287.mcm1-1 + pRS315 vs. mcm1-1 + pRS-MCM7"	"11466.yO1 test hyb"	"13059.wt/crz1 Na 45min (1)"	"13060.wt/crz1 Na 45min (2)"	"17676.Na+FK 45min (4)"	"21660..24 mM H2O2- 120 minutes"	"33780.delYPL230w_stationary_phase_7hours"
"YNL152W"	-0.31	-0.083	0.13	-0.868	-1.424	-0.745	-1.135	-1.893	-3.141	-0.285	-0.232	0.509	-0.269	-0.291	-0.193	-0.848	-1.514	-0.807	-0.063	-0.261	-0.019	-0.089	-0.152	-0.106	0.001	0.483	0.403	0.117	0.136	-0.176	-0.563	0.161	0.174	-0.86	-0.444	-0.311
"YNL153C"	0.137	0.185	0.204	-0.54	-1.355	-0.952	-1.139	-2.968	-3.338	-1.165	-1.382	-1.461	-1.309	-1.594	-1.341	-1.523	-2.302	-1.649	-0.243	0.152	-0.096	0.005	-0.411	-0.103	-0.14	-0.32	-0.183	-0.287	-0.554	-0.136	-1.5535	0.121	0.115	0.272	-0.408	-1.217
"YNL210W"	0.371	0.019	-0.236	-2.404	-1.146	-1.199	-1.422	-1.13	-4.105	-0.064	-0.947	0.061	-0.984	-0.431	-0.312	-0.716	-0.503	0.839	-0.189	0.046	-0.111	0.337	-0.235	0.13	-0.194	-0.245	-0.442	-0.464	-0.473	-0.009	-1.037	-0.018	-0.052	-0.542	-0.373	-1.949
"YNL256W"	0.41	0.418	-0.056	-3.093	-1.34	-1.539	-1.049	-2.448	-3.668	-1.695	-0.452	0.397	-1.429	-1.334	-1.45	-2.464	-3.25	-3.112	0.196	0.081	0.179	0.219	0.134	-0.551	-0.138	-1.221	-1.134	-0.801	-0.925	0.139	-0.721	0.099	0.023	-0.389	0.2	-1.483
"YNL301C"	1.031	0.616	0.875	-2.992	-2.551	-2.514	-3.266	-5.123	-6.272	-2.943	-3.585	-3.098	-1.992	-2.799	-2.781	-2.652	-2.985	-3.448	0.204	0.426	0.135	-1.236	-0.246	-0.277	-0.02	-1.892	-1.408	-1.944	-2.088	0.387	-2.232	0.307	0.244	-2.257	-0.168	-3.032
"YNL337W"	0.048	-0.193	-0.107	0.142	0.371	0.698	0.375	0.158	-0.784	-0.157	0.444	0.694	0.368	0.782	0.84	1.418	0.886	1.146	0.061	-0.219	0.057	-0.131	-0.405	0.349	-0.179	0.841	0.564	0.529	0.198	0.097	0.567	0.377	0.335	1.235	-0.024	-0.932
"YOR201C"	-0.052	0.213	0.241	-0.7315	0.104	0.0385	-0.961	-1.782	-2.872	-1.029	-0.633	-0.9645	-0.304	-0.294	-0.473	-1.202	-0.099	-1.389	0.03	-0.001	-0.134	-0.299	-0.302	-0.278	0.067	-0.29	0.03	-0.42	-0.535	-0.181	-0.718	-0.025	0.018	-0.747	0.098	-0.169
"YOR239W"	-0.093	0.162	-0.015	-1.208	-0.777	-0.5165	-2.145	-3.232	-5.0985	-0.9345	-1.0745	-1.633	-1.273	-2.053	-2.15	-3.149	-3.934	-3.704	-0.155	0.309	-0.205	0.651	-0.16	0.184	0.021	0.672	0.854	0.167	-2.202	0.313	-1.366	-0.2655	-0.1615	-0.315	-0.293	-0.426
"YOR323C"	0.242	-0.22	0.239	-2.5575	-1.7105	-1.401	-2.0305	-4.2845	-6.434	-1.9425	-2.061	-2.106	-0.904	-1.557	-1.382	-2.742	-3.497	-3.428	0.024	-0.003	0.153	-0.145	-0.18	0.031	0.227	-0.803	-0.754	-1.114	-0.977	-0.091	-1.603	0.142	0.093	NaN	0.366	-1.64
"YOR326W"	-0.043	0.054	0.485	-2.4275	-1.798	-0.945	-1.6295	-3.4635	-4.9875	-1.3825	-1.3315	-2.6115	-1.343	-1.82	-2.099	-3.585	-3.591	-2.795	0.544	0.556	0.117	0.735	0.674	0.183	0.205	-0.733	-1.127	0.027	-0.177	0.098	-1.467	0.02	0.009	NaN	0.136	-1.215
"YPL037C"	0.804	0.785	0.515	-2.6595	-2.081	-2.0885	-2.12	-3.9955	-5.417	-1.813	-1.4435	-2.148	-1.255	-1.561	-1.872	-2.115	-3.222	-3.654	0.064	0.234	-0.106	-1.225	-0.275	-0.218	0.237	-1.391	-1.373	-1.135	-1.78	0.411	-1.648	0.499	0.4	-1.045	-0.149	-1.831
"YPL079W"	-0.405	-0.188	-0.037	-4.616	-4.1965	-3.787	-2.6495	-3.892	-6.4765	-3.085	-3.172	-3.0255	-2.781	-2.741	-3.087	-3.015	-3.498	-4.547	0.085	0.467	0.031	-0.382	-0.187	-0.257	0.143	-2.574	-1.965	-2.209	-2.429	0.662	-1.673	0.284	0.34	-2.442	-0.247	-3.431
"YPL090C"	0.657	0.293	0.983	-3.9615	-3.256	-2.7785	-2.203	-4.364	-6.197	-3.398	-3.223	-3.3795	-2.412	-2.833	-2.954	-3.292	-3.309	-4.719	-0.043	0.525	-0.045	-1.043	-0.376	-0.082	-0.062	-2.805	-2.023	-1.985	-1.805	0.414	-2.061	0.227	0.112	-2.36	-0.148	-3.571
"YPL142C"	0.366	0.244	0.579	-3.1395	-2.973	-2.7515	-1.891	-3.5865	-5.604	-2.825	-3.3035	-2.8235	-2.082	-2.303	-2.376	-2.148	-2.632	-2.979	0.143	0.686	0.2	-0.645	-0.332	-0.128	0.304	-1.852	-1.366	-1.839	-2.009	0.238	-2.011	0.301	0.513	-1.706	-0.319	-3.278
"YPL160W"	0.359	0.1095	0.292	-3.26033333333333	-2.28466666666667	-1.777	-2.13233333333333	-3.08233333333333	-5.284	-2.22666666666667	-2.35066666666667	-2.11133333333333	-1.8835	-2.449	-2.824	-3.1695	-3.499	-2.977	-0.0355	0.5555	0.0515	0.7485	0.683	-0.189	0.0565	-1.523	-1.1165	-0.682	-0.496	0.015	-1.8045	-0.174	-0.216	-1.4455	-0.3555	-2.719
"YPL243W"	-0.062	0.013	-0.417	-1.27	-1.434	-1.106	-1.5805	-4.1455	-5.276	-1.0	-1.0065	-1.315	-1.042	-1.377	-1.873	-2.602	-3.541	-3.544	-0.108	-0.001	-0.062	-0.097	-0.004	-0.137	0.174	-0.621	-0.591	-0.322	-0.5	0.102	-1.188	0.019	0.072	0.081	-0.147	-1.503
"YPL273W"	0.479	-0.039	0.02	-3.42133333333333	-2.60833333333333	-2.705	-2.96466666666667	-3.722	-5.69966666666667	-2.94366666666667	-2.86466666666667	-2.69266666666667	-2.088	-2.4545	-3.2755	-2.794	-3.21	-3.3575	0.302	0.309	0.0235	-0.9125	-0.3045	0.0565	0.168	-2.1035	-1.738	-1.784	-1.728	-0.034	-2.628	0.446	0.535	0.56	0.017	-2.524
"YPR033C"	0.509	-0.023	0.407	-2.7945	-1.8465	-1.291	-2.142	-4.8805	-7.94	-2.32	-2.0735	-2.759	-1.226	-2.096	-2.55	-3.951	-4.382	-4.54	-0.095	0.431	0.015	-0.691	-0.067	0.089	0.242	-1.74	-1.464	-1.18	-1.134	-0.175	-2.107	0.003	0.112	-2.384	0.131	-1.9695
"YPR044C"	0.211	0.153	0.189	-3.163	-2.92933333333333	-2.74733333333333	-2.388	-2.87	-4.76433333333333	-3.21966666666667	-2.78233333333333	-2.80733333333333	-1.926	-2.14	-2.1115	-1.2955	-1.702	-1.9615	0.127	0.408	-0.088	-1.2595	-0.4455	-0.5735	0.1355	-1.535	-1.1145	-1.5965	-1.486	0.004	-2.074	0.346	0.497	-1.73	-0.497	-2.352
"YPR050C"	0.059	-0.005	0.136	-1.5385	-1.2685	-1.1275	-0.953	-1.3935	-2.584	-0.9995	-0.8745	-0.809	-0.503	-0.684	-0.433	0.304	-0.831	-0.838	-0.121	-0.128	-0.187	-0.684	-0.092	-0.127	-0.031	-1.162	-1.066	-1.342	-1.325	0.353	-0.732	-0.065	0.068	-0.895	0.18	-1.121
"YPR060C"	0.436	0.066	0.095	-3.5465	-3.094	-2.8645	-3.377	-2.069	-3.801	-1.7345	-1.7935	-1.8045	-2.301	-1.98	-2.627	-2.107	-3.352	-2.894	0.189	-0.079	-0.092	-0.855	-0.399	-0.042	0.102	-0.717	-0.873	-0.815	-1.129	-0.008	-2.467	0.444	0.574	-0.962	0.401	-2.741
"YPR102C"	0.667	0.521	0.4	-3.521	-3.2315	-3.2945	-2.6455	-4.045	-6.451	-3.5055	-4.118	-3.673	-2.495	-2.723	-3.232	-3.352	-3.749	-4.692	0.174	0.413	0.219	-1.15	-0.289	0.033	0.435	-2.388	-1.826	-2.23	-2.126	0.402	-2.384	0.446	0.519	-1.909	-0.043	-3.517
"YPR118W"	0.195	0.267	0.106	-2.848	-3.0	-2.0775	-3.095	-3.9965	-5.524	-2.525	-2.5375	-2.305	-1.488	-2.594	-2.077	-2.882	-3.334	-3.538	0.092	0.25	0.036	-0.902	-0.145	0.058	-0.027	-1.782	-1.233	-1.917	-1.787	0.349	-1.794	0.023	-0.046	NaN	0.366	-2.086
