	"93.cdc15 180 min"	"497.Heat Shock 000 minutes"	"598.29 deg growth"	"684.YP fructose vs reference pool"	"686.YP ethanol vs reference pool"	"781.Heat Shock 000 minutes (series 2)"	"797.Heat Shock 000 minutes (series 3)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1155.DY1457 (wild type) 3 mM vs. 10 uM zinc"	"2556.Hypo-osmotic shock - 45 minutes"	"4872.1M sorbitol - 60 min"	"6344.DES460 + 0.02% MMS - 5 min"	"6824.Sporulation t0"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"8193.steady state 15 dec C"	"8195.steady state 21 dec C"	"8217.steady state 17 dec C"	"8234.dtt 240 min"	"12734.Nitrogen Depletion 12 h"	"12736.Nitrogen Depletion 1 d"	"12737.Nitrogen Depletion 2 d"	"12738.Nitrogen Depletion 3 d"	"16338.DES460 vs. DES460 YPD log phase control"	"30462.Pomona/Brown Sir3xpol2-12 red"	"30773.Pomona/Brown Sir3x red"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34357.batch 02X25 1"	"34359.batch 02X25 3"	"40968.MD_II_49_min"	"42386.CC UL 1B Uracil-Leucine Chemostat Comparison"
"YNL132W"	-1.039	1.008	-0.201	0.226	-0.762	0.683	0.542	-5.826	-3.389	-3.25	-2.572	-3.653	-4.956	-6.392	-3.285	-3.141	-2.521	-2.512	-4.353	-2.313	-2.799	-2.936	-3.396	-4.377	-4.049	0.344	0.569	-0.079	-0.156	0.05	-1.53	-2.164	-0.011	0.112	-0.797	-1.974	-2.527	-2.718	-2.565	-2.668	0.001	-1.4145	0.3195	-2.994	-2.948	-3.989	-2.673	-2.3	-1.776	0.506	-0.205	-0.698	-0.051
"YNL154C"	-0.276	0.248	0.027	0.145	-0.571	0.281	0.349	-0.952	-1.632	-1.147	-1.0	-1.128	-1.871	-3.909	-0.647	-0.405	-1.037	-0.547	-2.02	-1.071	-0.946	-1.374	-1.346	-2.5	-2.113	-0.1	0.102	-0.208	0.288	-0.486	0.388	0.571	0.247	0.492	0.201	-0.593	-0.908	-1.218	-1.093	-1.784	0.387	-0.2615	0.095	-1.184	-0.9	-0.053	-0.623	-0.899	-1.27	0.197	0.236	-0.133	0.35
"YNR043W"	-0.406	0.34	-0.048	0.105	-1.019	0.308	0.7105	-3.5005	-1.8155	-1.574	-1.86	-2.628	-2.934	-5.1565	-2.5105	-1.9175	-1.949	-1.8335	-1.36	-1.59	-2.078	-2.382	-2.655	-3.803	-3.856	0.57	0.55	-0.264	0.057	-0.084	-0.519	-0.663	-0.078	0.0765	-0.118	-0.627	-1.559	-1.841	-1.612	-1.996	0.009	0.327	0.113	-1.759	-1.955	-2.193	-1.673	-1.696	-2.285	0.298	-0.102	-1.576	-1.08
"YOL083W"	-0.173	-1.344	-0.281	-0.893	0.383	-2.024	-1.322	1.611	3.547	3.16	3.269	2.245	3.769	1.824	1.0875	0.4955	2.3455	2.015	4.423	3.683	4.024	4.667	5.405	5.55	4.202	0.087	-0.679	-0.053	0.042	-0.228	1.714	2.005	0.399	-0.534	0.3245	1.19	2.555	3.15	3.245	3.585	0.154	0.181	0.091	3.771	3.863	3.826	3.79	3.102	3.124	-0.774	0.038	1.363	0.005
"YOR036W"	-0.269	-0.324	-0.329	-0.302	0.607	-0.472	-0.5605	1.918	1.2545	-1.7435	1.481	2.5945	1.882	1.087	0.4915	1.433	1.874	2.106	1.562	1.563	1.932	2.156	3.066	2.609	2.107	0.475	-0.577	-0.341	0.119	-0.353	1.716	1.561	0.5345	0.265	0.085	0.448	1.555	2.249	1.961	2.477	0.264	0.25	0.039	1.096	1.373	1.484	1.021	0.961	1.278	-0.748	0.124	1.317	-0.166
"YOR239W"	-0.155	0.045	0.031	-0.115	-0.538	-0.073	0.2635	-1.208	-0.777	-1.1765	-1.31	-2.145	-3.232	-5.0985	-0.9345	-1.0745	-1.633	-1.8425	-1.631	-1.273	-2.053	-2.15	-3.149	-3.934	-3.704	-0.103	0.23	-0.205	0.021	-0.121	0.167	-2.202	-0.0845	0.4405	-0.089	0.0215	-1.963	-1.992	-1.951	-1.867	0.041	0.394	0.155	-0.652	-0.884	-0.623	-0.426	-0.439	-0.564	-0.164	-0.174	0.24	0.404
"YOR315W"	-0.263	1.132	-0.385	-0.478	-0.664	0.975	0.7375	-3.8935	-2.27	-2.459	-3.1035	-2.966	-2.9775	-4.3035	-1.742	-1.8235	-1.979	-1.3625	-2.638	-0.329	-2.502	-3.165	-2.855	-2.774	-2.784	-0.197	-0.172	-0.191	0.021	0.254	-2.342	-2.827	0.3485	0.276	0.3975	-0.8885	-2.335	-2.39	-1.911	-2.22	0.216	0.243	0.151	-2.188	-1.234	-1.822	-2.187	-0.625	-1.879	0.555	-0.053	-0.714	-0.702
"YOR326W"	-0.082	0.041	-0.454	0.202	-0.926	-0.016	-0.12	-2.4275	-1.798	-1.475	-1.329	-1.6295	-3.4635	-4.9875	-1.3825	-1.3315	-2.6115	-1.9335	-2.219	-1.343	-1.82	-2.099	-3.585	-3.591	-2.795	0.12	0.422	0.117	0.205	0.215	0.027	-0.177	-0.3125	-0.101	-1.2175	-0.2195	-1.606	-1.497	-1.522	-1.655	-0.024	-0.024	0.263	-1.109	-1.568	-1.296	-1.215	-0.751	-1.621	0.137	-0.193	-0.869	-0.525
"YPL142C"	1.032	1.023	0.5615	0.964	-0.787	1.2695	1.009	-3.1395	-2.973	-2.2525	-1.78	-1.891	-3.5865	-5.604	-2.825	-3.3035	-2.8235	-2.16	-4.155	-2.082	-2.303	-2.376	-2.148	-2.632	-2.979	0.131	0.689	0.2	0.304	0.271	-1.839	-2.009	0.041	0.534	0.594	-1.7865	-1.836	-1.152	-1.22	-1.19	-0.203	0.349	0.142	-3.763	-3.021	-3.677	-3.278	-2.971	-3.35	0.555	0.229	-1.317	0.48
"YPL160W"	-0.711	0.5835	-0.115	0.405	-1.226	0.598	0.415	-3.26033333333333	-2.28466666666667	-1.608	-1.47166666666667	-2.13233333333333	-3.08233333333333	-5.284	-2.22666666666667	-2.35066666666667	-2.11133333333333	-1.59566666666667	-4.0365	-1.8835	-2.449	-2.824	-3.1695	-3.499	-2.977	-5.0E-4	0.7685	0.0515	0.0565	0.202	-0.682	-0.496	-0.423	0.210333333333333	-0.817666666666667	-1.13233333333333	-2.4615	-2.584	-2.827	-2.7275	-0.287	-0.2025	0.309	-3.477	-2.958	-3.512	-2.719	-2.2345	-2.589	0.399	-0.03	0.0205	-0.712
"YPR033C"	-1.138	0.789	-0.0965	0.426	-0.59	0.6725	0.5805	-2.7945	-1.8465	-1.908	-2.534	-2.142	-4.8805	-7.94	-2.32	-2.0735	-2.759	-2.6225	-2.203	-1.226	-2.096	-2.55	-3.951	-4.382	-4.54	0.194	0.458	0.015	0.242	0.135	-1.18	-1.134	-0.0655	0.209	0.0775	-0.3435	-2.213	-2.318	-2.374	-2.285	-0.181	0.285	0.327	-2.1325	-2.033	-2.0305	-1.9695	-1.4105	-2.053	0.421	0.1055	-2.084	-1.322
"YPR119W"	-0.4265	0.554	-0.007	0.073	-0.787	0.123	0.39	-2.692	-2.3105	-1.6945	-4.2055	-1.976	-4.6155	-4.3695	-1.235	-0.8395	-2.3625	-2.5025	-2.424	-1.119	-2.207	-4.062	-3.433	-3.885	-3.308	-0.345	-0.348	0.153	-0.096	-0.067	-0.974	-0.956	0.445	0.354	0.0765	-0.3225	-3.195	-3.442	-3.42	-3.81	-0.147	0.05	0.084	-2.849	-2.418	-1.776	-2.925	-0.962	-1.893	0.498	-0.01	-1.27	0.249
