	"53.Elutriation2:Sample2:Time2.0hrs"	"107.heat shock 10 min"	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"116.heat shock 40 min"	"407.heat shock 33 to 37, 20 minutes"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"512.2.5mM DTT 005 min"	"811.DES459 (mec1) + heat 20 min"	"813.MHY1 (dun1) + heat 20 min"	"817.1M sorbitol - 30 min"	"831.1.5 mM diamide (20 min)"	"834.1.5 mM diamide (30 min)"	"836.1.5 mM diamide (40 min)"	"838.1.5 mM diamide (50 min)"	"854.YPD_6_h_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"977.wt_plus_gamma_10_min"	"1009.YPD 2 h (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1104.wild type vs. zap1 - 76 nM zinc"	"1250.mec1_plus_gamma_10_min"	"1303.diauxic shift timecourse: 0 hr"	"1310.diauxic shift timecourse: 9.5 hr"	"2560.29C to 33C - 15 min"	"4048.0.8M NaCl +FK506 - 30 min"	"6361.DBYyap1- 37degree heat - 20 min (redo)"	"7759.Na 30min"	"7760.Na 45min"	"7761.Na 60min"	"7763.Na+FK 30min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"8233.dtt 120 min"	"8234.dtt 240 min"	"12744.heat shock 17 to 37, 20 minutes"	"17676.Na+FK 45min (4)"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"32255.DBY8778_heat_shock2_60min"	"33259.delKIN82_heat shock _15min"	"33261.delKIN82_heat shock _30min"	"33779.delYPL230w_stationary_phase_5hours"	"34348.wt_hypo_osmotic_shock_7min"	"34350.wt_hypo_osmotic_shock_30min"	"34351.wt_hypo_osmotic_shock_60min"	"34353.delPPT1_hypo_osmotic_shock_7min"	"34354.delPPT1_hypo_osmotic_shock_15min"	"34355.delPPT1_hypo_osmotic_shock_30min"	"34356.delPPT1_hypo_osmotic_shock_60min"	"34357.batch 02X25 1"	"34359.batch 02X25 3"	"38156.03II01 batch p12"
"YLR129W"	0.377	-4.191	-4.096	-2.921	-3.022	-1.526	-1.034	-2.347	-3.676	-3.658	-0.204	-1.722	-0.985	-0.492	-2.548	-1.12	-1.768	-0.629	-4.83	-2.877	-4.914	-0.62	-0.062	-2.714	-2.42	-3.068	0.407	-0.579	-0.281	-0.203	-0.739	-2.104	-0.967	-2.216	-2.343	-1.807	-1.667	-1.65	-1.427	-1.081	-1.327	-4.108	-1.808	-4.374	-2.07	-0.673	-3.858	-1.404	-4.119	-0.613	-0.409	-0.781	-0.285	-0.517	-0.543	-0.535	0.246	0.099	-0.051
"YLR196W"	0.371	-4.71	-5.425	-5.709	-5.04	-1.973	-2.108	-3.221	-4.896	-4.532	0.584	-2.273	-1.576	-0.56	-2.562	-2.364	-1.459	-1.106	-5.083	-4.437	-5.836	-0.682	0.195	-3.933	-4.664	-4.392	-0.407	-0.586	0.333	0.252	-1.306	-2.107	-1.454	-1.656	-2.793	-1.956	-1.326	-2.637	-2.454	-1.306	-1.12	-5.097	-2.15	-3.697	-2.702	-1.684	-2.671	-2.167	-3.658	-0.207	-0.495	-0.74	-0.356	0.066	-0.536	-0.477	-0.044	-0.134	0.185
"YLR205C"	-0.411	2.093	2.554	2.503	2.264	1.127	0.518	1.142	2.074	1.507	-0.492	0.835	0.453	0.088	0.837	0.993	1.39	1.319	0.589	-0.519	-0.254	0.483	-0.071	0.455	0.295	-0.311	0.735	0.04	-0.314	-0.185	0.466	2.022	0.59	1.654	1.954	1.626	1.348	2.166	1.928	0.155	0.746	2.206	NaN	0.798	0.472	-0.188	1.097	1.054	0.586	-0.153	0.339	0.588	0.1	-0.022	0.431	0.089	-0.72	-0.26	-0.222
"YLR260W"	-0.279	2.295	NaN	2.077	NaN	NaN	-0.145	NaN	-0.077	1.737	0.128	0.833	0.711	0.951	0.706	0.364	0.702	0.398	1.006	0.018	-2.227	0.355	0.152	-0.234	-0.238	-0.404	-0.248	0.0	-0.065	-0.389	0.417	1.307	NaN	1.263	1.256	1.07	1.368	1.359	1.113	-0.036	0.578	NaN	0.687	1.178	0.735	0.812	1.537	1.003	-0.456	-0.111	0.05	0.347	-0.012	-0.051	-0.272	0.187	0.234	0.203	0.289
"YLR355C"	0.609	-2.854	-1.846	-1.45	-1.25	-0.542	-0.532	-1.702	-2.612	-3.061	0.423	-1.019	-0.931	-0.104	-1.421	-1.162	-0.664	-0.718	NaN	-5.125	-6.009	-0.187	0.131	-1.878	-1.989	-3.088	0.676	-0.264	0.425	0.175	-0.49	-1.077	-0.486	-1.687	-1.459	-0.125	-1.053	-1.248	-0.762	-1.136	-1.083	-2.995	-3.118	-1.398	-0.874	-0.636	-2.708	-0.841	-4.176	0.344	0.659	0.188	0.502	0.461	0.584	0.297	0.461	0.252	0.273
"YLR401C"	0.538	-4.37	-3.667	-3.155	-2.889	-0.878	-1.048	-2.202	-3.179	-2.451	-0.667	-1.983	-0.596	-0.271	-2.074	-1.786	-1.19	-0.668	-3.761	-1.263	-3.133	-0.953	-0.208	-0.775	-0.916	-0.969	-0.879	-0.734	0.078	-0.003	-0.721	-1.714	-1.05	-1.411	-1.783	-0.998	-1.422	-1.679	-1.421	-1.766	-2.112	-3.769	-0.938	-4.366	-2.033	-1.034	-2.208	-0.772	-2.921	-0.113	-0.433	-0.466	-0.222	-0.126	-0.442	-0.202	0.171	-0.453	-0.146
"YLR406C"	0.2235	2.794	-1.231	0.0445	-2.32	-0.7865	-1.0605	-0.585	-0.9455	-0.585	-0.2345	-1.9455	-0.278	-0.781	-0.481	-0.733	-0.8585	-0.822	-0.4455	-1.0635	-1.307	-0.4925	-0.2335	-0.429	0.0435	-0.095	-0.4145	0.003	0.195	0.141	0.4465	-0.5325	-1.3735	-1.076	-1.1065	-1.145	-0.3015	-0.2305	-0.635	-0.442	0.228	-0.3895	-1.8295	-1.448	-0.662	-0.7665	-0.954	-0.935	-2.5485	0.0075	-0.126	0.086	-0.3465	-0.1715	-0.114	0.149	0.021	0.238	0.209
"YLR409C"	0.465	-4.088	NaN	-3.474	-3.176	-1.59	-1.296	-2.574	-3.696	-3.852	0.043	-1.524	-0.875	-0.291	-2.715	-2.325	-1.686	-1.295	-4.402	-3.204	-4.211	-0.847	0.033	-2.713	-3.315	-3.47	-0.295	-0.857	0.274	0.391	-0.837	-1.957	-1.148	-1.383	-1.911	-1.548	-1.239	-1.565	-1.295	-1.494	-1.55	-4.473	-1.269	-2.812	-1.603	-1.405	-2.584	-1.453	-3.231	-0.249	-0.3	-0.519	-0.195	-0.38	-0.357	-0.447	0.341	-0.096	-0.095
"YML056C"	NaN	-2.994	-3.762	-3.147	-3.158	-1.618	-1.295	-3.16	-2.963	-3.376	-0.025	-1.557	-1.854	-0.757	-1.642	-2.244	-1.541	-1.09	-3.967	-2.698	-5.251	0.022	0.162	-1.337	-2.566	-2.751	-0.18	-0.598	NaN	NaN	-0.593	-1.436	-1.921	-1.736	-2.415	-1.827	-0.963	-1.462	-1.486	-0.875	-1.272	-3.776	-3.029	-4.017	-2.736	-1.258	-2.625	-2.294	-4.322	-0.427	0.068	-0.115	-0.121	0.022	0.11	0.063	0.195	-0.447	0.642
"YML093W"	0.791	-3.602	-4.507	2.565	-2.615	-1.452	-1.73	-2.741	-3.357	-3.472	0.548	-1.785	-1.353	-0.583	-2.686	-2.477	-1.732	-1.528	-4.947	-2.962	-5.889	-0.788	-0.22	-2.547	-2.745	-3.262	0.148	-0.701	0.162	0.04	-0.938	-2.001	-1.18	-1.621	-2.468	-1.633	-1.272	-1.583	-1.493	-1.156	-1.695	-3.703	-2.063	-7.708	-2.717	-1.858	-3.619	-1.984	-4.548	-0.121	-0.155	-0.558	0.095	-0.254	-0.238	-0.319	0.064	-0.015	0.742
"YMR105C"	-1.481	6.504	7.421	7.216	6.858	4.865	4.63	6.445	6.665	6.783	-0.859	4.011	3.439	2.806	4.095	3.845	3.192	1.907	4.909	0.831	0.781	3.31	0.201	1.137	1.697	1.089	1.028	2.095	0.133	0.665	3.846	3.966	4.536	2.888	3.652	3.607	2.154	3.361	3.627	1.411	1.973	6.837	2.088	5.764	3.906	2.627	4.753	3.237	6.583	0.391	1.305	0.907	0.17	0.542	0.857	0.035	-0.443	0.692	-0.506
"YMR131C"	1.156	-3.068	-4.819	-4.67	-4.183	-2.431	-1.969	-3.849	-4.525	-4.347	0.117	-1.871	-1.365	-0.589	-2.255	-2.188	-1.713	-1.034	-5.631	-5.052	-6.665	-0.959	-0.227	-4.236	-5.241	-4.266	0.609	-0.362	0.297	0.176	-1.343	-2.232	-1.363	-2.0	-3.012	-2.205	-1.855	-2.522	-2.8	-1.36	-1.718	-4.674	-4.32	-3.866	-3.136	-1.519	-3.736	-2.16	-4.181	0.123	-0.288	-0.536	-0.283	-0.448	-0.319	-0.437	0.561	0.232	0.14
"YMR239C"	0.639	-2.12	-3.656	-2.952	-2.175	-1.498	-1.255	-2.426	-2.921	-2.351	0.726	-1.538	-1.475	-0.56	-2.534	-2.067	-1.873	-1.556	-4.414	-2.176	-3.323	-0.557	-0.412	-2.236	-2.42	-2.415	0.6	-0.414	0.112	-0.164	-1.467	-1.454	-0.718	-1.474	-1.82	-1.728	-0.935	-1.384	-1.706	-0.926	-1.451	-3.237	-1.262	-1.962	-2.998	-1.923	-3.188	-1.387	-4.048	-0.305	-0.553	-0.736	-0.074	-0.251	-0.198	-0.237	0.234	0.514	0.709
"YMR290C"	0.797	-2.333	-3.64	-3.112	-3.689	-2.627	-1.56	-2.957	-3.89	-3.624	0.229	-2.714	-2.071	-1.323	-2.545	-2.5	-1.911	-1.252	-5.132	-3.509	-5.217	-1.934	-0.08	-3.219	-3.665	-2.938	0.284	-1.13	0.191	-0.086	-1.38	-2.059	-1.35	-1.983	-2.885	-2.633	-1.836	-2.648	-2.383	-1.688	-1.853	-4.129	-0.579	-4.343	-3.775	-1.826	-3.98	-3.156	-4.544	-0.146	-0.49	-0.543	0.014	-0.357	-0.502	-0.769	1.038	0.368	1.124
"YNL002C"	1.103	-3.547	-4.666	-4.12	-4.07	-1.784	-2.094	-3.305	-4.559	-4.222	1.193	-2.677	-1.824	-0.754	-2.627	-2.564	-1.766	-1.16	-5.196	-2.73	-3.468	-1.037	0.092	-2.277	-2.592	-2.588	0.49	-1.005	-0.035	-0.21	-1.411	-1.603	-1.349	-1.398	-2.774	-1.803	-1.355	-2.843	-2.776	-1.345	-1.453	-4.603	-3.349	-3.481	-2.594	-1.228	-3.245	-1.514	-4.466	-0.34	-0.516	-0.561	-0.154	-0.319	-0.32	-0.511	0.083	-0.379	0.535
"YNL060C"	0.317	-1.731	-2.662	-2.419	-3.546	-1.721	-1.567	-2.78	-3.921	-3.668	0.964	-2.68	-1.681	-0.705	-2.747	-2.318	-1.793	-1.252	-5.032	-2.397	-3.243	-0.727	-0.454	-0.815	-1.617	-1.851	0.049	-1.172	0.097	-0.028	-1.393	-2.139	-0.804	-1.813	-2.555	-1.449	-1.755	-2.391	-1.957	-1.153	-1.36	-4.389	-3.679	-3.38	-2.089	-1.556	-2.13	-1.679	-3.208	0.043	-0.332	-0.464	0.126	-0.084	-0.254	-0.351	0.061	-0.194	0.497
"YNL112W"	1.246	-1.15	-3.638	-4.951	-4.018	-4.954	-2.804	-3.939	-4.081	-3.89	0.302	-1.602	-0.246	-0.552	-2.928	-2.575	-2.492	-1.78	-3.476	-1.052	-3.27	-1.873	-0.202	-1.197	-2.356	-1.536	0.913	-1.55	0.151	0.171	1.15	-2.239	-1.107	-2.47	-3.587	-3.934	-1.916	-2.283	-3.379	-2.35	-2.948	-3.744	-5.056	-4.902	-4.336	-4.277	-4.121	-4.931	-4.027	-0.367	-0.757	-0.986	0.177	-0.113	-0.321	-1.308	0.669	-0.793	-0.678
"YNL248C"	0.836	-4.024	-4.791	-4.364	-4.315	-1.698	-2.601	-3.398	-4.455	-4.373	0.35	-2.352	-1.798	-0.75	-2.425	-2.173	-1.533	-0.87	-5.716	-4.575	-5.215	-1.291	-0.131	-2.98	-3.902	-3.609	0.041	-0.833	0.275	0.148	-1.065	-2.721	-1.15	-2.371	-2.958	-1.972	-1.687	-2.005	-1.857	-1.498	-1.978	-4.868	-2.931	NaN	-2.886	-1.415	-5.118	-2.214	-6.193	0.205	-0.111	-0.313	0.245	0.017	0.048	-0.27	0.732	0.291	0.881
"YNR038W"	0.484	-2.336	-2.862	-1.917	-2.204	-1.159	-1.156	-1.84	-2.465	-2.713	0.431	-1.148	-0.368	-0.272	-1.516	-1.481	-0.95	-0.812	-0.688	-2.543	1.177	-0.327	-0.175	-1.679	-1.731	-2.344	-0.033	0.237	-0.119	-0.315	-0.514	-0.28	-0.577	0.293	-0.493	-0.455	0.012	-0.419	-0.46	0.2895	-0.2075	-2.837	-1.199	-2.459	-1.876	-0.939	-2.866	-1.125	-3.058	-0.145	0.249	-0.676	-0.107	-0.039	0.079	0.475	0.059	0.003	0.226
"YOL077C"	1.019	-4.404	-5.439	-5.781	-5.04	-2.828	-2.032	-4.336	-5.22	-4.28	-0.02	-3.046	-2.24	-1.003	-2.83	-2.938	-2.428	-1.471	-5.186	-3.02	-6.552	-1.264	0.172	-3.299	-3.894	-4.326	0.147	-1.111	0.316	0.125	-1.609	-2.206	-1.771	-2.121	-3.287	-2.054	-2.035	-3.032	-2.96	-1.67	-2.119	-4.7	-3.568	-4.969	-3.866	-1.991	-4.679	-2.579	-5.145	0.11	-0.244	-0.323	-0.159	-0.298	-0.347	-0.447	0.503	0.002	0.78
"YOR004W"	0.461	-4.23	-4.757	-5.035	-3.548	-2.232	-2.269	-2.903	-3.62	-3.212	0.793	-2.188	-1.667	-1.371	-2.836	-2.823	-2.164	-1.583	-1.3775	-3.012	-5.273	-0.73	-0.092	-2.507	-2.832	-2.931	0.054	-0.665	0.104	-0.123	-1.765	-1.574	-1.447	-1.714	-3.285	-2.863	-1.069	-2.015	-2.54	-0.678	-1.917	-3.591	-0.102	-4.082	-3.247	-1.877	-3.651	-3.006	-4.043	-0.264	-0.624	-0.592	-0.259	-0.269	-0.406	-0.273	0.148	-0.345	0.336
"YOR095C"	0.564	-2.575	-4.521	-4.917	-4.288	-2.381	-1.787	-3.939	-4.34	-4.285	-0.091	-2.482	-1.866	-1.027	-2.47	-2.585	-2.162	-1.01	-1.698	-2.7255	-4.37	-1.691	0.306	-2.868	-3.333	-3.068	-0.354	-1.31	0.036	0.05	-1.727	-1.783	-1.316	-1.952	-3.094	-2.383	-1.51	-2.671	-2.685	-2.052	-2.568	-3.778	-3.474	-3.665	-3.086	-1.397	-3.849	-3.899	-4.298	-0.562	-0.703	-0.586	-0.224	-0.288	-0.244	-0.302	0.3	-0.146	0.522
"YOR206W"	0.784	-3.294	-5.087	-4.715	-3.702	-2.15	-1.66	-3.585	-5.083	-4.513	1.058	-2.605	-1.361	-0.863	-2.894	-2.77	-1.859	-1.39	-5.827	-3.681	-6.4785	-0.721	0.141	-3.151	-3.692	-3.694	0.413	-0.581	0.126	0.13	-1.193	-2.465	-1.499	-2.438	-3.65	-2.191	-1.944	-2.398	-2.168	-1.676	-1.716	-5.066	-3.011	-3.839	-2.816	-1.474	-4.003	-1.781	-4.817	-0.047	-0.287	-0.454	-0.221	-0.285	-0.273	-0.393	-0.08	-0.204	0.382
"YOR252W"	0.987	-1.279	-2.343	-1.316	-1.831	-0.817	-0.968	-2.11	-2.252	-1.787	0.143	-1.609	-1.13	-0.906	-1.58	-1.059	-1.138	-0.831	-1.9195	-1.5325	-2.9525	-0.553	-0.423	-1.037	-1.544	-1.207	0.281	-0.562	-0.079	0.016	-1.039	-0.81	-0.716	-0.925	-1.596	-1.538	-0.528	-1.58	-2.032	-0.8735	-1.321	-2.365	-1.717	-1.317	-1.491	-1.367	-1.116	-1.422	-2.721	-0.169	-0.309	-0.251	-0.017	-0.1	-0.509	-0.397	-0.473	-0.449	0.005
"YOR289W"	-0.113	2.96	3.218	3.265	3.068	2.084	2.317	2.572	2.935	2.676	-0.931	3.023	3.049	2.227	2.084	2.367	2.451	2.255	4.4405	1.207	-0.134	1.258	-0.335	2.725	2.161	1.533	0.981	0.793	-0.106	0.006	1.079	1.195	1.61	1.817	2.193	2.136	0.992	1.432	1.616	1.607	1.6655	3.401	2.489	2.723	2.032	1.25	1.83	1.271	3.745	0.698	-0.05	0.219	0.087	-0.197	-0.072	-0.192	-0.785	0.438	-0.855
"YPL044C"	0.983	-3.287	-4.106	-2.347	-2.774	-2.22	-1.959	-3.653	-4.783	-4.009	-1.177	-1.3	-0.361	-0.847	-2.49	-1.67	-1.658	-1.684	-4.1695	-2.688	-4.2355	-0.532	-0.662	-1.454	-2.06	-1.739	-0.46	0.56	0.081	-0.1	-1.06	-2.488	-1.241	-2.268	-2.683	-1.927	-1.517	-2.327	-1.645	-1.5505	-1.8455	-4.807	-4.166	-2.213	-1.964	-1.606	-1.495	-1.677	-2.954	0.157	-0.335	-0.17	-0.039	0.012	-0.031	-0.49	0.348	0.065	-0.008
"YPL265W"	-0.422	1.567	2.479	2.245	1.984	1.73	0.654	2.133	1.938	2.102	-0.7475	1.375	0.961	0.236	1.5115	1.8085	1.7395	0.8785	2.341	1.412	-1.1765	2.085	0.071	2.132	0.984	0.242	-0.994	2.086	0.012	0.077	1.817	0.898	1.99	0.337	0.656	0.234	0.0	0.846	0.949	-0.309	-0.0665	2.727	0.905	2.618	2.0675	1.0675	0.345	1.5905	0.1915	-0.3405	0.574	1.4295	-0.8945	-0.556	0.3195	1.307	0.27	0.398	-0.698
"YPL273W"	0.178	-0.7835	-1.992	-2.0635	-2.2005	-1.1265	-1.2115	-1.7945	-2.3665	-2.375	-0.400333333333333	-1.257	-1.622	-0.5265	-0.916	-1.504	-1.141	-0.931666666666667	-3.42133333333333	-3.722	-5.69966666666667	-0.3405	0.217	-2.794	-3.21	-3.3575	-0.192	-0.098	0.151	0.326	-0.6175	-1.3525	-1.632	-1.7685	-2.1035	-1.738	-1.2695	-1.784	-1.728	-0.626	-1.961	-2.24	0.56	-1.97	-1.752	-0.855	-1.838	-1.209	-3.012	-0.582	-0.445	-0.193	-0.316	-0.166	0.007	-0.53	0.266	-0.187	0.041
"YPR010C"	-0.322	-2.2405	-3.225	-2.949	-2.887	-1.446	-2.017	-3.0415	-3.3095	-3.049	0.0873333333333333	-0.1445	-1.1405	-1.042	-1.94733333333333	-2.196	-1.75433333333333	-1.29866666666667	-2.19933333333333	-1.86833333333333	-3.425	-0.899	-0.039	-1.852	-2.158	-2.729	-0.216	-0.6125	-0.134	0.085	-0.994	-1.604	-1.222	-1.0915	-1.1495	-1.4615	-0.821	-1.103	-1.1515	-1.50433333333333	-1.50166666666667	-3.0355	-0.311	-3.6845	-2.23	-1.6575	-3.8585	-2.014	-3.761	-0.039	0.131	-0.2	0.2335	0.214	0.0945	-0.2925	0.17	-0.435	0.034
