	"585.21 deg growth"	"598.29 deg growth"	"814.DBYmsn2-4- 37degree heat - 20 min"	"824.DY1457 (wild type) 10 uM zinc vs. 3 mM"	"854.YPD_6_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"943.starv_in_H2O_2_h_30C"	"1012.YPD 12 h (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1252.mec1_plus_gamma_30_min"	"2554.Hypo-osmotic shock -15 minutes"	"2555.Hypo-osmotic shock -30 minutes"	"2556.Hypo-osmotic shock - 45 minutes"	"2557.Hypo-osmotic shock - 60 minutes"	"4872.1M sorbitol - 60 min"	"5237.DES460 (wt) - mock irradiation - 5 min"	"6439.DES459 (mec1-) + 0.02% MMS - 30 min"	"7540.pRS-ROX1 GAL media"	"8521.dun1- + 0.02% MMS - 120 min"	"8522.DES459 (mec1-) + 0.02% MMS - 45 min"	"8523.DES459 (mec1-) + 0.02% MMS - 60 min"	"8524.DES459 (mec1-) + 0.02% MMS - 90 min"	"8525.DES459 (mec1-) + 0.02% MMS - 120 min"	"8526.dun1- + 0.02% MMs - 30 min"	"8528.dun1- + 0.02% MMS - 90 min"	"12733.Nitrogen Depletion 8 h"	"12734.Nitrogen Depletion 12 h"	"12736.Nitrogen Depletion 1 d"	"12737.Nitrogen Depletion 2 d"	"12738.Nitrogen Depletion 3 d"	"12741.Nitrogen Depletion 1 h"	"30773.Pomona/Brown Sir3x red"	"32250.DBY8778_heat_shock2_0min"	"32627.S1Comp 11 hr 10 min Sulfate Batch vs Chemostat Comparison"	"32628.S1Comp 12 hr 57 min Sulfate Batch vs Chemostat Comparison"	"32629.S1Comp 15 hr 20 min Sulfate Batch vs Chemostat Comparison"	"32630.S1Comp 18 hr 00 min Sulfate Batch vs Chemostat Comparison"	"32631.S1Comp 20 hr 10 min Sulfate Batch vs Chemostat Comparison"	"32632.S1Comp 22 hr 05 min Sulfate Batch vs Chemostat Comparison"	"32633.S1Comp 24 hr 10 min Sulfate Batch vs Chemostat Comparison"	"33258.delKIN82_heat shock _5min"	"33414.delKIN82_heat shock _0min_repeat"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34362.batch 02X25 5"	"34365.batch 02X25 6"	"34368.batch 02X25 7"	"34882.S4Comp 13 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34883.S4Comp 14 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34885.S4Comp 34 hr 20 min Sulfate Batch vs Chemostat Comparison"
"YLR083C"	-0.1	0.124	-1.582	-0.086	-3.703	-2.021	-2.216	-3.767	-2.103	-3.208	-2.031	-2.545	-2.29	-3.88	-3.36	-0.312	0.194	0.22	0.222	0.203	0.145	-0.674	-0.492	-0.2	-0.217	-0.269	-0.259	-0.256	-0.083	0.023	-0.09	-2.227	-2.339	-2.644	-3.016	-2.773	-1.283	0.391	-0.092	-2.049	-2.703	-0.932	-1.363	-1.715	-2.118	-1.967	-1.087	-0.142	-3.186	-2.942	-1.706	-3.492	-2.869	-2.182	-2.82	-1.27	-2.06	-1.209	-2.508	-2.533	-1.874
"YLR175W"	0.53	0.253	-1.812	0.267	-5.607	-2.484	-3.068	-3.401	-3.068	-4.678	-2.762	-3.408	-3.701	-4.364	-4.96	0.148	0.356	0.481	0.28	0.135	0.21	-1.179	-0.114	-0.36	0.027	0.521	0.435	0.238	-0.142	0.15	0.079	-3.576	-2.388	-2.612	-2.291	-2.553	-1.769	0.268	-0.321	-4.948	-3.558	-5.174	-4.349	-4.036	-4.782	-3.935	-0.851	-0.04	-3.995	-3.16	-1.549	-4.338	-2.959	-2.455	-2.526	-2.564	-3.796	-2.767	-1.757	-1.996	-1.813
"YLR197W"	0.69	0.271	-1.659	0.167	-5.817	-2.789	-3.255	-4.736	-3.238	-5.671	-3.067	-3.716	-4.423	-4.976	-5.033	0.323	0.288	0.464	0.357	0.193	0.131	-1.26	0.096	-0.175	0.026	0.348	0.412	0.328	0.333	-0.12	-0.021	-3.686	-3.052	-3.145	-3.099	-2.81	-2.075	0.08	0.723	-3.38	-2.979	-2.274	-2.771	-3.077	-2.443	-1.921	-0.206	0.508	-4.983	-3.17	-1.095	-4.545	-3.045	-2.593	-2.321	-2.826	-3.736	-2.197	-2.292	-2.639	-2.237
"YML124C"	-0.432	0.067	-0.272	0.122	2.147	-2.318	-1.733	-3.412	-1.596	-0.028	-1.625	-0.926	-1.685	-2.001	-2.075	0.055	0.101	-0.092	0.097	0.267	-0.13	0.336	-0.052	0.247	0.358	0.088	0.084	0.027	0.032	-0.008	0.381	-0.397	-1.541	-0.942	-1.329	-1.454	-0.21	0.174	-0.132	-1.204	-2.28	-2.662	-2.598	-2.145	-3.743	-2.394	0.011	-0.171	-1.007	-1.813	-1.538	-1.289	-1.385	-0.91	-1.554	-1.044	-1.321	-1.315	-1.082	-1.164	-0.847
"YMR049C"	0.336	-0.121	-1.459	-0.162	-5.984	-1.967	-2.748	-4.225	-2.567	-4.161	-2.318	-2.279	-3.3	-3.396	-4.217	0.486	0.949	0.717	0.395	0.16	0.032	-1.361	-0.465	-0.244	NaN	-0.053	0.396	0.104	-0.055	NaN	0.0	-2.978	-1.649	-1.598	-1.736	-1.727	-2.4	0.067	-1.163	-3.425	-2.407	-2.869	-2.619	-2.63	-2.67	-1.793	-1.254	-0.347	-3.221	-3.559	-2.595	-4.037	-2.722	-2.729	-1.772	-1.54	-2.216	-1.377	-1.457	-1.733	-1.636
"YMR079W"	0.118	-0.018	-0.867	0.038	-0.105	-1.001	-0.492	-2.074	-1.512	-2.011	-1.258	-1.294	-1.666	-1.971	-2.855	-0.056	0.134	0.116	0.061	0.01	0.177	-0.557	-0.038	-0.836	-0.144	-0.189	-0.21	-0.056	-0.265	-0.157	-0.028	-1.254	-1.732	-1.54	-1.041	-1.669	-0.724	0.11	-0.249	-0.997	-1.483	-1.22	-0.731	-0.865	-1.131	-0.66	-0.765	-0.016	-2.383	-1.935	-1.906	-2.232	-2.162	-1.733	-0.738	-1.308	-1.868	-1.577	-1.551	-1.369	-1.516
"YMR108W"	-0.116	-0.107	0.103	0.298	-3.633	-0.739	-0.41	-1.256	-1.784	-1.305	-0.582	-0.836	-0.647	-0.925	-1.957	0.035	0.646	0.662	0.603	0.566	-0.103	-0.413	0.342	-0.185	0.369	0.362	0.176	0.132	0.093	0.553	0.738	-0.916	-0.216	0.098	0.17	0.641	-0.264	0.332	0.171	-1.909	-2.133	-2.714	-2.315	-2.155	-2.671	-2.511	0.678	0.658	-2.375	-2.156	-1.358	-3.767	-1.84	-1.43	-2.169	-1.069	-1.195	-0.942	NaN	-2.35	-2.475
"YMR215W"	-0.286	-0.145	-0.744	-0.353	-0.683	-3.881	-1.933	-3.705	-1.984	-1.783	-2.081	-3.365	-2.939	-2.956	-3.467	-0.936	0.024	-0.359	0.122	0.364	0.391	-0.77	-0.004	-0.841	-0.04	-0.052	-0.04	0.109	0.191	0.025	0.081	-0.749	-2.906	-2.833	-3.107	-2.889	-1.002	0.169	-0.045	-1.689	-2.536	-2.977	-2.51	-2.217	-2.297	-2.632	-0.397	0.198	-2.516	-2.595	-2.288	-1.493	-2.789	-1.7	-3.226	-0.806	-2.021	-2.125	-2.586	-2.739	-2.507
"YMR217W"	-0.01	0.074	-1.98	0.355	-5.293	-2.518	-3.785	-4.735	-2.869	-4.287	-3.341	-4.118	-3.713	-4.205	-4.469	-0.172	0.986	0.752	0.662	0.38	0.291	-1.381	-0.502	-0.104	-0.059	-0.688	-0.657	-0.394	-0.338	-0.472	0.039	-2.638	-1.947	-2.445	-2.596	-2.646	-3.0	0.2045	-0.404	-3.366	-3.338	-2.753	-3.375	-3.165	-3.617	-3.375	-0.335	0.376	-3.621	-2.927	-2.073	-4.222	-3.421	-2.938	-3.323	-2.585	-3.089	-2.462	-2.244	-2.483	-3.237
"YMR290C"	0.685	0.058	-1.864	0.218	-5.132	-2.719	-3.471	-3.509	-3.378	-4.614	-3.295	-3.716	-3.219	-3.665	-2.938	0.484	0.893	1.004	0.521	0.295	-0.092	-1.015	-0.646	-0.277	-0.155	-0.334	-0.35	-0.259	-0.37	-0.52	-0.094	-2.555	-1.385	-2.008	-2.242	-2.242	-2.481	0.1175	-1.382	-3.596	-1.884	-2.699	-1.734	-2.268	-2.792	-1.539	-1.122	-0.124	-4.028	-3.856	-2.84	-4.544	-3.558	-3.243	-3.217	-2.307	-3.084	-2.267	-2.241	-2.219	-2.675
"YMR307W"	-0.045	-0.051	-1.3	-0.055	-2.669	-3.74	-1.803	-5.132	-2.482	-3.55	-2.493	-3.39	-4.432	-5.016	-4.56	-0.753	0.064	-0.049	0.224	0.21	0.827	-0.879	-0.284	-0.404	-0.502	-0.306	-0.414	-0.171	-0.098	-0.278	-0.41	-1.879	-3.414	-3.754	-3.788	-4.475	-0.695	0.506	-0.766	-2.141	-3.757	-3.663	-3.702	-3.808	-3.826	-4.145	-0.569	0.414	-4.574	-3.18	-2.725	-2.866	-2.995	-1.549	-2.736	-1.776	-2.72	-2.29	-4.513	-4.259	-3.634
"YMR309C"	0.525	0.016	-1.127	-0.07	-3.127	-1.855	-1.52	-3.731	-2.363	-3.374	-1.926	-2.303	-3.144	-3.173	-3.384	-0.045	0.696	0.173	0.089	-0.004	-0.046	-1.006	-0.316	-0.447	-0.197	-0.101	-0.063	-0.065	-0.139	-0.322	-0.185	-2.375	-2.067	-1.828	-1.969	-1.831	-1.138	0.3095	-0.67	-3.129	-2.368	-1.718	-1.779	-2.664	-3.686	-1.868	-2.022	-0.339	-3.723	-3.06	-2.126	-3.181	-2.122	-2.245	-2.356	-1.564	-2.46	-1.712	-2.148	-1.946	-1.728
"YMR318C"	-0.212	0.044	0.075	0.462	-2.436	-3.244	-3.511	-3.467	-1.406	-1.737	-3.398	-2.822	-2.227	-2.227	-2.879	0.923	0.687	0.428	0.223	0.101	0.164	0.302	0.408	0.141	0.686	0.459	0.429	0.523	0.558	0.348	0.736	-1.03	-2.48	-2.615	-3.058	-3.595	-0.008	0.254	0.163	-2.761	-3.696	-4.061	-3.573	-2.503	-3.591	-2.962	0.771	0.176	-2.657	-3.304	-2.577	-1.919	-3.653	-1.553	-2.369	-1.933	-2.109	-2.415	-2.479	-2.691	-3.285
"YNL247W"	0.095	-0.123	-0.894	0.225	-2.799	-1.822	-1.928	-3.191	-2.065	-2.936	-1.899	-2.277	-2.658	-3.388	-2.515	0.329	0.341	0.563	0.518	0.363	-0.061	-0.072	0.047	0.325	0.142	0.497	0.291	0.432	0.294	-0.036	0.007	-1.584	-1.822	-2.534	-2.379	-3.057	-0.801	0.108	-0.331	-1.838	-2.165	-2.812	-1.992	-2.512	-3.103	-2.052	-0.077	0.23	-3.771	-2.246	-1.56	-2.994	-2.147	-1.583	-1.551	-2.085	-2.507	-1.745	-2.157	-2.15	-2.549
"YOL097C"	-0.083	-0.057	-0.617	0.293	-4.26	-0.4555	-2.768	-0.491	-2.464	-3.246	-2.609	-2.685	-3.398	-4.044	-4.151	0.27	0.226	0.295	0.232	0.056	-0.49	-0.771	-0.172	-0.288	-0.028	0.21	0.377	-0.002	-0.08	0.101	0.027	-2.068	-2.391	-2.326	-2.14	-2.5	-0.788	0.149	-0.19	-2.601	-2.452	-3.599	-2.957	-2.921	-2.787	-2.608	0.473	-0.035	-2.626	-2.945	-1.799	-3.063	-3.051	-2.335	-2.523	-1.581	-2.287	-1.692	-1.226	-1.83	-1.616
"YOR147W"	0.293	-0.263	0.111	-0.161	1.195	1.051	0.922	1.4	0.759	1.946	0.821	1.21	1.061	1.235	0.867	-0.195	-0.245	-0.011	-0.042	-0.19	-0.32	-0.247	-0.27	-0.148	-0.065	0.073	0.084	-0.193	-0.105	-0.415	-0.31	0.426	0.754	0.774	0.354	0.832	0.371	0.075	0.121	-1.762	-2.689	-2.417	-1.968	-1.695	-2.339	-1.598	-0.479	-0.399	1.873	2.462	2.165	2.211	2.097	2.306	1.644	0.756	0.951	1.096	-1.058	-0.609	0.468
"YOR254C"	0.269	-0.111	-0.203	0.276	-2.6515	-1.671	-1.5485	-2.192	-1.8245	-2.631	-1.904	-1.86	-2.354	-2.689	-2.309	-0.074	0.594	0.474	0.497	0.348	0.143	-0.462	0.097	-0.622	0.272	0.29	0.301	0.411	0.629	0.112	0.03	NaN	-1.388	-1.468	-1.679	-1.489	-0.291	0.143	-0.334	-2.398	-2.867	-3.196	-2.86	-2.436	-2.896	-2.216	-0.119	-0.008	-2.166	-2.254	-1.27	-2.342	-2.212	-1.537	-2.314	-1.367	-1.792	-1.343	-1.601	-1.239	-1.819
"YOR260W"	0.052	0.035	-0.397	0.195	-2.6835	-1.6735	-1.833	-2.507	-1.8705	-1.898	-1.513	-1.624	-2.257	-2.577	-3.081	0.186	0.365	0.406	0.257	0.092	-0.213	-0.459	0.264	0.007	0.3	0.439	0.338	0.452	0.445	-0.014	0.185	-1.214	-0.98	-0.972	-1.183	-1.067	-0.29	0.165	-0.71	-1.538	-1.792	-2.218	-2.159	-1.35	-2.125	-1.582	-1.086	-0.175	-2.096	-1.909	-1.298	-2.099	-1.944	-1.556	-2.111	-1.102	-1.443	-0.952	-0.765	-0.964	-1.341
"YOR271C"	-0.408	-0.142	-0.739	0.038	-3.7765	-1.9525	-2.9425	-2.276	-2.246	-1.553	-0.749	-1.175	-1.395	-0.914	-1.184	-0.357	0.113	0.266	0.209	0.174	0.0	-0.832	-0.173	-0.005	0.0	-0.339	-0.367	-0.405	-0.307	-0.26	0.268	-1.193	-0.759	-1.093	-0.774	-0.826	-0.721	0.161	-0.249	-1.371	-2.071	-1.695	-2.037	-2.453	-2.412	-2.235	0.115	-0.105	-3.724	-3.078	-2.25	-3.946	-2.638	-2.47	-2.264	-1.704	-1.832	-1.135	-1.861	-2.292	-2.346
"YOR309C"	0.623	0.177	-1.687	0.31	-6.798	-3.75	-3.942	-4.234	-3.9105	-5.839	-3.704	-4.353	-4.746	-5.449	-5.009	0.124	0.511	0.563	0.634	0.468	0.043	-1.12	-0.342	-0.133	-0.223	0.059	0.399	0.071	0.133	-0.053	0.026	-3.577	-2.601	-2.983	-2.775	-3.093	-2.504	0.051	-0.098	-2.996	-2.499	-4.498	-4.059	-1.709	-3.062	-3.667	-1.156	-0.166	-2.543	-3.28	-1.503	-4.097	-3.518	-2.477	-3.672	-1.191	-3.28	-2.75	-1.85	-1.878	-2.138
"YOR310C"	0.545	0.4	-1.494	0.492	-6.006	-3.303	-3.319	-4.7765	-3.585	-5.777	-3.838	-4.105	-4.745	-5.099	-4.866	0.311	0.809	0.582	0.641	0.466	0.202	-1.306	-0.056	-0.17	0.04	0.251	0.315	0.322	0.134	0.101	0.281	-3.238	-2.67	-2.757	-2.944	-3.125	-2.411	0.099	-0.504	-3.475	-3.205	-3.459	-3.567	-3.426	-3.303	-1.99	-1.413	0.333	-4.564	-4.629	-3.407	-5.14	-4.292	-3.502	-2.073	-2.54	-3.229	-2.493	-3.138	-3.403	-2.722
"YOR361C"	0.1585	-0.069	-1.0055	0.0225	-1.94833333333333	-1.84133333333333	-2.513	-2.869	-0.816666666666667	-2.3735	-2.3155	-1.899	-2.266	-1.977	-2.109	-0.012	1.025	0.5685	0.4405	0.191	0.099	-0.306	-0.236	-0.1095	0.0475	0.1295	0.301	-0.1005	0.3085	0.044	-0.013	-1.9175	-1.9175	-2.1945	-2.123	-2.254	-1.1565	0.242	-0.237	-2.153	-2.126	-2.965	-1.833	-1.484	-2.584	-2.465	-0.675	-0.366	-3.164	-2.531	-2.216	-2.444	-2.215	-2.035	-2.389	-1.542	-2.35	-1.863	-1.744	-1.508	-1.692
"YPL160W"	-0.125	-0.115	-1.2135	0.327333333333333	-3.26033333333333	-1.47166666666667	-2.13233333333333	-3.08233333333333	-2.35066666666667	-4.0365	-2.449	-2.824	-3.1695	-3.499	-2.977	0.4205	0.4155	0.547	0.7685	0.5555	0.0515	-0.229	-0.221	-0.0265	-0.1515	0.08	0.0835	-0.133	0.044	-0.0855	-0.227	-2.501	-2.4615	-2.584	-2.827	-2.7275	-0.8585	0.309	0.0415	-1.912	-2.124	-2.5015	-1.7655	-2.1145	-2.096	-1.5875	-0.133	-0.156	-3.477	-2.958	-2.059	-3.512	-2.719	-2.2345	-2.589	-1.3955	-1.7245	-1.4145	-1.376	-1.059	-1.5195
"YPL237W"	0.429	0.291	-0.416	0.3845	-2.6285	-2.029	-2.27	-2.875	-1.39	-2.288	-1.817	-1.927	-2.006	-2.44	-3.024	0.282	0.346	0.378	0.338	0.129	0.071	-0.632	0.172	0.013	-0.031	0.887	0.59	0.447	0.435	-0.008	0.056	-0.827	-0.785	-0.865	-0.786	-0.706	0.325	-0.081	-0.021	-1.448	-2.465	-1.988	-2.25	-1.95	-1.975	-0.581	-0.328	0.021	-1.885	-1.966	-0.951	-1.535	-1.455	-1.555	-1.695	-1.129	-1.276	-1.167	-1.051	-1.383	-1.178
"YPL244C"	0.0475	-0.1995	-0.036	0.061	-0.695	-1.295	-0.713	-2.5495	-1.447	-0.816	-0.954	-0.926	-1.204	-1.807	-0.822	-0.192	0.144	-0.02	-0.097	-0.073	-0.327	-0.417	0.271	0.192	0.085	0.182	0.008	0.12	0.283	-0.163	0.0	-1.268	-1.082	-1.16	-1.232	-0.983	-0.384	0.182	-0.171	-1.332	-1.54	-2.438	-1.545	-0.893	-1.411	-1.502	-0.894	-0.304	-0.851	-1.07	-0.842	-1.213	-1.244	-1.037	-1.878	-0.533	-0.96	-1.018	-1.109	-1.178	-1.017
"YPR010C"	-0.0623333333333333	-0.179333333333333	-1.7105	0.243666666666667	-2.19933333333333	-1.582	-1.21766666666667	-1.86833333333333	-2.13833333333333	-1.991	-1.8945	-1.5645	-1.852	-2.158	-2.729	0.148	0.8425	0.8645	0.7125	0.4785	-0.0985	-0.3175	-0.8255	0.2695	-0.295	-0.586	-0.328	-0.3555	-0.374	-0.394	-0.191	-2.1695	-1.707	-1.335	-1.156	-1.6705	-1.737	-0.024	-0.5255	-2.823	-2.0345	-3.192	-2.402	-1.19	-2.3235	-1.94	-1.46	-0.1145	-2.412	-2.1855	-1.629	-3.761	-2.866	-2.5065	-2.7385	-1.6315	-2.3365	-1.523	-1.477	-1.654	-1.3085
"YPR027C"	0.154	-0.0355	-0.253	-0.24	2.9505	1.2525	2.0225	2.0065	1.471	3.358	1.073	1.182	1.903	2.26	1.341	-0.823	-0.357	-0.387	-0.208	-0.323	-0.024	0.189	-0.199	-0.313	0.0	-0.36	-0.282	-0.121	-0.109	-0.163	-0.233	-0.115	-0.27	-0.891	-1.199	-1.225	-0.274	0.015	-0.533	-1.578	-1.135	-0.42	-0.469	-1.594	-0.687	-1.706	-0.171	-0.344	1.568	1.704	0.616	1.783	1.489	0.417	0.928	0.415	-0.072	0.321	0.328	-0.225	-0.719
"YPR033C"	-0.27	-0.0965	-0.694	0.4925	-2.7945	-2.534	-2.142	-4.8805	-2.0735	-2.203	-2.096	-2.55	-3.951	-4.382	-4.54	0.58	0.576	0.519	0.458	0.431	0.015	-0.576	-0.588	-0.041	0.149	0.245	0.391	0.132	0.067	0.435	0.133	-1.213	-2.213	-2.318	-2.374	-2.285	-0.646	0.327	-0.264	-1.4505	-1.478	-1.7485	-1.877	-2.2955	-2.43	-2.3255	0.257	0.085	-2.1325	-2.033	-1.22	-2.0305	-1.9695	-1.4105	-2.053	-1.1885	-1.6665	-1.289	-1.59	-2.03	-1.855
"YPR074C"	-0.234	-0.005	-0.561	0.3975	-3.2435	-3.2975	-2.2945	-5.337	-2.2005	-3.649	-2.351	-3.162	-3.369	-3.61	-3.663	-0.988	0.179	0.14	0.105	0.029	-0.227	-0.174	-0.254	0.4	-0.113	-0.412	-0.489	-0.36	-0.275	-0.177	0.008	-2.906	-3.257	-3.973	-3.946	-4.176	-1.071	0.172	-0.103	-1.879	-3.097	-3.071	-1.863	-1.688	-3.316	-2.418	-0.173	0.114	-4.473	-3.729	-1.348	-2.351	-3.123	-1.997	-3.18	-1.879	-2.334	-2.026	-2.835	-3.446	-2.642
"YPR110C"	-0.0145	0.1595	-1.316	0.123	-5.7185	-2.8345	-3.133	-3.662	-3.296	-3.88	-2.175	-2.703	-2.993	-3.212	-3.358	0.381	0.744	0.68	0.608	0.565	-0.091	-1.228	-0.426	-0.233	-0.157	0.029	0.041	-0.052	-0.042	-0.159	0.216	-2.073	-1.7	-1.695	-1.635	-1.402	-1.505	-0.194	-0.697	-2.196	-2.065	-2.823	-2.146	-2.061	-2.718	-1.381	-0.653	0.128	-2.851	-1.853	-0.937	-3.882	-3.113	-2.597	-2.759	-1.843	-2.294	-1.225	-1.581	-2.205	-1.051
"YPR163C"	0.263	0.2055	-0.617	0.1245	-3.6815	-1.8375	-0.93	-2.9485	-2.469	-3.136	-2.05	-2.325	-2.642	-2.895	-2.82	0.009	0.28	0.642	0.629	0.538	-0.06	-0.87	-0.001	-0.095	-0.448	0.187	0.436	0.209	0.127	-0.222	-0.36	-1.693	-1.345	-1.666	-1.832	-2.618	-1.285	0.195	-0.27	-2.378	-2.41	-1.273	-2.071	-2.191	-1.804	-1.744	-0.303	0.108	-3.506	-3.14	-1.955	-3.575	-2.873	-2.034	-2.32	-1.525	-1.861	-1.509	-1.493	-1.627	-1.336
