	"597.25 deg growth"	"598.29 deg growth"	"809.DBY7286 37degree heat - 20 min"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"4872.1M sorbitol - 60 min"	"4874.1M sorbitol - 90 min"	"5358.1M sorbitol - 5 min"	"6361.DBYyap1- 37degree heat - 20 min (redo)"	"12733.Nitrogen Depletion 8 h"	"12734.Nitrogen Depletion 12 h"	"12736.Nitrogen Depletion 1 d"	"12737.Nitrogen Depletion 2 d"	"42200.L2 Comp 24 hr 59 min Leucine Batch vs Chemostat Comparison"	"42226.U2 Comp 10 hr 05 min Uracil Batch vs Chemostat Comparison"	"42231.U2 Comp 31 hr 35 min Uracil Batch vs Chemostat Comparison"
"YNL162W"	0.23	0.291	-1.102	-2.858	-6.425	-2.86	-2.872	-3.999	-2.089	-2.0	-2.0	-1.742	-2.487	-3.468	-0.03	-0.153	-0.294	-1.403	-2.438	-1.199	-0.779	-0.531	-0.019	-0.248	0.134
"YNL175C"	0.427	0.362	-1.66	-2.872	-6.011	-2.575	-2.601	-4.587	-2.405	-2.804	-2.484	-2.404	-3.809	-2.849	0.344	0.153	-0.324	-2.265	-2.73	-1.188	-1.745	-1.871	1.491	0.3665	0.4625
"YNL178W"	0.402	0.34	-1.826	-4.338	-6.62	-3.239	-3.307	-4.97	-2.608	-2.899	-2.981	-2.958	-3.483	-3.871	0.438	-0.138	-0.352	-2.137	-3.866	-2.566	-1.607	-2.071	0.181	0.585	0.512
"YNL189W"	0.045	0.011	-0.2	-2.367	-4.06	-0.86	-0.875	-0.589	-1.0	-1.33	-1.294	-2.058	-2.641	-3.084	-0.273	-0.263	0.114	-0.413	-0.42	-0.967	-1.047	-1.062	0.54	0.121	-0.683
"YNL209W"	0.27	0.179	-1.597	-4.055	-5.803	-3.728	-2.985	-4.059	-2.262	-2.633	-2.99	-3.596	-3.829	0.396	0.134	0.069	-0.16	-0.25	-3.24	-2.745	-2.606	-2.878	1.376	1.072	-0.365
"YNL247W"	0.151	-0.123	-1.11	-3.191	-4.64	-2.34	-2.065	-2.936	-1.062	-1.899	-2.277	-2.658	-3.388	-2.515	-0.061	0.091	-0.388	-1.462	-1.584	-1.822	-2.534	-2.379	0.208	-1.398	0.097
"YNR018W"	0.006	0.052	-0.343	-1.761	-2.4725	-0.6775	-0.4755	-0.114	-0.547	-1.208	-1.161	-0.557	-1.99	-0.83	-0.417	0.003	-0.141	-0.182	0.009	-0.316	-0.798	-0.485	0.203	-0.244	0.287
"YOR164C"	-0.18	0.039	-0.136	-2.555	-4.0095	-0.8525	-0.972	-0.15	-0.36	-0.909	-1.072	-1.603	-1.956	-2.107	0.197	0.216	0.38	-0.447	0.11	-0.345	-0.763	-1.272	-0.693	-0.646	-0.245
"YOR198C"	0.386	0.401	-0.566	-4.452	-5.562	-0.8245	-1.185	-2.46	-1.543	-2.3	-2.828	-4.384	-4.657	-4.415	0.253	0.15	-0.098	-0.817	-1.284	-2.749	-2.555	-2.772	1.423	-0.319	0.296
"YOR239W"	-0.194	0.031	-0.598	-3.232	-5.0985	-0.9345	-1.0745	-1.631	-1.273	-2.053	-2.15	-3.149	-3.934	-3.704	-0.205	0.159	0.184	-0.933	-1.752	-1.963	-1.992	-1.951	-0.013	-0.611	0.795
"YOR240W"	0.45	0.358	-0.405	-2.8765	-3.6975	-0.756	-1.1745	-1.328	-0.886	-1.773	-1.486	-2.693	-3.23	-2.674	-0.012	0.068	0.191	-0.743	-0.821	-1.891	-1.707	-1.475	0.876	-0.769	0.249
"YOR270C"	-0.09	0.059	-0.232	-1.649	-4.932	-0.968	-1.027	-0.098	-0.361	-0.855	-0.859	-1.912	-2.307	-2.635	-0.217	-0.07	0.079	-0.343	-0.332	-1.313	-1.465	-1.872	-0.018	-0.283	0.058
"YOR287C"	0.791	NaN	-0.642	-1.4075	-2.752	-2.833	-1.879	-2.146	-1.162	-1.159	-1.269	-1.379	-1.621	-2.266	-0.023	0.025	-0.451	-0.67	-1.12	-0.482	-0.505	-0.301	0.802	-0.526	-0.151
"YOR310C"	0.496	0.4	-1.291	-4.7765	-7.1385	-3.766	-3.585	-5.777	-2.773	-3.838	-4.105	-4.745	-5.099	-4.866	0.202	0.415	-0.086	-1.628	-3.238	-2.67	-2.757	-2.944	1.94	-0.004	0.315
"YOR369C"	0.14	0.43	-1.683	-3.724	-6.5475	-3.0405	-3.6415	-3.998	-2.456	-2.858	-2.986	-2.456	-2.662	-3.502	0.217	-0.196	-0.511	-1.941	-3.251	-2.35	-1.335	-1.066	-0.039	0.368	-0.276
"YPL048W"	-0.181	-0.141	-0.991	-3.2175	-4.579	-1.1285	-1.2575	-0.653	-0.541	-1.113	-0.823	-1.535	-1.925	-2.183	0.073	-0.299	0.406	-0.638	-0.85	-1.148	-1.593	-1.494	-0.6	-1.244	-0.935
"YPL079W"	0.007	0.449	-1.437	-3.892	-6.4765	-3.085	-3.172	-4.735	-2.781	-2.741	-3.087	-3.015	-3.498	-4.547	0.031	-0.058	-0.257	-1.713	-3.141	-2.001	-1.716	-1.575	-0.291	0.752	0.824
"YPL081W"	0.036	0.313	-0.734	-3.4025	-6.801	-2.5355	-2.916	-4.022	-2.461	-2.849	-2.929	-2.789	-2.909	-3.725	0.099	0.136	-0.323	-0.736	-2.373	-1.895	-1.906	-1.527	0.841	0.004	-0.366
"YPL090C"	0.477	0.567	-1.691	-4.364	-6.197	-3.398	-3.223	-5.307	-2.412	-2.833	-2.954	-3.292	-3.309	-4.719	-0.045	0.066	-0.082	-1.907	-3.271	-2.127	-1.378	-1.342	1.227	0.51	0.566
"YPL093W"	0.5	0.5825	-0.5875	-0.981	-2.24066666666667	-1.266	-1.41733333333333	-2.4435	-1.6935	-1.4615	-1.374	-1.4495	-1.3195	-1.8055	0.0735	-0.128	-0.6015	-0.5585	-0.6335	0.432	-1.0295	-0.5265	0.4085	0.0025	-0.132
"YPL142C"	0.3215	0.5615	-1.361	-3.5865	-5.604	-2.825	-3.3035	-4.155	-2.082	-2.303	-2.376	-2.148	-2.632	-2.979	0.2	-0.016	-0.128	-1.793	-2.534	-1.836	-1.152	-1.22	-0.095	0.829	-0.053
"YPL160W"	0.0683333333333333	-0.115	-1.107	-3.08233333333333	-5.284	-2.22666666666667	-2.35066666666667	-4.0365	-1.8835	-2.449	-2.824	-3.1695	-3.499	-2.977	0.0515	0.0055	-0.189	-1.148	-2.501	-2.4615	-2.584	-2.827	0.2515	-0.0125	0.4305
"YPL186C"	-0.695	-0.374	0.696	3.9855	4.699	3.634	2.8435	1.511	1.76	2.76	2.023	2.83	3.48	3.115	0.206	0.0	0.112	2.418	2.214	2.319	2.447	2.205	0.094	-1.011	-0.885
"YPL226W"	0.113333333333333	-0.103666666666667	-0.5685	-3.95033333333333	-5.67966666666667	-3.37333333333333	-2.503	-4.0095	-2.363	-2.3985	-2.8955	-3.407	-2.9025	-3.983	-0.0735	0.0015	-0.23	-0.7595	-2.562	-2.2435	-2.2755	-1.7945	0.93	-0.257	0.351
"YPL273W"	-0.002	0.116666666666667	-1.352	-3.722	-5.69966666666667	-2.94366666666667	-2.86466666666667	-2.8035	-2.088	-2.4545	-3.2755	-2.794	-3.21	-3.3575	0.0235	-0.129	0.0565	-1.632	-1.99	-1.821	-2.3675	-2.6985	-1.255	-0.694	0.7
"YPR102C"	0.093	0.317	-1.491	-4.045	-6.451	-3.5055	-4.118	-4.644	-2.495	-2.723	-3.232	-3.352	-3.749	-4.692	0.219	0.076	0.033	-1.815	-3.121	-2.243	-1.685	-1.678	0.155	0.103	0.21
"YPR110C"	0.077	0.1595	-0.986	-3.662	-6.318	-3.01	-3.296	-3.88	-2.186	-2.175	-2.703	-2.993	-3.212	-3.358	-0.091	-0.257	-0.623	-1.216	-2.073	-1.7	-1.695	-1.635	0.195	-0.432	-0.045
"YPR132W"	0.185	0.472	-1.078	-3.1925	-5.805	-2.5895	-3.048	-3.788	-1.948	-2.214	-2.292	-1.968	-2.388	-3.151	0.125	0.057	0.058	-1.376	-2.19	-1.375	-1.072	-0.63	0.254	0.377	-0.177
"YPR145W"	0.5895	0.381	-0.296	-3.737	-5.02	-0.8115	-0.8305	-2.229	-1.892	-2.228	-2.21	-3.369	-3.625	-3.498	-0.442	0.493	-0.614	-0.727	-2.308	-2.266	-1.571	-1.309	0.924	-1.808	0.746
"YPR163C"	0.418	0.2055	-1.155	-2.9485	-5.4905	-2.5635	-2.469	-3.136	-2.003	-2.05	-2.325	-2.642	-2.895	-2.82	-0.06	-0.396	0.005	-1.528	-1.693	-1.345	-1.666	-1.832	-0.062	-0.176	0.103
