	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"800.Heat Shock 015 minutes"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"976.wt_plus_gamma_5_min"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1249.mec1_plus_gamma_5_min"	"1257.mec1_plus_gamma_120_min"	"2964.WT vs lpz8 null cells in low Cu-repeat"	"2966.WT vs Lpz8 null cells in high Cu-repeat"	"3020.WT vs lpz8 null cells in high Cu"	"5237.DES460 (wt) - mock irradiation - 5 min"	"6824.Sporulation t0"	"7542.DES459 (mec1) - log phase (MMS time "	"8193.steady state 15 dec C"	"8204.steady state 29 dec C"	"8230.dtt 060 min"	"8234.dtt 240 min"	"11466.yO1 test hyb"	"12053.GAL-vector expression 0 hr (repeat 01)"	"12739.Nitrogen Depletion 30 min."	"12741.Nitrogen Depletion 1 h"	"12744.heat shock 17 to 37, 20 minutes"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"33259.delKIN82_heat shock _15min"	"33261.delKIN82_heat shock _30min"	"33417.delKIN82_heat shock _60min_repeat"	"33771.DBY8778(wt)_stationary_phase_0hours"	"33772.DBY8778(wt)_stationary_phase_3hours"	"33773.DBY8778(wt)_stationary_phase_5hours"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33777.delYPL230w_stationary_phase_0hours"	"33778.delYPL230w_stationary_phase_2hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"34346.delPPT1(DBY10090)  vs. wt(DBY8778)"	"34878.S4Comp 09 hr 00 min Sulfate Batch vs Chemostat Comparison"
"YLR432W"	-1.268	-1.979	-2.203	-1.608	-2.432	-3.062	-0.807	-2.58	-2.16	-2.424	-1.536	-1.818	-2.129	-3.532	-5.65	-1.881	-2.412	-2.49	0.25	-2.585	-0.9	-1.997	-2.641	-0.257	-0.385	0.259	0.278	0.178	-0.13	-0.117	0.079	0.802	0.336	0.62	-0.861	-1.904	0.187	-1.496	-1.891	-3.251	-2.731	-1.744	-2.209	-1.244	-0.216	0.529	0.187	-0.073	-3.491	-3.179	-2.252	-0.172	-0.037	-3.412	-2.927	-2.885	0.097	-0.98
"YLR435W"	-2.95	-1.708	-2.628	-2.012	-2.917	-2.415	-1.704	-4.216	-2.534	-2.556	-2.839	-2.421	-2.684	-2.8	-3.819	-1.636	-1.506	-2.134	-1.665	-2.605	-2.004	-1.983	-2.216	-1.605	0.265	0.005	-0.056	-0.281	-1.427	0.091	-0.466	-0.674	0.208	-0.442	-1.591	-1.234	-0.077	-0.699	-0.638	-3.297	-2.231	-2.112	-2.319	-1.472	-0.425	-0.475	-0.36	-0.948	-2.298	-2.662	-2.618	-0.472	-0.187	-4.563	-2.595	-2.03	-0.355	-1.457
"YML024W"	-1.177	-1.867	-2.033	-2.347	-3.361	-3.373	-1.0	-3.616	-3.535	-3.016	-2.718	-2.475	-3.285	-3.909	-4.621	-2.278	-3.523	-3.666	-0.673	-3.455	-2.442	-2.512	-2.583	-0.552	0.332	0.166	0.184	0.084	-0.646	NaN	0.214	-0.162	0.132	0.453	-2.253	-1.868	-0.06	-1.097	-1.982	-3.024	-2.692	-1.512	-2.411	-2.386	-0.777	0.5	0.242	0.964	-3.36	-1.947	-1.537	0.901	0.424	-2.891	-2.573	-1.907	0.685	-0.328
"YML056C"	-3.762	-3.147	-3.158	-3.16	-2.963	-3.376	-2.066	-3.967	-3.497	-3.275	-3.12	-2.921	-3.786	-2.698	-5.251	-2.85	-3.243	-3.63	-0.525	-2.774	-1.718	-2.437	-2.674	-0.469	-0.204	-0.194	0.079	-0.096	-0.113	NaN	-0.103	-0.244	0.512	0.222	-1.272	-1.666	-0.059	-1.638	-1.553	-3.776	-4.017	-2.736	-2.625	-2.294	-1.124	-0.508	-0.244	-0.036	-3.863	-3.469	-2.987	0.177	-0.223	-4.322	-4.508	-3.541	-0.16	-1.012
"YMR139W"	1.925	2.009	1.824	1.541	2.023	1.993	0.934	3.263	2.401	2.436	2.325	2.162	1.223	1.451	-1.692	1.441	2.003	1.496	-0.467	2.543	1.587	1.225	1.679	0.806	-0.379	0.054	0.275	0.199	0.315	-0.133	-0.662	0.465	-0.018	0.504	0.749	1.198	0.206	0.479	0.039	1.885	1.96	1.325	1.497	1.183	-0.079	0.04	-0.342	0.468	2.121	2.043	0.851	-0.266	-0.209	2.001	1.737	1.455	-0.395	0.555
"YMR142C"	-2.549	-1.512	-1.964	-2.064	-3.395	-3.688	-0.862	-3.579	-3.719	-3.19	-2.326	-2.653	-2.822	-0.651	-6.693	-2.458	-3.048	-3.849	-0.462	-4.4	-2.393	-2.974	-2.468	-0.011	0.232	0.463	0.51	0.356	-0.248	NaN	-0.253	-0.053	0.414	0.04	-2.075	-1.565	0.059	-1.116	-1.729	-3.22	-2.173	-1.104	-1.612	-1.587	-0.231	-0.397	-0.265	-0.582	-4.355	-3.347	-3.104	0.083	-0.133	-4.039	-3.538	-3.031	0.015	-0.711
"YMR173W"	2.238	2.5085	2.3905	3.1995	2.774	2.5865	0.957	3.7635	1.723	2.1175	2.3275	2.808	3.558	0.3555	-1.418	1.9575	1.4325	0.88	2.0945	1.011	2.101	2.7	2.318	2.3475	-0.1315	0.0605	-0.225	-0.293	0.8835	0.341	-0.074	1.047	-0.6625	1.106	1.881	1.68866666666667	0.1855	1.813	2.0235	2.395	3.067	1.963	2.555	2.288	1.463	0.311	-0.252	0.843	0.93	1.44	1.338	0.09	0.345	2.384	1.115	0.893	-0.385	1.603
"YMR242C"	-2.278	-2.248	-2.539	-1.639	-3.309	-3.708	-1.705	-4.702	-3.631	-3.819	-3.001	-2.522	-3.032	-3.971	-6.226	-2.432	-3.832	-4.338	-0.627	-4.84	-2.479	-2.59	-3.004	-0.245	0.134	0.137	-0.371	0.139	-0.524	0.115	-0.355	-0.495	0.435	0.277	-2.26	-2.4615	-0.578	-1.243	-2.255	-3.054	-2.43	-1.144	-2.294	-0.987	-0.496	0.059	0.303	0.034	-4.158	-3.141	-2.446	0.01	0.19	-4.607	-3.588	-2.771	0.305	-0.379
"YMR290C"	-3.64	-3.112	-3.689	-2.957	-3.89	-3.624	-2.19	-5.132	-3.842	-3.455	-3.073	-2.719	-3.471	-3.509	-5.217	-3.458	-3.243	-3.378	-2.166	-4.614	-3.037	-3.295	-3.716	-1.505	-0.072	-0.121	-0.241	-0.227	-1.015	-0.283	-0.394	0.417	-0.057	-0.595	-1.853	-2.957	0.302	-2.409	-2.481	-4.129	-4.343	-3.775	-3.98	-3.156	-0.478	-0.842	-0.591	-1.329	-4.028	-3.856	-2.84	-0.356	-0.32	-4.544	-3.558	-3.243	-0.553	-1.858
"YMR291W"	3.174	2.6	3.197	2.415	2.993	3.498	1.007	3.825	1.934	2.213	2.354	2.439	2.608	1.718	-0.395	1.795	2.753	2.337	1.491	2.65	2.345	1.942	1.682	1.216	-0.923	0.324	0.183	0.188	0.468	0.179	0.348	1.028	-0.106	0.152	1.368	1.209	0.121	0.296	0.483	2.593	2.717	2.614	1.106	0.769	0.171	1.079	0.128	-0.271	1.75	0.687	-0.045	-0.126	0.006	2.764	2.077	0.601	-0.425	0.288
"YMR307W"	-1.097	-1.613	-1.382	-1.236	-1.764	-1.803	-1.052	-2.669	-1.341	-0.597	-1.909	-3.74	-1.803	-5.132	-5.877	-1.816	-2.484	-2.482	-0.627	-3.55	-1.413	-2.493	-3.39	-0.953	-0.113	-0.038	0.103	-0.269	-0.879	-0.13	-0.476	0.553	0.52	0.243	-0.004	-3.1665	0.254	-1.093	-0.695	-1.567	-2.125	-1.254	-1.775	-0.794	-0.115	-0.066	-0.146	-0.017	-4.574	-3.18	-2.725	-0.09	0.275	-2.866	-2.995	-1.549	0.083	-1.51
"YNL002C"	-4.666	-4.12	-4.07	-3.305	-4.559	-4.222	-3.653	-5.196	-2.914	-2.785	-2.336	-1.951	-2.475	-2.73	-3.468	-2.839	-3.072	-2.59	-1.983	-3.426	-2.209	-1.856	-2.186	-1.79	-0.099	-0.25	-0.227	-0.191	-1.678	-0.257	-0.778	-0.012	0.302	-0.914	-1.453	-1.942	-0.553	-1.859	-1.348	-4.603	-3.481	-2.594	-3.245	-1.514	-1.015	-0.887	-0.517	-1.22	-2.92	-2.649	-1.781	-0.448	-0.177	-4.466	-2.41	-2.181	0.021	-2.033
"YNL015W"	2.433	3.341	3.124	2.455	3.302	2.984	1.204	4.235	4.867	4.844	4.633	3.952	3.875	1.45	-1.446	1.889	3.342	3.085	1.039	2.964	3.342	2.817	2.895	1.107	0.488	0.541	0.327	0.161	0.565	-0.181	1.293	0.514	-0.163	0.329	1.721	2.301	-0.29	1.846	0.626	3.501	2.636	1.503	1.699	0.796	0.392	0.156	0.285	0.849	2.8	3.339	2.117	-0.407	0.228	2.634	3.327	3.061	0.389	0.593
"YNL067W"	-2.389	-2.148	-2.348	-2.563	-3.335	-3.738	-1.353	-4.019	-2.871	-2.193	-2.054	-1.807	-2.908	-2.84	-5.731	-2.532	-2.866	-3.241	-0.666	-4.131	-1.968	-2.506	-2.759	0.147	0.26	0.077	0.135	-0.255	-0.384	0.171	-0.413	-0.16	0.45	0.123	-1.723	-1.5625	0.316	-1.214	-2.315	-3.16	-2.636	-1.422	-2.256	-1.516	-0.448	0.105	0.425	0.271	-2.698	-2.15	-2.329	0.366	0.374	-3.107	-2.534	-2.013	0.114	-0.943
"YNL162W"	-2.024	-1.886	-2.384	-1.97	-3.17	-3.58	-1.819	-3.953	-3.395	-3.14	-2.838	-2.175	-2.163	-2.858	-6.425	-2.882	-2.86	-2.872	-0.285	-3.999	-2.089	-2.0	-2.0	-0.297	0.146	0.213	0.087	0.199	-0.265	-0.226	-0.355	-0.492	0.596	0.459	-2.288	-1.852	0.031	-1.582	-1.908	-2.998	-2.02	-1.415	-1.777	-1.052	-0.594	-0.056	0.056	0.105	-2.704	-2.701	-2.189	-0.312	0.096	-3.916	-3.323	-2.825	0.491	-0.282
"YNL178W"	-1.947	-2.367	-2.425	-2.285	-3.467	NaN	-0.945	-4.244	-3.755	-3.785	-3.505	-1.857	-3.159	-4.338	-6.62	-2.371	-3.239	-3.307	-0.777	-4.97	-2.608	-2.899	-2.981	-0.514	0.268	0.043	0.203	0.086	-0.546	-0.073	-1.03	-0.438	0.422	0.114	-2.233	-2.479	0.326	-1.057	-2.416	-3.459	-2.739	-1.261	-2.092	-1.974	-0.642	0.445	0.419	0.983	-2.898	-2.059	-1.999	0.735	0.392	-2.548	-2.616	-2.364	0.587	-0.805
"YNL207W"	-0.23	1.0755	-0.3865	-0.322	-1.514	-1.4535	-0.0055	-1.9305	-1.011	-0.151	-0.222	-0.2105	0.05	0.576	-1.385	1.5985	-0.2395	-0.1845	0.479	-1.11	-0.821	-0.7165	-0.591	-0.074	0.0135	-0.496	-0.1845	-0.168	0.0165	-0.134	-1.052	-0.939	-0.822	-0.737	-0.339	0.2915	0.026	-0.494	-0.311	-0.6305	-2.297	-1.651	-1.728	-0.935	-0.16	-0.435	0.017	-0.311	-0.991	-0.518	-0.561	0.001	-0.021	-1.678	-1.06	-0.838	-0.04	-0.66
"YNL209W"	-2.368	-2.962	-2.469	-3.114	-4.441	-4.707	-1.95	-3.795	-3.591	-3.12	-3.471	-2.885	-3.057	-4.055	-5.803	-2.699	-3.728	-2.985	-0.396	-4.059	-2.262	-2.633	-2.99	-0.859	-0.268	-0.173	0.165	0.045	-0.553	0.022	0.565	0.153	0.35	0.431	-1.517	-2.966	-0.025	-2.115	-2.763	-4.616	-3.361	-2.694	-3.413	-1.816	-1.136	-0.006	-0.487	-0.175	-4.586	-3.709	-2.704	0.073	0.149	-4.209	-4.158	-3.075	-0.08	-1.591
"YNL248C"	-4.791	-4.364	-4.315	-3.398	-4.455	-4.373	-3.395	-5.716	-3.559	-4.488	-3.442	-2.794	-3.857	-4.575	-5.215	-3.618	-3.866	-3.014	-1.594	-5.072	-2.419	-2.444	-2.924	-1.471	-0.091	-0.016	-0.045	-0.373	-1.778	-0.372	-0.284	-0.102	0.12	-0.642	-1.978	-2.53	-0.212	-3.695	-2.517	-4.868	NaN	-2.886	-5.118	-2.214	-1.008	-0.622	-0.412	-1.087	-4.652	-4.217	-2.416	-0.43	-0.088	-6.193	-3.878	-3.385	-0.524	-2.122
"YNL313C"	-3.472	-3.287	-3.026	-2.399	-2.935	-3.02	-1.887	-4.999	-2.695	-2.073	-2.007	-1.538	-2.126	-3.628	-5.714	-2.852	-3.129	-2.948	-1.095	-2.839	-1.544	-1.333	-1.551	-0.781	-0.188	-0.453	-0.202	-0.163	-0.589	0.138	-0.08	-0.008	0.151	-0.478	-0.962	-1.051	0.093	-1.891	-1.385	-3.009	-2.824	-2.352	-1.81	-0.474	0.31	-1.055	-0.553	-0.756	-1.867	-1.835	-1.525	-0.015	-0.124	-3.85	-2.129	-1.672	-0.298	-1.289
"YOL122C"	0.968	1.12	0.7915	0.3405	0.593	0.8265	0.538666666666667	0.768333333333333	1.58266666666667	1.29466666666667	1.03766666666667	1.16166666666667	1.06066666666667	-1.00466666666667	-1.58533333333333	0.291	0.03	-0.0653333333333333	-0.4135	1.74	1.4315	1.607	1.486	-0.483	-0.146	-0.084	-0.134	-0.3385	-0.3095	0.13	-0.315	-0.522666666666667	0.192666666666667	0.6415	0.5515	1.217	0.193	-0.312	-0.351	0.6245	0.549	1.125	-0.356	0.807	0.461	-0.41	-0.231	0.286	-0.521	0.218	0.006	-0.369	0.099	0.279	0.35	0.647	-0.153	-0.632
"YOR036W"	1.031	0.687	0.771	0.781	1.521	0.933	0.699	1.918	1.2545	1.664	-1.7435	1.481	2.5945	1.882	1.087	0.6405	0.4915	1.433	1.139	1.562	1.563	1.932	2.156	0.533	-0.325	-0.15	0.204	0.454	0.253	-0.353	0.285	0.5345	1.0345	0.611	0.448	1.374	0.268	0.996	1.252	1.239	1.161	1.232	1.187	0.426	0.14	-0.344	0.161	0.34	1.096	1.373	1.394	-0.088	0.11	1.484	1.021	0.961	-0.092	-0.424
"YOR243C"	-3.594	-2.991	-3.234	-2.436	-3.633	-3.982	-2.5655	-3.8055	-2.475	-2.128	-2.1915	-1.6015	-2.2855	-3.3625	-4.3935	-1.9265	-2.588	-2.1815	-0.821	-3.635	-2.371	-2.179	-2.726	-0.77	-0.282	-0.275	-0.075	-0.193	-1.098	-0.194	-0.601	0.2515	-0.035	0.0425	-1.1555	-1.712	-0.591	-1.441	-0.981	-4.099	-2.845	-1.727	-2.616	-1.649	-0.472	-0.231	-0.288	-0.587	-1.759	-1.808	-1.803	1.018	0.295	-2.825	-2.065	-1.562	-0.388	-1.245
"YOR293W"	-2.282	-1.741	-2.435	-2.205	-3.618	-3.854	-1.692	-4.155	-3.7615	-3.19	-2.996	-2.4345	-2.697	-2.7875	-4.496	-2.907	-3.442	-3.1085	-0.504	-4.233	-2.537	-2.533	-2.507	-0.538	0.251	0.243	0.129	0.261	-0.507	0.064	0.177	-0.6405	0.2065	0.1875	-2.6075	-1.85	-0.422	-1.601	-2.091	-3.151	-3.047	-1.776	-2.465	-2.103	-0.272	-0.552	-0.141	-0.471	-3.53	-3.262	-3.205	-0.631	-0.521	-3.853	-3.23	-2.89	0.002	-0.707
"YOR310C"	-5.053	-0.887	-4.365	-3.309	-4.639	-3.004	-3.57	-6.006	-3.92	-3.4655	-3.0705	-3.303	-3.319	-4.7765	-7.1385	-3.101	-3.766	-3.585	-0.878	-5.777	-2.773	-3.838	-4.105	-1.096	-0.081	-0.106	0.011	-0.395	-1.306	0.049	-0.207	0.074	0.226	-0.732	-1.8115	-2.849	-0.084	-3.457	-2.411	-4.948	-4.326	-3.006	-4.099	-2.39	-0.226	-0.635	-0.816	-1.802	-4.564	-4.629	-3.407	-0.564	-0.25	-5.14	-4.292	-3.502	-0.968	-2.438
"YOR369C"	-1.398	-1.705	-2.084	-2.312	-2.946	-2.962	-0.469	-3.6225	-4.255	-3.641	-2.7865	-2.805	-3.7395	-3.724	-6.5475	-2.346	-3.0405	-3.6415	-0.678	-3.998	-2.456	-2.858	-2.986	-0.53	0.162	-0.497	-0.26	-0.018	-0.648	-0.428	-0.661	-0.333	0.4045	0.3845	-2.1875	-2.309	0.28	-1.697	-2.25	-2.806	-2.698	-1.296	-1.708	-2.514	-0.952	0.525	0.48	0.838	-3.362	-2.395	-1.842	0.894	0.413	-3.032	-3.003	-2.641	0.928	-0.554
"YPL043W"	-4.246	-2.686	-4.0	-3.773	-4.198	-4.087	-3.299	-4.668	-2.8315	-2.8295	-2.0985	-2.036	-2.04	-2.4695	-3.79	-3.242	-3.157	-2.2695	-1.295	-3.89	-2.277	-2.069	-2.134	-1.793	-0.097	-0.164	-0.711	-0.608	-0.506	-0.15	-0.453	0.2225	-0.2225	-0.767	-1.6305	-1.87	0.351	-2.276	-1.668	-4.555	-3.988	-2.531	-2.639	-1.991	-0.618	-0.868	-1.06	-1.331	-3.093	-2.958	-2.833	-0.479	-0.171	-4.308	-2.784	-2.516	-0.184	-1.25
"YPL079W"	-2.261	-2.147	-2.597	-2.277	-3.115	-3.828	-1.631	-4.616	-4.1965	-3.787	-3.3525	-2.3565	-2.6495	-3.892	-6.4765	-2.527	-3.085	-3.172	-0.582	-4.735	-2.781	-2.741	-3.087	-0.427	0.199	0.058	-0.041	0.053	-0.287	-0.072	-0.203	-0.489	0.6185	0.593	-2.1725	-1.673	-0.173	-1.506	-2.132	-3.135	-1.936	-0.886	-1.721	-1.259	-0.771	-0.312	-0.197	-0.278	-2.865	-2.753	-2.74	-0.329	0.028	-3.573	-3.431	-2.725	0.414	-0.371
"YPL090C"	-2.294	-1.862	-2.09	-2.497	-3.529	-3.965	-1.289	-3.9615	-3.256	-2.7785	-2.4215	-2.57	-2.203	-4.364	-6.197	-2.01	-3.398	-3.223	-0.159	-5.307	-2.412	-2.833	-2.954	-0.203	0.333	0.044	0.186	0.133	-0.467	-0.096	-0.715	-0.304	0.399	0.4045	-2.16	-2.061	0.155	-1.184	-2.178	-3.272	-2.536	-1.416	-2.305	-2.163	-0.558	-0.353	-0.883	-0.483	-4.244	-3.265	-3.165	-0.253	-0.507	-4.101	-3.571	-2.951	0.205	-0.452
"YPL128C"	-0.679	1.222	-0.992	-0.678	0.111	-0.922	-0.0415	-1.472	-0.6645	0.1555	-0.463	-1.1835	-0.589	-2.1475	-3.3175	-0.371	-1.0925	-1.0455	-0.324	-1.084	-0.48	-0.558	-0.15	-0.399	0.122	0.019	0.098	0.119	0.057	-0.113	0.363	0.3	0.069	-0.4	-0.355	-0.722	-0.003	-0.796	-0.708	-0.604	-0.905	-0.892	-1.605	-0.698	-0.26	-0.173	-0.399	-0.721	-2.423	-1.79	-2.027	-0.19	-0.228	-1.634	-1.59	-1.193	-0.509	-0.743
"YPL142C"	-1.892	-1.761	-1.932	-2.625	-2.913	-3.225	-0.8	-3.1395	-2.973	-2.7515	-2.2525	-1.78	-1.891	-3.5865	-5.604	-2.427	-2.825	-3.3035	-0.319	-4.155	-2.082	-2.303	-2.376	0.064	0.527	0.538	0.447	0.15	-0.328	0.271	-1.025	0.041	0.587	0.196	-1.7865	-2.011	-0.051	-1.409	-2.226	-3.034	-2.333	-1.691	-1.946	-2.263	-0.763	0.086	0.314	-0.313	-3.763	-3.021	-2.696	-0.287	0.007	-3.677	-3.278	-2.971	0.123	-0.728
"YPL198W"	-1.974	-1.506	-1.747	-2.023	-3.084	-3.342	-1.118	-4.269	-3.194	-2.836	-2.46	-2.218	-2.395	-4.3605	-6.879	-2.7345	-3.4825	-3.3185	-0.85	-3.875	-2.024	-2.227	-2.449	-0.5	0.003	0.126	-0.077	-0.033	-0.745	0.128	-0.189	0.0955	0.3175	-0.14	-2.012	-1.633	-0.292	-1.576	-1.73	-2.581	-2.3655	-1.4145	-1.667	-0.983	-0.396	-0.1945	-0.549	-0.654	-4.2325	-3.528	-3.0615	-0.412	-0.0855	-3.4955	-4.5575	-2.68	0.246	-0.585
"YPL266W"	-3.981	-2.802	-3.222	-2.968	-3.585	-3.063	-2.4965	-4.1135	-2.3835	-2.305	-2.135	-1.5555	-2.448	-4.58	-3.1595	-2.162	-3.267	-2.3995	-1.368	-2.099	-1.926	-2.07	-1.477	-1.189	0.044	-0.304	-0.086	-0.031	-1.388	-0.138	-0.921	-0.418	0.2715	-0.456	-1.52	-1.457	0.247	-1.327	-1.301	-3.636	-4.813	-2.51	-2.945	-1.846	-0.756	-0.604	-0.458	-0.835	-3.274	-2.154	-1.743	-0.19	-0.095	-4.271	-2.451	-1.929	-0.425	-1.891
"YPR102C"	-2.11	-1.829	-2.298	-2.206	-3.37	-4.232	-1.02	-3.521	-3.2315	-3.2945	-3.3515	-2.7315	-2.6455	-4.045	-6.451	-1.9585	-3.5055	-4.118	-0.324	-4.644	-2.495	-2.723	-3.232	-0.234	0.141	0.208	0.389	0.435	-0.503	-0.151	-0.546	-0.448	0.6345	0.6555	-2.162	-2.384	0.014	-0.972	-1.523	-3.007	-2.5	-1.582	-1.611	-0.988	-0.437	0.134	0.076	0.068	-3.927	-2.614	-2.344	-0.082	0.064	-4.015	-3.517	-2.547	0.381	-0.296
"YPR110C"	-3.178	-1.98	-3.084	-2.507	-3.52	-3.728	-2.207	-5.7185	-3.423	-3.2115	-2.9215	-2.8345	-3.133	-3.662	-6.318	-2.6255	-3.01	-3.296	-1.698	-3.88	-2.186	-2.175	-2.703	-0.74	-0.244	-0.266	-0.202	-0.125	-1.228	0.137	-0.469	-0.1645	0.374	0.0075	-1.359	-2.108	0.265	-1.911	-1.505	-3.168	-3.436	-2.354	-3.503	-1.15	-0.218	-0.799	-0.149	-0.235	-2.851	-1.853	-0.937	0.077	-0.214	-3.882	-3.113	-2.597	-0.34	-1.483
"YPR112C"	-0.627	1.465	-2.839	-2.907	-1.994	-3.273	-2.4735	-3.443	-2.472	-2.345	-2.418	-1.45	-2.3385	-1.7485	-3.311	-2.478	-2.1835	-2.12	-1.263	-2.327	-2.287	-1.815	-2.126	-1.413	0.372	-0.488	-0.442	-2.092	-0.073	-0.211	-1.465	0.0235	0.001	-1.163	-1.476	-1.571	0.229	-1.7	-1.787	-3.648	-4.543	-3.417	-3.013	-2.588	-0.713	-0.649	-0.258	-0.28	-2.352	-1.559	-1.038	0.669	0.251	-3.372	-1.969	-1.584	-0.007	-1.247
"YPR136C"	-0.9995	-2.152	-1.4705	-1.399	-2.5655	-2.366	-1.29033333333333	-3.23366666666667	-2.631	-2.46	-1.85666666666667	-2.10366666666667	-2.30833333333333	-2.427	-4.78933333333333	-1.667	-0.994666666666667	-1.686	-0.8825	-1.41	-1.151	-1.3815	-1.13	-0.6155	-0.2865	-0.448	-0.418	-0.696	-0.212	0.129	-0.654	-0.263666666666667	-0.036	-0.634333333333333	-1.48266666666667	-1.476	-0.113	-0.425	-0.4125	-2.431	-2.136	-1.076	-1.138	-0.118	-0.169	-0.082	-0.173	0.082	-0.948	-1.023	-0.654	0.84	0.05	-1.695	-1.465	-0.903	-0.025	0.599
