	"103.alpha factor release sample026"	"497.Heat Shock 000 minutes"	"585.21 deg growth"	"597.25 deg growth"	"598.29 deg growth"	"781.Heat Shock 000 minutes (series 2)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"1012.YPD 12 h (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1107.alpha factor release sample025"	"1167.NBW7 strain low-Pi vs. High-Pi, exp.1"	"2144.heat shock 37 to 37, 30 minutes"	"4872.1M sorbitol - 60 min"	"6344.DES460 + 0.02% MMS - 5 min"	"6824.Sporulation t0"	"8195.steady state 21 dec C"	"8197.steady state 25 dec C"	"8227.dtt 000 min"	"8228.dtt 015 min"	"8287.mcm1-1 + pRS315 vs. mcm1-1 + pRS-MCM7"	"11466.yO1 test hyb"	"12053.GAL-vector expression 0 hr (repeat 01)"	"13060.wt/crz1 Na 45min (2)"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"
"YOR203W"	-0.201	-0.052	-0.374	-0.18	-0.535	-0.304	-2.2705	-1.168	-1.6605	-1.9455	-0.987	-1.8025	-4.508	-2.001	-1.822	-0.8235	-0.928	-0.83	-0.918	-0.767	-0.695	-1.215	-0.231	-0.432	-0.145	-0.432	0.078	0.082	-0.4715	-0.464	-0.485	0.033	-0.588	-1.468	0.102	0.319	-1.917	-1.483	-2.38	-1.949	-1.121
"YOR323C"	-0.41	0.575	-0.567	-0.566	-0.154	0.361	-2.5575	-1.7105	-1.401	-1.757	-2.0305	-4.2845	-6.434	-1.9425	-2.061	-2.106	-1.211	-1.557	-1.382	-2.742	-3.497	-3.428	0.024	-0.369	-0.146	0.153	0.227	0.018	-0.1565	-0.0245	0.5905	0.203	-0.091	-1.603	-0.532	0.093	-2.366	-2.03	-1.927	-1.64	-1.589
"YPL079W"	-0.182	0.688	0.202	0.007	0.449	1.126	-4.616	-4.1965	-3.787	-3.3525	-2.6495	-3.892	-6.4765	-3.085	-3.172	-3.0255	-4.735	-2.741	-3.087	-3.015	-3.498	-4.547	0.085	-0.109	0.418	0.031	0.143	-0.072	0.358	0.3395	0.9955	0.555	0.662	-1.673	-0.173	0.34	-2.865	-2.753	-3.573	-3.431	-2.725
"YPL081W"	-0.181	0.427	-0.092	0.036	0.313	0.779	-4.5065	-3.3595	-3.199	-3.083	-3.086	-3.4025	-6.801	-2.5355	-2.916	-2.428	-4.022	-2.849	-2.929	-2.789	-2.909	-3.725	0.068	-0.143	0.212	0.099	0.171	-0.228	0.2385	-0.1415	1.001	0.3545	0.463	-1.844	0.146	0.101	-3.083	-2.359	-3.939	-2.717	-2.656
"YPL090C"	0.036	0.955	0.419	0.477	0.567	0.871	-3.9615	-3.256	-2.7785	-2.4215	-2.203	-4.364	-6.197	-3.398	-3.223	-3.3795	-5.307	-2.833	-2.954	-3.292	-3.309	-4.719	-0.043	0.147	0.294	-0.045	-0.062	-0.096	0.491	0.749	1.158	0.898	0.414	-2.061	0.155	0.112	-4.244	-3.265	-4.101	-3.571	-2.951
"YPL142C"	-0.157	1.023	0.088	0.3215	0.5615	1.2695	-3.1395	-2.973	-2.7515	-2.2525	-1.891	-3.5865	-5.604	-2.825	-3.3035	-2.8235	-4.155	-2.303	-2.376	-2.148	-2.632	-2.979	0.143	0.091	0.462	0.2	0.304	0.271	0.534	0.421	1.161	0.726	0.238	-2.011	-0.051	0.513	-3.763	-3.021	-3.677	-3.278	-2.971
"YPL159C"	-0.255	-0.222	0.124	0.082	-0.117	-0.3285	1.299	0.8845	0.948	1.1885	1.712	1.22	-0.5015	0.826	1.119	1.3505	1.396	2.202	2.309	2.495	2.545	1.838	-0.149	0.025	-0.073	0.022	0.058	-0.322	-0.208	-0.1365	-0.4995	-0.5275	-0.392	1.229	-0.508	-0.018	0.788	0.258	0.983	1.012	0.401
"YPL160W"	0.1745	0.5835	-0.125	0.0683333333333333	-0.115	0.598	-3.26033333333333	-2.28466666666667	-1.777	-1.608	-2.13233333333333	-3.08233333333333	-5.284	-2.22666666666667	-2.35066666666667	-2.11133333333333	-4.0365	-2.449	-2.824	-3.1695	-3.499	-2.977	-0.0355	0.321	-0.0136666666666667	0.0515	0.0565	0.202	0.210333333333333	0.546	0.571	0.462	0.015	-1.8045	0.118	-0.216	-3.477	-2.958	-3.512	-2.719	-2.2345
"YPL198W"	-0.001	1.284	0.3395	0.294	0.2895	0.94	-4.269	-3.194	-2.836	-2.46	-2.395	-4.3605	-6.879	-3.4825	-3.3185	-3.022	-3.875	-2.227	-2.449	-2.487	NaN	-3.133	0.119	-0.291	0.33	-0.237	0.079	0.128	0.6025	0.361	1.0615	1.086	0.477	-1.633	-0.292	0.283	-4.2325	-3.528	-3.4955	-4.5575	-2.68
"YPL220W"	0.253	1.277	0.1765	0.2715	0.514	1.154	-3.389	-2.4215	-2.18	-2.214	-2.2495	-3.187	-6.1465	-3.0375	-3.442	-3.3935	-3.51	-2.548	-2.639	-2.247	-2.571	-3.926	0.447	-0.215	-0.0245	0.081	0.236	-0.163	0.592	0.377	1.324	1.163	0.669	-1.925	-0.351	0.378	-3.366	-2.375	-3.554	-2.774	-2.352
"YPL246C"	-0.41	0.177	-0.3355	-0.4285	-0.0695	0.3115	-0.6185	-0.4575	-0.4605	-0.52	-1.2745	-3.157	-3.7775	-2.0085	-1.561	-1.4715	0.018	-0.541	-0.616	-0.862	-1.186	-1.642	-0.043	1.377	0.188	-0.405	-0.06	0.056	0.235	0.0855	0.2305	0.132	0.139	-0.4	-0.053	-0.24	-0.695	-1.406	-1.27	-1.73	-1.282
"YPR033C"	-0.162	0.789	-0.27	-0.059	-0.0965	0.6725	-2.7945	-1.8465	-1.291	-1.908	-2.142	-4.8805	-7.94	-2.32	-2.0735	-2.759	-2.203	-2.096	-2.55	-3.951	-4.382	-4.54	-0.095	-0.256	-0.375	0.015	0.242	0.135	0.209	0.3485	0.6775	0.5675	-0.175	-2.107	-0.152	0.112	-2.1325	-2.033	-2.0305	-1.9695	-1.4105
"YPR041W"	0.14	0.9545	0.318333333333333	0.245333333333333	0.279333333333333	0.966	-1.871	-1.85166666666667	-1.45933333333333	-1.579	-1.48733333333333	-2.36366666666667	-4.07266666666667	-2.403	-2.45	-2.41033333333333	-1.646	-1.658	-1.0965	-1.805	-1.8775	-2.441	0.17	NaN	0.292333333333333	-0.1465	-0.031	-0.175	0.490666666666667	0.484333333333333	0.863	0.649666666666667	0.175	-1.977	-0.0485	0.092	-3.035	-2.533	-3.187	-2.708	-2.293
