	"54.Elutriation2:Sample2:Time2.5hrs"	"55.Elutriation2:Sample2:Time3.0hrs"	"56.Elutriation2:Sample2:Time3.5hrs"	"58.Elutriation2:Sample2:Time5.0hrs"	"406.heat shock 37 to 37, 20 minutes"	"632.Elutriation2:Sample2:Time4.5hrs"	"810.DES460 (wild type) + heat 20 min"	"811.DES459 (mec1) + heat 20 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"984.MHY1 (crt1) vs. CRY1 (wild type) - log phase"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1167.NBW7 strain low-Pi vs. High-Pi, exp.1"	"1168.PHO81c vs. wild type, exp.1"	"1173.PHO4c vs. wild type"	"11827.Pomona College Bio164: WT/dna2-1"	"13093.Missouri Western State College 10 uM DAPI Cy3 4 hrs (exp 1)"	"32626.S1Comp 08 hr 55 min Sulfate Batch vs Chemostat Comparison"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"
"YNL090W"	0.248	0.215	0.316	0.067	-0.695	-0.338	-0.268	-0.556	-1.74	-1.206	-1.29	-1.298	-2.438	-2.292	2.369	-1.2	-1.032	0.073	-1.844	-1.862	-2.234	0.038	0.082	-0.148	-0.186	-0.178	1.015	-1.689	-0.592	-0.484	-1.311	-1.747	-0.914
"YNL113W"	1.007	0.212	0.167	0.3	-0.054	0.069	-0.2	-1.165	-5.347	-3.34	-2.736	-2.957	-2.537	-7.034	-3.971	-2.612	-1.964	0.639	-1.889	-2.222	-2.123	-0.242	-0.063	-0.342	-0.026	1.805	1.544	-2.809	-2.407	-1.621	-4.226	-2.606	-2.059
"YNL114C"	0.755	0.241	-0.027	-0.522	-0.12	-0.054	-0.363	-1.548	-5.245	-2.663	-2.941	-2.849	-3.791	-6.572	-2.827	-2.978	-1.873	0.555	-1.96	-2.004	-2.111	-0.151	-0.345	-0.323	0.137	0.595	1.162	-2.905	-1.754	-0.986	-4.14	-2.842	-1.49
"YNL162W"	0.228	0.369	0.316	-0.113	-0.791	-0.002	-1.038	-2.232	-3.953	-3.395	-3.14	-2.838	-2.858	-6.425	-2.86	-2.872	-2.421	0.758	-1.742	-2.487	-3.468	-0.316	-0.117	-0.571	-0.2175	-1.2525	0.792	-2.704	-2.701	-2.189	-3.916	-3.323	-2.825
"YNL302C"	0.807	0.769	0.514	0.095	-0.108	0.316	-1.065	-1.1985	-2.266	-2.265	-1.899	-2.1795	-2.1925	-4.746	-2.3395	-2.4085	-1.6685	0.9265	-1.1605	-1.0695	-1.549	-0.11	0.301	-0.17	0.888	-1.445	1.199	-4.107	-3.25	-2.449	-3.631	-3.426	-2.699
"YNR043W"	0.551	0.317	0.26	0.011	-0.668	0.264	-0.096	-0.636	-3.5005	-1.8155	-1.672	-1.574	-2.934	-5.1565	-2.5105	-1.9175	-1.949	0.085	-2.655	-3.803	-3.856	-0.03	0.842	0.761	0.599	-0.669	-0.418	-1.759	-1.955	-0.593	-2.193	-1.673	-1.696
"YOL039W"	0.83	1.041	1.048	0.541	-0.054	0.677	-1.333	-2.507	-0.9415	0.4395	0.183	-1.8	-2.068	-7.971	-0.1815	-0.43	-0.33	0.509	-2.476	-3.262	-3.256	0.299	-0.477	-1.38	0.203	-1.01	1.178	-3.167	-2.856	-2.746	-3.392	-3.542	-3.052
"YOL040C"	0.794	0.855	0.812	0.218	-0.742	0.373	-1.391	-2.371	-0.886	-3.313	-1.742	-1.998	-3.032	-6.413	-3.385	-0.756	-0.614	0.431	-2.028	-2.837	-3.657	0.021	-0.378	-0.592	1.0	-1.695	1.166	-4.411	-3.555	-2.716	-3.746	-3.451	-2.823
"YOL090W"	0.461	0.461	0.051	-0.068	0.049	0.084	0.86	0.607	-2.3285	-1.2775	0.1945	-0.66	-1.354	-4.777	-1.5815	-0.4475	-1.689	0.458	-3.071	-3.492	0.263	0.188	-0.113	0.155	-0.014	0.95	-2.201	-1.461	-1.331	-1.111	-1.521	-1.233	-0.94
"YOL120C"	0.874	0.713	1.014	0.36	-0.189	0.628	-1.419	-1.726	-1.9285	-0.823	-1.079	-1.9625	-0.894	-3.424	-0.1405	-0.9185	0.3255	0.662	-2.551	-3.234	-3.307	-0.392	0.354	-0.303	-0.057	-1.535	0.996	-3.446	-3.085	-3.107	-3.919	-3.387	-2.622
"YOL121C"	0.563	0.414	0.415	0.034	-0.544	0.553	-1.241	-2.48	-1.946	-2.3835	-2.652	-1.5685	-3.476	-1.754	-1.922	-1.2305	-1.7075	0.794	-2.469	-2.67	-3.83	-0.124	0.248	-0.467	-0.466	-1.872	0.465	-3.912	-2.653	-2.14	-3.465	-2.982	-2.546
"YOL127W"	0.835	0.95	0.236	0.346	-0.507	0.15	-1.401	-2.683	-4.1025	-1.8795	-2.007	-3.156	-1.335	-2.676	-1.0185	-2.851	-3.97	0.82	-1.546	-2.041	-3.172	0.049	0.003	-0.807	0.0	-1.825	0.451	-3.393	-2.333	-2.293	-3.103	-2.261	-2.342
"YOR167C"	0.367	0.278	0.307	0.347	0.112	0.488	-1.253	-2.174	-1.901	-2.041	-1.52	-1.859	-0.6035	-3.313	-2.747	-2.5365	-2.376	0.726	-2.283	-2.319	-2.712	-0.015	-0.061	-0.218	-0.79	-1.354	-0.211	-2.829	-2.745	-1.906	-3.035	-2.772	-2.46
"YOR209C"	0.054	-0.006	-0.145	-0.127	0.048	-0.241	-0.281	-0.519	-1.879	-0.84	-1.275	-1.5995	-2.998	-6.004	-1.3455	-1.865	-1.647	-0.021	-1.897	-2.681	-2.954	-0.058	0.638	0.118	0.255	0.087	-0.657	-2.517	-2.034	-1.933	-1.699	-1.928	-1.39
"YOR293W"	0.56	0.618	0.276	0.002	0.264	-0.142	-1.238	-2.307	-4.155	-3.7615	-3.19	-2.996	-2.7875	-4.496	-3.442	-3.1085	-3.0195	0.626	-1.856	-2.041	-3.118	0.086	-0.069	-0.797	-0.852	-1.727	0.402	-3.53	-3.262	-3.205	-3.853	-3.23	-2.89
"YOR323C"	0.242	-0.22	0.239	-0.089	0.183	0.381	-0.476	-0.681	-2.5575	-1.7105	-1.401	-1.757	-4.2845	-6.434	-1.9425	-2.061	-2.106	0.064	-2.742	-3.497	-3.428	-0.369	0.499	0.534	0.085	0.644	-0.328	-2.366	-2.03	-1.94	-1.927	-1.64	-1.589
"YOR369C"	0.729	0.688	0.729	0.24	-0.275	0.233	-1.267	-2.175	-3.6225	-4.255	-3.641	-2.7865	-3.724	-6.5475	-3.0405	-3.6415	-3.752	0.649	-2.456	-2.662	-3.502	-0.359	-0.444	-0.414	-0.214	-0.952	1.963	-3.362	-2.395	-1.842	-3.032	-3.003	-2.641
"YPL001W"	-0.1	-0.551	-0.325	-0.656	-0.025	-0.726	0.629	0.495	-2.5215	-1.1445	-0.9545	-1.711	-1.671	-4.084	-0.74	1.0905	-0.654	-0.205	-1.427	-1.38	-1.844	0.27	0.099	0.264	0.63	-0.72	0.597	-2.477	-1.456	-0.855	-2.386	-2.21	-1.256
"YPL142C"	0.366	0.244	0.579	0.211	-0.164	0.436	-1.35	-2.066	-3.1395	-2.973	-2.7515	-2.2525	-3.5865	-5.604	-2.825	-3.3035	-2.8235	0.55	-2.148	-2.632	-2.979	0.091	0.557	-0.876	-1.038	-1.825	0.412	-3.763	-3.021	-2.696	-3.677	-3.278	-2.971
"YPL143W"	0.549	0.365	0.206	0.423	-0.264	0.02	-0.867	-2.019	-4.4445	-3.3605	-3.232	-3.2955	-3.35	-5.0395	-3.0685	-3.1305	-2.7815	0.558	-1.391	-1.972	-2.941	-0.106	-0.187	-0.693	-0.048	-1.566	0.317	-2.893	-2.234	-1.996	-3.13	-2.792	-2.506
"YPL198W"	0.77	0.209	0.534	0.242	0.332	0.329	-1.23	-2.129	-4.269	-3.194	-2.836	-2.46	-4.3605	-6.879	-3.4825	-3.3185	-3.022	0.533	-2.487	NaN	-3.133	-0.291	0.47	0.081	-0.177	-0.927	1.156	-4.2325	-3.528	-3.0615	-3.4955	-4.5575	-2.68
"YPR009W"	0.238	0.094	-0.005	-0.164	0.248	0.054	0.378	0.065	-2.334	-1.067	-0.7365	-1.2485	-2.5965	-4.371	-0.74	-0.7415	-0.373	0.345	-1.882	-1.734	0.747	-0.174	0.105	-0.041	-0.101	NaN	-0.21	-1.185	-1.188	-0.679	-1.687	-1.524	-1.083
"YPR132W"	0.163	0.263	0.066	-0.239	0.16	0.034	-1.022	-2.014	-2.849	-3.586	-3.351	-1.806	-3.1925	-5.805	-2.5895	-3.048	-2.967	0.565	-1.968	-2.388	-3.151	-0.03	-0.276	-0.429	0.071	0.136	0.951	-2.884	-2.466	-2.174	-2.903	-2.829	-2.063
"YPR169W"	0.386	0.118	0.217	-0.048	-0.051	0.048	-0.119	-0.578	-1.142	-1.012	-0.574	-0.557	-1.3815	-3.2805	-0.772	-0.4525	-0.627	0.121	-1.098	-1.492	-1.764	0.43	-0.046	-0.464	0.07	0.497	-0.23	-2.139	-0.513	-0.822	-1.863	-1.666	-1.169
