	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"686.YP ethanol vs reference pool"	"800.Heat Shock 015 minutes"	"801.Heat Shock 030inutes"	"834.1.5 mM diamide (30 min)"	"836.1.5 mM diamide (40 min)"	"838.1.5 mM diamide (50 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"6824.Sporulation t0"	"7760.Na 45min"	"7761.Na 60min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"8204.steady state 29 dec C"	"8233.dtt 120 min"	"11466.yO1 test hyb"	"12744.heat shock 17 to 37, 20 minutes"	"30463.Pomona/Brown pol2-12 red"	"33779.delYPL230w_stationary_phase_5hours"
"YOR309C"	-4.991	-4.328	-3.697	-5.523	-5.514	-1.663	-3.838	-2.0955	-2.675	-1.779	-1.262	-6.798	-4.4185	-4.0545	-4.227	-3.75	-3.942	-4.234	-6.859	-3.07	-3.709	-3.9105	0.067	-2.396	-1.481	-1.875	-2.034	0.1195	-1.4355	-3.451	-4.939	-0.024	-4.097
"YOR310C"	-5.053	-4.365	-3.309	-4.639	-3.004	-1.081	-3.57	0.19	-2.686	-1.831	-1.366	-6.006	-3.92	-3.4655	-3.0705	-3.303	-3.319	-4.7765	-7.1385	-3.101	-3.766	-3.585	0.049	-2.449	-1.598	-2.08	-2.17	0.226	-1.645	-2.849	-4.948	0.394	-5.14
"YPL079W"	-2.261	-2.597	-2.277	-3.115	-3.828	-1.022	-1.631	-1.101	-1.237	-1.193	-0.924	-4.616	-4.1965	-3.787	-3.3525	-2.3565	-2.6495	-3.892	-6.4765	-2.527	-3.085	-3.172	-0.072	-2.574	-1.965	-2.209	-2.429	0.6185	-0.893	-1.673	-3.135	0.097	-3.573
"YPL163C"	-2.234	-2.775	-2.225	-3.19	-3.529	-0.991	-2.033	-0.7935	-0.708	0.414	0.617	-1.9935	-1.193	-0.626	-1.0915	-2.166	-1.849	-1.754	-2.7605	-1.8105	-1.0925	-1.643	-0.112	-0.206	0.259	-1.642	-1.777	0.1025	1.4085	-1.764	NaN	0.435	-3.373
"YPL198W"	-1.974	-1.747	-2.023	-3.084	-3.342	-0.931	-1.118	-0.782	-1.312	-1.127	-0.9245	-4.269	-3.194	-2.836	-2.46	-2.218	-2.395	-4.3605	-6.879	-2.7345	-3.4825	-3.3185	0.128	-2.043	-1.497	-1.951	-2.099	0.3175	-0.934	-1.633	-2.581	0.16	-3.4955
"YPL207W"	-3.26	-2.94	-2.29	-3.419	-2.713	-0.184	-2.042	-1.0465	-1.9435	-1.5795	-1.1325	-2.321	1.2095	0.7675	-0.314	-0.138	-0.5055	-1.827	-3.832	-2.0445	-1.9425	-1.1345	0.095	-2.017	-1.784	-1.025	-1.192	-0.067	-1.244	-0.28	-0.968	-0.325	-3.018
"YPL226W"	-3.457	-3.002	-2.4945	-3.229	-4.183	-1.114	-2.459	-1.164	-1.997	-1.50333333333333	-1.065	-4.86566666666667	-3.38066666666667	-2.57633333333333	-2.407	-1.80333333333333	-2.21533333333333	-3.95033333333333	-5.67966666666667	-2.472	-3.37333333333333	-2.503	-0.253	-1.907	-1.6065	-1.3845	-1.3565	0.038	-1.18233333333333	-1.7375	-3.215	0.128	-3.811
"YPL266W"	-3.981	-3.222	-2.968	-3.585	-3.063	-0.561	-2.4965	-0.9915	-1.846	-1.773	-1.1315	-4.1135	-2.3835	-2.305	-2.135	-1.5555	-2.448	-4.58	-3.1595	-2.162	-3.267	-2.3995	-0.138	-2.134	-2.032	-2.001	-2.596	0.2715	-1.257	-1.457	-3.636	0.02	-4.271
"YPR014C"	-0.418	-1.065	-0.415	-0.269	-0.556	-0.222	-0.0695	-0.1765	-0.3645	-0.439	-0.5135	-0.0895	-0.2735	-0.146	-0.603	-0.199	-0.31	-1.216	-1.397	0.598	0.71	-0.0855	-0.338	-0.772	-0.638	-0.803	-0.643	0.111	-0.1795	0.468	-0.582	-0.087	0.205
"YPR110C"	-3.178	-3.084	-2.507	-3.52	-3.728	-1.308	-2.207	-1.421	-2.073	-1.383	-1.0145	-5.7185	-3.423	-3.2115	-2.9215	-2.8345	-3.133	-3.662	-6.318	-2.6255	-3.01	-3.296	0.137	-2.308	-1.703	-2.158	-2.174	0.374	-0.778	-2.108	-3.168	-0.481	-3.882
"YPR137W"	-2.433	-1.82	-2.027	-2.094	-2.127	-0.37	-1.5625	-0.023	-1.288	-1.0555	-1.0075	-3.344	-2.178	-1.5515	-1.4385	-1.3925	-0.882	-1.7995	-3.783	-1.6655	-2.4325	-2.362	0.225	-1.962	-1.245	-1.586	-1.558	0.191	-1.093	-1.083	-2.92	-0.394	-3.954
"YPR190C"	-2.139	-2.209	-1.967	-2.308	-2.807	-0.678	-1.5	-1.3415	-1.9975	-1.638	-1.2445	-3.288	-1.7615	-1.4335	-1.441	-1.5705	-1.0355	-3.3155	-3.101	-1.5995	-2.21	-1.9665	0.046	-1.437	-0.976	-0.966	-0.609	0.097	-0.8155	-1.222	-2.414	-0.356	-2.124
