	"80.cdc15 070 min"	"81.cdc15 090 min"	"298.Tunicamycin vs. Ctrl"	"597.25 deg growth"	"686.YP ethanol vs reference pool"	"825.DY (zap1) 3 mM vs. 61 nM zinc"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1009.YPD 2 h (25C)"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"4872.1M sorbitol - 60 min"	"5187.MHY1 (crt1) vs CRY1 (wild type)"	"6668.wt - 0.1 mM H2O2 - 10 min"	"8197.steady state 25 dec C"	"8204.steady state 29 dec C"	"8213.steady state 36 dec C"	"8282.Gal induced MCM1 vs. Glucose"	"12744.heat shock 17 to 37, 20 minutes"	"16338.DES460 vs. DES460 YPD log phase control"	"21634..24 mM H2O2- 155 minutes"	"28841.P2Comp 08 hr 19 min Phosphate Batch vs Chemostat Comparison2"	"28842.P2Comp 08 hr 48 min Phosphate Batch vs Chemostat Comparison2"	"30462.Pomona/Brown Sir3xpol2-12 red"	"30773.Pomona/Brown Sir3x red"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34360.batch 02X25 4"	"37282.CC SP 1B  Sulfate-Phosphate Chemostat Comparison"	"38152.03II01 batch p8"	"38153.03II01 batch p9"	"38154.03II01 batch p10"
"YKL217W"	-0.013	0.459	-2.271	-0.683	2.059	-1.83	5.715	6.332	5.482	5.515	5.188	5.504	4.078	3.919	4.968	4.881	4.935	-0.324	5.204	5.036	4.489	4.2	6.184	7.178	6.94	0.102	0.078	-0.035	-1.129	-0.55	0.493	-3.075	2.407	0.278	0.914	-1.74	-1.055	1.948	0.461	5.399	6.083	4.87	3.813	6.592	6.498	5.542	1.861	-2.11	2.16	1.298	2.822
"YKR057W"	0.17	0.239	-1.165	0.643	-0.67	0.233	-3.036	-2.945	-2.525	-2.033	-1.835	-1.678	-1.743	-2.779	-2.897	-2.624	-2.294	0.22	-4.013	-2.126	-2.625	-2.576	-1.161	-1.048	-2.496	0.085	0.003	0.092	0.859	0.572	-0.016	0.583	-2.587	0.458	-0.16	0.307	-0.66	0.508	-0.22	-3.811	-2.631	-1.7	-3.29	-2.638	-2.13	-2.085	-1.41	0.677	-1.351	-1.414	-2.35
"YLL041C"	1.192	1.026	-0.756	-0.674	1.796	-1.785	4.794	5.323	5.655	5.102	4.997	4.796	2.48	2.342	2.74	2.712	2.855	0.18	4.827	4.436	3.693	3.746	4.25	4.703	3.334	-0.018	-0.888	-0.795	-0.124	0.024	0.868	-1.989	2.274	0.121	1.068	-1.002	-0.391	0.25	0.102	3.903	4.684	4.285	3.781	4.867	4.49	4.704	0.223	-0.297	1.833	1.933	2.35
"YLR048W"	0.217	0.178	0.224	0.088	-1.08	1.087	-4.075	-2.679	-2.64	-2.034	-2.257	-1.88	-1.942	-3.296	-3.55	-2.771	-2.506	0.28	-5.136	-2.08	-2.645	-2.575	-2.294	-2.17	-3.634	0.258	0.455	0.579	0.519	0.374	-0.059	0.312	-3.563	-0.186	0.238	0.205	0.015	0.016	0.132	-4.39	-3.403	-3.16	-4.032	-3.798	-2.576	-3.432	-2.177	0.322	-1.328	-1.617	-1.956
"YLR062C"	0.228	0.395	-1.093	-0.024	-1.091	0.892	-4.53	-4.418	-3.352	-3.067	-3.127	-4.077	-1.847	-3.6	-3.985	-3.965	-3.18	0.213	-4.96	-2.666	-3.209	-3.706	-4.299	-4.293	-5.234	0.023	0.117	0.095	0.189	0.312	-0.191	0.704	-3.134	-0.105	0.827	0.227	-0.785	0.162	0.034	-3.806	-3.723	-3.681	-4.54	-4.001	-2.894	-3.419	-1.905	0.558	-1.518	-1.53	-2.5
"YLR149C"	0.535	-0.04	0.961	-0.5	1.481	-1.174	4.105	3.465	3.717	3.85	3.986	3.387	3.839	3.078	3.191	2.983	3.163	0.051	4.749	3.585	4.206	4.313	5.295	5.72	4.926	0.282	0.433	0.827	-0.555	-0.99	0.288	-0.489	4.23	0.08	-0.54	0.607	0.538	0.553	0.082	4.245	3.572	3.263	4.717	4.271	2.991	3.931	2.798	-0.444	2.957	1.855	3.177
"YLR174W"	0.574	-1.916	0.579	-0.464	2.874	-0.924	4.526	5.843	6.653	5.651	5.451	5.447	2.507	3.793	4.275	5.023	5.765	0.033	5.205	4.807	3.605	4.155	3.221	3.353	1.759	-0.06	0.386	0.131	-0.199	0.032	0.581	-0.388	2.225	-0.251	-0.336	-1.31	0.068	0.58	-0.159	0.917	5.021	4.133	0.607	4.301	4.563	2.849	2.484	-0.119	2.531	2.932	3.738
"YLR185W"	0.189	0.025	-1.047	0.168	-0.889	0.37	-4.508	-3.498	-3.001	-2.551	-2.201	-2.749	-1.464	-2.94	-2.559	-2.616	-2.445	0.193	-4.019	-2.046	-2.136	-2.209	-2.015	-2.479	-3.065	-0.006	0.053	0.612	0.258	0.444	0.303	-1.773	-2.487	0.001	0.452	-0.255	0.028	0.501	-0.133	-3.712	-3.007	-2.345	-3.488	-3.242	-2.643	-3.35	-1.832	0.544	-0.842	-0.887	-1.615
"YLR388W"	0.508	0.591	-1.251	0.336	-0.744	1.112	-3.12	-2.544	-2.264	-1.926	-1.98	-1.738	-1.651	-3.204	-3.058	-2.742	-2.362	0.314	-4.025	-2.079	-2.671	-2.555	-2.232	-2.581	-3.193	0.202	0.154	0.299	0.529	0.395	-0.253	0.388	-2.761	0.301	0.636	0.558	0.183	0.166	0.076	-3.674	-2.798	-2.25	-3.762	-3.521	-2.816	-2.864	-1.536	0.883	-1.086	-0.893	-1.893
"YLR448W"	0.123	0.269	-1.047	0.196	-1.597	1.417	-4.815	-3.882	-3.116	-3.083	-2.052	-2.688	-1.842	-3.425	-3.454	-3.179	-2.573	0.011	-4.891	-2.352	-2.521	-2.621	-2.668	-3.192	-4.132	0.011	0.412	0.437	0.232	0.341	-0.315	0.181	-2.983	-0.009	0.359	0.224	-0.581	-0.102	-0.053	-4.85	-3.788	-3.07	-4.791	-4.505	-3.161	-3.636	-1.946	0.422	-1.258	-1.474	-1.818
"YML026C"	0.198	0.543	-1.119	0.051	-0.867	0.731	-3.811	-3.779	-3.236	-2.913	-2.934	-3.29	-2.084	-3.779	-3.636	-3.131	-3.217	0.053	-3.572	-2.525	-2.873	-2.821	-2.898	-2.803	-2.821	-0.067	-0.377	0.148	0.597	0.041	-0.562	0.316	-3.032	0.072	0.307	0.703	0.194	-0.196	-0.823	-4.522	-3.396	-2.98	-4.595	-3.765	-2.94	-3.307	-1.501	0.523	-0.93	-0.837	-1.737
"YML056C"	0.443	0.26	-0.649	-0.011	-1.807	1.415	-3.967	-3.497	-3.275	-3.12	-2.921	-3.786	-2.232	-3.243	-3.63	-2.67	-3.28	0.162	-2.774	-1.718	-2.437	-2.674	-1.337	-2.566	-2.751	-0.123	0.588	0.074	0.525	0.512	0.278	0.334	-3.776	-0.136	-0.209	0.737	0.567	-0.239	0.38	-3.863	-3.469	-2.987	-4.322	-4.508	-3.541	-4.272	-3.168	-0.012	NaN	-1.717	-2.154
"YMR104C"	NaN	NaN	0.665	0.0	0.617	-0.493	2.115	1.949	1.743	1.88	1.91	2.109	3.152	2.812	2.209	2.917	2.458	-0.544	1.468	1.441	1.732	2.546	1.51	1.006	0.748	0.088	0.478	0.042	0.007	-0.141	0.266	-0.824	3.469	0.776	-0.797	-0.426	-0.253	0.243	0.332	3.252	2.597	1.755	2.466	2.639	1.78	2.086	0.784	-0.662	1.063	-0.131	0.909
"YMR142C"	0.062	0.171	-0.973	0.206	-1.248	1.005	-3.579	-3.719	-3.19	-2.326	-2.653	-2.822	-1.356	-3.048	-3.849	-3.197	-3.226	0.131	-4.4	-2.393	-2.974	-2.468	-2.774	-3.415	-4.248	0.009	-0.055	0.277	0.718	0.414	-0.11	0.901	-3.22	0.056	0.701	-0.068	-0.349	-0.043	-0.201	-4.355	-3.347	-3.104	-4.039	-3.538	-3.031	-3.042	-1.509	0.743	-1.003	-0.84	-1.544
"YMR143W"	0.564	0.552	-1.386	-0.249	-1.07	0.755	-3.748	-3.175	-3.477	-3.087	-2.794	-2.234	-1.867	-3.563	-3.61	-3.657	-3.194	0.185	-4.401	-2.562	-2.703	-2.873	-2.88	-3.111	-3.545	0.16	0.092	0.055	0.181	0.291	0.044	0.592	-2.631	0.369	0.526	1.49	1.465	0.389	-0.792	-4.133	-3.647	-3.943	-4.75	-3.456	-3.199	-2.887	-1.672	0.585	-1.148	-0.887	-1.751
"YMR196W"	NaN	NaN	-0.501	-0.98	0.951	-0.972	2.691	1.583	2.638	2.071	2.161	1.893	1.631	1.677	1.866	1.179	0.432	-0.055	1.452	2.225	2.612	2.291	2.484	1.63	1.227	-0.122	0.164	0.369	-0.273	-0.713	0.353	-0.678	4.01	0.333	0.195	-0.158	-1.489	-0.594	-0.131	1.788	1.316	1.543	2.937	1.77	1.189	1.57	1.322	-0.243	1.61	0.428	1.504
"YMR242C"	-0.428	-0.614	-1.221	0.253	-1.39	0.875	-4.702	-3.631	-3.819	-3.001	-2.522	-3.032	-2.004	-3.832	-4.338	-3.636	-3.62	0.407	-4.84	-2.479	-2.59	-3.004	-2.601	-3.133	-3.475	0.442	0.227	0.487	0.408	0.435	-0.401	0.607	-3.054	0.257	0.571	0.379	-0.044	0.293	0.1305	-4.158	-3.141	-2.446	-4.607	-3.588	-2.771	-3.856	-1.905	0.573	-1.214	-0.881	-1.655
"YNL067W"	0.278	0.458	-0.927	0.257	-0.339	1.446	-4.019	-2.871	-2.193	-2.054	-1.807	-2.908	-1.822	-2.866	-3.241	-2.399	-0.037	0.454	-4.131	-1.968	-2.506	-2.759	-1.884	-1.906	-2.76	0.53	0.089	0.092	0.513	0.45	0.333	0.631	-3.16	0.442	0.373	0.144	-0.284	0.174	-5.0E-4	-2.698	-2.15	-2.329	-3.107	-2.534	-2.013	-2.982	-1.875	0.594	-0.802	-0.893	-1.238
"YNL069C"	0.074	0.394	-1.514	0.196	-0.839	0.977	-3.663	-3.006	-2.506	-1.993	-1.978	-2.285	-1.785	-3.44	-3.85	-3.199	0.46	0.226	-4.269	-1.921	-2.199	-2.466	-2.107	-2.509	-3.665	0.164	0.149	0.36	0.3	0.285	0.083	0.548	-2.91	0.312	0.443	-0.104	-0.498	0.1835	0.0335	-3.601	-3.131	-2.286	-3.741	-3.469	-3.02	-3.775	-1.852	0.547	-1.043	-1.347	-1.996
"YNL119W"	0.046	0.235	-1.205	0.216	-0.865	1.229	-6.697	-3.692	-2.694	-2.909	-2.2	-3.337	-1.542	-3.359	-3.366	-2.99	-2.998	0.312	-3.55	-1.753	-1.955	-2.206	-2.822	-2.843	-3.318	-0.324	-0.289	-0.017	0.214	0.156	0.013	0.325	-2.524	-0.189	0.745	0.09	-1.262	0.126	0.129	-3.587	-2.801	-2.871	-4.042	-2.748	-2.546	-2.406	-1.972	0.578	-1.036	-1.2	-1.947
"YNL302C"	0.308	0.241	-1.144	0.2315	-0.4625	-0.393	-2.266	-2.265	-1.899	-2.1795	-1.762	-1.752	-1.0385	-2.3395	-2.4085	-1.6685	-1.9135	-0.068	-2.3425	-1.4435	-1.1785	-1.181	-1.1605	-1.0695	-1.549	0.081	-0.3545	0.2505	-0.1215	0.147	-0.56	0.871	-1.727	-0.037	0.654	0.729	0.42	0.781	0.064	-4.107	-3.25	-2.449	-3.631	-3.426	-2.699	-2.943	-1.67	0.717	-1.18	-1.206	-1.653
"YNR002C"	-1.013	-1.234	-0.694	-0.159	1.929	-1.399	3.522	3.679	4.1155	3.544	3.295	4.0245	2.168	1.8715	2.342	0.9535	1.804	-0.209	2.865	4.327	3.175	1.676	5.416	5.477	4.078	0.126	0.876	-0.097	-0.0635	0.174	0.41	-1.072	2.872	-0.486	0.358	-0.059	-1.021	0.452	0.022	3.509	4.09	2.417	2.62	3.924	2.86	4.675	0.804	-0.612	0.697	1.933	1.231
"YOR096W"	-0.035	0.263	-0.712	0.227	-1.028	0.969	-3.836	-1.9145	-3.249	-2.358	0.709	-0.411	-1.926	-3.353	-3.798	-3.257	-0.527	0.48	-4.84	-2.181	-2.592	-2.585	-2.522	-2.337	-3.584	0.109	0.175	0.076	0.616	0.331	-0.126	0.382	-3.232	0.531	0.247	0.79	0.453	0.242	0.07	-4.534	-3.585	-2.394	-4.458	-3.603	-2.707	-3.387	-1.89	0.623	-0.825	-1.01	-1.171
"YOR167C"	0.431	0.569	-0.97	-0.088	-0.951	0.81	-1.901	-2.041	-1.52	-1.859	-1.466	-0.611	-1.319	-2.747	-2.5365	-2.376	-2.736	0.09	-3.37	-2.06	-2.251	-2.421	-2.283	-2.319	-2.712	-0.245	-0.228	-0.091	0.226	0.2455	-0.2595	0.689	-2.358	0.127	0.559	0.14	0.147	0.405	-0.157	-2.829	-2.745	-1.906	-3.035	-2.772	-2.46	-2.134	-0.909	0.899	-0.975	-0.718	-1.669
"YOR234C"	0.127	-0.059	-1.106	0.216	-0.803	0.548	-4.006	-3.3605	-2.805	-2.6575	-2.058	-1.908	-1.9865	-2.7115	-2.657	-2.407	-2.3945	0.123	-3.657	-1.912	-1.717	-1.324	-0.593	-0.648	-2.139	0.151	0.281	-0.072	0.457	0.2695	-0.3705	0.532	-1.745	0.274	-0.067	0.045	-0.049	0.14	-0.552	-3.604	-2.922	-2.425	-4.032	-3.302	-2.445	-3.127	-1.635	0.665	-1.363	-1.521	-1.958
"YOR276W"	0.296	0.29	-0.143	0.334	-0.599	0.652	-2.1185	-1.5925	-1.4995	-1.3115	-1.455	-1.655	-0.9165	-1.8885	-1.44	-1.99	-1.6405	0.146	-2.37	-1.547	-1.789	-1.815	-1.759	-1.888	-2.356	-0.227	-0.098	-0.243	0.428	0.1705	-0.352	0.591	-1.814	0.145	0.417	0.004	-0.787	0.095	0.198	-2.444	-1.699	-0.956	-2.349	-1.526	-1.139	-1.571	-1.18	0.57	-0.443	-0.621	-1.602
"YOR293W"	-1.181	-0.367	-1.109	0.249	-1.549	0.646	-4.155	-3.7615	-3.19	-2.996	-2.4345	-2.697	-2.2545	-3.442	-3.1085	-3.0195	-2.64	0.257	-4.233	-2.537	-2.533	-2.507	-1.856	-2.041	-3.118	-0.036	-0.099	-0.036	0.1505	0.2065	-0.1305	0.445	-3.151	0.271	0.109	0.209	-0.157	0.273	0.035	-3.53	-3.262	-3.205	-3.853	-3.23	-2.89	-3.271	-1.762	0.484	-1.183	-1.195	-1.809
"YOR386W"	-0.156	-0.362	0.499	-0.078	0.823	0.043	3.0	1.9635	2.3705	1.8745	1.632	2.254	3.1865	2.07	2.3485	1.814	1.0315	0.146	2.511	1.731	1.421	1.399	0.161	-0.142	0.116	-0.385	0.13	NaN	-0.344	-0.5	0.3315	-0.394	2.629	0.059	-1.014	-0.104	0.407	0.193	0.174	2.983	2.397	0.599	3.712	2.72	1.672	1.332	1.554	-0.502	0.804	-0.023	1.338
"YPL081W"	0.16	0.191	-1.369	0.036	-0.796	0.609	-4.5065	-3.3595	-3.199	-3.083	-2.508	-3.086	-1.7785	-2.5355	-2.916	-2.428	-2.3315	0.181	-4.022	-2.461	-2.849	-2.929	-2.789	-2.909	-3.725	0.099	0.508	0.383	-0.1415	-0.0175	-0.252	0.789	-2.52	0.082	0.257	-0.128	-0.788	0.063	-0.095	-3.083	-2.359	-1.427	-3.939	-2.717	-2.656	-3.157	-1.902	0.384	-1.575	-1.336	-1.555
"YPL134C"	0.458	0.332	-0.743	-0.057	1.659	-1.5225	3.9795	5.404	5.113	4.7625	3.908	3.98	2.6525	2.3025	2.5845	1.805	2.747	0.224	1.52	2.165	1.362	0.227	0.877	1.27	1.334	0.316	-0.182	-0.274	0.1155	0.193	0.0535	-2.061	1.113	-0.165	0.641	0.055	-0.484	0.339	0.066	2.122	3.316	2.763	2.188	3.624	3.62	3.406	0.511	0.008	1.077	1.388	1.408
"YPL142C"	0.199	0.436	-0.781	0.3215	-0.787	0.8765	-3.1395	-2.973	-2.7515	-2.2525	-1.78	-1.891	-2.088	-2.825	-3.3035	-2.8235	-2.16	0.25	-4.155	-2.082	-2.303	-2.376	-2.148	-2.632	-2.979	0.2	0.133	0.082	0.421	0.587	-0.096	-0.131	-3.034	-0.203	0.403	-0.293	0.294	0.349	0.142	-3.763	-3.021	-2.696	-3.677	-3.278	-2.971	-3.35	-1.359	1.041	-0.968	-0.778	-1.942
"YPR043W"	0.268	0.456	-0.761	0.388	-0.4	0.194	-2.5775	-2.728	-2.4415	-1.9305	-1.707	-1.435	-1.6525	-2.7405	-3.037	-2.62	-1.9725	-0.042	-2.953	-1.763	-1.831	-1.864	-0.871	-1.08	-2.187	-0.07	-0.046	0.195	0.5555	0.569	0.0995	0.316	-1.976	-0.259	0.589	0.407	0.048	0.399	-0.046	-3.698	-2.612	-2.615	-3.516	-2.939	-2.785	-3.169	-0.941	0.602	-1.376	-0.842	-1.691
"YPR132W"	-0.2125	0.1725	-0.831	0.185	-1.087	0.55	-2.849	-3.586	-3.351	-1.806	-2.6445	-2.672	-1.4195	-2.5895	-3.048	-2.967	-2.8485	0.245	-3.788	-1.948	-2.214	-2.292	-1.968	-2.388	-3.151	0.125	0.289	0.135	0.6485	0.6665	-0.4195	0.869	-2.027	-0.247	0.613	0.02	-0.084	0.21	0.031	-2.884	-2.466	-2.174	-2.903	-2.829	-2.063	-2.893	-1.437	0.513	-1.355	-1.039	-1.542
"YPR163C"	-0.189	-0.003	-0.243	0.418	-1.144	0.88	-3.6815	-2.265	-2.266	-1.717	-1.8375	-0.93	-0.8095	-2.5635	-2.469	-2.6395	-2.0525	0.346	-3.136	-2.003	-2.05	-2.325	-2.642	-2.895	-2.82	-0.06	-0.022	-0.098	0.4825	0.3075	-0.4305	0.428	-3.572	-0.462	0.412	0.742	0.456	0.104	0.195	-3.506	-3.14	-1.955	-3.575	-2.873	-2.034	-2.32	-1.488	0.709	-1.475	-1.728	-1.088
"YPR184W"	-0.485	-0.617	-0.438	-0.477	0.087	-1.695	3.57	1.63	2.0245	1.656	2.193	2.0715	2.9265	2.8455	1.579	2.1675	1.965	-0.009	2.689	2.661	2.888	2.359	2.458	2.911	1.408	0.241	0.396	0.395	-0.675	-0.342	-0.181	-1.425	4.475	-0.002	0.045	-0.709	-0.8	0.072	0.16	3.508	3.292	2.644	5.124	3.664	2.302	2.153	1.603	-1.027	1.972	1.215	2.708
