	"29.alpha factor release sample016"	"35.alpha factor release sample015"	"37.alpha factor release sample018"	"39.alpha factor release sample027"	"40.alpha factor release sample029"	"49.Elutriation2:Sample2:Time0.0hrs"	"50.Elutriation2:Sample2:Time0.5hrs"	"52.Elutriation2:Sample2:Time1.5hrs"	"53.Elutriation2:Sample2:Time2.0hrs"	"54.Elutriation2:Sample2:Time2.5hrs"	"55.Elutriation2:Sample2:Time3.0hrs"	"56.Elutriation2:Sample2:Time3.5hrs"	"57.Elutriation2:Sample2:Time4.0hrs"	"58.Elutriation2:Sample2:Time5.0hrs"	"59.alpha factor release sample013"	"103.alpha factor release sample026"	"104.alpha factor release sample024"	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"116.heat shock 40 min"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"497.Heat Shock 000 minutes"	"518.2.5mM DTT 120 min"	"519.2.5mM DTT 180 min"	"632.Elutriation2:Sample2:Time4.5hrs"	"634.Elutriation2:Sample2:Time6.5hrs"	"781.Heat Shock 000 minutes (series 2)"	"797.Heat Shock 000 minutes (series 3)"	"809.DBY7286 37degree heat - 20 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1097.alpha factor release sample020"	"1099.alpha factor release sample030"	"1107.alpha factor release sample025"	"1662.cdc15 030 min"	"1673.alpha factor release sample021"	"1674.Elutriation2:Sample2:Time5.5hrs"	"1679.Elutriation2:Sample2:Time6.0hrs"	"2141.Elutriation2:Sample2:Time1.0hrs"	"4048.0.8M NaCl +FK506 - 30 min"	"4786.29C +1M sorbitol to 33C + 1M sorbitol - 5 min"	"4872.1M sorbitol - 60 min"	"6361.DBYyap1- 37degree heat - 20 min (redo)"	"6362.DES459 (mec1-) + 0.02% MMS - 5 min"	"7535.25C -- 15 min"	"7536.25C -- 30 min"	"7537.25C -- 45 min"	"7759.Na 30min"	"7760.Na 45min"	"7761.Na 60min"	"7763.Na+FK 30min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"12739.Nitrogen Depletion 30 min."	"12741.Nitrogen Depletion 1 h"	"12744.heat shock 17 to 37, 20 minutes"	"17676.Na+FK 45min (4)"	"32253.DBY8778_heat_shock2_15min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34360.batch 02X25 4"	"34362.batch 02X25 5"	"34365.batch 02X25 6"
"YOR054C"	-0.532	-0.794	-0.231	-0.606	-0.32	0.727	0.144	0.206	-0.178	-0.009	0.178	0.127	-0.015	-0.022	-0.051	-0.532	-0.182	1.632	1.523	1.664	0.603	1.02	1.984	1.737	-0.734	0.79	0.88	-0.121	0.289	-0.712	-0.816	0.577	1.631	0.745	0.841	2.0535	0.5315	1.7775	1.3695	0.9945	0.464	0.31	1.2535	1.04	1.134	0.3765	1.416	0.899	1.144	1.287	1.351	1.47	1.343	-0.518	-0.004	-0.33	-0.219	-0.466	0.127	-0.028	-0.119	1.992	1.152	-0.278	0.662	-0.044	-0.108	-0.003	-0.164	1.418	1.504	1.038	1.259	1.762	1.615	0.553	0.752	1.895	1.503	0.951	1.868	1.662	1.262	2.229	2.032	1.31	1.882	1.408	1.252	2.211
"YOR116C"	-0.0905	-0.243	0.2915	0.127	0.2775	-0.8725	-0.2235	-0.0545	0.248	-0.0355	-0.026	-0.235	-0.04	-0.2275	0.212	0.114	0.028	-0.2705	-1.648	-1.045	-0.434	-1.252	-0.9245	-1.2105	0.1	-0.604	-0.1595	0.1805	-0.2585	0.549	0.694666666666667	-0.3455	-1.662	-1.69566666666667	-0.616333333333333	-1.57333333333333	-0.942	0.0926666666666667	-0.479	-2.715	-2.13466666666667	-0.0273333333333333	-1.415	-1.70433333333333	-0.7025	-1.218	-1.0045	-0.9695	-0.8885	-0.6205	-0.4325	-0.7215	-0.598	0.148	0.2215	-0.076	0.4005	0.1675	-0.2005	-0.348	-0.3735	-0.7555	-0.2805	0.186	-0.1565	0.185	0.7305	0.5885	0.326	-0.685	-1.0225	-0.906	-0.303	-0.438	-0.461	-1.1535	-0.8405	-1.179	-0.8225	-1.985	-1.0165	-1.3775	-1.215	-1.741	-0.6935	-1.422	-0.467	-1.148	-0.838	-0.5915
"YOR120W"	0.576	0.613	0.1	-0.335	-0.578	1.251	-0.031	0.362	-0.306	-0.26	-0.091	-0.329	-0.073	-0.142	0.246	0.267	-0.119	3.611	0.278	3.535	2.348	3.086	3.797	4.06	-1.663	1.034	1.358	-0.297	0.459	-2.142	-2.109	2.793	1.576	1.5035	1.1255	2.3855	2.612	2.528	1.0875	0.0195	2.906	1.427	3.563	3.336	2.82	2.347	3.214	2.785	2.804	3.439	2.368	2.145	0.857	0.03	-0.154	0.009	0.942	0.017	0.325	0.582	0.318	1.891	2.122	0.227	2.792	-0.15	-0.541	-0.196	-0.62	1.241	1.749	1.811	1.278	1.846	1.7	1.562	1.505	4.078	2.904	3.207	3.606	3.258	2.529	3.403	3.666	2.452	3.058	3.144	2.678	2.993
"YOR167C"	0.196	-0.059	0.143	0.493	0.503	-0.705	-0.166	0.327	0.467	0.367	0.278	0.307	0.213	0.347	0.405	-0.15	-0.213	-1.171	-1.706	-1.916	-2.16	-1.631	-2.402	-2.633	1.232	-0.651	-0.532	0.488	-0.121	0.974	0.689	-1.262	-1.901	-2.041	-1.52	-1.859	-1.466	-0.611	-0.6035	-3.313	-2.212	-1.319	-2.747	-2.5365	-2.376	-2.736	-3.37	-2.06	-2.251	-2.421	-2.283	-2.319	-2.712	0.04	-0.078	0.337	0.049	0.217	0.173	-0.246	0.417	-0.51	-0.221	-0.245	-1.516	0.408	-0.709	0.753	0.642	-1.27	-1.912	-1.848	-0.876	-1.413	-2.151	-1.78	-1.996	-2.358	-1.992	-1.736	-2.829	-2.745	-1.906	-3.035	-2.772	-2.46	-2.134	-0.909	-1.742	-2.138
"YOR182C"	-0.097	0.071	0.016	-0.113	0.294	-0.025	0.016	0.11	0.686	0.306	-0.334	-0.168	-0.356	0.227	0.161	-0.105	-0.144	-1.729	-1.207	-1.369	-1.644	-1.363	-2.168	-2.341	1.197	-1.412	-1.182	-0.372	-0.493	0.914	0.757	-0.872	-2.6255	-2.0985	-1.5695	-1.769	-1.2795	-0.902	-0.7905	-2.1095	-1.3295	-1.21	-2.657	-2.0605	-1.9825	-1.8605	-3.005	-1.825	-1.321	-0.82	1.003	0.939	-0.218	0.131	0.499	-0.126	0.264	-0.066	-0.508	-0.445	0.314	-0.605	0.035	-0.09	-0.997	0.4	0.263	0.919	0.621	-0.933	-1.227	-0.81	-0.513	-1.318	-1.423	-0.87	-1.004	-2.124	-1.281	-2.111	-2.309	-1.663	-1.172	-3.038	-2.166	-1.287	-1.776	-0.929	-1.727	-2.22
"YOR184W"	0.514	0.84	0.091	0.287	0.356	-0.376	-0.075	-0.149	0.13	0.028	-0.261	0.058	0.128	0.167	0.088	-0.102	0.115	-0.316	-0.101	-0.181	0.384	-0.034	-0.482	-0.467	0.631	-0.182	0.254	0.221	0.178	0.479	0.4355	-0.164	-1.7295	-0.6645	-0.316	-0.1995	0.091	-0.936	-1.887	-4.7005	2.38	-0.663	-0.958	-0.193	-0.567	-0.436	-0.408	-0.045	-0.582	-0.804	-0.937	-1.224	-2.221	-0.148	0.192	0.149	-0.224	0.378	0.239	-0.076	-0.219	-0.188	0.116	-0.016	-0.594	0.323	0.306	0.121	-0.406	-0.294	-0.525	-0.58	-0.096	-0.394	-0.399	2.227	2.379	-0.617	-0.813	-0.616	-1.419	-0.752	-1.083	-1.91	-1.315	-0.585	-0.422	-1.504	-0.596	0.065
"YOR310C"	-0.563	-1.013	-0.219	0.106	-0.173	-1.671	-0.773	0.103	1.092	0.728	0.262	0.1	-0.408	0.244	-0.085	0.082	0.058	-5.053	-0.887	-4.365	-2.174	-3.309	-4.639	-3.004	1.211	-1.485	-1.996	0.122	-0.269	1.223	1.0465	-1.291	-6.006	-3.92	-3.4655	-3.0705	-3.303	-3.319	-4.7765	-7.1385	-3.101	-2.5655	-3.766	-3.585	-3.5415	-2.603	-5.777	-2.773	-3.838	-4.105	-4.745	-5.099	-4.866	-0.072	-0.128	-0.06	-0.151	0.126	-0.968	-1.043	-0.286	-0.931	-1.065	0.202	-1.628	0.718	1.355	1.702	1.407	-0.581	-2.449	-1.598	-0.694	-2.08	-2.17	-3.457	-2.411	-4.948	-2.738	-4.326	-4.564	-4.629	-3.407	-5.14	-4.292	-3.502	-2.073	-3.033	-2.54	-3.229
"YOR312C"	-0.088	-0.357	-0.166	0.065	-0.014	-0.884	0.046	0.584	0.542	0.761	0.531	0.666	0.186	0.309	-0.064	0.216	0.044	-2.426	-3.576	-2.612	-1.832	-1.995	-2.723	-3.7	1.374	-1.043	-1.526	0.264	0.044	1.167	0.9475	-1.432	-3.8645	-3.381	-2.919	-2.263	-2.227	-2.2895	-3.3005	-4.8175	-2.4995	-2.054	-2.99	-3.177	-3.0	-2.5975	-4.638	-2.15	-2.511	-2.402	-2.039	-1.569	-3.224	-0.28	0.09	-0.004	-0.385	-0.041	0.06	-0.32	0.397	-1.537	-0.146	0.298	-1.871	0.783	0.647	1.109	0.925	-1.709	-2.549	-1.732	-1.545	-2.5	-2.243	-1.289	-1.994	-2.873	-2.141	-3.057	-4.379	-3.433	-3.512	-4.531	-3.454	-2.689	-2.886	-1.564	-1.836	-2.74
"YOR373W"	-0.02	-0.035	0.493	0.319	0.088	-0.492	-0.364	-0.03	-0.021	-0.34	0.082	0.08	0.262	-0.211	-0.646	-0.055	-0.019	0.5705	2.043	0.659	0.5555	-1.0	-0.8065	-0.087	-0.111	0.51	1.141	0.003	-0.139	-1.0	0.220666666666667	-0.083	0.221	0.261	-0.0383333333333334	0.0983333333333333	0.503	1.05266666666667	0.789666666666667	-0.266	-0.515666666666667	-0.029	-0.100333333333333	0.108	0.658666666666667	0.131	0.2885	-0.03	0.3675	0.342	0.7075	0.663	0.606	-0.175	0.192	-0.067	-0.2165	-0.153	0.368	0.454	-0.546	0.3315	0.46	0.0125	0.14	-0.1075	0.468	-0.332	-0.685	-0.0915	-0.31	0.1795	-0.099	0.1665	-0.096	0.3065	-0.4195	-0.9385	-0.5705	-1.047	-1.05	-0.527	-1.17	-1.115	-0.775	-1.087	-1.543	0.224	0.624	0.764
"YPL079W"	-0.141	0.082	-0.507	0.463	0.478	-1.218	-0.644	0.49	0.283	-0.405	-0.188	-0.037	-0.043	-0.388	0.125	-0.182	-0.307	-2.261	-2.147	-2.597	-1.346	-2.277	-3.115	-3.828	0.688	-1.29	-1.376	-0.129	-0.581	1.126	0.917	-1.437	-4.616	-4.1965	-3.787	-3.3525	-2.3565	-2.6495	-3.892	-6.4765	-2.527	-1.7255	-3.085	-3.172	-3.0255	-3.112	-4.735	-2.781	-2.741	-3.087	-3.015	-3.498	-4.547	-0.096	-0.055	0.085	0.388	0.262	-0.292	-0.399	-0.252	-1.381	-0.144	0.031	-1.713	0.431	0.341	1.127	0.718	-2.117	-2.574	-1.965	-1.758	-2.209	-2.429	-1.506	-2.132	-3.135	-2.442	-1.936	-2.865	-2.753	-2.74	-3.573	-3.431	-2.725	-2.785	-1.449	-2.289	-2.489
"YPL090C"	-0.312	-0.5	-0.452	0.102	-0.219	-0.838	-0.194	0.872	0.252	0.657	0.293	0.983	0.582	-0.136	-0.03	0.036	0.1	-2.294	-1.862	-2.09	-1.812	-2.497	-3.529	-3.965	0.955	-1.975	-2.177	0.688	0.133	0.871	0.9415	-1.691	-3.9615	-3.256	-2.7785	-2.4215	-2.57	-2.203	-4.364	-6.197	-2.01	-1.463	-3.398	-3.223	-3.3795	-3.2385	-5.307	-2.412	-2.833	-2.954	-3.292	-3.309	-4.719	-0.415	0.052	-0.043	NaN	0.091	0.271	0.207	0.175	-1.418	-0.088	-0.045	-1.907	0.778	0.669	0.958	0.445	-2.093	-2.805	-2.023	-1.131	-1.985	-1.805	-1.184	-2.178	-3.272	-2.36	-2.536	-4.244	-3.265	-3.165	-4.101	-3.571	-2.951	-2.658	-1.747	-2.426	-2.941
"YPL160W"	-0.2075	-0.186	-0.096	0.0835	0.197	-1.459	-0.1385	0.277	0.3255	0.359	0.1095	0.292	0.158	0.0755	0.055	0.1745	0.233	-1.6415	-1.1585	-1.5095	-0.93	-1.541	-1.989	-2.429	0.5835	-1.68	-1.44766666666667	0.4215	-0.0115	0.598	0.415	-1.107	-3.26033333333333	-2.28466666666667	-1.777	-1.608	-1.47166666666667	-2.13233333333333	-3.08233333333333	-5.284	-0.784	-1.495	-2.22666666666667	-2.35066666666667	-2.11133333333333	-1.59566666666667	-4.0365	-1.8835	-2.449	-2.824	-3.1695	-3.499	-2.977	-0.2605	0.0575	-0.0355	-0.1685	0.0905	0.00549999999999999	0.329	-0.086	-0.9745	0.4135	0.0515	-1.148	0.347	1.0285	0.543	1.2255	-0.7945	-1.523	-1.1165	-0.4035	-0.682	-0.496	-0.435	-0.8585	-2.203	-1.4455	-2.1325	-3.477	-2.958	-2.059	-3.512	-2.719	-2.2345	-2.589	-1.24	-1.3955	-1.7245
"YPL183C"	-0.439	-1.071	-0.378	-0.229	-0.266	-1.424	0.805	0.667	0.179	0.283	-0.142	-0.522	-0.358	-0.447	0.227	-0.469	-0.437	-2.58	-2.117	-2.124	-0.975	-2.298	-1.925	-2.585	1.098	-1.666	-1.261	-0.077	-0.568	0.813	0.748	-0.415	-3.014	-2.069	-1.767	-1.5955	-1.8275	-1.544	-4.1755	-3.957	-1.459	-2.0945	-2.1075	-1.7485	-1.7965	-2.531	-2.335	-1.757	-1.735	-1.38	-2.512	-2.745	-3.056	-0.301	-0.274	-0.154	0.341	0.058	-0.434	-0.697	-0.143	-2.08	-0.236	-0.103	-0.459	0.308	0.938	0.457	0.646	-1.865	-2.373	-1.906	-1.087	-1.231	-1.307	-1.866	-1.693	NaN	-1.906	-2.4425	-2.605	-2.4425	-2.4435	-2.8755	-2.0785	-1.577	-1.825	-0.958	-1.131	-1.4975
"YPR110C"	-0.284	-0.326	0.355	0.264	0.455	-0.524	-0.111	0.622	0.551	0.505	0.336	-0.086	-0.413	0.084	0.114	-0.262	-0.211	-3.178	-1.98	-3.084	-1.217	-2.507	-3.52	-3.728	0.96	-1.79	-1.7985	-0.293	-0.308	1.068	0.986	-0.986	-5.7185	-3.423	-3.2115	-2.9215	-2.8345	-3.133	-3.662	-6.318	-2.6255	-1.862	-3.01	-3.296	-2.285	-2.0215	-3.88	-2.186	-2.175	-2.703	-2.993	-3.212	-3.358	0.157	0.04	-0.038	0.737	0.311	-0.679	-0.9	0.034	-1.308	-0.777	-0.091	-1.216	0.572	0.911	1.389	1.232	-1.719	-2.308	-1.703	-1.435	-2.158	-2.174	-1.911	-1.505	-3.168	-2.787	-3.436	-2.851	-1.853	-0.937	-3.882	-3.113	-2.597	-2.759	-2.538	-1.843	-2.294
"YPR118W"	0.074	0.128	0.102	0.455	0.476	-0.706	-0.152	0.538	0.529	0.195	0.267	0.106	-0.273	0.133	0.418	-0.015	-0.096	-1.907	NaN	-1.97	-1.451	-1.737	-1.603	-1.431	1.07	-0.4755	0.553	-0.135	-0.077	0.7795	0.756	-1.296	-2.848	-3.0	-2.0775	-2.4945	-2.706	-3.095	-3.9965	-5.524	-1.412	-2.1155	-2.525	-2.5375	-2.305	-2.577	-1.735	-1.488	-2.594	-2.077	-2.882	-3.334	-3.538	0.233	-0.035	0.092	0.129	0.757	-0.279	-0.398	-0.069	-1.174	-0.711	0.036	-1.435	0.66	0.651	0.874	0.585	-1.345	-1.782	-1.233	-1.305	-1.917	-1.787	-0.585	-0.283	-1.164	NaN	-1.394	-1.726	-1.789	-1.123	-2.082	-2.086	-1.264	-2.261	-0.709	-0.573	-0.932
