	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"692.DBYyap1- + 0.3 mM H2O2 (20 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"961.1 mM Menadione (20 min) redo"	"962.1 mM Menadione (30 min) redo"	"963.1 mM Menadione (120 min)redo"	"964.1 mM Menadione (160 min) redo"	"971.1mM Menadione (40 min) redo"	"974.1 mM Menadione (80 min) redo"	"975.1 mM Menadione (105 min) redo"	"985.constant 0.32 mM H2O2 (20 min) redo"	"986.constant 0.32 mM H2O2 (30 min) redo"	"987.constant 0.32 mM H2O2 (50 min) redo"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1661.1 mM Menadione (50 min)redo"	"12739.Nitrogen Depletion 30 min."	"12744.heat shock 17 to 37, 20 minutes"	"14712.Ca 15min (1)"	"14761.Ca 30min (1)"	"15180.Ca 15min (2)"	"15181.Ca 30min (2)"	"15184.Ca+FK 5min (2)"	"15635.Ca+FK 15min (2)"	"15636.Ca+FK 30min (2)"	"17472.Ca+FK 15min (5)"	"17473.Ca+FK 30min (5)"	"21666..24 mM H2O2- 055 minutes"	"32253.DBY8778_heat_shock2_15min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"34879.S4Comp 10 hr 00 min Sulfate Batch vs Chemostat Comparison"	"38149.03II01 batch p5"	"38154.03II01 batch p10"	"40952.H2O2_II_56_min"	"40953.H2O2_II_63_min"
"YLR048W"	-1.866	-2.382	-2.16	-2.988	-4.313	-1.702	-4.075	-2.679	-2.64	-2.034	-2.257	-1.88	-3.645	-3.72	-2.627	-1.942	-3.296	-3.55	-0.839	-0.498	-0.368	-0.867	-0.27	-0.345	-0.365	-1.149	-1.452	-0.956	-5.136	-2.08	-2.645	-2.575	-2.294	-2.17	-3.634	-0.184	-2.17	-3.563	-1.255	-1.024	-1.442	-0.658	-0.436	-1.542	-1.357	-1.451	NaN	-2.284	-3.068	-4.39	-3.403	-3.16	-4.032	-3.798	-2.576	-2.993	-0.254	-1.956	-2.167	-2.255
"YLR062C"	-2.174	-2.343	-2.335	-3.557	-4.079	-1.517	-4.53	-4.418	-3.352	-3.067	-3.127	-4.077	-5.705	-6.896	-2.606	-1.847	-3.6	-3.985	-0.577	-0.291	-0.465	-0.14	-0.267	-0.192	-0.268	-0.871	-1.214	-0.666	-4.96	-2.666	-3.209	-3.706	-4.299	-4.293	-5.234	-0.282	-1.833	-3.134	-1.262	-0.934	-1.416	-0.34	-0.353	-1.213	-0.739	-2.077	-1.822	-1.314	-2.944	-3.806	-3.723	-3.681	-4.54	-4.001	-2.894	-2.202	-0.393	-2.5	-1.001	-1.958
"YLR083C"	-1.886	-2.035	-1.6	-1.568	-2.248	-1.98	-3.703	-2.067	-1.922	-1.598	-2.021	-2.216	-3.767	-5.137	-2.111	-3.505	-2.718	-2.103	0.135	0.019	0.475	0.898	-0.154	0.366	0.228	-0.288	-0.144	-0.404	-3.208	-1.494	-2.031	-2.545	-2.29	-3.88	-3.36	-0.043	-1.714	-2.311	-1.619	-1.416	-1.966	-2.003	-0.515	0.218	-0.402	-1.126	-0.485	-2.623	-2.0	-3.186	-2.942	-1.706	-3.492	-2.869	-2.182	-2.31	1.118	-1.058	-2.355	-2.957
"YLR084C"	-0.748	-1.239	-0.468	-1.198	-1.054	-1.702	-1.276	-0.878	-0.441	-1.246	-2.131	-1.153	-3.113	-3.637	-0.323	-1.421	-0.801	-0.488	-0.088	-0.142	0.521	0.065	-0.282	-0.237	0.335	-0.423	-0.052	-0.515	-0.678	NaN	-1.138	-1.616	NaN	0.71	3.907	-0.347	-0.794	-0.45	-0.359	-0.91	-0.741	-0.313	-0.43	-0.728	-0.686	-0.746	-0.136	0.263	-1.257	-2.293	-2.127	-3.392	-2.067	-2.201	-1.204	-0.74	1.104	-0.473	-0.859	-1.3
"YLR106C"	-0.293	-0.2625	-1.8145	-0.8125	-1.0	-1.872	-0.4225	-1.08	-0.7835	-0.4595	-1.0335	-0.579	-0.72	-2.6785	0.044	-0.282	0.116	-0.042	-0.0685	0.153	0.6065	0.596	0.083	-0.304	-0.1085	0.4635	0.436	0.121	-0.573	-0.902	-1.162	-0.828	-1.0085	-0.8965	-1.2915	0.2415	-0.545	-1.3795	0.0565	0.178	-0.236	-0.241	0.41	0.5965	0.097	0.0575	-0.0565	-0.822	-1.026	-0.8705	-0.3945	-0.493	-0.786	-0.5535	-0.639	-0.9485	-0.0775	-0.1755	-0.107	-0.513
"YLR175W"	-4.176	-3.679	-3.07	-4.552	-4.902	-2.109	-5.607	-3.276	-2.921	-2.657	-2.484	-3.068	-3.401	-5.468	-3.43	-2.275	-3.996	-3.068	0.026	-0.411	-0.112	-0.031	-0.37	0.107	0.138	-1.586	-1.455	-0.352	-4.678	-2.413	-2.762	-3.408	-3.701	-4.364	-4.96	-0.171	-3.065	-4.431	-2.55	-1.317	-2.519	-1.543	-1.48	-2.435	-1.018	-2.326	-0.22	-2.474	-4.177	-3.995	-3.16	-1.549	-4.338	-2.959	-2.455	-2.49	-0.059	-2.89	-3.083	-2.593
"YLR181C"	-1.005	-0.652	-0.585	-0.575	-0.585	-0.399	-0.615	-0.852	-0.196	-0.622	-0.303	-0.885	-0.164	-2.909	-0.331	-0.094	-0.258	-0.061	0.162	0.162	0.577	0.235	0.404	0.488	0.422	-0.171	-0.121	0.351	-0.357	-0.5	-0.349	0.016	-1.567	-1.636	-1.662	0.282	0.454	-0.559	-0.286	-0.489	-0.536	0.061	-0.286	-0.602	-0.641	-0.653	-0.191	-0.623	-0.631	-0.183	-0.07	0.039	-0.207	-0.628	-0.915	0.67	0.13	-0.239	NaN	-1.554
"YLR197W"	-4.98	-4.044	-3.638	-4.76	-5.179	-2.503	-5.817	-3.612	-3.173	-2.795	-2.789	-3.255	-4.736	-5.242	-3.387	-1.811	-3.899	-3.238	-0.152	-0.596	-0.263	0.03	-0.529	-0.087	-0.073	-1.163	-1.692	-0.858	-5.671	-2.611	-3.067	-3.716	-4.423	-4.976	-5.033	-0.158	-3.026	-5.072	-2.537	-1.484	-2.659	-1.783	-1.203	-2.715	-1.25	-1.851	-0.691	-1.807	-4.496	-4.983	-3.17	-1.095	-4.545	-3.045	-2.593	-3.498	0.801	-2.559	-1.459	NaN
"YLR221C"	-3.146	-2.286	-2.172	-2.998	-2.528	-1.34	-2.998	-2.097	-1.521	-1.444	-1.161	-1.853	-1.317	-1.577	-1.622	-1.374	-1.591	-0.902	-0.612	-0.278	-0.63	0.035	-0.377	-0.117	-0.513	-2.397	-1.505	-0.716	-2.27	-1.754	-1.704	-1.694	-1.533	-1.674	-1.643	-0.252	-0.872	-3.231	-1.987	-1.152	-1.88	-1.476	-1.246	-1.972	-0.67	-2.299	-0.875	-1.056	-3.034	-1.916	-1.568	-1.339	-3.361	-1.731	-1.498	-0.833	0.123	-1.033	-1.568	-0.415
"YLR249W"	-2.818	-3.122	-3.317	-4.232	-4.758	-2.153	-6.529	-4.864	-4.043	-3.482	-3.403	-3.637	-4.146	-6.742	-2.985	-1.486	-3.879	-4.141	-1.174	-1.314	-1.382	-0.811	-0.902	-0.862	-0.843	-1.573	-1.984	-0.568	-4.679	-2.712	-3.131	-3.778	-3.883	-4.549	-4.992	-0.837	-2.719	-4.59	-2.403	-1.781	-2.425	-1.876	-0.894	-2.248	-1.291	-2.693	-1.118	-3.42	-3.998	-5.053	-5.102	-2.604	-5.085	-4.9	-3.269	-3.591	1.554	-1.871	-3.861	-4.463
"YLR372W"	-2.207	-2.614	-1.814	-2.438	-2.835	-2.055	-4.565	-3.104	-2.096	-2.432	-2.818	-3.001	-2.731	-4.512	-2.515	-2.755	-3.069	-2.683	-0.464	-0.596	0.103	0.433	-0.764	0.136	-0.067	-1.195	-1.02	-0.747	-4.078	-2.106	-2.838	-3.773	-2.844	-3.456	-3.544	-0.366	-2.172	-2.623	-3.099	-2.042	-2.607	-1.637	-0.815	-2.005	-0.618	-2.197	-1.442	-3.018	-2.375	-3.386	-2.674	-2.156	-3.936	-3.603	-2.623	-3.129	0.738	-1.943	-1.726	-2.139
"YLR452C"	-0.903	-0.797	-0.908	-0.907	-1.421	-0.261	-0.624	-1.022	-1.087	-1.496	-1.181	-0.797	-2.085	-2.433	0.311	-1.728	-1.42	-1.413	0.486	0.257	0.12	-0.191	0.349	0.054	0.083	0.513	0.373	-0.148	0.062	-2.081	-1.507	-1.407	-2.221	-2.363	-2.117	0.368	0.177	-1.855	-1.188	-0.625	-0.929	-0.395	-0.136	-0.75	-0.231	-0.008	0.844	-1.573	-1.029	-2.287	-2.011	-2.6	-0.971	-1.726	-2.388	0.637	0.691	-0.233	-1.909	-1.801
"YML006C"	-0.221	-0.336	-0.585	-0.662	-0.7	-0.334	-0.662	-0.477	0.222	-0.122	0.04	-0.124	-0.304	-4.428	0.106	-0.168	-0.396	0.157	0.672	0.492	0.79	0.132	0.493	0.148	0.418	0.454	0.724	0.653	-0.84	-0.282	0.043	0.619	-1.284	-1.482	-1.057	0.631	0.433	-1.036	-0.172	-0.355	-0.18	-0.643	-0.834	-0.75	-0.83	-0.71	-0.303	-2.57	-2.193	-1.135	-1.13	-0.009	-1.548	-0.927	-0.579	-0.704	0.702	-0.322	-0.747	-1.801
"YML021C"	-0.364	-0.355	-0.181	-0.249	1.0	-0.398	-1.043	-1.002	-0.978	-0.84	-0.993	-0.686	-3.272	-2.945	-0.254	-1.116	-1.495	-1.443	-0.158	-0.081	0.164	0.057	-0.181	0.264	-0.013	-0.865	-0.367	-0.124	-1.521	-1.29	-1.368	-0.906	-1.533	-1.979	-1.697	-0.029	-0.266	-0.334	0.178	0.01	0.126	0.271	0.278	0.111	-0.202	0.155	-0.116	-1.617	-0.8675	-1.5765	-1.6455	-1.779	-2.159	-1.6535	-1.3635	-0.377	0.3845	-0.567	-1.302	-3.319
"YML022W"	-1.818	-2.392	-2.188	-2.749	-2.982	-1.269	-3.236	-1.772	-1.782	-1.805	-1.985	-2.389	-3.146	-3.98	-2.206	-2.019	-3.223	-2.451	0.02	0.087	-0.233	-0.11	-0.122	-0.058	-0.116	-0.569	-0.981	-0.493	-2.802	-1.809	-2.266	-2.26	-2.846	-3.092	-3.144	0.007	-1.62	-2.765	-1.211	-0.819	-1.349	-1.318	-0.568	-1.325	-1.019	-0.842	-0.354	-2.043	-2.245	-1.063	-0.857	-1.066	-2.661	-1.545	-1.447	-1.301	-0.274	-1.571	-2.739	-2.787
"YML056C"	-3.762	-3.158	-3.16	-2.963	-3.376	-1.035	-3.967	-3.497	-3.275	-3.12	-2.921	-3.786	-2.698	-5.251	-2.85	-2.232	-3.243	-3.63	-0.39	-0.641	-0.475	-0.907	-0.732	-0.7	-0.511	-0.642	-1.166	-0.407	-2.774	-1.718	-2.437	-2.674	-1.337	-2.566	-2.751	-0.752	-1.638	-3.776	-2.033	-1.767	-1.952	-1.456	-0.784	-2.314	-1.67	-2.19	-0.99	-2.63	-4.017	-3.863	-3.469	-2.987	-4.322	-4.508	-3.541	-2.151	0.238	-2.154	-2.921	-2.551
"YML073C"	-2.182	-2.294	-2.106	-3.093	-3.742	-1.576	0.912	-3.01	-3.061	-2.182	-1.884	-2.135	-3.862	-6.033	-2.298	-1.506	-3.5	-3.371	-0.343	-0.44	-0.552	-0.827	-0.454	-0.34	-0.721	-0.865	-1.614	-0.82	-4.919	-2.471	-2.561	-2.549	-2.401	-2.624	-3.718	-0.209	-1.514	-3.187	-0.981	-0.406	-1.15	-0.472	-0.505	-1.125	-0.619	-1.709	-1.29	-0.903	-2.475	-2.783	-3.737	-2.652	-3.765	-3.151	-2.415	-1.685	-1.115	-1.99	-1.246	-2.379
"YMR129W"	-0.937	-1.05	-0.818	-0.641	-0.776	-1.514	-2.118	-1.168	-1.193	-1.454	-1.064	-1.465	-1.351	-3.503	-1.092	-1.518	-1.712	-1.318	-0.038	-0.045	0.133	-0.507	-0.259	-0.373	-0.182	-0.458	0.079	-0.116	-0.978	-1.216	-1.121	-1.112	-2.223	-2.321	-1.785	-0.371	-0.595	-0.749	-0.276	-0.047	0.083	-0.14	-0.278	-0.075	-0.285	0.054	-0.204	-1.191	-1.52	-1.316	-1.604	-1.309	-1.734	-0.739	-0.997	-1.536	0.874	-0.507	-1.319	-0.879
"YMR142C"	-2.549	-1.964	-2.064	-3.395	-3.688	-1.264	-3.579	-3.719	-3.19	-2.326	-2.653	-2.822	-0.651	-6.693	-2.458	-1.356	-3.048	-3.849	-0.107	-0.542	-0.496	-0.647	0.049	-0.256	NaN	-0.912	-1.284	-0.736	-4.4	-2.393	-2.974	-2.468	-2.774	-3.415	-4.248	-0.134	-1.116	-3.22	-0.535	-0.44	-0.717	-0.372	-0.127	-0.488	-0.372	-0.653	-0.398	-0.574	-2.173	-4.355	-3.347	-3.104	-4.039	-3.538	-3.031	-2.219	-0.211	-1.544	-0.829	-1.258
"YMR242C"	-2.278	-2.539	-1.639	-3.309	-3.708	-1.335	-4.702	-3.631	-3.819	-3.001	-2.522	-3.032	-3.971	-6.226	-2.432	-2.004	-3.832	-4.338	0.007	0.099	-0.047	0.471	-0.103	0.146	-0.012	-0.972	-1.16	-0.33	-4.84	-2.479	-2.59	-3.004	-2.601	-3.133	-3.475	0.002	-1.243	-3.054	-0.626	-0.597	-0.706	-0.417	0.215	-0.373	-0.363	-0.522	-0.02	-1.544	-2.43	-4.158	-3.141	-2.446	-4.607	-3.588	-2.771	-3.098	0.107	-1.655	-2.314	-1.514
"YMR259C"	-0.453	-1.325	1.901	-0.662	-1.759	-1.056	-1.997	-1.238	-0.41	-0.493	-0.213	-0.162	-1.686	-1.928	-0.974	-1.472	-1.167	-0.635	-0.649	-0.572	0.059	-0.299	-0.67	-0.449	-0.303	-1.058	-0.98	-0.738	-1.485	-0.82	-1.366	-0.751	-1.453	-1.969	-1.982	-0.681	-1.49	-1.282	-0.649	-0.687	-0.511	0.176	-0.862	-0.474	-0.535	-0.596	-0.115	-0.88	-2.025	-2.435	-1.561	-1.535	-1.883	-0.785	-0.608	-0.174	0.275	-0.947	-1.197	-0.807
"YMR290C"	-3.64	-3.689	-2.957	-3.89	-3.624	-2.05	-5.132	-3.842	-3.455	-3.073	-2.719	-3.471	-3.509	-5.217	-3.458	-3.017	-3.243	-3.378	-0.332	-0.419	-0.38	0.459	-0.537	0.063	-0.06	-1.688	-1.734	-0.356	-4.614	-3.037	-3.295	-3.716	-3.219	-3.665	-2.938	-0.22	-2.409	-4.129	-2.521	-2.08	-2.513	-2.49	-0.469	-1.971	-0.56	-2.171	-1.13	-1.05	-4.343	-4.028	-3.856	-2.84	-4.544	-3.558	-3.243	-2.59	0.511	-2.141	-2.311	-3.104
"YNL069C"	-1.415	-1.976	-1.954	-2.865	-3.347	-1.367	-3.663	-3.006	-2.506	-1.993	-1.978	-2.285	-4.006	-4.824	-2.585	-1.785	-3.44	-3.85	0.162	0.255	0.571	0.335	0.007	0.43	0.023	-0.74	-0.933	-0.377	-4.269	-1.921	-2.199	-2.466	-2.107	-2.509	-3.665	0.302	-1.722	-2.91	-0.821	-0.629	-0.593	-0.265	0.207	-0.452	-0.017	-0.802	-0.623	-1.846	-2.543	-3.601	-3.131	-2.286	-3.741	-3.469	-3.02	-3.632	-0.104	-1.996	-2.126	-1.631
"YNL119W"	-2.225	-2.262	-2.092	-2.438	-3.435	-1.568	-6.697	-3.692	-2.694	-2.909	-2.2	-3.337	-5.354	-6.231	-2.598	-1.542	-3.359	-3.366	-0.813	-0.714	-0.781	-0.358	-0.47	-0.457	-0.706	-0.93	-1.255	-0.772	-3.55	-1.753	-1.955	-2.206	-2.822	-2.843	-3.318	-0.382	-1.461	-2.524	-1.201	-0.934	-1.051	0.101	0.119	-0.682	-0.193	-1.269	-1.136	-1.524	-2.669	-3.587	-2.801	-2.871	-4.042	-2.748	-2.546	-2.092	0.08	-1.947	-2.164	-2.084
"YNL132W"	-4.679	-5.146	-3.658	-3.329	-4.954	-2.891	-5.826	-3.389	-2.815	-3.25	-2.572	-3.653	-4.956	-6.392	-3.883	-2.3	-3.285	-3.141	-0.656	-0.604	-1.112	-0.504	-0.642	-0.345	-0.355	-1.847	-1.242	-0.612	-4.353	-2.313	-2.799	-2.936	-3.396	-4.377	-4.049	-0.517	-3.96	-3.45	-2.48	-1.999	-2.637	-1.934	-2.463	-2.541	-0.786	-2.688	-1.39	-2.96	-4.311	-2.994	-2.948	-2.325	-3.989	-2.673	-2.3	-1.69	0.282	-2.393	-2.128	-1.908
"YNL154C"	0.035	-0.314	0.018	-0.034	-0.017	-0.247	-0.952	-1.632	-0.742	-1.147	-1.0	-1.128	-1.871	-3.909	-0.129	0.067	-0.647	-0.405	0.137	-0.051	0.335	-0.059	-0.176	-0.129	0.173	0.727	0.623	0.122	-2.02	-1.071	-0.946	-1.374	-1.346	-2.5	-2.113	-0.058	-0.032	-0.619	-0.261	-0.526	-0.559	-1.128	0.003	-0.658	0.357	-0.298	-0.161	-0.634	0.522	-1.184	-0.9	-0.07	-0.053	-0.623	-0.899	-0.44	0.185	0.099	-1.362	-1.669
"YNL164C"	-1.498	-2.0	-0.888	-1.368	-1.339	-0.781	-2.656	-0.998	-0.53	-0.655	0.121	-0.412	0.144	-1.534	-0.879	-1.406	-1.038	-0.696	-0.145	-0.097	0.12	0.103	0.288	-0.11	-0.176	0.156	-0.016	0.404	-0.656	-0.604	-0.255	0.337	-0.228	-0.075	-0.1	0.313	-0.212	-1.49	-0.425	-0.03	-0.388	0.243	-0.271	-0.253	-0.118	0.065	-0.257	-1.045	-1.301	0.317	-0.863	-0.446	-1.768	-1.006	-0.705	-0.489	0.232	-0.453	-1.491	-0.969
"YNL188W"	-1.138	-1.198	-0.5	-1.019	-1.17	-1.086	-1.557	-1.708	-0.805	-1.337	-1.316	-0.973	-1.648	-2.186	-0.078	-1.063	-1.217	-0.675	-0.403	-0.473	0.178	0.129	-0.578	-0.171	-0.307	-0.706	-0.524	-0.332	-2.033	-1.414	-1.325	-1.646	-1.751	-1.634	-1.633	-0.169	0.538	-0.961	-0.651	-1.016	-0.652	-0.888	0.128	-0.438	-0.105	-0.735	-0.228	-1.345	-0.987	-0.738	-1.049	-1.121	-2.445	-1.372	-1.135	-1.011	-0.068	-0.569	-1.676	-1.703
"YNL209W"	-2.368	-2.469	-3.114	-4.441	-4.707	-2.089	-3.795	-3.591	-3.12	-3.471	-2.885	-3.057	-4.055	-5.803	-2.699	-1.708	-3.728	-2.985	0.298	0.022	0.503	-0.375	-0.162	0.35	-0.018	-0.869	-1.255	-0.827	-4.059	-2.262	-2.633	-2.99	-3.596	-3.829	0.396	-0.144	-2.115	-4.616	-1.48	-1.455	-1.7	-0.827	-0.177	-1.331	-1.007	-1.077	-0.416	-2.005	-3.361	-4.586	-3.709	-2.704	-4.209	-4.158	-3.075	-2.815	0.626	-1.979	-2.986	-1.809
"YNL248C"	-4.791	-4.315	-3.398	-4.455	-4.373	-1.97	-5.716	-3.559	-4.488	-3.442	-2.794	-3.857	-4.575	-5.215	-3.618	-2.168	-3.866	-3.014	-0.175	-0.216	0.096	0.446	-0.147	0.2	0.009	-1.898	-1.474	-0.427	-5.072	-2.419	-2.444	-2.924	-2.98	-3.902	-3.609	0.09	-3.695	-4.868	-2.666	-1.254	-2.526	-1.33	-1.015	-2.089	-0.398	-1.293	0.105	-2.646	NaN	-4.652	-4.217	-2.416	-6.193	-3.878	-3.385	-3.041	0.054	-3.147	-1.879	-3.595
"YOL022C"	-2.578	-2.43	-2.344	-2.29	-2.301	-1.154	-1.8955	-1.2855	-1.054	-1.1175	-1.2465	-1.0045	-1.388	-4.073	-1.7425	-1.084	-2.0495	-1.1435	0.053	-0.081	-0.17	0.45	-0.099	0.207	-0.006	-0.845	-0.883	-0.213	-1.88	-1.156	-0.91	-0.866	-1.681	-2.027	-1.748	0.059	-1.212	-2.13	-1.157	-1.017	-0.999	-1.102	-0.536	-1.243	-0.772	-0.616	-0.271	-1.059	-2.882	-2.213	-1.709	-1.129	-2.775	-1.991	-1.02	-0.816	-0.007	-0.966	-2.214	-1.966
"YOL076W"	-0.645	-0.516	-0.534	-0.337	-0.613	-1.304	-1.115	-0.976	-0.598	-0.0795	-0.1115	-1.877	-1.6575	-2.1335	2.4635	-0.07	0.1	0.6665	-0.359	-0.211	0.202	-0.149	-0.354	-0.074	-0.138	-0.742	-0.546	-0.511	-1.821	-0.857	-1.489	-1.538	-2.423	-2.7	-2.354	-0.376	-0.287	-0.57	-1.065	-1.183	-0.939	-1.107	-0.584	-0.32	-0.517	-0.577	-0.747	-0.729	-1.454	-1.937	-1.704	-2.03	-2.541	-1.95	-1.359	-1.202	0.716	-1.225	-1.148	-1.365
"YOL077C"	-5.439	-5.04	-4.336	-5.22	-4.28	-2.172	-5.186	-0.2885	-3.087	-2.568	-2.817	-2.79	-3.02	-6.552	-2.1355	-2.01	-4.174	-0.219	-1.139	-0.886	-0.969	-0.321	-0.881	-0.458	-0.795	-3.012	-2.307	-1.18	-3.705	-2.565	-2.549	-3.046	-3.299	-3.894	-4.326	-0.786	-2.237	-4.7	-3.214	-2.152	-3.346	-2.318	-1.498	-3.013	-1.404	-3.209	-1.182	-2.011	-4.969	-2.855	-2.586	-2.262	-5.145	-2.894	-2.392	-4.417	0.221	-2.379	-2.522	-2.623
"YOL150C"	1.247	0.794	2.402	2.034	2.11	2.172	0.4305	-0.506	0.816	1.539	0.6625	1.756	0.3385	-1.8365	0.486	1.5915	-0.293	0.242	3.513	4.264	3.298	3.013	3.909	3.588	3.493	3.972	3.545	2.581	0.876	1.663	2.05	2.952	0.645	0.182	0.084	4.092	0.613	2.19	3.655	2.218	3.825	2.26	3.933	3.78	2.524	3.474	1.88	4.646	1.943	1.679	1.168	1.565	1.266	1.05	0.598	1.019	0.295	1.983	3.996	3.675
"YOL151W"	1.468	0.809	2.416	2.102	2.366	1.964	0.455	-0.84	0.139	1.272	1.507	1.462	1.182	-3.604	1.118	0.9515	-0.288	0.276	4.397	5.186	4.291	3.564	4.995	4.51	4.338	3.939	3.599	2.672	1.029	1.836	2.542	2.986	0.484	0.347	0.096	4.721	0.809	2.322	4.009	2.234	3.884	1.858	1.417	3.028	2.166	4.14	2.686	4.664	2.484	1.881	1.317	2.466	2.082	1.592	0.66	1.078	0.905	2.45	3.701	3.079
"YOR067C"	-0.443	-1.264	-0.287	-0.65	-0.704	-0.605	0.772	-0.75	-0.5855	0.0535	-1.393	-1.159	0.49	-5.101	-0.642	-1.472	-2.6875	-1.071	0.057	0.112	0.438	0.906	-0.009	0.208	0.26	0.583	0.608	0.253	-0.717	-0.766	-0.844	-0.864	-1.028	-1.749	-2.027	0.025	-0.823	-0.696	-0.158	-0.38	-0.188	-0.069	0.082	0.272	-0.178	0.299	0.481	-1.686	-0.47	-0.991	-1.134	-0.986	-1.608	-1.477	-1.279	-1.946	1.088	-0.566	-1.738	-2.677
"YOR243C"	-3.594	-3.234	-2.436	-3.633	-3.982	-1.884	-3.8055	-2.475	-2.128	-2.1915	-1.6015	-2.2855	-3.3625	-4.3935	-1.9265	-2.119	-2.588	-2.1815	0.039	-0.105	0.202	0.252	-0.112	0.271	0.074	-0.874	-1.541	-0.346	-3.635	-2.371	-2.179	-2.726	-2.865	-4.484	-3.863	-0.03	-1.441	-4.099	-1.65	-1.367	-1.815	-1.539	-1.329	-1.514	-1.083	-1.028	-0.203	-2.407	-2.845	-1.759	-1.808	-1.803	-2.825	-2.065	-1.562	-1.274	-0.051	-1.962	-2.909	-2.358
"YOR309C"	-4.991	-4.328	-3.697	-5.523	-5.514	-2.373	-6.798	-4.4185	-4.0545	-4.227	-3.75	-3.942	-4.234	-6.859	-3.07	-2.054	-3.709	-3.9105	-0.467	-0.315	0.243	0.036	-0.493	0.007	-0.042	-2.156	-1.868	-0.444	-5.839	-3.084	-3.704	-4.353	-4.746	-5.449	-5.009	-0.224	-2.838	-4.939	-3.13	-1.903	-3.264	-1.846	-1.928	-3.161	-0.979	-3.189	-1.409	-1.753	-2.102	-2.543	-3.28	-1.503	-4.097	-3.518	-2.477	-2.359	-1.056	-3.595	-2.818	-2.231
"YOR310C"	-5.053	-4.365	-3.309	-4.639	-3.004	-2.161	-6.006	-3.92	-3.4655	-3.0705	-3.303	-3.319	-4.7765	-7.1385	-3.101	-2.5655	-3.766	-3.585	-0.732	-0.574	-0.3	-0.365	-0.651	-0.237	-0.232	-2.005	-2.056	-0.937	-5.777	-2.773	-3.838	-4.105	-4.745	-5.099	-4.866	-0.398	-3.457	-4.948	-3.17	-1.755	-3.489	-1.697	-1.309	-2.765	-1.263	-2.68	-1.023	-3.37	-4.326	-4.564	-4.629	-3.407	-5.14	-4.292	-3.502	-3.364	0.681	-2.539	-3.155	-2.87
"YOR312C"	-2.426	-2.612	-1.995	-2.723	-3.7	-1.206	-3.8645	-3.381	-2.919	-2.263	-2.227	-2.2895	-3.3005	-4.8175	-2.4995	-2.054	-2.99	-3.177	-0.282	-0.119	0.002	0.249	-0.161	-0.07	-0.249	-0.843	-1.219	-0.959	-4.638	-2.15	-2.511	-2.402	-2.039	-1.569	-3.224	-0.034	-1.289	-2.873	-0.627	-0.571	-1.221	-0.342	-0.056	-0.745	-0.635	-1.078	-0.62	-1.43	-3.057	-4.379	-3.433	-3.512	-4.531	-3.454	-2.689	-2.438	-0.597	-1.926	-1.352	-1.725
"YPL079W"	-2.261	-2.597	-2.277	-3.115	-3.828	-1.337	-4.616	-4.1965	-3.787	-3.3525	-2.3565	-2.6495	-3.892	-6.4765	-2.527	-1.7255	-3.085	-3.172	-0.13	-0.326	-0.354	-0.058	-0.497	-0.461	-0.307	-0.904	-1.021	-0.269	-4.735	-2.781	-2.741	-3.087	-3.015	-3.498	-4.547	-0.306	-1.506	-3.135	-0.506	-0.341	-0.598	-0.591	-0.027	-0.636	-0.362	-1.111	-0.789	-1.769	-1.936	-2.865	-2.753	-2.74	-3.573	-3.431	-2.725	-1.659	-0.369	-1.662	-1.754	-2.843
"YPL145C"	0.073	-0.794	-0.004	-0.224	-0.416	-0.288	-1.06	-0.7755	-0.719	-1.104	-0.775	-0.5885	-1.659	-4.3865	-0.16	-0.4085	-0.9245	-0.739	0.06	-0.12	0.398	0.05	0.238	0.244	0.186	0.033	-0.017	-0.287	-1.291	-0.778	-0.903	-0.913	-2.014	-2.71	-3.192	0.031	-0.173	-0.551	-0.257	-0.182	-0.49	-0.154	0.442	-0.16	-0.169	0.517	0.565	-0.663	-0.105	-2.149	-1.98	-0.823	-1.44	-1.949	-1.357	-1.069	0.164	-0.093	-1.3	-1.237
