	"53.Elutriation2:Sample2:Time2.0hrs"	"95.cdc15 230 min"	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"519.2.5mM DTT 180 min"	"692.DBYyap1- + 0.3 mM H2O2 (20 min)"	"800.Heat Shock 015 minutes"	"801.Heat Shock 030inutes"	"834.1.5 mM diamide (30 min)"	"836.1.5 mM diamide (40 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1017.YPD 7 d (25C)"	"4872.1M sorbitol - 60 min"	"5357.1.5 mM diamide (5 min)"	"6679.trr - 0.1 mM H2O2 - 10 min"	"6685.trr - 0.3 mM H2O2 - 10 min"	"6688.trr - 0.3 mM H2O2 - 30 min"	"8291.wt+pRS315 vs. wt+pRS-MCM7"	"12733.Nitrogen Depletion 8 h"	"12741.Nitrogen Depletion 1 h"	"12744.heat shock 17 to 37, 20 minutes"	"13057.wt/crz1 Na 30min (1)"	"13058.wt/crz1 Na 30min (2)"	"13059.wt/crz1 Na 45min (1)"	"13060.wt/crz1 Na 45min (2)"	"13061.wt/crz1 Ca 15min (1)"	"13062.wt/crz1 Ca 15min (2)"	"13066.Na/Na+FK 30min (2)"	"13068.Na/Na+FK 45min (2)"	"13069.Ca/Ca+FK 15min (1)"	"13070.Ca/Ca+FK 15min (2)"	"13072.Ca/Ca+FK 30min (1)"	"13133.Ca/Ca+FK 30min (2)"	"21662..24 mM H2O2- 230 minutes"	"28837.P2Comp 04 hr 15 min Phosphate Batch vs Chemostat Comparison2"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"33259.delKIN82_heat shock _15min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33777.delYPL230w_stationary_phase_0hours"	"33778.delYPL230w_stationary_phase_2hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"34879.S4Comp 10 hr 00 min Sulfate Batch vs Chemostat Comparison"
"YLR197W"	0.626	0.076	-4.98	-4.31	-4.044	-3.638	-4.76	-5.179	-1.27	-2.503	-3.466	-2.02	-2.63	-1.881	-5.817	-3.612	-3.173	-2.795	-5.242	-3.387	-1.811	-3.899	-3.238	-5.671	-2.611	-3.067	-3.716	-4.976	0.131	-0.644	-1.807	-2.103	-2.453	-0.069	-3.686	-2.075	-5.072	0.837	0.438	0.045	0.103	-0.871	-1.0	-0.077	-0.633	-0.332	-0.23	0.312	0.201	-0.17	0.806	-4.496	-2.603	-4.151	-4.983	-3.17	-0.275	0.106	-4.545	-3.045	-2.593	-3.498
"YLR221C"	0.284	0.026	-3.146	-2.525	-2.286	-2.172	-2.998	-2.528	NaN	-1.34	-1.949	-1.359	-1.971	-1.691	-2.998	-2.097	-1.521	-1.444	-1.577	-1.622	-1.374	-1.591	-0.902	-2.27	-1.754	-1.704	-1.694	-1.674	0.144	-0.714	-1.464	-1.62	-1.55	-0.127	-0.939	-0.411	-3.231	0.766	0.865	-0.044	-0.09	-0.721	-0.435	0.293	-0.395	-0.117	-0.462	0.546	0.369	-0.394	0.754	-3.034	-2.382	-2.79	-1.916	-1.568	-0.235	-0.045	-3.361	-1.731	-1.498	-0.833
"YLR252W"	-0.353	-0.298	3.483	3.141	2.704	2.656	3.133	3.23	1.602	1.416	1.367	0.484	2.041	1.941	2.929	1.921	2.248	2.344	-0.443	1.905	2.124	1.742	1.897	1.93	1.877	2.159	2.546	1.045	-0.016	0.643	0.906	1.112	0.953	0.161	1.485	0.284	3.837	-0.172	0.026	0.209	0.185	1.007	0.876	0.365	0.722	1.129	0.954	0.711	0.28	-0.37	-0.879	0.776	-0.155	1.859	1.494	1.475	0.413	0.817	3.058	2.007	0.934	1.455
"YLR384C"	0.051	-0.0765	-1.369	1.4395	-0.2845	-1.323	-1.3105	-1.5805	-0.852	-1.2835	-0.078	-0.673	-1.185	-0.8915	-0.7025	-0.3765	0.035	0.226	0.6325	1.4305	0.4695	0.585	1.3035	-1.8305	-1.846	-1.921	-1.2515	-0.937	-0.1635	-0.2815	-0.271	0.228	0.2485	0.1175	-1.237	-0.7375	-2.0305	-0.042	-0.3095	-0.131	-0.4335	-0.246	-0.3	-0.272	-0.529	-0.513	-0.237	-0.157	-0.3945	0.082	-0.075	-1.873	-1.655	-2.122	-0.921	-0.938	0.087	-0.301	-1.716	-0.798	-0.403	-1.254
"YLR388W"	0.751	0.876	-1.974	-1.927	-2.382	-1.861	-2.879	-3.074	-1.401	-1.48	-0.943	-0.835	-0.961	-1.106	-3.12	-2.544	-2.264	-1.926	-5.506	-2.593	-1.651	-3.204	-3.058	-4.025	-2.079	-2.671	-2.555	-2.581	0.202	0.738	-1.591	-1.776	-2.41	0.091	-2.994	-2.448	-2.761	0.593	1.012	0.131	0.25	0.414	0.42	0.767	0.329	0.411	0.427	1.319	1.037	0.086	0.846	-2.178	-1.161	-0.623	-3.674	-2.798	0.418	0.567	-3.762	-3.521	-2.816	-1.723
"YLR401C"	0.538	-0.224	-3.667	-3.155	-2.889	-2.202	-3.179	-2.451	-0.72	-1.299	-2.502	-1.138	-1.786	-1.19	-3.761	-2.23	-2.153	-1.623	-3.133	-2.307	-0.451	-2.484	-2.153	-1.31	-1.179	-1.047	-1.54	-0.916	0.252	-0.902	-0.857	-1.545	-0.931	0.441	-1.039	-1.009	-3.769	0.481	0.316	-0.225	-0.064	-0.608	-0.702	-0.057	-0.629	-0.102	0.363	0.107	-0.011	-0.904	0.209	-4.366	-2.033	-2.208	-1.382	-1.137	0.218	0.179	-2.921	-1.22	-1.004	-3.924
"YML073C"	NaN	0.532	-2.182	-2.215	-2.294	-2.106	-3.093	-3.742	-1.77	-1.576	-1.219	-0.749	-1.164	-1.098	0.912	-3.01	-3.061	-2.182	-6.033	-2.298	-1.506	-3.5	-3.371	-4.919	-2.471	-2.561	-2.549	-2.624	0.02	0.457	-1.623	-2.194	-1.884	0.026	-3.463	-2.576	-3.187	0.496	0.588	0.014	0.036	0.112	0.086	0.335	0.159	0.295	0.266	0.586	0.691	-0.203	-0.082	-2.475	-1.485	-2.813	-2.783	-3.737	-0.124	0.184	-3.765	-3.151	-2.415	-1.685
"YMR080C"	0.031	-0.71	-0.819	-0.743	-0.965	-0.909	-0.739	-0.824	-1.518	-0.952	-0.332	-0.157	-0.637	-0.519	-0.595	-0.903	-0.438	-0.494	-2.426	-0.727	-1.096	-1.112	-1.124	-0.682	-0.796	-0.723	-0.733	-0.812	0.111	-0.165	-0.261	-0.114	-0.241	0.156	-0.613	-0.433	-1.244	-0.23	-0.402	-0.062	-0.171	-0.272	-0.245	-1.135	-0.213	-0.313	0.045	-0.39	-0.483	-0.307	-0.074	-1.109	-0.969	-1.398	-0.794	-1.492	0.119	-0.275	-1.392	-1.235	-0.938	-0.268
"YMR142C"	NaN	-0.845	-2.549	-1.512	-1.964	-2.064	-3.395	-3.688	-1.568	-1.264	-0.862	-1.33	-1.105	-1.111	-3.579	-3.719	-3.19	-2.326	-6.693	-2.458	-1.356	-3.048	-3.849	-4.4	-2.393	-2.974	-2.468	-3.415	0.009	0.504	-1.658	-2.094	-2.359	0.287	-3.112	-1.729	-3.22	0.65	0.853	0.141	0.224	0.474	0.179	0.565	0.115	0.304	0.292	0.593	0.503	-0.025	0.423	-2.173	-1.104	-1.612	-4.355	-3.347	0.083	-0.133	-4.039	-3.538	-3.031	-2.219
"YMR242C"	0.718	0.879	-2.278	-2.248	-2.539	-1.639	-3.309	-3.708	-1.2	-1.335	-1.705	-1.34	-1.473	-1.353	-4.702	-3.631	-3.819	-3.001	-6.226	-2.432	-2.004	-3.832	-4.338	-4.84	-2.479	-2.59	-3.004	-3.133	0.442	0.359	-1.668	-2.268	-1.87	0.317	-3.185	-2.255	-3.054	0.63	0.919	0.125	0.261	0.531	0.464	0.211	0.392	0.697	0.543	0.655	0.874	0.008	0.055	-2.43	-1.144	-2.294	-4.158	-3.141	0.01	0.19	-4.607	-3.588	-2.771	-3.098
"YMR290C"	0.797	0.2885	-3.64	-3.112	-3.689	-2.957	-3.89	-3.624	-2.637	-2.05	-2.19	-2.197	-2.5	-1.911	-5.132	-3.842	-3.455	-3.073	-5.217	-3.458	-3.017	-3.243	-3.378	-4.614	-3.037	-3.295	-3.716	-3.665	-0.092	-0.555	-1.56	-1.643	-1.973	0.743	-2.555	-2.481	-4.129	0.635	0.529	0.221	0.276	-0.295	-0.501	0.498	0.437	0.254	0.202	0.928	0.533	-0.287	0.55	-4.343	-3.775	-3.98	-4.028	-3.856	-0.356	-0.32	-4.544	-3.558	-3.243	-2.59
"YMR312W"	0.159	-0.209333333333333	-0.827	-1.1505	-1.22	-1.137	-0.938	-0.7165	-0.353	-0.8765	-0.2475	-0.078	-0.9635	-0.624	-1.4335	0.2495	-0.563	-0.2465	-2.6765	-0.8575	-0.7095	-0.9525	-0.993	-0.237	-0.195	-0.3655	-0.159	-0.265	0.0075	-0.1145	-0.38	-0.59	-0.3255	0.569	-0.7065	-1.134	-0.4895	0.0475	0.087	-0.0985	0.269	-0.1805	-0.2055	0.227	-0.003	-0.302	-0.285	-0.296	-0.1925	0.155	-0.684	-1.638	-0.461	-1.403	-1.821	-0.913	-0.454	-0.778	-2.091	-1.306	-0.879	-0.672
"YNL002C"	1.103	0.336	-4.666	-4.12	-4.07	-3.305	-4.559	-4.222	-0.891	-1.834	-3.653	-2.167	-2.564	-1.766	-5.196	-2.914	-2.785	-2.336	-3.468	-2.839	-1.894	-3.072	-2.59	-3.426	-2.209	-1.856	-2.186	-2.592	-0.059	-0.77	-1.728	-2.118	-1.586	0.944	-1.21	-1.348	-4.603	0.524	1.101	-0.019	-0.071	-0.991	-0.894	0.457	-0.02	0.081	-0.207	0.621	0.43	-0.574	1.405	-3.481	-2.594	-3.245	-2.92	-2.649	-0.448	-0.177	-4.466	-2.41	-2.181	-1.986
"YNL062C"	0.458	0.43	-3.459	-1.549	-2.934	-2.143	-3.093	-2.844	-1.025	-1.304	-1.873	-1.31	-1.508	-0.829	-4.157	-2.785	-2.295	-2.256	-6.263	-2.538	-1.298	-2.304	-2.254	-2.028	-1.559	-1.91	-1.803	-2.639	-0.003	-0.664	-0.524	-0.914	-1.294	0.791	-1.154	-0.918	-2.71	0.831	0.876	0.533	0.44	-0.688	-0.277	-0.271	-0.21	0.339	0.113	0.409	0.152	-0.768	1.349	-4.112	-2.584	-2.778	-2.698	-2.338	-0.149	-0.341	-2.838	-2.509	-1.871	-1.184
"YNL119W"	0.955	0.361	-2.225	-2.168	-2.262	-2.092	-2.438	-3.435	-1.399	-1.568	-1.188	-0.946	-1.313	-1.27	-6.697	-3.692	-2.694	-2.909	-6.231	-2.598	-1.542	-3.359	-3.366	-3.55	-1.753	-1.955	-2.206	-2.843	-0.324	0.13	-1.602	-1.861	-2.239	0.107	-2.631	-2.341	-2.524	0.677	0.859	0.084	0.018	0.242	0.363	0.333	0.178	0.32	0.321	0.666	0.737	0.19	-0.26	-2.669	-1.632	-1.697	-3.587	-2.801	-0.545	0.088	-4.042	-2.748	-2.546	-2.092
"YNL162W"	0.504	-1.015	-2.024	-1.886	-2.384	-1.97	-3.17	-3.58	-1.286	-0.86	-1.819	-0.808	-1.061	-0.954	-3.953	-3.395	-3.14	-2.838	-6.425	-2.882	-1.564	-2.86	-2.872	-3.999	-2.089	-2.0	-2.0	-2.487	-0.03	0.237	-1.47	-2.115	-2.002	0.423	-2.438	-1.908	-2.998	0.404	0.931	0.268	0.288	0.185	0.254	0.684	0.325	0.369	0.243	0.884	0.462	-0.512	0.577	-2.02	-1.415	-1.777	-2.704	-2.701	-0.312	0.096	-3.916	-3.323	-2.825	-1.293
"YNL209W"	0.554	-0.265	-2.368	-2.962	-2.469	-3.114	-4.441	-4.707	-1.467	-2.089	-1.95	-1.941	-1.204	-1.175	-3.795	-3.591	-3.12	-3.471	-5.803	-2.699	-1.708	-3.728	-2.985	-4.059	-2.262	-2.633	-2.99	-3.829	0.134	0.322	-1.772	-1.391	-2.051	0.477	-3.24	-2.763	-4.616	0.696	-0.204	0.141	0.234	0.023	-0.11	-0.186	-0.339	-0.389	-0.037	0.246	0.324	-0.346	-1.945	-3.361	-2.694	-3.413	-4.586	-3.709	0.073	0.149	-4.209	-4.158	-3.075	-2.815
"YNL248C"	0.836	0.468	-4.791	-4.364	-4.315	-3.398	-4.455	-4.373	-1.982	-1.97	-3.395	-1.793	-2.173	-1.533	-5.716	-3.559	-4.488	-3.442	-5.215	-3.618	-2.168	-3.866	-3.014	-5.072	-2.419	-2.444	-2.924	-3.902	0.124	-0.551	-1.222	-1.744	-2.203	0.826	-3.166	-2.517	-4.868	0.735	0.676	0.097	0.268	-0.788	-0.839	0.06	-0.133	0.091	0.131	0.584	0.481	-0.543	0.486	NaN	-2.886	-5.118	-4.652	-4.217	-0.43	-0.088	-6.193	-3.878	-3.385	-3.041
"YNL255C"	0.479	0.838	-2.307	-1.78	-1.949	-2.087	-1.674	-2.303	-1.402	-0.644	-1.197	-0.664	-1.179	-0.939	-2.297	-1.542	-0.994	-0.91	-5.229	-1.642	-0.75	-1.708	-1.27	-2.739	-1.113	-1.192	-1.457	-2.442	0.099	0.332	-0.83	-0.446	-0.605	0.514	-0.94	-0.33	-2.084	0.503	0.87	0.326	0.562	0.05	0.162	0.434	0.513	0.752	0.227	0.808	0.604	0.067	0.056	-1.791	-1.317	-1.348	-2.446	-1.888	0.227	0.553	-2.147	-1.189	-1.154	-2.351
"YNL308C"	0.69	0.51	-3.929	-2.764	-1.689	-2.757	-3.366	-3.336	-1.069	-2.013	-2.488	-1.947	-2.995	-2.046	-4.351	-2.623	-2.15	-2.256	-2.686	-2.473	-1.539	-2.614	-2.202	-3.207	-1.872	-1.62	-2.065	-2.775	0.145	-1.435	-1.557	-2.263	-1.591	0.507	-1.376	-0.941	-3.272	0.751	0.798	0.104	0.051	-1.177	-0.948	-0.352	-0.634	0.037	-0.024	-0.069	0.304	-0.038	-0.095	-4.586	-2.561	-1.77	-1.512	-2.337	0.067	-0.138	-3.307	-2.409	-1.94	-1.56
"YNL313C"	0.861	-0.845	-3.472	-3.287	-3.026	-2.399	-2.935	-3.02	-1.141	-1.945	-1.887	-1.132	-1.97	-1.468	-4.999	-2.695	-2.073	-2.007	-5.714	-2.852	-2.432	-3.129	-2.948	-2.839	-1.544	-1.333	-1.551	-2.343	0.106	-0.694	-0.846	-1.018	-0.982	0.433	-1.367	-1.385	-3.009	0.121	-0.127	-0.053	-0.085	-0.33	-0.501	-0.085	-0.215	0.071	-0.084	0.0	-0.177	-0.159	-0.105	-2.824	-2.352	-1.81	-1.867	-1.835	-0.015	-0.124	-3.85	-2.129	-1.672	-1.026
"YOL123W"	-0.021	0.162	-2.102	-1.604	-1.722	-1.058	-2.599	-3.123	-1.192	-0.736	-0.8225	-0.9845	-1.37	-1.179	-1.487	-0.888	-1.417	-0.5725	-1.291	-0.125	-1.1325	-0.0365	0.828	-1.221	-1.064	-1.241	-0.668	-2.82	-0.257	-0.421	1.33	1.175	0.982	-0.01	0.457	0.741	-2.566	0.255	0.309	-0.307	-0.235	-0.421	-0.238	0.45	0.266	-0.031	-0.138	-0.152	-0.064	0.53	0.475	-1.873	-1.187	-2.942	-1.07	-1.028	0.095	0.17	-0.873	-0.753	-1.135	0.519
"YOR206W"	0.784	-0.501	-5.087	-4.715	-3.702	-3.585	-5.083	-4.513	-1.554	-2.192	-3.849	-1.8605	-2.77	-1.859	-5.827	-2.568	-2.0395	-1.991	-6.4785	-2.919	-1.049	-3.1625	-1.9445	-3.888	-2.026	-2.451	-2.637	-3.692	-0.2	-0.875	-1.803	-1.981	-2.42	0.813	-1.927	-1.987	-5.066	0.778	0.971	0.029	-0.013	-1.287	-1.393	-0.362	-0.576	0.207	0.154	0.358	0.317	-0.331	0.358	-3.839	-2.816	-4.003	-3.193	-2.539	-0.302	0.096	-4.817	-2.585	-1.507	-2.104
"YOR293W"	1.08	1.202	-2.282	-1.741	-2.435	-2.205	-3.618	-3.854	-1.995	-1.56	-1.692	-1.3	-1.283	-1.323	-4.155	-3.7615	-3.19	-2.996	-4.496	-2.907	-2.2545	-3.442	-3.1085	-4.233	-2.537	-2.533	-2.507	-2.041	-0.036	0.296	-1.714	-2.098	-2.261	0.076	-3.078	-2.091	-3.151	0.868	0.998	0.336	0.344	0.141	0.26	0.332	0.192	0.535	0.339	0.454	0.704	0.031	-0.341	-3.047	-1.776	-2.465	-3.53	-3.262	-0.631	-0.521	-3.853	-3.23	-2.89	-2.69
"YOR294W"	0.949	0.2	-4.574	-3.533	-3.828	-3.73	-4.407	-3.632	-1.423	-1.692	-3.3475	-1.7325	-2.234	-1.598	-5.6475	-2.427	-1.914	-1.2675	-5.2465	-2.791	-2.5155	-3.318	-1.8445	-1.284	-1.517	-1.08	-0.98	-0.816	-0.128	-0.847	-1.656	-1.872	-1.818	0.885	-0.739	-1.234	-4.852	0.446	0.753	0.525	-0.215	-1.136	-1.186	-0.673	-0.757	-0.442	-0.168	0.199	0.191	0.143	0.243	-4.841	-3.679	-3.042	-2.722	-2.74	-0.383	-0.036	-5.145	-2.254	-1.895	-1.992
"YPL043W"	0.735	-0.052	-4.246	-2.686	-4.0	-3.773	-4.198	-4.087	-1.981	-1.864	-3.299	-1.78	-2.671	-2.001	-4.668	-2.8315	-2.8295	-2.0985	-3.79	-3.242	-2.2635	-3.157	-2.2695	-3.89	-2.277	-2.069	-2.134	-2.623	-0.112	-1.497	-0.585	-0.856	-1.281	0.5	-1.96	-1.668	-4.555	0.431	0.637	-0.083	0.023	-1.093	0.656	-0.012	-0.349	0.104	-0.075	0.246	0.509	-0.054	0.215	-3.988	-2.531	-2.639	-3.093	-2.958	-0.479	-0.171	-4.308	-2.784	-2.516	-1.28
"YPL079W"	0.283	-0.6535	-2.261	-2.147	-2.597	-2.277	-3.115	-3.828	-1.376	-1.337	-1.631	-1.101	-1.237	-1.193	-4.616	-4.1965	-3.787	-3.3525	-6.4765	-2.527	-1.7255	-3.085	-3.172	-4.735	-2.781	-2.741	-3.087	-3.498	0.031	0.4	-1.29	-2.19	-1.564	0.254	-3.141	-2.132	-3.135	0.853	0.858	0.284	0.34	0.269	0.169	0.19	0.441	0.519	0.472	0.408	0.582	-0.021	0.427	-1.936	-0.886	-1.721	-2.865	-2.753	-0.329	0.028	-3.573	-3.431	-2.725	-1.659
"YPL090C"	0.252	-2.115	-2.294	-1.862	-2.09	-2.497	-3.529	-3.965	-2.177	-1.348	-1.289	-1.1425	-1.202	-1.4	-3.9615	-3.256	-2.7785	-2.4215	-6.197	-2.01	-1.463	-3.398	-3.223	-5.307	-2.412	-2.833	-2.954	-3.309	-0.045	0.307	-0.905	-1.712	-1.976	0.62	-3.271	-2.178	-3.272	0.702	0.8	0.227	0.112	0.19	0.347	0.441	0.403	0.768	0.358	0.927	0.601	0.488	-0.396	-2.536	-1.416	-2.305	-4.244	-3.265	-0.253	-0.507	-4.101	-3.571	-2.951	-1.846
"YPL226W"	0.716	-0.635	-3.457	-0.2535	-3.002	-2.4945	-3.229	-4.183	-1.204	-1.755	-2.459	-1.164	-1.997	-1.50333333333333	-4.86566666666667	-3.38066666666667	-2.57633333333333	-2.407	-5.67966666666667	-2.472	-2.84333333333333	-3.37333333333333	-2.503	-4.0095	-2.363	-2.3985	-2.8955	-2.9025	-0.0735	-0.372666666666667	-1.373	-1.404	-1.3215	0.322	-2.562	-2.272	-3.215	0.141	-0.328	-0.148	-0.0335	-0.176	-0.693	0.2565	-0.498	-0.2	-0.021	0.5835	0.139	-0.5235	-0.761	-3.076	-2.041	-3.793	-2.657	-3.519	0.121	-0.044	-3.811	-3.004	-2.748	-1.244
"YPR102C"	0.799	0.667	-2.11	-1.829	-2.298	-2.206	-3.37	-4.232	-1.4335	-0.983	-1.02	-1.2305	-1.218	-1.199	-3.521	-3.2315	-3.2945	-3.3515	-6.451	-1.9585	-1.4375	-3.5055	-4.118	-4.644	-2.495	-2.723	-3.232	-3.749	0.219	0.3965	-1.928	-2.058	-1.98	0.527	-3.121	-1.523	-3.007	0.802	1.18	0.446	0.519	0.485	0.435	0.812	0.334	0.413	0.364	0.635	0.767	-0.326	0.584	-2.5	-1.582	-1.611	-3.927	-2.614	-0.082	0.064	-4.015	-3.517	-2.547	-2.418
"YPR110C"	0.551	0.068	-3.178	-1.98	-3.084	-2.507	-3.52	-3.728	-1.7985	-1.314	-2.207	-1.421	-2.073	-1.383	-5.7185	-3.423	-3.2115	-2.9215	-6.318	-2.6255	-1.862	-3.01	-3.296	-3.88	-2.186	-2.175	-2.703	-3.212	-0.091	-0.1825	-1.496	-1.994	-1.245	0.621	-2.073	-1.505	-3.168	0.634	0.278	0.048	0.305	-0.357	-0.265	0.317	-0.095	-0.078	-0.044	0.194	0.5	-0.816	-1.25	-3.436	-2.354	-3.503	-2.851	-1.853	0.077	-0.214	-3.882	-3.113	-2.597	-1.644
"YPR144C"	0.877	-0.688	-4.441	-3.739	-4.211	-2.783	-3.783	-3.366	-0.801	-1.485	-2.613	-1.378	-1.9485	-1.342	-3.855	-1.9705	-2.235	-1.9295	-4.2065	-2.4285	-1.3485	-2.0425	-1.8885	-2.256	-1.327	-1.4	-1.22	-2.51	0.207	-0.8075	-1.164	-1.424	-1.887	0.693	-1.78	-1.716	-4.107	0.398	0.285	0.109	0.062	-0.158	-0.929	-0.041	-0.298	-0.082	0.199	-0.028	0.131	0.213	-0.083	-3.213	-2.381	-2.677	-2.991	-2.5	0.032	-0.255	-3.937	-2.277	-1.752	-0.806
"YPR163C"	0.475	0.65	-2.552	-2.883	-2.832	-2.415	-3.276	-3.939	-0.863	-1.566	-1.9175	-1.3005	-1.6565	-1.2635	-3.6815	-2.265	-2.266	-1.717	-5.4905	-2.1035	-0.8095	-2.5635	-2.469	-3.136	-2.003	-2.05	-2.325	-2.895	-0.06	-0.204	-0.93	-1.288	-1.34	0.333	-1.693	-1.285	-3.572	0.369	0.258	-0.247	-0.331	-0.311	-0.101	0.122	-0.099	-0.078	0.147	-0.122	0.246	-0.101	0.235	-3.015	-1.939	-2.373	-3.506	-3.14	-0.214	0.169	-3.575	-2.873	-2.034	-1.761
