	"686.YP ethanol vs reference pool"	"781.Heat Shock 000 minutes (series 2)"	"854.YPD_6_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1012.YPD 12 h (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"2554.Hypo-osmotic shock -15 minutes"	"2556.Hypo-osmotic shock - 45 minutes"	"2557.Hypo-osmotic shock - 60 minutes"	"4872.1M sorbitol - 60 min"	"6344.DES460 + 0.02% MMS - 5 min"	"6824.Sporulation t0"	"7547.33C no sorbitol 30 min"	"8195.steady state 21 dec C"	"8197.steady state 25 dec C"	"8227.dtt 000 min"	"8228.dtt 015 min"	"11466.yO1 test hyb"	"13059.wt/crz1 Na 45min (1)"	"13060.wt/crz1 Na 45min (2)"	"16514.DES genomic DNA vs. MHY26 (dun1) genomic DNA (correct version)"	"40951.H2O2_II_49_min"	"40952.H2O2_II_56_min"	"40953.H2O2_II_63_min"	"40954.H2O2_II_70_min"	"40973.MD_II_100_min"	"40974.MD_II_120_min"	"40976.MD_II_140_min"
"YDR341C"	-0.658	0.703	-3.559	-1.574	-1.681	-3.212	-5.262	-2.587	-2.134	-2.218	-2.942	-1.942	-2.263	-3.262	-3.294	-3.559	0.243	0.394	0.29	0.1	0.023	0.142	0.0	0.139	0.205	0.542	0.529	-1.562	0.041	0.102	-0.575	-1.313	-1.64	-2.047	-1.454	-3.139	-1.96	-2.352
"YDR382W"	-1.258	1.111	-2.138	-1.738	-1.546	-2.459	-5.686	-1.95	-2.776	-2.394	-4.02	-2.897	-2.877	-2.565	-3.137	-3.471	0.286	0.461	0.502	0.555	0.007	-0.265	-0.531	0.675	0.683	1.277	1.005	-1.905	0.316	0.475	0.302	-1.09	-1.523	-1.824	-1.372	-2.566	-1.788	-2.838
"YDR385W"	-1.503	0.949	-2.252	-1.783	-1.985	-3.158	-5.463	-2.682	-1.065	-2.811	-2.538	-1.431	-1.529	-1.848	-2.214	-3.65	0.195	0.361	0.284	-0.147	0.076	-0.104	-0.738	0.33	0.561	0.647	0.471	-1.86	-0.018	-0.111	-0.197	-1.998	-2.451	-3.1	-1.291	-3.422	-2.794	-2.375
"YDR412W"	-0.401	1.045	-2.38	-1.279	-1.15	-1.49	-3.774	-2.216	-1.135	-1.29	-2.732	-1.601	-1.419	-1.56	-1.959	-1.977	0.616	-0.212	0.241	-0.007	-0.377	0.194	0.286	0.288	0.358	0.226	0.674	-1.534	0.168	0.217	-0.314	-2.331	-1.948	-1.315	-2.304	-1.07	-0.467	-1.001
"YDR417C"	-1.09	0.832	-3.705	-2.511	-3.327	-4.279	-5.062	-3.58	-2.864	-2.95	-4.223	-2.573	-2.986	-2.861	-3.022	-3.606	0.177	0.383	0.373	0.078	0.515	-0.289	-0.39	0.393	0.156	1.195	0.62	-2.149	0.423	0.292	-0.196	-1.238	-2.106	-2.199	-1.455	-1.339	-1.587	-1.133
"YDR447C"	-0.646	1.022	-4.882	-2.507	-2.465	-3.659	-5.332	-3.574	-2.813	-3.129	-4.249	-2.432	-2.817	-2.53	-2.625	-3.552	0.067	0.276	0.286	0.176	0.458	-0.032	-0.058	0.39	0.339	0.941	0.654	-2.1165	0.5775	0.304	0.165	-1.4305	-2.86	-2.8305	-1.7075	-2.5185	-2.652	-2.4665
"YDR496C"	-0.79	1.402	-3.1645	-1.674	-2.018	-3.591	-4.393	-4.5275	-1.899	-2.136	-3.995	-2.168	-2.517	-2.6065	-3.579	-3.3065	0.9565	0.4685	0.208	0.0765	-0.191	0.347	0.6705	0.3495	0.3905	0.9215	0.6785	-1.889	-0.0205	-0.2325	-0.192	-2.2185	-2.1355	-2.6255	-1.32	-2.334	-1.7965	-2.11
"YDR528W"	-0.269	0.322	-1.801	-1.029	-0.082	-1.574	-2.873	-1.197	-0.303	-0.745	-1.418	-1.217	-1.237	-0.983	-1.402	-1.249	0.292	0.057	0.031	-0.021	-0.153	0.039	-0.222	-0.183	-0.098	-0.542	0.685	-0.434	0.185	0.511	-0.331	0.094	0.177	0.085	-0.173	0.05	-0.948	-0.199
"YEL040W"	-2.322	0.681	-3.201	-4.238	-3.616	-3.786	-4.551	-2.739	-3.347	-3.816	-3.017	-4.461	-3.561	-3.111	-3.855	-3.066	1.474	0.898	0.8	-0.591	-0.115	0.426	0.266	0.874	0.659	1.007	0.573	-3.1215	-0.113	-0.1205	0.1575	-2.6355	-2.0865	-2.2665	-1.5645	-2.8375	-2.6615	-2.394
"YER036C"	-1.29	0.944	-3.113	-1.79	-1.796	-2.411	-4.997	-2.548	-2.077	0.802	-2.162	-1.192	-1.479	-1.672	-2.281	-3.078	0.567	0.338	0.039	-0.14	-0.107	0.14	0.094	0.812	0.703	0.813	0.987	-0.908	-0.002	-0.673	-1.097	0.736	0.941	0.146	2.347	-0.546	-0.399	-0.795
