	"53.Elutriation2:Sample2:Time2.0hrs"	"54.Elutriation2:Sample2:Time2.5hrs"	"55.Elutriation2:Sample2:Time3.0hrs"	"56.Elutriation2:Sample2:Time3.5hrs"	"78.cdc 15 010 min"	"79.cdc15 050 min"	"115.heat shock 20 min repeat"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"497.Heat Shock 000 minutes"	"781.Heat Shock 000 minutes (series 2)"	"797.Heat Shock 000 minutes (series 3)"	"819.DY1457 (wild type) 3 mM vs. 61 nM zinc"	"825.DY (zap1) 3 mM vs. 61 nM zinc"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"945.starv_in_H2O_6_h_30C"	"1012.YPD 12 h (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1139.DY1457 (wild type) 3 mM vs. 76 nM zinc"	"1662.cdc15 030 min"	"1679.Elutriation2:Sample2:Time6.0hrs"	"7536.25C -- 30 min"	"7537.25C -- 45 min"	"12744.heat shock 17 to 37, 20 minutes"	"17017.Cal. State Univ. Stanislaus: Rich vs. Minimal media_Expt2"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"40951.H2O2_II_49_min"	"40952.H2O2_II_56_min"	"40953.H2O2_II_63_min"	"40954.H2O2_II_70_min"	"40955.H2O2_II_77_min"	"42052.L1CompR 21 hr 10 min Leucine Batch vs Chemostat Comparison"	"42066.U3Comp 25 hr 55 min Uracil Batch vs Chemostat Comparison"	"42401.L2 CompR 12 hr 59 min Leucine Batch vs Chemostat Comparison"
"YOR254C"	0.128	0.309	0.054	0.029	0.238	0.573	-0.87	-0.904	-0.787	0.5	0.296	0.314	-0.255	0.743	-2.6515	-1.5795	-1.235	-1.406	-1.671	-1.5485	-2.192	-6.426	-2.053	-1.8245	-1.4845	-2.631	-1.904	-1.86	-2.354	-2.689	-2.309	0.182	0.388	-0.222	0.488	0.819	-0.782	1.054	-2.166	-2.254	-1.27	-2.342	-2.212	-1.64	-1.57	-1.671	-1.337	-0.98	1.278	1.519	0.824
"YOR277C"	0.323	0.052	0.246	-0.045	1.619	1.132	-2.052	-2.137	-2.041	0.737	0.518	0.8055	1.002	0.345	-2.185	-2.1265	-2.182	-2.0565	-1.713	-2.0645	-3.25	-4.571	-1.7745	-1.802	-1.8895	-2.305	-1.464	-2.047	-1.978	-2.103	-2.211	-0.519	1.601	-0.672	0.808	0.949	-2.015	1.519	-1.552	-1.709	-0.85	-1.606	-1.913	-1.736	-2.314	-2.336	-1.262	-1.548	0.895	1.14	1.666
"YPL079W"	0.283	-0.405	-0.188	-0.037	-1.3845	0.263	-2.597	-3.115	-3.828	0.688	1.126	0.917	2.125	0.764	-4.616	-4.1965	-3.787	-3.3525	-2.3565	-2.6495	-3.892	-6.4765	-3.085	-3.172	-3.112	-4.735	-2.741	-3.087	-3.015	-3.498	-4.547	1.834	0.388	-0.399	1.127	0.718	-3.135	1.717	-2.865	-2.753	-2.74	-3.573	-3.431	-1.189	-1.754	-2.843	-4.476	-0.959	0.092	2.068	1.272
"YPL090C"	0.252	0.657	0.293	0.983	-1.485	-0.28	-2.09	-3.529	-3.965	0.955	0.871	0.9415	1.925	1.044	-3.9615	-3.256	-2.7785	-2.4215	-2.57	-2.203	-4.364	-6.197	-3.398	-3.223	-3.2385	-5.307	-2.833	-2.954	-3.292	-3.309	-4.719	2.457	NaN	0.207	0.958	0.445	-3.272	1.466	-4.244	-3.265	-3.165	-4.101	-3.571	-2.5	-1.392	-1.734	-4.998	-1.241	1.187	0.444	1.728
"YPL146C"	1.116	0.737	-0.001	-0.229	1.382	0.903	-2.458	-3.003	-3.135	0.904	0.994	0.8155	-0.1455	0.8395	-2.239	-1.417	-1.1295	-1.693	-1.316	-1.1555	-2.869	-3.5085	-2.007	-1.641	-0.17	-3.297	-1.917	-1.781	-2.424	-3.141	-3.062	-0.157	1.335	-0.583	1.269	1.347	-3.416	3.43	-2.508	-1.864	-1.48	-2.955	-2.098	-1.074	-1.522	-2.161	NaN	-0.362	-0.76	0.21	-0.693
"YPL160W"	0.3255	0.359	0.1095	0.292	-0.0635	0.032	-1.5095	-1.989	-2.429	0.5835	0.598	0.415	1.35366666666667	1.85933333333333	-3.26033333333333	-2.28466666666667	-1.777	-1.608	-1.47166666666667	-2.13233333333333	-3.08233333333333	-5.284	-2.22666666666667	-2.35066666666667	-1.59566666666667	-4.0365	-2.449	-2.824	-3.1695	-3.499	-2.977	1.761	-0.1685	0.329	0.543	1.2255	-2.203	5.049	-3.477	-2.958	-2.059	-3.512	-2.719	-1.0145	-1.866	-1.7795	-2.4765	-0.7415	0.5035	1.708	-0.284
"YPL211W"	0.777	0.44	-0.003	-0.313	0.697	0.858	-3.949	-1.832	-2.713	1.059	0.954	1.1155	0.603	1.0735	-5.5605	-3.5535	-3.356	-3.4755	-2.914	-3.869	-4.4555	-5.029	-3.216	-3.3805	-3.121	-4.129	-2.918	NaN	-3.267	-2.652	-2.337	1.049	1.035	-0.934	1.826	1.599	-2.166	3.725	-2.333	-2.347	-2.063	-3.981	-2.743	-5.176	-4.397	-4.022	-4.322	-2.574	1.369	0.181	2.198
"YPL226W"	0.716	0.538	0.2565	0.1535	0.671	0.1825	-3.002	-3.229	-4.183	0.7565	0.906666666666667	0.858	0.233333333333333	1.81766666666667	-4.86566666666667	-3.38066666666667	-2.57633333333333	-2.407	-1.80333333333333	-2.21533333333333	-3.95033333333333	-5.67966666666667	-3.37333333333333	-2.503	-2.922	-4.0095	-2.3985	-2.8955	-3.407	-2.9025	-3.983	0.8915	0.354	-1.0025	1.2195	1.301	-3.215	1.942	-2.657	-3.519	-1.48	-3.811	-3.004	-2.5635	-2.1345	-2.386	-1.6895	-1.548	0.837	1.566	1.106
"YPL256C"	0.462	0.742	0.619	0.547	-0.472	2.235	-2.244	-2.342	-2.415	0.682	0.7005	0.5595	2.2095	1.369	-2.5575	-0.462	-0.2895	-0.42	-1.071	-0.7235	-2.0795	-3.624	-1.276	-1.8365	-1.575	-1.29	-1.548	-2.197	-1.257	-2.045	-2.444	2.17	1.978	-0.617	-0.188	0.34	-2.321	0.535	-1.776	-1.1975	-2.2255	-2.28	-1.733	-3.207	-1.889	-1.487	-1.963	-0.371	2.121	-0.4755	1.4785
"YPL266W"	0.876	0.8	0.26	0.016	1.293	1.083	-3.222	-3.585	-3.063	1.381	1.1895	1.17	0.674	0.539	-4.1135	-2.3835	-2.305	-2.135	-1.5555	-2.448	-4.58	-3.1595	-3.267	-2.3995	-1.4055	-2.099	-2.07	-1.477	-1.746	-1.809	-2.022	1.094	1.451	-0.603	1.183	0.675	-3.636	0.296	-3.274	-2.154	-1.743	-4.271	-2.451	-2.797	-2.362	-1.537	-1.689	-1.037	0.406	0.862	1.05
"YPL273W"	0.178	0.479	-0.039	0.02	0.313	0.7	-2.2005	-2.3665	-2.375	0.8235	0.772	0.938	1.41566666666667	1.314	-3.42133333333333	-2.60833333333333	-2.705	-2.59566666666667	-2.792	-2.96466666666667	-3.722	-5.69966666666667	-2.94366666666667	-2.86466666666667	-2.72566666666667	-2.8035	-2.4545	-3.2755	-2.794	-3.21	-3.3575	1.535	0.607	-0.409	0.9905	1.083	-2.24	0.719	-1.883	-1.961	-1.127	-3.012	-2.524	-0.72	-1.046	-1.601	-0.744	-1.152	0.188	NaN	-0.636
"YPR060C"	0.516	0.436	0.066	0.095	0.951	0.649	-1.302	-1.077	-1.389	0.26	0.5105	0.719	0.7275	0.918	-3.5465	-3.094	-2.8645	-3.075	-3.446	-3.377	-2.069	-3.801	-1.7345	-1.7935	-2.859	-2.71	-1.98	-2.627	-2.107	-3.352	-2.894	0.795	0.769	-0.521	0.506	0.168	-0.94	0.355	-2.631	-1.945	-1.996	-2.784	-2.741	-1.538	-1.816	-1.601	-1.275	-1.132	-0.919	0.543	0.157
"YPR102C"	0.799	0.667	0.521	0.4	-0.017	0.761	-2.298	-3.37	-4.232	1.367	1.2	1.1555	2.3265	0.827	-3.521	-3.2315	-3.2945	-3.3515	-2.7315	-2.6455	-4.045	-6.451	-3.5055	-4.118	-3.277	-4.644	-2.723	-3.232	-3.352	-3.749	-4.692	2.333	0.382	-0.369	0.923	0.68	-3.007	0.3	-3.927	-2.614	-2.344	-4.015	-3.517	-2.56	-3.07	-2.791	-2.274	-2.464	0.51	2.117	1.211
"YPR110C"	0.551	0.505	0.336	-0.086	0.755	0.635	-3.084	-3.52	-3.728	0.96	1.068	0.986	1.3475	1.2295	-5.7185	-3.423	-3.2115	-2.9215	-2.8345	-3.133	-3.662	-6.318	-3.01	-3.296	-2.0215	-3.88	-2.175	-2.703	-2.993	-3.212	-3.358	1.631	0.737	-0.9	1.389	1.232	-3.168	2.592	-2.851	-1.853	-0.937	-3.882	-3.113	-1.995	-2.88	-2.431	-2.452	-1.826	0.312	1.487	0.359
"YPR112C"	0.467	0.282	-0.248	-0.649	1.3425	0.8315	-2.839	-1.994	-3.273	0.0	0.781	0.823	0.2735	0.192	-3.443	-2.472	-2.345	-2.418	-1.45	-2.3385	-1.7485	-3.311	-2.1835	-2.12	-1.4615	-2.327	-1.815	-2.126	-2.141	-2.48	-1.838	0.531	1.172	-1.013	1.561	1.255	-3.648	0.635	-2.352	-1.559	-1.038	-3.372	-1.969	-3.738	-2.878	-4.031	-1.931	-2.333	-0.512	-0.202	0.769
