	"40.alpha factor release sample029"	"54.Elutriation2:Sample2:Time2.5hrs"	"55.Elutriation2:Sample2:Time3.0hrs"	"58.Elutriation2:Sample2:Time5.0hrs"	"107.heat shock 10 min"	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"812.1M sorbitol - 45 min (* centrifugation problem)"	"817.1M sorbitol - 30 min"	"840.1.5 mM diamide (60 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"859.YPD_2_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"1107.alpha factor release sample025"	"4789.33C + 1M sorbitol vs. 29C - adapted"	"4872.1M sorbitol - 60 min"	"7539.25C -- 90 min"	"8522.DES459 (mec1-) + 0.02% MMS - 45 min"	"8523.DES459 (mec1-) + 0.02% MMS - 60 min"	"8524.DES459 (mec1-) + 0.02% MMS - 90 min"	"8525.DES459 (mec1-) + 0.02% MMS - 120 min"	"12732.Nitrogen Depletion 4 h"	"12744.heat shock 17 to 37, 20 minutes"	"32253.DBY8778_heat_shock2_15min"	"33772.DBY8778(wt)_stationary_phase_3hours"	"33773.DBY8778(wt)_stationary_phase_5hours"	"33779.delYPL230w_stationary_phase_5hours"	"34360.batch 02X25 4"	"34362.batch 02X25 5"	"34365.batch 02X25 6"	"38152.03II01 batch p8"	"38153.03II01 batch p9"	"38154.03II01 batch p10"
"YHR197W"	-0.588	0.352	0.17	0.107	-3.192	-3.7705	-3.293	-3.414	-2.9045	-3.415	-3.1475	-0.661	-0.732	-1.049	-2.813	-2.52	-2.262	-1.863	-2.817	-2.457	-2.259	-0.141	0.004	-0.004	0.25	-0.087	0.119	0.249	-0.075	-0.412	-2.7335	-2.933	-0.127	-0.543	-2.625	-2.224	-0.909	-1.145	-2.135	-1.39	-2.173
"YHR209W"	0.264	-0.621	-0.46	-0.18	2.033	2.62	3.354	2.462	2.599	2.9485	2.711	0.814	0.742	1.908	2.459	1.288	1.038	1.256	1.434	1.187	0.956	0.038	1.064	0.173	-0.557	0.474	0.224	0.114	0.274	-0.151	3.3265	1.731	0.117	-0.14	2.567	1.255	1.044	1.053	1.631	1.854	1.344
"YIL019W"	-0.024	0.481	0.121	0.266	-2.3275	-4.4845	-3.9755	-3.631	-3.3725	-2.9215	-2.461	0.005	-0.203	-1.262	-2.459	-1.454	-1.151	-0.883	-0.934	-1.613	-1.932	-0.06	0.118	0.446	0.093	0.197	0.297	0.621	0.371	0.474	-3.595	-4.534	-0.163	-1.114	-4.006	-1.719	-0.211	-0.809	-2.234	-1.586	-2.007
"YIL064W"	0.296	0.302	0.425	-0.119	-0.772	-2.354	-2.36	-2.7345	-2.1515	-2.514	-2.1275	-0.294	-0.401	-0.633	-2.326	-0.657	-0.964	-1.031	-1.415	-2.125	-1.191	0.119	-0.019	0.051	0.589	-0.259	-0.311	-0.161	-0.144	-0.111	-2.1995	-2.286	-0.059	0.372	-2.035	-0.737	-0.475	-0.779	-1.081	-0.977	-1.469
"YIL127C"	0.3	0.068	-0.091	-0.119	-1.5585	-2.724	-2.4155	-3.181	-1.7815	-2.8895	-2.6295	-0.033	-0.511	-0.492	-3.825	-3.066	-2.308	-2.16	-1.833	-3.072	-1.756	-0.027	0.163	0.202	0.156	0.579	0.379	0.544	0.439	0.945	-2.6085	-2.784	-0.036	-0.445	-3.693	-0.214	-1.24	-1.234	-2.161	-2.182	-1.807
"YJL016W"	-0.307	-0.196	-0.213	-0.288	2.556	1.6035	1.832	1.1305	0.889	0.7155	-0.3685	0.31	0.458	0.49	2.131	0.893	0.582	1.293	1.53	0.489	0.753	0.178	0.177	-0.2	0.047	-0.361	-0.12	-0.203	-0.072	-0.524	0.918	1.136	0.176	0.329	3.118	1.764	2.088	2.246	2.446	2.888	1.812
"YJL069C"	-0.238	0.487	-0.211	-0.368	-2.8925	-3.028	2.1855	-3.073	-1.3795	-2.9805	-3.0365	-0.739	-0.713	-0.951	-4.742	-2.843	-2.261	-2.587	-2.386	-1.49	-2.566	-0.013	0.6	-0.09	0.131	-0.075	0.328	0.193	0.027	-0.133	-3.224	-1.862	-0.133	-0.745	-2.354	-1.301	-1.235	-1.254	-1.417	-0.984	-0.517
"YJL122W"	0.087	0.725	0.152	-0.225	-2.271	-3.1605	-2.3075	-2.6115	-2.3555	-3.015	-2.6085	-0.846	-0.984	-0.559	-4.13	-2.475	-2.636	-2.364	-1.794	-2.718	-2.694	-0.184	0.456	0.194	0.932	-0.301	-0.245	-0.099	-0.034	0.585	-2.9625	-3.081	-0.819	-0.605	-3.406	-1.743	-0.965	-1.016	-2.23	-2.161	-2.194
"YJL148W"	0.083	0.744	0.186	0.079	-3.4665	-2.7525	-2.493	-2.695	-2.0075	-3.2015	-2.403	-0.176	-0.698	-0.894	-3.572	-2.334	-2.266	-1.974	-1.709	-3.006	-1.938	-0.205	0.597	-0.06	0.599	0.21	0.357	0.358	0.392	0.504	-2.967	-3.84	-0.171	-0.955	-3.944	-1.573	-1.472	-2.21	-2.545	-2.245	-2.044
"YJL161W"	-0.383	-0.561	-0.652	-0.224	3.198	3.34	3.39	3.0215	2.924	2.9465	2.6305	1.04	2.365	1.54	4.563	3.611	3.93	3.112	3.361	2.121	2.448	0.004	1.104	0.132	-0.873	-0.183	0.38	0.235	0.239	-0.441	3.716	3.191	0.582	1.648	4.871	3.507	2.625	3.2	2.378	3.202	2.271
"YJL198W"	0.01	0.194	0.4	0.109	-2.4485	-2.413	-2.395	-2.408	-2.049	-2.7905	-2.457	-0.039	-0.492	-0.703	-2.049	-1.408	-0.672	-0.563	-1.641	-2.115	-1.669	-0.158	0.037	-0.219	0.835	-0.293	-0.469	-0.188	-0.385	0.181	-3.027	NaN	-0.181	-0.954	-2.296	-1.895	-1.113	-1.112	-1.943	-2.232	-1.77
"YJR008W"	-0.577	-0.722	-1.369	-0.307	4.05	3.38	2.5185	2.6695	2.33	2.81	2.208	1.211	1.78	0.769	2.34	2.316	3.929	3.529	3.419	3.536	2.826	-0.201	0.514	0.038	-0.443	0.126	0.232	0.052	-0.03	-0.531	2.806	2.387	-0.088	0.702	3.072	2.581	2.472	2.944	2.633	2.974	2.809
"YJR070C"	-0.049	0.51	0.303	-0.105	-3.0685	-4.6905	-4.6305	-4.824	-3.895	-4.828	-4.332	-0.442	-1.079	-0.16	-5.317	-3.975	-3.514	-3.056	-3.68	-3.471	-2.777	0.112	-0.117	-0.067	0.478	0.038	-0.154	-0.118	-0.208	-0.048	-4.7655	-3.81	0.165	0.17	-3.754	-2.357	-1.812	-2.472	-1.64	-2.535	-2.011
"YJR150C"	-0.053	0.239	0.237	0.343	-0.432	-0.925	-0.8605	-1.2	-0.815	0.274	-0.8985	0.126	0.067	-0.017	0.875	0.234	0.487	1.051	1.674	0.63	0.296	-0.16	-0.415	0.166	-0.282	-0.276	-0.24	0.142	-0.197	0.339	-2.4685	-0.798	-0.21	-1.324	-0.048	0.827	-0.22	1.105	-1.702	-0.817	-1.188
"YKL099C"	0.115	0.177	-0.397	-0.042	-2.757	-4.464	-4.014	-3.88	-2.796	-3.564	-3.037	-0.365	-0.248	-0.707	-4.145	-2.015	-2.146	-1.585	-1.537	-2.585	-1.842	0.088	-0.006	0.19	0.457	0.581	0.541	0.829	0.496	0.963	-3.926	NaN	0.019	-0.097	-3.486	-1.472	-1.472	-1.295	-1.993	-2.753	-2.401
"YKL142W"	0.105	-0.538	-0.661	0.019	2.597	2.225	2.927	2.56	1.871	2.261	2.353	1.096	1.638	1.253	3.233	2.644	2.721	2.479	1.216	2.258	2.224	-0.179	1.191	-0.006	-0.825	0.936	1.042	0.724	0.986	0.551	2.572	2.578	0.561	1.056	2.695	2.341	2.223	2.529	2.231	2.921	2.627
"YKL151C"	0.405	-0.568	-0.295	-0.432	3.971	4.653	4.894	4.533	3.849	4.45	4.63	0.46	0.631	1.392	3.642	2.407	1.558	2.359	1.994	1.609	1.937	-0.235	0.877	-0.074	-0.285	0.373	0.235	0.277	0.396	0.143	4.996	2.694	0.28	0.737	3.988	0.796	2.981	3.558	2.513	3.462	3.47
"YKL191W"	0.267	0.2	0.219	-0.265	-2.053	-2.458	-2.453	-2.92	-2.358	-2.347	-1.981	0.005	-0.374	-0.4	-2.611	-0.914	-0.359	-1.122	-0.983	-2.195	-1.224	-0.097	-0.588	0.032	0.462	-0.448	-0.445	-0.4	-0.182	-0.293	-2.641	-2.759	-0.34	-0.675	-2.326	-1.918	-1.33	-0.898	-1.107	-1.4	-0.459
"YKR024C"	0.254	0.379	-0.07	-0.124	-2.831	-3.382	-3.249	-3.489	-2.212	-3.285	-2.848	-0.353	-0.395	-0.932	-4.227	-2.481	-2.732	-2.049	-2.038	-2.262	-2.227	0.252	0.351	0.155	-0.017	0.164	-0.03	0.129	0.027	0.049	-3.49	-1.518	-0.233	0.186	-2.389	-1.375	-1.062	-1.343	-2.532	-3.056	-2.305
"YKR081C"	-0.031	0.397	0.172	0.454	-4.01	-4.459	-3.157	-3.308	-1.58	-3.81	-3.431	-0.29	-0.464	-0.671	-4.081	-2.662	-2.469	-1.772	-1.821	-3.278	-2.505	-0.04	0.22	0.336	0.491	0.3	0.418	0.602	0.371	0.474	-3.505	-2.666	0.067	-0.856	-3.261	-2.388	-1.874	-2.38	-2.161	-2.332	-1.814
"YLL008W"	0.29	0.327	-0.09	-0.405	-2.364	-4.973	-6.033	-4.981	-3.751	-4.808	-4.019	-0.529	-0.896	-0.871	-5.659	-3.509	-3.627	-2.64	-3.282	-2.364	-2.55	0.116	-0.113	-0.01	0.524	0.238	0.101	0.158	0.17	-0.025	-4.642	-4.08	0.135	0.115	-3.042	-1.757	-0.765	-1.789	-1.826	-3.002	-2.689
"YLL039C"	0.13	0.156	0.172	0.192	3.73466666666667	3.942	3.74966666666667	3.18766666666667	3.84166666666667	4.33133333333333	4.529	0.738333333333333	1.096	1.49633333333333	1.05933333333333	0.920333333333333	1.203	1.20133333333333	1.043	0.806333333333333	0.361333333333333	0.2175	1.96066666666667	0.287	-0.773	0.878333333333333	0.720666666666667	0.757	0.749333333333333	0.324666666666667	4.756	3.453	0.101	0.628	1.867	1.77	1.987	2.213	2.07	2.678	2.2
"YLR009W"	0.579	0.463	0.458	0.032	-2.705	-4.735	-4.567	-4.564	-2.897	-4.204	-3.864	-0.334	-0.652	-0.579	-4.675	-2.624	-2.259	-2.408	-2.126	-2.737	-2.637	0.188	0.359	-0.064	0.471	0.143	0.159	0.256	0.043	0.591	-4.344	-3.436	-0.097	0.077	-3.361	-2.04	-1.763	-2.074	-2.601	-2.653	-2.19
"YLR081W"	-0.255	-0.857	-0.801	-0.05	1.374	0.964	1.782	1.065	-0.436	0.418	0.444	0.715	-0.386	-0.341	0.752	0.752	0.013	0.842	0.622	1.248	1.407	0.266	-0.692	0.033	-0.118	0.025	0.196	0.186	0.569	-0.327	0.783	-0.285	-0.851	-0.407	1.848	0.367	0.181	1.211	-0.823	-1.176	-0.91
"YLR129W"	0.097	0.19	-0.113	-0.519	-4.191	-4.096	-2.921	-3.022	-2.347	-3.676	-3.658	-0.178	-0.492	-0.5	-4.83	-2.28	-3.089	-2.498	-2.718	-3.12	-2.647	-0.04	0.42	0.139	0.456	-0.11	0.012	0.029	-0.053	0.165	-4.108	-4.374	-0.629	-0.875	-4.119	-1.753	-1.435	-2.317	-2.048	-2.361	-2.087
"YLR196W"	-0.171	0.554	-0.041	-0.142	-4.71	-5.425	-5.709	-5.04	-3.221	-4.896	-4.532	-0.604	-0.56	-0.531	-5.083	-3.01	-3.156	-2.049	-2.276	-2.858	-2.859	-0.053	0.046	0.24	0.764	0.242	0.274	0.446	0.066	-0.098	-5.097	-3.697	-0.452	-1.261	-3.658	-2.247	-1.815	-2.053	-1.579	-1.62	-1.73
"YLR197W"	-0.246	0.677	0.393	0.144	-3.755	-4.98	-4.31	-4.044	-3.638	-4.76	-5.179	0.046	-1.163	-0.908	-5.817	-3.612	-3.173	-2.795	-3.255	-3.899	-3.238	0.069	-0.496	0.131	0.956	0.348	0.412	0.328	0.333	0.418	-5.072	-4.496	-0.449	-0.484	-4.545	-3.015	-2.826	-3.736	-2.647	-2.994	-2.559
"YLR198C"	0.1	1.073	0.549	0.548	-2.631	-4.57	-4.094	-4.694	-3.371	-4.643	-4.805	-0.071	-0.89	-0.803	-5.143	-2.989	-3.1	-2.376	-2.252	-3.471	-3.106	0.025	-0.315	0.231	1.291	0.459	0.442	0.529	0.457	0.323	-4.143	-3.4	-0.039	-0.42	-3.761	-2.448	-2.188	-3.254	-2.449	-2.231	-2.734
"YLR221C"	-0.083	0.279	0.19	0.039	-1.904	-3.146	-2.525	-2.286	-2.172	-2.998	-2.528	-0.258	-0.845	-0.811	-2.998	-2.097	-1.521	-1.444	-1.853	-1.591	-0.902	0.127	0.041	0.144	0.421	0.135	0.239	0.225	0.093	0.537	-3.231	-3.034	-0.039	-0.631	-3.361	-1.541	-0.907	-0.641	-1.255	-1.794	-1.033
"YLR252W"	0.197	-0.576	-0.381	-0.227	3.536	3.483	3.141	2.704	2.656	3.133	3.23	1.464	1.51	1.237	2.929	1.921	2.248	2.344	2.795	1.742	1.897	-0.283	0.059	-0.016	-1.191	-0.022	0.139	0.028	0.072	-0.649	3.837	0.776	0.766	1.098	3.058	2.792	0.962	2.319	2.691	3.61	2.018
"YLR258W"	-0.587	-1.1	-0.866	-0.263	4.492	4.617	4.224	4.273	3.655	4.262	4.866	2.007	1.942	0.881	4.602	3.602	4.226	3.358	3.089	2.686	2.614	-0.031	0.684	0.375	-1.945	0.337	0.261	-0.064	-0.007	-1.519	4.686	3.754	0.878	2.088	5.121	3.322	2.693	3.295	3.356	3.233	3.499
"YLR290C"	-0.206	-0.122	-0.16	0.382	1.09	1.057	1.132	0.721	1.0	1.192	1.157	0.464	0.633	0.346	2.269	1.36	1.615	1.575	2.033	1.085	0.985	-0.293	0.167	-0.012	0.112	0.66	0.66	0.708	0.56	0.431	1.493	1.296	0.429	0.326	1.624	1.335	1.337	1.933	1.518	1.36	1.527
"YLR336C"	-0.219	0.38	-0.015	-0.76	-1.649	-1.76	-1.515	-1.614	-1.159	-2.049	-2.034	-0.295	-0.194	-1.011	-2.355	-1.349	-0.851	-0.464	-0.129	-1.092	-1.147	0.016	0.469	0.22	0.511	0.063	0.134	0.17	0.036	-0.15	-1.718	-2.837	0.024	-0.855	-2.763	-0.996	-1.07	-0.882	-1.399	-1.811	-1.434
"YLR409C"	-0.232	0.502	0.339	-0.219	-4.088	NaN	-3.474	-3.176	-2.574	-3.696	-3.852	-0.168	-0.291	-0.78	-4.402	-2.709	-2.6	-1.8	-2.222	-2.308	-2.578	0.054	0.191	0.013	0.263	-0.205	-0.143	0.007	-0.174	-0.148	-4.473	-2.812	-0.016	-0.113	-3.231	-1.947	-1.489	-2.36	-1.271	-1.554	-1.761
"YLR435W"	-0.042	0.432	0.304	0.124	-2.312	-2.95	-1.708	-2.628	-2.012	-2.917	-2.415	-0.071	-0.367	-0.753	-4.216	-2.534	-2.556	-2.839	-2.684	-1.506	-2.134	-0.059	0.207	0.176	0.002	0.342	0.35	0.423	0.269	0.64	-3.297	-2.231	-0.36	-0.948	-4.563	-0.794	-0.866	-1.233	-1.753	-1.535	-1.683
"YML093W"	-0.044	0.669	0.013	-0.322	-3.602	-4.507	2.565	-2.615	-2.741	-3.357	-3.472	-0.345	-0.583	-1.094	-4.947	-2.836	-1.941	-1.822	-2.007	-2.797	-2.437	-0.227	0.215	0.305	0.635	0.084	0.387	0.195	0.03	0.128	-3.703	-7.708	-0.334	-1.001	-4.548	-1.661	-1.353	-1.725	-2.518	-2.62	-2.353
"YML100W"	-0.363	-1.009	-0.161	-0.143	5.316	6.476	6.109	6.414	5.251	6.445	7.021	3.095	3.206	1.469	6.107	0.965	4.088	4.578	4.113	3.032	2.344	-0.079	0.331	0.269	-1.814	0.616	0.232	0.133	0.368	-1.289	6.199	5.901	1.358	1.548	4.68	4.185	3.794	4.254	4.028	5.411	4.281
"YML120C"	-0.316	0.344	0.365	0.419	1.871	2.437	2.272	2.279	1.757	2.479	2.268	0.145	0.395	0.095	4.463	4.703	3.899	3.539	2.906	3.023	2.869	-0.364	-0.448	0.115	-0.02	-0.822	-0.907	-0.956	-0.859	-0.263	2.072	1.332	0.337	0.406	3.018	0.904	1.231	0.792	1.712	1.304	1.992
"YML128C"	-0.54	-1.069	-0.796	-1.169	5.766	6.859	6.417	6.4	5.43	4.736	4.769	2.986	4.196	2.929	4.497	4.007	4.229	5.074	3.562	4.28	4.369	-0.294	2.729	0.555	-1.21	1.14	0.91	0.579	0.539	-0.361	5.297	4.573	0.817	2.164	5.91	4.155	4.994	4.05	3.745	3.524	3.891
"YMR093W"	-0.073	-0.099	-0.196	-0.529	-2.983	-2.825	-2.746	-3.204	-1.949	-3.006	-2.835	-0.083	-0.073	-0.591	-1.169	-3.661	-3.154	-2.81	-2.924	-2.075	-2.079	0.007	0.154	0.05	0.191	0.229	0.04	0.087	0.053	-0.226	-3.181	-2.663	0.124	-0.146	-3.843	-1.843	-0.729	-1.969	-1.352	-2.482	-2.303
"YMR105C"	-0.22	-1.552	-0.88	-0.82	6.504	7.421	7.216	6.858	6.445	6.665	6.783	2.81	2.806	0.529	4.909	4.43	4.356	4.635	3.333	2.982	2.866	0.09	1.081	0.129	-1.351	0.482	0.316	0.15	0.214	-1.262	6.837	5.764	1.471	3.026	6.583	4.302	3.679	3.947	4.512	3.829	3.825
"YMR131C"	0.056	0.883	0.525	0.277	-3.068	-4.819	-4.67	-4.183	-3.849	-4.525	-4.347	-0.077	-0.589	-0.623	-5.631	-3.641	-3.811	-2.698	-2.914	-3.547	-2.98	-0.125	0.22	-0.015	0.374	0.005	0.112	0.084	-0.305	0.107	-4.674	-3.866	0.023	-0.617	-4.181	-2.03	-1.175	-2.124	-2.149	-3.389	-2.21
"YMR139W"	0.178	-0.467	-0.673	-0.158	1.536	1.925	2.009	1.824	1.541	2.023	1.993	0.329	0.569	0.64	3.263	2.401	2.436	2.325	1.223	2.003	1.496	-0.039	0.153	-0.156	-0.241	0.237	0.4	0.191	0.038	-0.686	1.885	1.96	-0.342	0.468	2.001	0.932	1.47	1.872	1.399	1.752	1.655
"YMR197C"	0.359	-0.473	-0.188	0.025	2.081	2.306	2.409	1.506	2.121	2.282	1.924	0.631	1.276	0.538	1.437	0.675	1.265	1.445	0.331	1.788	1.484	-0.189	0.514	0.254	-0.99	0.884	0.327	0.539	0.703	0.567	2.301	1.769	0.223	0.568	0.908	0.85	1.084	1.236	0.662	1.88	1.723
"YMR206W"	-0.339	-0.431	-0.134	-0.012	3.118	3.517	2.774	1.91	1.115	1.678	1.726	0.369	0.246	-0.077	5.096	5.169	3.275	4.362	2.807	4.576	4.842	-0.076	-0.353	0.28	-0.635	-0.526	-0.779	-0.27	-0.38	-0.394	2.805	0.858	-0.013	0.629	5.241	2.251	2.396	2.997	3.437	3.644	2.77
"YMR250W"	-1.338	-1.54	-1.345	-1.124	5.161	6.007	5.745	5.491	5.246	5.448	5.563	3.183	3.758	1.979	4.705	4.159	3.979	4.174	NaN	2.923	2.601	-0.356	1.639	1.356	-2.141	0.545	0.423	0.394	0.619	-1.576	5.984	4.606	1.237	2.342	5.68	5.241	5.579	6.752	4.48	5.204	6.07
"YMR290C"	-0.258	0.677	0.24	0.03	-2.333	-3.64	-3.112	-3.689	-2.957	-3.89	-3.624	-0.349	-1.323	-0.428	-5.132	-3.842	-3.455	-3.073	-3.471	-3.243	-3.378	0.132	-0.195	-0.092	1.055	-0.334	-0.35	-0.259	-0.37	0.13	-4.129	-4.343	-0.591	-1.329	-4.544	-2.21	-2.307	-3.084	-1.701	-1.911	-2.141
"YMR309C"	-0.458	0.109	0.315	0.037	-2.848	-2.218	-2.012	-1.773	-1.41	-2.53	-3.055	-0.36	-0.357	-0.452	-3.127	-2.334	-1.924	-1.851	-1.52	-2.787	-2.363	-0.106	-0.027	-0.046	0.736	-0.101	-0.063	-0.065	-0.139	-0.002	-2.63	-2.073	-0.149	-0.846	-3.181	-2.104	-1.564	-2.46	-1.376	-2.17	-1.365
"YMR310C"	-0.286	0.356	0.279	-0.39	-3.178	-3.117	-3.003	-2.423	-2.264	-2.522	-1.974	-0.239	-0.431	-0.48	-2.999	-1.275	-1.838	-1.146	-0.948	-2.25	-1.986	-0.014	0.215	0.2	0.332	-0.393	-0.207	-0.262	-0.264	-0.596	-2.882	-2.857	-0.378	-1.989	-3.588	-1.042	-1.219	-1.724	-1.63	-1.986	-1.901
"YNL002C"	0.249	0.372	0.108	-0.599	-3.547	-4.666	-4.12	-4.07	-3.305	-4.559	-4.222	-0.236	-0.754	-0.543	-5.196	-2.914	-2.785	-2.336	-2.475	-3.072	-2.59	-0.152	0.174	-0.059	0.499	0.462	0.344	0.288	0.149	0.813	-4.603	-3.481	-0.517	-1.22	-4.466	-2.619	-1.626	-1.768	-2.083	-1.86	-1.552
"YNL075W"	-0.178	0.56	-0.112	-0.369	-2.664	-3.86	-2.098	-3.164	-2.558	-3.304	-2.768	-0.237	-0.721	-0.58	-4.782	-2.75	-2.189	-1.683	-1.696	-3.095	-2.494	-0.096	0.349	-0.203	0.416	0.652	0.664	0.792	0.371	0.352	-3.301	-2.935	-0.187	-0.268	-3.779	-1.93	-2.342	-2.099	-2.202	-2.141	-1.961
"YNL110C"	-0.157	0.592	0.156	0.098	-3.468	-4.43	-5.407	-3.64	-3.768	-4.56	-4.991	-0.371	-0.781	-0.931	-5.108	-3.05	-2.608	-1.92	-2.472	-2.565	-1.986	-0.179	0.503	-0.088	0.542	0.147	0.292	0.37	0.286	1.162	-5.064	-4.907	-0.012	-0.975	-4.747	-2.002	-1.405	-1.619	-2.512	-2.299	-1.758
"YNL112W"	-0.108	0.922	0.356	-0.33	-1.15	-3.638	-4.951	-4.018	-3.939	-4.081	-3.89	-0.178	-0.552	-0.191	-3.476	-3.056	-2.775	-1.708	-2.147	-1.809	-2.081	0.326	-0.099	-0.023	1.226	-0.852	-0.465	-0.376	-0.486	-0.031	-3.744	-4.902	-0.724	-0.703	-4.027	-1.463	-1.538	-2.207	-3.116	-3.04	-3.339
"YNL200C"	-0.35	-0.825	-0.633	-0.339	3.958	4.143	4.374	3.376	3.17	3.269	3.585	0.464	0.34	1.368	4.582	3.797	3.537	4.197	2.818	2.15	2.624	-0.028	0.409	0.018	-1.154	0.0	0.165	0.079	0.441	-0.417	4.124	1.738	0.644	0.349	4.527	2.591	2.914	3.367	2.392	3.19	2.592
"YNL248C"	0.143	0.805	0.382	0.187	-4.024	-4.791	-4.364	-4.315	-3.398	-4.455	-4.373	-0.289	-0.75	-0.331	-5.716	-3.559	-4.488	-3.442	-3.857	-3.866	-3.014	0.19	0.112	0.124	0.583	0.201	0.016	0.089	-0.007	0.146	-4.868	NaN	-0.412	-1.087	-6.193	-3.661	-2.422	-3.302	-2.94	-3.256	-3.147
"YNL308C"	0.122	0.371	0.277	0.068	-3.076	-3.929	-2.764	-1.689	-2.757	-3.366	-3.336	-0.398	-0.483	-1.095	-4.351	-2.623	-2.15	-2.256	-1.693	-2.614	-2.202	-0.06	-0.045	0.145	0.07	0.036	0.472	0.256	0.236	0.752	-3.272	-4.586	-0.16	-0.782	-3.307	-1.414	-1.352	-1.082	-1.814	-1.712	-2.017
"YNL313C"	-0.596	0.793	0.208	0.025	-3.06	-3.472	-3.287	-3.026	-2.399	-2.935	-3.02	-0.532	-0.79	-0.904	-4.999	-2.695	-2.073	-2.007	-2.126	-3.129	-2.948	0.191	0.038	0.106	0.202	0.014	0.14	0.065	-0.09	0.073	-3.009	-2.824	-0.553	-0.756	-3.85	-1.573	-1.488	-1.743	-2.192	-3.049	-1.686
"YNR053C"	-0.094	0.842	0.355	-0.366	-2.579	-5.074	-2.27	-4.159	-3.104	-3.74	-3.215	-0.149	-0.537	-0.847	-3.029	-1.053	-1.27	-1.0205	-0.1815	-1.445	-1.9505	0.141	1.123	-0.046	0.324	-0.263	0.098	-0.065	-0.25	0.346	-4.11	-3.937	-0.631	-1.286	-4.56	-1.367	-1.556	-1.912	-3.003	-2.621	-3.017
"YOL077C"	-0.281	0.607	0.474	0.034	-4.404	-5.439	-5.781	-5.04	-4.336	-5.22	-4.28	-0.343	-1.003	-0.929	-5.186	-0.2885	-3.087	-2.568	-2.79	-4.174	-0.219	0.035	-0.245	-0.102	0.786	-0.046	0.218	0.219	0.147	0.363	-4.7	-4.969	-0.331	-0.873	-5.145	-2.897	-2.041	-2.759	-2.418	-2.762	-2.379
"YOL124C"	-0.024	0.227	-0.042	-0.229	-3.477	-5.367	-3.025	-5.101	-3.858	-4.247	-3.145	0.288	-0.544	-0.486	-1.6095	-1.266	-0.9985	-0.0409999999999999	-0.899	-1.787	-0.9045	-0.199	0.413	0.292	0.14	0.328	0.016	0.48	0.046	0.234	-4.313	-3.978	-0.822	-2.428	-4.431	-2.538	-1.863	-2.112	-1.839	-2.538	-1.826
"YOR004W"	-0.377	0.554	0.163	0.082	-4.23	-4.757	-5.035	-3.548	-2.903	-3.62	-3.212	-0.519	-1.371	-0.861	-1.3775	-2.901	-0.943	-0.096	-1.3515	-0.599	-0.6875	-0.051	0.123	0.021	0.852	0.065	0.189	0.309	-0.263	0.313	-3.591	-4.082	-1.173	-1.631	-4.043	-1.907	-1.638	-1.31	-2.396	-2.152	-2.29
"YOR091W"	0.417	0.26	0.248	-0.461	-2.076	-3.01	-1.939	-2.688	-1.642	-2.72	-2.309	-0.624	-0.286	-0.651	-3.211	-2.424	-2.536	-1.957	-2.1815	-1.597	0.6055	-0.207	-0.109	0.123	-0.31	0.288	0.21	0.241	0.083	0.1	-2.366	-3.395	0.245	-0.653	-3.639	-1.489	-1.614	-1.646	-2.251	-2.649	-2.128
"YOR101W"	0.126	0.298	0.404	0.019	-1.74	-1.895	-1.791	-2.147	-1.543	-2.469	-2.494	0.144	-0.418	-0.281	-2.223	-2.598	-2.4025	-2.318	-1.323	-3.003	-0.169	-0.084	-0.284	-0.101	0.424	-0.166	-0.062	-0.077	-0.084	0.039	-2.311	-1.907	-0.244	-0.778	-2.121	-0.848	-0.001	-1.106	-1.042	-1.635	-1.967
"YOR145C"	0.275	0.894	0.39	0.139	-3.045	-3.98	-3.649	-3.795	-2.871	-3.492	-3.402	-0.167	-0.606	-0.433	-4.1305	-2.03	-1.7885	-1.4615	-1.2825	-2.7235	-1.903	-0.002	0.546	-0.001	0.337	0.353	0.284	NaN	0.103	0.373	-3.948	-3.644	-0.592	-1.154	-4.493	-1.536	-1.344	-1.13	-2.139	-1.717	-1.933
"YOR206W"	-0.135	0.875	0.245	0.237	-3.294	-5.087	-4.715	-3.702	-3.585	-5.083	-4.513	-0.41	-0.863	-0.949	-5.827	-2.568	-2.0395	-1.991	-2.174	-3.1625	-1.9445	-0.064	0.181	-0.2	0.769	0.361	0.416	0.385	0.214	0.378	-5.066	-3.839	-0.108	-0.835	-4.817	-2.166	-2.026	-2.49	-2.558	-2.475	-2.141
"YOR243C"	-0.214	0.226	0.078	-0.107	-3.173	-3.594	-2.991	-3.234	-2.436	-3.633	-3.982	-0.061	-0.522	-0.624	-3.8055	-2.475	-2.128	-2.1915	-2.2855	-2.588	-2.1815	0.092	-0.316	-0.005	0.884	0.261	0.255	0.121	-0.021	0.23	-4.099	-2.845	-0.288	-0.587	-2.825	-1.862	-1.059	-1.997	-1.778	-3.197	-1.962
