	"29.alpha factor release sample016"	"42.alpha factor release sample022"	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"116.heat shock 40 min"	"297.Kb vs. Ctrl"	"407.heat shock 33 to 37, 20 minutes"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"599.37 deg growth"	"651.alpha factor release sample019"	"685.YP sucrose vs reference pool"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1099.alpha factor release sample030"	"1103.alpha factor release sample028"	"1105.alpha factor release sample023"	"1172.pho80 mutant vs wild type"	"1310.diauxic shift timecourse: 9.5 hr"	"4872.1M sorbitol - 60 min"	"7528.DBYyap1 0.32 mM H2O2 - 20 min"	"7538.25C -- 60 min"	"7539.25C -- 90 min"	"7542.DES459 (mec1) - log phase (MMS time "	"8213.steady state 36 dec C"	"8234.dtt 240 min"	"8247.steady state 36 dec C: y14n095"	"9837.CLB2 induction 40minutes (possible against CLB5 0min)"	"11466.yO1 test hyb"	"12744.heat shock 17 to 37, 20 minutes"	"21666..24 mM H2O2- 055 minutes"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34362.batch 02X25 5"	"38152.03II01 batch p8"	"38153.03II01 batch p9"	"38154.03II01 batch p10"	"42224.U2 Comp 08 hr 10 min Uracil Batch vs Chemostat Comparison (rescan)"	"42227.U2 Comp 11 hr 05 min Uracil Batch vs Chemostat Comparison"
"YGR160W"	-0.389	0.091	-6.235	-5.9475	-4.248	0.356	-3.6965	-5.567	-6.207	-4.6575	-0.457	-0.246	0.399	-4.796	-4.983	-4.886	-3.976	-2.766	-2.931	NaN	-1.923	-2.892	-2.69	-2.008	-4.626	-3.397	-2.991	-3.408	0.0	0.54	0.732	0.213	0.225	-0.184	-2.876	2.017	1.976	-0.239	-1.431	-2.325	-0.593	-0.534	-3.3665	-6.3385	-4.022	-2.945	-3.866	-2.427	-4.708	-4.059	-2.794	-1.755	-3.534	-3.562	-4.044	-3.98	1.605	-0.002
"YGR173W"	-0.397	0.225	-2.503	-1.71	-0.761	0.424	-0.7595	-1.958	-2.8095	-2.487	0.348	0.08	0.237	-3.271	-1.888	-1.436	-1.194	-1.375	-1.91	-3.699	-1.899	-2.709	-2.065	-1.747	-1.546	-1.279	-1.36	-0.91	-0.079	-0.184	0.048	-0.143	0.089	-0.074	-0.517	0.721	-0.154	-0.333	0.018	-0.871	0.251	0.303	-1.2535	-2.734	-1.499	-2.164	-1.798	-0.735	-2.139	-1.259	-0.642	-1.525	-0.792	-1.088	-1.024	-0.607	-0.546	-0.895
"YGR187C"	-0.208	0.1	-2.837	-2.2925	-1.4205	0.068	-1.727	-1.6905	-2.126	-2.5625	0.095	-0.333	0.213	-2.942	-2.082	-1.876	-1.392	-1.08	-1.208	-3.678	-1.765	-2.234	-2.079	-1.08	-2.27	-1.613	-1.609	-1.84	0.047	-0.01	-0.02	-0.303	-0.266	-0.013	-2.296	-0.032	-0.093	-0.253	-0.112	-0.945	-0.222	-0.198	-1.119	-2.453	-0.278	-2.525	-2.662	-1.577	-3.256	-2.5	-0.898	-1.778	-1.674	-1.636	-1.625	-2.017	-0.223	-0.403
"YHL011C"	0.165	0.594	-2.744	-2.467	-1.4255	0.178	-0.997	-2.107	-3.0145	-3.024	-0.169	0.005	0.772	-2.604	-1.684	-1.225	-1.072	-0.736	-1.162	-3.592	-1.461	-2.503	-2.019	-1.597	-1.801	-0.989	-1.128	-1.272	0.27	0.148	0.398	-0.11	0.142	-0.008	-0.744	0.659	0.68	-0.466	0.402	-0.296	0.289	-0.172	-1.063	-3.2715	-1.435	-2.033	-1.74	-0.172	-2.086	-0.98	-1.253	-1.311	-1.499	-1.084	-1.117	-1.384	-0.145	-0.493
"YHL021C"	0.631	0.269	5.88	5.508	2.409	-0.031	2.7225	4.666	5.5395	5.718	0.425	-0.169	-0.186	5.13	4.387	4.461	4.022	3.563	3.435	1.842	3.387	4.726	4.548	3.755	3.904	3.646	3.694	2.488	-0.072	-0.319	0.188	0.481	0.139	-0.56	3.413	-1.128	-1.014	0.505	0.877	1.811	1.193	0.347	2.717	5.9365	4.097	6.428	4.596	3.722	6.624	4.847	4.725	3.995	3.953	3.632	2.568	3.841	-1.493	-1.459
"YHR010W"	0.177	0.415	-2.471	-2.255	-1.9545	-0.138	-0.52	-2.0245	-3.406	-3.8525	0.153	-0.062	0.561	-3.693	-3.281	-3.149	-2.926	-2.458	-3.025	-4.514	-2.294	-3.343	-3.288	-3.007	-4.159	-2.399	-2.244	-2.541	0.403	0.445	0.543	0.177	0.417	-0.034	-1.106	1.55	1.153	-0.329	0.089	-2.034	0.057	0.08	-2.412	-3.0485	-1.115	-3.363	-2.267	-2.283	-3.56	-2.961	-1.715	-2.978	-2.433	-0.845	-1.259	-1.777	0.648	1.393
"YHR052W"	-0.66	0.426	-4.2445	-3.5175	-2.1725	0.281	-1.499	-3.5215	-4.3935	-3.9395	-0.247	-0.419	0.113	-4.199	-3.017	-2.239	-2.075	-2.236	-2.282	-4.447	-2.516	-2.565	-2.428	-1.756	-3.435	-2.249	-2.245	-2.297	0.021	0.037	0.048	-0.295	-0.008	0.119	-1.839	0.835	0.892	-0.158	-0.36	-1.408	-0.532	-2.413	-1.882	-4.9395	-1.918	-1.892	-3.411	-1.666	-3.47	-2.114	-2.463	-1.582	-2.533	-2.249	-1.949	-2.227	0.821	-0.84
"YHR066W"	-0.458	0.154	-3.7505	-3.0515	-1.2655	0.285	-1.4695	-2.9815	-3.762	-3.552	0.039	0.036	0.354	-4.885	-2.062	-1.572	-1.589	-1.438	-1.792	-5.203	-2.29	-2.974	-2.008	-1.599	-2.742	-1.611	-1.41	-1.569	0.146	-0.014	-0.092	-0.455	0.097	0.466	-2.058	0.275	0.291	-0.456	-0.606	-1.507	-0.372	0.08	-1.372	-4.347	-1.506	-1.623	-1.898	-0.729	-2.382	-1.908	-1.368	-1.089	-1.898	-1.261	-2.157	-1.669	-0.277	-0.352
"YHR104W"	0.894	-0.684	4.906	4.6215	3.5845	0.773	3.2725	4.247	4.658	4.7775	1.385	-0.403	-0.713	3.691	1.878	1.323	1.523	1.914	0.775	-2.834	1.404	1.606	1.196	0.443	2.561	2.249	2.913	3.122	-0.517	-0.153	0.007	0.376	0.38	-0.098	2.393	-2.238	-1.802	1.249	1.476	1.388	1.564	0.007	1.128	5.319	3.067	2.457	1.421	1.698	3.963	2.022	1.53	1.952	3.029	3.061	2.262	2.601	0.246	-0.94
"YIL018W"	0.052	0.08	1.619	-2.4325	-1.4745	-0.462	-0.3935	-2.2685	-3.509	-3.965	-0.426	-0.197	0.776	-4.365	-3.03	-2.782	-2.724	-2.488	-2.78	-5.749	-2.754	-3.362	-3.505	-3.056	-3.907	-1.842	-2.218	-2.606	0.067	0.27	0.137	0.299	0.271	-0.233	-1.357	1.312	1.332	-1.031	-0.227	-2.148	-0.014	-0.296	-2.495	-3.4165	-1.42	-4.277	-3.397	-2.864	-4.06	-3.676	-2.806	-2.821	-2.05	-1.403	-1.104	-1.836	0.627	1.889
"YIL133C"	-0.233	0.216	-2.0235	-2.6465	-1.3105	-0.501	-0.9345	-2.027	-3.384	-3.811	-0.289	NaN	0.77	-3.333	-3.196	-3.135	-2.331	-2.167	-2.883	-5.79	-2.633	-2.93	-2.571	-2.194	-4.433	-2.003	-2.465	-2.757	-0.115	0.24	0.947	0.208	0.254	0.235	-1.205	1.569	1.38	-0.5	-0.125	-2.404	-0.038	0.12	-2.13	-3.3115	-1.892	-4.387	-3.183	-2.607	-4.098	-3.154	-2.466	-3.633	-2.461	-1.288	-1.118	-1.899	0.137	1.73
"YIR035C"	0.132	0.097	-0.825	-0.9575	-0.789	-0.14	-0.202	-0.6875	-0.595	-0.883	0.066	-0.244	0.227	-0.539	0.317	0.433	-0.118	-0.086	0.623	-2.108	-1.474	-1.147	-0.666	-0.789	0.795	0.39	0.355	0.773	-0.098	-0.058	0.025	-0.179	-0.162	0.04	NaN	0.249	0.631	-1.973	-0.031	1.082	0.019	0.339	-0.346	-1.878	1.028	0.234	0.663	2.28	-0.172	0.102	-0.08	0.651	0.178	0.816	0.81	0.458	0.853	-0.281
"YJL066C"	0.531	-0.045	2.484	2.363	1.68	-0.029	0.9545	2.0645	2.2855	2.4895	0.865	-0.344	-1.142	3.176	3.323	3.479	2.755	2.79	3.462	2.471	1.057	1.811	1.934	1.663	2.344	1.306	2.029	2.063	-0.109	-0.057	-0.191	-0.102	0.14	-0.228	0.722	-2.181	-1.146	0.25	0.454	1.162	0.527	-0.129	2.401	2.9045	1.898	2.893	2.947	1.997	4.144	3.6	3.185	2.863	1.902	2.702	3.287	3.058	0.156	-0.292
"YJR002W"	-0.78	0.051	-3.52066666666667	-2.819	-1.96566666666667	0.42	-1.408	-2.21066666666667	-2.34	-3.20666666666667	-0.2925	0.078	0.2525	-2.9885	-1.465	-0.8715	-0.6495	-0.7305	-0.868	-4.416	-2.145	-2.066	-1.3185	-0.855	-2.212	-1.302	-1.257	-1.1615	0.038	0.0035	-0.0675	-0.18	0.052	-0.0345	-1.4575	0.732	0.4815	-0.661	-0.262	-1.223	-0.387	0.189	-0.924	-3.31866666666667	-1.612	-2.669	-1.374	-0.919	-2.426	-1.264	-1.356	-1.092	-1.219	-2.922	-1.861	-1.183	0.223	-0.136
"YJR041C"	-0.145	0.232	-3.1145	-2.365	-1.486	0.199	-1.5575	-1.6395	-2.2375	-2.9255	-0.245	0.337	0.649	-3.864	-2.277	-1.489	-1.335	-1.157	-1.402	-4.286	-1.797	-1.873	-1.595	-0.994	-2.769	-1.624	-1.752	-1.853	0.266	0.34	0.286	0.023	-0.388	-0.142	-1.56	0.602	0.17	0.624	-0.168	-0.97	-0.108	0.3675	-0.565	-2.673	-2.852	-0.243	-2.551	-1.964	-3.443	-2.965	-1.855	-1.034	-1.083	-1.418	-2.109	-1.513	0.13	0.138
"YJR123W"	0.198	-0.109	-1.798	-2.5565	-1.4945	-0.185	-0.7385	-1.912	-3.5655	-4.258	-0.365	0.23	0.24	-3.844	-3.276	-3.279	-3.375	-2.46	-3.124	-9.147	-2.017	-3.809	-3.529	-3.442	-4.282	-2.083	-2.391	-2.635	0.245	0.266	0.27	0.093	0.373	0.56	-0.962	1.916	1.517	-0.422	-0.414	-2.04	-0.153	0.224	-2.153	-3.445	-1.443	-4.305	-3.113	-2.761	-3.711	-4.025	-2.566	-3.587	-2.636	-0.917	-0.742	-1.664	-0.189	1.523
"YKL006W"	0.243	0.256	-1.828	-2.75	-1.283	-0.49	-0.9195	-1.949	-3.315	-3.5445	-0.251	0.229	0.897	-4.299	-3.901	-3.389	-2.854	-2.383	-3.16	-5.113	-2.919	-3.049	-3.027	-2.997	-4.545	-2.315	-2.442	-2.791	-0.065	0.189	0.49	0.042	0.362	0.2	-1.404	1.545	1.339	-0.528	-0.233	-2.167	-0.113	0.175	-2.458	-3.02	-1.582	-4.432	-3.39	-2.92	-4.756	-4.221	-2.993	-3.593	-2.88	-1.313	-1.35	-2.032	0.348	1.26
"YKL035W"	0.684	-0.107	2.459	4.283	1.986	-0.137	2.604	2.527	1.539	2.1225	0.38	0.189	-0.182	3.076	1.186	1.74	1.542	0.624	1.096	-2.294	1.995	0.904	0.338	-0.846	1.918	1.737	1.553	0.942	0.171	0.536	-0.152	0.163	0.595	0.304	1.984	-1.071	-0.156	-0.223	0.476	1.148	0.439	1.127	0.058	4.293	2.929	0.629	0.056	0.577	3.697	0.93	0.443	2.053	2.406	2.932	2.887	3.021	-0.076	-0.116
"YKL099C"	-0.52	-0.208	-4.464	-3.88	-1.863	0.108	-1.339	-2.796	-3.564	-3.037	0.308	0.001	0.577	-4.145	-2.015	-2.146	-1.585	-1.353	-1.537	-3.312	-2.489	-2.585	-1.842	-1.608	-3.26	-1.746	-1.419	-1.618	-0.174	-0.188	-0.406	-0.104	0.187	0.19	-1.41	0.741	0.457	-0.394	-0.903	-1.348	-0.517	-0.309	NaN	-3.926	-1.9	-1.88	-1.394	-0.125	-3.486	-1.59	-1.288	-0.837	-1.472	-1.993	-2.753	-2.401	0.216	0.111
"YKL126W"	0.1425	-0.116	1.38	1.085	0.338	0.203	0.748	1.355	1.344	1.209	0.062	0.2025	-0.051	0.603	-0.099	0.589	0.042	-0.245	0.314	-2.583	0.976	0.176	0.06	-0.595	0.209	-0.08	-0.334	-0.412	-0.1625	0.0425	-0.131	0.058	0.578	0.058	0.622	-0.479	0.14	-0.217	0.06	0.899	0.42	-0.008	-0.213	1.009	0.503	-0.635	-0.425	-0.417	-0.019	-0.405	-0.403	-1.05	-0.254	0.182	-0.734	0.517	-0.72	-0.134
"YKR049C"	-0.228	0.185	1.562	1.271	0.59	0.326	0.692	1.158	2.04	2.185	0.286	-0.343	-0.485	3.555	2.854	1.31	3.364	0.882	1.824	1.794	1.362	2.343	2.234	2.243	2.17	1.224	1.151	1.021	0.148	0.154	-0.246	-1.12	-0.154	-0.126	0.492	-1.115	-0.449	0.061	0.709	1.27	0.323	-0.026	2.423	2.4	2.754	3.364	3.734	2.665	3.098	3.224	2.542	3.696	3.131	2.654	3.478	3.045	0.627	-0.266
"YKR081C"	-0.515	0.363	-4.459	-3.308	-1.663	0.228	-1.493	-1.58	-3.81	-3.431	0.058	-0.09	-0.032	-4.081	-2.662	-2.469	-1.772	-1.667	-1.821	-4.632	-2.467	-3.278	-2.505	-1.918	-3.734	-2.064	-2.119	-2.118	0.104	0.021	-0.169	-0.116	0.326	0.336	-1.931	0.953	0.491	-0.835	-0.519	-1.645	-0.417	0.574	-1.349	-3.505	-3.878	-3.386	-2.103	-1.623	-3.261	-2.433	-1.814	-1.48	-1.874	-2.161	-2.332	-1.814	0.865	-0.268
"YKR094C"	-0.017	0.07	-1.518	-2.14	-1.513	-0.321	-0.721	-2.109	-2.994	-3.29	0.74	0.049	0.573	-3.138	-2.914	-2.619	-2.274	-1.978	-2.41	-4.383	-2.065	-2.102	-2.333	-1.972	-2.785	-1.579	-1.746	-1.839	0.003	-0.159	-0.057	0.062	-0.195	0.016	-0.537	1.492	1.325	-0.161	-0.193	-2.122	0.178	0.078	-2.035	-2.821	-1.357	-3.423	-2.549	-1.96	-3.694	-3.422	-2.865	-3.683	-1.289	-1.209	-1.179	-1.734	0.125	0.909
"YLL008W"	-0.334	0.13	-4.973	-4.981	-1.744	-0.132	-2.133	-3.751	-4.808	-4.019	-0.302	0.427	0.641	-5.659	-3.509	-3.627	-2.64	-2.165	-3.282	-6.113	-3.126	-2.364	-2.55	-1.847	-3.473	-2.41	-2.154	-2.612	0.057	0.126	0.064	0.157	0.142	-0.01	-1.104	0.683	0.524	-0.321	-0.423	-1.714	-0.488	0.067	-1.906	-4.642	-1.672	-1.915	-1.563	-0.713	-3.042	-2.072	-1.554	-2.201	-0.765	-1.826	-3.002	-2.689	-0.406	0.27
"YLL044W"	-0.077	-0.059	-1.737	-2.526	-1.821	-0.073	-0.773	-2.196	-3.582	-4.162	-0.619	-0.22	0.702	-4.871	-3.525	-3.158	-2.869	-2.211	-2.963	-6.48	-2.802	-3.313	-3.031	-3.269	-3.872	-1.944	-2.654	-2.736	-0.165	0.597	0.724	0.509	0.229	-0.086	-1.501	1.189	1.265	-0.863	-0.391	-2.173	-0.275	-0.21	-2.227	-3.517	-1.29	-3.189	-2.774	-2.055	-3.806	-2.77	-2.196	-2.935	-2.593	-1.41	-2.574	-2.756	0.586	1.221
"YLR009W"	-0.056	0.27	-4.735	-4.564	-1.981	-0.152	-1.697	-2.897	-4.204	-3.864	0.098	0.311	0.385	-4.675	-2.624	-2.259	-2.408	-1.898	-2.126	-5.388	-2.78	-2.737	-2.637	-1.705	-3.455	-2.226	-1.984	-2.757	-0.225	0.253	0.227	0.236	-0.163	-0.064	-2.176	1.123	0.471	-0.455	-0.369	-1.555	-0.357	-0.094	-1.779	-4.344	-1.411	-2.229	-1.452	-1.458	-3.361	-1.953	-1.228	-1.257	-1.763	-2.601	-2.653	-2.19	-0.086	-0.103
"YLR058C"	0.139	0.23	0.481	0.451	2.367	0.549	-0.434	0.207	0.723	0.84	-0.269	0.326	0.909	-2.467	-2.362	-2.112	-0.776	-0.496	-1.837	-5.454	1.0	-1.938	-0.91	-1.465	0.07	0.726	-0.567	-0.764	0.578	0.44	0.18	-0.244	0.35	0.286	-1.293	-1.128	-0.637	-0.317	0.78	0.125	0.864	0.06	-0.939	1.418	-3.37	-0.942	-1.198	-1.554	-1.327	-0.989	-0.841	-1.284	-3.132	-2.43	-2.856	-2.356	0.439	1.222
"YLR061W"	-0.3	-0.063	-1.678	-2.212	-1.602	-0.246	-0.743	-1.901	-3.322	-3.851	-0.079	-0.041	0.522	-4.925	-4.297	-4.115	-3.603	-2.908	-3.127	-6.591	-2.641	-3.239	-3.818	-3.021	-4.326	-2.164	-2.433	-2.88	-0.222	-0.226	-0.205	-0.12	0.144	0.078	-1.636	1.431	0.977	-0.602	-0.36	-1.984	-0.292	0.098	-2.482	-2.697	-2.05	-2.468	-2.246	-1.804	-4.004	-2.793	-2.94	-3.717	-2.08	-1.279	-1.204	-2.073	0.24	0.696
"YLR062C"	-0.497	0.04	-2.174	-2.343	-2.188	-0.143	-0.995	-2.335	-3.557	-4.079	-0.107	0.125	0.608	-4.53	-4.418	-3.352	-3.067	-3.127	-4.077	-6.896	-2.606	-3.6	-3.985	-3.965	-4.96	-2.666	-3.209	-3.706	0.005	-0.186	0.055	-0.081	0.031	0.023	-1.516	1.506	1.269	-0.509	-0.191	-2.245	0.031	0.401	-2.675	-3.134	-1.314	-3.806	-3.723	-3.681	-4.54	-4.001	-2.894	-3.419	-2.779	-1.518	-1.53	-2.5	0.618	0.68
"YLR129W"	-0.231	-0.072	-4.096	-3.022	-1.526	0.034	-1.034	-2.347	-3.676	-3.658	-0.286	0.251	0.33	-4.83	-2.28	-3.089	-2.498	-2.028	-2.718	-4.914	-3.214	-3.12	-2.647	-2.185	-3.861	-2.137	-1.99	-2.481	-0.102	-0.04	0.03	-0.11	-0.203	0.139	-1.836	0.345	0.456	-0.236	-0.206	-1.327	-0.049	0.065	-2.011	-4.108	-0.32	-3.422	-2.781	-1.86	-4.119	-2.843	-2.213	-1.072	-1.435	-2.048	-2.361	-2.087	0.07	0.19
"YLR175W"	-0.733	-0.196	-4.176	-3.679	-2.134	-0.123	-1.829	-3.07	-4.552	-4.902	-0.659	0.105	0.63	-5.607	-3.276	-2.921	-2.657	-2.484	-3.068	-5.468	-3.43	-3.996	-3.068	-3.13	-4.678	-2.413	-2.762	-3.408	-0.09	0.012	0.11	2.256	0.51	0.21	-1.896	1.288	1.009	-0.724	-0.936	-1.58	-0.794	-0.265	-2.422	-4.431	-2.474	-3.995	-3.16	-1.549	-4.338	-2.959	-2.455	-2.526	-2.564	-2.978	-2.879	-2.89	0.365	0.108
"YLR177W"	0.156	0.248	3.3095	2.643	1.001	-0.313	0.9175	2.3305	3.1295	2.898	0.0315	0.062	-0.0035	1.7235	0.9465	0.4595	0.901	0.77	0.3595	1.036	1.164	2.2765	1.9135	1.2705	0.608	0.605	0.7545	0.934	0.206	0.2015	0.3215	0.094	0.267	0.103	1.1165	-0.103	-0.191	-0.071	0.4195	0.4755	0.2745	0.1375	1.064	3.1335	2.593	1.244	1.235	1.845	3.171	2.094	1.505	2.555	1.298	2.215	1.039	1.893	-0.824	-0.192
"YLR185W"	-0.251	0.003	-1.94	-1.728	-1.583	-0.299	-1.143	-1.439	-2.305	-2.948	-0.124	0.093	0.915	-4.508	-3.498	-3.001	-2.551	-2.201	-2.749	-5.928	-2.356	-2.94	-2.559	-2.616	-4.019	-2.046	-2.136	-2.209	0.015	-0.137	0.834	-0.353	0.163	-0.006	-1.03	1.634	1.254	-0.366	0.303	-2.242	-0.21	0.0	-2.023	-2.487	-1.188	-3.712	-3.007	-2.345	-3.488	-3.242	-2.643	-3.35	-2.749	-0.842	-0.887	-1.615	0.121	0.545
"YLR197W"	-0.542	-0.125	-4.98	-4.044	-2.606	-0.061	-1.636	-3.638	-4.76	-5.179	-0.355	0.018	-0.13	-5.817	-3.612	-3.173	-2.795	-2.789	-3.255	-5.242	-3.387	-3.899	-3.238	-3.258	-5.671	-2.611	-3.067	-3.716	0.04	0.1	0.297	-0.163	0.467	0.131	-1.423	1.432	0.956	-0.514	-2.509	-1.869	-0.319	-0.315	-2.488	-5.072	-1.807	-4.983	-3.17	-1.095	-4.545	-3.045	-2.593	-2.321	-2.826	-2.647	-2.994	-2.559	-0.161	-0.75
"YLR198C"	-0.32	0.347	-4.57	-4.694	-2.132	-0.204	-1.876	-3.371	-4.643	-4.805	-0.331	-0.175	-0.004	-5.143	-2.989	-3.1	-2.376	-2.064	-2.252	-3.401	-3.057	-3.471	-3.106	-2.998	-5.282	-2.521	-3.21	-3.479	0.201	0.062	0.012	-0.046	0.13	0.231	-1.384	1.585	1.291	-0.321	-0.631	-1.66	-1.096	-0.046	-2.698	-4.143	-1.522	-2.271	-2.674	-0.872	-3.761	-2.805	-1.946	-1.701	-2.188	-2.449	-2.231	-2.734	-0.305	-0.802
"YLR325C"	0.377	0.197	-1.897	-1.721	-1.114	-0.088	-0.058	-1.92	-2.61	-3.056	-0.042	0.186	0.742	-4.528	-3.555	-3.974	-3.918	-2.681	-3.034	-5.498	-2.676	-3.178	-3.753	-2.76	-4.948	-2.81	-2.802	-3.314	0.027	0.031	0.55	0.548	0.215	0.292	-1.149	1.573	1.259	-0.05	-0.384	-2.301	-0.304	0.158	-2.253	-2.735	-2.368	-2.769	-2.034	-1.466	-2.866	-2.701	-2.834	-3.594	-2.384	-1.643	-2.482	-2.666	-0.206	1.195
"YLR448W"	-0.924	0.104	-1.853	-2.009	-1.44	-0.081	-1.489	-1.814	-2.821	-3.482	-0.044	-0.001	0.55	-4.815	-3.882	-3.116	-3.083	-2.052	-2.688	-5.971	-2.157	-3.425	-3.454	-3.179	-4.891	-2.352	-2.521	-2.621	0.026	-0.196	-0.129	0.196	0.044	0.011	-1.501	1.257	1.138	-0.51	-0.315	-2.034	0.268	0.501	-2.337	-2.983	-1.732	-4.85	-3.788	-3.07	-4.791	-4.505	-3.161	-3.636	-2.75	-1.258	-1.474	-1.818	0.064	0.968
"YML093W"	-0.621	0.08	-4.507	-2.615	-1.452	0.446	-1.73	-2.741	-3.357	-3.472	-0.166	-0.055	0.41	-4.947	-2.836	-1.941	-1.822	-1.272	-2.007	-5.889	-2.751	-2.797	-2.437	-1.818	-3.309	-1.656	-1.961	-2.236	0.056	-0.234	-0.216	-0.457	0.04	0.305	-1.436	1.535	0.635	-0.17	-0.367	-1.695	-0.698	0.232	-1.522	-3.703	-0.963	-2.999	-2.533	-2.258	-4.548	-2.489	-2.192	-2.403	-1.353	-2.518	-2.62	-2.353	-0.296	-0.68
"YMR014W"	-0.939	0.152	-3.36	-1.984	-0.814	0.246	-0.957	-1.961	-2.533	-2.14	0.343	-0.202	0.178	-3.923	-1.56	-1.6	-1.193	-0.69	-0.916	-4.826	2.39	-2.229	-1.468	-1.256	-2.668	-1.512	-1.587	-1.607	-0.159	-0.193	-0.261	-0.196	-0.209	0.147	-2.168	0.401	0.122	-0.179	-0.459	-1.295	-0.572	0.223	-0.157	-2.796	-1.165	-2.793	-2.888	-2.137	-3.974	-2.269	-2.581	-1.349	-0.576	-1.939	-1.604	-1.902	0.176	-0.537
"YMR105C"	0.999	-0.342	7.421	6.858	4.865	-0.359	4.63	6.445	6.665	6.783	2.033	-0.198	-2.06	4.909	4.43	4.356	4.635	4.095	3.333	0.781	4.172	2.982	2.866	1.873	3.095	3.543	4.109	3.285	-0.515	0.576	0.612	0.405	0.665	0.129	3.555	-1.544	-1.351	0.215	0.72	1.973	1.084	0.595	3.806	6.837	3.68	4.164	3.912	3.617	6.583	5.468	3.536	4.665	3.679	4.512	3.829	3.825	-1.193	-0.97
"YMR131C"	-0.521	0.136	-4.819	-4.183	-2.431	0.161	-1.969	-3.849	-4.525	-4.347	-0.29	-0.057	0.435	-5.631	-3.641	-3.811	-2.698	-2.414	-2.914	-6.665	-3.153	-3.547	-2.98	1.316	-4.277	-2.776	-2.829	-3.214	-0.052	0.104	0.023	-0.284	0.176	-0.015	-1.198	0.183	0.374	-0.092	-0.027	-1.718	0.015	-0.093	-1.789	-4.674	-1.854	-1.412	-2.944	-2.054	-4.181	-2.68	-1.908	-2.616	-1.175	-2.149	-3.389	-2.21	0.117	-0.636
"YMR170C"	0.424	0.032	5.429	5.057	4.658	0.08	2.685	4.008	5.21	5.684	1.147	0.315	-0.409	6.85	2.236	0.522	3.746	1.825	2.011	0.924	1.1	3.8	2.053	2.599	4.668	3.541	5.035	5.147	-0.034	0.262	-0.09	0.187	0.299	1.201	3.94	-1.197	-1.189	-0.125	0.529	2.755	0.555	-1.834	3.427	6.459	3.507	4.934	4.039	3.912	6.253	4.167	2.972	3.706	5.329	4.258	5.006	5.472	-1.039	-0.275
"YMR290C"	-0.623	0.077	-3.64	-3.689	-2.627	0.154	-1.56	-2.957	-3.89	-3.624	-0.303	0.069	0.433	-5.132	-3.842	-3.455	-3.073	-2.719	-3.471	-5.217	-3.458	-3.243	-3.378	-2.625	-4.614	-3.037	-3.295	-3.716	-0.012	0.361	0.471	0.392	-0.086	-0.092	-1.658	0.729	1.055	-0.394	-0.349	-1.853	-0.468	-0.323	-2.957	-4.129	-1.05	-4.028	-3.856	-2.84	-4.544	-3.558	-3.243	-3.217	-2.307	-1.701	-1.911	-2.141	0.545	-0.431
"YNL002C"	-0.613	-0.023	-4.666	-4.07	-1.784	0.027	-2.094	-3.305	-4.559	-4.222	-0.123	-0.031	0.389	-5.196	-2.914	-2.785	-2.336	-1.951	-2.475	-3.468	-2.839	-3.072	-2.59	-2.178	-3.426	-2.209	-1.856	-2.186	-0.055	-0.412	0.235	0.08	-0.21	-0.059	-1.829	0.996	0.499	-0.778	-0.454	-1.453	-0.697	-0.095	-1.942	-4.603	-2.68	-2.92	-2.649	-1.781	-4.466	-2.41	-2.181	-2.211	-1.626	-2.083	-1.86	-1.552	0.074	0.012
"YNL075W"	-1.18	-0.342	-3.86	-3.164	-2.073	0.136	-1.324	-2.558	-3.304	-2.768	-0.141	0.085	-0.126	-4.782	-2.75	-2.189	-1.683	-1.75	-1.696	-3.339	-2.433	-3.095	-2.494	-1.5	-2.149	-1.222	-0.979	-1.31	-0.201	-0.228	-0.397	-0.041	-0.211	-0.203	-1.308	0.545	0.416	-0.476	-0.582	-1.121	-0.319	0.337	-1.614	-3.301	-2.754	-2.459	-1.475	-0.926	-3.779	-2.192	-1.642	-1.957	-2.342	-2.202	-2.141	-1.961	0.186	-0.4
