	"819.DY1457 (wild type) 3 mM vs. 61 nM zinc"	"825.DY (zap1) 3 mM vs. 61 nM zinc"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"1012.YPD 12 h (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1139.DY1457 (wild type) 3 mM vs. 76 nM zinc"	"2966.WT vs Lpz8 null cells in high Cu-repeat"	"3020.WT vs lpz8 null cells in high Cu"	"4874.1M sorbitol - 90 min"	"14081.FY2(B) vs. FY2(A) 23.5 hours"	"27106.P1Comp 33 hr 5 min Phosphate Batch vs Chemostat Comparison"	"28857.P2Comp 25 hr 43 min Phosphate Batch vs Chemostat Comparison2"	"30773.Pomona/Brown Sir3x red"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"34348.wt_hypo_osmotic_shock_7min"	"34349.wt_hypo_osmotic_shock_16min"	"34353.delPPT1_hypo_osmotic_shock_7min"	"34354.delPPT1_hypo_osmotic_shock_15min"	"34879.S4Comp 10 hr 00 min Sulfate Batch vs Chemostat Comparison"	"34881.S4Comp 11 hr 00 min Sulfate Batch vs Chemostat Comparison (rescan)"	"34882.S4Comp 13 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34883.S4Comp 14 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34884.S4Comp 15 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34885.S4Comp 34 hr 20 min Sulfate Batch vs Chemostat Comparison"
"YMR177W"	0.486	0.692	-1.177	-0.675	2.032	1.702	-0.821	-1.15	-2.102	-1.37	-0.997	-1.755	-1.089	0.443	-0.11	-0.376	0.123	-0.32	-0.001	-1.511	0.092	-1.521	-1.892	-2.167	-1.341	-0.256	-0.539	-0.43	-0.204	-1.47	-1.567	-0.526	-2.138	-0.995	-0.91
"YMR205C"	0.051	0.932	-1.433	-0.932	-1.015	-4.53	-1.007	-1.144	-1.314	0.455	-1.0	-1.671	-2.366	0.594	0.137	0.06	0.155	-0.34	-0.121	0.722	0.316	-1.828	-2.085	-0.952	-1.368	0.328	0.282	0.256	0.042	-1.448	-3.208	-1.58	-1.177	-1.526	-2.848
"YMR215W"	1.562	1.042	-0.683	-1.425	-3.705	-4.406	-1.896	-1.984	-1.783	-3.365	-2.939	-2.956	-3.467	1.098	0.281	0.281	0.0	-0.32	-1.214	0.223	0.169	-2.516	-2.595	-1.493	-2.789	-0.231	-0.222	-0.053	0.077	-2.384	-3.776	-2.586	-2.739	-2.197	-2.507
"YMR217W"	0.844	2.016	-5.293	-3.056	-4.735	-5.29	-3.48	-2.869	-4.287	-4.118	-3.713	-4.205	-4.469	1.286	-0.26	-0.163	-0.204	-0.401	-1.962	-0.689	0.2045	-3.621	-2.927	-4.222	-3.421	0.069	0.107	0.335	0.189	-3.675	-5.387	-2.244	-2.483	-2.27	-3.237
"YMR220W"	0.492	NaN	-1.178	-1.153	-1.869	-3.12	-0.64	-0.506	-0.537	-0.881	-1.468	-2.008	-1.728	0.161	-0.164	-0.042	0.058	-0.277	-0.063	-0.337	0.1755	-1.144	-1.199	-0.754	-1.128	-0.042	0.0	0.058	-0.035	0.379	-1.377	-0.321	-0.797	-0.924	-1.043
"YMR290C"	0.874	1.944	-5.132	-3.842	-3.509	-5.217	-3.243	-3.378	-4.614	-3.716	-3.219	-3.665	-2.938	1.315	-0.241	-0.227	0.063	0.103	-0.244	-0.202	0.1175	-4.028	-3.856	-4.544	-3.558	-0.146	-0.41	0.014	-0.357	-2.59	-2.23	-2.241	-2.219	-0.939	-2.675
"YNL061W"	0.718	1.639	-4.329	-2.031	-2.147	-4.27	-2.519	-2.417	-3.268	-1.548	-1.276	-1.357	-1.899	0.753	-0.809	-0.874	0.247	1.06	-0.115	0.176	-0.0205	-2.055	-1.808	-2.571	-1.387	0.255	0.557	0.314	0.015	-2.265	-1.807	-1.407	-1.512	-1.664	-1.192
"YNL113W"	-0.067	0.396	-5.347	-3.34	-2.537	-7.034	-3.971	-2.612	-3.24	-1.782	-1.889	-2.222	-2.123	0.125	-0.162	-0.305	0.146	0.035	0.723	0.576	-0.0015	-2.809	-2.407	-4.226	-2.606	0.001	0.066	0.109	-0.07	-1.573	-1.048	-0.513	-0.991	-0.801	-0.609
"YNL114C"	0.202	0.237	-5.245	-2.663	-3.791	-6.572	-2.827	-2.978	-3.032	-2.221	-1.96	-2.004	-2.111	0.171	-0.215	-0.319	0.019	-0.109	0.171	0.497	-0.226	-2.905	-1.754	-4.14	-2.842	-0.112	-0.117	0.052	-0.093	-0.865	-2.67	-0.999	-1.579	-0.838	-1.363
"YNL209W"	1.452	1.865	-3.795	-3.591	-4.055	-5.803	-3.728	-2.985	-4.059	-2.99	-3.596	-3.829	0.396	1.974	0.165	0.045	0.069	-0.128	-1.879	-1.591	0.5345	-4.586	-3.709	-4.209	-4.158	0.407	0.411	0.54	0.198	-2.815	-3.625	-1.905	-2.282	-2.134	-2.457
