	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"497.Heat Shock 000 minutes"	"781.Heat Shock 000 minutes (series 2)"	"797.Heat Shock 000 minutes (series 3)"	"809.DBY7286 37degree heat - 20 min"	"811.DES459 (mec1) + heat 20 min"	"813.MHY1 (dun1) + heat 20 min"	"814.DBYmsn2-4- 37degree heat - 20 min"	"819.DY1457 (wild type) 3 mM vs. 61 nM zinc"	"834.1.5 mM diamide (30 min)"	"836.1.5 mM diamide (40 min)"	"838.1.5 mM diamide (50 min)"	"840.1.5 mM diamide (60 min)"	"842.1.5 mM diamide (90 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"863.Amino acid + adenine starvation 1 h"	"865.Amino acid + adenine starvation 6 h"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"978.wt_plus_gamma_20_min"	"984.MHY1 (crt1) vs. CRY1 (wild type) - log phase"	"987.constant 0.32 mM H2O2 (50 min) redo"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1139.DY1457 (wild type) 3 mM vs. 76 nM zinc"	"1258.DBYyap1 + 37degree heat (repeat)"	"2559.29C to 33C - 5 min"	"2560.29C to 33C - 15 min"	"4780.DBYtrr1 + 0.1 mM H2O2 - 30 min"	"4783.29C to 33C -30 min"	"4787.29C +1M sorbitol to 33C + 1M sorbitol - 30 min"	"5237.DES460 (wt) - mock irradiation - 5 min"	"5245.DES459 (mec1) - mock irradiation - 30 min"	"5246.DES459 (mec1) - mock irradiation - 60 min"	"6361.DBYyap1- 37degree heat - 20 min (redo)"	"6679.trr - 0.1 mM H2O2 - 10 min"	"6685.trr - 0.3 mM H2O2 - 10 min"	"6688.trr - 0.3 mM H2O2 - 30 min"	"7528.DBYyap1 0.32 mM H2O2 - 20 min"	"7536.25C -- 30 min"	"7537.25C -- 45 min"	"7538.25C -- 60 min"	"7539.25C -- 90 min"	"7540.pRS-ROX1 GAL media"	"7760.Na 45min"	"7763.Na+FK 30min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"8227.dtt 000 min"	"8233.dtt 120 min"	"8234.dtt 240 min"	"11466.yO1 test hyb"	"12733.Nitrogen Depletion 8 h"	"12734.Nitrogen Depletion 12 h"	"12741.Nitrogen Depletion 1 h"	"12744.heat shock 17 to 37, 20 minutes"	"13058.wt/crz1 Na 30min (2)"	"13065.Na/Na+FK 30min (1)"	"13133.Ca/Ca+FK 30min (2)"	"21638..24 mM H2O2- 070 minutes"	"21657..24 mM H2O2- 063 minutes"	"21659..24 mM H2O2- 077 minutes"	"32253.DBY8778_heat_shock2_15min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34360.batch 02X25 4"	"34362.batch 02X25 5"	"34365.batch 02X25 6"	"34368.batch 02X25 7"	"38155.03II01 batch p11"	"42064.U3Comp 12 hr 10 min Uracil Batch vs Chemostat Comparison"
"YEL054C"	-2.122	-2.095	-2.314	-1.907	-3.528	1.093	1.203	1.075	-1.382	-2.603	-2.173	-1.88	2.108	-1.344	-1.074	-0.847	-0.725	-0.6	-3.654	-2.711	-2.761	-1.871	-1.511	-2.981	-2.98	-7.056	-2.484	-0.985	-0.701	-3.039	-3.52	-3.003	-2.232	-0.675	0.673	-0.807	-3.347	-2.336	-2.777	-2.579	-2.504	-3.005	-3.554	2.322	-1.415	0.471	-0.05	-1.198	0.258	0.003	-0.688	-0.487	-0.176	-1.753	-1.6	-1.829	-1.922	-1.544	1.242	0.87	1.93	1.717	0.522	-1.975	-0.831	-2.046	-1.876	1.382	-1.16	-1.691	-2.202	-3.541	-2.696	-2.067	-3.251	0.9705	0.992	0.757	-2.3705	-2.9535	-2.2965	-2.101	-4.422	-2.487	-3.239	-3.815	-2.936	-2.194	-2.75	-1.911	-2.748	-3.7	-2.85	-1.45	1.154
"YER102W"	-1.613	-2.227	-1.876	-2.922	-3.415	1.351	1.084	1.107	-1.667	-2.845	-2.09	-2.081	2.757	-1.302	-1.36	-1.134	-0.911	-0.485	-3.932	-3.965	-3.177	-2.924	-2.3	-2.578	-3.64	-6.434	-2.571	-1.581	-0.375	-3.101	-3.625	-3.37	-3.204	-0.814	0.673	-0.685	-4.286	-2.008	-2.613	-2.593	-2.579	-3.326	-3.859	2.71	-1.698	0.095	-0.393	-1.695	-0.298	-0.353	-0.375	-0.423	-0.121	-2.051	-1.467	-1.777	-1.637	-1.055	1.003	0.481	1.491	1.368	-0.175	-1.83	-0.799	-1.931	-1.792	1.012	-0.711	-2.128	-2.388	-3.067	-2.133	-1.897	-2.712	0.7	0.576	0.604	-2.222	-2.757	-2.373	-2.448	-3.324	-2.758	-2.202	-2.385	-2.329	-2.436	-2.527	-1.998	-2.787	-4.388	-2.774	-1.941	2.134
"YER117W"	-1.836	-1.868	-2.379	-2.386	-3.056	1.276	1.391	0.782	-1.481	-2.019	-1.321	-1.428	1.9	-1.022	-1.13	-0.887	-0.694	-0.387	-2.982	-2.613	-2.377	-1.817	-2.008	-1.95	-2.832	-5.642	-2.458	-1.15	-0.332	-3.05	-3.141	-2.843	-2.483	-0.717	0.632	-0.516	-3.768	-1.917	-2.534	-2.571	-2.312	-2.562	-2.976	1.414	-1.745	0.113	-0.14	-1.322	-0.03	-0.004	-0.327	-0.547	-0.197	-1.753	-1.189	-0.888	-1.505	-0.997	0.981	0.372	1.76	1.366	0.346	-1.82	-0.903	-1.931	-1.863	1.184	-0.824	-1.573	-1.876	-2.734	-1.852	-2.116	-3.314	0.988	0.609	0.6015	-2.4815	-3.1365	-2.6395	-2.377	-3.319	-2.632	-2.403	-3.238	-3.345	-2.147	-2.128	-1.531	-2.478	-2.922	-2.78	-2.069	1.233
"YER131W"	-1.816	-1.733	-2.354	-3.171	-3.29	1.224	1.29	1.25	-1.403	-2.511	-1.797	-1.543	2.084	-0.976	-1.179	-0.707	-0.518	-0.426	-2.813	-3.262	-2.7	-2.3	-1.895	-2.47	-3.664	-6.55	-2.634	-1.156	-0.403	-2.621	-2.795	-2.905	0.589	-0.52	0.564	-0.428	-4.139	-2.089	-2.2	-2.498	-2.105	-2.654	-3.304	2.33	-1.342	0.045	-0.319	-1.557	-0.119	-0.009	-0.232	-0.504	-0.043	-1.863	-1.214	-1.52	-1.561	-0.6	0.975	0.501	1.781	1.329	0.02	-1.891	-1.543	-2.595	-2.302	1.014	-1.122	-2.392	-2.4735	-2.775	-1.296	-1.433	-3.097	0.9415	1.2575	0.977	-1.8615	-2.3985	-1.366	-2.338	-3.884	-3.237	-2.657	-3.578	-4.068	-2.732	-3.858	-1.756	-2.465	-3.708	-3.24	-2.437	2.555
"YFR031BC"	-1.637	-2.494	-2.027	-3.278	-3.975	1.232	1.306	0.846	-1.592	-2.877	-2.519	-2.441	2.878	-1.486	-1.45	-1.145	-0.911	-0.602	-4.567	-3.823	-3.84	-2.931	-2.798	-2.801	-4.702	-7.029	-2.484	-1.452	-0.304	-3.328	-3.949	-3.594	-3.523	-0.974	0.448	-1.188	-4.74	-2.253	-2.521	-2.912	-3.164	-3.863	-4.146	2.869	-1.975	0.242	-0.331	-1.843	-0.249	-0.566	-1.003	-0.869	-0.272	-2.031	-1.619	-2.277	-1.831	-1.422	0.823	0.909	1.634	1.315	-0.212	-2.164	-1.208	-2.365	-2.146	0.924	-0.779	-2.075	-2.438	-3.692	-2.329	-2.859	-3.021	0.691	1.236	0.703	-3.322	-3.481	-2.905	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.236
"YGL030W"	-1.664	-2.291	-1.943	-2.592	-0.272	1.262	1.167	1.037	-1.531	-2.277	-1.631	-1.756	1.208	-1.042	-1.103	-0.964	-0.675	-0.562	-3.613	-2.888	-2.582	-1.861	-2.363	-2.008	-3.668	-5.484	-2.315	-1.44	-0.679	-2.388	-2.751	-2.6	-2.361	-0.763	0.274	-1.128	-3.284	-2.059	-2.592	-2.534	-1.668	-2.044	-3.011	1.403	-1.685	0.026	-0.2	-2.064	-0.228	-0.272	-0.467	-0.411	-0.188	-1.742	-1.651	-1.888	-2.589	-0.563	0.775	0.938	1.337	1.572	-0.169	-1.538	-0.982	-1.841	-2.095	1.163	-0.892	-1.925	-1.6485	-2.573	-1.762	-2.376	-2.603	0.91	0.7145	0.897	-1.5725	-1.6345	-2.391	-2.86	-3.939	-2.871	-2.529	-3.575	-2.76	-2.198	-3.156	-1.372	-2.466	-3.588	-2.564	-1.95	1.928
"YGL031C"	-1.911	-2.424	-1.886	-3.443	-3.97	1.133	1.047	1.003	-1.871	-3.232	-2.776	-1.709	2.221	-1.235	-1.404	-1.087	-1.004	-0.631	-3.366	-4.285	-3.732	-2.9	-1.846	-3.104	-3.683	-5.763	-2.209	-1.287	-0.61	-3.041	-2.881	-3.063	-2.704	-0.757	0.653	-0.655	-5.191	-2.42	-2.475	-2.899	-2.92	-3.061	-3.473	2.166	-1.748	0.022	-0.447	-1.815	-0.41	-0.249	-0.255	-0.525	0.098	-2.077	-1.29	-1.762	-1.391	-0.963	0.717	0.678	1.492	1.123	0.069	-2.226	-0.771	-2.016	-1.743	0.979	-1.034	-2.732	-2.655	-3.595	-1.99	-1.385	-3.282	0.76	1.167	0.709	-2.062	-2.68	-2.166	-2.401	-3.814	-2.458	-2.321	-2.773	-2.852	-1.578	-1.636	-1.277	-2.229	-3.943	-2.844	-1.747	2.388
"YGL076C"	-1.995	-2.09	-1.99	-2.744	-3.119	1.317	1.147	1.006	-1.533	-2.349	-1.633	-1.867	2.346	-1.355	-1.333	-1.087	-0.953	-0.559	-3.969	-3.136	-2.73	-2.564	-2.446	-2.401	-3.976	-5.667	-2.396	-1.338	-0.407	-3.32	-2.996	-2.857	-1.957	-1.184	0.398	-1.114	-4.142	-2.037	-2.568	-2.648	-2.836	-2.79	-3.782	2.882	-1.617	0.309	-0.122	-1.701	0.077	-0.078	-0.515	-0.326	-0.169	-1.755	-2.046	-2.193	-2.361	-0.901	1.071	0.8	1.549	1.454	-0.174	-1.847	-1.223	-1.888	-1.94	1.119	-0.865	-2.239	-1.8735	-2.969	-2.237	-2.099	-2.656	0.761	0.6395	0.7725	-2.2815	-2.4035	-2.0235	-2.625	-4.003	-3.509	-2.778	-3.347	-3.315	-2.544	-2.894	-2.332	-3.165	-2.783	-2.886	-1.4	1.928
"YGL102C"	-1.212	-1.538	-1.384	-2.074	-2.584	1.138	1.09	0.982	-0.91	-2.115	-1.28	-1.23	1.605	-0.755	-1.032	-0.985	-0.515	-0.239	-3.419	-2.825	-2.081	-1.973	-2.112	-2.356	-2.658	-5.65	-1.718	-1.171	-0.486	-3.301	-3.227	-3.132	0.794	-0.707	0.672	-0.696	-3.32	-1.921	-2.077	-2.144	-1.199	-1.938	-2.13	1.606	-0.912	-0.031	-0.169	-1.675	-0.298	-0.24	-0.466	-0.929	-0.542	-1.704	-1.5	-1.758	-2.217	-0.749	0.511	0.437	1.818	1.179	-0.14	-1.36	-0.759	-1.66	-1.666	1.168	-0.774	-1.881	-2.146	-2.0	-0.863	-1.483	-2.437	1.117	0.555	0.812	-2.325	-2.45	-2.343	-2.289	-3.42	-2.202	-1.7	-3.272	-2.955	-2.203	-3.411	-1.217	-2.15	-3.529	-2.764	-1.716	1.769
"YGL103W"	-1.262	-1.794	-1.348	-2.193	-2.762	1.058	1.082	0.935	-0.903	-1.799	-0.924	-1.396	1.619	-0.705	-0.825	-0.952	-0.923	-0.349	-3.452	-3.096	-2.876	-2.468	-2.373	-2.344	-1.452	-5.266	-2.039	-1.278	-0.245	-3.266	-2.763	-2.672	-1.362	-0.84	0.655	-0.597	-3.07	-1.762	-1.73	-2.048	-1.308	-1.735	-2.438	1.398	-0.862	-0.171	-0.036	-1.748	-0.364	-0.265	-0.334	-0.854	-0.276	-1.47	-1.716	-2.083	-2.138	-1.18	0.562	0.173	1.32	0.885	-0.218	-1.333	-0.995	-1.636	-1.202	1.053	-0.783	-2.136	-1.88166666666667	-2.015	-0.721	-1.373	-2.243	0.936333333333333	0.416333333333333	0.729	-2.24666666666667	-2.94866666666667	-2.47533333333333	-2.276	-2.976	-2.146	-1.398	-3.189	-2.934	-2.202	-2.821	-1.378	-2.157	-3.45	-2.506	-2.793	1.782
"YGL123W"	-1.71	-2.557	-2.339	-3.47	-4.378	1.27	1.264	1.189	-1.622	-2.649	-1.867	-2.338	2.601	-1.236	-1.272	-1.163	-0.869	-0.552	-3.781	-3.757	-3.726	-3.265	-2.802	-3.62	-4.004	-5.982	-3.013	-1.784	-0.456	-4.112	-3.654	-3.701	-3.959	-0.988	0.709	-1.024	-3.511	-2.071	-2.414	-2.278	-2.388	-2.65	-3.558	2.365	-2.041	0.096	-0.308	-1.745	-0.415	-0.515	-0.514	-1.227	-0.651	-2.265	-1.869	-2.178	-1.724	-0.257	1.082	0.577	2.379	1.558	-0.218	-2.323	-1.235	-2.138	-2.024	1.022	-0.652	-1.983	-2.357	-2.897	-2.648	-2.237	-3.308	0.792	0.982	0.775	-2.59	-3.516	-1.469	-2.292	-4.217	-3.27	-2.813	-4.123	-3.488	-2.693	-2.743	-1.729	-2.814	-3.674	-2.831	-2.536	1.964
"YGL135W"	-1.664	-2.285	-2.468	-3.231	-3.984	1.167	1.101	0.43	-1.72	-2.804	-2.361	-2.254	1.922	-1.323	-1.448	-1.169	-0.935	-0.574	-3.221	-2.573	-2.455	-2.548	-2.301	-2.942	-3.418	-5.687	-2.615	-1.432	-0.325	-3.217	-3.23	-3.119	-2.071	-0.828	0.532	-1.155	-3.581	-2.03	-2.512	-2.692	-2.267	-2.874	-3.825	2.2	-1.769	0.007	-0.293	-2.078	-0.449	-0.647	-0.656	-0.602	-0.229	-2.11	-1.941	-2.203	-2.496	-1.193	0.789	0.878	1.403	1.413	-0.163	-2.546	-1.336	-2.237	-2.539	1.065	-0.585	-1.561	-2.233	-3.473	-2.732	-2.497	-3.406	0.72	1.162	0.689	-2.517	-3.932	-1.665	-2.824	-3.443	-2.903	-2.236	-3.617	-3.009	-1.968	-2.509	-1.68	-2.197	-3.261	-2.609	-1.826	1.781
"YGL147C"	-2.372	-3.006	-2.704	-4.102	-4.319	1.427	1.186	1.241	-1.799	-2.743	-1.941	-1.954	3.056	-1.232	-1.516	-1.188	-0.829	-0.419	-3.892	-3.111	-3.32	-3.389	-2.422	-3.896	-3.921	-7.507	-2.882	-1.185	-0.559	-3.0	-3.753	-3.466	-3.166	-1.16	0.688	-0.672	-4.384	-2.459	-2.874	-3.388	-3.018	-2.755	-3.483	2.757	-1.835	0.131	-0.305	-2.055	-0.172	-0.25	-0.625	-0.857	-0.568	-2.02	-2.034	-2.147	-2.118	-0.956	0.815	0.572	1.579	1.209	-0.258	-2.522	-1.326	-2.365	-2.897	1.176	-1.177	-2.28	-2.532	-3.553	-2.765	-2.428	-3.829	1.022	0.915	0.999	-2.386	-3.008	-2.569	-2.3925	-3.1805	-2.6025	-3.0	-3.1585	-3.3875	-2.3945	-3.135	-1.6575	-1.946	-2.981	-2.2485	-1.834	1.2675
"YGR027C"	-1.27	-1.591	-1.539	-1.968	-2.341	1.159	1.017	0.858	-1.469	-2.317	-2.138	-1.247	1.564	-0.659	-0.848	-0.668	-0.558	-0.394	-3.433	-2.572	-1.843	-1.632	-1.57	-1.697	-2.797	-5.39	-2.445	-0.567	-0.272	-3.005	-2.616	-2.612	-2.307	-0.438	0.821	-0.373	-4.002	-1.612	-1.779	-1.889	-1.187	-1.867	-2.368	1.487	-1.452	0.063	-0.152	-1.725	-0.121	-0.126	-0.355	-0.791	-0.225	-1.786	-0.9	-1.369	-1.552	-0.914	0.81	0.453	1.42	1.221	0.231	-1.308	-0.462	-1.482	-1.504	1.142	-0.284	-1.673	-1.824	-2.186	-1.343	-1.555	-2.069	0.938	0.621	0.465	-2.092	-3.092	-2.3	-1.264	-2.956	-3.132	-1.687	-3.188	-2.624	-2.011	-2.186	-1.052	-1.951	-2.328	-2.034	-1.541	2.438
"YGR034W"	-2.251	-2.191	-2.26	-3.059	-2.884	1.076	1.008	1.165	-1.369	-2.272	-1.842	-1.25	1.368	-1.131	-1.2	-1.029	-0.786	-0.45	-3.922	-3.172	-3.096	-2.637	-2.107	-2.998	-3.052	-6.281	-2.746	-1.028	-0.108	-3.268	-2.935	-2.282	-2.579	-0.803	0.634	-0.826	-3.635	-2.067	-2.022	-2.01	-1.301	-1.401	-2.48	1.181	-1.5	-0.072	-0.354	-1.708	-0.366	-0.257	-0.498	-0.84	-0.45	-1.567	-1.672	-2.02	-2.439	-1.19	0.814	0.777	1.731	1.35	0.047	-2.077	-0.867	-1.605	-1.776	0.89	-0.786	-2.337	-1.469	-2.891	-1.63	-2.06	-2.708	0.656	0.825	0.619	-1.851	-2.725	-2.72	-2.451	-2.986	-3.003	-2.725	-4.347	-3.643	-2.741	-2.179	-0.146	-0.932	-1.101	-1.121	-0.967	2.19
"YGR085C"	-2.061	-1.952	-2.023	-2.966	-3.664	1.473	1.133	1.122	-1.501	-2.388	-1.715	-1.247	1.922	-1.064	-1.229	-0.866	-0.548	-0.323	-3.713	-3.301	-2.511	-2.202	-2.29	-2.146	-3.406	-6.059	-2.19	-1.043	-0.411	-3.071	-3.255	-3.013	-2.215	-0.672	0.853	-0.957	-4.359	-2.106	-2.625	-2.77	-3.306	-3.54	-4.179	2.15	-1.158	0.129	-0.3	-1.787	-0.037	0.081	-0.671	-0.65	-0.249	-1.815	-1.577	-1.825	-2.233	-1.008	0.88	0.455	1.081	0.979	-0.244	-2.111	-0.338	-1.917	-2.035	1.232	-0.755	-1.876	-2.156	-2.722	-2.078	-1.712	-2.908	0.855	0.537	0.791	-2.277	-2.855	-2.39	-2.338	-4.004	-2.792	-2.272	-3.45	-3.003	-2.048	-1.785	-1.736	-2.54	-3.52	-2.491	-1.866	2.184
"YGR118W"	-1.5195	-1.6645	-1.6245	-2.6185	-3.085	1.216	0.973	0.996	-1.469	-2.204	-1.873	-1.409	1.94	-0.9	-0.852	-0.571	-0.491	-0.419	-2.621	-2.692	-2.681	-2.455	-2.097	-1.993	-2.204	-5.471	-2.128	-0.865	-0.346	-2.458	-2.209	-2.183	-2.326	-0.753	0.621	-0.243	-3.851	-1.903	-1.997	-2.117	-1.76	-2.214	-3.141	1.925	-1.324	-0.008	-0.27	-1.752	-0.195	-0.045	-0.411	-0.669	-0.339	-1.724	-1.052	-1.779	-1.485	-0.903	1.028	0.856	1.579	1.157	-0.01	-1.737	-1.046	-1.832	-1.647	1.028	-0.543	-1.681	-2.095	-1.851	-1.232	-1.246	-2.633	0.7885	0.7	0.5595	-1.9425	-2.981	-2.2505	-1.32	-2.477	-2.162	-1.82	-2.13	-2.249	-1.697	-1.94	-1.242	-2.266	-2.942	-2.277	-1.369	2.299
"YGR148C"	-1.979	-2.184	-1.777	-2.942	-3.2425	1.076	0.859	0.933	-1.796	-3.095	-2.716	-1.586	2.343	-1.236	-1.39	-1.075	-1.034	-0.604	-3.45	-3.596	-3.464	-3.033	-2.31	-2.615	-3.884	-5.757	-2.075	-1.051	-0.6	-3.141	-3.011	-2.956	-2.722	-0.684	0.638	-0.756	-5.063	-2.455	-2.508	-2.896	-3.022	-3.649	-4.092	2.221	-1.749	-0.001	-0.425	-1.84	-0.344	-0.148	-0.24	-0.579	0.039	-2.072	-1.298	-1.813	-1.631	-1.172	0.661	0.798	1.279	1.095	-0.154	-2.108	-0.658	-1.901	-1.746	0.917	-1.027	-2.548	-2.7095	-3.258	-1.848	-1.355	-2.591	0.778	0.6945	0.47	-2.094	-2.6455	-2.135	-1.752	-3.53	-2.779	-2.133	-3.103	-2.693	-1.897	-2.334	-1.221	-2.573	-2.951	-2.588	-1.405	2.006
"YGR214W"	-1.7475	-2.4095	-2.2525	-3.7315	-4.254	1.051	0.967	0.903	-2.0025	-2.515	-2.064	-2.377	2.433	-1.42	-1.236	-1.007	-0.889	-0.46	-4.3	-2.826	-2.795	-2.24	-1.862	-2.776	-3.03	-5.16	-3.099	-1.591	-0.423	-3.581	-2.953	-2.7	-1.615	-0.973	0.468	-0.557	-4.842	-1.984	-2.119	-1.46	-0.955	-1.925	-3.246	2.471	-1.892	0.115	-0.21	-1.998	-0.193	-0.423	-0.469	-0.388	-0.068	-2.1085	-1.822	-2.449	-2.336	-1.562	0.94	0.622	1.223	1.316	-0.143	-2.222	-1.191	-2.061	-1.791	1.082	-0.87	-2.052	-1.905	-3.699	-2.053	-2.766	-3.3975	0.44	0.56	0.45	-3.663	-3.75	-3.398	-2.003	-3.673	-2.906	-2.083	-3.805	-2.3	-2.11	-2.419	-2.152	-2.565	-4.263	-2.567	-1.981	2.445
"YHL001W"	-1.6675	-1.6705	-1.9015	-1.691	-2.597	1.305	1.311	0.965	-1.4805	-1.712	-1.55	-1.123	1.893	-1.101	-0.974	-0.822	-0.672	-0.401	-3.25	-2.482	-2.17	-1.614	-1.307	-1.891	-1.938	-3.589	-2.17	-1.255	-0.268	-2.908	-2.867	-2.521	-2.248	-0.712	0.832	-0.57	-4.172	-1.958	-2.297	-2.248	-1.557	-1.086	-2.191	1.471	-1.085	0.192	-0.066	-1.208	0.182	0.073	-0.54	-0.788	-0.277	-1.668	-1.285	-1.314	-1.548	-1.441	1.068	0.634	1.465	1.364	-0.185	-1.53	-0.663	-1.641	-1.625	1.312	-0.817	-1.426	-2.197	-2.596	-1.829	-2.021	-2.539	0.755	0.727	0.748	-1.719	-2.599	-2.003	-1.522	-2.905	-2.306	-2.176	-3.157	-2.747	-2.225	-1.883	-1.898	-2.765	NaN	-2.373	-0.864	1.54
"YHR010W"	-2.471	-2.255	-2.0245	-3.406	-3.8525	1.491	1.068	0.826	-1.276	-2.214	-1.581	-1.401	1.923	-1.086	-1.095	-0.78	-0.708	-0.484	-3.693	-3.281	-3.149	-2.926	-2.458	-3.025	-3.508	-4.514	-2.294	-1.125	-0.079	-3.343	-3.288	-3.007	-2.769	-0.808	0.753	-0.856	-4.159	-2.399	-2.244	-2.541	-1.71	-2.032	-2.684	2.096	-1.477	-0.063	-0.171	-1.681	-0.129	-0.079	-0.535	-0.89	-0.341	-1.4115	-1.864	-2.307	-2.186	-1.106	0.943	0.749	1.55	1.153	0.201	-1.972	-1.084	-1.912	-1.667	1.103	-0.665	-2.034	-2.412	-3.231	-2.0	-1.53	-3.0485	0.888	0.777	0.615	-2.255	-2.818	-2.495	-2.868	-3.363	-2.267	-2.283	-3.56	-2.961	-1.715	-2.978	-1.73	-2.433	-3.266	-2.575	-1.568	2.066
"YHR203C"	-1.486	-2.0645	-1.915	-2.8785	-3.5975	1.231	1.011	0.884	-1.815	-2.585	-1.621	-2.357	2.714	-1.393	-1.236	-1.061	-0.719	-0.487	-3.926	-2.827	-3.148	-2.671	-2.372	-2.895	-3.782	-5.944	-2.51	-1.473	-0.229	-3.917	-3.774	-3.412	-3.049	-1.14	0.587	-0.6515	-4.669	-2.276	-2.437	-2.591	-2.575	-3.081	-3.941	2.739	-1.59	0.116	-0.362	-1.711	-0.331	-0.441	-0.357	-0.531	-0.22	-1.9665	-1.848	-2.181	-1.8	-0.83	1.242	0.597	2.0	1.286	-0.279	-2.455	-1.356	-2.243	-1.865	0.703	-0.611	-1.982	-2.302	-3.65	-2.621	-2.11	-2.809	0.706	0.615	0.677	-2.766	-2.988	-2.562	-2.942	-4.467	-3.308	-2.46	-3.717	-3.449	-2.785	-3.424	-2.05	-2.966	-4.293	-3.001	-2.029	2.246
"YIL018W"	1.619	-2.4325	-2.2685	-3.509	-3.965	1.253	1.177	1.056	-1.7325	-2.824	-2.493	-2.153	2.16	-1.216	-1.193	-0.959	-0.72	-0.478	-4.365	-3.03	-2.782	-2.724	-2.488	-2.78	-3.492	-5.749	-2.754	-1.014	-0.539	-3.362	-3.505	-3.056	-3.151	-0.967	0.447	-0.9075	-3.907	-1.842	-2.218	-2.606	-2.661	-3.27	-3.914	2.689	-1.884	-0.004	-0.418	-1.814	-0.284	-0.39	-0.823	-0.737	-0.289	-2.158	-1.545	-1.871	-2.173	-1.357	0.649	0.831	1.312	1.332	-0.074	-1.963	-1.349	-2.403	-4.283	0.99	-0.777	-2.148	-2.495	-3.591	-1.845	-2.548	-3.4165	0.718	0.613	0.695	-3.137	-3.496	-2.878	-2.641	-4.277	-3.397	-2.864	-4.06	-3.676	-2.806	-2.821	-1.765	-2.05	-3.555	-1.609	-2.419	2.172
"YIL052C"	-2.0235	-2.1565	-1.989	-2.7275	-2.972	1.095	0.998	1.136	-1.4375	-2.49	-2.029	-1.371	1.842	-1.067	-1.113	-0.775	-0.638	-0.597	-3.856	-3.261	-2.954	-2.61	-2.22	-3.178	-2.895	-6.278	-2.539	-1.311	-0.279	-2.82	-2.793	-2.559	-2.622	-0.793	0.466	-0.562	-4.174	-2.279	-2.271	-2.546	-2.162	-2.5	-3.158	1.879	-1.653	0.072	-0.184	-1.557	-0.286	0.051	-0.392	-0.573	-0.287	-1.7635	-1.484	-1.83	-2.459	-0.875	0.88	0.614	1.402	1.129	0.016	-1.273	-0.684	-1.141	-1.223	0.959	-0.843	-2.17	-1.743	-2.937	-2.008	-1.821	-2.531	0.99	0.958	0.881	-0.967	-0.475	-1.624	-2.337	-3.32	-2.562	-2.217	-2.821	-2.677	-1.94	-3.315	-1.331	-1.791	-3.128	-2.473	-2.14	2.432
"YIL133C"	-2.0235	-2.6465	-2.027	-3.384	-3.811	1.02	0.983	0.899	-1.6275	-2.661	-2.068	-1.825	2.261	-1.418	-1.185	-0.69	-0.599	-0.515	-3.333	-3.196	-3.135	-2.331	-2.167	-2.883	-2.693	-5.79	-2.633	-0.935	-0.413	-2.93	-2.571	-2.194	-0.38	-1.137	0.405	-0.169	-4.433	-2.003	-2.465	-2.757	-2.615	-3.007	-3.393	2.01	-1.592	-0.063	-0.504	-1.753	-0.283	-0.445	-0.485	-0.409	0.028	-1.6925	-1.863	-2.607	-2.617	-1.205	1.204	1.285	1.569	1.38	-0.038	-2.339	-1.877	-2.453	-1.872	1.125	-1.165	-2.404	-2.13	-3.329	-1.869	-2.349	-3.3115	0.702	0.638	0.621	-2.663	-2.982	-2.483	-2.292	-4.387	-3.183	-2.607	-4.098	-3.154	-2.466	-3.633	-1.856	-2.461	-3.117	-2.441	-2.158	2.48
