	"54.Elutriation2:Sample2:Time2.5hrs"	"55.Elutriation2:Sample2:Time3.0hrs"	"406.heat shock 37 to 37, 20 minutes"	"686.YP ethanol vs reference pool"	"781.Heat Shock 000 minutes (series 2)"	"802.Heat Shock 060 minutes"	"810.DES460 (wild type) + heat 20 min"	"811.DES459 (mec1) + heat 20 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"984.MHY1 (crt1) vs. CRY1 (wild type) - log phase"	"1010.YPD 4 h (25C)"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1107.alpha factor release sample025"	"1108.DY zap1 3 mM vs. 10 uM zinc #2"	"1167.NBW7 strain low-Pi vs. High-Pi, exp.1"	"1168.PHO81c vs. wild type, exp.1"	"1173.PHO4c vs. wild type"	"1313.diauxic shift timecourse: 20.5 hr"	"1674.Elutriation2:Sample2:Time5.5hrs"	"4874.1M sorbitol - 90 min"	"6344.DES460 + 0.02% MMS - 5 min"	"6361.DBYyap1- 37degree heat - 20 min (redo)"	"11466.yO1 test hyb"	"27094.P1Comp 09 hr 10 min Phosphate Batch vs Chemostat Comparison"	"33414.delKIN82_heat shock _0min_repeat"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33778.delYPL230w_stationary_phase_2hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"37280.CC SP 2A  Sulfate-Phosphate Chemostat Comparison"	"37281.CC SP 3A  Sulfate-Phosphate Chemostat Comparison"	"38155.03II01 batch p11"
"YNL089C"	0.372	0.029	-0.036	-0.058	0.24	0.329	-0.195	-0.502	-1.202	-0.797	-0.46	-0.924	-1.439	-1.631	-2.333	-2.142	-0.825	-1.254	-1.218	-1.259	-1.803	0.13	0.061	-0.686	-1.017	-1.872	-1.565	-1.866	-1.819	-2.26	0.137	-0.093	0.023	-0.013	-0.427	0.333	0.088	-0.035	0.096	-0.411	-0.868	0.03	-0.294	-0.872	-0.839	-0.681	-0.211	-1.474	-1.578	-0.762	-0.411	-0.285	-0.249	-0.366
"YNL090W"	0.248	0.215	-0.695	-0.339	0.262	-0.006	-0.268	-0.556	-1.74	-1.206	-1.29	-1.298	-1.485	-1.166	-2.438	-2.292	-0.937	2.369	-1.2	-1.032	-1.162	0.073	-0.077	-0.926	-1.181	-1.304	-1.549	-1.844	-1.862	-2.234	0.198	-0.139	0.038	0.082	-0.148	-0.726	-0.108	0.058	0.103	-0.597	-1.4075	0.625	-0.34	-1.689	-0.592	-0.484	-0.11	-1.311	-1.747	-0.914	-1.288	-0.274	-0.335	-0.65
"YNR043W"	0.551	0.317	-0.668	-1.019	0.308	0.0855	-0.096	-0.636	-3.5005	-1.8155	-1.672	-1.574	-1.86	-2.628	-2.934	-5.1565	-1.5865	-2.5105	-1.9175	-1.949	-1.8335	0.085	0.11	-1.36	-1.59	-2.078	-2.382	-2.655	-3.803	-3.856	0.223	0.374	-0.03	0.842	0.761	-1.184	0.26	-0.532	0.057	-1.007	-1.878	0.025	0.238	-1.759	-1.955	-0.593	0.479	-2.193	-1.673	-1.696	-2.285	0.245	0.258	-1.433
"YOR198C"	0.453	0.339	0.091	-0.646	0.516	0.3595	0.623	0.241	-1.0295	-1.107	-0.782	-1.3675	-1.6725	-1.933	-4.452	-5.562	-0.346	-0.8245	-1.185	-1.262	-0.9675	0.206	0.287	-2.46	-1.543	-2.3	-2.828	-4.384	-4.657	-4.415	0.067	-0.329	0.202	0.194	-0.301	-0.599	0.248	0.15	0.182	-0.817	-2.297	0.083	0.271	-2.009	-2.131	-2.231	-0.549	-1.499	-1.557	-2.015	-2.312	0.217	-0.095	-0.347
"YOR209C"	0.054	-0.006	0.048	-0.652	0.433	0.1795	-0.281	-0.519	-1.879	-0.84	-1.275	-1.5995	-1.2605	-1.766	-2.998	-6.004	-0.504	-1.3455	-1.865	-1.647	-1.516	-0.021	-0.009	-1.744	-0.801	-0.906	-1.227	-1.897	-2.681	-2.954	0.173	0.173	-0.058	0.638	0.118	-0.175	-0.1	-0.14	0.133	-0.358	-1.009	-0.056	0.824	-2.517	-2.034	-1.933	-0.158	-1.699	-1.928	-1.39	-0.873	0.487	0.631	-1.279
"YOR240W"	0.331	0.649	-0.287	-0.267	0.569	0.404	-0.407	-0.325	-0.3225	-0.5095	-0.127	-0.409	-1.044	-0.6835	-2.8765	-3.6975	-0.3175	-0.756	-1.1745	-1.3235	-1.113	-0.352	0.201	-1.328	-0.886	-1.773	-1.486	-2.693	-3.23	-2.674	-0.26	-0.438	-0.012	0.674	0.179	-0.743	0.324	0.068	0.085	-0.743	NaN	NaN	-0.18	-1.209	-1.559	-1.896	-0.398	-1.325	-0.965	-1.365	-1.26	0.248	0.116	-0.471
"YOR241W"	-0.088	-0.071	-0.562	-0.322	0.171	0.497	0.058	-0.335	-1.0885	-1.044	-0.962	-1.455	-1.287	-1.237	-2.668	-6.523	-1.319	-1.27	-0.8785	-1.0865	-1.725	0.076	-0.162	-1.509	-1.108	-1.077	-1.0	-1.779	-2.794	-2.058	-0.07	-0.275	0.014	0.507	-0.054	-0.161	-0.014	0.12	0.111	-0.163	-0.758	0.097	-0.183	-1.423	-1.913	-0.927	-0.404	-1.368	-1.31	0.001	-1.192	0.277	-0.102	-1.048
"YOR323C"	0.242	-0.22	0.183	-0.775	0.361	0.3905	-0.476	-0.681	-2.5575	-1.7105	-1.401	-1.757	-1.941	-2.0305	-4.2845	-6.434	-1.2325	-1.9425	-2.061	-2.106	-2.053	0.064	0.065	-1.211	-0.904	-1.557	-1.382	-2.742	-3.497	-3.428	0.024	0.049	-0.369	0.499	0.534	0.123	0.39	0.162	0.227	-0.792	-1.603	0.441	0.639	-2.366	-2.03	-1.94	0.364	-1.927	-1.64	-1.589	-1.584	0.429	0.378	-0.64
"YPL028W"	0.351	-0.071	-0.016	-0.766	0.365	0.658	-0.165	-0.366	-1.971	-0.5695	-0.5735	-0.917	-1.3315	-1.7105	-3.482	-5.5385	-1.0855	-1.178	-1.1795	-1.9625	-2.1645	0.077	0.332	-0.485	-0.033	-1.336	-1.006	-1.692	-2.17	-2.948	0.32	0.53	-0.329	0.547	0.497	-0.683	0.458	0.064	0.225	-0.464	-1.486	0.022	0.472	-0.916	-0.712	-1.204	0.268	-1.478	-0.915	-1.324	-2.228	0.622	0.53	0.176
"YPL037C"	0.804	0.785	-0.432	-0.462	0.69	0.278	-0.903	-0.96	-2.6595	-2.081	-2.0885	-1.9235	-1.975	-2.12	-3.9955	-5.417	-1.4285	-1.813	-1.4435	-2.148	-1.96	0.399	0.105	-2.203	-1.255	-1.561	-1.872	-2.115	-3.222	-3.654	0.064	-0.12	-0.09	0.476	-0.564	-1.057	0.105	-0.248	0.237	-1.009	-1.648	0.839	-0.142	-2.236	-1.607	-1.219	0.39	-1.437	-1.831	-1.289	-0.859	0.228	0.056	-0.281
"YPL160W"	0.359	0.1095	0.0175	-1.226	0.598	0.238333333333333	-0.59	-1.501	-3.26033333333333	-2.28466666666667	-1.777	-1.608	-1.47166666666667	-2.13233333333333	-3.08233333333333	-5.284	-1.495	-2.22666666666667	-2.35066666666667	-2.11133333333333	-1.59566666666667	-0.13	0.2095	-4.0365	-1.8835	-2.449	-2.824	-3.1695	-3.499	-2.977	-0.0355	-0.334	0.321	-0.315	0.098	-1.702	0.00549999999999999	0.0055	0.0565	-1.148	-1.8045	-0.047	-0.156	-3.477	-2.958	-2.059	-0.4445	-3.512	-2.719	-2.2345	-2.589	0.1685	0.0025	-1.403
"YPL183C"	0.283	-0.142	0.34	-0.807	0.813	0.2155	-0.38	-1.183	-3.014	-2.069	-1.767	-1.5955	-1.8275	-1.544	-4.1755	-3.957	-2.0945	-2.1075	-1.7485	-1.7965	-2.531	0.052	-0.166	-2.335	-1.757	-1.735	-1.38	-2.512	-2.745	-3.056	-0.154	-0.574	0.026	-0.583	0.408	-0.946	-0.434	-0.202	-0.09	-0.459	-1.146	-0.746	-0.8285	-2.605	-2.4425	-2.4435	-0.6405	-2.8755	-2.0785	-1.577	-1.825	0.3345	-0.0815	-1.1965
"YPR009W"	0.238	0.094	0.248	-0.744	-0.05	-0.1425	0.378	0.065	-2.334	-1.067	-0.7365	-1.2485	-2.1735	-1.3175	-2.5965	-4.371	-0.3475	-0.74	-0.7415	-0.373	-0.6535	0.345	0.09	-1.646	-1.84	-2.176	-2.313	-1.882	-1.734	0.747	0.025	-0.064	-0.174	0.105	-0.041	-1.268	-0.313	-0.408	-0.075	-0.193	-1.122	0.06	0.868	-1.185	-1.188	-0.679	-0.064	-1.687	-1.524	-1.083	-2.329	-0.501	-0.546	-0.534
"YPR144C"	0.306	0.015	-0.667	-0.371	1.1655	0.5695	-0.786	-1.773	-3.855	-1.9705	-2.235	-1.9295	-0.6445	-1.9405	-3.129	-4.2065	-1.3485	-2.0425	-1.8885	-1.2035	-2.06	0.032	-0.094	-2.256	-1.327	-1.4	-1.22	-1.687	-2.51	-2.411	0.04	-0.8	-0.161	-0.153	-0.001	-1.784	-0.784	0.284	-0.208	-0.878	-1.298	-0.449	-0.556	-2.991	-2.5	-2.501	-0.255	-3.937	-2.277	-1.752	-0.96	0.322	0.202	-0.741
"YPR187W"	0.365	0.039	0.234	-0.605	1.0935	-0.3175	-0.737	-1.449	-2.5615	-1.8665	-1.5675	-1.8265	-1.511	-1.4365	-3.609	-5.408	-2.045	-2.283	-2.232	-2.16	-1.962	0.17	-0.033	-2.563	-1.827	-1.816	-2.016	-2.28	-2.584	-3.22	-0.15	0.035	-0.361	-0.208	-0.725	-1.32	0.024	0.023	-0.181	-1.051	-1.604	0.142	-0.483	-2.584	-2.061	-1.502	-0.15	-2.896	-2.213	-1.752	-2.009	0.126	-0.112	-1.43
