	"406.heat shock 37 to 37, 20 minutes"	"497.Heat Shock 000 minutes"	"651.alpha factor release sample019"	"781.Heat Shock 000 minutes (series 2)"	"797.Heat Shock 000 minutes (series 3)"	"813.MHY1 (dun1) + heat 20 min"	"817.1M sorbitol - 30 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"1009.YPD 2 h (25C)"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1107.alpha factor release sample025"	"1303.diauxic shift timecourse: 0 hr"	"1310.diauxic shift timecourse: 9.5 hr"	"3020.WT vs lpz8 null cells in high Cu"	"4872.1M sorbitol - 60 min"	"6344.DES460 + 0.02% MMS - 5 min"	"6824.Sporulation t0"	"8204.steady state 29 dec C"	"12169.aft2 minus cells with control plasmid vs aft2 minus cells with AFT2 vector"	"12471.aft2 minus cells with control plasmid vs aft2 minus cells with AFT2 mutant vector"	"27095.P1Comp 05 hr 5 min Phosphate Batch vs Chemostat Comparison"	"32627.S1Comp 11 hr 10 min Sulfate Batch vs Chemostat Comparison"	"32631.S1Comp 20 hr 10 min Sulfate Batch vs Chemostat Comparison"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34879.S4Comp 10 hr 00 min Sulfate Batch vs Chemostat Comparison"	"38155.03II01 batch p11"
"YNL301C"	0.73	1.125	0.035	1.063	1.048	-1.273	-0.795	-2.992	-2.551	-2.514	-5.123	-6.272	-2.943	-3.585	0.426	-3.466	-1.992	-2.799	-2.652	-2.985	-3.448	0.204	0.276	-0.054	0.277	0.135	-0.02	-0.001	0.315	-0.495	0.417	0.898	-1.765	-1.253	-4.167	-3.163	-4.02	-3.032	-2.764	-3.161	-2.651	-2.51
"YNR024W"	0.136	0.848	-0.299	0.661	0.421	-0.466	-0.047	-0.3035	-0.6495	-0.2345	-1.1175	-2.139	-0.8305	-0.436	-0.293	-1.898	-0.862	-0.793	-0.911	-1.411	0.193	-0.315	-0.206	-0.408	-0.009	0.02	-1.1	-0.331	0.0915	0.075	-0.31	-0.351	-0.783	-1.049	-0.711	-0.765	-1.478	-0.875	-0.897	-0.947	-0.468	-0.824
"YNR025C"	-1.027	0.31	-0.106	0.343	0.531	-0.479	-0.147	-0.5885	-1.2315	-0.789	-0.772	-3.7705	-0.774	-0.38	-0.446	-1.647	-0.756	-0.658	-1.02	-1.495	-1.514	-0.007	-0.422	-0.37	-0.166	0.032	-0.051	-0.1	-0.0715	-0.126	0.095	-0.49	-2.57	-2.052	-1.252	-0.579	-1.138	-0.643	-1.392	-0.905	-1.13	-0.203
"YOL062C"	0.011	0.403	0.024	0.322	0.416	0.437	0.422	-0.759	0.786	0.193	-1.974	-4.46	-0.166	0.04	0.222	0.77	-0.38	-0.545	-1.017	-1.251	-1.957	-0.181	-0.054	0.2	-0.015	-0.087	-0.022	-0.153	0.086	-0.286	0.136	0.419	-1.256	-1.25	-0.383	-0.453	-0.061	-0.514	-0.382	-0.144	-0.239	-1.601
"YOL093W"	-0.036	1.0	-0.308	0.528	-0.313	-0.84	-0.321	-0.5205	-0.201	-0.905	-2.371	-4.67	0.266	0.8545	0.034	-0.833	-0.641	-0.893	-0.686	-1.299	-1.847	0.089	0.227	0.02	0.068	0.057	0.097	0.027	0.232	0.101	0.425	0.288	-0.541	-0.831	-0.856	-1.252	-0.659	-0.563	-0.612	-0.452	-1.011	-1.147
"YOR160W"	-0.115	-0.222	-0.231	-0.258	-0.119	0.354	0.016	0.4435	-0.2945	0.112	-2.6045	-4.2525	-0.649	-0.5995	0.159	-0.16	-0.486	-0.199	-0.963	-1.386	-1.38	-0.383	-0.078	0.045	0.032	0.008	-0.154	-0.004	0.007	0.356	-0.172	0.582	-0.492	-0.667	-0.904	-1.621	-0.112	-1.407	-1.327	-0.702	-0.043	0.317
"YOR254C"	-0.222	0.5	-0.002	0.296	0.314	-0.171	-0.548	-2.6515	-1.5795	-1.235	-2.192	-6.426	-2.053	-1.8245	-0.049	-2.631	-1.666	-1.904	-2.354	-2.689	-2.309	-0.087	0.061	0.057	0.107	0.143	0.019	-0.192	0.046	-0.358	-0.222	0.351	-2.398	-2.436	-2.166	-2.254	-2.342	-2.212	-1.537	-2.314	-1.872	-1.815
"YOR256C"	0.363	-0.157	-0.07	-0.305	-0.0855	0.066	0.181	0.3855	0.5675	0.7545	0.5635	-1.995	0.059	1.6665	-0.043	0.889	0.483	0.674	1.171	0.618	0.904	0.067	0.052	0.201	0.045	0.247	0.038	-0.185	-0.0365	0.012	-0.417	0.043	-1.273	-0.966	-0.45	-0.579	0.125	-0.334	0.128	0.814	-0.542	-1.351
"YOR282W"	-0.368	0.222	0.202	0.107	0.2595	-0.052	-0.311	-0.51	-0.78	-0.676	-2.761	-2.073	-1.0785	-0.818	-0.261	-1.077	-0.952	-1.627	-1.203	-1.272	-1.127	0.016	-0.385	-0.452	-0.464	-0.189	0.014	-0.014	-0.1405	0.095	-0.032	-0.007	-0.158	0.133	-0.971	-0.308	-0.925	-1.228	-0.671	-0.629	-1.422	-1.477
"YOR309C"	0.072	0.423	0.015	0.3	0.8	-2.067	-0.986	-6.798	-4.4185	-4.0545	-4.234	-6.859	-3.709	-3.9105	0.303	-5.839	-3.084	-3.704	-4.746	-5.449	-5.009	0.103	0.27	0.297	-0.13	0.043	0.089	0.067	0.1195	-0.679	0.122	0.07	-2.996	-1.709	-2.543	-3.28	-4.097	-3.518	-2.477	-3.672	-2.359	-2.11
"YOR310C"	0.389	1.211	-0.066	1.223	1.0465	-1.986	-0.853	-6.006	-3.92	-3.4655	-4.7765	-7.1385	-3.766	-3.585	0.437	-5.777	-2.773	-3.838	-4.745	-5.099	-4.866	-0.06	0.222	0.038	-0.395	0.202	-0.205	0.049	0.226	-0.589	0.359	0.335	-3.475	-3.426	-4.564	-4.629	-5.14	-4.292	-3.502	-2.073	-3.364	-2.456
"YOR312C"	0.531	1.374	-0.189	1.167	0.9475	-1.633	-0.583	-3.8645	-3.381	-2.919	-3.3005	-4.8175	-2.99	-3.177	0.353	-4.638	-2.15	-2.511	-2.039	-1.569	-3.224	-0.004	0.295	-0.008	0.16	0.298	0.097	-0.199	0.5255	-0.523	0.336	1.196	-1.648	-1.884	-4.379	-3.433	-4.531	-3.454	-2.689	-2.886	-2.438	-2.281
"YPL079W"	-0.714	0.688	-0.085	1.126	0.917	-2.168	0.301	-4.616	-4.1965	-3.787	-3.892	-6.4765	-3.085	-3.172	0.148	-4.735	-2.781	-2.741	-3.015	-3.498	-4.547	0.085	0.055	-0.018	0.053	0.031	0.143	-0.072	0.6185	-0.173	0.532	0.959	-1.893	-1.505	-2.865	-2.753	-3.573	-3.431	-2.725	-2.785	-1.659	-2.983
"YPL081W"	-0.541	0.427	-0.001	0.779	0.714	-0.98	-0.606	-4.5065	-3.3595	-3.199	-3.4025	-6.801	-2.5355	-2.916	0.181	-4.022	-2.461	-2.849	-2.789	-2.909	-3.725	0.068	-0.137	-0.302	0.187	0.099	0.171	-0.228	-0.0175	-0.232	0.393	0.14	-2.017	-1.616	-3.083	-2.359	-3.939	-2.717	-2.656	-3.157	-4.474	-2.32
"YPL090C"	0.101	0.955	-0.097	0.871	0.9415	-2.737	-1.378	-3.9615	-3.256	-2.7785	-4.364	-6.197	-3.398	-3.223	0.286	-5.307	-2.412	-2.833	-3.292	-3.309	-4.719	-0.043	0.321	0.209	0.133	-0.045	-0.062	-0.096	0.399	-0.502	0.457	0.839	-2.794	-1.897	-4.244	-3.265	-4.101	-3.571	-2.951	-2.658	-1.846	-2.573
"YPL103C"	-0.103	-0.241	-0.1	-0.166	0.1085	-0.314	-0.082	-0.296	-0.0035	-0.4145	-1.2755	-3.615	-0.1165	-0.6615	0.032	-0.301	-0.479	-0.057	0.392	0.659	0.141	-0.002	-0.071	0.043	-0.152	-0.104	0.007	0.13	-0.026	-0.042	-0.06	0.342	-0.732	-1.659	-0.525	-0.471	0.332	-0.672	-0.261	-1.21	-0.328	-0.663
"YPL142C"	-0.164	1.023	0.101	1.2695	1.009	-1.527	-0.722	-3.1395	-2.973	-2.7515	-3.5865	-5.604	-2.825	-3.3035	0.25	-4.155	-2.082	-2.303	-2.148	-2.632	-2.979	0.143	0.153	-0.222	0.15	0.2	0.304	0.271	0.587	-0.355	0.185	1.296	-1.936	-1.318	-3.763	-3.021	-3.677	-3.278	-2.971	-3.35	-2.574	-2.419
"YPL143W"	-0.264	1.024	0.163	0.917	1.0005	-1.485	-0.593	-4.4445	-3.3605	-3.232	-3.35	-5.0395	-3.0685	-3.1305	-0.058	-4.372	-2.232	-2.155	-1.391	-1.972	-2.941	0.284	0.23	0.045	-0.167	0.005	NaN	-0.13	0.086	-0.086	0.424	0.895	-1.968	-1.764	-2.893	-2.234	-3.13	-2.792	-2.506	-2.952	-1.603	-2.528
"YPL160W"	0.0175	0.5835	-0.0555	0.598	0.415	-1.6245	-0.4935	-3.26033333333333	-2.28466666666667	-1.777	-3.08233333333333	-5.284	-2.22666666666667	-2.35066666666667	0.111	-4.0365	-1.8835	-2.449	-3.1695	-3.499	-2.977	-0.0355	0.005	0.156	0.307	0.0515	0.0565	0.202	0.365	-0.1485	0.0345	0.8815	-1.912	-2.1145	-3.477	-2.958	-3.512	-2.719	-2.2345	-2.589	-1.34	-1.403
"YPL198W"	0.332	1.284	0.069	0.94	0.968	-1.589	-1.026	-4.269	-3.194	-2.836	-4.3605	-6.879	-3.4825	-3.3185	0.506	-3.875	-2.024	-2.227	-2.487	NaN	-3.133	0.119	0.136	-0.19	-0.033	-0.237	0.079	0.128	0.3175	-0.271	0.114	0.855	-1.8535	-1.1185	-4.2325	-3.528	-3.4955	-4.5575	-2.68	-3.5	-2.1	-2.635
"YPL220W"	0.789	1.277	0.344	1.154	1.2	-2.333	-0.913	-3.389	-2.4215	-2.18	-3.187	-6.1465	-3.0375	-3.442	0.505	-3.51	-1.794	-2.548	-2.247	-2.571	-3.926	0.447	0.082	0.039	-0.268	0.081	0.236	-0.163	0.3965	-0.331	0.576	0.9	-2.613	-1.629	-3.366	-2.375	-3.554	-2.774	-2.352	-3.007	-2.191	-2.969
"YPL226W"	0.0155	0.7565	0.2445	0.906666666666667	0.858	-1.031	-0.8255	-4.86566666666667	-3.38066666666667	-2.57633333333333	-3.95033333333333	-5.67966666666667	-3.37333333333333	-2.503	-0.0175	-4.0095	-2.363	-2.3985	-3.407	-2.9025	-3.983	0.1885	0.105	0.122	-0.0935	-0.0735	0.0465	-0.253	0.038	-0.3285	0.1745	0.1695	-1.435	-0.68	-2.657	-3.519	-3.811	-3.004	-2.748	-2.36	-1.244	-1.898
"YPL266W"	0.131	1.381	0.19	1.1895	1.17	-1.09	-0.947	-4.1135	-2.3835	-2.305	-4.58	-3.1595	-3.267	-2.3995	0.104	-2.099	-1.926	-2.07	-1.746	-1.809	-2.022	0.045	-0.228	-0.174	-0.031	0.11	-0.1	-0.138	0.2715	-0.501	0.234	0.393	-2.026	-1.394	-3.274	-2.154	-4.271	-2.451	-1.929	-2.098	-1.357	-1.882
"YPR031W"	-0.042	0.303	0.039	0.281	0.253	-0.256	-0.479	-0.806	-0.2165	0.7645	0.7085	-1.8385	-0.783	-0.3975	-0.146	0.204	0.247	0.369	1.012	0.522	0.428	-0.12	-0.329	0.042	0.042	0.085	-0.059	-0.13	-0.15	-0.047	0.005	-0.114	-0.082	-0.233	-0.835	-0.615	-1.322	0.409	-0.222	-0.126	-0.288	-0.899
"YPR041W"	-0.367	0.9545	0.278	0.966	0.728333333333333	-0.8655	-0.2345	-1.871	-1.85166666666667	-1.45933333333333	-2.36366666666667	-4.07266666666667	-2.403	-2.45	0.4175	-1.646	-1.315	-1.658	-1.805	-1.8775	-2.441	0.17	0.324	0.14	0.066	-0.1465	-0.031	-0.175	0.380333333333333	-0.1975	0.3285	0.745	-1.999	-1.772	-3.035	-2.533	-3.187	-2.708	-2.293	-1.616	-1.93	-1.691
"YPR044C"	-0.1235	0.9015	-0.039	0.928	0.892333333333333	-1.7	-0.6655	-3.163	-2.92933333333333	-2.74733333333333	-2.87	-4.76433333333333	-3.21966666666667	-2.78233333333333	-0.043	-3.0915	-1.926	-2.14	-1.2955	-1.702	-1.9615	0.127	-0.319	-0.325	0.369	-0.088	0.1355	0.187	0.146	-0.233	0.342	1.044	-1.131	-1.509	-2.586	-2.282	-2.862	-2.352	-2.43	-2.877	-2.319	-1.745
"YPR074C"	0.139	0.666	0.137	0.5385	0.5795	-0.795	-0.48	-3.2435	-2.5595	-2.0485	-5.337	-5.42	-3.374	-2.2005	0.672	-3.649	-1.5	-2.351	-3.369	-3.61	-3.663	-0.068	0.568	0.603	-0.268	-0.227	0.099	-0.463	0.4185	-0.176	0.137	0.819	-1.879	-1.688	-4.473	-3.729	-2.351	-3.123	-1.997	-3.18	-2.877	-2.381
"YPR102C"	0.381	1.367	0.105	1.2	1.1555	-1.866	-0.617	-3.521	-3.2315	-3.2945	-4.045	-6.451	-3.5055	-4.118	0.211	-4.644	-2.495	-2.723	-3.352	-3.749	-4.692	0.174	0.326	0.372	0.435	0.219	0.435	-0.151	0.6345	-0.547	0.412	1.365	-1.443	-1.601	-3.927	-2.614	-4.015	-3.517	-2.547	-3.247	-2.418	-2.973
"YPR110C"	0.366	0.96	0.058	1.068	0.986	-1.61	-0.613	-5.7185	-3.423	-3.2115	-3.662	-6.318	-3.01	-3.296	0.151	-3.88	-2.186	-2.175	-2.993	-3.212	-3.358	-0.038	0.352	0.334	-0.125	-0.091	0.102	0.137	0.374	-0.752	0.201	0.753	-2.196	-2.061	-2.851	-1.853	-3.882	-3.113	-2.597	-2.759	-1.644	-2.622
"YPR132W"	0.16	1.079	-0.069	1.0155	0.901	-1.741	-0.526	-2.849	-3.586	-3.351	-3.1925	-5.805	-2.5895	-3.048	0.245	-3.788	-1.948	-2.214	-1.968	-2.388	-3.151	0.116	0.16	0.315	0.002	0.125	0.215	-0.019	0.6665	-0.171	0.124	1.045	-1.382	-1.698	-2.884	-2.466	-2.903	-2.829	-2.063	-2.893	-1.327	-2.331
"YPR163C"	0.232	1.032	-0.015	1.048	1.063	-1.817	-0.88	-3.6815	-2.265	-2.266	-2.9485	-5.4905	-2.5635	-2.469	0.346	-3.136	-2.003	-2.05	-2.642	-2.895	-2.82	-0.189	0.338	0.315	-0.006	-0.06	-0.192	0.157	0.3075	-0.602	0.305	0.731	-2.378	-2.191	-3.506	-3.14	-3.575	-2.873	-2.034	-2.32	-1.761	-1.558
"YPR190C"	0.351	0.819	0.379	0.759	0.692	-0.718	-0.423	-3.288	-1.7615	-1.4335	-3.3155	-3.101	-2.21	-1.9665	-0.038	-1.497	-1.343	-0.983	-1.601	-1.95	-2.429	0.007	0.077	0.025	-0.665	0.147	-0.09	0.046	0.097	-0.023	0.067	0.681	-1.937	-1.607	-0.472	-1.181	-2.124	-1.108	-0.715	-1.502	-1.684	-1.109
