	"514.2.5mM DTT 030 min"	"686.YP ethanol vs reference pool"	"802.Heat Shock 060 minutes"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"4872.1M sorbitol - 60 min"	"4874.1M sorbitol - 90 min"	"6364.DES459 (mec1-) + 0.02% MMS - 15 min"	"8230.dtt 060 min"	"8522.DES459 (mec1-) + 0.02% MMS - 45 min"	"8523.DES459 (mec1-) + 0.02% MMS - 60 min"	"12734.Nitrogen Depletion 12 h"	"12736.Nitrogen Depletion 1 d"	"12737.Nitrogen Depletion 2 d"	"12738.Nitrogen Depletion 3 d"	"15638.Ca+FK 60min (2)"	"34365.batch 02X25 6"	"34368.batch 02X25 7"	"38145.03II01 batch p1"	"38146.03II01 batch p2"	"38147.03II01 batch p3"	"38148.03II01 batch p4"	"42225.U2 Comp 09 hr 12 min Uracil Batch vs Chemostat Comparison"
"YLR198C"	0.795	-0.846	-0.492	-5.143	-2.989	-3.1	-2.376	-2.064	-2.252	-3.745	-2.998	-2.5	-5.282	-2.521	-3.21	-3.479	-3.841	-4.919	-4.589	0.231	0.186	0.633	-0.408	0.459	0.442	-2.706	-2.917	-3.086	-3.164	-0.305	-3.254	-2.484	2.072	2.086	2.346	2.352	-0.759
"YLR220W"	-0.277	-0.006	0.131	1.101	1.707	1.669	1.656	1.663	2.105	2.235	0.051	0.253	0.991	1.334	1.229	1.582	2.346	2.536	1.771	0.242	0.086	-0.151	-0.125	-0.388	-0.168	0.089	0.565	0.532	0.578	-0.016	0.443	0.638	-0.307	0.742	0.801	0.697	-0.545
"YLR222C"	-0.826	-0.653	0.232	-4.423	-1.933	-1.902	-1.176	-0.88	-1.613	-3.721	-1.343	-1.64	-3.785	-1.613	-2.036	-2.29	-3.081	-2.929	-3.119	0.048	0.121	0.14	-0.367	0.143	0.515	-1.93	-1.794	-1.979	-2.215	-0.892	-1.756	-1.389	0.006	-0.255	0.029	0.01	0.255
"YLR276C"	0.511	-0.734	-0.014	-4.467	-2.163	-1.657	-1.532	-1.655	-1.858	-3.174	-1.65	0.689	-3.49	-1.977	-1.889	-2.427	-1.866	-3.17	-3.081	-0.088	-0.208	0.511	-0.473	0.455	0.547	-0.808	-0.845	-1.003	-0.854	-0.225	-1.986	-1.141	-0.208	0.275	0.302	-0.115	-0.092
"YLR293C"	-0.22	-1.282	0.327	-3.594	-2.185	-2.087	-2.565	-2.207	-2.675	-3.488	-2.233	-2.661	-2.473	-1.576	-1.45	-2.158	-2.379	-3.03	-3.186	0.078	-0.083	-0.127	0.809	-0.127	-0.348	-1.553	-1.559	-1.887	-1.39	0.305	-2.354	-1.737	0.992	0.721	1.327	0.92	-0.351
"YLR311C"	-0.138	0.28	-0.757	3.535	3.882	4.224	3.277	3.765	2.811	3.182	2.73	2.447	2.587	1.807	2.447	3.128	3.92	3.702	3.13	-0.012	0.121	-0.476	-0.778	-0.764	-0.712	2.432	2.609	2.017	2.606	0.352	1.105	1.16	0.155	0.321	0.032	0.219	-1.548
"YLR326W"	0.492	0.816	0.18	0.801	1.285	0.94	1.045	1.417	1.478	-0.302	0.271	0.628	0.887	0.618	1.203	1.722	1.69	3.016	2.515	0.218	0.18	0.119	-0.466	0.031	0.0	0.451	0.918	1.394	0.333	0.463	1.363	0.579	-0.154	0.171	0.58	0.138	-0.839
"YLR346C"	-0.485	1.295	-0.087	0.918	0.74	1.098	1.147	2.457	2.059	1.542	2.616	2.764	0.88	1.318	2.26	2.52	2.849	2.638	2.241	-0.016	0.007	0.009	-0.8	0.371	0.471	2.456	2.69	2.778	2.48	-0.704	4.441	3.753	0.233	0.068	-0.743	-0.027	0.551
"YLR409C"	-0.26	-1.644	0.456	-4.402	-2.709	-2.6	-1.8	-1.629	-2.222	-3.204	-1.928	-2.361	-2.708	-1.92	-2.024	-2.286	-2.713	-3.315	-3.47	0.013	0.033	-0.138	-0.816	-0.205	-0.143	-1.602	-1.49	-1.64	-1.615	-0.29	-2.36	-1.595	-0.361	-0.487	-0.817	-0.929	0.17
"YML022W"	-0.284	-0.734	0.185	-3.236	-1.772	-1.782	-1.805	-1.985	-2.389	-3.146	-2.096	-2.796	-2.802	-1.809	-2.266	-2.26	-2.846	-3.092	-3.144	-0.154	-0.391	0.124	0.089	-0.002	-0.156	-2.249	-1.856	-1.993	-1.54	-0.338	-1.644	-1.305	-1.496	-0.843	-0.945	-0.986	0.839
"YMR033W"	-0.349	-0.608	-0.004	-0.915	-1.816	-1.259	-1.084	-1.434	-1.22	-3.063	-1.514	-1.984	-1.647	-1.273	-1.244	-1.469	-1.745	-1.826	-1.988	-0.266	-0.139	0.289	0.532	0.333	0.391	-0.924	-0.77	-0.709	-0.418	-0.048	-1.007	-0.824	-0.619	-0.563	-0.388	-0.508	-0.609
"YMR034C"	-0.019	0.505	-0.062	0.168	1.792	1.101	0.866	1.503	1.208	1.517	0.284	0.484	1.512	1.184	1.228	1.46	2.208	2.014	1.905	-0.01	0.023	-0.366	0.642	-0.035	-0.322	0.106	0.641	0.789	1.213	0.422	2.767	3.098	0.209	-0.41	0.089	0.164	-1.092
"YMR049C"	-0.79	-1.456	0.426	-5.984	-3.638	-2.864	-3.076	-1.967	-2.748	-4.225	-2.163	-2.152	-4.161	-1.79	-2.318	-2.279	-3.3	-3.396	-4.217	0.032	0.15	0.164	-0.781	-0.053	0.396	-1.649	-1.598	-1.736	-1.727	0.22	-2.216	-1.377	0.169	0.753	0.839	0.503	-0.756
"YMR114C"	0.61	0.604	-0.471	2.727	2.543	2.068	3.029	2.847	2.327	4.1	2.58	2.319	1.821	1.024	2.032	2.343	3.614	3.555	3.502	0.124	-0.085	0.198	0.162	0.154	0.242	1.207	1.404	1.851	1.502	0.036	2.402	1.143	0.033	0.111	0.283	0.521	-0.303
"YMR118C"	-0.294	0.646	0.34	1.566	2.237	2.784	3.914	5.005	4.013	3.37	3.038	3.051	2.625	2.637	3.669	3.896	3.917	3.997	2.908	0.145	-0.014	0.086	-0.023	-0.167	-0.137	3.12	3.327	3.427	3.886	0.097	3.018	3.073	-0.25	-0.662	-0.986	-0.768	0.355
"YMR217W"	-0.338	-1.12	0.403	-5.293	-3.056	-3.049	-2.634	-2.518	-3.785	-4.735	-2.622	-2.591	-4.287	-2.652	-3.341	-4.118	-3.713	-4.205	-4.469	0.291	-0.204	-0.188	-0.265	-0.688	-0.657	-1.947	-2.445	-2.596	-2.646	-0.022	-3.089	-2.462	-0.398	0.364	-0.142	-0.264	0.836
"YMR229C"	-0.6855	-1.0025	-0.1455	-6.1495	-3.5335	-3.765	-2.743	-2.443	-2.304	-4.4055	-2.161	-2.184	-4.826	-2.78	-2.897	-2.0525	-3.7195	-3.685	-3.93	0.0125	-0.182	-0.1695	-1.3445	-0.3515	-0.147	-2.499	-2.792	-2.4675	-3.467	-0.4445	-1.689	-1.367	-0.04	0.612	0.6405	0.3265	0.032
"YMR309C"	0.41	-0.707	0.243	-3.127	-2.334	-1.924	-1.851	-1.855	-1.52	-3.731	-1.881	-2.64	-3.374	-1.914	-1.926	-2.303	-3.144	-3.173	-3.384	-0.046	-0.2	-0.073	-0.294	-0.101	-0.063	-2.067	-1.828	-1.969	-1.831	-0.694	-2.46	-1.712	-0.002	-0.415	-0.22	-0.352	-0.89
"YNL096C"	-0.369	-1.968	-0.37	-4.113	-3.765	-3.642	-3.235	-2.81	-3.616	-4.038	-2.761	-3.165	-4.716	-2.906	-2.776	-3.041	-3.644	-4.096	-4.68	-0.057	-0.048	-0.071	0.155	-0.231	-0.312	-2.296	-1.647	-1.704	-1.302	0.144	-3.108	-2.343	-0.263	0.626	0.422	0.565	1.046
"YNL132W"	0.289	-0.762	0.113	-5.826	-3.389	-2.815	-3.25	-2.572	-3.653	-4.956	-2.521	-2.512	-4.353	-2.313	-2.799	-2.936	-3.396	-4.377	-4.049	-0.079	0.067	-0.185	-1.132	-0.321	-0.072	-2.527	-2.718	-2.565	-2.668	-0.43	-1.684	-1.295	0.084	0.432	0.824	0.462	0.36
"YNL174W"	-0.274	-1.222	-0.272	-5.141	-3.51	-3.428	0.252	-2.478	-2.797	-4.079	-1.875	-2.135	-4.372	-2.731	-2.682	-2.061	-3.046	-3.229	-3.118	0.29	-0.031	0.444	-0.769	-0.028	0.184	-1.401	-1.458	-1.551	-1.558	-0.512	-1.035	-0.996	0.901	1.096	1.724	1.548	-0.183
"YNL223W"	-1.293	0.788	-0.167	2.732	2.157	2.221	2.465	2.269	2.643	2.323	1.291	1.189	2.324	1.642	1.911	2.195	1.917	2.141	1.362	-0.006	0.008	0.228	0.0	0.243	0.239	1.355	1.793	1.54	1.989	0.456	1.174	1.007	-0.515	-1.501	-0.621	-1.089	-0.574
"YOR031W"	-0.645	0.893	0.1445	2.7555	1.852	1.0025	2.213	0.9345	2.678	6.023	1.24	3.299	3.26	2.427	3.88	4.039	5.635	5.711	5.6	0.098	-0.241	-0.098	-0.524	-0.174	0.012	2.282	2.974	2.926	3.68	-0.061	3.822	3.621	0.406	0.375	0.187	0.85	-0.574
"YOR032C"	-0.282	1.064	0.189	1.409	0.91	1.8835	2.276	2.372	2.21	3.784	1.946	2.901	1.009	1.033	2.599	2.772	3.53	4.701	3.536	0.234	0.101	-1.051	-0.1895	-1.05	-1.081	2.379	3.006	2.397	2.188	1.236	1.028	0.603	0.181	-1.115	-1.07	-0.96	-1.035
"YOR168W"	-0.278	-0.857	0.2305	-1.809	-1.703	-1.762	-1.3715	-1.261	-1.7945	-1.984	-1.8785	-1.355	-2.516	-1.423	-1.54	-1.525	-2.348	-2.353	-2.604	-0.074	-0.033	0.181	-0.247	0.332	0.391	-1.925	-1.594	-2.172	-1.957	-0.527	-1.25	-1.086	-0.216	0.723	0.947	0.835	-0.733
"YOR224C"	-0.723	-0.599	0.4155	-2.895	-1.9785	-1.9375	-1.8585	-2.2005	-2.081	-3.348	-2.4505	-2.027	-2.185	-1.678	-2.173	-2.296	-2.099	-2.615	-2.202	0.002	0.266	0.148	-0.2605	-0.287	-0.639	-2.013	-2.006	-2.085	-1.876	0.262	-1.949	-1.515	-0.403	0.853	0.439	0.57	1.006
"YOR243C"	-0.582	-0.887	0.268	-3.8055	-2.475	-2.128	-2.1915	-1.6015	-2.2855	-3.3625	-1.6325	-2.414	-3.635	-2.371	-2.179	-2.726	-2.865	-4.484	-3.863	-0.005	0.213	0.218	0.0425	0.261	0.255	-1.55	-1.693	-1.694	-1.685	-0.38	-1.997	-1.377	-0.13	-0.123	-0.053	-0.168	-0.793
"YOR254C"	-0.247	-1.067	0.3095	-2.6515	-1.5795	-1.235	-1.406	-1.671	-1.5485	-2.192	-2.018	-1.4845	-2.631	-1.666	-1.904	-1.86	-2.354	-2.689	-2.309	0.143	0.04	0.297	0.3895	0.29	0.301	-1.388	-1.468	-1.679	-1.489	-0.286	-1.792	-1.343	-0.003	-0.312	-1.443	-0.491	-0.113
"YOR272W"	-0.438	-0.572	-0.032	-4.8145	-2.3895	-2.6015	-1.5575	-1.682	-1.968	-3.353	-1.779	-1.376	-3.311	-1.777	-2.312	-2.009	-3.017	-3.307	-4.52	0.167	0.184	0.232	-0.4835	0.238	0.573	-1.076	-0.897	-1.625	-1.637	0.166	-2.384	-1.167	-0.87	-0.657	-0.875	-0.993	-0.864
"YOR309C"	0.26	-1.663	-0.079	-6.798	-4.4185	-4.0545	-4.227	-3.75	-3.942	-4.234	-3.8235	-2.194	-5.839	-3.084	-3.704	-4.353	-4.746	-5.449	-5.009	0.043	-0.118	0.278	-0.4265	0.059	0.399	-2.601	-2.983	-2.775	-3.093	-0.307	-3.28	-2.75	2.076	1.996	2.316	2.134	-0.041
"YOR310C"	-0.119	-1.081	0.1095	-6.006	-3.92	-3.4655	-3.0705	-3.303	-3.319	-4.7765	-3.5415	-2.603	-5.777	-2.773	-3.838	-4.105	-4.745	-5.099	-4.866	0.202	0.415	0.239	-0.732	0.251	0.315	-2.67	-2.757	-2.944	-3.125	-0.196	-3.229	-2.493	0.265	0.847	0.989	0.283	0.142
"YOR328W"	-0.193	1.322	0.171	0.2	0.7075	1.0585	2.041	2.339	1.5255	1.5625	0.2515	0.076	1.374	0.601	1.484	2.554	3.195	3.505	3.788	-0.083	-0.012	0.422	-0.418	0.275	-0.298	0.312	0.808	1.069	0.859	-0.62	0.045	0.141	0.056	-1.144	-0.34	-0.779	0.049
"YPL043W"	-0.633	-0.646	-0.0355	-4.668	-2.8315	-2.8295	-2.0985	-2.036	-2.04	-2.4695	-1.9305	-2.047	-3.89	-2.277	-2.069	-2.134	-1.995	-2.623	-2.739	-0.112	-0.348	-0.047	-0.767	-0.064	0.141	-0.931	-0.924	-0.867	-1.018	-0.796	-1.828	-1.162	0.412	0.739	1.055	0.696	-1.139
"YPL079W"	-0.104	-1.022	-0.0855	-4.616	-4.1965	-3.787	-3.3525	-2.3565	-2.6495	-3.892	-3.0255	-3.112	-4.735	-2.781	-2.741	-3.087	-3.015	-3.498	-4.547	0.031	-0.058	0.053	0.593	-0.206	-0.155	-2.001	-1.716	-1.575	-1.04	0.068	-2.489	-2.116	0.117	0.686	0.904	0.79	0.729
"YPL081W"	-0.237	-0.796	0.297	-4.5065	-3.3595	-3.199	-3.083	-2.508	-3.086	-3.4025	-2.428	-2.3315	-4.022	-2.461	-2.849	-2.929	-2.789	-2.909	-3.725	0.099	0.136	0.123	0.4095	-0.06	-0.13	-1.895	-1.906	-1.527	-1.466	0.068	-2.936	-2.468	0.093	0.653	0.958	0.805	0.486
"YPL183C"	-0.3665	-0.807	0.2155	-3.014	-2.069	-1.767	-1.5955	-1.8275	-1.544	-4.1755	-1.7965	-2.531	-2.335	-1.757	-1.735	-1.38	-2.512	-2.745	-3.056	-0.103	-0.202	-0.226	-0.3185	-0.371	-0.129	-1.207	-0.751	-0.935	-0.68	-0.146	-1.4975	-0.8895	-0.1635	0.0825	0.169	-0.1955	-0.2615
"YPL226W"	-0.684333333333333	-1.114	0.375666666666667	-4.86566666666667	-3.38066666666667	-2.57633333333333	-2.407	-1.80333333333333	-2.21533333333333	-3.95033333333333	-2.786	-2.922	-4.0095	-2.363	-2.3985	-2.8955	-3.407	-2.9025	-3.983	-0.0735	0.0015	-0.507	-0.498333333333333	-0.397	-0.0845	-2.2435	-2.2755	-1.7945	-2.3825	-0.2765	-2.123	-1.895	-0.483	0.2	-0.077	-0.08	0.395
"YPR049C"	0.209666666666667	0.624	0.371333333333333	0.953333333333333	1.08666666666667	1.18466666666667	1.38933333333333	1.679	2.121	2.34566666666667	0.793666666666667	1.18933333333333	1.033	1.119	1.5345	1.8485	2.0825	1.4045	1.546	-0.105	0.0785	0.1715	0.0153333333333333	0.2295	-0.044	1.805	1.9485	1.605	1.4575	0.5835	1.576	1.751	0.173	0.325	0.02	-0.198	-0.514
"YPR102C"	-0.551	-1.197	0.1105	-3.521	-3.2315	-3.2945	-3.3515	-2.7315	-2.6455	-4.045	-3.673	-3.277	-4.644	-2.495	-2.723	-3.232	-3.352	-3.749	-4.692	0.219	0.076	0.337	0.6555	0.226	0.125	-2.243	-1.685	-1.678	-1.328	0.071	-3.663	-2.864	0.64	1.257	0.915	0.878	1.332
"YPR163C"	0.7075	-1.144	-0.0395	-3.6815	-2.265	-2.266	-1.717	-1.8375	-0.93	-2.9485	-2.6395	-2.0525	-3.136	-2.003	-2.05	-2.325	-2.642	-2.895	-2.82	-0.06	-0.396	0.385	0.022	0.187	0.436	-1.345	-1.666	-1.832	-2.618	-0.347	-1.861	-1.509	0.374	1.145	1.609	1.46	0.449
