	"497.Heat Shock 000 minutes"	"598.29 deg growth"	"684.YP fructose vs reference pool"	"781.Heat Shock 000 minutes (series 2)"	"797.Heat Shock 000 minutes (series 3)"	"819.DY1457 (wild type) 3 mM vs. 61 nM zinc"	"824.DY1457 (wild type) 10 uM zinc vs. 3 mM"	"984.MHY1 (crt1) vs. CRY1 (wild type) - log phase"	"1108.DY zap1 3 mM vs. 10 uM zinc #2"	"1139.DY1457 (wild type) 3 mM vs. 76 nM zinc"	"2064.Hypo-osmotic shock - 5 min"	"2555.Hypo-osmotic shock -30 minutes"	"2556.Hypo-osmotic shock - 45 minutes"	"2557.Hypo-osmotic shock - 60 minutes"	"4872.1M sorbitol - 60 min"	"5357.1.5 mM diamide (5 min)"	"7536.25C -- 30 min"	"7537.25C -- 45 min"	"7538.25C -- 60 min"	"7539.25C -- 90 min"	"8197.steady state 25 dec C"	"8227.dtt 000 min"	"8228.dtt 015 min"	"8229.dtt 030 min"	"13057.wt/crz1 Na 30min (1)"	"13058.wt/crz1 Na 30min (2)"	"13061.wt/crz1 Ca 15min (1)"	"13063.wt/crz1 Ca 30min (1)"	"13064.wt/crz1 Ca 30min (2)"	"13065.Na/Na+FK 30min (1)"	"13070.Ca/Ca+FK 15min (2)"	"13072.Ca/Ca+FK 30min (1)"	"13133.Ca/Ca+FK 30min (2)"	"27095.P1Comp 05 hr 5 min Phosphate Batch vs Chemostat Comparison"	"32624.S1Comp 07 hr 05 min Sulfate Batch vs Chemostat Comparison"	"32626.S1Comp 08 hr 55 min Sulfate Batch vs Chemostat Comparison"	"33361.delKin82(DBY10089) vs. wt (DBY8778)"	"34357.batch 02X25 1"	"34872.S4Comp 05 hr 00 min Sulfate Batch vs Chemostat Comparison"	"34874.S4Comp 06 hr 05 min Sulfate Batch vs Chemostat Comparison (rescan)"	"37282.CC SP 1B  Sulfate-Phosphate Chemostat Comparison"	"37284.CC SP 2B  Sulfate-Phosphate Chemostat Comparison"	"42062.U3Comp 10 hr 08 min Uracil Batch vs Chemostat Comparison"	"42063.U3Comp 11 hr 10 min Uracil Batch vs Chemostat Comparison"	"42064.U3Comp 12 hr 10 min Uracil Batch vs Chemostat Comparison"	"42065.U3Comp 13 hr 30 min Uracil Batch vs Chemostat Comparison"	"42066.U3Comp 25 hr 55 min Uracil Batch vs Chemostat Comparison"	"42225.U2 Comp 09 hr 12 min Uracil Batch vs Chemostat Comparison"	"42227.U2 Comp 11 hr 05 min Uracil Batch vs Chemostat Comparison"	"42373.CC UL 3B Uracil-Leucine Chemostat Comparison"	"42380.CC UL 2A Uracil-Leucine Chemostat Comparison"	"42398.L2 CompR 09 hr 58 min Leucine Batch vs Chemostat Comparison"	"42399.L2 CompR 11 hr 04 min Leucine Batch vs Chemostat Comparison"	"42400.L2 CompR 12 hr 03 min Leucine Batch vs Chemostat Comparison"	"42401.L2 CompR 12 hr 59 min Leucine Batch vs Chemostat Comparison"	"42402.L2 CompR 24 hr 59 min Leucine Batch vs Chemostat Comparison"
"YLR367W"	0.942	0.354	0.294	0.906	0.963	2.175	0.544	0.628	-0.216	2.016	0.02	0.186	0.309	0.263	0.19	0.209	0.902	0.88	1.453	1.336	0.204	1.035	0.668	0.667	0.906	0.958	0.56	0.473	0.181	0.94	0.336	0.394	0.674	1.368	1.205	0.85	1.041	0.452	0.474	0.296	0.548	0.901	1.605	2.216	2.217	2.492	2.616	2.419	0.826	0.22	0.526	2.464	4.007	3.646	4.115	3.645
"YLR372W"	0.939	0.25	0.653	1.022	0.965	2.07	0.242	-0.03	-0.267	2.112	0.012	0.217	0.336	0.243	-0.081	-0.08	0.576	0.821	0.682	0.888	0.181	0.979	1.028	0.445	0.487	0.333	0.155	-0.099	-0.233	0.329	0.479	1.095	0.815	0.256	0.379	1.245	1.417	0.3	0.93	0.878	0.576	0.622	0.531	2.327	2.877	2.535	2.155	1.511	1.977	0.132	0.295	1.86	1.783	1.563	1.921	1.562
"YLR388W"	1.213	0.456	0.888	1.145	0.956	1.261	0.521	0.583	0.34	1.216	0.306	0.562	0.648	0.498	0.202	0.738	0.876	1.102	1.64	1.6	0.529	1.302	0.984	0.822	0.593	1.012	0.414	0.372	0.375	0.787	0.427	1.319	1.037	0.88	1.369	0.876	0.817	0.512	1.328	1.214	0.883	0.795	0.825	1.334	2.701	2.226	1.769	1.027	0.982	-0.046	0.514	0.931	0.851	0.865	1.037	0.864
"YLR441C"	1.252	0.503	0.669	1.221	0.945	2.479	0.441	0.649	0.417	2.528	0.397	0.201	0.602	0.475	0.403	0.182	1.261	1.008	1.739	1.378	0.654	1.297	0.775	0.943	0.82	0.72	0.395	0.27	0.267	0.545	0.35	0.367	0.516	1.148	0.869	1.125	1.118	0.953	1.798	1.581	0.477	0.341	0.725	2.107	2.407	2.827	1.551	1.762	1.452	0.139	0.472	1.168	1.511	1.318	1.491	1.317
"YML024W"	0.485	0.353	0.737	0.906	0.975	1.536	0.042	0.451	-0.061	1.891	0.096	0.092	0.141	0.359	-0.183	0.257	0.822	0.951	1.429	1.078	0.63	1.082	0.824	0.698	0.313	0.697	0.257	0.292	0.12	0.457	0.26	0.363	0.543	1.056	-0.039	1.131	1.171	0.804	0.686	0.522	0.69	0.75	0.632	2.072	1.99	2.172	1.286	0.227	0.49	0.175	0.479	2.137	2.003	2.145	2.222	2.144
"YML026C"	0.441	0.301	0.331	0.972	1.104	1.729	0.234	0.558	0.021	1.943	0.017	0.136	0.157	0.385	-0.067	0.326	0.959	1.057	1.661	1.348	0.597	1.005	0.927	0.1	0.533	0.86	0.366	0.331	0.111	0.548	0.318	0.283	0.811	0.832	0.716	0.801	1.139	0.625	1.099	1.24	0.523	0.504	0.853	2.721	2.058	2.817	2.151	1.389	1.62	0.135	0.433	1.173	1.624	1.436	1.284	1.435
"YMR116C"	1.123	0.264	0.772	1.09	1.056	3.2	0.285	0.423	-0.053	3.169	0.189	0.167	0.377	0.357	-0.542	0.211	1.056	0.743	1.674	1.522	0.289	0.722	0.653	0.839	0.789	0.412	0.494	0.367	0.123	0.414	0.385	0.695	0.882	0.922	0.564	0.836	1.074	0.348	0.97	0.915	0.418	0.373	1.535	2.018	2.62	3.18	3.024	1.589	1.401	0.369	0.486	1.54	2.673	2.517	3.13	2.516
"YMR143W"	0.567	0.269	0.433	0.792	0.76	2.012	0.329	0.683	0.01	1.601	0.133	0.187	0.435	0.41	0.16	0.273	0.917	0.994	1.507	1.325	0.181	0.83	0.554	0.697	0.774	0.965	0.48	0.508	0.208	0.809	0.545	1.093	0.906	1.138	1.426	1.072	1.111	0.472	0.113	1.262	0.585	0.582	1.505	1.653	2.539	1.58	1.656	1.996	1.269	0.233	0.455	1.152	1.11	1.203	1.508	1.202
"YMR230W"	0.962	0.226	0.31	0.573	0.665	1.278	0.382	0.452	0.251	1.604	0.119	0.714	0.219	0.384	-0.474	0.264	-0.263	0.562	1.232	1.177	0.565	0.72	0.703	0.819	0.892	1.033	0.398	0.423	0.011	0.99	0.601	0.887	0.597	0.965	0.684	0.938	1.255	0.62	0.927	1.278	0.53	0.619	0.795	2.357	1.551	2.321	1.407	0.75	2.182	0.024	0.345	1.71	1.736	1.855	1.638	1.854
"YMR242C"	1.262	0.463	0.652	1.333	1.294	2.345	0.401	0.77	0.073	2.029	0.172	0.156	0.408	0.408	0.442	0.359	0.993	0.842	1.72	1.427	0.408	0.993	0.76	1.079	0.63	0.919	0.531	0.247	0.164	0.825	0.543	0.655	0.874	1.359	0.85	0.918	1.024	0.801	0.544	0.614	0.573	0.505	1.105	1.998	2.275	2.821	1.954	0.938	0.532	0.012	0.263	1.137	1.358	1.376	1.593	1.375
"YNL067W"	1.17	0.356	0.625	1.166	0.859	2.571	0.644	0.63	0.104	2.578	0.075	0.385	0.388	0.452	0.53	0.554	0.834	0.601	1.228	1.002	0.513	1.371	0.882	0.657	0.767	0.743	0.326	0.007	0.028	0.431	0.347	0.835	0.812	0.921	0.717	0.936	1.15	0.858	0.11	0.276	0.594	0.722	0.947	1.588	1.863	1.601	1.246	2.071	1.185	0.087	0.393	2.325	2.597	2.641	2.993	2.64
"YNL069C"	1.134	0.217	0.945	0.991	0.906	1.983	0.723	0.662	0.009	2.414	0.173	0.291	0.434	0.398	0.164	0.376	0.85	0.955	1.459	1.387	0.3	1.188	0.803	0.694	0.608	0.703	0.363	0.157	0.114	0.502	0.204	0.471	0.638	0.749	0.952	0.598	0.653	0.418	0.873	0.73	0.547	0.432	1.01	1.355	1.979	2.464	1.975	1.206	1.137	0.414	0.484	1.277	1.526	1.352	1.423	1.351
"YNL096C"	1.017	0.286	0.236	0.749	0.741	2.487	0.354	0.439	-0.075	2.416	0.007	0.119	0.381	0.323	-0.057	0.135	1.315	1.004	1.36	1.064	0.333	0.9	0.736	0.453	0.748	0.827	0.045	0.423	0.275	0.641	0.386	0.748	0.652	1.289	1.486	1.878	0.502	0.462	1.374	1.283	0.511	0.505	0.999	1.687	1.561	1.392	1.285	1.046	-0.06	0.048	0.329	0.863	0.848	0.995	1.358	0.994
"YNL119W"	1.189	0.18	0.311	1.033	0.844	1.834	0.552	0.554	-0.026	2.478	0.112	0.204	0.181	0.315	-0.324	0.13	0.798	0.82	0.966	1.262	0.214	0.874	0.642	0.559	0.677	0.859	0.242	0.23	0.22	0.434	0.321	0.666	0.737	0.931	0.997	1.174	0.631	0.26	1.003	0.801	0.578	0.514	0.743	1.545	1.778	2.188	1.835	0.743	0.336	0.04	0.305	0.982	0.939	0.949	1.303	0.948
"YNL162W"	1.123	0.291	0.555	1.003	1.055	1.592	0.442	0.758	-0.005	1.432	0.032	0.114	0.234	0.234	-0.03	0.237	0.677	0.507	1.404	1.099	0.283	1.117	1.0	0.436	0.404	0.931	0.185	0.337	0.239	0.639	0.243	0.884	0.462	0.694	0.514	0.792	1.515	0.692	1.276	1.197	0.541	0.569	1.163	1.756	2.252	2.74	1.654	0.984	0.473	-0.279	0.418	0.993	1.132	1.434	1.234	1.433
"YNL301C"	1.125	0.371	0.897	1.063	1.048	2.223	0.548	0.559	0.006	2.767	0.117	0.191	0.347	0.426	0.135	0.332	0.98	0.412	1.856	1.381	0.39	0.977	0.876	0.52	0.776	0.774	0.491	0.427	0.234	0.918	0.29	1.202	0.875	0.898	1.248	0.575	0.801	0.292	1.266	0.13	0.683	0.711	1.926	2.739	2.72	2.225	2.387	1.019	1.478	0.127	0.46	1.236	1.65	1.677	1.822	1.676
"YOL039W"	0.917	0.189	0.712	1.044	1.1605	2.518	0.379	0.509	0.184	2.614	0.277	0.348	0.46	0.47	0.462	0.635	0.661	0.866	1.082	1.816	0.099	0.1675	0.4485	-0.2495	0.462	1.017	0.201	0.216	0.184	0.961	0.089	0.906	0.884	0.675	1.416	1.178	1.085	0.373	1.338	0.658	0.866	0.934	1.051	1.922	1.834	1.682	2.06	1.195	0.753	0.411	0.563	1.197	1.301	1.18	1.483	1.179
"YOL040C"	0.975	0.312	0.392	1.057	0.9	2.7	0.607	0.431	0.004	2.681	0.225	0.261	0.428	0.379	0.247	0.623	1.257	0.569	2.062	1.562	-0.3865	0.956	0.75	0.688	0.632	0.927	0.22	0.555	0.349	0.839	0.598	1.072	1.118	1.459	1.673	1.166	0.607	0.632	1.533	1.164	0.564	0.609	0.578	1.45	1.232	1.725	1.581	0.425	0.666	0.358	0.219	1.487	1.378	1.317	1.958	1.315
"YOL120C"	1.168	0.472	1.021	1.265	0.876	2.356	0.666	0.662	-0.124	2.31	0.16	0.28	0.58	0.579	0.35	0.314	1.075	0.328	1.858	1.459	0.2385	0.6665	0.49	0.485	0.761	0.622	0.518	0.359	0.317	0.618	0.446	0.567	0.821	1.286	1.365	0.996	0.738	0.648	0.846	0.318	0.479	0.458	2.175	2.305	2.38	1.615	2.579	2.302	2.218	0.137	0.47	1.196	1.722	1.538	1.919	1.537
"YOR096W"	1.283	0.566	0.784	1.183	1.159	2.092	0.595	0.602	0.112	2.538	0.189	0.142	0.283	0.414	0.109	0.379	1.0	0.912	1.717	1.341	0.616	0.96	-0.234	0.505	0.542	0.958	0.462	0.396	0.118	0.875	0.427	0.673	0.698	1.32	0.929	0.482	0.984	0.795	1.609	1.184	0.623	0.678	1.327	2.33	2.811	2.6	1.232	1.096	0.412	0.266	0.521	1.79	1.987	1.839	2.068	1.838
"YOR182C"	1.197	0.48	0.558	0.914	0.757	1.317	0.462	0.478	0.322	1.494	0.278	0.245	0.363	0.515	-0.09	0.291	0.919	0.621	1.262	0.999	0.6765	1.3075	0.5835	0.987	0.708	0.997	0.111	0.43	0.191	0.349	0.367	0.506	0.615	0.241	0.846	0.278	0.54	0.417	1.004	0.958	0.665	0.573	0.771	1.938	1.698	2.325	1.691	0.786	1.313	-0.002	0.193	1.074	0.937	1.327	1.117	1.326
"YOR234C"	1.227	0.186	0.78	1.076	0.633	1.488	0.555	0.838	0.3	1.926	0.253	0.261	0.421	0.395	0.151	0.426	1.056	0.904	1.472	1.252	0.457	1.178	1.0035	0.485	0.764	0.8	0.069	0.359	0.21	0.339	0.345	0.532	0.686	0.669	0.451	0.106	0.759	0.741	0.273	0.491	0.665	0.704	1.542	1.64	2.017	2.141	1.915	-0.103	0.72	-0.097	0.605	1.327	1.357	1.664	1.617	1.663
"YOR369C"	1.029	0.43	0.865	1.207	0.9225	2.138	0.39	0.649	-0.045	1.967	0.102	0.169	0.388	0.367	0.217	0.435	0.786	0.266	1.617	1.483	0.672	1.046	0.7425	0.428	0.861	1.115	0.729	0.295	0.294	0.859	0.564	0.751	1.004	0.832	0.721	1.963	1.331	0.684	0.437	1.058	0.385	0.475	0.505	1.342	2.194	1.867	2.046	0.65	1.495	0.071	0.604	2.144	2.192	2.207	2.601	2.206
"YPL079W"	0.688	0.449	0.576	1.126	0.917	2.125	0.105	0.672	-0.138	1.834	0.199	0.199	0.527	0.467	0.031	0.4	1.127	0.718	1.576	1.318	0.3395	0.9955	0.555	0.9105	0.853	0.858	0.269	0.531	0.089	0.393	0.472	0.408	0.582	0.959	0.392	0.705	1.136	0.848	1.415	0.855	0.573	0.499	0.846	2.253	2.494	2.609	2.068	0.729	0.47	-0.085	0.079	1.043	1.205	1.137	1.272	1.136
"YPL198W"	1.284	0.2895	0.574	0.94	0.968	2.2845	0.2735	0.533	0.028	2.698	0.219	0.416	0.489	0.598	-0.237	0.4375	1.033	0.727	1.57	1.437	0.361	1.0615	1.086	0.972	0.739	0.573	0.008	0.348	0.228	0.224	0.185	0.525	0.617	0.855	1.431	1.156	0.695	0.7115	1.766	1.446	0.1385	0.203	0.582	1.975	1.8335	1.6535	0.921	0.9905	0.3715	-0.4445	0.4525	1.1795	1.2575	1.3255	1.527	1.3245
"YPL220W"	1.277	0.514	0.745	1.154	1.2	1.9695	0.4555	0.968	0.099	2.259	0.263	0.163	0.545	0.483	0.081	0.283	0.923	0.764	1.589	1.635	0.377	1.324	1.163	0.7055	0.674	0.632	0.389	0.272	0.243	0.63	0.284	0.584	0.434	0.9	0.601	0.088	1.514	0.518	1.328	0.493	0.617	0.551	0.883	2.433	2.636	2.301	2.005	1.181	1.179	0.135	0.367	1.889	1.98	1.942	2.002	1.941
"YPR102C"	1.367	0.317	0.609	1.2	1.1555	2.3265	0.223	0.704	0.354	2.333	0.199	0.152	0.43	0.413	0.219	0.3965	0.923	0.68	1.344	1.035	0.671	0.7845	0.56	0.697	0.802	1.18	0.485	0.158	0.161	0.768	0.364	0.635	0.767	1.365	1.173	0.879	1.292	0.697	0.749	1.378	0.509	0.411	0.75	2.598	2.475	2.91	2.117	1.332	0.863	-0.026	0.455	1.042	1.255	1.129	1.211	1.128
"YPR132W"	1.079	0.472	0.6	1.0155	0.901	2.133	0.4555	0.565	0.351	2.058	0.312	0.103	0.377	0.37	0.125	0.2625	0.887	0.944	1.453	1.16	0.6485	0.975	0.653	0.8225	0.559	0.89	0.487	0.419	0.049	0.815	0.529	1.02	0.858	1.045	0.853	0.951	1.19	0.397	0.858	0.914	0.513	0.539	0.629	2.204	1.923	2.496	1.683	0.858	0.997	-0.04	0.146	1.205	1.353	1.459	1.659	1.463
