	"597.25 deg growth"	"598.29 deg growth"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1009.YPD 2 h (25C)"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"4872.1M sorbitol - 60 min"	"6344.DES460 + 0.02% MMS - 5 min"	"6349.DES460 + 0.02% MMS - 15 min"	"6351.DES460 + 0.02% MMS - 30 min"	"6354.DES460 + 0.2% MMS - 45 min"	"6439.DES459 (mec1-) + 0.02% MMS - 30 min"	"6824.Sporulation t0"	"8291.wt+pRS315 vs. wt+pRS-MCM7"	"8526.dun1- + 0.02% MMs - 30 min"	"11466.yO1 test hyb"	"13057.wt/crz1 Na 30min (1)"	"13058.wt/crz1 Na 30min (2)"	"13059.wt/crz1 Na 45min (1)"	"13060.wt/crz1 Na 45min (2)"	"14081.FY2(B) vs. FY2(A) 23.5 hours"	"27096.P1Comp 19 hr 6 min Phosphate Batch vs Chemostat Comparison"	"27100.P1Comp 16 hr 55 min Phosphate Batch vs Chemostat Comparison"	"27102.P1Comp 21 hr 5 min Phosphate Batch vs Chemostat Comparison"	"27103.P1Comp 24 hr 5 min Phosphate Batch vs Chemostat Comparison"	"27105.P1Comp 27 hr 15 min Phosphate Batch vs Chemostat Comparison"	"27106.P1Comp 33 hr 5 min Phosphate Batch vs Chemostat Comparison"	"27108.P1Comp 45 hr 5 min Phosphate Batch vs Chemostat Comparison"	"28843.P2Comp 09 hr 20 min Phosphate Batch vs Chemostat Comparison2"	"28845.P2Comp 09 hr 49 min Phosphate Batch vs Chemostat Comparison2"	"28857.P2Comp 25 hr 43 min Phosphate Batch vs Chemostat Comparison2"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33782.delYPL230w_stationary_phase_1day"	"34882.S4Comp 13 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34883.S4Comp 14 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34884.S4Comp 15 hr 05 min Sulfate Batch vs Chemostat Comparison"
"YNL237W"	-0.136	-0.633	2.908	2.738	3.066	2.427	2.484	2.386	2.376	0.855	1.081	1.479	1.448	1.373	-0.065	3.489	2.884	2.871	2.949	2.902	2.38	1.751	-0.074	0.13	0.0	0.079	0.284	0.398	0.022	-0.324	0.165	1.759	-0.182	-0.182	-0.098	-0.313	0.16	0.771	0.134	0.413	-0.274	0.245	-0.143	-0.336	-0.926	-0.034	0.52	1.691	2.07	1.64	0.76	0.419	0.494	1.124
"YNL332W"	-0.139	-0.29	NaN	NaN	NaN	NaN	1.575	-0.415	NaN	-0.13	1.308	0.741	1.519	1.419	-0.504	1.262	1.477	2.395	1.984	1.855	1.54	1.449	0.405	0.028	0.431	0.152	0.667	0.052	0.089	-0.029	0.045	1.801	0.03	0.273	0.187	0.164	0.36	1.234	0.815	1.193	1.319	0.945	1.152	0.452	0.692	0.683	2.148	0.806	0.367	0.29	1.36	0.201	0.777	1.189
"YNR002C"	-0.159	-0.111	3.522	3.679	4.1155	3.544	3.295	4.0245	4.399	2.168	1.8715	2.342	0.9535	1.804	-0.209	2.865	4.327	3.175	1.676	5.416	5.477	4.078	0.126	0.315	0.404	0.356	0.374	0.369	0.425	-0.108	0.129	2.55	-0.157	-0.2	0.18	0.066	-0.09	0.956	1.387	1.23	-0.336	0.812	1.094	0.775	0.216	0.034	-0.427	4.09	2.62	3.924	4.675	1.191	1.615	2.058
"YOR152C"	-0.827	-0.166	3.13	2.73	2.6355	2.7555	2.9555	3.1825	3.475	1.069	1.5555	1.336	1.4745	1.5545	0.142	3.121	2.083	1.874	1.565	2.547	2.341	1.885	0.01	NaN	0.118	0.27	0.181	0.256	0.199	-0.409	0.0	1.61	-0.138	0.135	-0.144	0.009	-0.082	1.568	1.489	1.471	1.717	1.407	0.893	1.334	0.092	-0.111	0.784	1.481	1.012	1.643	1.495	1.062	0.99	-0.239
"YOR178C"	-0.36	-0.311	4.6505	3.5155	4.543	3.9715	4.7535	4.727	4.682	3.6495	2.579	2.623	2.2575	2.2275	0.22	3.591	4.802	5.508	5.525	6.246	5.242	4.229	0.291	-0.171	-0.741	-0.301	-0.484	0.02	0.158	-0.087	-0.391	3.538	0.048	-0.006	0.165	0.169	-0.24	0.865	0.738	0.648	1.504	1.204	1.532	0.753	0.019	0.43	-0.687	0.471	2.364	0.468	1.444	0.104	0.446	-0.21
"YOR215C"	0.763	-0.088	3.394	2.4755	3.208	2.6435	3.4105	3.054	3.035	2.579	2.4185	2.5175	1.95	2.273	0.164	2.731	2.998	3.231	3.475	3.205	2.693	1.79	0.037	0.003	-0.212	-0.047	-0.087	0.233	0.071	-0.328	0.199	3.123	-0.499	-0.406	-0.452	-0.522	-0.126	1.301	0.689	1.066	0.615	0.849	0.466	0.479	0.84	0.316	0.562	2.41	2.944	2.872	2.688	0.116	0.843	1.217
"YPL054W"	-0.918	-1.04	3.8355	5.1395	4.8575	4.304	5.5145	5.759	5.7125	4.7285	4.3245	5.1485	4.589	0.651	-0.52	5.006	4.065	4.256	4.91	5.184	5.018	3.449	0.201	0.033	0.034	0.237	0.116	-0.158	0.329	-0.652	-0.392	4.457	-0.694	-0.568	-0.207	-0.275	-0.195	1.395	1.221	1.141	1.783	1.614	1.614	1.155	-0.376	0.936	1.151	3.262	2.927	3.741	4.439	1.456	1.437	1.431
"YPL147W"	-0.440666666666667	-0.810666666666667	2.51633333333333	2.51233333333333	3.635	3.046	3.802	3.194	5.74466666666667	3.24133333333333	2.73866666666667	2.89133333333333	2.694	2.44766666666667	-0.3425	2.811	2.8035	2.074	2.4785	4.8195	4.6645	4.599	-0.0485	-0.05	-0.2055	-0.003	0.1205	-0.093	-0.061	0.173	-0.415	2.8235	-0.616	-0.293	0.081	0.002	-0.0505	0.7505	0.3785	0.4905	0.7695	0.4645	0.6665	0.8205	-0.339	0.1005	0.8875	2.565	1.753	0.257	2.078	0.511	-2.598	-0.518
"YPL201C"	0.1365	-0.0855	4.0985	4.1215	4.803	3.3225	3.2325	2.2945	4.55	2.6365	2.6935	2.2215	2.69	1.9285	-0.198	4.28	2.754	1.464	2.346	4.567	4.691	4.339	-0.061	0.685	0.113	-0.117	-0.019	0.027	0.091	-0.255	-0.503	3.767	0.331	0.465	0.139	0.322	0.004	0.862	0.366	0.632	0.978	0.941	1.555	1.072	-0.5	0.45	0.629	4.745	3.811	4.769	3.095	-1.93	0.376	NaN
"YPR026W"	-1.0	-0.481	3.8095	3.0925	3.4835	3.5355	3.8265	3.212	4.272	2.0895	1.8575	1.9465	1.637	1.72	-0.259	3.247	3.097	3.589	3.048	3.736	3.344	3.193	-0.175	-0.223	0.231	0.832	0.601	-0.22	0.158	-0.095	0.333	1.986	-0.7	-0.863	-0.306	-0.386	-0.036	0.793	0.323	0.723	0.523	0.38	0.437	0.574	0.402	0.308	-1.223	1.758	1.9425	1.644	2.2575	-0.387	0.65	0.6845
"YPR027C"	-0.151	-0.0355	2.9505	2.14	1.795	1.7815	1.2525	2.0225	2.0065	2.1865	1.7445	1.471	1.1455	1.2155	-0.092	3.358	2.05	1.073	1.182	1.903	2.26	1.341	-0.024	-0.092	-0.246	-0.358	-0.304	-0.199	-0.307	-0.209	-0.163	0.667	-0.005	-0.028	0.013	0.211	0.278	-0.606	0.028	-0.319	-0.522	0.248	-0.037	-0.104	0.601	0.815	-1.329	1.704	1.783	1.489	0.928	0.328	-0.225	-0.497
"YPR060C"	0.226	0.175	-3.5465	-3.094	-2.8645	-3.075	-3.446	-3.377	-2.069	-1.514	-1.7345	-1.7935	-1.8045	-2.859	0.01	-2.71	-2.301	-1.98	-2.627	-2.107	-3.352	-2.894	-0.092	0.102	-0.389	-0.006	-0.159	-0.041	-0.066	0.59	0.203	-2.467	-1.549	0.155	0.444	0.574	-0.626	-1.004	-0.784	-0.926	-0.724	-1.285	-1.386	-0.612	0.426	0.3	-0.972	-1.945	-2.784	-2.741	-2.719	-0.923	-1.209	-0.912
"YPR061C"	0.2025	-0.534	3.2605	2.316	2.6935	2.418	3.046	3.174	4.0665	2.366	1.969	2.301	2.106	0.9435	-0.09	2.595	1.949	1.796	2.895	0.276	3.554	3.224	-0.06	-0.199	-0.29	-0.222	-0.223	0.045	-0.043	0.043	-0.737	1.824	0.36	0.145	0.453	0.158	0.953	1.05	1.007	1.12	0.913	1.2	1.318	1.341	0.422	0.963	1.6	2.392	1.657	2.125	2.157	1.103	0.617	1.242
"YPR150W"	-0.3925	-0.594	4.325	2.686	4.2075	3.338	3.983	3.526	6.801	3.449	3.608	4.3645	3.446	4.025	-0.523	1.618	2.319	2.101	2.954	4.069	3.943	3.963	0.058	-0.237	-0.318	-0.415	-0.546	-0.565	0.115	0.112	-1.292	2.612	-0.227	0.118	0.097	0.071	0.313	0.899	0.831	0.827	1.166	0.855	1.034	1.437	-0.368	1.018	0.754	2.704	2.251	2.891	2.466	1.054	1.048	0.8
"YPR151C"	-0.6605	-0.389	3.785	3.607	4.572	4.0445	4.539	4.7805	6.135	2.9855	3.702	4.264	3.353	-0.735	-0.241	2.014	2.42	1.754	2.526	4.373	4.037	3.357	0.103	0.021	-0.569	-0.452	-0.406	-0.423	0.081	0.025	-1.119	2.038	-0.278	0.021	-0.098	-0.123	-0.027	1.116	0.86	1.129	1.083	1.228	1.348	1.724	-0.103	-0.244	0.402	2.514	1.69	1.869	2.009	0.78	0.49	0.715
