	"54.Elutriation2:Sample2:Time2.5hrs"	"55.Elutriation2:Sample2:Time3.0hrs"	"84.cdc15 190 min"	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"116.heat shock 40 min"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"512.2.5mM DTT 005 min"	"518.2.5mM DTT 120 min"	"519.2.5mM DTT 180 min"	"815.1M sorbitol - 15 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"863.Amino acid + adenine starvation 1 h"	"906.w303a vs w303a hcm1"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"984.MHY1 (crt1) vs. CRY1 (wild type) - log phase"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1017.YPD 7 d (25C)"	"1254.mec1_plus_gamma_60_min"	"1664.cdc15 170 min"	"1665.cdc15 150 min"	"1668.cdc15 130 min"	"2141.Elutriation2:Sample2:Time1.0hrs"	"4048.0.8M NaCl +FK506 - 30 min"	"7528.DBYyap1 0.32 mM H2O2 - 20 min"	"7536.25C -- 30 min"	"7537.25C -- 45 min"	"7538.25C -- 60 min"	"7539.25C -- 90 min"	"7759.Na 30min"	"7760.Na 45min"	"7761.Na 60min"	"7763.Na+FK 30min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"8197.steady state 25 dec C"	"8228.dtt 015 min"	"8234.dtt 240 min"	"11466.yO1 test hyb"	"12744.heat shock 17 to 37, 20 minutes"	"13065.Na/Na+FK 30min (1)"	"16338.DES460 vs. DES460 YPD log phase control"	"17676.Na+FK 45min (4)"	"17677.Na+FK 60min (4)"	"21632..24 mM H2O2- 250 minutes"	"21662..24 mM H2O2- 230 minutes"	"27095.P1Comp 05 hr 5 min Phosphate Batch vs Chemostat Comparison"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"32255.DBY8778_heat_shock2_60min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34348.wt_hypo_osmotic_shock_7min"	"34349.wt_hypo_osmotic_shock_16min"	"34350.wt_hypo_osmotic_shock_30min"	"34353.delPPT1_hypo_osmotic_shock_7min"	"34354.delPPT1_hypo_osmotic_shock_15min"	"34360.batch 02X25 4"	"34362.batch 02X25 5"	"34365.batch 02X25 6"	"34368.batch 02X25 7"	"34502.wt_hypo_osmotic_shock_0min_repeat"	"34876.S4Comp 07 hr 10 min Sulfate Batch vs Chemostat Comparison"	"37282.CC SP 1B  Sulfate-Phosphate Chemostat Comparison"	"37284.CC SP 2B  Sulfate-Phosphate Chemostat Comparison"	"37285.CC SP 3B  Sulfate-Phosphate Chemostat Comparison"	"38152.03II01 batch p8"	"38153.03II01 batch p9"	"38154.03II01 batch p10"	"38155.03II01 batch p11"
"YGR173W"	0.507	0.151	-0.17	-2.503	-1.71	-0.761	-1.958	-2.8095	-2.487	0.065	-1.611	-1.394	-0.39	-3.271	-1.888	-1.436	-1.194	-1.375	-1.91	-2.218	-3.699	-1.899	-0.697	0.065	-2.709	-2.065	-1.747	0.087	-1.546	-1.279	-1.36	-0.91	-1.996	0.638	-0.218	-0.243	0.02	-0.076	0.185	-0.517	0.442	0.005	0.721	-0.154	0.117	-0.388	-0.135	0.217	-0.354	-0.522	0.242	0.585	-0.871	-1.2535	-2.734	0.1965	0.1185	-0.1045	0.1205	-1.482	-0.2405	0.5005	-1.911	-1.015	-0.057	-2.164	-1.798	-0.735	-2.139	-1.259	-0.642	-1.525	-0.133	-0.157	-0.021	-0.092	0.196	-1.067	-0.792	-1.523	-0.355	-0.403	0.726	0.248	0.255	0.275	-1.088	-1.024	-0.607	-0.537
"YGR187C"	0.644	0.352	-0.204	-2.837	-2.2925	-1.4205	-1.6905	-2.126	-2.5625	0.316	-1.763	-1.502	-1.447	-2.942	-2.082	-1.876	-1.392	-1.08	-1.208	-2.024	-3.678	-1.765	-0.073	0.011	-2.234	-2.079	-1.08	0.504	-2.27	-1.613	-1.609	-1.84	-2.482	0.028	-0.487	-0.606	-0.014	0.398	-1.405	-2.296	1.055	0.946	-0.032	-0.093	-1.448	-1.77	-1.27	-1.021	-1.439	-1.414	0.428	0.676	-0.945	-1.119	-2.453	-0.198	-0.417	-2.082	-1.243	1.314	0.207	0.494	-2.287	-1.638	-0.881	-2.525	-2.662	-1.577	-3.256	-2.5	-0.898	-1.778	0.059	0.086	-0.319	-0.545	-0.342	-2.271	-1.674	-1.891	-0.914	-0.163	0.759	-0.09	0.059	0.045	-1.636	-1.625	-2.017	-1.228
"YHL011C"	0.812	0.279	-0.175	-2.744	-2.467	-1.4255	-2.107	-3.0145	-3.024	-0.102	-0.812	-0.971	-1.144	-2.604	-1.684	-1.225	-1.072	-0.736	-1.162	-2.023	-3.592	-1.461	-0.5	0.563	-2.503	-2.019	-1.597	0.401	-1.801	-0.989	-1.128	-1.272	-1.552	0.557	-0.362	0.206	-0.298	0.475	-1.129	-0.744	1.155	1.124	0.659	0.68	-1.019	-1.859	-1.437	-1.066	-2.057	-2.013	0.587	1.257	-0.296	-1.063	-3.2715	0.329	0.275	-1.872	-1.335	-1.199	-0.622	0.437	-2.38	-1.532	-0.563	-2.033	-1.74	-0.172	-2.086	-0.98	-1.253	-1.311	0.092	0.269	0.024	0.438	0.296	-2.085	-1.499	-2.364	-1.314	0.397	0.928	0.342	0.334	0.365	-1.084	-1.117	-1.384	-1.39
"YHL030W"	-0.337	-0.26	-0.552	1.19066666666667	0.865	0.96	1.159	0.719	0.525333333333333	-0.2645	-0.657	-0.645	0.1965	-0.0625	-0.5215	-0.679	-0.481	-1.2625	-1.3335	-1.9605	-1.738	1.4675	0.3145	0.0425	-0.2785	-0.3605	0.185	0.205	-1.007	-0.865	-1.0335	-1.046	-1.5635	0.4725	-0.2665	-1.126	-0.3355	0.426	-0.2385	0.6805	-0.2295	-0.1375	-0.9265	-0.4345	-0.356	-0.3975	0.163	-0.3205	0.292	0.4085	-0.1005	-0.5195	-0.3895	0.1285	0.664	-0.279	0.064	1.818	-1.0025	-1.0965	-0.318	-0.028	1.359	1.6895	0.558	-0.983	-0.44	-0.4145	0.342	-0.5575	-0.377	0.3745	-0.292	-0.3	0.0015	-0.2235	-0.172	0.1665	-0.148	-0.4205	-0.325	-0.253	0.1075	0.1235	0.022	0.175	0.124	0.1335	0.172	-0.0155
"YHR010W"	1.091	0.883	-0.025	-2.471	-2.255	-1.9545	-2.0245	-3.406	-3.8525	0.228	-1.551	1.585	-0.983	-3.693	-3.281	-3.149	-2.926	-2.458	-3.025	-3.508	-4.514	-2.294	-1.125	0.235	-3.343	-3.288	-3.007	0.753	-4.159	-2.399	-2.244	-2.541	-2.032	0.264	0.773	0.312	-0.2655	0.898	-1.158	-1.106	0.943	0.749	1.55	1.153	-1.441	-1.972	-1.452	-1.084	-1.912	-1.667	0.394	0.843	-2.034	-2.412	-3.0485	0.777	-0.324	-1.93	-1.455	-0.526	-0.573	0.91	-2.868	-1.146	-0.744	-3.363	-2.267	-2.283	-3.56	-2.961	-1.715	-2.978	-0.059	0.076	0.273	-0.049	0.296	-1.73	-2.433	-3.266	-2.575	0.326	1.209	0.768	0.792	0.816	-0.845	-1.259	-1.777	-1.568
"YHR052W"	0.726	0.152	0.334	-4.2445	-3.5175	-2.1725	-3.5215	-4.3935	-3.9395	0.916	-1.327	-1.505	-2.222	-4.199	-3.017	-2.239	-2.075	-2.236	-2.282	-2.598	-4.447	-2.516	-0.345	0.766	-2.565	-2.428	-1.756	0.508	-3.435	-2.249	-2.245	-2.297	-2.764	0.564	-0.077	-0.024	-0.164	-0.076	-2.447	-1.839	1.748	1.323	0.835	0.892	-2.417	-2.621	-1.95	-1.349	-2.318	-2.298	0.495	1.008	-1.408	-1.882	-4.9395	0.161	0.025	-2.641	-2.604	-0.796	-0.121	0.364	-2.827	-1.875	-1.073	-1.892	-3.411	-1.666	-3.47	-2.114	-2.463	-1.582	0.131	0.049	-0.314	0.026	-0.135	-3.048	-2.533	-3.44	-1.225	NaN	0.834	-0.124	-0.05	0.287	-2.249	-1.949	-2.227	-1.327
"YHR066W"	0.396	-0.087	NaN	-3.7505	-3.0515	-1.2655	-2.9815	-3.762	-3.552	1.083	-1.986	-1.944	-2.543	-4.885	-2.062	-1.572	-1.589	-1.438	-1.792	-3.164	-5.203	-2.29	0.003	0.424	-2.974	-2.008	-1.599	0.289	-2.742	-1.611	-1.41	-1.569	-2.539	0.312	NaN	NaN	NaN	-0.521	-2.029	-2.058	0.844	0.698	0.275	0.291	-1.659	-2.447	-1.738	-1.335	-2.494	-2.346	0.383	0.982	-1.507	-1.372	-4.347	-0.184	0.064	-3.667	-3.295	-1.227	0.041	0.399	-3.068	-1.906	-1.292	-1.623	-1.898	-0.729	-2.382	-1.908	-1.368	-1.089	-0.01	-0.115	-0.094	-0.19	-0.159	-1.807	-1.898	-1.63	-0.937	-0.32	0.878	-0.165	0.183	0.198	-1.261	-2.157	-1.669	-1.328
"YHR072W"	0.622	0.329	0.083	-1.3315	-1.1985	-0.435	-0.8005	-1.235	-1.426	0.131	0.311	0.269	0.222	-1.051	-0.352	-0.274	0.087	-0.27	-0.532	-1.575	-3.144	-0.005	0.151	-0.509	-1.309	-1.149	-0.816	-0.038	-0.541	-0.303	-0.501	-0.761	-0.722	0.186	0.421	0.126	0.08	0.688	-0.223	-0.356	0.863	0.303	0.82	0.363	0.002	-0.394	-0.892	0.259	-0.058	-0.311	0.474	0.117	0.295	-1.153	-1.5865	-0.612	-0.588	-1.282	-0.783	-0.418	0.137	0.433	-1.17	-0.452	-0.392	-1.029	-1.148	-0.809	-0.36	-0.455	-0.494	-0.069	-0.002	-0.292	0.07	-0.003	0.15	NaN	-0.833	-1.027	-0.805	0.033	0.377	0.348	0.104	0.398	-0.495	-0.808	-0.26	-0.169
"YHR148W"	0.844	0.318	0.493	-3.0225	-2.0375	-1.108	-2.8705	-3.2345	-2.692	0.45	-1.803	-2.517	-1.175	-3.086	-1.904	-1.665	-1.259	-1.042	-1.63	-2.321	-3.377	-1.802	-0.207	0.366	-1.557	-1.816	-0.327	0.405	-1.58	-0.968	-0.949	-0.812	-0.995	0.479	0.222	0.054	0.236	0.181	-2.068	-1.697	1.032	0.725	0.755	0.291	-2.063	-2.43	-1.54	-1.509	-2.013	-1.969	0.488	0.925	-0.925	-1.486	-3.95	0.224	-0.331	-2.946	-1.944	-0.908	-0.013	0.308	-2.565	-2.119	-1.032	-1.681	-1.749	-1.989	-2.893	-1.982	-1.373	-1.562	-0.172	0.033	-0.557	-0.288	-0.258	-1.715	-1.11	-1.485	-1.021	-0.445	0.24	0.295	0.24	0.365	-1.415	-1.268	-1.811	-1.238
"YHR179W"	0.061	-0.059	-0.143	0.407	-0.048	-0.257	0.277	0.9115	1.088	-0.026	-0.628	-0.486	-0.516	-2.165	-1.726	-1.819	-1.93	-1.971	-1.311	-3.188	-4.68	-1.411	0.008	-0.031	-1.089	-0.861	-1.054	-0.006	-1.675	-1.674	-1.236	-2.035	-5.251	-0.451	-0.451	-0.527	-0.609	0.036	-0.414	0.405	0.317	-0.658	0.899	-0.369	-0.423	-0.781	-1.089	-0.547	-1.003	-1.285	-0.154	0.218	-1.26	-1.77	0.7505	0.257	-0.233	-1.015	-0.405	0.04	0.141	-0.253	0.253	0.353	0.955	-1.787	-1.702	-1.109	-0.645	-1.414	-1.142	-1.757	-0.113	-0.272	-0.137	0.081	-0.116	-2.189	-1.082	-1.421	-0.817	-0.062	-0.158	0.171	0.056	0.083	0.308	0.529	0.512	-1.025
"YIL127C"	0.068	-0.091	-0.325	-2.724	-3.181	-1.5835	-1.7815	-2.8895	-2.6295	0.935	-1.486	-1.529	-1.82	-3.825	-3.066	-2.308	-2.16	-1.369	-1.833	-1.8	-4.521	-2.293	-0.681	0.211	-3.072	-1.756	-1.412	0.335	-2.484	-1.39	-1.039	-1.481	-1.52	-0.076	-0.191	0.204	-0.356	-0.222	-1.18	-1.276	0.79	0.482	0.654	0.156	-1.33	-1.876	-1.539	-0.89	-2.052	-2.118	0.402	0.881	-1.608	-1.671	-2.6085	-0.063	0.067	-2.27	-2.36	0.184	-0.594	0.083	-2.784	-1.905	-1.009	-2.676	-1.774	-0.758	-3.693	-1.968	-1.42	-1.731	-0.328	-0.289	-0.194	-0.035	-0.022	-0.214	-1.24	-1.234	-0.675	-0.759	0.859	0.16	0.352	0.187	-2.161	-2.182	-1.807	-1.387
"YJL001W"	-0.389	-0.489	-0.008	0.747	0.979	0.3765	0.9545	1.01	0.8125	0.503	0.602	0.422	0.465	0.491	-0.015	0.392	0.576	-0.143	-0.09	-1.217	-4.027	0.332	0.24	0.252	0.02	0.16	-0.534	-0.116	0.338	0.313	0.244	0.023	-1.689	0.334	-0.014	0.005	-0.136	-0.404	-0.057	0.976	0.072	-0.574	0.061	-0.128	-0.595	0.217	0.694	-0.313	-0.154	0.203	0.425	0.455	0.042	-0.099	0.5925	0.045	0.105	0.513	0.801	-0.122	-0.243	0.409	1.223	1.251	0.549	1.302	0.701	0.366	0.889	-0.172	0.293	1.115	-0.195	-0.16	-0.18	0.032	-0.268	0.865	0.751	0.472	0.22	-0.074	0.552	0.45	0.404	0.488	0.678	1.17	0.852	0.171
"YJL122W"	0.725	0.152	0.541	-3.1605	-2.6115	-1.7245	-2.3555	-3.015	-2.6085	0.148	-2.027	-1.852	-1.78	-4.13	-2.475	-2.636	-2.364	-2.423	-1.794	-3.846	NaN	-2.124	-0.67	0.304	-2.718	-2.694	-2.711	0.365	-1.834	-1.836	-1.889	-1.753	-1.743	0.46	-0.334	0.183	0.311	-0.499	-1.669	-2.14	1.682	1.419	1.417	0.932	-1.63	-2.152	-1.354	-1.899	-2.238	-2.159	0.595	0.543	-1.155	-1.219	-2.9625	0.288	-0.08	-2.907	-3.107	-0.649	-0.476	0.29	-3.081	-2.605	-1.588	-2.529	-2.241	-1.562	-3.406	-2.805	-1.521	-1.919	-0.556	-0.439	-0.56	-0.177	-0.413	-1.743	-0.965	-1.016	-0.893	-0.845	0.866	0.363	0.492	0.48	-2.23	-2.161	-2.194	-1.284
"YJL148W"	0.744	0.186	-0.062	-2.7525	-2.695	-1.757	-2.0075	-3.2015	-2.403	0.975	-1.911	-2.021	-2.397	-3.572	-2.334	-2.266	-1.974	-2.226	-1.709	-2.742	-4.104	-1.997	-0.321	0.36	-3.006	-1.938	-2.149	0.368	-3.662	-2.646	-2.572	-2.639	-3.352	0.457	-0.579	-0.273	-0.008	-0.042	-1.019	-1.789	1.242	1.035	1.155	0.599	-1.239	-2.592	-1.966	-0.52	-1.856	-2.304	0.568	0.701	-1.657	-1.839	-2.967	0.435	-0.22	-2.835	-2.24	-1.188	-0.268	0.722	-3.84	-2.82	-1.72	-3.568	-2.484	-1.774	-3.944	-2.823	-2.113	-2.731	-0.756	-0.663	-0.493	-0.684	-0.434	-1.573	-1.472	-2.21	-1.489	-1.303	0.766	0.4	0.385	0.352	-2.545	-2.245	-2.044	-1.999
"YJL161W"	-0.561	-0.652	0.16	3.34	3.0215	1.284	2.924	2.9465	2.6305	-0.939	1.499	1.401	2.003	4.563	3.611	3.93	3.112	3.653	3.361	1.96	-0.11	2.695	0.684	0.392	2.121	2.448	1.568	-0.281	3.842	2.787	3.222	3.992	2.238	0.205	0.889	-0.594	0.054	0.401	2.51	3.228	-1.423	-1.236	-1.311	-0.873	1.761	2.317	2.208	1.276	1.53	2.172	-1.107	-1.3	1.854	3.213	3.716	0.797	-0.009	2.787	2.882	0.708	0.666	-0.759	3.191	2.158	1.046	3.856	2.853	2.924	4.871	3.407	2.38	2.76	0.721	0.421	0.123	0.215	0.165	3.507	2.625	3.2	2.763	0.518	-0.16	-0.778	-0.903	-0.862	2.378	3.202	2.271	3.28
"YJL188C"	0.748	0.599	0.468	-1.789	-1.645	-1.4305	-1.9795	-2.06	-2.5615	0.768	-1.235	-1.829	-0.55	-2.525	-2.39	-2.043	-1.864	-1.323	-1.808	-2.786	-4.633	-2.442	-1.02	0.767	-2.24	-2.745	-2.519	0.891	-3.453	-1.897	-1.885	-1.929	-2.54	0.528	0.755	0.556	0.5265	0.628	-0.431	-0.676	0.858	0.858	1.709	1.238	-1.118	-1.518	-1.071	-0.479	-1.135	-1.4	0.783	0.982	-1.98	-1.525	-2.649	0.523	0.247	-1.505	-1.735	-0.304	-0.08	0.8	-1.864	-0.523	-0.719	-2.879	-1.947	-2.436	-2.777	-2.447	-2.254	-2.01	0.174	0.626	0.185	0.062	-0.12	-1.398	-1.965	-2.16	-2.129	-0.155	0.185	0.901	0.821	0.663	-1.035	-0.79	-1.839	-1.778
"YJR063W"	0.156	-0.214	-0.06	-2.675	-2.1255	-1.323	-2.576	-2.555	-2.2705	0.234	-1.548	-0.912	-1.144	-3.233	-2.702	-2.518	-2.034	-2.513	-2.698	-2.37	-3.68	-2.039	-0.544	0.538	-1.586	-2.243	-0.583	0.333	-2.236	-1.596	-1.698	-1.726	-2.078	0.363	-0.067	-0.004	-0.1	-0.263	-1.662	-1.994	1.436	1.151	0.992	0.799	-2.045	-1.804	-1.2	-1.258	-1.476	-1.422	0.296	0.854	-1.182	-1.026	-3.415	0.098	0.243	-1.705	-1.471	-0.632	-0.174	0.643	-1.276	-1.173	-0.947	-1.51	-1.289	-0.898	-2.958	-2.455	-1.224	-2.045	-0.187	-0.059	-0.411	0.002	-0.218	-1.617	-1.05	-1.627	-0.997	-0.451	0.33	0.315	0.296	0.359	-1.445	-1.552	-1.768	-1.226
"YJR070C"	0.51	0.303	-0.381	-4.6905	-4.824	-1.8185	-3.895	-4.828	-4.332	0.143	-1.478	-1.449	-1.418	-5.317	-3.975	-3.514	-3.056	-2.526	-3.68	-3.511	-7.226	-3.689	-0.887	-0.131	-3.471	-2.777	-2.792	0.181	-2.102	-1.698	-1.543	-1.829	-2.254	-0.56	0.049	-0.817	-0.1	-0.546	-0.876	-1.611	1.238	0.489	1.747	0.478	-0.684	-2.306	-2.277	-1.265	-2.616	-3.193	0.093	0.919	-2.021	-2.575	-4.7655	0.583	-0.72	-3.782	-2.739	-1.183	-1.208	0.627	-3.81	-2.429	-1.002	-3.069	-2.355	-1.434	-3.754	-3.104	-2.692	-3.23	-0.098	-0.085	-0.027	0.052	0.084	-2.357	-1.812	-2.472	-1.859	-0.415	0.158	0.326	0.176	0.34	-1.64	-2.535	-2.011	-1.953
"YKL009W"	0.299	0.044	0.638	-1.833	-3.58	-2.2705	-3.253	-4.1895	-4.13	1.046	-2.257	-2.386	-2.48	-5.997	-3.719	-3.38	-2.839	-2.973	-2.449	-3.082	-6.168	-3.014	-0.576	0.54	-3.144	-2.368	-2.098	0.618	-4.341	-2.546	-2.432	-2.856	-3.318	0.357	0.136	0.137	0.389	-0.863	-1.886	-1.843	1.597	1.385	1.318	0.889	-2.265	-2.841	-2.079	-1.492	-2.592	-2.565	0.272	0.989	-1.783	-2.269	-4.4285	0.229	0.15	-3.411	-2.954	-0.635	-0.738	0.544	-4.247	-2.782	-1.967	-2.602	-2.728	-0.409	-4.823	-3.636	-3.036	-2.444	-0.552	-0.44	-0.758	-0.325	-0.605	-2.954	-2.027	-3.087	-1.677	-0.839	0.355	0.654	0.51	0.463	-3.113	-2.76	-3.422	-3.079
"YKL082C"	0.028	-0.414	-0.072	-2.8345	-2.5635	-1.3105	-2.396	-3.0765	-3.3375	0.695	-1.768	-1.51	-0.011	-3.87	-2.249	-1.774	-2.137	-0.591	-1.13	-0.699	-2.45	-1.708	-0.139	0.075	-1.61	-0.366	-0.859	0.21	-3.391	-2.03	-1.237	-1.838	-1.55	-0.402	0.288	-0.148	-0.073	-0.302	-1.255	-1.334	0.793	0.734	0.933	0.116	-1.676	-2.012	-1.486	-0.748	-2.072	-1.974	0.607	-0.098	-1.762	-0.665	-2.7635	-0.065	-0.425	-1.702	-1.833	-0.818	-0.108	-0.299	-2.438	-1.753	-1.116	-1.733	-1.333	-0.019	-3.215	-1.561	-1.699	-1.189	-0.288	-0.209	0.02	0.174	0.271	-0.517	-0.575	-0.715	-0.178	-0.392	-0.09	0.072	-0.014	0.088	-1.282	-1.476	-1.502	-0.929
"YKL172W"	0.844	0.002	0.036	-1.667	-3.445	-2.112	-3.361	-3.445	-4.261	1.182	-0.846	-0.856	-2.38	-4.354	-2.219	-1.661	-1.733	-1.845	-1.457	-2.813	-5.305	-2.232	-0.026	0.27	-2.545	-1.257	-1.964	0.527	-3.248	-1.664	-1.613	-2.079	-2.723	0.409	-0.269	-0.276	0.096	-0.09	-1.759	-1.919	1.594	1.597	1.246	0.702	-1.871	-3.036	-1.901	-1.198	-2.379	-2.395	0.689	0.645	-1.395	-1.592	-3.684	-0.511	-0.001	-2.735	-3.284	0.04	-0.058	0.051	-3.007	-2.308	-1.814	-2.694	-2.344	-1.554	-3.42	-2.734	-1.952	-1.96	-0.118	0.001	-0.183	0.253	0.102	-1.029	-0.669	-0.909	-0.609	-0.608	0.027	0.231	0.202	0.331	-2.038	-1.784	-1.836	-0.807
"YKL180W"	0.93	0.503	0.05	-1.731	-1.947	-1.228	-2.16	-2.81	-3.531	0.774	-1.295	-2.164	-0.685	-2.661	-2.738	-2.549	-1.831	-1.633	-1.857	-2.561	-5.237	-2.195	-1.079	0.549	-2.625	-3.204	-2.593	0.599	-4.629	-1.825	-2.351	-2.354	-2.04	0.507	0.344	0.243	0.164	0.469	-0.868	-1.123	1.038	0.516	1.421	1.285	-1.234	-2.003	-1.241	-0.999	-1.883	-1.742	0.611	0.824	-1.665	-2.393	-3.37	0.702	0.049	-2.497	-1.816	-0.453	0.203	1.394	-1.891	-0.777	-0.208	-3.827	-3.339	-2.213	-3.071	-2.962	-2.254	-2.482	0.355	0.541	0.267	0.144	0.105	-1.732	-2.687	-4.065	-2.998	0.129	0.451	0.586	0.59	0.534	-0.692	-0.64	-1.363	-2.531
"YKL190W"	-0.047	-0.263	-0.055	0.376	0.424	-0.288	0.309	0.446	0.588	0.15	0.667	0.612	0.59	-1.487	-0.782	-0.332	-0.316	-0.296	0.054	-1.685	-3.414	-0.052	0.156	0.201	-0.334	-0.655	-0.987	0.02	-0.864	-0.183	0.114	0.19	-0.594	0.154	-0.267	0.128	0.049	-0.217	0.786	0.069	0.006	-0.289	0.364	-0.034	0.752	1.318	1.662	0.36	0.63	0.644	0.233	-0.075	0.376	-0.681	0.511	0.368	0.097	1.184	0.853	-0.086	0.001	0.084	0.579	0.385	0.011	-1.649	-1.108	-0.375	-1.769	-1.431	-0.727	-0.274	0.261	0.291	0.173	0.224	0.153	-0.129	-0.366	-0.152	-0.374	0.202	0.512	0.192	0.217	0.176	0.759	0.636	0.888	-0.177
"YKR081C"	0.397	0.172	0.467	-4.459	-3.308	-1.663	-1.58	-3.81	-3.431	-0.38	-2.174	-2.112	-2.352	-4.081	-2.662	-2.469	-1.772	-1.667	-1.821	-2.08	-4.632	-2.467	-0.798	0.471	-3.278	-2.505	-1.918	0.361	-3.734	-2.064	-2.119	-2.118	-2.696	0.309	-0.144	-0.313	0.143	0.581	-2.166	-1.931	1.661	1.127	0.953	0.491	-1.865	-2.808	-1.645	-1.476	-2.276	-2.28	0.394	0.807	-1.645	-1.349	-3.505	-0.206	-0.064	-4.501	-2.789	1.485	0.418	0.75	-2.666	-1.731	-1.18	-3.386	-2.103	-1.623	-3.261	-2.433	-1.814	-1.48	0.119	-0.07	-0.326	0.047	0.073	-2.388	-1.874	-2.38	-1.314	-0.127	0.709	0.143	0.138	0.057	-2.161	-2.332	-1.814	-1.596
"YLL008W"	0.327	-0.09	-0.127	-4.973	-4.981	-1.744	-3.751	-4.808	-4.019	0.515	-2.609	-2.04	-1.87	-5.659	-3.509	-3.627	-2.64	-2.165	-3.282	-2.899	-6.113	-3.126	-0.852	-0.103	-2.364	-2.55	-1.847	0.21	-3.473	-2.41	-2.154	-2.612	-2.487	0.104	-0.171	-0.521	-0.053	-0.22	-1.385	-1.104	1.287	0.841	0.683	0.524	-1.558	-2.724	-1.847	-1.295	-2.071	-2.458	0.109	0.404	-1.714	-1.906	-4.642	-0.015	-0.476	-3.707	-2.763	-3.272	NaN	-0.137	-4.08	-2.614	-1.681	-1.915	-1.563	-0.713	-3.042	-2.072	-1.554	-2.201	-0.169	-0.524	-0.221	-0.301	-0.145	-1.757	-0.765	-1.789	-1.239	-0.95	0.046	0.377	0.245	0.264	-1.826	-3.002	-2.689	-1.512
"YLR009W"	0.463	0.458	-0.352	-4.735	-4.564	-1.981	-2.897	-4.204	-3.864	-0.06	0.202	-1.922	-2.342	-4.675	-2.624	-2.259	-2.408	-1.898	-2.126	-2.518	-5.388	-2.78	-0.697	0.462	-2.737	-2.637	-1.705	0.44	-3.455	-2.226	-1.984	-2.757	-3.216	0.081	-0.351	-0.949	-0.788	-0.152	-2.459	-2.176	1.343	1.021	1.123	0.471	-2.563	-2.802	-2.013	-2.197	-2.902	-2.825	0.206	0.662	-1.555	-1.779	-4.344	0.322	0.142	-2.788	-2.344	-0.125	-0.233	0.544	-3.436	-1.875	-1.385	-2.229	-1.452	-1.458	-3.361	-1.953	-1.228	-1.257	0.083	0.145	-0.269	0.121	-0.057	-2.04	-1.763	-2.074	-1.124	-0.536	0.639	0.223	0.309	0.4	-2.601	-2.653	-2.19	-1.637
"YLR056W"	0.295	0.202	0.296	-1.589	-1.883	-0.311	-1.231	-0.743	-1.351	-0.014	-0.046	0.409	-1.467	-4.337	-0.184	0.5	0.637	0.037	-0.672	-3.197	-3.977	-1.009	-0.379	0.35	-2.405	-1.791	-1.625	0.053	-1.997	0.302	-0.397	-1.396	-2.935	0.289	0.2	0.161	0.404	0.161	-1.23	-1.13	-0.553	-0.586	0.546	0.194	-1.331	-1.83	-1.767	-0.842	-1.418	-1.648	-0.275	0.117	0.504	0.126	-1.614	0.207	-0.061	-2.043	-1.219	-0.164	0.428	-0.708	-1.977	-0.411	0.505	-3.406	-1.432	-1.33	-4.018	-2.282	-0.768	-0.326	-0.028	0.441	0.65	0.066	0.349	-1.369	-1.109	-1.287	-0.427	-0.864	-0.247	0.142	0.096	0.142	-0.591	-0.74	-0.336	-1.688
"YLR129W"	0.19	-0.113	0.568	-4.096	-3.022	-1.526	-2.347	-3.676	-3.658	-0.204	-1.526	-2.112	-1.651	-4.83	-2.28	-3.089	-2.498	-2.028	-2.718	-2.877	-4.914	-3.214	-0.675	0.367	-3.12	-2.647	-2.185	0.234	-3.861	-2.137	-1.99	-2.481	-2.42	0.092	0.696	NaN	-0.016	-0.355	-2.104	-1.836	1.167	0.917	0.345	0.456	-2.216	-2.343	-1.807	-1.667	-1.65	-1.427	0.13	0.443	-1.327	-2.011	-4.108	-0.287	-0.107	-1.808	-2.519	-0.465	-0.524	0.444	-4.374	-2.07	-0.673	-3.422	-2.781	-1.86	-4.119	-2.843	-2.213	-1.072	-0.613	-0.445	-0.409	-0.285	-0.517	-1.753	-1.435	-2.317	-1.021	-1.045	-0.021	-0.149	-0.011	-0.095	-2.048	-2.361	-2.087	0.312
