	"686.YP ethanol vs reference pool"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1253.mec1_plus_gamma_45_min"	"1254.mec1_plus_gamma_60_min"	"1255.mec1_plus_gamma_90_min"	"4872.1M sorbitol - 60 min"	"6344.DES460 + 0.02% MMS - 5 min"	"7759.Na 30min"	"7760.Na 45min"	"7761.Na 60min"	"7763.Na+FK 30min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"7985.cdc47-1 ts grown at 34C versus 37C"	"11466.yO1 test hyb"	"13059.wt/crz1 Na 45min (1)"	"13060.wt/crz1 Na 45min (2)"	"13096.Missouri Western State College 10 uM DAPI Cy5 4 hrs (exp 2)"	"30773.Pomona/Brown Sir3x red"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"37282.CC SP 1B  Sulfate-Phosphate Chemostat Comparison"	"37284.CC SP 2B  Sulfate-Phosphate Chemostat Comparison"	"37285.CC SP 3B  Sulfate-Phosphate Chemostat Comparison"
"YJL190C"	-1.053	-3.794	-3.553	-3.267	-2.958	-2.413	-3.287	-3.585	-4.469	-2.547	-3.105	-3.227	-2.941	-3.365	-3.524	0.113	0.534	0.549	0.048	0.2805	-1.753	-2.412	-1.772	-1.163	-2.255	-2.211	-1.067	-2.43	0.457	0.454	0.147	0.084	-4.874	-4.273	0.641	0.593	0.559
"YJR003C"	-0.549	-2.372	-2.025	-1.727	-1.346	-0.767	-1.43	-2.48	-2.02	-1.37	-0.824	-0.91	-2.176	-2.349	-2.42	-0.175	-0.092	-0.675	-0.218	-0.0655	-0.847	-0.903	-1.167	-0.46	-0.821	-1.233	0.216	-0.882	0.461	0.387	-0.579	0.136	-2.567	-1.637	0.267	0.19	0.134
"YJR071W"	-0.93	-4.366	-2.638	-2.22	-2.338	-2.185	-2.81	-2.688	-1.625	-1.36	-1.351	-1.453	-1.382	-1.931	-0.391	-0.239	-0.031	-0.366	-0.435	-0.0865	-0.528	-1.678	-1.739	-0.915	-2.082	-2.478	0.342	-1.453	0.325	0.203	-0.24	-0.273	-1.797	-2.307	-0.238	-0.009	0.079
"YJR145C"	-1.487	-4.507	-3.488	-3.177	-2.731	-2.328	-2.413	-3.54	-4.857	-1.988	-2.396	-2.336	-2.519	-3.105	-3.178	-0.179	0.062	-0.252	0.381	0.362	-1.623	-2.162	-1.723	-1.407	-2.369	-1.818	0.052	-2.312	0.394	0.212	0.153	0.106	-4.108	-3.771	0.61	0.573	0.516
"YJR155W"	0.926	2.018	1.913	1.985	1.927	2.816	2.757	4.25	1.807	1.913	3.029	3.8	3.105	4.435	2.971	-0.157	-0.035	0.111	0.142	0.229	-0.156	0.446	0.511	-0.258	0.201	0.359	0.149	2.418	-0.386	-0.266	0.025	-0.105	3.253	2.215	0.249	0.044	0.031
"YKL006W"	-1.288	-4.299	-3.901	-3.389	-2.854	-2.383	-3.16	-2.835	-4.545	-2.315	-2.442	-2.791	-1.939	-2.29	-2.843	-0.091	0.279	-0.083	0.2	0.142	-1.562	-2.111	-1.56	-1.268	-2.103	-1.94	-0.618	-2.458	0.242	0.523	0.643	-0.795	-4.756	-4.221	0.647	0.603	0.594
"YKL009W"	-1.098	-5.997	-3.719	-3.38	-2.839	-2.973	-2.449	-3.082	-4.341	-2.546	-2.432	-2.856	-2.349	-3.318	-2.938	0.319	0.357	0.215	0.251	-0.1195	-2.265	-2.841	-2.079	-1.492	-2.592	-2.565	0.668	-2.269	0.151	-0.004	-0.074	-0.274	-4.823	-3.636	0.654	0.51	0.463
"YKL072W"	-0.951	-4.227	-2.337	-1.737	-2.396	-1.378	-0.748	-3.695	-1.052	-0.907	-0.337	-0.796	-1.028	-1.93	-1.302	-0.397	0.07	-0.293	0.028	-0.0585	0.481	0.116	-0.179	0.17	0.33	-0.041	0.367	-0.11	0.299	0.126	-1.121	0.008	-0.923	-0.975	-0.946	-0.529	-0.384
"YKL078W"	-0.926	-5.829	-4.282	-3.547	-3.31	-2.968	-3.615	-4.795	-2.695	-2.207	-2.394	-2.322	-2.866	-3.401	-1.845	0.113	0.473	-0.02	0.317	-0.332	-1.827	-2.708	-2.548	-1.799	-2.321	-2.256	0.029	NaN	0.259	0.048	-0.617	-0.012	-3.291	-2.654	-1.233	-0.652	-0.416
"YKL093W"	1.139	5.448	4.655	4.714	4.393	4.525	4.208	4.369	4.872	3.902	2.916	2.536	2.725	3.515	2.14	0.021	-0.015	-0.092	0.06	0.125	1.45	1.642	1.688	1.52	1.819	1.784	0.346	2.745	0.103	0.11	-0.723	-0.011	4.992	4.664	0.474	0.492	0.298
"YKL100C"	0.971	1.834	1.529	1.788	1.664	1.048	1.117	0.288	2.672	1.781	1.449	1.464	1.583	1.06	0.42	-0.308	-0.036	-0.038	-0.394	-0.012	0.657	1.106	0.979	0.185	0.735	0.871	-0.608	0.542	-0.489	-0.411	-0.386	0.271	1.33	-0.757	0.11	0.217	0.369
"YKL144C"	-0.162	-2.495	-2.005	-1.476	-1.636	-1.006	-1.711	-1.592	-1.858	-1.279	-1.225	-1.312	-1.757	-1.899	-1.515	NaN	0.58	0.271	-0.339	-0.063	-1.38	-1.682	-0.977	-0.982	-1.284	-1.314	0.322	-0.858	0.075	0.042	0.516	-0.309	-2.097	-1.472	0.364	0.548	0.415
"YKL150W"	1.299	3.989	3.734	3.947	3.273	3.283	2.136	0.983	4.228	3.833	3.772	3.627	2.038	1.961	0.517	-0.181	-0.235	-0.138	0.074	0.117	1.799	2.546	2.647	1.522	2.175	2.342	0.334	2.209	-0.067	-0.096	0.096	0.221	4.12	3.616	-0.057	-0.076	-0.205
"YKR056W"	-0.619	-4.495	-2.575	-2.343	-2.336	-1.492	-2.639	-3.298	-1.986	-1.639	-1.597	-1.637	-2.627	-3.787	-3.544	-0.105	0.053	-0.154	-0.129	-0.155	-1.933	-2.896	-1.713	-1.662	-3.105	-2.539	0.591	-1.751	-0.468	-0.453	0.006	-0.185	-3.056	-2.089	0.21	0.169	0.196
"YKR057W"	-0.67	-3.036	-2.945	-2.525	-2.033	-1.835	-1.678	-2.2	-4.013	-2.126	-2.625	-2.576	-1.161	-1.048	-2.496	0.263	0.466	0.345	0.085	-0.097	-0.961	-1.639	-1.414	-0.434	-1.524	-1.962	-0.62	-2.079	0.527	0.489	0.33	-0.22	-3.29	-2.638	0.677	0.634	0.509
"YKR060W"	-0.479	-3.243	-2.165	-2.05	-2.019	-1.793	-2.106	-3.218	-2.182	-1.468	-1.536	-1.719	-1.64	-3.104	-1.59	0.103	0.105	0.092	-0.05	-0.023	-0.454	-1.044	-1.02	-0.094	-1.186	-1.483	-0.091	-1.493	0.545	0.51	0.018	-0.569	-2.055	-1.281	0.449	0.401	0.562
"YLL008W"	-1.155	-5.659	-3.509	-3.627	-2.64	-2.165	-3.282	-2.899	-3.473	-2.41	-2.154	-2.612	-2.386	-2.487	-2.92	-0.016	0.104	-0.192	-0.01	-0.108	-1.558	-2.724	-1.847	-1.295	-2.071	-2.458	-0.027	-1.906	-0.051	0.215	-0.113	-0.11	-3.042	-2.072	0.377	0.245	0.264
"YLL020C"	1.152	2.548	2.425	2.819	2.393	2.931	3.266	3.846	1.886	1.633	2.494	2.677	3.623	3.679	3.754	-0.504	-0.409	-0.369	0.281	0.022	2.105	2.161	1.839	0.828	1.562	1.456	0.126	2.314	-0.438	-0.744	-0.699	-0.075	2.452	2.687	0.283	0.13	0.243
"YLL044W"	-1.193	-4.871	-3.525	-3.158	-2.869	-2.211	-2.963	-3.79	-3.872	-1.944	-2.654	-2.736	-2.724	-3.494	-3.967	-0.531	-0.231	-0.165	-0.086	0.136	-1.386	-2.344	-1.619	-1.183	-2.075	-2.07	0.289	-2.227	0.284	0.343	0.642	0.202	-3.806	-2.77	0.595	0.521	0.575
"YLR001C"	0.152	2.126	1.469	1.462	1.024	1.326	1.694	1.446	2.136	1.27	1.864	1.843	1.844	0.939	1.073	-0.448	-0.196	-0.188	0.09	0.256	0.451	0.738	0.826	0.566	0.811	0.984	0.314	0.424	0.121	-0.002	-0.691	-0.368	1.599	1.257	0.164	0.213	0.49
"YLR017W"	-0.767	-2.358	-1.587	-1.636	-1.458	-1.606	-1.619	-2.415	-1.511	-1.357	-1.54	-1.891	-1.834	-2.326	-2.268	0.025	0.479	-0.405	0.085	-0.22	-1.85	-2.057	-1.784	-1.312	-1.771	-2.041	-0.369	-1.077	0.213	0.024	0.461	-0.009	-2.332	-1.711	0.153	0.162	0.217
"YLR060W"	-1.157	-3.165	-2.617	-2.047	-2.296	-2.499	-2.849	-4.941	-2.773	-1.546	-2.397	-2.667	-3.118	-3.713	-4.371	0.159	0.235	0.13	-0.212	0.076	-0.832	-1.345	-0.976	-0.7	-1.106	-0.9	0.795	-2.464	-0.058	-0.301	-0.242	0.239	-2.64	-2.996	0.147	-0.063	0.065
"YLR061W"	-1.105	-4.925	-4.297	-4.115	-3.603	-2.908	-3.127	-4.939	-4.326	-2.164	-2.433	-2.88	-3.309	-3.833	-3.91	-0.219	0.245	-0.057	0.078	0.465	-1.005	-1.456	-0.703	-1.264	-1.889	-1.422	-0.007	-2.482	-0.116	-0.133	0.155	0.031	-4.004	-2.793	0.808	0.731	0.735
"YLR063W"	-0.16	-4.309	-2.751	-2.588	-1.912	-1.708	-2.298	-3.764	-1.711	-1.186	-1.498	-1.192	-1.891	-1.771	-1.06	-0.299	-0.069	-0.574	-0.05	0.057	-1.297	-2.065	-1.901	-1.043	-1.794	-1.888	0.197	-0.911	0.342	0.251	-0.313	-0.346	-1.893	-1.598	-0.682	-0.117	-0.077
"YLR093C"	0.359	1.872	0.477	1.176	0.829	1.414	0.686	1.307	1.297	0.983	1.083	1.096	1.754	1.25	1.168	0.367	0.199	0.135	-0.082	0.053	0.047	0.627	0.607	0.189	0.546	0.412	1.624	0.881	0.004	-0.033	-1.018	-0.163	1.234	0.878	0.091	0.118	-0.012
"YLR142W"	1.781	3.095	4.015	5.049	5.05	5.354	5.307	6.188	4.418	4.268	4.522	5.09	3.893	5.129	4.349	0.613	0.721	0.923	0.363	0.02	0.931	0.152	0.499	-0.22	-0.342	0.095	0.136	3.391	-0.321	-0.319	-0.841	0.09	1.179	3.978	-0.332	-0.587	-0.493
"YLR165C"	0.585	1.124	1.081	1.18	1.033	1.414	1.285	1.871	1.378	0.649	0.959	1.65	1.118	1.132	0.774	-0.247	-0.361	-0.293	-0.213	-0.307	0.534	0.857	0.82	0.656	0.517	-1.652	0.306	0.953	0.122	0.087	-0.498	-0.389	1.455	1.197	0.099	0.189	0.009
"YLR185W"	-0.889	-4.508	-3.498	-3.001	-2.551	-2.201	-2.749	-2.578	-4.019	-2.046	-2.136	-2.209	-2.015	-2.479	-3.065	-0.18	0.054	-0.297	-0.006	0.187	-0.748	-1.553	-1.116	-0.814	-2.083	-1.909	-0.532	-2.023	0.318	0.507	0.126	-0.133	-3.488	-3.242	0.544	0.663	0.539
"YLR201C"	-0.045	2.032	1.779	1.207	1.18	0.762	0.369	0.763	2.28	1.087	1.181	1.415	1.25	0.839	0.41	-0.571	-0.333	-0.387	-0.095	-0.198	0.666	0.818	0.643	0.812	0.622	0.467	-0.333	0.844	0.543	0.462	0.072	-0.002	1.699	0.948	0.221	0.369	0.312
"YLR246W"	0.78	1.539	1.682	1.763	1.901	2.089	2.836	2.503	1.861	1.556	1.704	2.228	2.212	2.565	2.24	0.003	-0.175	-0.161	0.396	0.082	0.706	0.943	0.637	0.699	0.957	1.013	0.149	1.008	0.17	0.032	0.226	-0.217	1.127	0.715	0.308	0.294	0.175
"YLR249W"	-1.649	-6.529	-4.864	-4.043	-3.482	-3.403	-3.637	-4.146	-4.679	-2.712	-3.131	-3.778	-3.883	-4.549	-4.992	-0.531	-0.111	-0.31	0.257	-1.1	-2.165	-3.464	-2.334	-1.838	-2.703	-2.461	-0.414	-3.421	0.139	-0.052	0.109	0.414	-5.085	-4.9	-0.61	-0.387	-0.389
"YLR252W"	0.617	2.929	1.921	2.248	2.344	2.463	2.795	0.3	1.93	1.877	2.159	2.546	0.993	1.045	0.061	-0.088	-0.441	-0.496	-0.016	0.092	2.817	3.319	2.943	2.725	3.12	2.917	0.531	1.493	0.209	0.185	-0.083	0.122	3.058	2.007	0.015	0.057	-0.115
"YLR258W"	0.64	4.602	3.602	4.226	3.358	2.68	3.089	1.955	5.214	4.198	3.429	3.18	2.454	2.872	1.945	-0.516	-0.515	-0.367	0.375	0.224	2.515	2.646	2.207	1.935	2.64	2.578	0.149	1.921	-0.52	-0.417	-0.258	0.129	5.121	3.888	-0.948	-0.95	-0.921
"YLR293C"	-1.282	-3.594	-2.185	-2.087	-2.565	-2.207	-2.675	-3.488	-2.473	-1.576	-1.45	-2.158	-2.379	-3.03	-3.186	-0.31	-0.239	-0.14	0.078	0.168	-0.444	-0.606	-0.384	-0.473	-0.62	-0.593	0.148	-2.235	0.406	0.387	0.433	0.092	-2.822	-2.422	0.372	0.457	0.406
"YLR325C"	-1.043	-4.528	-3.555	-3.974	-3.918	-2.681	-3.034	-2.337	-4.948	-2.81	-2.802	-3.314	-1.609	-1.204	-2.637	0.25	0.517	0.448	0.292	-0.234	-1.156	-2.0	-1.818	-1.01	-2.227	-2.329	0.297	-2.253	0.574	0.455	-0.031	0.039	-2.866	-2.701	0.604	0.787	0.864
"YLR326W"	0.816	0.801	1.285	0.94	1.045	1.417	1.478	-0.302	0.887	0.618	1.203	1.722	1.69	3.016	2.515	-0.382	-0.243	0.37	0.218	0.257	0.217	0.477	0.929	0.22	0.342	0.29	0.14	1.166	0.179	0.284	0.041	-0.237	-0.282	0.337	-0.196	0.132	0.056
"YLR333C"	-0.757	-3.93	-3.067	-2.402	-2.401	-1.851	-2.342	-3.011	-4.032	-1.898	-2.092	-2.057	-1.584	-2.45	-2.848	0.001	0.182	0.296	0.246	0.315	-1.233	-1.8	-1.502	-0.711	-1.76	-1.922	0.032	-1.748	0.51	0.544	0.652	-0.722	-3.582	-2.843	0.833	0.84	0.705
"YLR339C"	-1.371	-3.243	-2.951	-2.69	-2.664	-3.285	-3.76	-4.988	-3.117	-1.977	-2.647	-2.474	-2.461	-3.161	-3.973	-0.89	-0.492	0.062	-0.052	0.014	-0.094	-1.098	-0.91	-0.972	-1.766	-1.922	-0.714	-2.977	0.372	0.4	0.012	0.106	-3.409	-3.723	0.263	0.318	0.291
"YLR372W"	-0.988	-4.565	-3.104	-2.096	-2.432	-2.818	-3.001	-2.731	-4.078	-2.106	-2.838	-3.773	-2.844	-3.456	-3.544	-0.267	0.071	-0.092	-0.081	-0.066	-1.771	-2.3	-1.909	-1.539	-2.509	-2.442	-1.062	-2.188	0.238	0.236	-0.426	0.133	-3.936	-3.603	0.576	0.622	0.499
"YLR435W"	-0.507	-4.216	-2.534	-2.556	-2.839	-2.421	-2.684	-2.8	-2.605	-2.004	-1.983	-2.216	-2.038	-2.387	-2.149	0.075	0.205	0.093	0.176	-0.285	-2.323	-2.747	-2.318	-1.772	-2.528	-2.588	0.434	-1.234	-0.202	-0.008	-0.534	-0.221	-4.563	-2.595	0.27	0.008	0.048
"YLR448W"	-1.597	-4.815	-3.882	-3.116	-3.083	-2.052	-2.688	-3.552	-4.891	-2.352	-2.521	-2.621	-2.668	-3.192	-4.132	0.096	0.305	0.072	0.011	0.184	-1.376	-1.987	-0.899	-1.508	-1.972	-1.41	0.508	-2.337	-0.043	-0.066	0.096	-0.053	-4.791	-4.505	0.422	0.339	0.365
"YLR449W"	-1.626	-6.206	-3.515	-3.262	-2.978	-2.79	-3.758	-5.497	-3.782	-2.95	-3.268	-3.547	-3.6	-4.626	-3.56	-0.308	0.299	-0.27	0.26	-0.009	-1.213	-2.384	-2.197	-0.97	-2.329	-2.619	0.035	-2.199	0.319	0.174	-0.209	0.038	-4.694	-2.945	0.451	0.484	0.479
"YML026C"	-0.867	-3.811	-3.779	-3.236	-2.913	-2.934	-3.29	-4.268	-3.572	-2.525	-2.873	-2.821	-2.898	-2.803	-2.821	0.014	0.154	0.161	-0.067	0.137	-1.715	-2.403	-1.985	-1.303	-1.891	-2.065	0.132	-1.928	0.418	0.264	-0.923	-0.823	-4.595	-3.765	0.523	0.504	0.531
"YML054C"	1.872	5.268	4.128	4.968	3.708	3.294	3.21	5.243	5.255	3.649	3.305	3.486	5.295	3.394	2.05	-0.13	0.866	0.433	-0.106	-0.044	1.646	1.728	1.473	0.753	1.0	1.117	0.067	1.562	-0.002	-0.052	-0.364	0.205	5.314	4.811	-0.451	-0.328	-0.207
"YML056C"	-1.807	-3.967	-3.497	-3.275	-3.12	-2.921	-3.786	-2.698	-2.774	-1.718	-2.437	-2.674	-1.337	-2.566	-2.751	0.165	0.461	0.098	-0.123	0.221	-1.736	-2.415	-1.827	-0.963	-1.462	-1.486	-0.32	-1.666	0.168	0.198	-0.037	0.38	-4.322	-4.508	-0.012	0.219	0.096
"YML106W"	-0.407	-1.425	-0.881	-0.346	-0.774	-0.903	-0.968	-2.297	-1.366	-0.814	-1.501	-1.583	-1.423	-1.467	-1.771	0.307	0.361	0.211	0.268	-0.024	-1.074	-1.794	-1.616	-0.831	-1.599	-1.732	-1.08	-0.025	-0.489	-0.707	0.383	0.074	-1.776	-1.609	0.696	0.625	0.649
"YMR040W"	1.263	2.537	2.09	2.466	1.83	2.801	2.746	2.675	2.034	1.656	2.174	2.714	2.027	2.608	2.208	-0.428	-0.374	-0.241	0.12	0.105	2.003	1.94	1.216	1.457	1.304	0.997	0.094	1.405	-0.295	-0.429	-0.295	0.338	1.037	1.555	-0.6	-0.721	-0.726
"YMR081C"	0.727	5.134	4.866	4.127	4.854	4.825	5.524	6.678	5.537	4.601	3.765	5.056	4.13	4.987	4.226	-1.042	-1.471	-1.644	0.305	0.193	0.599	0.557	0.25	0.322	0.255	0.177	-0.049	4.371	0.018	-0.076	0.231	0.108	5.379	4.766	-0.503	-0.115	-0.286
"YMR110C"	0.837	3.925	3.346	3.746	3.565	3.434	2.517	3.724	4.042	3.217	2.995	3.422	3.777	2.927	1.682	-0.017	-0.115	0.052	-0.312	0.097	1.252	1.966	1.767	1.239	1.879	2.022	0.641	2.645	-0.016	-0.016	-0.218	0.434	3.64	3.462	0.051	0.036	0.059
"YMR121C"	-1.019	-3.215	-2.875	-2.279	-2.002	-1.905	-2.539	NaN	-2.864	-1.698	-2.019	-2.144	-2.277	-2.155	-2.582	0.273	-0.071	0.446	0.08	0.386	-0.071	-1.118	-1.209	0.436	-0.66	-1.534	0.853	-1.702	0.579	0.52	0.163	0.051	-3.436	-2.969	0.695	0.553	0.535
"YMR133W"	0.907	3.151	2.546	2.165	1.931	1.601	1.65	0.573	3.252	0.953	0.713	0.717	0.718	1.117	1.0	-0.117	-0.287	0.009	0.004	-0.363	0.753	1.31	1.15	0.778	0.894	1.135	-0.18	0.276	0.012	0.025	-0.26	NaN	1.796	1.148	-0.525	-0.142	-0.096
"YMR142C"	-1.248	-3.579	-3.719	-3.19	-2.326	-2.653	-2.822	-0.651	-4.4	-2.393	-2.974	-2.468	-2.774	-3.415	-4.248	-0.137	0.214	0.082	0.009	0.076	-1.401	-2.156	-1.564	-1.0	-2.0	-2.02	0.449	-1.565	0.141	0.224	0.161	-0.201	-4.039	-3.538	0.743	0.623	0.502
"YMR143W"	-1.07	-3.748	-3.175	-3.477	-3.087	-2.794	-2.234	-2.287	-4.401	-2.562	-2.703	-2.873	-2.88	-3.111	-3.545	-0.381	0.249	-0.032	0.16	0.185	-1.396	-2.014	-1.259	-1.318	-1.828	-1.89	-0.458	-2.009	0.546	0.335	0.346	-0.792	-4.75	-3.456	0.585	0.582	0.477
"YMR148W"	0.781	1.635	1.608	1.776	1.059	0.989	1.133	1.272	1.763	1.237	1.027	1.134	1.543	0.734	-0.148	-0.442	-0.112	-0.042	0.135	0.04	0.538	0.773	0.637	0.509	0.525	0.67	0.024	1.436	0.014	0.032	-0.025	-0.069	0.783	0.749	0.445	0.512	0.261
"YMR181C"	0.967	3.744	3.384	3.752	3.55	3.817	4.43	4.005	3.306	2.566	2.301	3.282	2.567	2.312	0.831	-0.689	-0.616	-0.679	0.033	NaN	1.933	2.61	2.301	1.126	1.782	2.014	-0.035	2.3685	-0.387	-0.317	0.773	0.121	2.304	2.183	-0.306	-0.289	-0.36
"YMR214W"	-1.167	-1.431	-3.24	-2.045	-2.69	-1.616	-2.874	-4.239	-1.601	-1.557	-1.17	-1.827	-1.377	-1.21	-0.98	-0.421	-0.561	-0.544	0.061	-0.371	-0.653	-0.56	-0.507	-0.556	-0.667	-0.635	-0.044	-1.2915	0.062	0.04	0.107	0.2115	-2.473	-2.699	0.086	0.193	0.197
"YMR230W"	-0.415	-3.465	-3.053	-2.702	-2.699	-2.427	-1.989	-3.24	-3.21	-2.361	-2.361	-1.71	-1.57	-1.442	-2.394	-0.249	0.327	0.356	-0.474	0.224	-1.519	-2.107	-1.795	-0.816	-1.571	-1.981	0.164	-2.387	0.602	0.582	-0.008	-0.869	-3.802	-3.223	0.53	0.619	0.395
"YMR239C"	-0.434	-4.414	-2.819	-2.693	-2.296	-1.587	-2.209	-2.176	-3.095	-1.885	-1.474	-1.516	-2.236	-2.42	-2.415	0.25	0.362	0.072	-0.205	-0.298	-1.474	-1.82	-1.728	-0.935	-1.384	-1.706	-0.07	-0.932	0.125	0.169	-0.4235	-0.0125	-4.048	-2.804	-0.012	0.005	0.149
"YMR242C"	-1.39	-4.702	-3.631	-3.819	-3.001	-2.522	-3.032	-3.971	-4.84	-2.479	-2.59	-3.004	-2.601	-3.133	-3.475	-0.32	0.265	0.006	0.442	0.19	-2.03	-2.598	-2.072	-1.85	-2.755	-2.478	-0.052	-2.4615	0.125	0.261	0.42	0.1305	-4.607	-3.588	0.573	0.505	0.501
"YMR318C"	-1.354	-2.436	-2.298	-2.292	-2.382	-3.244	-3.511	-3.467	-1.737	-1.799	-3.398	-2.822	-2.227	-2.227	-2.879	0.31	0.282	-0.21	0.164	-0.092	-0.234	0.312	0.277	-0.467	-0.29	-0.287	-0.249	-1.814	-0.2	-0.22	0.2315	0.254	-1.919	-3.653	0.645	0.701	0.7
"YNL002C"	-0.61	-5.196	-2.914	-2.785	-2.336	-1.951	-2.475	-2.73	-3.426	-2.209	-1.856	-2.186	-2.277	-2.592	-2.588	0.12	0.293	-0.268	-0.059	-0.226	-1.398	-2.774	-1.803	-1.355	-2.843	-2.776	0.258	-1.942	-0.019	-0.071	-0.3935	0.0375	-4.466	-2.41	0.251	0.327	0.191
"YNL062C"	-0.383	-4.157	-2.785	-2.295	-2.256	-1.556	-2.835	-3.07	-2.028	-1.559	-1.91	-1.803	-1.717	-2.639	-2.206	0.21	0.622	-0.004	-0.003	-0.016	-0.856	-1.772	-1.297	-0.904	-1.751	-1.657	0.294	-1.7035	0.533	0.44	-0.4695	0.091	-2.838	-2.509	0.363	0.273	0.301
"YNL064C"	-0.962	-2.517	-2.371	-2.079	-1.448	-1.718	-1.899	-1.228	-1.94	-1.148	-0.516	-0.561	-1.535	-2.661	-2.805	-0.021	-0.056	0.016	-0.609	0.43	-0.679	-0.819	-0.14	-0.661	-0.699	-0.669	0.872	-2.0605	0.406	0.318	0.0465	0.235	-1.827	-1.298	0.33	0.302	0.367
"YNL087W"	-0.561	-1.855	-1.557	-0.896	-1.321	-1.548	-1.447	-1.605	-1.992	-1.611	-2.327	-1.937	-1.983	-2.611	-2.819	0.368	0.601	0.669	0.132	-0.401	-0.797	-1.36	-1.398	-0.022	-0.379	-0.472	-0.157	-1.579	-0.317	-0.124	-0.779	0.083	-0.93	-0.968	0.529	0.354	0.488
"YNL114C"	-0.655	-5.245	-2.663	-2.941	-2.849	-1.734	-2.571	-3.791	-3.032	-1.739	-1.645	-2.221	-1.96	-2.004	-2.111	0.133	0.422	0.104	0.383	0.029	-2.958	-2.901	-2.07	-2.397	-2.953	-2.748	0.486	-1.2975	-0.237	0.071	-0.2475	-0.226	-4.14	-2.842	0.171	0.216	0.108
"YNL132W"	-0.762	-5.826	-3.389	-2.815	-3.25	-2.572	-3.653	-4.956	-4.353	-2.313	-2.799	-2.936	-3.396	-4.377	-4.049	0.121	0.212	0.115	-0.079	-0.156	-1.546	-2.468	-2.114	-1.26	-1.53	-2.164	0.446	-1.281	-0.001	0.148	-0.3905	0.3195	-3.989	-2.673	0.114	0.032	0.102
"YNL141W"	-1.194	-5.105	-3.596	-3.239	-3.348	-3.426	-3.35	-3.37	-3.709	-2.857	-2.886	-3.361	-3.883	-3.946	-3.935	0.276	-0.065	-0.374	-0.281	-0.258	-0.966	-3.084	-3.813	-1.196	-2.958	-3.472	0.899	-2.6235	0.326	-0.001	0.539	0.243	-4.363	-3.307	0.673	0.623	0.673
"YNL178W"	-0.979	-4.244	-3.755	-3.785	-3.505	-1.857	-3.159	-4.338	-4.97	-2.608	-2.899	-2.981	-2.958	-3.483	-3.871	-0.115	0.066	0.125	0.438	0.117	-0.953	-1.991	-1.931	-0.422	-1.803	-1.852	0.394	-2.479	0.88	0.949	-0.0155	0.2625	-2.548	-2.616	0.672	0.735	0.668
"YNL183C"	0.271	1.252	1.503	1.406	1.226	1.257	2.171	1.403	1.487	0.88	0.977	1.718	1.194	0.858	0.745	-0.234	-0.024	-0.153	-0.13	-0.13	0.737	1.075	0.866	0.534	0.979	0.897	-0.051	0.9425	-0.381	-0.29	-0.371	0.308	1.184	0.704	0.289	0.261	0.492
"YNL237W"	1.921	2.908	2.738	3.066	2.427	2.484	2.386	2.376	3.489	2.884	2.871	2.949	2.902	2.38	1.751	NaN	-1.098	-0.253	-0.074	0.13	0.74	1.013	1.313	0.145	0.987	1.113	0.057	1.759	-0.098	-0.313	-0.4575	0.1475	2.07	1.64	0.169	0.075	0.052
"YNL248C"	-1.052	-5.716	-3.559	-4.488	-3.442	-2.794	-3.857	-4.575	-5.072	-2.419	-2.444	-2.924	-2.98	-3.902	-3.609	0.104	0.188	0.043	0.124	0.027	-2.371	-2.958	-1.972	-1.687	-2.005	-1.857	0.527	-2.53	0.097	0.268	-0.193	0.195	-6.193	-3.878	0.342	0.31	0.171
"YNL308C"	-0.848	-4.351	-2.623	-2.15	-2.256	-1.607	-1.693	-1.227	-3.207	-1.872	-1.62	-2.065	-2.036	-2.775	-2.852	-0.017	0.002	-0.444	0.145	-0.256	-0.485	-1.605	-1.238	-0.539	-1.613	-1.902	-0.467	-1.38	0.104	0.051	0.265	0.05	-3.307	-2.409	0.077	0.158	-0.012
"YNR002C"	1.929	3.522	3.679	4.1155	3.544	3.295	4.0245	4.399	2.865	4.327	3.175	1.676	5.416	5.477	4.078	0.004	-0.013	0.155	0.126	0.315	1.978	2.116	1.423	1.392	1.687	1.314	-0.433	2.55	0.18	0.066	0.329	0.022	2.62	3.924	-0.612	-0.744	-0.822
"YOL060C"	0.217	1.314	3.0615	1.4245	1.329	1.461	0.744	1.706	0.843	0.717	0.962	1.259	1.212	2.259	1.423	-0.088	0.25	0.221	-0.074	0.101	1.253	1.246	0.95	0.943	1.106	0.938	-0.624	0.775	0.075	0.079	-1.458	0.38	0.932	0.922	-0.5	-0.757	-0.623
