	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"116.heat shock 40 min"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"497.Heat Shock 000 minutes"	"781.Heat Shock 000 minutes (series 2)"	"811.DES459 (mec1) + heat 20 min"	"815.1M sorbitol - 15 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"961.1 mM Menadione (20 min) redo"	"962.1 mM Menadione (30 min) redo"	"963.1 mM Menadione (120 min)redo"	"971.1mM Menadione (40 min) redo"	"987.constant 0.32 mM H2O2 (50 min) redo"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1015.YPD 3 d (25C)"	"1103.alpha factor release sample028"	"4872.1M sorbitol - 60 min"	"6344.DES460 + 0.02% MMS - 5 min"	"7536.25C -- 30 min"	"8233.dtt 120 min"	"8282.Gal induced MCM1 vs. Glucose"	"8525.DES459 (mec1-) + 0.02% MMS - 120 min"	"9837.CLB2 induction 40minutes (possible against CLB5 0min)"	"12744.heat shock 17 to 37, 20 minutes"	"21628..24 mM H2O2- 105 minutes"	"21631..24 mM H2O2- 190 minutes"	"21659..24 mM H2O2- 077 minutes"	"33779.delYPL230w_stationary_phase_5hours"	"40952.H2O2_II_56_min"
"YGR034W"	-2.251	-2.191	-1.353	-2.26	-3.059	-2.884	1.076	1.008	-2.272	-1.16	-3.922	-3.172	-3.096	-3.052	-6.281	-2.746	-3.268	-2.935	-0.223	-0.288	-0.251	-0.36	-0.826	-3.635	-2.067	-2.01	0.451	0.049	0.21	0.814	-0.786	0.786	0.033	-0.356	-2.708	-1.36	-0.153	-2.72	-4.347	-2.289
"YGR085C"	-2.061	-1.952	-1.491	-2.023	-2.966	-3.664	1.473	1.133	-2.388	-0.828	-3.713	-3.301	-2.511	-3.406	-6.059	-2.19	-3.071	-3.255	-0.365	-0.169	NaN	-0.301	-0.957	-4.359	-2.106	-2.77	0.573	0.278	0.311	0.88	-0.755	0.979	0.258	0.96	-2.908	-0.732	-0.292	-2.39	-3.45	-1.698
"YGR148C"	-1.979	-2.184	-1.776	-1.777	-2.942	-3.2425	1.076	0.859	-3.095	-1.386	-3.45	-3.596	-3.464	-3.884	-5.757	-2.075	-3.141	-3.011	-0.123	-0.227	-0.726	-0.228	-0.756	-5.063	-2.455	-2.896	0.328	0.022	0.25	0.661	-1.027	0.978	0.356	0.448	-2.591	-1.115	0.2	-2.135	-3.103	-1.505
"YGR158C"	-1.5985	-1.3315	-1.0915	-0.914	-1.451	-1.544	0.972	0.674	-1.002	-0.979	-2.111	-0.958	-0.975	-2.12	-2.421	-1.172	-1.661	-1.147	NaN	-0.383	NaN	-0.199	-0.343	-1.205	-1.184	-1.121	0.535	-0.275	-0.1195	0.301	-0.617	0.521	-0.26	-0.359	-1.6075	-0.5085	0.582	-0.456	-2.299	-1.3705
"YHL033C"	-1.82	-2.059	-1.579	-1.953	-3.0445	-3.793	1.291	1.299	-2.618	-1.375	-3.758	-2.864	-2.635	-3.984	-6.65	-2.118	-3.056	-3.153	-0.627	-0.915	-0.936	-0.552	-0.763	-4.25	-2.112	-2.523	0.594	0.08	-0.0885	1.103	-0.819	0.57	-0.122	0.499	-3.1585	-0.364	0.186	-2.271	-0.001	-1.516
"YHR019C"	-1.0495	-1.6245	-1.6775	-1.391	-2.1555	-2.3245	1.111	0.875	-1.644	-0.73	-2.949	-1.631	-1.096	-4.051	-5.077	-1.413	-3.299	-2.825	-0.526	-0.959	-0.262	-0.331	-0.429	-2.07	-1.385	-2.06	0.246	0.071	0.0315	1.55	-0.153	0.284	-0.497	-0.763	-2.069	-0.182	0.411	-1.581	-0.462	-1.348
"YHR203C"	-1.486	-2.0645	-1.586	-1.915	-2.8785	-3.5975	1.231	1.011	-2.585	-1.054	-3.926	-2.827	-3.148	-3.782	-5.944	-2.51	-3.917	-3.774	0.104	-0.158	-0.1825	0.2685	-0.6515	-4.669	-2.276	-2.591	-0.036	0.264	0.204	1.242	-0.611	-1.162	-0.314	0.109	-2.809	-0.918	0.363	-2.562	-3.717	-3.044
"YHR216W"	-1.6175	-1.8525	-1.1765	-1.571	-1.9425	-2.8755	1.01	0.917	-1.506	-0.886	-2.62	-2.056	-2.143	-3.15	-4.943	-1.841	-1.762	-2.914	-0.2375	-0.247	0.1995	-0.398	-0.416	-2.554	-0.935	-2.767	0.216	0.163	0.1095	0.999	-0.106	0.063	0.1	-0.145	-2.9045	-0.423	-0.572	-1.588	-3.001	-1.515
"YIL052C"	-2.0235	-2.1565	-1.9465	-1.989	-2.7275	-2.972	1.095	0.998	-2.49	-0.885	-3.856	-3.261	-2.954	-2.895	-6.278	-2.539	-2.82	-2.793	0.0615	0.1335	-0.1335	-0.0385	-0.562	-4.174	-2.279	-2.546	0.461	0.24	0.236	0.88	-0.843	0.716	0.101	0.003	-2.531	-0.746	0.112	-1.624	-2.821	-1.697
"YJL122W"	-3.1605	-2.6115	-1.7245	-2.3555	-3.015	-2.6085	1.424	1.147	-2.116	-1.78	-4.13	-2.475	-2.636	-3.846	NaN	-2.124	-2.718	-2.694	-1.159	-1.286	-1.447	-1.106	-0.592	-1.834	-1.836	-1.753	-0.139	0.194	-0.408	1.682	-1.316	1.523	-0.034	0.101	-2.9625	-0.918	-0.915	-1.726	-3.406	-2.003
"YJR070C"	-4.6905	-4.824	-1.8185	-3.895	-4.828	-4.332	1.246	1.272	-2.253	-1.418	-5.317	-3.975	-3.514	-3.511	-7.226	-3.689	-3.471	-2.777	-1.151	-0.977	-0.804	-1.017	-0.7	-2.102	-1.698	-1.829	-0.373	-0.067	0.1045	1.238	-1.079	0.426	-0.208	-0.262	-4.7655	-0.696	-0.926	-2.527	-3.754	-3.447
"YJR123W"	-1.798	-2.5565	-1.4945	-1.912	-3.5655	-4.258	1.3	1.246	-2.317	-1.147	-3.844	-3.276	-3.279	-4.381	-9.147	-2.017	-3.809	-3.529	-0.342	-0.744	-0.886	-0.329	-0.532	-4.282	-2.083	-2.635	0.266	0.56	0.301	1.136	-0.837	0.224	-0.047	0.224	-3.445	-0.909	-0.046	-3.012	-3.711	-1.402
"YKL099C"	-4.464	-3.88	-1.863	-2.796	-3.564	-3.037	1.062	0.949	-2.266	-1.936	-4.145	-2.015	-2.146	-1.671	-3.312	-2.489	-2.585	-1.842	-0.1	-0.241	-0.392	-0.469	-0.3	-3.26	-1.746	-1.618	-0.188	0.19	-0.089	0.738	-1.51	1.069	0.496	-0.309	-3.926	-1.28	-0.721	-1.682	-3.486	-1.606
"YKL180W"	-1.731	-1.947	-1.228	-2.16	-2.81	-3.531	1.141	1.368	-2.553	-0.685	-2.661	-2.738	-2.549	-2.561	-5.237	-2.195	-2.625	-3.204	0.522	0.49	0.662	0.332	-0.404	-4.629	-1.825	-2.354	0.363	0.469	0.5	1.038	-0.672	0.227	0.19	0.417	-3.37	-0.558	0.49	-1.885	-3.071	-1.168
