	"406.heat shock 37 to 37, 20 minutes"	"518.2.5mM DTT 120 min"	"519.2.5mM DTT 180 min"	"811.DES459 (mec1) + heat 20 min"	"813.MHY1 (dun1) + heat 20 min"	"814.DBYmsn2-4- 37degree heat - 20 min"	"854.YPD_6_h_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"2144.heat shock 37 to 37, 30 minutes"	"2558.1M sorbitol vs. YPD - basal"	"8233.dtt 120 min"	"12733.Nitrogen Depletion 8 h"	"12741.Nitrogen Depletion 1 h"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34347.wt_hypo_osmotic_shock_0min"	"34348.wt_hypo_osmotic_shock_7min"	"34351.wt_hypo_osmotic_shock_60min"	"34356.delPPT1_hypo_osmotic_shock_60min"	"34359.batch 02X25 3"	"34365.batch 02X25 6"	"37280.CC SP 2A  Sulfate-Phosphate Chemostat Comparison"	"44524.first half PM prep, array 2"
"YMR170C"	-0.27	0.604	1.672	4.273	3.015	0.541	6.85	NaN	0.924	4.668	3.541	5.035	5.147	3.996	4.985	4.814	-0.585	0.842	0.874	2.246	0.963	4.934	4.039	3.912	6.253	4.167	2.972	3.706	0.857	0.301	0.323	0.327	0.244	5.089	0.308	0.48
"YMR217W"	0.69	-2.187	-2.566	-2.862	-2.309	-1.98	-5.293	-4.735	-5.29	-4.287	-2.652	-3.341	-4.118	-3.713	-4.205	-4.469	0.516	-0.154	-1.348	-2.638	-3.0	-3.621	-2.927	-2.073	-4.222	-3.421	-2.938	-3.323	-0.31	0.069	-0.156	0.014	-0.369	-3.089	0.146	0.654
"YMR230W"	0.115	-1.798	-1.631	-1.704	-1.106	-1.194	-3.465	-3.24	-4.541	-3.21	-2.361	-2.361	-1.71	-1.57	-1.442	-2.394	0.223	-0.059	-0.689	-2.711	-1.701	-3.054	-2.758	-1.782	-3.802	-3.223	-2.456	-2.976	-0.496	-0.427	-0.094	-0.024	0.335	-3.141	0.042	0.652
"YMR242C"	0.758	-1.446	-1.2	-2.703	-2.14	-1.779	-4.702	-3.971	-6.226	-4.84	-2.479	-2.59	-3.004	-2.601	-3.133	-3.475	0.499	-0.128	-0.889	-3.185	-2.255	-4.158	-3.141	-2.446	-4.607	-3.588	-2.771	-3.856	-0.183	-0.152	0.248	0.193	0.181	-3.582	0.214	1.046
"YMR260C"	0.068	-1.447	-1.601	-2.325	-1.884	-0.757	-3.404	-2.549	-5.138	-3.636	-1.666	-1.968	-2.005	-1.338	-1.729	-2.229	0.198	0.0	-0.604	-1.242	-0.094	-2.426	-1.742	-0.914	-2.447	-2.023	-1.573	-1.636	0.204	0.236	0.168	0.107	0.226	-1.866	0.209	0.865
"YMR290C"	-0.492	-2.572	-2.637	-2.714	-2.071	-1.864	-5.132	-3.509	-5.217	-4.614	-3.037	-3.295	-3.716	-3.219	-3.665	-2.938	0.369	-0.172	-1.688	-2.555	-2.481	-4.028	-3.856	-2.84	-4.544	-3.558	-3.243	-3.217	-0.654	-0.146	-0.543	-0.769	0.368	-3.084	0.313	0.611
"YMR309C"	-0.013	-0.682	-0.877	-1.234	-1.281	-1.127	-3.127	-3.731	-3.516	-3.374	-1.914	-1.926	-2.303	-3.144	-3.173	-3.384	0.117	-0.025	-0.749	-2.375	-1.138	-3.723	-3.06	-2.126	-3.181	-2.122	-2.245	-2.356	-0.308	0.155	0.016	-0.287	0.111	-2.46	0.821	0.334
"YNL096C"	-0.066	-1.708	-1.648	-2.329	-1.871	-1.516	-4.113	-4.038	-6.106	-4.716	-2.906	-2.776	-3.041	-3.644	-4.096	-4.68	0.183	0.292	-1.168	-3.171	-1.613	-3.52	-2.764	-2.627	-3.087	-3.372	-2.098	-2.779	0.089	0.123	0.16	0.368	0.201	-3.108	0.224	0.905
"YNL119W"	0.413	-1.112	-1.399	-1.88	-1.412	-1.792	-6.697	-5.354	-6.231	-3.55	-1.753	-1.955	-2.206	-2.822	-2.843	-3.318	0.209	0.026	-0.883	-2.631	-2.341	-3.587	-2.801	-2.871	-4.042	-2.748	-2.546	-2.406	-0.765	-0.285	-0.241	0.26	0.305	-3.264	0.205	1.115
"YNL178W"	0.073	-1.551	-2.012	-2.761	-2.578	-2.086	-4.244	-4.338	-6.62	-4.97	-2.608	-2.899	-2.981	-2.958	-3.483	-3.871	0.342	-0.113	-0.658	-3.866	-2.416	-2.898	-2.059	-1.999	-2.548	-2.616	-2.364	-2.764	-0.011	-0.277	0.265	-0.267	0.328	-3.881	0.248	0.92
"YNL223W"	-0.017	0.462	-0.241	0.721	0.482	0.367	2.732	2.323	-0.643	2.324	1.642	1.911	2.195	1.917	2.141	1.362	0.34	-0.433	0.399	1.748	0.735	0.437	0.667	0.358	1.485	1.367	0.151	1.156	0.01	0.012	0.074	0.226	-0.721	1.174	-0.555	0.176
"YNL301C"	0.73	-1.003	-1.24	-1.652	-1.273	-1.87	-2.992	-5.123	-6.272	-3.466	-1.992	-2.799	-2.781	-2.652	-2.985	-3.448	0.658	0.067	-0.938	-3.479	-2.619	-4.167	-3.163	-3.507	-4.02	-3.032	-2.764	-3.161	-0.33	-0.221	0.26	0.265	0.268	-3.527	0.423	0.57
"YOL039W"	-0.054	-1.656	-2.439	-2.507	-2.205	-1.77	-0.9415	-2.068	-7.971	-3.972	-2.697	-2.946	-3.123	-2.476	-3.262	-3.256	0.455	-0.062	-1.829	-3.415	-2.817	-3.167	-2.856	-2.746	-3.392	-3.542	-3.052	-2.882	0.096	0.041	0.183	0.62	0.045	-3.62	0.574	0.826
"YOL120C"	-0.189	-1.061	-1.75	-1.726	-1.441	-1.667	-1.9285	-0.894	-3.424	-3.598	-1.737	-2.741	-2.819	-2.551	-3.234	-3.307	0.535	0.157	-1.4575	-2.783	-2.374	-3.446	-3.085	-3.107	-3.919	-3.387	-2.622	-3.525	-0.024	-0.23	0.249	0.134	0.298	-4.105	0.486	0.476
"YOL121C"	-0.544	-1.318	-1.172	-2.48	-1.719	-1.432	-1.946	-3.476	-1.754	-4.227	-2.02	-1.993	-2.307	-2.469	-2.67	-3.83	0.44	0.204	-0.666	-2.877	-1.634	-3.912	-2.653	-2.14	-3.465	-2.982	-2.546	-2.879	0.081	-0.134	0.114	0.218	0.514	-3.658	0.268	0.735
"YOR031W"	-0.206	0.229	0.095	1.631	0.748	0.508	2.7555	6.023	2.537	3.26	2.427	3.88	4.039	5.635	5.711	5.6	0.603	1.003	-0.5535	0.901	0.068	3.458	3.419	2.425	2.437	3.733	2.674	3.196	-0.152	0.245	0.12	0.079	0.245	3.822	-0.248	0.095
"YOR167C"	0.112	-0.651	-0.532	-2.174	-1.85	-1.124	-1.901	-0.6035	-3.313	-3.37	-2.06	-2.251	-2.421	-2.283	-2.319	-2.712	0.538	-0.163	-0.456	-2.858	-1.996	-2.829	-2.745	-1.906	-3.035	-2.772	-2.46	-2.134	-0.377	-0.44	-0.096	0.092	0.151	-2.138	0.473	0.623
"YOR234C"	0.505	-1.027	-1.38	-1.644	-0.983	-0.911	-4.006	-2.8745	-4.019	-3.657	-1.912	-1.717	-1.324	-0.593	-0.648	-2.139	-0.424	0.14	-0.9825	-2.267	-1.689	-3.604	-2.922	-2.425	-4.032	-3.302	-2.445	-3.127	-0.595	-0.571	-0.288	-0.223	0.447	-2.764	-0.081	0.689
"YOR254C"	-0.222	0.148	-0.047	0.049	-0.171	-0.203	-2.6515	-2.192	-6.426	-2.631	-1.666	-1.904	-1.86	-2.354	-2.689	-2.309	0.348	0.266	0.4995	NaN	-0.291	-2.166	-2.254	-1.27	-2.342	-2.212	-1.537	-2.314	-0.304	-0.034	-0.192	-0.368	0.084	-1.792	-0.014	0.912
"YOR276W"	0.288	-0.029	-0.242	-1.605	-1.392	-0.386	-2.1185	-3.943	-4.3595	-2.37	-1.547	-1.789	-1.815	-1.759	-1.888	-2.356	0.278	-0.056	-0.029	-0.516	-0.273	-2.444	-1.699	-0.956	-2.349	-1.526	-1.139	-1.571	0.214	0.127	0.085	0.086	-0.154	-1.953	-0.283	0.199
"YOR369C"	-0.275	-1.41	-1.592	-2.175	-2.11	-2.127	-3.6225	-3.724	-6.5475	-3.998	-2.456	-2.858	-2.986	-2.456	-2.662	-3.502	0.491	-0.126	-0.7605	-3.251	-2.25	-3.362	-2.395	-1.842	-3.032	-3.003	-2.641	-3.203	0.003	-0.586	0.209	-0.094	0.628	-4.066	0.563	0.641
"YPL079W"	-0.714	-1.29	-1.376	-2.516	-2.168	-1.792	-4.616	-3.892	-6.4765	-4.735	-2.781	-2.741	-3.087	-3.015	-3.498	-4.547	0.418	0.242	-0.893	-3.141	-2.132	-2.865	-2.753	-2.74	-3.573	-3.431	-2.725	-2.785	-0.249	-0.157	-0.03	0.251	0.554	-2.489	0.186	0.819
"YPL081W"	-0.541	-1.473	-1.436	-1.35	-0.98	-1.27	-4.5065	-3.4025	-6.801	-4.022	-2.461	-2.849	-2.929	-2.789	-2.909	-3.725	0.212	0.29	-0.3725	-2.373	-1.819	-3.083	-2.359	-1.427	-3.939	-2.717	-2.656	-3.157	-0.207	-0.281	0.322	0.17	-0.085	-2.936	-0.191	0.606
"YPL090C"	0.101	-1.975	-2.177	-2.823	-2.737	-1.765	-3.9615	-4.364	-6.197	-5.307	-2.412	-2.833	-2.954	-3.292	-3.309	-4.719	0.294	0.247	-1.1235	-3.271	-2.178	-4.244	-3.265	-3.165	-4.101	-3.571	-2.951	-2.658	-0.132	0.049	0.033	0.196	0.687	-2.941	0.112	0.416
"YPL160W"	0.0175	-1.68	-1.44766666666667	-1.501	-1.6245	-1.2135	-3.26033333333333	-3.08233333333333	-5.284	-4.0365	-1.8835	-2.449	-2.824	-3.1695	-3.499	-2.977	-0.0136666666666667	0.7145	-0.73	-2.501	-0.8585	-3.477	-2.958	-2.059	-3.512	-2.719	-2.2345	-2.589	-0.166	-0.052	-0.1455	-0.234	-0.03	-1.7245	0.1685	0.7495
"YPL220W"	0.789	-0.581	-0.8225	-2.806	-2.333	-2.045	-3.389	-3.187	-6.1465	-3.51	-1.794	-2.548	-2.639	-2.247	-2.571	-3.926	-0.0245	-0.079	-0.7215	-2.891	-2.598	-3.366	-2.375	-1.67	-3.554	-2.774	-2.352	-3.007	-0.226	-0.416	-0.042	0.279	0.075	-3.294	0.368	1.024
"YPL226W"	0.0155	-1.197	-1.204	-0.922	-1.031	-1.6105	-4.86566666666667	-3.95033333333333	-5.67966666666667	-4.0095	-2.363	-2.3985	-2.8955	-3.407	-2.9025	-3.983	-0.11	0.3945	-1.18233333333333	-2.562	-2.272	-2.657	-3.519	-1.48	-3.811	-3.004	-2.748	-2.36	-0.213	0.15	-0.16	-0.029	-0.293	-2.123	0.197	0.461
"YPR102C"	0.381	-1.356	-1.4335	-2.43	-1.866	-1.671	-3.521	-4.045	-6.451	-4.644	-2.495	-2.723	-3.232	-3.352	-3.749	-4.692	0.288	-0.037	-0.5275	-3.121	-1.523	-3.927	-2.614	-2.344	-4.015	-3.517	-2.547	-3.247	-0.344	0.058	0.116	0.262	0.707	-3.663	0.388	0.961
"YPR163C"	0.232	-0.481	-0.863	-2.061	-1.817	-0.617	-3.6815	-2.9485	-5.4905	-3.136	-2.003	-2.05	-2.325	-2.642	-2.895	-2.82	0.0695	-0.016	-0.673	-1.693	-1.285	-3.506	-3.14	-1.955	-3.575	-2.873	-2.034	-2.32	-0.29	0.016	-0.149	-0.139	0.264	-1.861	-0.1	0.512
"YPR187W"	0.234	-0.768	-0.627	-1.449	-1.166	-0.532	-2.5615	-3.609	-5.408	-2.563	-1.827	-1.816	-2.016	-2.28	-2.584	-3.22	0.1025	-1.138	-0.7435	-0.36	-0.625	-2.584	-2.061	-1.502	-2.896	-2.213	-1.752	-2.009	0.078	0.18	0.008	-0.036	0.131	-1.933	0.126	0.399
