	"89.cdc15 100 min"	"91.cdc15 140 min"	"107.heat shock 10 min"	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"686.YP ethanol vs reference pool"	"781.Heat Shock 000 minutes (series 2)"	"797.Heat Shock 000 minutes (series 3)"	"800.Heat Shock 015 minutes"	"801.Heat Shock 030inutes"	"811.DES459 (mec1) + heat 20 min"	"814.DBYmsn2-4- 37degree heat - 20 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"863.Amino acid + adenine starvation 1 h"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"976.wt_plus_gamma_5_min"	"980.wt_plus_gamma_45_min"	"982.wt_plus_gamma_90_min"	"983.wt_plus_gamma_120_min"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1168.PHO81c vs. wild type, exp.1"	"1170.pho85 delete vs. wild type"	"1249.mec1_plus_gamma_5_min"	"1300.DBY7286 Low-Pi vs. High-Pi"	"1313.diauxic shift timecourse: 20.5 hr"	"4048.0.8M NaCl +FK506 - 30 min"	"4785.29C +1M sorbitol to 33C + 1M sorbitol - 15 min"	"7528.DBYyap1 0.32 mM H2O2 - 20 min"	"7759.Na 30min"	"7760.Na 45min"	"7761.Na 60min"	"7763.Na+FK 30min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"8289.MCM7 formaldehyde x-linked in veg. cells. IP'd w/ polyclonal AB"	"11466.yO1 test hyb"	"12733.Nitrogen Depletion 8 h"	"12739.Nitrogen Depletion 30 min."	"12741.Nitrogen Depletion 1 h"	"12744.heat shock 17 to 37, 20 minutes"	"17676.Na+FK 45min (4)"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"33259.delKIN82_heat shock _15min"	"33261.delKIN82_heat shock _30min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"38154.03II01 batch p10"	"42375.CC LS 3B Leucine-Sulfate Chemostat Comparison"	"42392.L2 CompR 05 hr 00 min Leucine Batch vs Chemostat Comparison"	"42393.L2 CompR 05 hr 58 min Leucine Batch vs Chemostat Comparison"	"42394.L2 CompR 06 hr 58 min Leucine Batch vs Chemostat Comparison"	"42395.L2 CompR 07 hr 58 min Leucine Batch vs Chemostat Comparison"	"42396.L2 CompR 08 hr 58 min Leucine Batch vs Chemostat Comparison"
"YHR169W"	-0.257	-0.066	-2.238	-3.982	-3.7575	-3.384	-2.497	-3.146	-2.919	-1.016	1.037	1.078	-2.289	-1.088	-1.849	-0.63	-4.241	-3.115	-2.216	-2.175	-1.929	-1.952	-3.506	-3.088	-1.793	-0.634	-2.982	-3.141	-2.365	0.177	-1.49	-0.145	-0.475	-0.439	-1.554	-1.325	-1.172	-1.188	-0.992	-1.459	-2.009	-0.455	-1.08	-1.559	-1.182	-0.493	-2.1	-1.293	-2.51	-1.557	-1.985	-1.624	-1.448	-1.731	-2.321	-0.337	-1.859	-0.864	-1.306	-0.95	-3.6155	-2.046	-2.583	-1.533	-1.636	-1.454	0.432	-1.207	-2.087	-1.619	-1.154	-0.732	-1.795	0.105	-0.523	-0.555	-0.449	-0.705	-0.288
"YIL018W"	0.163	0.41	-0.903	1.619	-2.245	-2.4325	-2.2685	-3.509	-3.965	-1.109	1.177	1.056	-1.381	-1.189	-2.824	-2.153	-4.365	-3.03	-2.782	-2.724	-2.488	-2.78	-3.492	-5.749	-2.754	-1.014	-0.848	-3.362	-3.505	-3.056	-0.596	-0.493	-0.084	-0.182	-3.907	-1.842	-2.218	-2.606	-2.661	-3.27	-3.914	0.458	-0.557	-0.295	-0.142	-1.985	-1.021	-0.079	-1.357	-1.261	-1.963	-1.389	-1.349	-2.403	-4.283	0.087	-2.495	-3.591	-2.106	-2.548	-3.4165	-1.905	-2.641	-1.895	-1.899	-1.788	-4.277	-3.397	-4.06	-3.676	-2.806	-2.821	-1.836	0.473	-0.116	-0.112	-0.118	-0.257	-0.439
"YIL115C"	0.6645	0.4255	-0.879666666666667	0.926666666666667	-0.776666666666667	-0.922666666666667	-0.879	-0.918666666666667	-0.859666666666667	-0.3655	0.0655	0.161	-0.6305	-0.221	-0.433	-0.3925	-0.3735	0.136	0.3365	0.0285	0.073	-0.354	-1.588	-2.385	-0.1575	0.3565	1.379	-0.548	0.0175	0.2875	-0.003	0.0535	0.0445	-0.2735	0.222	-0.204	-0.6145	-0.626	-1.4435	-1.8015	0.023	-0.944	-0.807	-0.219	0.348	0.375	-0.467	-0.4985	-0.75	-0.0785	-0.2085	0.1635	-0.234	-0.06	0.0305	0.528	0.065	-0.776	-0.4425	-0.1595	-0.922	-0.6355	-0.196	-0.062	-0.07	-0.041	-0.5635	-0.424	-0.083	0.0435	-0.1835	0.271	-0.265	-0.269	-0.0315	-0.153	0.0595	-0.115	0.055
"YIL133C"	-1.363	0.145	-0.673	-2.0235	-2.2305	-2.6465	-2.027	-3.384	-3.811	-1.126	0.983	0.899	-1.505	-1.053	-2.661	-1.825	-3.333	-3.196	-3.135	-2.331	-2.167	-2.883	-2.693	-5.79	-2.633	-0.935	-1.773	-2.93	-2.571	-2.194	-0.77	-0.677	-0.16	-0.27	-4.433	-2.003	-2.465	-2.757	-2.615	-3.007	-3.393	0.041	-0.918	-0.882	-0.376	-1.852	-1.873	-0.343	-1.205	-2.045	-2.339	-1.436	-1.877	-2.453	-1.872	-0.182	-2.13	-3.329	-1.846	-2.349	-3.3115	-2.184	-2.292	-0.756	-1.695	-0.327	-4.387	-3.183	-4.098	-3.154	-2.466	-3.633	-1.899	0.056	-0.837	-0.713	-0.736	-1.023	-0.955
"YIL148W"	0.298	0.414	-1.0265	-1.5795	-1.6495	-1.455	-1.3005	-2.3055	-2.8165	-0.695	1.04	0.831	-0.621	-0.724	-1.398	-0.314	-1.734	-1.482	-1.408	-1.077	-1.243	-0.897	-1.931	-3.41	-1.347	-0.992	-1.138	-1.789	-2.019	-1.629	-0.293	-0.555	-0.078	-0.254	-2.319	-1.404	-1.39	-1.549	-0.901	-1.348	-2.118	0.103	-0.475	-0.18	-0.485	-1.561	-0.361	0.108	-0.561	-1.172	-1.243	-1.183	-0.603	-0.933	-1.415	-0.315	-1.59	-1.447	-0.911	-1.257	-2.313	-1.53	-2.031	-1.391	-1.149	-1.39	-2.58	-2.025	-2.552	-2.609	-1.815	-2.449	-1.494	0.266	-0.406	-0.219	-0.163	-0.225	-0.485
"YJL033W"	-0.176	-0.422	-2.5095	-2.5835	-2.2775	-1.9895	-1.6645	-1.864	-1.49	-0.485	0.697	0.592	-0.811	-1.623	-1.828	-0.439	-1.99	-1.695	-1.453	-0.774	-1.079	-1.195	-2.188	-3.95	-0.94	-0.17	-0.592	-1.381	-0.978	-0.915	-0.988	0.364	0.081	-0.001	-1.176	-1.469	-1.325	-1.176	-0.918	-1.285	-1.923	-0.245	-1.503	-1.574	-1.393	-0.331	-1.772	-1.035	-0.873	-1.652	-1.993	-1.964	-1.103	-1.468	-1.688	-0.485	-0.499	-1.09	-1.409	-0.625	-2.3355	-3.632	-5.541	-4.466	-2.779	-2.379	-2.721	-1.576	-5.054	-2.188	-1.259	-1.281	-1.898	-0.371	-1.08	-0.902	-0.786	-0.799	-0.445
"YJL069C"	0.008	-0.311	-2.8925	-3.028	2.1855	-3.073	-1.3795	-2.9805	-3.0365	-0.617	0.854	0.756	-2.099	-1.094	-1.165	-0.52	-4.742	-2.843	-2.261	-2.587	-2.233	-2.386	-3.072	-6.298	-1.977	-0.541	-2.299	-1.49	-2.566	-2.033	-1.915	-0.244	-0.257	-0.453	-2.694	-1.774	-1.863	-1.855	-1.613	-1.653	-2.017	-0.297	-1.295	-1.046	-0.998	-0.789	-2.266	-1.386	-2.149	-1.914	-2.329	-1.711	-1.707	-2.035	-1.743	-0.55	-0.549	-0.92	-0.878	-0.963	-3.224	-1.62	-1.862	-1.93	-2.285	-0.926	-1.21	-2.027	-2.354	-1.803	-1.315	-1.373	-0.517	0.195	-0.536	-1.381	-0.534	-0.64	-0.713
"YJL109C"	-0.015	-0.14	-2.08766666666667	-2.39833333333333	-1.45633333333333	-2.722	-2.64066666666667	-3.525	-3.447	-0.8145	0.3375	0.333	-2.585	-1.3855	-1.571	-1.35	-2.165	-1.7305	-1.4565	-1.5415	-0.849	-1.647	-2.408	-2.278	-0.8495	-0.3115	-1.1545	-1.698	-1.466	-1.009	-1.0235	-0.3775	0.219	-0.0985	-3.828	-2.2595	-2.532	-2.726	-3.225	-3.2785	-3.3735	-1.521	-1.446	-1.409	-0.162	-1.634	-1.063	-1.1865	-1.751	-0.908	-1.2615	-1.151	-0.5665	-0.6225	-0.641	0.118	-1.6855	-2.6115	-3.07	-2.491	-3.01866666666667	-1.4715	-2.8695	-2.029	-2.124	-1.3755	-1.649	-1.4985	-2.9815	-1.5145	-1.1175	-1.465	-1.998	0.05	-0.1855	-0.483	-0.131	-0.202	-0.381
"YJL177W"	1.322	0.451	-0.722	-2.0	NaN	-2.4035	-2.211	-3.2765	-3.7865	-1.171	1.042	0.893	-1.397	-1.134	-2.665	-1.951	-4.132	-3.846	-3.2	-2.981	-0.605	-2.747	-3.255	-5.49	-2.648	-1.502	-1.729	-3.409	-3.772	-3.428	-0.52	-0.733	-0.267	-0.288	-5.074	-2.17	-2.525	-2.421	-1.768	-2.278	-2.905	0.254	-1.072	-0.07	-0.215	-2.013	-1.063	0.119	-1.16	-1.264	-2.129	-1.64	-1.431	-2.455	-2.061	-0.272	-2.348	-3.809	-1.477	-2.301	-3.293	-2.943	-2.626	-1.553	-1.517	-1.315	-4.72	-4.004	-4.54	-4.115	-3.056	-3.266	-1.743	0.301	-0.659	-0.609	-0.434	-0.684	-1.062
"YJL188C"	0.752	0.36	-0.403	-1.789	-1.259	-1.645	-1.9795	-2.06	-2.5615	-0.164	1.159	0.709	-0.516	-0.689	-2.075	-0.978	-2.525	-2.39	-2.043	-1.864	-1.323	-1.808	-2.786	-4.633	-2.442	-1.02	-1.612	-2.24	-2.745	-2.519	-0.048	0.122	0.334	0.867	-3.453	-1.897	-1.885	-1.929	-2.169	-2.54	-2.776	0.749	-0.02	-0.128	-0.037	-1.486	-0.431	0.517	-0.676	-1.118	-1.518	-1.071	-0.479	-1.135	-1.4	-0.969	-1.525	-1.376	-0.86	-1.182	-2.649	-1.505	-1.864	-0.523	-1.115	-1.704	-2.879	-1.947	-2.777	-2.447	-2.254	-2.01	-1.839	-0.122	-0.544	-0.296	-0.192	-0.561	-0.803
"YJL189W"	0.3865	0.3965	-0.2	-1.379	-1.372	-1.8565	-1.73	-2.7325	-2.8195	-0.38	0.91	0.731	-0.731	-0.948	-1.93	-0.815	-3.545	-2.317	-2.319	-2.282	-1.647	-1.644	-2.901	-4.28	-2.473	-0.329	-1.433	-2.446	-2.278	-1.716	-0.052	-0.131	0.052	0.132	-3.49	-1.87	-1.78	-2.141	-1.577	-2.282	-2.837	-0.245	-0.083	-0.377	-0.462	-1.713	-0.951	0.203	-0.822	-1.24	-1.438	-1.127	-0.748	-1.552	-1.383	-1.229	-1.034	-1.798	-0.955	-0.893	-2.3825	-1.288	-1.952	-1.387	-1.325	-1.564	-2.736	-2.597	-2.888	-2.522	-2.288	-1.966	-1.465	-0.013	-0.364	-0.156	-0.26	-0.344	-0.25
"YJR070C"	0.131	0.485	-3.0685	-4.6905	-4.6305	-4.824	-3.895	-4.828	-4.332	-1.502	1.272	1.129	-3.794	-1.881	-2.253	-0.767	-5.317	-3.975	-3.514	-3.056	-2.526	-3.68	-3.511	-7.226	-3.689	-0.887	-1.83	-3.471	-2.777	-2.792	-1.678	-1.079	-0.772	-0.848	-2.102	-1.698	-1.543	-1.829	-1.463	-2.254	-2.322	0.316	-1.51	-1.518	-0.721	-1.045	-0.876	-0.815	-1.611	-0.684	-2.306	-2.277	-1.265	-2.616	-3.193	-0.3	-2.575	-1.125	-1.544	-1.195	-4.7655	-3.782	-3.81	-2.429	-4.096	-1.614	-3.069	-2.355	-3.754	-3.104	-2.692	-3.23	-2.011	0.144	-0.922	-0.935	-0.606	-0.929	-1.058
"YJR145C"	0.619	0.604	-0.639	-1.459	5.408	-2.2535	-1.8995	-2.8575	-3.3335	-1.487	1.341	0.963	-1.012	-1.165	-2.537	-2.239	-4.507	-3.488	-3.177	-2.731	-2.328	-2.413	-3.54	-6.528	-2.54	-1.641	-1.781	-3.551	-3.547	-3.597	-0.519	-0.745	-0.2	-0.065	-4.857	-1.988	-2.396	-2.336	-2.519	-3.105	-3.178	0.493	-0.752	-0.244	-0.36	-2.236	-1.291	0.033	-0.955	-1.623	-2.162	-1.723	-1.407	-2.369	-1.818	-0.344	-2.312	-3.331	-1.214	-2.084	-2.7805	-3.157	-2.804	-2.063	-1.349	-1.134	-4.335	-3.373	-4.108	-3.771	-2.74	-2.94	-1.447	0.268	-0.358	-0.178	-0.325	-0.444	-0.502
"YKL006W"	-0.143	-0.057	-0.5725	-1.828	-2.227	-2.75	-1.949	-3.315	-3.5445	-1.288	1.354	1.089	-1.048	-1.025	-2.018	-1.656	-4.299	-3.901	-3.389	-2.854	-2.383	-3.16	-2.835	-5.113	-2.919	-1.399	-2.6	-3.049	-3.027	-2.997	-0.45	-0.618	0.027	0.1	-4.545	-2.315	-2.442	-2.791	-1.939	-2.29	-2.843	0.065	-0.605	-0.541	-0.259	-1.748	-1.03	-0.132	-1.404	-1.562	-2.111	-1.56	-1.268	-2.103	-1.94	NaN	-2.458	-3.013	-1.774	-2.306	-3.02	-1.701	-2.654	-1.672	-1.927	-0.766	-4.432	-3.39	-4.756	-4.221	-2.993	-3.593	-2.032	0.366	-0.706	-0.256	-0.454	-0.655	-0.718
"YKL078W"	0.893	0.735	-1.889	-3.604	NaN	-5.158	-2.3495	-3.592	-3.3985	-0.926	1.374	1.043	-3.407	-2.946	-1.841	-1.229	-5.829	-4.282	-3.547	-3.31	-2.968	-3.615	-4.795	-8.494	-3.854	-1.231	-1.78	-2.736	-2.03	-1.384	-2.584	-0.104	0.318	0.232	-2.695	-2.207	-2.394	-2.322	-2.866	-3.401	-1.845	-0.697	-1.322	-2.662	-1.614	-1.66	-2.374	-2.114	-2.4	-1.827	-2.708	-2.548	-1.799	-2.321	-2.256	0.148	NaN	-1.489	-1.404	-2.347	-3.7245	-1.323	-3.359	-3.684	-2.475	-2.66	-2.079	-2.464	-3.291	-2.654	-2.137	-1.714	-1.996	-0.296	-0.528	-1.409	-1.591	-1.17	-2.522
"YKR056W"	-0.565	-0.233	-3.646	-4.01	-3.863	-3.872	-2.945	-3.217	-3.127	-0.619	1.262	0.804	-2.566	-1.123	-1.683	-0.68	-4.495	-2.575	-2.343	-2.336	-1.492	-2.639	-3.298	-4.34	-2.352	-0.708	-2.076	-2.379	-1.808	-1.061	-1.64	-0.126	-0.367	-0.301	-1.986	-1.639	-1.597	-1.637	-2.627	-3.787	-3.544	1.112	0.174	-1.471	0.035	-1.382	-2.462	-1.734	-1.795	-1.933	-2.896	-1.713	-1.662	-3.105	-2.539	0.713	-1.751	-0.39	-2.381	-1.627	-3.682	-0.997	-2.586	-2.146	-2.061	-1.311	-1.199	-1.647	-3.056	-2.089	-1.061	-1.306	-0.554	-0.119	-0.774	-0.886	-0.554	-0.79	-0.517
"YKR094C"	-1.093	-0.304	-0.324	-1.518	-1.906	-2.14	-2.109	-2.994	-3.29	-1.08	0.977	0.785	-1.373	-1.129	-1.884	-0.579	-3.138	-2.914	-2.619	-2.274	-1.978	-2.41	-2.464	-4.383	-2.065	-0.963	-1.021	-2.102	-2.333	-1.972	-0.359	-0.576	-0.505	-0.275	-2.785	-1.579	-1.746	-1.839	-1.792	-2.197	-2.387	0.733	-0.283	-0.471	0.215	-1.456	-0.772	0.071	-0.537	-1.457	-1.747	-1.522	-1.033	-1.7	-1.911	-0.177	-2.035	-2.111	-0.816	-1.412	-2.821	-3.122	-2.445	-1.493	-1.554	-1.119	-3.423	-2.549	-3.694	-3.422	-2.865	-3.683	-1.734	0.252	-0.405	-0.038	-0.028	-0.39	-0.596
"YLL044W"	-0.327	0.003	-0.576	-1.737	-2.245	-2.526	-2.196	-3.582	-4.162	-1.193	1.115	1.006	-1.173	-1.909	-2.783	-2.041	-4.871	-3.525	-3.158	-2.869	-2.211	-2.963	-3.79	-6.48	-2.802	-1.254	-1.665	-3.313	-3.031	-3.269	-0.866	-0.658	0.119	-0.208	-3.872	-1.944	-2.654	-2.736	-2.724	-3.494	-3.967	0.116	-0.761	-0.106	-0.05	-2.154	-1.079	0.009	-1.501	-1.386	-2.344	-1.619	-1.183	-2.075	-2.07	0.098	-2.227	-3.04	-1.532	-2.312	-3.517	-2.458	-2.328	-1.637	-2.048	-1.407	-3.189	-2.774	-3.806	-2.77	-2.196	-2.935	-2.756	0.119	-0.717	-0.834	-0.522	-0.894	-1.11
"YLL045C"	0.35	0.345	-0.787	-1.746	-2.108	-2.105	-2.319	-3.116	-3.722	-0.971	1.348	1.206	-0.961	-1.667	-2.573	-1.94	-3.851	-3.176	-2.506	-2.189	-1.64	-2.221	-3.857	-6.618	-2.711	-0.863	-1.489	-3.169	-3.335	-3.185	-0.87	-0.52	0.372	-0.074	-3.66	-2.096	-2.604	-2.495	-2.943	-3.021	-3.731	0.681	-0.762	0.085	-0.053	-2.692	-0.956	0.226	-1.297	-1.212	-2.243	-1.5	-0.871	-1.924	-1.585	0.085	-2.165	-2.953	-1.497	-2.279	-3.545	-2.44	-2.751	-1.345	-1.04	-1.119	-3.449	-2.833	-3.788	-3.87	-2.635	-2.362	-2.09	0.471	-0.661	-0.703	-0.498	-0.789	-0.882
"YLR002C"	0.274	0.537	-4.018	-4.273	-2.83	-3.029	-2.585	-3.425	-2.737	-0.899	1.087	1.015	-2.86	-0.806	-2.281	-0.984	-3.541	-1.701	-1.693	-1.352	-1.168	-0.99	-3.154	-4.959	-1.928	-0.479	-1.829	-2.611	-1.589	-1.157	-1.144	0.09	0.07	-0.434	-2.747	-1.603	-1.661	-1.599	-2.578	-3.265	-3.45	-0.063	-1.136	-1.324	-0.641	-1.408	-1.581	-1.157	-1.813	-1.458	-2.016	-1.608	-1.005	-0.819	-1.697	0.394	0.135	-1.252	-2.201	-1.401	-4.018	-0.271	-2.317	-2.108	-1.524	-0.533	-1.828	-1.445	-2.422	-2.55	-1.453	-0.718	-1.304	0.01	-0.303	-0.758	-0.379	-0.63	-0.511
"YLR009W"	-0.258	-0.155	-2.705	-4.735	-4.567	-4.564	-2.897	-4.204	-3.864	-0.705	1.035	0.872	-3.541	-1.474	-2.235	-0.981	-4.675	-2.624	-2.259	-2.408	-1.898	-2.126	-2.518	-5.388	-2.78	-0.697	-2.555	-2.737	-2.637	-1.705	-1.835	-0.136	-0.141	-0.269	-3.455	-2.226	-1.984	-2.757	-2.555	-3.216	-2.799	-0.314	-1.169	-1.929	-1.153	-1.817	-2.459	-1.592	-2.176	-2.563	-2.802	-2.013	-2.197	-2.902	-2.825	-0.287	-1.779	-1.484	-1.059	-1.589	-4.344	-2.788	-3.436	-1.875	-1.829	-0.663	-2.229	-1.452	-3.361	-1.953	-1.228	-1.257	-2.19	-0.292	-0.788	-0.71	-0.449	-0.829	-0.356
"YLR084C"	0.824	0.087	-1.3	-0.748	NaN	-1.239	-0.468	-1.198	-1.054	NaN	0.376	0.059	-0.029	0.197	-4.471	NaN	-1.276	-0.878	-0.441	-1.246	-2.131	-1.153	-3.113	-3.637	-0.323	0.354	-1.421	-0.801	-0.488	-1.141	-0.282	0.061	-0.218	-0.482	-0.678	NaN	-1.138	-1.616	NaN	0.71	3.907	NaN	-0.201	-0.287	0.0	-0.823	-1.761	-0.472	-1.876	-1.21	-1.243	-1.258	-0.914	-0.866	-1.071	-0.121	-0.243	NaN	-0.794	NaN	-0.45	-0.039	-1.257	-1.211	-1.537	-0.019	-2.293	-2.127	-2.067	-2.201	-1.204	-2.582	-0.473	-0.304	-0.078	-0.179	-0.147	-0.117	0.049
"YLR196W"	0.502	-0.152	-4.71	-5.425	-5.709	-5.04	-3.221	-4.896	-4.532	-0.842	1.407	1.059	-3.946	-1.297	-2.273	-1.289	-5.083	-3.01	-3.156	-2.049	-1.898	-2.276	-4.437	-5.836	-2.118	-0.772	-2.001	-2.858	-2.859	-1.799	-1.404	-0.07	-0.091	0.035	-4.378	-2.182	-2.66	-2.604	-3.933	-4.664	-4.392	-0.046	-0.864	-1.725	-0.792	-2.767	-2.107	-1.266	-1.581	-1.656	-2.793	-1.956	-1.326	-2.637	-2.454	-0.069	-1.216	-2.149	-3.524	-2.593	-5.097	-2.15	-3.697	-2.702	-2.671	-2.167	-2.901	-2.83	-3.658	-2.412	-1.969	-2.265	-1.73	0.217	-0.771	-0.492	-0.388	-0.625	-0.35
"YLR197W"	-0.324	-0.625	-3.755	-4.98	-4.31	-4.044	-3.638	-4.76	-5.179	-1.17	1.252	1.224	-3.466	-2.02	-2.844	-1.659	-5.817	-3.612	-3.173	-2.795	-2.789	-3.255	-4.736	-5.242	-3.387	-1.088	-1.811	-3.899	-3.238	-3.258	-1.145	-0.037	-0.139	-0.243	-5.671	-2.611	-3.067	-3.716	-4.423	-4.976	-5.033	-0.427	NaN	-0.991	-0.215	-1.633	-0.987	-0.419	-1.423	-0.92	-2.28	-1.776	-0.4	-1.768	-2.254	-0.4	-2.488	-3.686	-3.026	-2.075	-5.072	-3.105	-4.496	-2.603	-4.151	-1.612	-4.983	-3.17	-4.545	-3.045	-2.593	-2.321	-2.559	0.395	-0.618	-0.841	-0.655	-0.759	-0.762
"YLR384C"	0.064	-0.03	-0.4575	-1.369	1.4395	-0.2845	-1.323	-1.3105	-1.5805	-0.1315	-0.0205	0.238	-0.078	-0.673	-0.9245	-0.6555	-0.7025	-0.3765	0.035	0.226	0.5335	-0.4745	-0.0199999999999999	0.6325	1.4305	0.942	0.4695	0.585	1.3035	-0.2085	-0.336	-0.4195	-0.061	-0.177	-1.8305	-1.846	-1.921	-1.2515	-0.924	-0.937	-0.2005	NaN	-0.037	-0.553	0.438	-0.969	-0.579	0.087	-0.5635	-0.3675	-0.836	-1.002	-0.1745	0.065	-0.3015	-0.683	-0.6995	-1.237	-0.5865	-0.7375	-2.0305	-0.615	-1.873	-1.655	-2.122	-0.949	-0.921	-0.938	-1.716	-0.798	-0.403	-1.218	-0.749	0.22	-0.248	-0.284	-0.071	-0.029	-0.174
"YLR401C"	0.427	-0.552	-4.37	-3.667	-3.155	-2.889	-2.202	-3.179	-2.451	-0.782	0.994	0.641	-2.502	-1.138	-1.983	-0.432	-3.761	-2.23	-2.153	-1.623	-1.241	-1.265	-1.263	-3.133	-2.307	-0.352	-0.451	-2.484	-2.153	-1.169	-1.389	0.041	0.006	0.134	-1.31	-1.179	-1.047	-1.54	-0.775	-0.916	-0.969	-0.306	-1.358	-1.772	-0.866	-0.689	-1.714	-1.187	-0.909	-1.411	-1.783	-0.998	-1.422	-1.679	-1.421	0.659	-0.681	-1.039	-0.666	-1.009	-3.769	-0.938	-4.366	-2.033	-2.208	-0.772	-1.382	-1.137	-2.921	-1.22	-1.004	-1.779	-1.531	0.226	-1.188	-1.05	-1.167	-1.165	-0.636
"YLR452C"	-0.65	-0.364	-1.711	-0.903	-0.746	-0.797	-0.908	-0.907	-1.421	-1.465	0.822	0.494	-0.272	0.144	0.183	-0.636	-0.624	-1.022	-1.087	-1.496	-1.181	-0.797	-2.085	-2.433	0.311	-0.237	-1.728	-1.42	-1.413	-1.964	NaN	0.085	NaN	NaN	0.062	-2.081	-1.507	-1.407	-2.221	-2.363	-2.117	-0.009	-0.779	-0.959	0.359	-1.314	0.529	-0.588	-0.562	-0.883	-1.06	-1.24	-0.318	0.003	-0.301	-0.478	-1.291	-0.967	0.177	0.25	-1.855	-0.712	-1.029	-0.467	-2.207	-1.169	-2.287	-2.011	-0.971	-1.726	-2.388	-1.86	-0.233	0.166	-0.475	-0.441	-0.064	-0.177	-0.147
"YML043C"	-0.046	-0.727	-3.314	-3.507	-2.613	-2.689	-1.807	-2.273	-1.861	0.0	0.982	0.845	-1.986	-1.267	-0.543	-0.356	-3.139	-2.736	-2.012	-2.301	-2.62	-2.508	-1.858	-2.655	-1.233	0.474	-2.196	-1.654	-1.509	-1.407	-0.966	0.129	-0.001	0.09	-1.139	-1.0	-1.516	-1.724	-0.748	-1.179	-2.747	-0.337	-0.946	-0.802	-1.101	-1.258	-2.649	-0.833	-1.174	-2.793	-2.962	-2.251	-1.942	-2.057	-2.203	-0.866	-1.264	-0.067	-0.612	-0.161	-2.98	-2.809	-3.791	-2.636	-2.401	-2.28	-1.968	-1.666	-3.471	-1.673	-1.761	-1.475	-2.359	-0.298	-0.752	-1.863	-0.807	-0.749	-0.433
"YMR093W"	-0.244	-0.446	-2.983	-2.825	-2.746	-3.204	-1.949	-3.006	-2.835	-0.977	1.178	0.92	-2.739	-0.542	-0.796	-0.824	-1.169	-3.661	-3.154	-2.81	-2.903	-2.924	-3.98	-4.21	-2.377	-0.775	-2.421	-2.075	-2.079	-1.615	-1.651	-0.345	-0.627	-0.663	-3.288	-1.991	-1.912	-2.558	-2.591	-3.429	-3.183	-0.82	-2.213	-1.324	-0.935	-2.142	-2.438	-1.355	-2.666	-1.991	-2.058	-1.209	-1.789	-2.173	-1.76	-0.113	-2.368	-1.775	-1.422	-1.672	-3.181	-3.05	-2.663	-2.209	-3.287	-1.299	-2.854	-2.223	-3.843	-2.514	-2.402	-2.596	-2.303	-0.162	-0.714	-0.804	-0.687	-0.692	-0.951
"YMR131C"	0.099	-0.42	-3.068	-4.819	-4.67	-4.183	-3.849	-4.525	-4.347	-1.212	0.906	0.972	-3.041	-2.233	-1.871	-1.4	-5.631	-3.641	-3.811	-2.698	-2.414	-2.914	-5.052	-6.665	-3.153	-0.65	-2.016	-3.547	-2.98	1.316	-1.779	-0.184	-0.206	-0.432	-4.277	-2.776	-2.829	-3.214	-4.236	-5.241	-4.266	0.158	-0.838	-1.375	-0.911	-2.274	-2.232	-0.245	-1.198	-2.0	-3.012	-2.205	-1.855	-2.522	-2.8	-0.153	-1.789	-2.31	-2.821	-2.023	-4.674	-4.32	-3.866	-3.136	-3.736	-2.16	-1.412	-2.944	-4.181	-2.68	-1.908	-2.616	-2.21	-0.368	-0.499	-0.454	-0.408	-0.536	-0.465
