	"497.Heat Shock 000 minutes"	"781.Heat Shock 000 minutes (series 2)"	"817.1M sorbitol - 30 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"944.starv_in_H2O_4_h_30C"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1107.alpha factor release sample025"	"1167.NBW7 strain low-Pi vs. High-Pi, exp.1"	"3020.WT vs lpz8 null cells in high Cu"	"4872.1M sorbitol - 60 min"	"5237.DES460 (wt) - mock irradiation - 5 min"	"6344.DES460 + 0.02% MMS - 5 min"	"7760.Na 45min"	"7761.Na 60min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"11466.yO1 test hyb"	"13057.wt/crz1 Na 30min (1)"	"13059.wt/crz1 Na 45min (1)"	"13060.wt/crz1 Na 45min (2)"	"13063.wt/crz1 Ca 30min (1)"	"13064.wt/crz1 Ca 30min (2)"	"13070.Ca/Ca+FK 15min (2)"	"40970.MD_II_63_min"	"40971.MD_II_77_min"	"40973.MD_II_100_min"	"40974.MD_II_120_min"	"40975.MD_II_130_min"	"40976.MD_II_140_min"
"YJR003C"	0.791	0.758	-0.465	-2.372	-2.025	-1.727	-1.346	-0.767	-1.43	-2.48	-3.457	-0.552	-1.37	-0.824	-0.91	-2.176	-2.349	-2.42	-0.42	-0.259	0.088	-0.218	-0.812	-0.0655	-0.903	-1.167	-0.821	-1.233	-0.882	0.28	0.461	0.387	0.079	-0.22	-0.427	-1.802	-2.324	-3.052	-2.968	-2.907	-2.457
"YJR072C"	0.393	0.7	-0.339	-2.021	-1.263	-1.728	-0.741	-0.864	-1.429	-1.773	-3.523	-1.206	-0.729	-0.673	-0.63	-1.21	-2.028	-1.455	0.039	-0.316	-0.285	-0.009	-0.186	0.181	-0.743	-0.365	-1.185	-1.219	-0.804	0.594	0.284	0.253	0.172	0.107	-0.096	-1.567	-1.782	-1.379	-1.72	-1.057	-2.078
"YJR123W"	1.3	1.246	-0.576	-3.844	-3.276	-3.279	-3.375	-2.46	-3.124	-4.381	-9.147	-3.442	-2.083	-2.391	-2.635	-2.639	-3.543	-4.006	0.248	-0.079	0.058	0.56	-0.221	0.301	-2.264	-1.907	-2.373	-2.137	-2.153	0.789	0.266	0.161	0.319	0.286	0.421	-2.281	-3.049	-3.256	-1.979	-3.103	-2.851
"YKL123W"	-0.585	-0.959	0.387	2.091	0.927	1.243	1.687	1.976	1.672	2.241	-1.091	1.276	0.75	1.24	1.489	1.399	1.181	0.883	0.036	0.102	-0.709	-0.095	0.475	-0.124	0.953	0.803	1.041	0.825	0.961	-0.079	0.283	0.344	0.195	-0.066	0.268	1.092	0.764	0.818	1.134	1.289	1.111
"YKR094C"	0.976	0.977	-0.665	-3.138	-2.914	-2.619	-2.274	-1.978	-2.41	-2.464	-4.383	-1.972	-1.579	-1.746	-1.839	-1.792	-2.197	-2.387	0.144	-0.168	0.186	0.016	-0.204	0.221	-1.747	-1.522	-1.7	-1.911	-2.035	0.573	0.52	0.292	0.319	0.121	0.372	-1.164	-1.729	-1.585	-0.978	-1.499	-1.398
"YLR060W"	0.836	0.614	-0.643	-3.165	-2.617	-2.047	-2.296	-2.499	-2.849	-4.941	-5.967	-2.672	-1.546	-2.397	-2.667	-3.118	-3.713	-4.371	-0.01	0.095	0.169	-0.212	-0.295	0.076	-1.345	-0.976	-1.106	-0.9	-2.464	0.203	-0.058	-0.301	-0.091	-0.021	-0.315	-1.315	-1.509	-1.777	-1.909	-2.894	-1.071
"YLR061W"	1.1	1.127	0.006	-4.925	-4.297	-4.115	-3.603	-2.908	-3.127	-4.939	-6.591	-3.021	-2.164	-2.433	-2.88	-3.309	-3.833	-3.91	0.01	-0.033	0.195	0.078	-0.438	0.465	-1.456	-0.703	-1.889	-1.422	-2.482	0.736	-0.116	-0.133	0.563	0.363	0.479	-1.637	-2.029	-1.564	-1.485	-1.508	-2.199
"YLR100W"	0.338	0.459	0.187	-0.784	-0.608	-0.831	-0.795	-1.172	-1.003	-2.507	-4.853	-1.268	-0.746	-1.184	-1.09	-1.855	-2.159	-2.128	0.006	-0.111	0.168	0.423	-0.247	0.113	0.227	0.171	-0.142	-0.252	-1.441	0.18	0.155	0.225	0.27	0.338	-0.392	-1.34	-0.641	-1.273	-1.358	-2.321	-0.513
"YLR243W"	0.737	0.631	-0.066	-2.943	-2.291	-1.335	-2.004	-1.307	-2.063	-1.955	-3.657	-1.501	-1.292	-1.413	-1.404	-1.542	-2.373	-1.983	-0.043	-0.083	-0.048	0.041	-0.85	-0.118	-1.057	-0.939	-0.917	-1.132	-0.503	0.088	-0.051	0.021	-0.122	-0.017	-0.001	-1.357	-2.429	-2.453	-1.197	-1.464	-0.9
"YLR249W"	1.359	1.219	-0.896	-6.529	-4.864	-4.043	-3.482	-3.403	-3.637	-4.146	-6.742	-3.557	-2.712	-3.131	-3.778	-3.883	-4.549	-4.992	0.174	1.016	0.098	0.257	-0.338	-1.1	-3.464	-2.334	-2.703	-2.461	-3.421	0.412	0.139	-0.052	0.139	-0.092	-0.041	-2.717	-2.43	-2.727	-2.013	-3.921	-3.381
"YLR293C"	0.886	0.877	-0.556	-3.594	-2.185	-2.087	-2.565	-2.207	-2.675	-3.488	-6.281	-2.233	-1.576	-1.45	-2.158	-2.379	-3.03	-3.186	0.285	-0.238	-0.587	0.078	-0.56	0.168	-0.606	-0.384	-0.62	-0.593	-2.235	0.557	0.406	0.387	0.592	0.473	0.388	-1.628	-0.906	-1.028	-2.46	-2.758	-1.731
"YLR325C"	1.112	0.677	-0.833	-4.528	-3.555	-3.974	-3.918	-2.681	-3.034	-2.337	-5.498	-2.76	-2.81	-2.802	-3.314	-1.609	-1.204	-2.637	0.353	0.092	0.343	0.292	-0.309	-0.234	-2.0	-1.818	-2.227	-2.329	-2.253	0.652	0.574	0.455	0.32	0.314	0.472	-2.092	-2.224	-2.521	-2.977	-2.375	-2.27
"YLR339C"	0.906	0.66	-1.063	-3.243	-2.951	-2.69	-2.664	-3.285	-3.76	-4.988	-6.865	-3.201	-1.977	-2.647	-2.474	-2.461	-3.161	-3.973	0.472	-0.354	0.045	-0.052	-0.557	0.014	-1.098	-0.91	-1.766	-1.922	-2.977	0.796	0.372	0.4	0.221	0.428	0.357	-2.204	-2.892	-3.282	-1.484	-1.044	-1.546
"YLR340W"	1.063	1.164	-0.845	-2.59	-2.224	-2.566	-1.969	-2.963	-2.876	-4.11	-6.819	-3.015	-1.834	-2.703	-2.701	-2.702	-3.206	-4.105	0.223	-0.251	0.014	0.285	-0.614	0.378	-0.986	-0.705	-1.445	-1.663	-2.949	0.83	0.326	0.357	0.25	0.23	0.318	-0.846	-1.071	-2.253	-1.541	-1.503	-1.324
"YLR372W"	0.939	1.022	-1.325	-4.565	-3.104	-2.096	-2.432	-2.818	-3.001	-2.731	-4.512	-2.643	-2.106	-2.838	-3.773	-2.844	-3.456	-3.544	0.085	0.169	0.134	-0.081	-0.651	-0.066	-2.3	-1.909	-2.509	-2.442	-2.188	0.487	0.238	0.236	-0.099	-0.233	0.479	-1.926	-1.704	-2.496	-2.405	-2.15	-3.309
"YLR388W"	1.213	1.145	-0.758	-3.12	-2.544	-2.264	-1.926	-1.98	-1.738	-3.596	-5.506	-2.742	-2.079	-2.671	-2.555	-2.232	-2.581	-3.193	0.289	0.041	0.422	0.202	-0.34	0.371	-1.714	-1.218	-1.874	-2.12	-2.034	0.593	0.131	0.25	0.372	0.375	0.427	-1.785	-1.367	-1.571	-1.036	-0.76	-2.105
"YLR413W"	1.475	1.359	-1.736	-4.758	-4.864	-5.057	-4.832	-4.874	-5.063	-5.414	-5.846	-3.034	-4.488	-4.358	-4.993	-4.2	-4.656	-4.874	0.041	0.436	-0.118	0.009	-0.506	-0.462	-1.284	-1.378	-1.873	-1.969	-3.737	0.907	0.359	-0.052	0.449	0.409	-0.426	-3.297	-3.757	-4.072	-2.168	-5.34	-3.335
"YLR432W"	0.975	0.949	-0.452	-2.58	-2.16	-2.424	-1.536	-1.818	-2.129	-3.532	-5.65	-3.15	-0.9	-1.997	-2.641	-1.934	-2.482	-3.034	-0.128	-0.171	0.178	0.228	-0.13	0.104	-1.568	-1.274	-1.528	-1.225	-1.904	0.132	-0.403	-0.258	-0.193	-0.181	-0.599	-1.18	-1.213	1.592	-1.607	-2.184	-1.779
"YML024W"	0.485	0.906	-0.854	-3.616	-3.535	-3.016	-2.718	-2.475	-3.285	-3.909	-4.621	-3.004	-2.442	-2.512	-2.583	-1.81	-2.221	-2.415	NaN	NaN	0.084	-0.183	-0.646	0.177	-2.106	-1.671	-1.567	-2.011	-1.868	0.313	0.321	0.312	0.292	0.12	0.26	-1.807	-1.661	-2.178	-1.373	-1.314	-2.255
"YMR116C"	1.123	1.09	-1.218	-3.012	-3.687	-4.292	-3.142	-3.089	-3.798	-4.551	-6.865	-3.535	-2.408	-2.851	-2.888	-2.906	-3.561	-4.003	NaN	-0.124	0.108	-0.542	-0.46	0.293	-2.31	-2.559	-1.918	-2.486	-2.539	0.789	0.891	0.869	0.367	0.123	0.385	-2.714	-2.439	-2.61	-3.556	-3.117	-3.646
"YMR202W"	0.632	0.617	-0.341	-3.652	-2.101	-2.009	-1.785	-2.236	-2.852	-4.391	-5.431	-1.907	-1.172	-1.63	-1.208	-2.263	-2.876	-2.931	0.098	-0.24	-0.342	-0.052	-0.225	0.102	-1.91	-1.918	-1.988	-2.128	-1.541	0.585	0.26	0.306	0.597	0.576	0.28	-2.391	-1.243	-2.861	-1.657	-1.67	-1.952
"YNL066W"	0.949	0.95	-0.925	-0.787	-1.312	-1.644	-0.911	-4.141	-3.125	-4.175	-5.451	-2.475	-0.699	-2.162	-2.812	-2.02	-3.425	-3.757	-0.19	0.254	0.047	-0.196	-0.165	0.078	-2.399	-1.98	-2.278	-1.987	-3.3795	0.352	-0.045	-0.05	-0.022	0.105	0.465	-3.495	-2.337	-2.934	-1.902	-3.366	-3.148
"YNL096C"	1.017	0.749	-0.56	-4.113	-3.765	-3.642	-3.235	-2.81	-3.616	-4.038	-6.106	-2.761	-2.906	-2.776	-3.041	-3.644	-4.096	-4.68	0.182	-0.04	-0.135	-0.057	-0.806	0.169	-2.046	-1.198	-1.701	-1.39	-2.8625	0.748	0.115	0.04	0.423	0.275	0.386	-0.66	-1.519	-1.923	-2.086	-2.607	-2.629
"YNL119W"	1.189	1.033	-0.907	-6.697	-3.692	-2.694	-2.909	-2.2	-3.337	-5.354	-6.231	-2.99	-1.753	-1.955	-2.206	-2.822	-2.843	-3.318	-0.011	-0.133	-0.221	-0.324	-1.116	0.044	-1.868	-1.26	-2.044	-2.032	-1.92	0.677	0.084	0.018	0.23	0.22	0.321	-2.225	-2.251	-2.147	-1.577	-1.014	-2.961
"YNL178W"	1.181	1.102	-0.982	-4.244	-3.755	-3.785	-3.505	-1.857	-3.159	-4.338	-6.62	-3.272	-2.608	-2.899	-2.981	-2.958	-3.483	-3.871	0.149	-0.118	0.086	0.438	-0.546	0.117	-1.991	-1.931	-1.803	-1.852	-2.479	0.971	0.88	0.949	0.291	-0.008	0.499	-2.731	-3.24	-3.269	-2.92	-2.375	-3.365
"YNL220W"	0.243	0.187	0.553	-1.943	-0.898	-0.633	-1.189	-1.92	-1.445	-3.758	-6.09	-0.66	0.6	-0.618	-1.771	-1.724	-2.555	-3.197	0.081	-0.149	-0.301	0.111	0.264	0.294	-2.383	-2.317	-2.046	-2.162	-1.597	0.451	0.316	0.368	0.475	0.394	0.288	-3.275	-2.762	-3.272	-2.971	-3.633	-1.629
"YOL065C"	0.1	-0.009	0.492	1.434	-0.013	0.68	1.459	0.3645	-0.748	0.743	1.7225	-1.0175	0.804	1.183	1.378	1.11	0.74	0.756	-0.428	-0.201	-0.14	-0.413	-0.037	0.067	0.345	0.011	0.605	0.457	0.456	-0.031	0.092	-0.018	0.252	0.024	0.069	-1.035	0.55	0.595	0.156	-1.007	-0.378
"YOL077C"	1.476	1.273	-1.003	-5.186	-0.2885	-3.087	-2.568	-2.817	-2.79	-3.02	-6.552	-2.917	-2.565	-2.549	-3.046	-3.299	-3.894	-4.326	0.035	0.041	-0.169	-0.102	-1.984	-0.085	-3.287	-2.054	-3.032	-2.96	-2.39	1.012	-0.032	0.152	-0.43	-0.368	0.13	-2.023	-1.895	-3.886	-1.894	-3.121	-2.036
"YOR253W"	0.448	0.445	-0.508	-2.29	-1.568	-1.429	-1.46	-1.575	-1.759	-2.7935	-5.157	-1.538	-1.318	-1.139	-1.299	-1.872	-2.672	-2.633	-0.119	-0.039	0.224	-0.146	-0.378	0.181	-1.289	-1.204	-1.306	-1.493	-0.978	0.558	0.248	0.301	0.135	-0.073	0.145	-1.213	-2.189	-1.977	-2.101	-2.115	-2.063
"YOR270C"	0.386	0.208	0.005	-0.245	-0.205	-0.779	-0.293	-0.549	-0.6225	-1.649	-4.932	-1.5115	-0.361	-0.855	-0.859	-1.912	-2.307	-2.635	0.016	0.137	0.165	-0.217	-0.686	-0.409	-0.317	-0.211	-0.146	0.482	-0.721	0.03	-0.512	-0.298	0.158	-0.005	0.008	-1.423	-1.132	-2.245	-1.466	-3.231	-1.082
"YOR272W"	1.2	1.356	-0.454	-4.8145	-2.3895	-2.6015	-1.5575	-1.682	-1.968	-3.353	-4.712	-1.779	-1.777	-2.312	-2.009	-3.017	-3.307	-4.52	0.006	-0.246	-0.062	0.167	-0.65	-0.615	-1.261	-1.17	-0.585	-1.041	-1.264	0.919	0.396	0.392	-0.781	-0.477	-0.203	-2.079	-1.521	-2.388	-3.137	-3.252	-2.332
"YOR320C"	0.304	0.236	-0.351	-0.611	-0.3265	-0.1235	-0.227	-0.398	-0.089	-1.2535	-3.6785	-1.051	-0.278	-0.682	-0.427	-1.291	-1.454	-1.828	-0.024	0.188	0.079	-0.01	-0.195	0.053	-1.061	-1.165	-0.724	-0.745	-0.201	0.264	0.073	0.178	0.27	0.158	0.051	-1.147	-0.772	-0.938	-1.006	-2.215	-0.672
"YOR361C"	0.4285	0.451	-0.265	-1.94833333333333	-1.73166666666667	-1.46466666666667	-1.54333333333333	-1.84133333333333	-2.513	-2.869	-2.21	-0.941666666666667	-1.763	-2.3155	-1.899	-2.266	-1.977	-2.109	0.103	0.169	-0.347	0.099	-0.306	0.012	-0.9825	-0.9675	-0.4505	-0.2705	-2.009	0.204	0.201	0.06	-0.189	-0.08	-0.228	-2.583	-2.3	-3.5	-3.408	-3.08	-2.631
"YOR369C"	1.029	1.207	-0.795	-3.6225	-4.255	-3.641	-2.7865	-2.805	-3.7395	-3.724	-6.5475	-3.752	-2.456	-2.858	-2.986	-2.456	-2.662	-3.502	0.263	-0.359	-0.018	0.217	-0.648	0.27	-2.104	-1.873	-1.97	-2.181	-2.309	0.861	0.95	0.753	0.295	0.294	0.564	-2.906	-2.94	-2.802	-3.103	-2.046	-2.533
"YPL207W"	0.819	0.586	-0.554	-2.321	1.2095	0.7675	-0.314	-0.138	-0.5055	-1.827	-3.832	-0.913	-0.562	-1.047	-0.784	-2.101	-2.319	-2.628	-0.027	0.046	-0.116	0.091	-0.647	-0.038	-2.017	-1.784	-1.025	-1.192	-0.28	0.036	0.164	0.1	-0.236	-0.189	-0.335	-2.542	-3.055	-2.689	-1.18	-3.0	-2.057
"YPL226W"	0.7565	0.906666666666667	-0.8255	-4.86566666666667	-3.38066666666667	-2.57633333333333	-2.407	-1.80333333333333	-2.21533333333333	-3.95033333333333	-5.67966666666667	-2.786	-2.363	-2.3985	-2.8955	-3.407	-2.9025	-3.983	0.1885	0.593	-0.0935	-0.0735	-0.539	0.0465	-1.907	-1.6065	-1.3845	-1.3565	-1.7375	0.141	-0.148	-0.0335	-0.2915	-0.4025	-0.021	-1.972	-0.9555	-2.674	-2.354	-3.622	-2.153
"YPL273W"	0.8235	0.772	-0.5265	-3.42133333333333	-2.60833333333333	-2.705	-2.59566666666667	-2.792	-2.96466666666667	-3.722	-5.69966666666667	-2.69266666666667	-2.088	-2.4545	-3.2755	-2.794	-3.21	-3.3575	0.302	0.117	0.126	0.0235	-0.8195	0.168	-2.1035	-1.738	-1.784	-1.728	-2.628	0.544	0.446	0.535	0.552	0.323	0.263	-2.811	-2.243	-2.057	-1.919	-2.266	-3.347
"YPR010C"	0.823	0.671666666666667	-1.042	-2.19933333333333	-1.686	-2.02033333333333	-1.675	-1.582	-1.21766666666667	-1.86833333333333	-3.425	-1.50933333333333	-1.6105	-1.8945	-1.5645	-1.852	-2.158	-2.729	-0.175	0.049	-0.1475	-0.0985	-0.3175	-0.2815	-1.1495	-1.4615	-1.103	-1.1515	-0.491	0.026	-0.116	0.083	-0.386	-0.273	0.327	-1.99	-2.454	-2.236	-1.455	-2.396	-1.731
"YPR041W"	0.9545	0.966	-0.2345	-1.871	-1.85166666666667	-1.45933333333333	-1.579	-1.647	-1.48733333333333	-2.36366666666667	-4.07266666666667	-2.41033333333333	-1.315	-1.658	-1.0965	-1.805	-1.8775	-2.441	0.17	NaN	0.066	-0.1465	-0.5485	-0.031	-1.173	-0.8595	-0.997	-1.0265	-1.977	0.3655	-0.039	0.092	-0.0145	0.0655	0.0135	-0.759	-0.7095	-1.901	-1.713	-2.4515	-1.7515
"YPR080W"	0.842	0.8085	-0.679	-2.0535	-1.906	-1.6575	-1.6075	-1.771	-2.584	-2.848	-5.6305	-2.5835	-0.95	-1.197	-1.321	-1.689	-2.389	-3.139	0.099	-0.453	-0.233	-0.11	-0.323	0.408	-1.067	-1.043	-0.995	-0.778	-1.681	0.718	0.583	0.42	0.64	0.264	0.591	-0.823	-1.021	-1.354	-1.922	-1.489	-1.371
"YPR102C"	1.367	1.2	-0.617	-3.521	-3.2315	-3.2945	-3.3515	-2.7315	-2.6455	-4.045	-6.451	-3.673	-2.495	-2.723	-3.232	-3.352	-3.749	-4.692	0.174	-0.042	0.435	0.219	-0.503	0.435	-2.388	-1.826	-2.23	-2.126	-2.384	0.802	0.446	0.519	0.158	0.161	0.364	-2.08	-2.829	-3.252	-2.407	-2.919	-2.66
"YPR118W"	1.07	0.7795	-0.435	-2.848	-3.0	-2.0775	-2.4945	-2.706	-3.095	-3.9965	-5.524	-2.305	-1.488	-2.594	-2.077	-2.882	-3.334	-3.538	0.092	-0.129	-0.05	0.036	-0.784	-0.027	-1.782	-1.233	-1.917	-1.787	-1.794	0.239	0.023	-0.046	0.094	-0.239	-0.539	-1.433	-1.864	-3.694	-1.334	-1.609	-2.679
"YPR132W"	1.079	1.0155	-0.526	-2.849	-3.586	-3.351	-1.806	-2.6445	-2.672	-3.1925	-5.805	-2.967	-1.948	-2.214	-2.292	-1.968	-2.388	-3.151	0.116	-0.03	0.002	0.125	-0.328	0.215	-2.207	-1.919	-2.23	-2.231	-2.217	0.559	0.678	0.452	0.419	0.049	0.529	-1.472	-2.308	-3.922	-1.857	-1.826	-2.438
"YPR163C"	1.032	1.048	-0.88	-3.6815	-2.265	-2.266	-1.717	-1.8375	-0.93	-2.9485	-5.4905	-2.6395	-2.003	-2.05	-2.325	-2.642	-2.895	-2.82	-0.189	0.106	-0.006	-0.06	-0.87	-0.192	-2.045	-1.884	-1.688	-1.806	-2.145	0.369	-0.247	-0.331	-0.048	-0.291	0.147	-1.8	-1.833	-2.167	-1.899	-2.195	-2.771
