	"29.alpha factor release sample016"	"35.alpha factor release sample015"	"37.alpha factor release sample018"	"49.Elutriation2:Sample2:Time0.0hrs"	"52.Elutriation2:Sample2:Time1.5hrs"	"78.cdc 15 010 min"	"497.Heat Shock 000 minutes"	"634.Elutriation2:Sample2:Time6.5hrs"	"650.alpha factor release sample017"	"651.alpha factor release sample019"	"781.Heat Shock 000 minutes (series 2)"	"812.1M sorbitol - 45 min (* centrifugation problem)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1099.alpha factor release sample030"	"1103.alpha factor release sample028"	"2141.Elutriation2:Sample2:Time1.0hrs"	"2142.cdc15 110 min"	"4872.1M sorbitol - 60 min"	"8213.steady state 36 dec C"	"11466.yO1 test hyb"	"12733.Nitrogen Depletion 8 h"	"12734.Nitrogen Depletion 12 h"	"27096.P1Comp 19 hr 6 min Phosphate Batch vs Chemostat Comparison"	"27100.P1Comp 16 hr 55 min Phosphate Batch vs Chemostat Comparison"	"27102.P1Comp 21 hr 5 min Phosphate Batch vs Chemostat Comparison"	"27103.P1Comp 24 hr 5 min Phosphate Batch vs Chemostat Comparison"	"27105.P1Comp 27 hr 15 min Phosphate Batch vs Chemostat Comparison"	"27106.P1Comp 33 hr 5 min Phosphate Batch vs Chemostat Comparison"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"
"YMR262W"	0.03	0.138	-0.587	0.167	0.118	-1.144	-0.919	-0.125	-0.108	-0.467	-1.194	0.029	1.658	1.011	0.705	0.643	0.06	-1.212	1.09	0.842	0.806	0.394	0.478	0.254	0.881	0.279	0.787	1.144	0.376	-0.393	-0.197	0.129	NaN	-0.205	0.245	0.7685	-0.264	0.012	0.418	0.447	0.444	0.287	0.47	0.158	0.914	0.828	0.017	1.445	1.304	0.44	1.219
"YMR308C"	0.153	-0.434	-0.128	-1.163	0.62	0.567	0.453	0.107	-0.078	-0.214	0.666	-0.354	-1.769	-1.565	-1.814	-1.324	-3.091	-4.033	-1.731	-1.443	-0.193	-1.36	-2.386	-1.539	-2.014	-1.774	-2.239	-2.796	-2.451	0.027	0.017	-0.059	0.047	0.006	-0.035	-1.504	-1.745	-2.395	-0.394	-0.241	-0.656	-0.694	-0.565	0.234	-2.434	-1.811	-1.628	-2.061	-1.659	-1.58	-1.477
"YNL162W"	0.113	0.157	-0.235	-0.581	0.51	-0.749	1.123	-0.339	0.393	0.083	1.003	0.006	-3.953	-3.395	-3.14	-2.838	-2.858	-6.425	-2.86	-2.872	-2.421	-2.763	-3.999	-2.089	-2.0	-2.0	-1.742	-2.487	-3.468	-0.06	0.07	0.281	-0.191	-0.03	0.205	-1.852	-2.438	-1.199	-0.32	-0.462	-1.39	-0.732	-1.042	-1.242	-2.704	-2.701	-2.189	-3.916	-3.323	-2.825	-3.105
"YNL175C"	-0.643	-1.343	-0.231	-1.988	0.237	1.113	1.14	-0.206	-0.356	-0.038	1.152	-0.286	-4.877	-2.65	-2.975	-2.4	-2.872	-6.011	-2.575	-2.601	-2.327	-1.735	-4.587	-2.405	-2.804	-2.484	-2.404	-3.809	-2.849	0.035	0.054	-0.216	-1.188	0.344	-0.281	-2.238	-2.73	-1.188	-0.674	-0.41	-0.103	-0.776	-0.44	-0.641	-0.8535	-1.5355	-1.0065	-2.5475	-1.882	-1.502	-1.818
"YOL040C"	0.369	0.198	0.356	-0.485	0.571	-0.338	0.975	0.03	0.299	0.259	1.057	0.056	-0.886	-3.313	-1.742	-1.998	-3.032	-6.413	-3.385	-0.756	-0.614	-2.291	-3.938	-1.874	-2.247	-2.245	-2.028	-2.837	-3.657	-0.03	0.037	0.401	0.689	0.247	0.055	-2.005	-3.04	-2.098	-1.611	-1.863	-1.842	-1.472	-1.531	-1.163	-4.411	-3.555	-2.716	-3.746	-3.451	-2.823	-2.976
"YOL166C"	0.289	-0.022	0.521	0.086	0.04	0.509	0.263	-0.005	-0.205	0.109	-0.188	-0.127	1.053	0.75	0.5125	-0.4055	1.2665	-0.515	-0.091	0.358	1.386	-0.7255	0.424	0.201	0.152	0.068	0.828	0.599	0.771	0.258	0.034	-0.092	-0.451	0.004	-0.1815	0.278	0.124	0.222	-0.258	0.026	-0.433	-0.103	0.18	-0.16	-0.884	-0.1	-0.325	-0.825	-0.494	-0.556	-0.399
"YOR227W"	0.18	0.356	0.404	-0.212	0.185	-0.126	-0.801	0.021	0.276	-0.075	-1.09	0.179	2.054	1.8775	1.975	1.554	0.234	-2.692	0.9795	0.4635	1.4925	0.426	1.068	0.717	1.052	-0.118	0.981	0.457	0.182	0.195	0.019	-0.254	-0.423	-0.046	0.11	1.146	0.234	0.845	0.24	0.545	0.304	0.576	0.13	0.285	0.833	0.407	-0.286	2.016	1.513	1.194	1.394
"YOR276W"	-0.21	-0.43	-0.273	-0.37	0.034	0.597	1.045	-0.018	-0.124	-0.056	0.917	-0.146	-2.1185	-1.5925	-1.4995	-1.3115	-3.943	-4.3595	-1.8885	-1.44	-1.99	-1.6405	-2.37	-1.547	-1.789	-1.815	-1.759	-1.888	-2.356	-0.092	-0.303	0.0	0.112	-0.227	-0.352	-1.657	-0.516	-0.702	-0.48	-0.64	-0.612	-0.617	-0.93	-1.044	-2.444	-1.699	-0.956	-2.349	-1.526	-1.139	-1.571
"YPL090C"	-0.312	-0.5	-0.452	-0.838	0.872	-1.485	0.955	0.133	NaN	-0.097	0.871	-0.55	-3.9615	-3.256	-2.7785	-2.4215	-4.364	-6.197	-3.398	-3.223	-3.3795	-3.2385	-5.307	-2.412	-2.833	-2.954	-3.292	-3.309	-4.719	0.052	0.111	0.175	-0.848	-0.045	-0.0245	-2.061	-3.271	-2.127	-2.13	-1.668	-2.51	-1.859	-1.724	-1.981	-4.244	-3.265	-3.165	-4.101	-3.571	-2.951	-2.658
"YPL183C"	-0.439	-1.071	-0.378	-1.424	0.667	0.896	1.098	-0.568	-0.378	-0.106	0.813	-0.486	-3.014	-2.069	-1.767	-1.5955	-4.1755	-3.957	-2.1075	-1.7485	-1.7965	-2.531	-2.335	-1.757	-1.735	-1.38	-2.512	-2.745	-3.056	-0.274	-0.037	-0.143	-0.7705	-0.103	0.178	-1.146	-2.121	-1.207	-0.382	-0.383	-0.419	-0.658	0.078	-0.011	-2.605	-2.4425	-2.4435	-2.8755	-2.0785	-1.577	-1.825
"YPL220W"	0.316	0.556	0.079	-0.563	0.881	-0.463	1.277	-0.18	0.436	0.344	1.154	0.097	-3.389	-2.4215	-2.18	-2.214	-3.187	-6.1465	-3.0375	-3.442	-3.3935	-2.852	-3.51	-1.794	-2.548	-2.639	-2.247	-2.571	-3.926	0.249	0.031	0.217	0.439	0.081	-0.363	-1.925	-2.891	-2.438	-2.196	-2.112	-2.267	-2.807	-2.536	-1.896	-3.366	-2.375	-1.67	-3.554	-2.774	-2.352	-3.007
"YPL237W"	-0.055	0.079	-0.227	-0.205	0.701	0.195	0.905	-0.268	-0.363	-0.302	0.8365	0.187	-2.6285	-1.9335	-2.0395	-2.3465	-2.875	-5.7585	-1.791	-1.39	-1.8945	-2.2035	-2.288	-1.665	-1.817	-1.927	-2.006	-2.44	-3.024	-0.081	0.24	-0.094	0.113	0.071	-0.4935	-1.537	-0.827	-0.785	-0.241	-0.915	-0.644	-0.696	-0.92	-0.664	-1.885	-1.966	-0.951	-1.535	-1.455	-1.555	-1.695
"YPR048W"	-0.093	-0.292	-0.011	-0.85	0.171	0.721	0.566	-0.336	0.152	0.273	0.6465	-0.176	-2.418	-1.727	-1.4995	-1.435	-2.8705	-3.8405	-1.898	-0.5005	-0.126	-1.136	-1.553	-0.775	-0.663	-0.815	-1.405	-2.428	-1.555	0.038	0.091	-0.06	0.106	-0.091	0.0305	-0.996	-0.3	0.204	-0.776	0.106	-0.655	0.196	-0.242	-0.257	-2.436	-1.723	-1.414	-2.631	-1.888	-1.43	-1.044
"YPR080W"	0.337	0.219	0.56	-0.022	0.64	-0.186	0.842	0.247	0.336	0.319	0.8085	-0.186	-2.0535	-1.906	-1.6575	-1.6075	-2.848	-5.6305	-2.094	-2.144	-2.5835	-2.8585	-2.241	-0.95	-1.197	-1.321	-1.689	-2.389	-3.139	0.108	0.176	0.351	0.275	-0.11	0.0895	-1.681	-1.881	-1.233	-0.173	-0.224	-0.039	-0.052	-0.057	-0.331	-1.584	-1.319	-0.824	-2.31	-1.719	-1.872	-2.163
"YPR102C"	0.255	0.188	0.266	-0.265	0.963	-0.017	1.367	-0.223	0.141	0.105	1.2	0.251	-3.521	-3.2315	-3.2945	-3.3515	-4.045	-6.451	-3.5055	-4.118	-3.673	-3.277	-4.644	-2.495	-2.723	-3.232	-3.352	-3.749	-4.692	0.194	0.279	0.282	0.571	0.219	-0.33	-2.384	-3.121	-2.243	-1.8	-1.969	-1.926	-1.885	-2.079	-1.877	-3.927	-2.614	-2.344	-4.015	-3.517	-2.547	-3.247
"YPR187W"	-0.322	-0.663	-0.303	-0.889	0.094	0.77	1.237	0.182	-0.529	-0.187	1.0935	-0.326	-2.5615	-1.8665	-1.5675	-1.8265	-3.609	-5.408	-2.283	-2.232	-2.16	-1.962	-2.563	-1.827	-1.816	-2.016	-2.28	-2.584	-3.22	-0.096	-0.284	-0.142	0.411	-0.039	-0.3715	-1.604	-0.36	-0.706	-0.931	-0.373	-0.787	-1.043	-0.85	-1.072	-2.584	-2.061	-1.502	-2.896	-2.213	-1.752	-2.009
