	"106.heat shock 05 min"	"107.heat shock 10 min"	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"116.heat shock 40 min"	"407.heat shock 33 to 37, 20 minutes"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"497.Heat Shock 000 minutes"	"680.YP glucose vs reference pool"	"684.YP fructose vs reference pool"	"685.YP sucrose vs reference pool"	"781.Heat Shock 000 minutes (series 2)"	"797.Heat Shock 000 minutes (series 3)"	"800.Heat Shock 015 minutes"	"802.Heat Shock 060 minutes"	"819.DY1457 (wild type) 3 mM vs. 61 nM zinc"	"825.DY (zap1) 3 mM vs. 61 nM zinc"	"830.1.5 mM diamide (10 min)"	"831.1.5 mM diamide (20 min)"	"834.1.5 mM diamide (30 min)"	"836.1.5 mM diamide (40 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"984.MHY1 (crt1) vs. CRY1 (wild type) - log phase"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1139.DY1457 (wild type) 3 mM vs. 76 nM zinc"	"1309.diauxic shift timecourse: 18.5 hr"	"1313.diauxic shift timecourse: 20.5 hr"	"2555.Hypo-osmotic shock -30 minutes"	"2560.29C to 33C - 15 min"	"4048.0.8M NaCl +FK506 - 30 min"	"4785.29C +1M sorbitol to 33C + 1M sorbitol - 15 min"	"4786.29C +1M sorbitol to 33C + 1M sorbitol - 5 min"	"7535.25C -- 15 min"	"7536.25C -- 30 min"	"7537.25C -- 45 min"	"7538.25C -- 60 min"	"7539.25C -- 90 min"	"7759.Na 30min"	"7760.Na 45min"	"7761.Na 60min"	"7763.Na+FK 30min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"8227.dtt 000 min"	"8228.dtt 015 min"	"8234.dtt 240 min"	"11466.yO1 test hyb"	"11826.Pomona College Bio164: WT/dna2-2 mRNA"	"12182.Swarthmore College: sid2 37Cplus wt 37C"	"12744.heat shock 17 to 37, 20 minutes"	"14712.Ca 15min (1)"	"14946.Hydrostatic pressure (C2 vs P2)"	"14947.Hydrostatic pressure (C1 vs P1)"	"15180.Ca 15min (2)"	"17472.Ca+FK 15min (5)"	"17676.Na+FK 45min (4)"	"17677.Na+FK 60min (4)"	"27095.P1Comp 05 hr 5 min Phosphate Batch vs Chemostat Comparison"	"28838.P2Comp 06 hr 15 min Phosphate Batch vs Chemostat Comparison2"	"32251.DBY8778_heat_shock2_5min"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"33259.delKIN82_heat shock _15min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34362.batch 02X25 5"	"34365.batch 02X25 6"	"38154.03II01 batch p10"	"42051.L1CompR 18 hr 10 min Leucine Batch vs Chemostat Comparison"	"42052.L1CompR 21 hr 10 min Leucine Batch vs Chemostat Comparison"	"42053.L1CompR 26 hr 40 min Leucine Batch vs Chemostat Comparison"	"42064.U3Comp 12 hr 10 min Uracil Batch vs Chemostat Comparison"	"42065.U3Comp 13 hr 30 min Uracil Batch vs Chemostat Comparison"	"42200.L2 Comp 24 hr 59 min Leucine Batch vs Chemostat Comparison"	"42226.U2 Comp 10 hr 05 min Uracil Batch vs Chemostat Comparison"	"42231.U2 Comp 31 hr 35 min Uracil Batch vs Chemostat Comparison"	"42372.CC UL 3A Uracil-Leucine Chemostat Comparison"	"42380.CC UL 2A Uracil-Leucine Chemostat Comparison"	"42388.CC UL 1A Uracil-Leucine Chemostat Comparison"
"YDR001C"	2.46	3.246	3.722	3.661	3.273	2.288	1.757	3.0	3.255	3.511	-1.773	-0.848	-0.613	-0.415	-2.248	-1.809	1.006	-0.916	-1.236	-0.068	1.469	1.935	1.985	2.054	3.121	1.716	1.561	1.852	1.814	2.293	1.691	1.699	0.879	1.4	-0.451	1.116	1.298	1.973	1.239	-1.064	2.2	2.256	-0.983	2.363	2.826	1.554	2.513	-0.272	-0.522	-1.265	-0.967	-1.413	1.431	1.674	2.013	1.254	1.607	1.921	-1.0	-0.971	1.078	1.912	-4.891	-0.742	3.574	1.792	-0.144	-0.449	1.597	2.673	3.943	4.175	-0.76	-1.265	2.468	3.999	3.377	3.286	2.067	1.884	2.523	3.563	2.644	1.706	3.315	1.4	1.8	1.165	-1.663	-1.707	-2.243	-1.512	-1.578	-3.255	-1.657	-1.538	-1.198	-0.499	-0.462
"YDR074W"	3.773	3.859	4.362	4.265	4.275	1.842	2.859	3.122	4.182	4.411	-2.887	-1.208	-0.827	-0.788	-2.614	-2.753	1.355	-1.501	0.316	0.958	2.352	3.31	2.635	2.483	4.672	2.46	3.377	3.379	3.102	3.085	2.371	3.417	2.549	2.467	-1.631	2.718	3.01	2.872	3.04	-0.911	2.187	1.594	-1.553	3.959	4.52	2.384	1.867	-0.82	-1.303	-0.888	-1.311	-0.217	4.039	3.683	3.896	3.326	3.378	3.692	-1.343	-0.98	1.377	2.732	2.219	-1.138	3.551	3.652	-0.428	-1.513	3.532	4.238	3.918	3.194	-0.642	-1.814	3.941	3.985	3.424	3.662	2.579	0.782	1.459	4.059	2.028	1.317	2.458	2.694	2.348	3.262	-0.547	-0.224	-0.447	-2.438	-0.596	-0.837	0.05	-0.486	-0.618	-1.93	-0.982
"YDR171W"	6.315	6.617	6.083	5.884	5.56	3.369	3.287	5.126	6.153	6.24	-5.215	-0.989	-1.044	-1.027	-4.977	-4.278	1.91	-2.76	-1.699	-2.286	4.502	4.969	3.606	3.622	5.287	5.106	4.359	4.594	3.949	4.392	2.742	4.634	5.134	4.94	-0.775	2.893	2.504	2.852	3.724	-0.916	3.789	3.677	-0.916	2.854	4.979	3.883	2.434	-1.346	-1.13	-1.319	-1.431	-2.207	4.183	4.385	4.392	4.176	4.034	4.162	-2.487	-1.947	1.778	3.44	0.853	-1.0165	5.398	4.059	-0.898	-2.282	4.1315	4.2405	4.457	3.991	-1.8205	-1.029	5.862	5.035	3.784	4.403	4.747	4.074	4.252	4.639	4.566	3.476	4.385	3.756	3.862	3.845	-2.659	-2.833	-3.733	-2.026	-1.88	-4.63	-0.333	-1.584	-2.486	-2.355	-2.128
"YDR178W"	1.154	2.331	2.489	2.378	2.252	1.033	1.653	1.935	2.655	3.122	-1.101	-2.392	-1.443	-1.074	-0.957	-1.131	1.414	-0.153	-1.25	-1.258	1.487	1.362	1.111	0.959	4.036	4.991	4.84	4.165	3.532	3.684	0.798	2.618	2.667	2.86	-0.561	3.646	3.21	3.039	2.416	-1.38	2.948	3.054	-0.992	0.818	1.686	0.765	0.489	-0.442	-0.418	-0.271	0.035	0.023	1.863	2.168	1.852	1.422	1.564	1.291	-0.533	-0.447	1.95	2.6955	-1.4245	-0.4295	2.656	1.551	0.426	-0.932	1.4415	1.442	1.9795	1.755	-1.388	-1.2175	2.978	2.002	1.619	3.174	4.18	4.862	4.365	3.685	4.946	4.481	3.474	1.884	1.791	2.272	-0.336	-1.161	-2.018	0.199	0.625	-1.076	-0.491	-1.487	-0.725	-0.933	-0.857
"YDR204W"	0.765	2.053	2.454	2.245	2.273	1.378	1.59	1.933	2.734	2.548	-0.935	-0.774	-0.174	-0.545	-0.633	-0.882	1.078	-0.059	-0.771	-0.795	0.953	1.567	1.429	1.158	3.146	2.65	2.557	2.334	1.885	2.438	1.543	1.532	1.659	1.476	-0.767	0.96	-0.099	-0.918	0.805	-0.971	0.907	0.723	-0.693	1.076	1.481	0.905	0.862	-0.743	-0.614	-1.154	-1.565	-1.075	1.384	1.811	2.125	0.871	1.507	1.569	-0.435	-0.524	0.848	1.393	-1.863	-0.3795	2.994	2.228	-0.081	-1.001	1.69	2.3245	1.9725	2.326	4.99999999999987E-4	-0.5875	2.135	2.346	1.888	2.774	2.974	2.529	1.351	2.826	1.883	1.659	1.307	1.891	1.618	1.299	-2.446	-0.891	-1.417	0.807	0.199	-1.816	-1.202	-0.6	-0.753	-1.764	-0.913
"YDR258C"	4.5565	4.441	4.872	-0.357	4.2775	3.405	1.328	3.929	4.8035	5.243	-3.217	-1.1295	-0.5895	-0.8785	-3.481	-4.072	1.7795	-1.7405	-0.706	0.0375	2.005	1.698	1.42	1.3035	3.2635	2.98	3.136	2.991	3.0805	3.8995	1.323	2.7745	2.6905	2.481	-0.675	2.5525	2.6345	2.719	3.0955	0.138	2.5285	2.874	-0.4235	2.8405	2.701	3.4795	2.9765	-3.605	-2.869	-3.4645	-3.9785	-3.857	2.065	1.9925	2.052	2.245	2.175	2.0325	-0.798	-0.8935	0.9625	2.4265	-1.14	-1.4635	5.3975	1.0095	-0.668	-0.199	0.8245	0.876	1.717	1.858	-0.3585	-1.007	5.563	5.397	3.93	3.24	3.298	2.859	3.29	4.282	3.529	2.673	3.635	1.952	1.722	2.315	-1.849	-0.363	-3.219	-1.269	-2.117	-0.387	-1.634	-0.069	-0.563	-0.155	0.22
"YDR358W"	2.055	2.138	2.604	2.781	2.612	0.874	1.186	1.99	2.447	2.394	-1.206	-0.643	-0.621	-0.533	-1.202	-1.361	1.084	-0.96	-0.561	0.449	0.927	1.525	1.148	1.105	4.268	3.057	2.909	3.162	3.18	3.398	2.208	2.838	2.493	2.23	-0.498	1.563	1.366	2.181	1.908	-1.318	1.957	1.086	-1.509	1.178	2.484	1.327	1.3	-1.434	-0.835	-0.742	-0.279	-0.466	2.009	2.686	2.506	1.758	2.545	2.596	-0.931	-0.721	1.034	1.765	-0.68	-1.87	2.402	1.564	-0.225	-1.217	1.416	1.924	1.026	1.04	-0.42	-0.683	1.849	1.748	0.724	1.347	2.662	2.369	1.427	3.478	2.433	2.088	1.87	0.05	1.065	1.638	-1.938	0.09	0.509	-2.107	0.37	0.532	1.208	0.422	0.112	0.118	NaN
"YDR516C"	2.98	3.937	3.855	3.535	3.356	0.944	2.306	2.828	3.245	3.346	-1.621	-1.848	-1.189	-0.621	-1.807	-1.753	1.654	-1.51	-0.4	-1.014	3.095	3.133	2.206	1.431	3.637	2.518	2.501	2.064	1.394	1.161	2.125	3.453	3.26	2.181	-2.54	1.983	1.735	2.172	1.811	-0.117	2.54	1.443	-1.817	2.134	3.165	2.357	1.156	-1.257	-1.487	-1.896	-0.847	-0.732	2.806	3.179	2.703	2.812	3.332	2.937	-1.167	-0.74	1.053	1.153	-2.274	-0.433	2.996	2.428	-1.276	-2.656	2.767	4.232	3.89	4.337	-1.192	-0.216	4.078	3.683	2.817	4.199	3.694	2.42	1.293	4.37	3.235	2.456	3.112	1.447	0.96	1.849	0.062	1.79	-1.784	-0.248	-2.555	2.583	0.68	1.877	-0.086	0.314	-0.679
"YEL011W"	3.051	4.119	5.079	3.833	3.123	1.913	1.284	2.585	3.093	2.441	-1.585	-1.613	-1.565	-1.014	-2.279	-3.165	2.057	-1.596	-0.399	-0.436	2.603	3.695	3.68	3.075	4.662	3.869	4.663	4.646	4.72	4.761	3.366	4.014	2.876	3.74	-1.597	4.997	3.795	3.906	3.266	-1.585	2.87	3.311	-1.321	2.517	3.455	2.63	2.301	-0.655	-0.641	-1.046	-1.543	-0.363	2.28	2.248	1.944	1.646	1.416	1.67	-0.659	-0.16	1.807	2.6905	-1.0485	-1.716	2.474	0.3245	0.004	-0.994	0.224	1.5715	1.7145	2.2205	-0.8155	-1.207	2.287	2.707	1.084	0.997	1.332	1.65	1.956	3.83	2.462	1.915	2.422	1.816	1.963	1.905	-0.783	NaN	-1.562	-2.956	-2.032	-0.81	-2.707	-1.869	-1.218	-1.283	-3.656
"YER053C"	2.427	2.85	2.795	2.643	2.668	0.884	2.428	2.934	2.753	2.329	-1.318	-1.902	-1.087	-1.102	-1.312	-1.135	0.922	-0.768	-0.391	0.182	2.398	2.821	2.282	1.835	5.109	4.471	4.23	3.485	2.531	3.671	2.898	3.54	2.992	2.804	-0.863	5.592	3.349	3.191	3.802	-0.045	2.51	3.065	-1.307	1.882	3.223	1.83	1.504	-1.139	-1.437	-1.54	-1.451	-0.526	2.236	2.883	3.088	1.823	2.537	2.125	-0.869	-0.957	1.588	2.028	-1.613	-0.625	2.348	2.336	-1.201	-2.08	2.689	3.438	3.361	3.057	-1.41	-0.779	2.706	3.042	2.601	3.044	4.334	3.745	3.487	4.803	3.805	3.368	3.532	1.926	2.132	2.375	-3.82	-2.397	-2.835	-0.184	0.826	-2.736	0.294	-0.961	-1.368	-1.904	NaN
"YER067W"	4.327	4.551	5.719	5.663	5.641	2.22	2.816	4.993	5.958	6.295	-3.706	-2.142	-2.301	-1.551	-3.992	-3.52	2.194	-3.363	-0.532	-0.557	3.821	3.726	3.007	2.168	6.406	5.001	5.077	4.451	4.364	3.816	2.109	5.893	5.941	6.056	-0.975	4.292	3.451	3.489	3.258	1.097	3.522	3.049	-1.611	2.728	4.274	3.08	2.35	-2.285	-1.996	-1.971	-1.768	-1.265	3.21	3.607	3.162	3.09	3.762	3.867	-1.129	-0.272	1.064	3.029	-1.63	-1.68	6.706	2.018	-2.678	-3.191	1.861	3.181	4.155	3.351	-0.701	-0.55	4.457	3.976	2.923	2.491	5.257	4.359	3.463	6.041	5.036	4.169	4.367	3.569	3.118	3.955	-0.701	-1.293	-2.833	-1.592	-2.904	-1.66	-1.246	-2.237	-0.462	-0.132	-0.201
"YER079W"	1.902	3.045	2.635	2.953	2.488	1.653	0.855	2.434	2.913	2.437	-1.68	-0.827	-0.682	-0.635	-1.817	-1.387	0.771	-1.208	-1.76	-1.991	1.681	2.015	1.986	2.044	4.036	3.925	3.354	3.195	3.349	2.322	1.519	3.24	3.069	2.862	-0.943	3.75	2.737	2.759	2.969	-1.363	1.939	2.328	-1.105	1.269	3.236	1.299	0.983	-1.122	-1.817	-1.787	-1.256	-1.003	2.807	3.163	2.888	2.669	2.758	2.968	-0.933	-0.569	1.388	0.563	-0.671	-0.988	2.762	-0.589	-0.764	-0.422	0.185	0.711	0.057	0.115	-0.812	0.056	1.874	1.829	1.848	3.57	4.179	4.035	3.482	4.583	3.964	3.215	3.941	1.685	2.573	2.657	-3.046	-1.141	-10.059	-2.515	-1.834	-2.134	-2.272	-0.854	-0.609	-0.176	-1.48
"YER150W"	4.472	2.798	5.585	4.539	4.101	3.259	3.073	4.447	4.749	4.983	-4.322	-1.222	-1.204	-0.98	-4.435	-2.564	1.714	-2.261	-2.123	-0.971	1.806	2.785	3.382	3.467	6.012	5.312	5.241	4.681	5.023	4.88	2.376	4.953	4.743	4.495	-1.392	5.006	4.196	4.129	5.159	-0.711	3.847	3.832	-0.859	3.681	4.737	3.21	3.092	-0.259	-1.127	-1.785	-1.553	-1.993	4.325	4.609	4.764	3.727	4.306	4.749	-1.0	-1.532	1.854	4.503	-1.235	-0.8905	6.349	4.693	-2.364	-2.822	5.0445	5.6945	5.531	4.982	-1.5595	-0.9575	5.723	4.957	3.453	4.31	7.981	7.796	6.325	6.994	6.618	5.594	4.621	5.499	5.656	3.586	-3.205	-4.014	-4.227	-1.415	-1.035	-4.292	-1.129	-3.157	-2.824	-3.359	-2.432
"YFR015C"	3.172	3.415	4.215	3.626	3.32	1.11	1.44	2.259	2.826	2.931	-2.0	-2.0	-1.044	-0.524	-2.992	-1.145	1.305	-1.485	-0.381	-1.819	2.959	3.079	2.234	1.371	3.886	2.992	3.694	2.477	2.182	2.03	2.785	4.087	3.804	2.057	-1.774	1.965	2.498	2.853	1.102	-0.976	3.517	3.261	-1.738	1.701	2.831	2.63	0.929	-1.837	-1.743	-5.883	-1.111	-1.122	2.185	2.024	0.867	2.067	1.997	2.124	-0.794	-1.397	1.229	1.6395	-0.385	-1.186	3.341	0.818	-0.766	-0.152	0.928	1.7085	2.629	0.81	-0.2905	-0.618	4.532	3.272	1.637	2.229	3.685	2.791	2.652	5.6	4.23	3.221	3.465	0.115	0.348	-0.691	0.398	-0.128	-0.711	-4.191	0.097	-0.249	0.006	-0.081	-0.625	-0.917	NaN
"YFR017C"	3.379	3.887	4.105	3.69	3.496	1.402	2.031	2.045	3.969	3.073	-3.048	-3.0	-2.129	-1.71	-2.72	-0.433	1.423	-0.282	-0.489	-2.471	2.316	2.454	0.142	1.895	2.364	2.195	1.7	1.896	1.571	-0.375	0.811	0.492	2.114	1.672	-1.91	2.592	1.441	1.892	2.363	-1.5	1.331	1.98	NaN	-0.238	1.814	2.047	0.491	-1.119	-1.107	-3.155	-0.416	-0.766	2.951	2.87	2.177	1.856	2.472	2.799	-1.184	-1.849	1.414	2.7195	-0.317	-0.9335	3.775	0.571	-0.883	-2.131	0.8705	1.1455	0.2925	2.264	-1.282	-0.596	3.625	2.685	1.53	1.921	4.954	5.204	4.067	5.41	4.925	3.823	4.271	2.09	1.098	2.932	NaN	NaN	-4.414	-3.155	-2.354	-2.363	-2.519	-2.822	-1.748	NaN	-3.984
"YFR053C"	3.777	5.157	5.916	4.752	4.876	2.024	3.941	5.265	6.125	6.12	-3.714	-4.27	-2.64	-0.537	-4.048	-3.646	2.263	-1.96	-0.777	-1.426	3.498	4.383	3.56	2.844	4.333	2.831	3.413	3.138	2.786	3.637	2.569	4.415	3.986	3.847	-1.753	2.982	2.722	2.377	2.439	-0.617	2.606	0.826	-2.029	3.646	2.802	3.087	3.266	0.325	-1.366	-1.427	-2.042	-1.611	1.858	2.367	2.42	1.656	2.43	2.51	-1.336	-1.47	2.058	2.463	-1.437	-1.304	4.784	1.528	-1.387	-2.307	2.312	3.821	3.025	3.455	-1.8655	-2.312	5.614	5.495	4.594	5.315	4.333	2.442	2.077	5.992	4.03	3.313	3.899	1.137	-0.685	2.788	2.022	1.023	-1.43	-0.044	0.479	-1.514	0.249	-2.501	-1.641	-1.499	-2.731
"YGL037C"	3.477	4.841	4.922	5.031	4.738	3.213	3.649	4.635	4.777	4.892	-2.649	-1.342	-0.493	-0.504	-2.889	-2.43	1.69	-1.647	-0.593	-0.721	3.167	3.634	3.327	3.128	4.226	2.658	2.571	2.753	2.835	2.279	2.41	2.521	2.045	1.464	-0.678	2.654	2.747	3.457	3.59	-0.628	2.959	2.256	-2.348	3.456	4.131	2.471	2.686	-1.755	-2.946	-2.79	-2.143	-2.021	3.473	4.034	4.0	3.629	4.14	4.201	-1.569	-1.591	1.444	2.636	-1.517	-1.285	4.782	4.405	-0.963	-1.998	4.55	4.814	4.857	4.762	-2.066	-2.241	5.215	5.736	4.948	4.25	3.734	3.731	3.099	4.634	3.141	3.145	3.313	3.247	3.083	3.872	0.067	-0.423	0.701	1.118	-1.083	0.269	-1.159	0.011	0.334	0.433	-0.213
"YGR008C"	2.061	3.769	3.569	2.784	3.526	2.106	2.289	3.322	3.458	3.861	-2.063	-1.515	-0.823	-0.873	-2.251	-1.107	1.573	-1.212	-1.467	-1.986	2.664	2.674	3.108	2.522	3.053	2.638	2.899	2.712	2.633	2.238	2.608	3.62	3.51	2.45	-0.677	2.838	2.526	2.956	3.458	-1.366	2.943	2.5	-1.828	2.209	2.541	2.149	1.922	-1.975	-1.733	-2.421	-1.025	-1.082	2.15	2.784	2.708	1.767	2.067	2.355	-1.326	-1.738	1.497	1.966	-0.775	-0.451	3.879	2.093	-1.699	-2.37	2.426	3.16	3.715	3.28	-1.624	-1.2175	4.948	3.801	2.668	2.409	5.3	5.554	3.966	5.566	4.887	3.59	2.98	3.795	4.035	3.801	-4.183	-2.647	-2.153	-1.734	0.001	-3.501	-1.084	-1.593	-1.653	-1.75	-2.935
"YGR019W"	0.878	2.0	3.016	2.962	2.8	2.157	2.034	2.58	3.009	2.976	-1.554	0.035	-0.452	-0.602	-1.389	-1.482	0.672	0.518	-1.006	-0.631	1.434	2.254	2.049	2.581	4.045	3.096	3.778	3.356	2.49	2.847	1.999	2.112	2.14	2.056	-0.611	2.332	2.623	2.397	1.838	-1.084	1.48	1.661	-0.913	1.664	2.517	0.799	1.676	-0.874	-1.343	-1.159	-1.244	-0.997	2.2	2.492	2.598	1.822	2.083	2.257	-0.883	-0.955	1.357	2.128	-1.17	-1.056	2.898	2.355	-0.033	-0.985	2.248	2.197	0.527	0.79	-0.8395	-0.816	1.242	1.815	1.689	2.326	2.108	1.173	1.461	3.364	2.372	1.811	1.997	1.729	2.038	1.859	-2.479	-1.419	-1.524	-1.385	-0.539	-2.054	-1.893	-0.436	-0.234	-1.354	NaN
"YGR043C"	1.482	3.734	5.04	4.645	5.049	4.045	3.768	2.61	5.232	4.833	-3.963	-1.778	-1.778	-2.476	-3.697	-2.827	1.146	-0.882	-2.36	-2.658	0.945	2.615	3.773	3.308	5.679	4.9	5.707	5.692	6.003	5.571	2.993	4.673	4.765	4.955	-0.694	5.014	5.207	5.063	5.593	-3.117	3.962	3.122	-1.651	2.373	4.853	2.076	3.143	-1.11	-1.331	-1.512	-2.304	-2.212	4.445	5.025	5.539	3.618	4.531	4.874	-2.494	-3.271	2.619	4.615	-1.239	-1.433	5.961	4.694	-1.311	-1.575	4.705	4.573	3.904	3.572	-0.424	0.189	2.557	4.675	3.421	3.31	5.792	5.627	4.968	6.098	5.083	4.91	5.837	3.37	3.555	3.213	-0.857	-4.393	-0.932	-2.483	-0.568	-0.932	-0.348	-0.284	0.747	-2.708	NaN
"YGR052W"	5.106	3.652	4.091	3.925	2.885	1.485	1.793	2.401	2.785	1.368	-4.912	-0.585	-0.415	-0.97	-3.948	-0.535	-0.33	-2.159	-1.072	-0.487	1.363	2.255	2.104	2.023	4.665	2.352	2.589	2.514	4.334	2.977	1.459	3.012	1.987	1.781	-0.404	3.732	3.544	3.966	5.377	0.002	1.857	1.858	-1.866	1.735	5.176	3.027	1.305	-0.901	-0.511	-1.134	-1.451	-1.282	4.565	4.71	4.525	4.047	4.594	4.921	-1.433	-1.7	1.242	3.136	-1.187	-0.501	4.102	3.521	-1.188	-1.792	3.918	4.837	5.029	4.051	-0.228	0.7035	3.442	2.098	2.14	2.379	3.566	2.384	3.017	4.507	3.246	2.255	3.166	2.125	2.377	0.928	NaN	-2.582	-2.653	-1.214	-0.495	-0.676	-1.526	-1.683	-2.259	-4.539	-3.196
"YGR088W"	4.155	5.667	6.373	2.723	5.936	3.673	3.332	4.829	5.213	6.038	-3.879	-1.71	-1.339	-1.178	-4.479	-3.309	1.857	-2.307	-4.286	-3.658	3.203	4.316	4.414	4.325	6.03	3.589	5.131	5.593	6.165	5.734	3.755	3.901	3.493	3.678	-2.927	4.878	5.242	6.064	6.265	-4.232	3.937	3.389	-2.827	3.471	5.535	3.303	3.541	-2.06	-1.84	-2.047	-1.517	-1.347	4.761	5.015	4.802	4.026	4.788	5.016	-1.728	-2.415	2.235	4.381	-3.226	-2.766	6.94	4.652	-1.682	-3.289	4.689	4.971	4.358	4.853	-1.171	-1.401	3.158	4.824	2.765	2.492	4.087	3.753	4.258	6.174	5.244	3.587	5.949	3.814	3.89	3.092	-5.693	-4.37	-3.649	-2.901	-1.633	-5.39	-1.787	-1.785	-2.698	-5.355	-3.192
"YGR194C"	2.015	2.86	3.229	NaN	2.5445	1.3745	1.043	2.0745	2.773	2.7325	-1.649	-0.959	-0.941	-0.459	-1.777	-1.638	1.691	-0.577	0.171	0.069	1.556	1.892	1.643	1.395	4.003	2.833	2.612	2.036	1.48	1.925	2.469	2.661	2.62	1.158	-0.99	1.244	0.746	1.309	0.904	-0.292	1.722	1.789	-0.184	1.345	1.918	1.647	1.34	-3.675	-1.15	-2.318	-0.662	-0.863	1.529	2.079	1.592	0.924	1.511	2.027	-0.485	-1.074	0.93	1.443	-0.579	0.333	3.219	1.793	-0.33	-0.632	1.848	2.295	1.954	2.186	-1.193	-1.621	3.101	2.234	1.103	2.303	3.239	2.701	1.932	4.12	2.96	2.149	2.21	1.091	1.332	2.131	0.851	-0.283	0.789	0.197	0.098	-0.982	-0.762	-0.303	-1.111	-1.074	-1.566
"YGR243W"	3.2135	3.8465	3.233	3.0145	2.825	0.4795	2.14	2.767	1.0685	2.8095	-2.322	-4.555	-2.222	-2.193	-2.745	-2.44	1.723	-2.601	-1.955	-0.964	1.931	2.514	2.16	1.861	4.614	4.911	5.283	4.612	5.095	5.612	1.109	5.402	3.855	4.495	-1.094	3.651	4.059	3.864	3.442	-1.404	3.605	3.092	-1.575	0.866	4.936	1.416	0.383	0.5	0.114	-0.437	-0.473	0.091	4.944	4.579	4.645	4.334	3.985	4.276	-0.469	-0.234	1.1	4.328	-1.206	-0.802	3.3865	3.505	-0.414	-0.999	3.41	3.252	4.872	2.958	-0.11	0.239	4.699	4.307	2.934	4.566	6.112	6.012	5.015	5.734	6.73	5.893	5.542	3.444	2.05	2.804	0.054	0.394	-1.619	-2.024	-1.963	1.254	-1.896	-1.808	-1.099	-1.526	-1.584
"YGR248W"	4.6225	5.5605	6.0655	6.403	5.962	4.6435	4.041	5.4885	6.052	5.5355	-3.737	-1.536	-1.17	-1.16	-4.693	-2.305	1.448	-1.581	-2.085	-2.638	3.298	4.562	4.584	4.245	5.321	3.744	3.592	4.192	4.402	2.991	3.331	3.979	3.461	3.003	-2.828	4.094	3.926	4.358	4.952	-2.351	4.372	2.897	-2.626	4.744	4.781	3.37	4.106	-1.276	-2.069	-2.077	-1.396	-2.679	3.363	4.308	4.92	3.473	4.322	5.049	-1.259	-1.298	1.281	4.404	-0.478	-1.198	7.005	4.063	-1.376	-2.036	4.364	4.241	3.191	3.907	-1.431	-0.589	5.373	4.665	3.242	3.854	6.168	6.124	5.273	6.811	5.604	4.018	4.819	3.678	3.843	4.161	NaN	NaN	-8.903	-10.13	-2.097	-4.154	-2.654	-1.808	-4.262	NaN	NaN
"YHL021C"	4.2195	5.6195	5.88	5.7395	5.508	2.409	2.7225	4.666	5.5395	5.718	-3.059	-0.515	-0.536	-0.186	-3.339	-3.322	2.162	-1.64	1.067	0.784	3.367	3.993	3.235	2.628	5.13	4.387	4.461	4.022	3.563	3.435	3.387	5.062	4.726	4.548	-1.198	3.904	3.646	3.694	2.488	1.12	3.263	2.987	-1.656	3.709	4.431	3.006	3.252	-1.38	-1.521	-1.5	-1.128	-1.014	3.59	3.443	3.832	2.99	3.239	3.337	-1.959	-1.592	1.811	2.717	-3.624	-1.346	5.9365	4.633	-0.351	-1.311	4.775	4.883	4.794	4.599	-1.362	-1.834	6.378	6.107	5.446	5.07	6.428	4.596	3.722	6.624	4.847	4.725	3.995	3.953	3.438	3.841	-1.125	-0.87	-1.414	-1.012	-0.955	-0.105	-1.474	-0.552	-0.166	0.03	-1.213
