	"104.alpha factor release sample024"	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"497.Heat Shock 000 minutes"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"857.YPD_12_h_30C"	"942.starv_in_H2O_1_h_30C"	"984.MHY1 (crt1) vs. CRY1 (wild type) - log phase"	"1107.alpha factor release sample025"	"1313.diauxic shift timecourse: 20.5 hr"	"4782.DBYtrr1 vs. wild type DBY7286"	"4872.1M sorbitol - 60 min"	"7759.Na 30min"	"7760.Na 45min"	"7761.Na 60min"	"7763.Na+FK 30min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"8284.mcm1-1 + pRS315 vs wild type (strain 8354-8C)+ pRS315"	"8286.mcm1-1 +pRS-MCM7 vs. wild type + pRS-MCM7"	"12744.heat shock 17 to 37, 20 minutes"	"14081.FY2(B) vs. FY2(A) 23.5 hours"	"14763.Ca 60min (1)"	"15182.Ca 60min (2)"	"30773.Pomona/Brown Sir3x red"	"32253.DBY8778_heat_shock2_15min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"42375.CC LS 3B Leucine-Sulfate Chemostat Comparison"	"42377.CC LS 3A Leucine-Sulfate Chemostat Comparison (scanner1)"	"42381.CC LS 2B Leucine-Sulfate Chemostat Comparison"	"42382.CC LS 2A Leucine-Sulfate Chemostat Comparison"	"42395.L2 CompR 07 hr 58 min Leucine Batch vs Chemostat Comparison"	"42396.L2 CompR 08 hr 58 min Leucine Batch vs Chemostat Comparison"
"YEL039C"	-0.083	2.494	2.035	1.728	2.081	2.125	2.503	-1.078	3.165	2.453	1.421	2.164	-0.802	-0.037	1.719	0.73	-0.013	0.692	0.881	0.953	0.853	0.796	0.681	1.297	0.969	2.392	-0.231	0.0345	-0.2235	-0.104	2.357	6.011	3.727	3.688	5.277	3.702	3.707	3.547	-0.296	0.855	-1.134	0.47	-0.285	NaN
"YER067W"	0.047	5.719	5.663	5.641	4.993	5.958	6.295	-3.706	6.406	5.001	4.451	5.941	-0.975	-0.013	3.049	1.94	-0.098	3.21	3.607	3.162	3.09	3.762	3.867	1.722	1.216	6.706	0.478	-0.807	-0.654	-0.051	3.976	5.257	4.359	3.463	6.041	5.036	4.169	4.367	0.243	0.038	-0.202	-0.056	0.671	0.989
"YER102W"	0.436	-1.613	NaN	-2.227	-1.876	-2.922	-3.415	1.351	-3.932	-3.965	-2.924	-3.101	0.673	0.501	0.327	-0.338	0.299	-1.183	-1.83	-1.701	-0.799	-1.931	-1.792	-0.552	-0.426	-2.712	-0.153	0.024	0.537	0.011	-2.448	-3.324	-2.758	-2.202	-2.385	-2.329	-2.436	-2.527	0.621	0.705	0.516	0.246	-0.271	-0.383
"YER103W"	0.003	6.403	1.634	4.997	6.844	7.074	7.18	-5.546	2.096	1.272	1.436	3.196	-0.339	-0.157	0.945	0.199	-0.128	3.348	2.907	3.177	2.83	3.212	3.412	-0.125	0.063	7.359	-0.117	-0.456	0.216	0.123	5.131	3.552	3.884	3.948	4.268	3.738	2.425	3.202	0.186	-0.486	0.3	0.266	0.252	0.115
"YFL054C"	0.1985	3.026	2.671	2.322	1.936	2.514	2.435	-1.807	2.741	1.996	0.652	3.161	-0.585	-0.087	1.681	0.252	0.049	-0.07	0.319	0.396	-0.291	0.391	0.589	0.604	0.01	2.858	-0.2615	-0.3745	-0.2435	-0.08	1.0735	2.003	1.557	0.8505	1.832	1.366	1.085	0.886	0.2115	0.005	-0.1925	0.221	0.3325	0.1745
"YFR017C"	0.08	4.105	3.69	3.496	2.045	3.969	3.073	-3.048	2.364	2.195	1.896	2.114	-1.91	0.134	1.98	0.885	0.398	2.951	2.87	2.177	1.856	2.472	2.799	0.093	0.043	3.775	0.109	-0.2985	-0.1865	-0.108	2.685	4.954	5.204	4.067	5.41	4.925	3.823	4.271	0.361	-0.176	-0.727	0.623	-0.003	NaN
"YFR053C"	0.452	5.916	4.752	4.876	5.265	6.125	6.12	-3.714	4.333	2.831	3.138	3.986	-1.753	0.527	0.826	0.943	-0.115	1.858	2.367	2.42	1.656	2.43	2.51	-0.108	0.137	4.784	0.128	0.411	0.835	0.18	5.495	4.333	2.442	2.077	5.992	4.03	3.313	3.899	-0.038	-0.131	0.802	-0.262	-0.008	0.033
"YGL037C"	0.058	4.922	5.031	4.738	4.635	4.777	4.892	-2.649	4.226	2.658	2.753	2.045	-0.678	-0.044	2.256	0.7	-0.098	3.473	4.034	4.0	3.629	4.14	4.201	0.601	0.889	4.782	0.459	1.738	1.752	0.261	5.736	3.734	3.731	3.099	4.634	3.141	3.145	3.313	0.103	-0.058	-0.286	-0.013	0.454	0.165
"YGL104C"	0.159	2.468	1.887	2.115	1.766	2.107	1.882	-0.974	2.984	2.155	1.626	1.559	-0.277	-0.112	0.611	0.409	0.422	1.606	1.832	1.746	1.432	1.504	1.585	0.177	0.189	2.33	-0.323	0.484	0.339	0.519	1.211	0.548	0.209	-0.11	1.442	0.712	-0.18	0.815	0.166	-0.186	0.071	0.263	0.669	0.31
"YGL135W"	0.294	-1.664	-2.365	-2.285	-2.468	-3.231	-3.984	1.167	-3.221	-2.573	-2.548	-3.217	0.532	0.502	-1.595	-0.201	-0.045	-1.778	-2.546	-2.004	-1.336	-2.237	-2.539	-0.08	0.176	-3.406	-0.213	0.158	0.234	0.149	-2.824	-3.443	-2.903	-2.236	-3.617	-3.009	-1.968	-2.509	0.247	0.258	0.536	-0.333	-0.125	-0.165
