	"840.1.5 mM diamide (60 min)"	"854.YPD_6_h_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1107.alpha factor release sample025"	"8233.dtt 120 min"	"8522.DES459 (mec1-) + 0.02% MMS - 45 min"	"8523.DES459 (mec1-) + 0.02% MMS - 60 min"	"8524.DES459 (mec1-) + 0.02% MMS - 90 min"	"8525.DES459 (mec1-) + 0.02% MMS - 120 min"	"28844.P2Comp 09 hr 36 min Phosphate Batch vs Chemostat Comparison2"	"28845.P2Comp 09 hr 49 min Phosphate Batch vs Chemostat Comparison2"	"28846.P2Comp 10 hr 5 min Phosphate Batch vs Chemostat Comparison2"	"28847.P2Comp 10 hr 20 min Phosphate Batch vs Chemostat Comparison2"	"28848.P2Comp 10 hr 35 min Phosphate Batch vs Chemostat Comparison2"	"38152.03II01 batch p8"	"40951.H2O2_II_49_min"	"40952.H2O2_II_56_min"	"40953.H2O2_II_63_min"	"40954.H2O2_II_70_min"	"40955.H2O2_II_77_min"	"40969.MD_II_56_min"
"YOR243C"	-0.624	-3.8055	-3.3625	-4.3935	-2.588	-3.635	-2.371	-2.179	-2.726	-2.865	-4.484	-3.863	0.092	-0.7165	0.261	0.255	0.121	-0.021	-1.228	-1.238	-1.413	-0.445	-0.349	-1.778	-3.202	-2.909	-2.358	-2.809	-1.977	-3.764
"YOR253W"	0.013	-2.29	-2.7935	-5.157	-1.6705	-1.88	-1.318	-1.139	-1.299	-1.872	-2.672	-2.633	-0.119	0.099	0.147	0.158	-0.002	0.237	-0.591	-0.622	-1.362	-0.503	-0.602	0.089	-2.222	-2.68	-1.707	-2.427	-1.483	-3.36
"YOR260W"	0.018	-2.6835	-2.507	-4.639	-2.1155	-1.898	-1.26	-1.513	-1.624	-2.257	-2.577	-3.081	0.122	-0.222	0.439	0.338	0.452	0.445	-0.187	-0.036	-0.438	0.127	-0.061	-0.319	-1.028	-0.885	-0.952	-0.766	-0.222	-0.83
"YOR272W"	-0.509	-4.8145	-3.353	-4.712	-3.033	-3.311	-1.777	-2.312	-2.009	-3.017	-3.307	-4.52	0.006	-1.299	0.238	0.573	0.421	0.362	-0.577	-1.407	-1.683	-0.609	-0.89	-1.962	-3.546	-2.98	-3.332	-2.014	-1.119	-1.672
"YOR276W"	-0.234	-2.1185	-3.943	-4.3595	-1.8885	-2.37	-1.547	-1.789	-1.815	-1.759	-1.888	-2.356	0.074	-0.029	0.045	0.114	0.146	0.188	-1.524	-1.193	-1.318	-0.8	-0.748	-0.443	-1.849	-1.789	-1.084	-1.552	-1.083	-1.679
"YOR277C"	-0.211	-2.185	-3.25	-4.571	-1.7745	-2.305	-1.656	-1.464	-2.047	-1.978	-2.103	-2.211	-0.045	-0.145	0.056	-0.031	-0.307	-0.167	-1.565	-1.0	-1.633	-1.285	-1.177	-0.522	-1.736	-2.314	-2.336	-1.262	-1.548	-1.621
"YOR361C"	-0.5495	-1.94833333333333	-2.869	-2.21	-1.595	-2.3735	-1.763	-2.3155	-1.899	-2.266	-1.977	-2.109	0.103	-0.539333333333333	0.1295	0.301	-0.1005	0.3085	-0.492	-0.676	-1.069	-1.043	-1.103	-0.887	-1.827	-1.923	-2.699	-1.265	-1.772	-1.744
"YPL081W"	-0.588	-4.5065	-3.4025	-6.801	-2.5355	-4.022	-2.461	-2.849	-2.929	-2.789	-2.909	-3.725	0.068	-0.3725	-0.06	-0.13	-0.146	-0.121	-1.132	-1.991	-1.526	-0.613	-1.803	-1.575	-1.508	-1.652	-2.062	-2.429	-0.791	-1.966
"YPL160W"	-0.633666666666667	-3.26033333333333	-3.08233333333333	-5.284	-2.22666666666667	-4.0365	-1.8835	-2.449	-2.824	-3.1695	-3.499	-2.977	-0.0355	-0.73	0.08	0.0835	-0.133	0.044	-0.857	-0.917	-0.6425	-0.0625	-0.6885	-0.929	-1.0145	-1.866	-1.7795	-2.4765	-0.7415	-1.141
"YPL183C"	-0.831	-3.014	-4.1755	-3.957	-2.1075	-2.335	-1.757	-1.735	-1.38	-2.512	-2.745	-3.056	-0.154	-1.253	-0.371	-0.129	-0.275	-0.404	-0.445	-0.229	-1.099	-0.783	-0.791	-1.5865	-2.552	-1.837	-2.097	-1.344	-1.045	-2.483
"YPL211W"	-0.658	-5.5605	-4.4555	-5.029	-3.216	-4.129	-2.485	-2.918	NaN	-3.267	-2.652	-2.337	0.007	-1.5865	-0.245	-0.073	-0.005	-0.144	-1.946	-1.077	-1.269	-1.645	-1.501	-2.222	-5.176	-4.397	-4.022	-4.322	-2.574	-3.148
"YPL226W"	-0.477666666666667	-4.86566666666667	-3.95033333333333	-5.67966666666667	-3.37333333333333	-4.0095	-2.363	-2.3985	-2.8955	-3.407	-2.9025	-3.983	0.1885	-1.18233333333333	-0.397	-0.0845	-0.2905	-0.2985	-0.5545	-0.594	-0.6575	-0.4995	-0.8375	-1.494	-2.5635	-2.1345	-2.386	-1.6895	-1.548	-2.957
"YPL227C"	-0.742	-2.422	-4.7425	-5.218	-1.9845	-2.537	-1.37	-1.842	-2.429	-2.071	-2.143	-1.501	0.143	-0.191	0.194	0.327	0.05	0.058	-0.812	-0.463	-1.649	0.005	-1.369	-0.391	-1.377	-1.593	-1.484	-0.043	-0.473	-2.494
"YPL239W"	-0.0965	-2.603	-1.915	-3.907	-0.6945	-1.745	-1.041	-0.854	-0.554	-1.503	-2.384	-2.259	-0.036	-0.48	0.635	0.385	0.437	0.343	-0.39	-0.022	-0.52	-0.143	0.119	-1.929	-2.382	-2.315	-1.915	-1.458	-0.495	-3.258
"YPL243W"	-0.339	-1.27	-4.1455	-5.276	-1.0	-1.931	-1.042	-1.377	-1.873	-2.602	-3.541	-3.544	-0.108	0.1125	0.763	0.685	0.446	0.414	-0.088	-0.708	-1.415	-0.411	0.21	-0.556	-1.883	-1.263	-0.56	-1.831	-1.376	-2.718
"YPR033C"	-0.3505	-2.7945	-4.8805	-7.94	-2.32	-2.203	-1.226	-2.096	-2.55	-3.951	-4.382	-4.54	-0.095	0.0185	0.245	0.391	0.132	0.067	-0.798	-0.37	-0.632	-0.525	-0.378	-0.3105	-0.824	-0.381	-0.596	-0.526	0.083	-2.461
"YPR060C"	-0.2555	-3.5465	-2.069	-3.801	-1.7345	-2.71	-2.301	-1.98	-2.627	-2.107	-3.352	-2.894	0.189	-0.1435	0.513	0.205	0.115	0.276	-1.2	0.3	-1.134	-0.232	-1.54	-0.561	-1.538	-1.816	-1.601	-1.275	-1.132	-1.985
"YPR074C"	0.141	-3.2435	-5.337	-5.42	-3.374	-3.649	-1.5	-2.351	-3.162	-3.369	-3.61	-3.663	-0.068	0.071	-0.412	-0.489	-0.36	-0.275	-0.212	-0.271	-0.844	-0.452	-0.928	-1.324	-1.335	-1.57	-1.25	-1.315	-1.322	-1.26
"YPR110C"	-0.3585	-5.7185	-3.662	-6.318	-3.01	-3.88	-2.186	-2.175	-2.703	-2.993	-3.212	-3.358	-0.038	-0.778	0.029	0.041	-0.052	-0.042	-0.968	-0.951	-1.439	-0.984	-0.397	-1.564	-1.995	-2.88	-2.431	-2.452	-1.826	-1.588
"YPR114W"	-0.296	-0.5845	-2.9825	-3.903	-1.418	-0.411	-1.276	-1.338	-1.177	-1.633	-1.738	-2.533	-0.052	0.2315	-0.563	-0.365	-0.411	-0.422	0.58	1.616	-0.591	-0.5	-0.606	0.05	-0.686	-0.85	-1.006	-1.011	-0.514	-1.547
"YPR118W"	0.0235	-2.848	-3.9965	-5.524	-2.525	-1.735	-1.488	-2.594	-2.077	-2.882	-3.334	-3.538	0.092	0.1115	0.403	0.509	0.248	0.335	-0.324	-0.078	-0.84	0.614	-0.183	-0.593	-0.745	-1.39	-0.993	-1.095	-1.424	-2.626
"YPR163C"	-0.6215	-3.6815	-2.9485	-5.4905	-2.5635	-3.136	-2.003	-2.05	-2.325	-2.642	-2.895	-2.82	-0.189	-0.673	0.187	0.436	0.209	0.127	-1.172	-1.413	-1.706	-1.591	-1.242	-1.475	-2.361	-2.021	-1.999	-1.944	-0.942	-1.95
"YPR187W"	-0.4295	-2.5615	-3.609	-5.408	-2.283	-2.563	-1.827	-1.816	-2.016	-2.28	-2.584	-3.22	-0.15	-0.7435	0.037	0.036	0.221	0.012	-1.235	-0.736	-1.095	-1.047	-1.083	-1.152	-1.55	-1.915	-0.871	-3.076	-0.737	-2.704
