	"103.alpha factor release sample026"	"104.alpha factor release sample024"	"497.Heat Shock 000 minutes"	"686.YP ethanol vs reference pool"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1107.alpha factor release sample025"	"4872.1M sorbitol - 60 min"	"8287.mcm1-1 + pRS315 vs. mcm1-1 + pRS-MCM7"	"11466.yO1 test hyb"	"18418.2mM MD 170min"	"18424.2mM MD 055min"	"18428.2mM MD 030min"	"21654..24 mM H2O2- 275 minutes"	"21662..24 mM H2O2- 230 minutes"	"30773.Pomona/Brown Sir3x red"	"33780.delYPL230w_stationary_phase_7hours"
"YHR064C"	0.067	0.198	0.709	-1.126	-1.668	-1.77	-1.712	-3.329	-5.238	-2.559	-0.22	-2.977	-1.449	-1.754	-2.25	-2.957	-3.678	-3.675	-0.017	-0.069	-0.324	-2.056	-0.1995	-1.7225	-0.1175	-0.6	-0.266	0.507	-2.781
"YHR065C"	-0.215	-0.232	0.66	-0.754	-1.573	-1.183	-2.105	-3.857	-4.644	-1.01	1.123	-2.379	-1.197	-1.073	-1.503	-1.762	-2.801	-2.479	-0.114	0.252	-0.007	-0.852	-0.2615	0.3855	0.1045	0.168	-0.058	NaN	-1.607
"YHR068W"	-0.167	-0.12	0.968	-1.125	-2.251	-3.015	-2.166	-4.28	-6.532	-2.526	-1.119	-2.945	-1.652	-1.927	-2.429	-2.724	-3.669	-3.425	0.09	0.241	-0.048	-2.29	-0.461	-0.9425	-0.5135	-0.048	-0.219	0.103	-2.362
"YHR123W"	-0.039	-0.238	0.148	-0.716	-1.05	-1.555	-1.135	-3.763	-4.132	-1.439	-2.046	-2.216	-1.72	-1.965	-2.024	-2.917	-2.775	-2.647	0.152	0.254	-0.118	-1.21	-0.4665	-0.829	-0.9685	-0.423	0.46	0.095	-2.231
"YHR203C"	0.077	-0.013	1.231	-2.628	-2.671	-2.372	-2.895	-3.782	-5.944	-3.412	-3.049	-4.669	-2.276	-2.437	-2.591	-2.575	-3.081	-3.941	0.219	0.264	0.251	-2.302	-1.912	-1.3785	0.11	-0.789	-0.438	0.138	-3.449
"YHR208W"	-0.032	0.147	0.987	-1.326	-1.413	-1.397	-1.898	-3.12	-4.064	-1.934	-1.898	-2.228	-1.185	-1.232	-1.339	-2.263	-2.683	-2.939	0.016	-0.359	-0.266	-1.267	-0.865	-0.1145	0.436	0.041	-0.399	0.189	-3.088
"YIL015W"	0.234	-0.604	0.255	-2.342	-2.151	-2.442	-0.263	-3.634	-4.048	-2.971	-3.632	1.467	-2.395	-1.746	-2.415	-2.74	-2.546	-3.25	-0.98	-0.543	-0.283	-2.054	-0.663	0.038	0.4685	-0.299	0.009	0.055	-1.072
"YIL021W"	-0.241	-0.213	0.817	0.037	-0.313	-0.81	-1.022	-1.965	-3.289	-0.937	-0.841	-0.964	-0.373	-1.198	-1.127	-1.2	-1.693	-1.565	-0.171	0.094	0.246	-1.047	0.6125	-0.081	0.009	0.009	0.054	0.114	-0.389
"YIL039W"	0.034	0.001	0.566	-0.214	-0.673	-1.325	-1.46	-3.668	-4.517	-1.3	-0.337	-0.324	-0.319	-1.043	-1.386	-1.646	-2.122	-1.552	0.113	0.233	0.065	-1.385	-0.5465	-0.65	-0.626	-0.068	-0.552	0.109	-1.176
"YIL045W"	0.02	-0.024	-0.913	1.113	4.285	5.025	4.058	4.605	5.042	2.2	2.313	4.236	3.986	4.311	4.378	4.139	3.804	2.963	-0.099	-0.009	-0.347	2.832	1.097	-0.5565	0.383	0.434	0.405	0.097	2.985
"YIL078W"	0.023	0.025	0.897	-1.288	-2.219	-2.498	-1.911	-5.192	-6.059	-2.5	-2.462	-3.786	-1.821	-2.436	-3.226	-4.41	-4.902	-4.944	-0.017	0.141	0.306	-2.348	-0.5225	0.139	0.611	-0.776	-0.565	0.351	-2.548
"YJL075C"	0.515	0.141	-0.431	-0.309	-1.13	-0.784	-0.834	-2.151	-3.941	-0.957	-1.004	-1.736	-0.961	-0.869	-1.011	-1.434	-1.779	-1.075	-0.269	-0.007	-0.291	0.432	0.044	0.153	0.3835	0.483	-0.309	-0.334	-1.2075
"YJL081C"	0.197	-0.009	0.183	-0.102	-0.784	-0.905	0.098	-1.725	-4.519	-0.553	-0.861	-0.204	-0.38	-0.686	-0.81	-1.259	-1.944	-1.52	-0.056	0.151	0.361	0.43	-0.4665	0.0825	0.012	0.028	-0.278	0.072	-0.4
"YJL097W"	-0.168	-0.097	0.188	0.123	-0.584	-1.604	-2.089	-2.596	-4.683	-0.944	-1.483	0.237	-0.265	-1.025	-1.409	-1.461	-2.558	-2.276	0.488	-0.165	0.333	-1.401	0.892	1.261	-0.804	-0.7	-0.284	-0.627	-0.877
"YJL138C"	0.192	0.135	1.168	-0.635	-1.167	-1.195	-1.358	-3.125	-5.625	-1.674	-1.959	-2.086	-0.932	-1.763	-2.049	-2.542	-2.785	-3.522	0.091	0.058	0.527	-1.828	-0.9745	0.0435	0.309	-1.526	-0.417	0.344	-1.373
"YJL157C"	-0.377	0.079	0.926	-0.778	-1.634	-1.708	-0.962	-3.548	-7.731	-2.54	-2.599	-0.111	-1.274	-1.008	-2.535	-3.198	-3.396	-3.219	-0.456	0.018	0.218	-1.339	-0.9825	-1.551	-0.688	-0.793	-0.396	-0.261	-0.388
"YJL183W"	0.001	-0.357	0.489	-0.746	-2.032	-2.434	-1.944	-2.097	-4.986	-1.21	-1.424	-1.695	-0.997	-1.436	-1.333	-1.66	-2.208	-2.121	-0.094	0.247	0.306	-1.239	-0.856	0.124	0.3635	-0.135	-0.216	-0.071	-1.595
"YJL192C"	-0.058	0.037	0.516	-0.097	-0.943	-1.258	-1.255	-3.649	-4.214	-1.29	-1.458	-1.028	-0.659	-1.289	-0.942	-1.68	-2.446	-1.599	0.093	0.043	0.375	-1.156	0.061	-1.1415	-0.5595	-0.572	-0.237	-0.056	-1.259
"YJL196C"	-0.142	0.144	0.262	-0.859	-0.873	-1.534	-0.896	-3.4	-4.585	-1.932	-1.147	-0.062	-0.18	-0.493	-0.83	-1.269	-1.633	-1.812	0.508	0.123	0.303	-1.467	-0.0355	-0.6205	-0.904	-0.246	0.048	-0.132	-1.099
"YJR006W"	0.011	0.279	0.16	-0.069	0.417	0.433	0.803	-1.626	-3.835	0.113	-0.385	-0.344	-0.122	-0.466	-0.229	-1.436	-1.352	-1.692	0.133	0.321	0.059	-0.086	0.0375	-0.0655	0.421	0.5	0.439	0.034	-0.79
"YJR007W"	0.419	0.056	1.053	-0.919	-2.107	-1.68	-2.662	-3.21	-8.057	-1.824	-1.91	-1.755	-1.571	-1.848	-2.051	-2.909	-3.009	-3.616	0.148	-0.054	0.103	-1.685	-0.994	0.0775	0.1405	-0.012	-0.246	-0.02	-1.44
"YJR016C"	-0.084	-0.025	NaN	-1.386	-1.274	-1.146	-1.028	-2.006	-5.079	-2.16	-1.999	-0.856	-0.305	-0.554	-0.998	-0.939	-1.747	-2.976	-0.198	0.289	-0.675	-1.54	-0.821	-0.1835	-0.1775	0.025	-0.394	0.228	-2.158
"YJR143C"	0.057	-0.032	0.597	-0.945	-1.648	-1.487	-1.713	-4.675	-5.523	-2.573	-3.031	-1.799	-1.08	-1.986	-2.118	-3.335	-3.698	-3.382	0.242	0.239	0.398	-1.896	-0.6485	-0.3015	0.6005	-1.39	-0.779	0.162	-1.52
"YJR145C"	0.263	-0.027	1.17	-1.487	-2.731	-2.328	-2.413	-3.54	-6.528	-3.597	-3.707	-4.857	-1.988	-2.396	-2.336	-2.519	-3.105	-3.178	0.228	0.381	0.237	-2.312	-1.7965	-1.191	-0.024	-1.44	-0.48	0.106	-3.771
"YKL006W"	0.237	-0.004	0.961	-1.288	-2.854	-2.383	-3.16	-2.835	-5.113	-2.997	-2.743	-4.545	-2.315	-2.442	-2.791	-1.939	-2.29	-2.843	0.303	0.2	0.518	-2.458	-1.15	-1.015	0.131	0.16	-0.324	-0.795	-4.221
"YKL026C"	-0.012	-0.046	-1.322	0.848	4.429	4.068	3.618	5.561	6.641	3.305	3.067	3.106	2.687	3.137	3.607	4.354	3.97	3.468	-0.084	0.101	-0.372	1.288	1.715	0.613	1.293	0.86	0.178	-0.287	4.063
"YKL080W"	-0.127	-0.139	0.55	-1.216	-1.941	-1.25	-1.469	-4.229	-5.94	-1.461	-1.699	-0.56	-0.824	-1.299	-1.962	-2.874	-2.944	-2.866	0.135	0.172	0.378	-1.244	-0.301	-1.248	0.775	0.792	-0.178	0.138	-1.391
"YKL212W"	0.013	0.068	0.473	-0.313	-0.845	-1.247	-1.079	-3.014	-4.806	-1.651	-1.64	-1.923	-0.736	-1.656	-1.598	-2.516	-2.929	-3.374	0.042	-0.068	-0.029	-1.089	0.098	-0.27	-0.541	0.152	-0.182	0.215	-1.481
"YKR001C"	0.25	0.07	0.051	-0.156	0.129	-0.259	-0.404	-2.222	-5.109	-0.213	-0.344	-0.618	-0.048	-0.86	-0.751	-2.374	-2.626	-3.069	0.062	0.138	0.008	-1.178	0.426	0.256	-0.337	-0.067	0.423	0.187	-0.618
"YKR059W"	0.381	0.296	1.161	-0.733	-1.181	-1.543	-1.54	-2.817	-4.998	-2.531	-2.238	-2.018	-1.043	-1.844	-2.106	-2.623	-2.96	-3.568	0.175	0.062	0.514	-1.996	0.508	0.315	0.117	-1.311	-0.653	0.219	-1.849
"YKR094C"	-0.121	-0.257	0.976	-1.08	-2.274	-1.978	-2.41	-2.464	-4.383	-1.972	-2.7	-2.785	-1.579	-1.746	-1.839	-1.792	-2.197	-2.387	0.144	0.016	0.253	-2.035	-1.516	-0.893	0.305	-1.174	-0.649	-0.022	-3.422
"YLL011W"	-0.535	-0.296	1.3	-0.759	-2.362	-2.077	-2.646	-1.781	-4.961	-1.708	-1.637	-3.178	-1.717	-1.771	-1.944	-2.156	-2.442	-2.375	-0.079	0.087	0.122	-1.767	-0.859	-0.242	0.463	-0.28	-0.532	0.102	-2.117
"YLL035W"	-0.299	-0.599	0.707	-0.322	-1.497	-1.446	-1.47	-2.821	-3.138	-1.045	-1.184	-2.024	-1.466	-1.355	-1.239	-1.67	-2.017	-1.979	0.129	-0.092	-0.102	-0.872	0.071	-0.575	-0.184	0.175	-0.361	0.366	-1.751
"YLR029C"	0.168	0.159	1.094	-1.619	-2.572	-2.334	-3.108	-3.615	-6.877	-2.78	-2.648	-3.178	-1.893	-2.201	-2.595	-2.242	-2.378	-2.987	0.219	-0.158	0.456	-2.49	0.104	-0.093	-0.847	-0.618	0.294	0.243	-2.766
"YLR060W"	-0.019	0.007	0.836	-1.157	-2.296	-2.499	-2.849	-4.941	-5.967	-2.672	-2.566	-2.773	-1.546	-2.397	-2.667	-3.118	-3.713	-4.371	-0.01	-0.212	0.376	-2.464	-0.432	-2.108	0.03	-0.884	-0.429	0.239	-2.996
"YLR061W"	-0.248	-0.46	1.1	-1.105	-3.603	-2.908	-3.127	-4.939	-6.591	-3.021	-3.058	-4.326	-2.164	-2.433	-2.88	-3.309	-3.833	-3.91	0.01	0.078	0.509	-2.482	-2.123	-0.965	0.174	-0.783	-0.848	0.031	-2.793
"YLR066W"	-0.126	-0.184	0.414	-0.555	-0.609	-0.728	-0.857	-1.805	-4.153	-0.588	-0.522	-0.857	-0.462	-0.663	-0.708	-1.092	-1.743	-2.746	0.156	-0.194	0.039	-0.683	0.354	-0.537	0.003	0.231	-0.014	-0.072	-1.203
"YLR075W"	0.172	0.023	1.136	-0.786	-2.246	-2.047	-2.366	-1.991	-6.109	-2.807	-2.616	-4.079	-1.489	-1.706	-1.888	-1.003	-2.135	-2.586	0.337	0.189	0.443	-2.132	0.949	-0.663	0.049	-0.61	0.102	0.209	-3.6
"YLR076C"	-0.027	0.08	0.754	-0.466	-1.808	-1.463	-1.839	-1.78	-4.142	-2.924	-2.039	-3.015	-1.22	-1.575	-1.453	-1.198	-1.871	-1.996	0.14	-0.03	0.147	-2.021	0.419	-0.111	0.111	-0.597	-0.311	0.219	-3.418
"YLR083C"	-0.275	-0.663	0.768	-0.926	-1.598	-2.021	-2.216	-3.767	-5.137	-0.41	-0.858	-3.208	-1.494	-2.031	-2.545	-2.29	-3.88	-3.36	-0.167	0.145	0.635	-2.297	-1.051	-0.407	-0.123	-0.315	-0.699	0.391	-2.869
"YLR153C"	0.096	0.035	0.374	-0.61	-0.454	-0.867	-1.497	-4.481	-5.598	-0.269	-0.671	-0.79	0.537	-1.29	-2.312	-3.578	-3.672	-3.394	0.096	-0.102	NaN	-0.699	1.831	-1.23	-0.084	0.7	-0.633	0.258	-1.016
"YLR208W"	-0.378	-0.217	0.589	-0.592	-0.814	-1.266	NaN	-1.968	-4.432	-1.568	-2.018	-1.032	-1.003	-1.454	-1.248	-1.898	-2.183	-2.499	-0.254	-0.252	0.076	-1.044	-0.915	-0.429	-0.33	-0.41	-0.568	0.35	-1.02
"YLR226W"	-0.218	-0.215	0.305	0.254	-1.314	1.593	-1.296	-1.197	-2.826	-0.533	0.082	-0.516	-0.848	-0.853	-0.466	-1.153	-1.102	-1.7	-0.247	-0.063	0.076	-0.701	-0.746	-0.428	-0.382	-0.282	-0.521	0.03	-1.163
"YLR276C"	-0.161	-0.182	1.132	-0.734	-1.532	-1.655	-1.858	-3.174	-5.399	-1.65	0.689	-3.49	-1.977	-1.889	-2.427	-1.866	-3.17	-3.081	-0.097	-0.088	0.217	-1.452	-0.186	-1.263	0.789	-0.948	-0.775	-0.237	-1.145
"YLR291C"	-0.132	-0.03	0.708	-0.737	-1.83	-1.482	-1.792	-3.037	-4.762	-1.104	-2.027	-1.003	-1.21	-1.186	-1.283	-1.783	-2.216	-2.363	0.033	-0.181	0.029	-1.532	-0.312	-0.825	0.167	0.747	-0.001	0.157	-1.191
"YLR293C"	0.291	0.175	0.886	-1.282	-2.565	-2.207	-2.675	-3.488	-6.281	-2.233	-2.661	-2.473	-1.576	-1.45	-2.158	-2.379	-3.03	-3.186	0.285	0.078	-0.145	-2.235	0.24	-1.34	0.664	-0.467	-0.028	0.092	-2.422
"YLR339C"	0.583	0.39	0.906	-1.371	-2.664	-3.285	-3.76	-4.988	-6.865	-3.201	-2.938	-3.117	-1.977	-2.647	-2.474	-2.461	-3.161	-3.973	0.472	-0.052	0.06	-2.977	-1.441	-2.195	0.905	-0.229	0.079	0.106	-3.723
"YLR340W"	0.11	-0.041	1.063	-1.031	-1.969	-2.963	-2.876	-4.11	-6.819	-3.015	-2.689	-3.499	-1.834	-2.703	-2.701	-2.702	-3.206	-4.105	0.223	0.285	0.403	-2.949	-0.854	-1.753	-0.561	-0.42	0.317	0.222	-3.289
"YLR363C"	-0.134	-0.125	0.063	-0.21	-0.432	-0.305	-0.444	-1.953	-2.721	0.345	-0.276	-0.342	-0.525	-0.462	-0.341	-0.933	-1.754	-1.515	0.032	-0.067	0.18	-0.705	-0.043	-0.423	0.21	-0.072	0.188	0.06	-0.751
"YLR367W"	0.079	-0.202	0.942	-1.128	-2.91	-2.22	-3.463	-2.78	-6.716	-2.335	-1.174	-3.649	-2.095	-2.591	-2.935	-2.165	-2.476	-3.007	0.2055	0.19	0.744	-1.95	-1.189	-1.301	-0.404	-1.674	-0.778	0.097	-2.183
"YLR409C"	-0.188	-0.016	0.947	-1.644	-1.8	-1.629	-2.222	-3.204	-4.211	-1.928	-2.361	-2.708	-1.92	-2.024	-2.286	-2.713	-3.315	-3.47	0.054	0.013	0.494	-1.502	-1.319	-0.242	-0.13	-0.299	-0.07	0.44	-1.992
"YLR413W"	-0.322	-0.18	1.475	-2.452	-4.832	-4.874	-5.063	-5.414	-5.846	-3.034	-3.629	-4.176	-4.488	-4.358	-4.993	-4.2	-4.656	-4.874	0.041	0.009	0.382	-3.737	-1.181	-1.582	0.056	-0.634	0.106	0.313	-4.04
"YLR441C"	-0.05	-0.099	1.252	-0.77	NaN	-0.19	-1.352	NaN	-12.655	-3.241	-3.024	-5.658	-2.294	-2.747	-3.345	-3.329	-3.986	-4.389	0.23	0.403	0.49	-2.332	-0.684	-0.443	1.044	-0.675	0.058	0.08	-3.819
"YML008C"	-0.06	0.102	0.514	-1.234	-0.545	-0.575	-2.236	-4.23	-4.829	-1.94	-1.09	-3.526	-0.601	-2.014	-3.366	-3.358	-5.162	-3.504	0.143	0.03	-0.051	-1.469	-1.324	0.321	0.396	-0.331	-0.166	-0.055	-2.487
"YML021C"	NaN	NaN	0.306	-0.415	-0.84	-0.993	-0.686	-3.272	-2.945	-0.898	-0.61	-1.521	-1.29	-1.368	-0.906	-1.533	-1.979	-1.697	NaN	0.006	0.075	-0.007	-0.45	-0.368	0.252	-0.332	0.079	0.062	-1.6535
"YML026C"	NaN	NaN	0.441	-0.867	-2.913	-2.934	-3.29	-4.268	-5.271	-3.131	-3.217	-3.572	-2.525	-2.873	-2.821	-2.898	-2.803	-2.821	NaN	-0.067	0.558	-1.928	-1.704	-0.862	0.214	-1.337	0.04	-0.823	-3.765
"YML038C"	-0.049	0.239	0.36	-0.287	-0.937	-0.344	-0.642	-2.091	-2.385	-0.647	-0.712	-0.515	-0.698	-0.403	-0.835	-1.905	-1.837	-2.117	0.303	-0.153	0.268	-0.359	1.13	0.397	-0.361	-0.041	-0.324	-0.055	-1.336
"YML093W"	0.074	-0.125	1.211	-0.188	-1.822	-1.272	-2.007	-2.962	-5.889	-1.818	-1.659	-3.309	-1.656	-1.961	-2.236	-2.547	-2.745	-3.262	-0.227	0.305	0.114	-1.522	-0.489	NaN	-0.821	0.113	0.04	-0.133	-2.489
"YML106W"	-0.032	0.048	0.879	-0.407	-0.774	-0.903	-0.968	-2.297	-3.649	-2.071	-1.349	-1.366	-0.814	-1.501	-1.583	-1.423	-1.467	-1.771	0.064	0.268	0.323	-0.025	-0.757	-0.16	-0.775	0.208	-0.032	0.074	-1.609
"YML124C"	NaN	NaN	0.225	-0.907	-1.32	-2.318	-1.733	-3.412	-4.107	-2.277	-1.951	-0.028	-0.766	-1.625	-0.926	-1.685	-2.001	-2.075	NaN	-0.13	-0.031	-1.572	-0.022	-0.642	0.549	0.205	0.161	0.174	-1.385
"YMR033W"	NaN	NaN	0.485	-0.608	-1.084	-1.434	-1.22	-3.063	-4.454	-1.514	-1.984	-1.647	-1.273	-1.244	-1.469	-1.745	-1.826	-1.988	NaN	-0.266	0.175	-1.013	-0.435	-0.074	-0.562	0.023	-0.098	0.141	-1.453
"YMR114C"	-0.551	-0.417	-0.646	0.604	3.029	2.847	2.327	4.1	4.572	2.58	2.319	1.821	1.024	2.032	2.343	3.614	3.555	3.502	0.0	0.124	-0.084	1.879	-0.355	0.216	-0.785	-0.226	0.55	0.225	2.753
"YMR158W"	-0.255	-0.04	-0.025	-0.75	-1.252	-1.082	-0.852	-0.907	-1.654	-0.217	-0.558	0.273	-0.308	-0.622	-0.881	-0.391	-0.701	-0.773	0.176	0.102	0.027	-0.507	-0.442	0.103	-0.37	-0.533	0.165	0.155	1.023
"YMR202W"	-0.295	-0.175	0.632	-1.995	-1.785	-2.236	-2.852	-4.391	-5.431	-1.907	-1.33	-1.406	-1.172	-1.63	-1.208	-2.263	-2.876	-2.931	0.098	-0.052	0.649	-1.541	-0.532	-0.088	0.78	-0.422	-0.253	0.1875	-2.624
"YMR208W"	-0.317	-0.04	0.15	-0.846	-0.871	-0.82	-1.063	-2.542	-3.618	-0.674	-1.088	-1.048	-0.429	-0.931	-1.136	-1.98	-2.454	-2.354	0.159	-0.022	0.101	-0.6815	-0.393	0.555	0.298	-0.439	-0.126	0.247	-1.026
"YMR212C"	-0.164	0.232	0.309	-1.124	-1.256	-1.579	-0.844	-2.04	-6.75	-0.426	-1.664	-1.181	-1.075	-1.572	-1.78	-2.693	-2.627	-2.761	0.05	-0.088	0.308	-0.9475	NaN	0.282	0.293	0.25	0.457	0.403	-1.085
"YMR229C"	0.114	-0.0395	0.468	-1.0025	-2.743	-2.443	-2.304	-4.4055	-5.288	-2.161	-2.184	-4.826	-2.78	-2.897	-2.0525	-3.7195	-3.685	-3.93	-0.0255	0.0125	-0.0125	-1.93833333333333	0.2635	-0.2755	0.605	-0.391	0.06	0.186666666666667	-2.553
"YMR235C"	-0.182	0.232	0.788	-1.348	-1.493	-1.783	-1.785	-3.534	-5.187	-1.879	-2.052	-1.679	-1.439	-2.046	-2.046	-2.838	-3.21	-3.756	0.037	0.196	0.226	-1.782	0.335	-0.335	-1.361	-0.361	0.114	0.1645	-1.573
"YNL010W"	-0.285	-0.221	1.014	-1.069	-2.229	-1.703	-2.892	-1.296	-4.52	-1.922	-2.057	-1.705	-1.502	-1.834	-1.936	-2.483	-2.738	-3.396	0.035	-0.259	0.218	-1.9585	0.514	-0.357	0.384	-0.994	-0.395	0.1305	-0.83
"YNL026W"	-0.137	-0.197	-0.372	-1.202	-0.935	-0.735	-1.046	-1.792	-4.57	-0.633	-1.031	1.129	-0.24	-0.536	-0.769	-1.742	-1.531	-1.966	0.079	-0.427	0.132	-0.402	-0.115	0.726	0.214	-0.238	-0.161	0.1845	0.182
"YNL084C"	-0.156	0.003	0.234	-0.354	-0.75	-0.498	-1.408	-1.945	-3.396	-0.477	-0.802	-0.368	-0.577	-0.53	-0.673	-1.386	-1.735	-1.919	-0.035	-0.007	0.114	-0.09	0.317	0.614	0.175	-0.058	0.076	0.1785	0.01
"YNL090W"	-0.041	0.008	0.372	-0.339	-1.298	-1.485	-1.166	-2.438	-2.292	-1.032	-1.162	-0.926	-1.181	-1.304	-1.549	-1.844	-1.862	-2.234	0.198	0.056	-0.037	-1.4075	-0.643	-0.219	-0.011	-0.292	0.173	0.0785	-1.747
"YNL118C"	-0.017	-0.164	-0.167	-0.585	-0.881	-0.095	-0.81	-1.807	-5.007	-0.691	-0.373	-0.218	-0.183	0.071	-0.265	-2.012	-2.449	-2.675	-0.118	-0.165	-0.12	-0.181	-1.146	0.758	0.618	-0.084	-0.476	0.0755	0.4
"YNL119W"	-0.173	-0.229	1.189	-0.865	-2.909	-2.2	-3.337	-5.354	-6.231	-2.99	-2.998	-3.55	-1.753	-1.955	-2.206	-2.822	-2.843	-3.318	-0.011	-0.324	0.234	-1.92	-1.307	-0.797	-0.268	0.248	0.19	0.129	-2.748
"YNL154C"	0.36	0.285	0.248	-0.571	-1.147	-1.0	-1.128	-1.871	-3.909	-1.037	-0.547	-2.02	-1.071	-0.946	-1.374	-1.346	-2.5	-2.113	0.06	-0.208	-0.115	-1.3335	-0.109	0.532	0.37	-0.362	-0.299	0.095	-0.623
"YNL178W"	-0.266	-0.163	1.181	-0.979	-3.505	-1.857	-3.159	-4.338	-6.62	-3.272	-3.183	-4.97	-2.608	-2.899	-2.981	-2.958	-3.483	-3.871	0.149	0.438	0.534	-2.479	-1.441	-0.732	-0.767	-0.447	-0.577	0.2625	-2.616
"YNL189W"	0.074	0.185	0.523	-0.751	-0.902	-1.084	-1.349	-2.367	-4.06	-1.183	-1.19	-0.589	-1.0	-1.33	-1.294	-2.058	-2.641	-3.084	-0.042	-0.273	-0.032	-1.6445	-0.292	0.504	0.625	-0.438	-0.703	0.5735	-0.868
"YNL247W"	0.076	0.156	0.772	-0.432	-1.064	-1.822	-1.928	-3.191	-4.64	-2.13	-2.019	-2.936	-1.062	-1.899	-2.277	-2.658	-3.388	-2.515	0.033	-0.061	0.285	-1.655	-0.671	-0.892	-0.017	-0.249	0.194	0.108	-2.147
"YNL287W"	0.113	0.158	0.134	-0.776	-0.849	-0.596	0.067	-2.621	-3.454	-1.098	-1.915	-0.64	-0.796	-0.779	-1.013	-2.186	-2.841	-3.164	-0.016	0.041	0.252	-0.624	0.616	-1.004	0.634	0.514	-0.052	0.394	-1.313
"YNR043W"	-0.017	0.161	0.34	-1.019	-1.574	-1.86	-2.628	-2.934	-5.1565	-1.949	-1.8335	-1.36	-1.59	-2.078	-2.382	-2.655	-3.803	-3.856	0.223	-0.264	0.007	-1.878	0.159	0.807	0.154	-1.147	-0.743	0.113	-1.673
"YOL040C"	-0.01	-0.1	0.975	-1.284	-1.998	-0.3965	-0.1425	-3.032	-6.413	-0.614	-2.291	-3.938	-1.874	-2.247	-2.245	-2.028	-2.837	-3.657	0.249	0.247	0.138	-2.005	-0.572	-0.272	0.434	-0.875	-0.236	0.121	-3.451
"YOL070C"	-0.409	0.479	0.426	-0.211	1.026	0.345	0.653	-1.284	-2.0685	0.4145	1.5155	-0.322	-0.29	-0.733	-0.69	-0.88	-1.326	-1.318	-0.017	0.095	0.134	-0.511	0.073	0.375	-0.234	0.589	0.403	0.165	0.192
"YOR032C"	-2.632	-0.973	-1.206	1.064	2.276	2.372	2.21	3.784	3.271	1.946	2.901	1.009	1.033	2.599	2.772	3.53	4.701	3.536	-0.212	0.234	-0.018	1.863	-0.04	-0.694	0.059	0.249	0.031	0.392	1.236
"YOR168W"	0.15	0.285	0.785	-0.857	-1.3715	-1.261	-1.7945	-1.984	-4.808	-1.8785	-1.355	-2.516	-1.423	-1.54	-1.525	-2.348	-2.353	-2.604	0.056	-0.074	0.22	-1.844	-0.302	-0.072	0.608	0.744	0.04	0.247	-1.265
"YOR198C"	0.029	0.365	0.337	-0.646	-1.3675	-1.6725	-1.933	-4.452	-5.562	-1.262	-0.9675	-2.46	-1.543	-2.3	-2.828	-4.384	-4.657	-4.415	0.067	0.253	-0.099	-2.297	1.203	0.997	1.366	-0.046	0.131	0.23	-1.557
"YOR209C"	0.0	0.09	0.632	-0.652	-1.5995	-1.2605	-1.766	-2.998	-6.004	-1.647	-1.516	-1.744	-0.801	-0.906	-1.227	-1.897	-2.681	-2.954	0.173	-0.05	-0.036	-1.009	0.252	-0.254	-0.068	0.385	-0.04	0.246	-1.928
"YOR239W"	-0.183	-0.378	0.045	-0.538	-1.1765	-1.31	-2.145	-3.232	-5.0985	-1.633	-1.8425	-1.631	-1.273	-2.053	-2.15	-3.149	-3.934	-3.704	-0.155	-0.205	0.313	-1.366	-1.187	0.2605	0.1975	0.5	0.1745	0.155	-0.426
"YOR241W"	-0.233	-0.176	0.3	-0.322	-1.455	-1.287	-1.237	-2.668	-6.523	-1.0865	-1.725	-1.509	-1.108	-1.077	-1.0	-1.779	-2.794	-2.058	-0.07	-0.338	0.145	-0.758	0.391	0.887	0.72	0.846	-0.041	0.213	-1.31
"YOR254C"	-0.357	-0.277	0.5	-1.067	-1.406	-1.671	-1.5485	-2.192	-6.426	-2.018	-1.4845	-2.631	-1.666	-1.904	-1.86	-2.354	-2.689	-2.309	-0.087	0.143	0.179	-1.174	-0.266	-0.55	-0.993	-0.707	-0.491	0.143	-2.212
"YOR305W"	-0.537	-0.68	0.237	0.0	-1.254	-0.8795	-1.4945	-1.6535	-2.672	-1.1315	-0.948	-1.185	-0.732	-0.719	-1.206	-1.227	-1.264	-1.883	-0.211	-0.192	0.091	-0.568	-0.87	-0.196	0.34	-0.845	-0.215	-0.05	-0.927
"YOR323C"	-0.41	-0.258	0.575	-0.775	-1.757	-1.941	-2.0305	-4.2845	-6.434	-2.106	-2.053	-1.211	-0.904	-1.557	-1.382	-2.742	-3.497	-3.428	0.024	0.153	-0.091	-1.603	-0.531	0.117	0.192	-0.593	-0.262	0.15	-1.64
"YOR326W"	0.011	-0.034	0.041	-0.926	-1.475	-1.329	-1.6295	-3.4635	-4.9875	-2.6115	-1.9335	-2.219	-1.343	-1.82	-2.099	-3.585	-3.591	-2.795	0.544	0.117	0.098	-1.467	-0.817	0.184	0.384	-0.771	-0.232	0.263	-1.215
