	"59.alpha factor release sample013"	"120.w303a vs w303a fkh1 fkh2"	"297.Kb vs. Ctrl"	"405.W303a vs GZY45-15c"	"691.DBY7286 + 0.3 mM H2O2 (20 min)"	"812.1M sorbitol - 45 min (* centrifugation problem)"	"830.1.5 mM diamide (10 min)"	"831.1.5 mM diamide (20 min)"	"834.1.5 mM diamide (30 min)"	"836.1.5 mM diamide (40 min)"	"838.1.5 mM diamide (50 min)"	"840.1.5 mM diamide (60 min)"	"864.Amino acid + adenine starvation 4 h"	"962.1 mM Menadione (30 min) redo"	"964.1 mM Menadione (160 min) redo"	"971.1mM Menadione (40 min) redo"	"975.1 mM Menadione (105 min) redo"	"985.constant 0.32 mM H2O2 (20 min) redo"	"986.constant 0.32 mM H2O2 (30 min) redo"	"987.constant 0.32 mM H2O2 (50 min) redo"	"989.constant 0.32 mM H2O2 (10 min) redo"	"990.constant 0.32 mM H2O2 (100 min) redo"	"991.constant 0.32 mM H2O2 (120 min) redo"	"992.constant 0.32 mM H2O2 (160 min) redo"	"993.constant 0.32 mM H2O2 (80 min) redo"	"1009.YPD 2 h (25C)"	"1104.wild type vs. zap1 - 76 nM zinc"	"1108.DY zap1 3 mM vs. 10 uM zinc #2"	"1109.alpha factor release sample014"	"1258.DBYyap1 + 37degree heat (repeat)"	"1661.1 mM Menadione (50 min)redo"	"4872.1M sorbitol - 60 min"	"4874.1M sorbitol - 90 min"	"5357.1.5 mM diamide (5 min)"	"6354.DES460 + 0.2% MMS - 45 min"	"6357.DES460 + 0.02% MMS - 60 min"	"6358.DES460 + 0.02% MMS - 90 min"	"6361.DBYyap1- 37degree heat - 20 min (redo)"	"6668.wt - 0.1 mM H2O2 - 10 min"	"6672.wt - 0.3 mM H2O2 - 10 min"	"7529.DBY msn2msn4 0.32 mM H2O2 - 20 min"	"8520.DES460 + 0.02% MMS - 120 min"	"8521.dun1- + 0.02% MMS - 120 min"	"8526.dun1- + 0.02% MMs - 30 min"	"8528.dun1- + 0.02% MMS - 90 min"	"12801.DBYmsn2msn4 (good strain) + 0.32 mM H2O2"	"15182.Ca 60min (2)"	"18416.2mM MD 120min"	"18418.2mM MD 170min"	"18421.2mM MD 140min"	"18424.2mM MD 055min"	"18429.2mM MD 210min"	"18431.2mM MD 070min"	"18432.2mM MD 077min"	"18433.2mM MD 085min"	"18434.2mM MD 100min"	"21628..24 mM H2O2- 105 minutes"	"21638..24 mM H2O2- 070 minutes"	"21639..24 mM H2O2- 085 minutes"	"21641..24 mM H2O2- 112 minutes"	"21643..24 mM H2O2- 140 minutes"	"21650..24 mM H2O2- 040 minutes"	"21657..24 mM H2O2- 063 minutes"	"21659..24 mM H2O2- 077 minutes"	"21660..24 mM H2O2- 120 minutes"	"21661..24 mM H2O2- 049 minutes/redo"	"21663..24 mM H2O2- 063 minutes/redo"	"21666..24 mM H2O2- 055 minutes"	"28841.P2Comp 08 hr 19 min Phosphate Batch vs Chemostat Comparison2"	"34352.delPPT1_hypo_osmotic_shock_0min"	"34353.delPPT1_hypo_osmotic_shock_7min"	"34365.batch 02X25 6"	"34502.wt_hypo_osmotic_shock_0min_repeat"	"38146.03II01 batch p2"	"38148.03II01 batch p4"	"40949.H2O2_II_35_min"	"40950.H2O2_II_42_min"	"40951.H2O2_II_49_min"	"40952.H2O2_II_56_min"	"40953.H2O2_II_63_min"	"40954.H2O2_II_70_min"	"40955.H2O2_II_77_min"	"40956.H2O2_II_100_min"	"40957.H2O2_II_120_min"	"40958.H2O2_II_140_min"	"40967.MD_II_42_min"	"40968.MD_II_49_min"	"40969.MD_II_56_min"	"40970.MD_II_63_min"	"40971.MD_II_77_min"	"40972.MD_II_85_min"	"40973.MD_II_100_min"	"40974.MD_II_120_min"	"40975.MD_II_130_min"	"40976.MD_II_140_min"
"YKR066C"	-0.097	-0.425	-0.012	-0.055	1.575	0.122	1.347	1.228	1.185	0.628	0.406	-0.052	-0.194	2.037	1.759	2.637	2.106	3.565	3.651	2.424	3.72	2.738	2.803	2.895	2.047	-0.328	-0.507	-0.094	-0.199	1.372	1.627	0.143	0.326	0.698	0.57	0.41	0.145	0.612	3.542	2.475	3.118	0.489	-0.248	-0.427	-0.442	3.169	-0.345	5.165	4.679	5.354	4.801	4.592	3.098	3.59	3.208	2.677	4.205	3.039	3.391	2.916	2.895	2.287	2.059	3.253	4.006	0.427	2.562	4.144	0.533	0.272	-0.064	1.184	0.135	-0.893	-1.488	2.641	2.77	1.914	2.046	1.813	3.18	2.484	2.592	2.881	2.633	2.596	3.71	2.115	2.329	2.026	2.839	2.812	2.436	1.961	1.524
"YKR076W"	0.424	1.37	0.004	1.113	4.664	0.523	2.863	3.695	4.642	4.523	4.493	3.031	1.264	3.84	1.319	5.016	3.716	3.006	3.639	4.656	2.316	2.42	1.963	1.625	2.972	0.162	0.912	1.316	0.665	2.151	4.776	0.449	0.635	1.27	2.247	2.133	2.521	1.483	1.346	0.432	4.459	2.731	1.194	1.055	0.796	5.09	1.496	4.222	4.614	4.681	4.073	3.56	4.819	3.157	4.239	4.513	1.889	3.766	2.594	0.698	0.526	-0.114	2.754	3.435	-0.267	2.759	1.588	4.373	-0.134	1.028	0.997	2.512	1.23	-0.672	-0.878	2.352	4.824	4.691	4.338	3.785	4.65	3.912	1.909	1.328	1.492	0.071	3.411	4.94	4.212	3.421	4.4	3.896	2.212	2.839	2.976
"YML028W"	0.07	0.014	1.129	0.23	1.959	-0.112	1.844	1.997	2.168	2.116	2.147	1.996	0.476	1.166	1.483	1.53	1.084	1.561	2.123	1.75	1.686	1.559	1.999	2.262	2.129	0.442	1.368	0.74	-0.137	0.917	1.437	0.093	-0.215	1.22	0.724	0.923	0.84	1.402	1.727	1.406	2.37	0.984	1.361	0.778	1.478	2.344	0.89	2.409	2.822	0.719	2.178	2.097	2.865	1.04	2.111	2.123	2.448	2.261	2.303	1.965	1.599	1.103	0.718	2.132	1.964	1.184	2.148	2.198	0.227	0.27	0.055	0.242	0.216	0.042	-0.007	1.304	1.972	2.714	2.79	2.556	3.113	3.188	2.157	2.571	2.628	1.398	0.846	2.187	2.724	1.813	2.454	2.081	1.122	0.24	1.998
"YMR027W"	-0.11	0.025	0.184	0.129	0.743	0.251	0.504	0.588	0.499	0.744	0.577	0.457	0.173	0.32	0.238	0.878	0.153	0.274	0.512	0.896	0.028	0.656	-0.073	0.155	0.393	0.397	0.477	0.5	-0.311	0.349	0.43	0.175	0.243	0.238	0.874	0.86	0.757	0.452	-0.079	0.314	0.639	0.954	0.414	0.36	0.577	0.869	0.539	5.515	4.341	4.892	5.509	5.076	5.687	5.086	4.068	4.64	2.663	3.726	2.487	2.148	1.425	2.294	2.647	3.117	2.007	4.584	4.506	5.291	-0.807	-0.039	-0.038	0.88	-0.044	-0.027	-0.548	4.577	5.793	4.633	4.422	3.525	4.42	3.511	3.503	2.351	1.533	3.139	3.911	4.13	3.566	3.77	4.17	4.254	3.475	3.686	4.246
"YMR173W"	0.244	1.0875	1.3375	0.7885	2.983	2.891	2.2355	2.494	2.3415	2.6315	2.431	2.7745	1.8675	3.9245	3.3345	3.8615	3.2415	4.581	4.214	3.492	2.159	2.095	2.2215	2.106	2.474	0.4835	1.607	1.9685	1.3735	2.5685	3.8505	1.975	1.0225	1.102	2.0555	2.055	1.9785	2.8565	2.8245	2.4625	4.359	2.031	1.8125	1.644	1.9305	4.141	2.4605	3.395	3.537	3.0045	2.496	2.513	3.133	4.0395	3.815	3.1265	2.996	2.559	2.655	2.0495	1.0845	2.037	2.3165	3.1005	2.1835	2.9785	1.879	3.713	-0.863	1.56	1.244	2.618	1.716	0.495	0.19	1.508	2.9625	3.046	3.173	3.5555	3.231	3.3725	2.9655	2.124	1.902	2.7465	2.207	2.8135	2.916	2.5445	3.2015	2.0655	2.8355	2.189	2.7605
"YMR315W"	0.989	0.675	1.13	0.72	2.373	1.571	2.864	3.492	3.578	3.702	3.322	3.36	0.73	2.032	2.162	2.278	1.868	4.067	2.879	2.576	2.459	1.181	1.118	1.193	1.638	0.754	0.69	1.239	1.274	1.452	2.238	0.231	-0.172	1.444	0.785	0.902	0.846	1.587	0.294	0.457	2.651	1.036	0.476	0.336	0.46	2.605	0.74	1.773	2.785	2.565	2.149	1.759	2.75	2.366	2.195	2.47	1.819	2.975	2.293	1.273	0.624	1.706	1.707	2.875	1.212	3.061	3.013	4.02	0.61	0.749	0.402	0.012	1.264	-0.215	-0.193	1.71	2.548	3.406	2.24	2.581	3.039	2.425	2.484	1.336	1.819	1.277	1.797	2.72	3.187	3.72	4.183	2.827	3.04	2.043	3.202
"YNL134C"	0.126	1.032	0.674	1.028	4.104	0.545	4.226	4.61	4.382	4.557	4.138	4.44	0.74	3.45	2.793	3.454	2.785	3.653	3.207	2.725	3.505	2.034	1.701	2.289	1.65	0.723	1.603	1.24	0.912	2.264	3.44	-0.225	0.165	3.561	1.956	2.274	2.324	2.231	3.7	2.625	4.146	2.911	3.442	1.783	3.452	2.799	0.13	5.945	3.24	5.216	4.327	4.351	3.633	4.008	3.901	4.927	3.359	4.659	4.056	2.452	2.067	3.537	3.635	4.516	2.377	4.18	4.881	4.471	-0.157	1.11	0.791	1.538	1.483	-0.166	-0.048	3.042	4.482	5.025	4.72	4.631	4.966	4.919	2.982	2.758	3.255	3.497	3.741	5.408	4.053	3.662	4.249	3.125	4.103	4.39	3.36
"YNL241C"	0.501	-0.678	0.344	-0.255	1.119	0.315	1.956	2.279	2.369	2.174	1.765	1.271	0.556	0.464	0.0	0.285	0.278	2.547	2.685	0.751	2.642	0.974	0.49	0.676	0.556	-0.189	0.053	0.918	0.642	1.051	0.461	0.146	0.418	1.704	1.118	0.975	0.803	0.842	1.702	1.162	1.544	1.155	0.403	0.709	0.093	2.313	-0.31	3.915	3.287	3.477	3.686	1.86	3.954	2.153	3.619	2.986	1.805	2.165	1.826	0.9	-0.088	1.266	1.116	2.489	1.137	1.764	2.428	3.413	0.233	0.384	0.143	0.172	1.221	-0.879	-1.259	2.304	3.22	3.304	3.42	2.978	3.271	3.017	1.39	1.274	1.715	2.512	2.16	2.988	3.66	2.618	2.277	2.04	2.625	1.85	2.581
"YNL331C"	0.106	0.098	-0.056	0.395	2.95	0.027	1.85	2.246	2.407	2.447	2.56	2.197	0.562	0.817	0.575	1.253	0.305	1.927	2.69	1.592	2.118	1.301	1.137	1.287	1.492	0.279	-0.167	0.614	0.368	0.503	0.969	0.174	0.357	0.884	0.975	1.042	1.212	0.086	1.154	0.383	2.183	1.617	0.793	0.531	0.684	3.543	-0.057	4.724	4.363	0.162	2.638	4.078	3.194	2.87	4.816	3.744	1.13	1.879	2.065	0.992	0.504	0.499	1.667	2.401	0.107	3.242	2.479	4.348	-0.734	-0.27	-0.176	1.82	0.178	-1.033	-0.772	3.092	4.678	4.566	4.977	4.253	4.539	4.312	3.445	2.36	1.957	2.071	2.518	3.12	2.028	3.362	4.159	2.352	2.649	2.155	2.775
"YNR074C"	-0.357	-1.415	-0.764	-2.064	2.771	-0.322	0.942	0.949	1.006	1.049	0.913	0.56	-0.146	1.849	0.715	2.079	0.97	2.498	1.947	1.275	2.089	1.049	0.663	0.434	0.574	0.047	-1.761	-0.777	0.053	0.013	1.291	0.287	0.164	0.557	-0.092	0.0	-0.21	-0.397	1.971	0.621	3.898	-0.511	-1.459	-0.363	-0.678	3.925	-0.215	1.99	1.715	2.548	1.302	1.721	2.608	2.322	2.795	2.44	0.904	1.929	1.514	0.74	0.277	1.405	1.412	1.73	0.617	2.942	1.556	3.28	-0.314	-0.3	-0.141	-0.075	-0.157	-0.725	-1.286	1.61	3.669	3.001	3.563	3.342	2.824	1.893	0.898	0.058	0.287	0.236	0.511	2.917	1.753	1.325	1.122	0.571	1.121	0.579	1.361
"YOL119C"	0.084	-0.548	-0.546	-0.486	1.604	0.7	1.496	1.616	1.88	2.365	2.044	1.435	-0.1395	1.98	1.03	2.191	1.341	1.762	2.572	1.664	2.832	1.222	0.576	0.427	0.671	-0.09	0.33	0.357	0.139	1.212	1.751	0.367	0.56	1.085	1.189	1.148	0.696	0.745	1.304	0.103	1.092	0.573	0.683	1.069	0.892	2.38	-0.313	1.77	0.817	1.747	1.512	1.543	2.076	1.911	1.046	1.863	1.311	1.534	1.291	0.765	0.549	1.256	0.915	1.741	0.554	2.234	0.038	2.296	-0.435	-0.102	-0.294	1.226	0.249	-0.931	-1.329	1.364	1.767	1.818	2.563	2.441	1.554	2.284	2.033	0.683	1.39	1.423	1.827	0.67	1.226	1.322	1.402	1.692	1.243	0.93	0.833
"YOL150C"	-0.834	0.143	0.95	0.193	3.612	1.268	4.209	3.71	2.945	2.639	2.954	2.785	0.737	4.264	3.013	3.909	3.493	3.972	3.545	2.581	3.951	2.054	2.54	2.829	2.098	-0.417	1.034	0.21	0.44	2.628	4.092	0.763	1.005	3.362	1.264	1.453	1.442	2.329	4.048	1.575	4.802	1.417	1.617	1.196	1.431	4.51	0.456	1.821	3.631	4.017	2.16	3.859	3.294	2.491	3.798	2.364	1.667	2.98	2.193	1.502	0.902	4.057	1.976	2.962	1.023	3.581	2.278	4.646	0.055	1.237	0.818	2.064	1.574	0.181	0.932	4.494	4.593	5.121	3.996	3.675	3.911	3.217	2.17	1.972	1.168	3.428	3.574	4.319	3.383	3.369	3.809	2.825	3.795	2.922	3.17
"YOL151W"	-0.673	0.254	1.141	0.834	4.064	1.804	4.123	3.8	3.096	3.357	3.008	2.954	0.293	5.186	3.564	4.995	4.338	3.939	3.599	2.672	4.288	2.464	2.311	2.996	2.132	0.067	1.318	0.209	0.207	2.569	4.721	1.106	1.395	3.418	1.469	1.583	1.433	2.328	4.335	1.758	4.733	1.664	1.821	1.424	1.825	4.864	0.73	4.83	4.126	2.773	4.435	3.787	3.964	3.231	3.75	3.928	2.025	3.73	2.599	1.306	1.022	2.75	2.437	3.245	1.019	3.82	4.395	4.664	2.047	1.658	0.914	2.527	1.826	0.455	0.632	3.367	4.833	3.767	3.701	3.079	3.652	2.662	1.812	1.51	1.093	3.187	3.446	3.889	4.049	2.39	2.36	2.661	4.198	3.857	3.277
"YOL165C"	0.292	0.01	-0.244	0.078	2.751	-0.039	1.838	1.91	2.504	3.037	3.107	2.929	0.096	0.739	0.163	1.031	0.503	1.224	2.553	1.423	2.169	1.613	1.167	1.286	1.464	0.141	-0.346	0.282	0.721	0.228	0.704	-0.106	0.007	0.841	0.921	0.977	1.049	-0.044	1.553	0.045	2.293	1.113	0.572	0.418	0.689	3.389	-0.084	3.574	3.893	2.426	4.046	4.518	4.11	2.725	2.898	2.591	3.136	2.448	2.385	2.317	0.867	2.161	2.53	3.076	1.479	1.846	1.186	4.229	-0.04	-0.052	0.011	1.301	-0.307	-0.35	-0.171	2.816	3.599	3.525	2.705	3.76	3.877	3.937	3.396	2.137	1.102	2.011	3.385	3.43	2.217	2.299	2.9	2.828	2.417	3.364	2.6
"YOR226C"	0.021	0.044	-0.449	-0.344	1.475	-0.034	1.977	1.419	0.949	1.179	1.114	0.475	1.4815	1.14	1.6	1.199	1.041	2.411	2.797	1.042	2.458	2.323	1.839	2.346	1.926	0.177	-0.659	0.471	-0.19	0.291	0.439	0.387	0.13	2.122	1.47	1.245	1.352	0.062	2.615	0.137	2.356	1.344	1.282	1.464	1.153	3.09	-0.426	3.797	3.17	2.912	3.253	2.62	3.199	1.558	1.838	1.596	1.917	2.398	2.203	2.157	1.066	2.445	2.01	2.84	1.756	2.366	2.981	3.816	-0.392	-0.405	-0.107	-0.366	-0.914	0.191	0.094	3.02	3.344	3.165	3.322	2.005	2.764	2.716	1.467	2.503	1.337	2.672	1.37	2.955	1.491	1.857	1.825	1.159	1.687	3.17	2.335
"YPL171C"	-0.363	-0.1005	-0.575	-0.677	-1.1275	-0.0035	1.61366666666667	1.67766666666667	1.55966666666667	1.504	1.262	1.13033333333333	-0.123666666666667	0.284	0.4205	0.808	0.283	1.1185	1.1885	0.0205	0.863	0.542	0.1905	0.0395	0.543	-0.14	-0.4365	0.3465	-0.216	-0.291	0.5525	-9.99999999999997E-4	-0.1155	0.321	0.1235	0.0365	0.5315	0.109	0.9185	0.538	0.97	0.384	-0.1065	0.064	-0.1255	1.861	0.228	5.269	4.988	NaN	4.377	3.99	4.459	2.079	3.216	3.288	1.125	2.891	2.288	0.832	0.263	2.007	1.109	2.543	0.427	3.198	1.73	4.358	-0.912	-0.019	-0.67	0.313	0.016	-1.659	-2.723	2.544	2.495	5.105	3.711	2.851	2.922	2.43	1.656	1.659	1.541	1.873	1.925	0.986	1.054	1.783	2.644	0.977	2.18	0.834	1.774
