	"106.heat shock 05 min"	"107.heat shock 10 min"	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"116.heat shock 40 min"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"497.Heat Shock 000 minutes"	"781.Heat Shock 000 minutes (series 2)"	"797.Heat Shock 000 minutes (series 3)"	"800.Heat Shock 015 minutes"	"812.1M sorbitol - 45 min (* centrifugation problem)"	"817.1M sorbitol - 30 min"	"853.YPD_4_h_30C"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"984.MHY1 (crt1) vs. CRY1 (wild type) - log phase"	"1010.YPD 4 h (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1107.alpha factor release sample025"	"1302.diauxic shift timecourse: 15.5 hr"	"1311.diauxic shift timecourse: 11.5 hr"	"1312.diauxic shift timecourse: 13.5 hr"	"1673.alpha factor release sample021"	"2144.heat shock 37 to 37, 30 minutes"	"4048.0.8M NaCl +FK506 - 30 min"	"4872.1M sorbitol - 60 min"	"5357.1.5 mM diamide (5 min)"	"5358.1M sorbitol - 5 min"	"6668.wt - 0.1 mM H2O2 - 10 min"	"6824.Sporulation t0"	"7758.Na 15min"	"7761.Na 60min"	"7762.Na+FK 15min"	"8235.dtt 480 min"	"12744.heat shock 17 to 37, 20 minutes"	"13064.wt/crz1 Ca 30min (2)"	"15184.Ca+FK 5min (2)"	"16514.DES genomic DNA vs. MHY26 (dun1) genomic DNA (correct version)"	"30773.Pomona/Brown Sir3x red"	"32253.DBY8778_heat_shock2_15min"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"
"YNL194C"	3.447	5.095	5.751	5.035	4.078	1.803	3.57	4.628	4.437	-4.215	-4.632	-2.493	1.406	0.064	0.019	-0.018	5.233	3.747	3.657	4.22	4.536	1.713	4.334	3.832	4.294	4.149	-1.334	-0.711	3.047	2.686	0.027	0.819	0.126	-0.105	-0.26	0.102	4.434	0.057	-0.242	0.101	0.365	-0.522	0.133	2.673	-0.449	-0.274	5.952	0.172	0.963	0.331	-0.0355	3.456	4.692	4.34
"YNL200C"	1.996	3.958	4.143	4.374	3.376	3.204	3.17	3.269	3.585	-1.755	-2.308	-1.611	0.997	0.464	0.34	1.181	4.582	3.797	3.537	4.197	4.951	2.818	2.013	2.15	2.624	2.356	-1.251	0.208	3.51	2.912	-0.028	1.855	0.362	1.533	-0.266	0.005	1.313	0.018	0.769	-0.022	-0.136	0.014	-0.326	2.171	-0.472	-0.104	4.124	0.23	1.387	-0.334	0.158	1.738	4.527	4.165
"YNL313C"	-1.588	-3.06	-3.472	-3.287	-3.026	-1.419	-2.399	-2.935	-3.02	0.923	0.673	0.694	-1.887	-0.532	-0.79	-0.953	-4.999	-2.695	-2.073	-2.007	-1.538	-2.126	-2.432	-3.129	-2.948	-1.668	0.193	0.004	-1.333	-1.551	0.191	-0.992	-0.662	-0.757	-0.329	-0.028	-1.862	0.106	-0.694	-0.24	-0.207	0.138	-0.272	-1.572	-0.36	0.458	-3.009	-0.436	-1.479	0.304	-0.095	-2.824	-3.85	-2.129
"YOL032W"	2.943	3.213	2.547	2.431	2.574	1.217	2.179	2.821	2.921	-2.06	-2.079	-0.9835	1.0515	0.196	0.272	-0.261	1.9835	2.473	0.452	0.2715	0.3425	-0.8395	0.5415	0.8625	1.036	-0.218	-0.377	0.202	1.359	2.101	-0.264	0.552	0.138	0.452	0.056	0.301	2.577	-0.258	0.61	0.672	-0.359	-0.201	0.923	2.438	0.893	-0.102	2.991	0.514	0.75	-0.376	-0.015	3.036	3.827	3.096
"YOL153C"	2.1	3.373	4.145	3.528	2.818	2.391	2.288	3.029	2.7	-1.693	-1.941	-0.202	0.4655	0.547	0.744	0.7595	4.526	2.925	3.051	0.9395	2.985	0.107	2.392	2.381	1.6665	2.217	-0.644	-0.052	2.523	2.833	0.033	0.875	0.401	0.288	-0.187	-0.131	1.131	0.398	0.436	0.088	-0.265	-0.269	-0.262	0.998	-0.993	-0.036	3.71	0.078	0.799	0.09	0.231	1.906	2.68	2.205
"YOR267C"	2.246	2.114	2.286	1.889	1.721	0.791	1.585	2.058	1.9	-0.941	-1.121	-0.827	0.954	0.886	0.674	0.104	1.909	0.978	0.772	0.2195	0.6015	0.504	1.7135	0.664	0.6915	0.522	-0.056	0.324	1.043	1.799	-0.142	0.279	0.799	0.405	0.089	-0.026	1.734	-0.123	0.121	0.372	0.323	-0.181	0.584	1.4	0.192	-0.251	1.43	-0.208	-0.119	0.065	0.201	2.049	1.897	0.896
"YPL166W"	1.788	1.993	2.713	2.094	2.277	1.107	2.083	2.873	NaN	-1.752	-1.4165	-1.471	1.356	0.147	0.647	0.5075	3.066	2.3015	2.342	2.334	2.9335	2.081	2.361	2.162	1.725	1.773	-0.346	0.529	2.126	2.398	-0.314	0.416	0.107	0.771	-0.228	-0.0925	1.419	-0.16	0.481	0.196	0.022	0.124	-0.186	0.526	0.205	-0.0055	2.555	-0.103	0.329	-0.291	0.101	1.537	1.982	1.792
"YPL186C"	2.382	3.577	3.741	3.288	3.149	2.144	2.445	2.982	2.824	-2.379	-2.2015	-2.18	1.663	0.053	0.342	0.547	4.53	4.047	3.681	4.3765	4.288	4.8665	3.224	3.634	2.8435	3.066	-0.792	-0.057	2.76	2.023	-0.387	0.497	0.267	0.295	-0.153	-0.4515	1.779	0.206	0.4245	0.112	0.588	0.06	-0.004	1.83	0.248	0.125	3.423	0.512	1.738	-0.334	0.07	3.248	3.997	3.587
"YPL230W"	2.994	3.82	4.974	4.291	4.618	2.145	3.373	4.328	4.009	-2.977	-2.9475	-2.8995	1.771	1.668	0.921	0.1435	5.7835	4.1855	4.254	4.299	4.5545	5.401	3.777	4.669	3.9765	3.797	-1.239	0.169	4.16	3.897	0.091	0.448	-0.411	0.625	-0.095	0.2955	4.236	-0.203	0.6005	0.795	0.031	0.172	0.827	3.445	0.643	0.131	4.608	-0.123	2.471	0.1	0.099	2.809	-1.432	1.055
"YPR026W"	1.843	3.07	3.227	2.669	2.768	2.131	2.524	2.731	3.044	-2.755	-3.7	-2.164	1.1225	0.287	0.641	0.3205	3.8095	3.0925	3.4835	3.5355	3.8265	3.212	2.0895	1.8575	1.9465	1.637	-0.67	-0.285	3.589	3.048	-0.304	0.537	0.029	0.404	-0.202	-1.763	1.62	-0.175	0.267	0.015	0.178	0.158	0.016	0.432	0.117	-0.2155	3.704	-0.023	0.832	-0.039	0.018	1.5115	1.9425	1.644
"YPR154W"	2.661	3.882	3.006	1.977	1.416	1.115	1.899	2.426	2.827	-1.898	-2.047	-1.4985	1.13	0.051	0.062	0.333	1.89	1.508	1.4155	1.46	1.585	1.2945	2.5355	3.1905	2.744	2.674	-0.318	0.213	1.652	1.117	-0.211	-0.16	-0.503	-0.42	0.122	0.2535	1.197	0.017	0.353	0.02	0.455	0.011	0.578	1.318	-0.361	-0.04	2.586	-0.225	0.022	0.208	0.191	0.846	0.656	0.733
