	"108.heat shock 15 min"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"686.YP ethanol vs reference pool"	"814.DBYmsn2-4- 37degree heat - 20 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"863.Amino acid + adenine starvation 1 h"	"896.Amino acid + adenine starvation 2 h"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"2064.Hypo-osmotic shock - 5 min"	"4789.33C + 1M sorbitol vs. 29C - adapted"	"6361.DBYyap1- 37degree heat - 20 min (redo)"	"11466.yO1 test hyb"	"12732.Nitrogen Depletion 4 h"	"12739.Nitrogen Depletion 30 min."	"12741.Nitrogen Depletion 1 h"	"12742.Nitrogen Depletion 2 h"	"12744.heat shock 17 to 37, 20 minutes"	"30464.Rich vs. Minimal II"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"
"YOR078W"	-2.451	-1.619	-2.067	-1.907	0.031	-0.546	-1.1635	-0.1145	0.356	-0.639	-0.813	0.4225	-0.7495	-3.414	-0.561	0.127	0.611	-2.266	-1.677	0.484	-1.318	-1.218	-1.136	-1.462	-1.728	-2.1	0.072	0.767	-0.712	-0.864	0.554	-0.278	-0.327	0.603	-2.101	0.329	-2.659	-2.765	-3.288	-2.44	-1.915
"YOR205C"	-0.754	0.032	-0.936	-1.0	-0.355	-0.064	-0.4515	0.285	-0.179	-0.4495	-0.4335	-0.8775	-1.8905	-3.583	-0.35	-0.7215	0.3395	-1.1525	-0.766	-0.185	-0.458	-0.188	-0.068	-0.923	-1.228	-1.303	-0.123	0.259	-0.029	-0.376	0.48	-0.025	0.043	0.299	-0.735	-0.209	-0.776	-0.768	-0.736	-0.679	-0.891
"YOR309C"	-4.991	-3.697	-5.523	-5.514	-1.663	-1.687	-6.798	-4.4185	-4.0545	-4.227	-3.75	-3.942	-4.234	-6.859	-3.07	-0.975	-0.2935	-3.709	-3.9105	-5.839	-3.084	-3.704	-4.353	-4.746	-5.449	-5.009	0.15	-0.411	-1.4	-3.451	0.363	-2.838	-2.504	-0.735	-4.939	-1.991	-2.543	-3.28	-4.097	-3.518	-2.477
"YOR310C"	-5.053	-3.309	-4.639	-3.004	-1.081	-1.494	-6.006	-3.92	-3.4655	-3.0705	-3.303	-3.319	-4.7765	-7.1385	-3.101	-1.0005	-0.109	-3.766	-3.585	-5.777	-2.773	-3.838	-4.105	-4.745	-5.099	-4.866	0.245	-0.116	-1.628	-2.849	0.12	-3.457	-2.411	-0.33	-4.948	NaN	-4.564	-4.629	-5.14	-4.292	-3.502
"YPL090C"	-2.294	-2.497	-3.529	-3.965	-1.0	-1.765	-3.9615	-3.256	-2.7785	-2.4215	-2.57	-2.203	-4.364	-6.197	-2.01	-1.263	-0.0925	-3.398	-3.223	-5.307	-2.412	-2.833	-2.954	-3.292	-3.309	-4.719	0.304	0.154	-1.907	-2.061	0.259	-1.184	-2.178	-0.857	-3.272	-0.021	-4.244	-3.265	-4.101	-3.571	-2.951
"YPL142C"	-1.892	-2.625	-2.913	-3.225	-0.787	-1.341	-3.1395	-2.973	-2.7515	-2.2525	-1.78	-1.891	-3.5865	-5.604	-2.427	-1.525	0.0885	-2.825	-3.3035	-4.155	-2.082	-2.303	-2.376	-2.148	-2.632	-2.979	0.549	0.038	-1.793	-2.011	-0.056	-1.409	-2.226	-0.793	-3.034	-1.302	-3.763	-3.021	-3.677	-3.278	-2.971
"YPL198W"	-1.974	-2.023	-3.084	-3.342	-0.931	-1.605	-4.269	-3.194	-2.836	-2.46	-2.218	-2.395	-4.3605	-6.879	-2.7345	-1.2855	-0.321	-3.4825	-3.3185	-3.875	-2.024	-2.227	-2.449	-2.487	NaN	-3.133	0.219	0.027	-1.506	-1.633	0.209	-1.576	-1.73	-0.753	-2.581	0.339	-4.2325	-3.528	-3.4955	-4.5575	-2.68
"YPR132W"	-1.336	-1.962	-1.788	-3.128	-1.087	-1.257	-2.849	-3.586	-3.351	-1.806	-2.6445	-2.672	-3.1925	-5.805	-2.2135	-1.409	-0.28	-2.5895	-3.048	-3.788	-1.948	-2.214	-2.292	-1.968	-2.388	-3.151	0.312	0.117	-1.376	-2.217	0.17	-1.071	-1.612	-0.841	-2.027	0.924	-2.884	-2.466	-2.903	-2.829	-2.063
"YPR142C"	-3.13	-1.934	-3.21	-3.322	-0.261	-0.336	-2.3555	-1.5845	-1.639	-1.534	-1.412	-1.2625	-1.555	-3.138	-1.3705	-0.455	0.7635	-2.0655	-1.2365	-2.665	-1.608	-1.227	-1.214	-0.85	-1.681	-1.456	-0.369	-0.048	-0.41	-1.613	0.83	-0.593	-0.253	0.651	-3.649	0.507	-0.516	-0.592	-1.825	-0.874	-0.475
"YPR143W"	-3.07	-2.433	-3.115	-2.963	0.079	-0.428	-1.922	-1.2485	-0.975	-0.93	-1.0605	-0.489	-1.7495	-3.332	-1.4065	0.001	0.1615	-2.0935	-1.4905	-2.489	-1.527	-1.2	-1.025	-0.747	-1.491	-0.92	-0.133	0.101	-1.057	-1.294	0.841	-0.472	-0.338	0.583	-3.674	NaN	-2.449	-1.507	-3.13	-1.987	-1.478
