	"103.alpha factor release sample026"	"104.alpha factor release sample024"	"819.DY1457 (wild type) 3 mM vs. 61 nM zinc"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"1012.YPD 12 h (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1106.DY zap1 3 mM vs. 76 nM zinc"	"1107.alpha factor release sample025"	"1139.DY1457 (wild type) 3 mM vs. 76 nM zinc"	"2556.Hypo-osmotic shock - 45 minutes"	"2557.Hypo-osmotic shock - 60 minutes"	"2966.WT vs Lpz8 null cells in high Cu-repeat"	"3020.WT vs lpz8 null cells in high Cu"	"4872.1M sorbitol - 60 min"	"11466.yO1 test hyb"	"12733.Nitrogen Depletion 8 h"	"27103.P1Comp 24 hr 5 min Phosphate Batch vs Chemostat Comparison"	"27105.P1Comp 27 hr 15 min Phosphate Batch vs Chemostat Comparison"	"27106.P1Comp 33 hr 5 min Phosphate Batch vs Chemostat Comparison"	"27108.P1Comp 45 hr 5 min Phosphate Batch vs Chemostat Comparison"	"34879.S4Comp 10 hr 00 min Sulfate Batch vs Chemostat Comparison"	"34882.S4Comp 13 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34883.S4Comp 14 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34884.S4Comp 15 hr 05 min Sulfate Batch vs Chemostat Comparison"
"YIL078W"	0.023	0.025	1.358	-2.907	-2.075	-2.018	-2.219	-2.498	-1.911	-5.192	-6.059	-2.282	-2.288	-2.5	-3.786	-3.226	-4.41	-4.902	-4.944	0.64	-0.017	1.692	0.528	0.423	0.262	-0.049	0.141	-2.348	-1.855	-0.236	-0.715	-1.316	-1.389	-2.253	-1.449	-1.625	-1.291
"YJL014W"	0.245	0.064	1.137	-1.884	-1.661	-1.298	-1.283	-1.494	-1.383	-2.624	-3.962	-1.585	-1.866	-1.425	-1.546	-1.58	-2.252	-3.068	-2.866	0.452	0.122	0.866	0.241	0.193	-0.029	0.09	0.045	-1.31	-0.737	-0.255	-0.577	-0.405	-1.373	-0.299	-0.55	-0.741	-0.264
"YJL076W"	-0.056	0.113	0.338	-1.492	-1.057	-0.256	-0.836	-0.504	-0.751	-0.807	-3.07	-1.053	-0.942	-0.215	-1.322	-1.106	-0.515	-0.068	-1.6	-0.253	-0.078	0.858	0.243	0.478	-0.313	0.208	-0.12	-0.743	-1.284	0.416	0.014	0.035	0.336	-0.357	-0.033	-1.075	0.176
"YJL167W"	0.036	-0.089	0.273	-0.95	-0.387	-0.252	-0.611	-1.069	-0.982	-2.323	-7.538	-1.445	-1.226	-1.667	-0.268	-0.897	-2.066	-2.855	-2.924	0.837	0.031	0.732	0.076	0.094	0.051	0.037	-0.056	-0.698	0.313	-0.196	-0.204	-0.55	-1.338	-0.98	-1.217	-0.589	-0.225
"YJL188C"	0.194	0.1	1.481	-2.525	-2.39	-2.043	-1.864	-1.323	-1.808	-2.786	-4.633	-2.24	-2.745	-2.519	-3.453	-1.929	-2.169	-2.54	-2.776	0.1	0.223	0.856	0.542	0.598	0.274	-0.289	0.017	-1.525	-1.376	-0.93	-0.025	-1.439	-0.204	-1.603	-0.616	-0.578	-0.185
"YJL189W"	0.299	-0.044	0.96	-3.545	-2.317	-2.319	-2.282	-1.647	-1.644	-2.901	-4.28	-2.446	-2.278	-1.716	-3.49	-2.141	-1.577	-2.282	-2.837	0.009	0.052	1.053	0.261	0.231	0.03	-0.214	-0.058	-1.034	-1.798	-0.827	-0.749	-0.628	0.241	-1.692	-0.441	-0.688	-0.487
"YJR072C"	-0.483	-0.226	0.882	-2.021	-1.263	-1.728	-0.741	-0.864	-1.429	-1.773	-3.523	-1.871	-1.094	-1.206	-1.19	-0.63	-1.21	-2.028	-1.455	0.049	0.039	0.97	0.365	0.163	-0.003	-0.285	-0.009	-0.804	-0.98	0.126	-0.037	-0.31	-0.007	-0.792	0.227	-0.537	0.164
"YJR091C"	-0.208	0.082	0.896	1.506	0.891	0.717	0.752	0.634	1.908	-0.7	-2.621	1.197	1.341	1.497	0.442	0.916	-0.429	-0.602	-1.045	0.915	-0.223	0.145	0.444	0.491	0.032	0.197	-0.134	0.702	0.549	0.204	0.263	-0.002	-0.307	0.341	0.046	-0.301	0.319
"YJR105W"	0.288	-0.023	2.08	-2.77	-1.093	-1.685	-1.401	-1.891	-2.819	-1.424	-4.641	-2.087	-1.587	-2.56	-1.343	-1.709	-1.362	-1.023	-1.04	1.232	0.239	1.933	0.203	0.283	-0.014	-0.054	0.057	-0.87	-1.488	-0.085	-0.319	-0.476	-0.759	-0.998	-1.917	-1.263	-0.503
"YJR123W"	0.289	0.046	2.779	-3.844	-3.276	-3.279	-3.375	-2.46	-3.124	-4.381	-9.147	-3.809	-3.529	-3.442	-4.282	-2.635	-2.639	-3.543	-4.006	0.958	0.248	2.581	0.357	0.4	0.237	0.058	0.56	-2.153	-3.404	-1.941	-1.938	-1.428	-1.327	-2.549	-1.824	-1.169	-1.159
"YJR145C"	0.263	-0.027	2.605	-4.507	-3.488	-3.177	-2.731	-2.328	-2.413	-3.54	-6.528	-3.551	-3.547	-3.597	-4.857	-2.336	-2.519	-3.105	-3.178	1.101	0.228	2.789	0.365	0.336	0.066	0.111	0.381	-2.312	-3.331	-2.09	-2.324	-2.053	-1.774	-2.369	-0.862	-1.048	-0.845
"YKL080W"	-0.127	-0.139	1.254	-1.609	-2.001	-1.655	-1.941	-1.25	-1.469	-4.229	-5.94	-0.874	-0.756	-1.461	-0.56	-1.962	-2.874	-2.944	-2.866	0.679	0.135	0.985	0.246	0.058	0.249	0.206	0.172	-1.244	-0.136	-0.114	-0.331	-0.604	-1.109	-1.16	-0.959	-1.159	-0.934
"YKL143W"	-0.036	0.08	0.225	-4.748	-1.715	-2.281	-1.954	-1.458	-1.805	-2.312	-3.827	-2.756	-2.421	-1.691	-2.734	-1.965	-2.215	-3.005	-2.585	-0.135	0.1	0.78	0.593	0.446	-0.071	-0.374	0.06	-1.367	-1.951	0.37	0.118	-0.201	0.216	-1.428	-0.479	-1.237	-0.541
"YKR026C"	-0.323	-0.131	0.771	-3.144	-2.386	-1.661	-2.212	-1.705	-1.843	-2.863	-3.755	-1.979	-1.969	-1.657	-1.723	-1.003	-1.858	-2.363	-2.231	0.686	0.123	1.196	0.158	-0.017	0.081	0.179	0.595	-0.604	-1.024	0.004	-0.416	-0.439	-0.604	-1.123	-1.173	-1.362	-0.799
"YLL045C"	0.341	0.171	2.311	-3.851	-3.176	-2.506	-2.189	-1.64	-2.221	-3.857	-6.618	-3.169	-3.335	-3.185	-3.66	-2.495	-2.943	-3.021	-3.731	0.814	0.209	2.059	0.593	0.455	-0.092	-0.06	0.223	-2.165	-2.953	-1.727	-1.625	-1.751	-1.829	-2.324	-1.005	-0.983	-0.822
"YLR002C"	0.106	-0.142	0.714	-3.541	-1.701	-1.693	-1.352	-1.168	-0.99	-3.154	-4.959	-2.611	-1.589	-1.157	-2.747	-1.599	-2.578	-3.265	-3.45	0.12	-0.35	0.86	0.38	0.224	-0.22	-0.222	0.14	0.135	-1.252	0.062	0.228	0.175	-0.193	-0.142	-0.136	-0.402	-0.632
"YLR062C"	-0.095	-0.306	1.963	-4.53	-4.418	-3.352	-3.067	-3.127	-4.077	-5.705	-6.896	-3.6	-3.985	-3.965	-4.96	-3.706	-4.299	-4.293	-5.234	1.062	0.082	2.319	0.518	0.507	0.37	0.409	0.023	-2.675	-3.446	-1.827	-2.249	-2.767	-1.832	-2.202	-1.112	-0.982	-1.53
"YLR129W"	-0.256	-0.039	0.119	-4.83	-2.28	-3.089	-2.498	-2.028	-2.718	-2.877	-4.914	-3.12	-2.647	-2.185	-3.861	-2.481	-2.714	-2.42	-3.068	-0.054	-0.04	0.913	0.476	0.471	-0.078	-0.151	0.139	-2.011	-2.651	0.62	-0.458	-0.307	-0.248	-1.943	-1.086	-0.31	-0.931
"YLR185W"	-0.138	-0.145	1.932	-4.508	-3.498	-3.001	-2.551	-2.201	-2.749	-2.578	-5.928	-2.94	-2.559	-2.616	-4.019	-2.209	-2.015	-2.479	-3.065	0.346	0.197	1.929	0.433	0.449	0.468	-0.076	-0.006	-2.023	-3.193	-1.035	-0.909	-1.068	-0.124	-1.79	-0.609	-0.563	-0.804
"YLR291C"	-0.132	-0.03	0.754	-1.858	-1.136	-1.418	-1.83	-1.482	-1.792	-3.037	-4.762	-1.324	-1.096	-1.104	-1.003	-1.283	-1.783	-2.216	-2.363	0.128	0.033	0.783	0.062	0.048	-0.088	-0.114	-0.181	-1.532	-1.5	-0.617	-0.534	-0.255	-0.584	-0.646	-0.484	-0.93	-0.548
"YLR293C"	0.291	0.175	1.003	-3.594	-2.185	-2.087	-2.565	-2.207	-2.675	-3.488	-6.281	-2.107	-1.751	-2.233	-2.473	-2.158	-2.379	-3.03	-3.186	0.585	0.285	1.2	0.315	0.32	-0.569	-0.587	0.078	-2.235	-1.494	-0.693	-0.632	-0.613	-0.699	-1.358	-1.071	-1.216	-0.679
"YLR328W"	-0.007	-0.008	0.136	-1.458	-1.676	-1.396	-1.902	-1.272	-2.078	-1.935	-4.106	0.105	-0.258	-0.537	-0.491	0.634	-1.734	-2.256	-2.558	0.328	0.133	0.73	-0.105	-0.025	-0.174	-0.312	0.12	-1.355	-0.604	-0.2	0.059	-0.431	-0.034	-0.254	-0.773	-1.501	-0.219
"YLR333C"	0.28	0.05	1.643	-3.93	-3.067	-2.402	-2.401	-1.851	-2.342	-3.011	-5.863	-3.538	-3.334	-2.939	-4.032	-2.057	-1.584	-2.45	-2.848	0.821	0.252	1.926	0.512	0.373	0.37	0.394	0.246	-1.748	-2.565	-1.618	-1.369	-1.281	-0.418	-1.761	-0.9	-0.405	-0.362
"YLR420W"	0.01	0.057	0.555	-1.361	-1.511	-1.342	-1.8	-1.687	-1.374	-2.034	-3.849	-1.276	-1.385	-1.717	-0.475	-1.252	-1.262	-1.394	-2.349	0.588	-0.003	0.665	-0.569	-0.5	-0.901	-0.854	NaN	-1.544	-1.454	-0.116	-0.174	-0.33	-0.353	-0.365	0.104	-0.278	0.011
"YLR448W"	-0.051	-0.242	2.319	-4.815	-3.882	-3.116	-3.083	-2.052	-2.688	-3.552	-5.971	-3.425	-3.454	-3.179	-4.891	-2.621	-2.668	-3.192	-4.132	0.932	-0.047	2.734	0.467	0.403	0.062	-0.069	0.011	-2.337	-3.647	0.114	-0.452	-1.395	-0.393	-2.261	-1.569	-1.089	-0.648
"YML050W"	-0.083	-0.087	-0.709	1.287	0.727	0.889	-0.531	0.281	-0.758	-0.051	-1.604	0.263	0.828	0.707	1.315	0.841	0.938	0.447	0.111	-0.584	-0.056	-0.153	-0.287	0.033	-0.041	-0.016	0.039	0.336	-0.247	-0.275	0.097	0.327	-0.116	-0.122	-0.686	-0.436	-0.225
"YMR135C"	-0.387	-0.399	-0.326	1.727	1.669	0.938	1.938	1.278	1.394	2.425	4.053	1.847	1.437	2.04	1.018	1.325	2.843	3.141	3.078	0.095	-0.187	-0.264	-0.064	0.137	-0.031	0.094	-0.116	0.918	0.918	0.791	0.785	0.635	0.972	1.21	0.063	0.311	0.588
"YMR208W"	-0.317	-0.04	0.715	-1.479	-0.769	0.126	-0.871	-0.82	-1.063	-2.542	-3.618	-0.766	-0.389	-0.674	-1.048	-1.136	-1.98	-2.454	-2.354	0.857	0.159	0.714	-0.068	-0.023	-0.094	-0.094	-0.022	-0.6815	-0.086	0.061	-0.465	-0.42	-1.045	-0.581	-0.316	-0.853	-0.718
"YMR220W"	-0.114	0.018	0.492	-1.178	-1.153	-1.038	-1.413	-0.681	-0.969	-1.869	-3.12	-0.64	-0.506	-0.905	-0.537	-0.881	-1.468	-2.008	-1.728	0.435	0.2	0.161	-0.019	-0.046	-0.164	-0.042	0.131	-0.883	0.059	0.594	0.511	-0.063	-0.637	0.379	-0.321	-0.797	-0.924
"YMR229C"	0.114	-0.0395	0.5385	-6.1495	-3.5335	-3.765	-2.743	-2.443	-2.304	-4.4055	-5.288	-2.914	-2.1435	-2.161	-4.826	-2.0525	-3.7195	-3.685	-3.93	-0.304	-0.0255	1.3055	1.046	0.767	-0.201	-0.21	0.0125	-1.93833333333333	-3.3155	-0.2345	-0.4825	-0.351	-0.378	-1.8025	-0.947	-0.9045	-1.244
"YMR239C"	-0.326	-0.071	0.191	-4.414	-2.819	-2.693	-2.296	-1.587	-2.209	-2.176	-3.323	-2.372	-1.709	-0.975	-3.095	-1.516	-2.236	-2.42	-2.415	0.301	-0.035	0.655	0.487	0.415	-0.526	-0.667	-0.205	-0.932	-1.497	0.827	-0.15	-0.267	-0.586	-0.912	0.198	0.059	-0.283
"YNL001W"	-0.158	-0.08	0.522	-0.834	-1.185	-0.646	-0.823	-1.065	-0.887	-1.318	-3.241	-0.89	-0.606	-0.717	-0.996	-1.077	-1.116	-1.395	-1.761	0.624	0.129	0.612	0.095	0.027	0.027	0.059	-0.103	-0.914	-0.328	0.743	0.072	-0.002	0.025	0.014	-0.876	-0.607	-0.801
"YNL062C"	0.053	-0.083	-0.373	-4.157	-2.785	-2.295	-2.256	-1.556	-2.835	-3.07	-6.263	-2.304	-2.254	-1.829	-2.028	-1.803	-1.717	-2.639	-2.206	-0.405	0.077	0.269	0.399	0.156	-0.362	-0.452	-0.003	-1.7035	-1.154	0.415	-0.103	0.535	0.42	-1.184	-0.83	-1.073	-0.471
"YNL064C"	0.026	0.048	-0.143	-2.517	-2.371	-2.079	-1.448	-1.718	-1.899	-1.228	-3.31	-2.182	-1.946	-1.788	-1.94	-0.561	-1.535	-2.661	-2.805	-0.415	0.154	0.526	0.523	0.368	0.557	0.502	-0.609	-2.0605	-0.634	-0.181	-0.088	0.326	-0.717	0.455	0.03	0.327	0.829
"YNL084C"	-0.156	0.003	0.586	0.148	-0.342	-0.34	-0.75	-0.498	-1.408	-1.945	-3.396	0.076	-0.235	-0.477	-0.368	-0.673	-1.386	-1.735	-1.919	0.678	-0.035	0.021	-0.156	-0.13	0.18	0.145	-0.007	-0.09	0.648	0.186	-0.164	0.034	0.182	-0.16	-0.187	-0.746	-0.157
"YNL085W"	-0.098	0.263	0.569	-0.849	-0.327	-0.905	-0.37	-0.67	-0.991	-2.342	-5.369	-1.302	-1.277	-1.365	-0.996	-1.484	-2.001	-2.706	-3.291	0.239	-0.027	0.409	0.304	0.282	0.323	0.234	0.203	-0.946	-1.238	-0.104	-0.426	0.168	0.253	-1.082	-1.352	-1.224	-0.999
"YNL096C"	-0.32	-0.515	2.487	-4.113	-3.765	-3.642	-3.235	-2.81	-3.616	-4.038	-6.106	-3.331	-3.045	-2.761	-4.716	-3.041	-3.644	-4.096	-4.68	0.922	0.182	2.416	0.381	0.323	-0.248	-0.135	-0.057	-2.8625	-3.171	0.429	-0.971	-2.211	-1.683	-1.366	-0.905	-0.801	-0.694
"YNL119W"	-0.173	-0.229	1.834	-6.697	-3.692	-2.694	-2.909	-2.2	-3.337	-5.354	-6.231	-3.359	-3.366	-2.99	-3.55	-2.206	-2.822	-2.843	-3.318	1.193	-0.011	2.478	0.181	0.315	-0.107	-0.221	-0.324	-1.92	-2.631	0.139	-1.199	-1.642	-1.118	-2.092	-1.59	-1.14	-1.031
"YNL132W"	0.143	-0.013	0.685	-5.826	-3.389	-2.815	-3.25	-2.572	-3.653	-4.956	-6.392	-3.285	-3.141	-2.521	-4.353	-2.936	-3.396	-4.377	-4.049	0.157	-0.072	1.586	0.569	0.308	-0.275	-0.486	-0.079	-1.281	-3.487	0.066	-0.366	0.016	0.242	-1.69	-1.355	-1.649	-0.767
"YNL159C"	NaN	-0.144	0.264	1.734	1.01	1.332	1.042	1.507	1.236	1.197	-1.084	0.911	0.76	0.559	1.247	0.969	-0.371	1.178	0.683	0.641	-0.22	-0.061	-0.161	0.128	-0.068	-0.053	-0.279	0.9025	0.915	0.128	0.015	0.268	-0.048	0.317	-0.191	0.583	0.068
"YNL162W"	-0.065	-0.13	1.592	-3.953	-3.395	-3.14	-2.838	-2.175	-2.163	-2.858	-6.425	-2.86	-2.872	-2.421	-3.999	-2.0	-1.742	-2.487	-3.468	0.119	0.065	1.432	0.234	0.234	0.087	0.199	-0.03	-1.852	-2.438	-0.732	-1.042	-1.242	-0.372	-1.293	-0.606	-0.771	-0.467
"YNL175C"	-0.13	-0.046	1.132	-4.877	-2.65	-2.975	-2.4	-2.146	-2.117	-2.872	-6.011	-2.575	-2.601	-2.327	-4.587	-2.484	-2.404	-3.809	-2.849	0.621	0.134	1.293	0.669	0.389	-0.007	-0.091	0.344	-2.238	-2.73	-0.776	-0.44	-0.641	-0.136	-1.698	-0.6195	-1.2135	-0.276
"YNL189W"	0.074	0.185	0.697	-0.717	-0.61	-0.397	-0.902	-1.084	-1.349	-2.367	-4.06	-0.86	-0.875	-1.183	-0.589	-1.294	-2.058	-2.641	-3.084	0.427	-0.042	0.424	0.097	0.057	0.093	0.105	-0.273	-1.6445	-0.42	0.22	-0.169	-0.367	-0.704	-0.914	-1.042	-1.348	-0.213
"YNL313C"	-0.014	0.202	0.53	-4.999	-2.695	-2.073	-2.007	-1.538	-2.126	-3.628	-5.714	-3.129	-2.948	-1.668	-2.839	-1.551	-2.01	-2.343	-2.518	-0.057	0.191	1.131	0.57	0.472	-0.202	-0.163	0.106	-1.051	-1.367	0.1	-0.055	-0.308	0.072	-1.026	-1.358	-1.488	1.405
"YNR043W"	-0.017	0.161	0.697	-3.5005	-1.8155	-1.672	-1.574	-1.86	-2.628	-2.934	-5.1565	-2.5105	-1.9175	-1.949	-1.36	-2.382	-2.655	-3.803	-3.856	1.241	0.223	0.892	0.55	0.51	-0.385	-0.296	-0.264	-1.878	-0.688	-1.596	-1.066	-0.847	-1.621	-1.715	-1.142	-1.425	-1.336
"YOL105C"	0.107	-0.242	0.849	-0.833	-0.435	NaN	-2.16	-0.118	4.436	3.931	-9.463	-1.031	-0.123	-0.213	0.289	-0.203	0.336	-1.096	-1.195	0.398	-0.103	0.208	-0.217	-0.254	-0.258	-0.033	-0.009	0.018	-0.414	-0.07	0.575	0.033	0.345	-0.763	-0.523	-0.696	-0.499
"YOR169C"	0.062	0.199	1.23	-1.8345	-1.974	-1.794	-1.708	-1.534	-2.017	-1.656	-3.934	-2.193	-2.091	-2.0175	-2.535	-1.758	-2.363	-2.16	-3.14	0.998	0.255	1.391	0.118	0.075	0.094	0.171	-0.262	-1.574	-1.724	-0.662	-0.827	-1.033	-0.372	-1.364	-0.945	-0.734	-0.555
"YOR236W"	-0.097	-0.219	-0.912	-2.6285	-1.7895	-1.05	-1.0245	-0.955	-0.833	-2.4345	-3.971	-1.8955	-1.3805	-1.0385	-1.393	-0.62	-1.568	-2.695	-2.322	-1.22	-0.062	-0.432	-0.078	-0.117	0.143	-0.006	0.249	-0.34	0.168	-0.569	-0.035	0.062	0.148	0.741	0.266	0.341	0.182
"YPL037C"	-0.103	-0.075	1.278	-2.6595	-2.081	-2.0885	-1.9235	-1.975	-2.12	-3.9955	-5.417	-1.813	-1.4435	-2.148	-2.203	-1.872	-2.115	-3.222	-3.654	0.671	0.064	1.099	0.319	0.234	0.146	0.108	-0.106	-1.648	-0.951	-0.791	-0.705	-0.928	-0.741	-1.192	-0.534	-0.685	-0.53
"YPL043W"	0.052	-0.198	0.577	-4.668	-2.8315	-2.8295	-2.0985	-2.036	-2.04	-2.4695	-3.79	-3.157	-2.2695	-1.9305	-3.89	-2.134	-1.995	-2.623	-2.739	-0.353	-0.013	0.617	0.537	0.356	-0.711	-0.608	-0.112	-1.87	-1.96	-0.87	-0.45	-0.1	-0.168	-1.28	-0.37	-0.504	-0.611
"YPL079W"	-0.182	-0.307	2.125	-4.616	-4.1965	-3.787	-3.3525	-2.3565	-2.6495	-3.892	-6.4765	-3.085	-3.172	-3.0255	-4.735	-3.087	-3.015	-3.498	-4.547	0.542	0.085	1.834	0.527	0.467	-0.041	0.053	0.031	-1.673	-3.141	-0.761	-0.368	-1.394	-0.331	-1.659	-0.516	-0.517	-0.626
"YPL091W"	-0.158	0.047	0.719	0.1365	0.31	-0.2195	-0.6945	-1.442	-0.9905	-1.9175	-3.471	0.101	-0.5705	-0.895	-0.515	-0.573	-1.614	-1.738	-2.295	0.337	0.101	0.309	0.019	0.007	-0.099	-0.119	0.132	-1.173	-0.376	-0.275	-0.112	0.162	-0.395	-0.422	0.102	-0.755	-0.346
"YPL106C"	0.051	0.238	-0.494	-1.99	-2.22	-1.448	-2.534	-2.197	-1.434	-2.219	-4.546	-1.0535	-0.874	-1.2915	-1.001	-0.572	-3.281	-3.825	-4.33	-0.136	-0.107	0.431	0.422	0.541	0.248	0.292	-0.432	-2.05	-1.533	0.041	0.134	-0.134	-0.485	-0.675	-0.28	0.395	0.744
"YPL198W"	-0.001	-0.103	2.2845	-4.269	-3.194	-2.836	-2.46	-2.218	-2.395	-4.3605	-6.879	-3.4825	-3.3185	-3.022	-3.875	-2.449	-2.487	NaN	-3.133	0.955	0.119	2.698	0.489	0.598	-0.077	-0.033	-0.237	-1.633	-2.847	-0.075	-1.049	-1.188	-0.414	-2.1	-1.0	-0.8575	-1.247
"YPL226W"	0.4335	0.4525	0.233333333333333	-4.86566666666667	-3.38066666666667	-2.57633333333333	-2.407	-1.80333333333333	-2.21533333333333	-3.95033333333333	-5.67966666666667	-3.37333333333333	-2.503	-2.786	-4.0095	-2.8955	-3.407	-2.9025	-3.983	-0.146	0.1885	0.8915	0.667	0.5305	-0.24	-0.0935	-0.0735	-1.7375	-2.562	-1.258	-0.798	-0.542	-0.8915	-1.244	-1.324	-1.131	-1.12
"YPL273W"	-0.05	-0.022	1.41566666666667	-3.42133333333333	-2.60833333333333	-2.705	-2.59566666666667	-2.792	-2.96466666666667	-3.722	-5.69966666666667	-2.94366666666667	-2.86466666666667	-2.69266666666667	-2.8035	-3.2755	-2.794	-3.21	-3.3575	0.743	0.302	1.535	0.3195	0.309	0.2515	0.126	0.0235	-2.628	-1.99	-0.406	-0.585	-0.823	-0.414	0.113	-1.223	-1.141	-1.0
"YPR110C"	-0.262	-0.211	1.3475	-5.7185	-3.423	-3.2115	-2.9215	-2.8345	-3.133	-3.662	-6.318	-3.01	-3.296	-2.285	-3.88	-2.703	-2.993	-3.212	-3.358	0.573	-0.038	1.631	0.608	0.565	-0.202	-0.125	-0.091	-2.108	-2.073	-0.794	-1.038	-1.217	-1.08	-1.644	-1.581	-2.205	-1.24
"YPR132W"	0.005	-0.134	2.133	-2.849	-3.586	-3.351	-1.806	-2.6445	-2.672	-3.1925	-5.805	-2.5895	-3.048	-2.967	-3.788	-2.292	-1.968	-2.388	-3.151	0.742	0.116	2.058	0.377	0.37	-0.208	0.002	0.125	-2.217	-2.19	-1.837	-2.126	-1.868	-1.28	-1.327	-0.544	-0.765	-0.482
"YPR144C"	-0.024	-0.241	0.6415	-3.855	-1.9705	-2.235	-1.9295	-0.6445	-1.9405	-3.129	-4.2065	-2.0425	-1.8885	-1.2035	-2.256	-1.22	-1.687	-2.51	-2.411	-0.008	0.04	0.74	0.264	0.032	-0.338	-0.097	0.207	-1.298	-1.78	-0.316	-0.183	-0.1	-0.21	-0.806	-0.411	-0.627	-0.4
