	"120.w303a vs w303a fkh1 fkh2"	"404.W303a vs GZY29-3b"	"405.W303a vs GZY45-15c"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"8284.mcm1-1 + pRS315 vs wild type (strain 8354-8C)+ pRS315"	"11466.yO1 test hyb"	"13059.wt/crz1 Na 45min (1)"	"13060.wt/crz1 Na 45min (2)"	"13068.Na/Na+FK 45min (2)"	"40951.H2O2_II_49_min"	"40952.H2O2_II_56_min"	"40953.H2O2_II_63_min"	"40954.H2O2_II_70_min"	"40955.H2O2_II_77_min"
"YLR100W"	-0.057	-0.074	-0.254	-1.172	-1.003	-2.507	-4.853	-1.268	-1.167	-1.184	-1.09	-1.855	-2.159	-2.128	-0.459	-1.441	0.155	0.225	-0.042	-0.564	-0.637	-0.722	-0.253	-0.122
"YLR208W"	-0.253	-0.53	-0.116	-1.266	NaN	-1.968	-4.432	-1.568	-2.018	-1.454	-1.248	-1.898	-2.183	-2.499	-0.934	-1.044	0.101	0.045	0.251	-0.527	-0.015	0.001	-0.142	0.917
"YLR291C"	-0.256	-0.413	-0.093	-1.482	-1.792	-3.037	-4.762	-1.104	-2.027	-1.186	-1.283	-1.783	-2.216	-2.363	-0.721	-1.532	-0.005	-0.067	0.259	-0.977	-1.173	-1.11	-0.018	-0.416
"YLR293C"	-0.019	-0.338	-0.046	-2.207	-2.675	-3.488	-6.281	-2.233	-2.661	-1.45	-2.158	-2.379	-3.03	-3.186	-0.732	-2.235	0.406	0.387	0.52	-0.532	-1.263	-1.262	-0.219	-1.081
"YLR314C"	-0.058	-0.37	-0.348	-1.783	-1.658	-2.218	-5.585	-1.368	-1.023	-2.505	-2.761	-2.906	-3.447	-3.937	0.34	-1.17	0.068	-0.065	0.038	-0.372	-0.421	-1.007	-1.021	-0.679
"YLR328W"	-0.424	-1.059	-0.404	-1.272	-2.078	-1.935	-4.106	-0.537	-0.369	-1.037	0.634	-1.734	-2.256	-2.558	-0.644	-1.355	-0.041	-0.055	-0.235	-0.942	-0.906	0.313	-0.749	-0.939
"YLR335W"	-0.36	-0.279	-0.705	-1.484	-1.723	-1.306	-3.177	-1.213	-1.345	-1.429	-1.323	-1.448	-1.681	-2.238	0.143	-1.356	0.181	-0.009	0.159	-0.765	-1.52	-1.035	-0.527	-0.662
"YLR339C"	-0.602	-0.288	-0.114	-3.285	-3.76	-4.988	-6.865	-3.201	-2.938	-2.647	-2.474	-2.461	-3.161	-3.973	-0.464	-2.977	0.372	0.4	0.299	-1.313	-2.221	-2.553	-0.8	-1.25
"YLR340W"	-0.724	-0.739	-0.068	-2.963	-2.876	-4.11	-6.819	-3.015	-2.689	-2.703	-2.701	-2.702	-3.206	-4.105	-0.788	-2.949	0.326	0.357	-0.051	-0.794	-1.435	-1.97	-0.544	-0.328
"YLR367W"	-0.393	0.119	0.204	-2.22	-3.463	-2.78	-6.716	-2.335	-1.174	-2.591	-2.935	-2.165	-2.476	-3.007	0.163	-1.95	0.579	0.676	0.561	-1.385	-1.339	-1.412	-1.295	-1.326
"YLR388W"	-0.012	0.123	0.116	-1.98	-1.738	-3.596	-5.506	-2.742	-2.362	-2.671	-2.555	-2.232	-2.581	-3.193	-0.292	-2.034	0.131	0.25	0.329	-1.207	-1.052	-1.495	-1.415	-0.274
"YLR448W"	-0.404	-0.001	-0.092	-2.052	-2.688	-3.552	-5.971	-3.179	-2.573	-2.521	-2.621	-2.668	-3.192	-4.132	-0.583	-2.337	-0.043	-0.066	-0.444	-0.609	1.536	-0.777	0.723	1.597
"YML073C"	-0.453	0.0	-0.289	-1.884	-2.135	-3.862	-6.033	-3.087	-2.501	-2.561	-2.549	-2.401	-2.624	-3.718	-0.304	-1.975	0.014	0.036	0.159	-0.464	-1.246	-2.379	-0.714	-0.855
"YML074C"	-0.068	-0.573	-0.275	-0.951	-2.161	-2.837	-5.319	-1.664	-0.962	-1.207	-1.673	-2.826	-3.214	-3.466	0.07	-1.767	-0.205	-0.106	-0.407	-0.557	0.348	-0.878	-0.055	-0.835
"YML093W"	-0.284	-0.831	-0.491	-1.272	-2.007	-2.962	-5.889	-1.818	-1.659	-1.961	-2.236	-2.547	-2.745	-3.262	0.429	-1.522	-0.171	-0.148	-0.359	-1.081	-1.378	-1.862	-1.005	-0.807
"YMR033W"	-0.158	-0.636	-0.394	-1.434	-1.22	-3.063	-4.454	-1.514	-1.984	-1.244	-1.469	-1.745	-1.826	-1.988	-0.507	-1.013	0.065	0.011	-0.128	-0.539	-1.021	-1.368	-0.993	-0.777
"YMR121C"	0.002	-0.549	0.281	-1.905	-2.539	NaN	-4.199	-2.44	-1.709	-2.019	-2.144	-2.277	-2.155	-2.582	0.485	-1.702	0.579	0.52	0.376	-0.66	-2.302	-1.533	-2.275	-1.291
"YMR123W"	-0.297	-1.232	-0.043	-2.491	-2.616	-2.374	-3.061	-1.286	-1.465	-1.907	-1.372	-1.615	-1.137	-1.512	-0.312	-1.653	0.321	0.303	0.182	-0.149	-0.806	-0.671	-0.549	-0.843
"YMR131C"	-0.476	-0.814	-0.442	-2.414	-2.914	-5.052	-6.665	1.316	-3.081	-2.829	-3.214	-4.236	-5.241	-4.266	0.184	-1.789	-0.018	0.064	-0.628	-2.568	-2.513	-2.742	-3.442	-1.935
"YMR143W"	-0.724	-0.296	-0.051	-2.794	-2.234	-2.287	-4.466	-3.657	-3.194	-2.703	-2.873	-2.88	-3.111	-3.545	-0.179	-2.009	0.546	0.335	0.321	-0.965	-1.707	-2.063	-0.511	-1.062
"YMR146C"	-0.063	-0.346	-0.041	-1.186	-2.424	-1.725	-4.642	-1.791	-1.738	-1.339	-1.621	-1.793	-1.962	-3.093	-0.082	-1.576	-0.031	-0.02	-0.32	-0.446	-0.707	-0.058	-0.109	-0.418
"YMR194W"	-0.045	-0.237	-0.109	-2.488	-2.233	-3.476	-4.585	-2.656	-3.051	-2.256	-2.299	-1.69	-1.672	-2.34	-0.212	-1.363	0.451	0.197	0.472	-0.936	-1.563	-1.262	-1.177	-0.551
"YMR202W"	-0.26	-0.308	-0.115	-2.236	-2.852	-4.391	-5.431	-1.907	-1.33	-1.63	-1.208	-2.263	-2.876	-2.931	0.118	-1.541	0.26	0.306	-0.066	-1.711	-1.775	-1.114	-0.604	-0.47
"YMR217W"	-0.497	-0.754	-0.373	-2.518	-3.785	-4.735	-5.29	-2.622	-2.591	-3.341	-4.118	-3.713	-4.205	-4.469	-0.755	-2.4545	0.353	0.478	-0.449	-1.984	-2.54	-3.332	-2.324	-0.769
"YMR229C"	-0.6965	-0.882	-0.472	-2.443	-2.304	-4.4055	-5.288	-2.161	-2.184	-2.897	-2.0525	-3.7195	-3.685	-3.93	-0.092	-1.93833333333333	0.1115	0.0305	-0.0885	-1.701	-2.333	-1.9625	-1.0715	-0.5755
"YMR235C"	0.287	0.009	-0.038	-1.783	-1.785	-3.534	-5.187	-1.879	-2.052	-2.046	-2.046	-2.838	-3.21	-3.756	-0.027	-1.782	0.123	-0.02	0.179	-0.103	-1.003	-1.265	-0.901	-0.833
"YMR242C"	0.034	0.006	0.071	-2.522	-3.032	-3.971	-6.226	-3.636	-3.62	-2.59	-3.004	-2.601	-3.133	-3.475	0.006	-2.4615	0.125	0.261	0.392	-1.628	-2.314	-1.514	-1.417	-0.92
"YNL069C"	0.042	0.098	-0.112	-1.978	-2.285	-4.006	-4.824	-3.199	0.46	-2.199	-2.466	-2.107	-2.509	-3.665	0.306	-2.137	0.3	0.292	0.111	-1.19	-2.126	-1.631	-1.27	-0.63
"YNL088W"	0.063	-0.0915	-0.0375	-1.1865	-0.5075	-0.986	-2.554	-0.4995	-1.5475	-1.3305	-1.1905	-1.048	-0.406	-1.22	0.1035	-0.608333333333333	0.035	-0.0805	-0.1515	0.162	-0.6245	-0.9345	0.252	-0.3275
"YNL096C"	-0.487	-0.894	-0.383	-2.81	-3.616	-4.038	-6.106	-2.761	-3.165	-2.776	-3.041	-3.644	-4.096	-4.68	-0.482	-2.8625	0.115	0.04	0.584	-2.268	-2.714	-2.548	-0.807	-1.34
"YNL130C"	-0.315	0.092	0.168	-1.04	-1.728	-1.94	-2.872	-1.383	-1.463	-0.874	-0.669	-0.934	-1.411	-1.614	-0.639	-0.314	-0.064	-0.004	0.006	0.823	0.023	0.706	0.531	0.602
"YNL132W"	-0.572	-0.636	-0.31	-2.572	-3.653	-4.956	-6.392	-2.521	-2.512	-2.799	-2.936	-3.396	-4.377	-4.049	-0.75	-1.281	-0.001	0.148	-0.578	-2.677	-2.128	-1.908	-1.989	-1.093
"YNL178W"	-0.088	0.01	-0.046	-1.857	-3.159	-4.338	-6.62	-3.272	-3.183	-2.899	-2.981	-2.958	-3.483	-3.871	-0.432	-2.479	0.88	0.949	0.515	-2.018	-2.698	-3.094	-2.348	-2.536
"YNR043W"	-0.639	-0.62	-0.35	-1.86	-2.628	-2.934	-5.1565	-1.949	-1.8335	-2.078	-2.382	-2.655	-3.803	-3.856	-0.798	-1.878	0.258	0.109	-0.267	-1.046	-0.997	-1.663	0.304	0.014
"YOR198C"	0.089	0.216	0.035	-1.6725	-1.933	-4.452	-5.562	-1.262	-0.9675	-2.3	-2.828	-4.384	-4.657	-4.415	-0.086	-2.297	-0.149	-0.209	-0.025	-0.252	1.83	1.614	0.752	1.665
"YOR209C"	-0.153	-0.525	-0.246	-1.2605	-1.766	-2.998	-6.004	-1.647	-1.516	-0.906	-1.227	-1.897	-2.681	-2.954	-0.363	-1.009	-0.736	-0.784	-0.483	-0.256	-0.058	-0.255	-0.258	-0.454
"YOR224C"	-0.193	-0.948	-0.588	-2.2005	-2.081	-3.348	-4.849	-2.4505	-2.027	-2.173	-2.296	-2.099	-2.615	-2.202	-0.559	-2.041	0.357	0.472	0.025	-1.534	-1.107	-1.809	-0.839	-1.105
"YOR239W"	0.025	-0.06	-0.085	-1.31	-2.145	-3.232	-5.0985	-1.633	-1.8425	-2.053	-2.15	-3.149	-3.934	-3.704	0.127	-1.366	-0.2655	-0.1615	-0.1635	-0.4185	-0.05	-0.35	-0.7115	-0.0535
"YOR243C"	-0.468	-0.422	-0.31	-1.6015	-2.2855	-3.3625	-4.3935	-1.6325	-2.414	-2.179	-2.726	-2.865	-4.484	-3.863	0.35	-1.712	0.086	0.118	-0.214	-3.202	-2.909	-2.358	-2.809	-1.977
"YOR260W"	-0.102	-0.405	-0.381	-1.6735	-1.833	-2.507	-4.639	-1.6575	3.0405	-1.513	-1.624	-2.257	-2.577	-3.081	-0.735	-1.54	0.031	0.232	-0.049	-1.028	-0.885	-0.952	-0.766	-0.222
"YOR309C"	-0.16	-0.622	-0.316	-3.75	-3.942	-4.234	-6.859	-3.8235	-2.194	-3.704	-4.353	-4.746	-5.449	-5.009	0.686	-3.451	-0.085	0.043	-0.232	-2.934	-2.818	-2.231	-2.331	-1.719
"YOR310C"	-0.231	-0.381	-0.383	-3.303	-3.319	-4.7765	-7.1385	-3.5415	-2.603	-3.838	-4.105	-4.745	-5.099	-4.866	0.101	-2.849	-0.037	0.008	-0.505	-3.031	-3.155	-2.87	-2.127	-0.929
"YOR312C"	-0.094	0.387	-0.056	-2.227	-2.2895	-3.3005	-4.8175	-3.0	-2.5975	-2.511	-2.402	-2.039	-1.569	-3.224	-0.116	-1.883	-0.105	0.045	0.054	-1.235	-1.352	-1.725	-1.498	-0.503
"YOR323C"	-0.038	0.237	-0.028	-1.941	-2.0305	-4.2845	-6.434	-2.106	-2.053	-1.557	-1.382	-2.742	-3.497	-3.428	-0.389	-1.603	0.142	0.093	0.267	0.848	0.299	-0.648	0.386	-0.155
"YOR369C"	-0.704	-0.492	-0.164	-2.805	-3.7395	-3.724	-6.5475	-3.752	-3.809	-2.858	-2.986	-2.456	-2.662	-3.502	0.256	-2.309	0.95	0.753	0.494	-1.677	-2.306	-2.148	-1.958	-3.212
"YPL028W"	0.349	-0.592	0.824	-1.3315	-1.7105	-3.482	-5.5385	-1.9625	-2.1645	-1.336	-1.006	-1.692	-2.17	-2.948	-0.634	-1.486	-0.201	-0.121	0.112	-0.598	-0.528	-0.525	0.06	0.778
"YPL044C"	0.443	-1.337	-0.118	-1.769	-1.773	-2.688	-4.2355	-2.0175	-1.7795	-2.405	-1.877	-1.454	-2.06	-1.739	0.035	-1.02	-0.066	-0.257	-0.149	NaN	0.459	-0.125	-0.151	0.716
"YPL048W"	0.105	-0.518	-0.013	-1.6885	-1.898	-3.2175	-4.579	-1.4725	1.47	-1.113	-0.823	-1.535	-1.925	-2.183	-0.426	-0.719	-0.196	-0.193	-0.451	0.666	0.93	0.779	0.391	1.138
"YPL081W"	-0.303	-0.215	0.274	-2.508	-3.086	-3.4025	-6.801	-2.428	-2.3315	-2.849	-2.929	-2.789	-2.909	-3.725	-0.74	-1.844	0.145	0.101	-0.013	-1.508	-1.652	-2.062	-2.429	-0.791
"YPL198W"	0.129	0.343	0.251	-2.218	-2.395	-4.3605	-6.879	-3.022	-2.766	-2.227	-2.449	-2.487	NaN	-3.133	-0.38	-1.633	0.352	0.283	-0.292	-1.619	-1.531	-1.154	-1.5	-0.728
"YPL243W"	1.0385	-0.358	0.591	-1.456	-1.5805	-4.1455	-5.276	-1.315	-1.5105	-1.377	-1.873	-2.602	-3.541	-3.544	-0.245	-1.188	0.019	0.072	-0.066	-1.883	-1.263	-0.56	-1.831	-1.376
"YPL273W"	0.731333333333333	0.153	0.765	-2.792	-2.96466666666667	-3.722	-5.69966666666667	-2.69266666666667	-2.72566666666667	-2.4545	-3.2755	-2.794	-3.21	-3.3575	-0.585	-2.628	0.446	0.535	0.386	-0.72	-1.046	-1.601	-0.744	-1.152
"YPR060C"	1.0475	-0.524	0.811	-3.446	-3.377	-2.069	-3.801	-1.8045	-2.859	-1.98	-2.627	-2.107	-3.352	-2.894	0.437	-2.467	0.444	0.574	0.136	-1.538	-1.816	-1.601	-1.275	-1.132
"YPR080W"	-0.142	-0.643	0.404	-1.771	-2.584	-2.848	-5.6305	-2.5835	-2.8585	-1.197	-1.321	-1.689	-2.389	-3.139	-0.664	-1.681	0.583	0.42	0.419	-0.649	-1.612	-1.87	-0.705	-0.77
"YPR118W"	0.6975	-0.141	1.066	-2.706	-3.095	-3.9965	-5.524	-2.305	-2.577	-2.594	-2.077	-2.882	-3.334	-3.538	-0.659	-1.794	0.023	-0.046	-0.173	-0.745	-1.39	-0.993	-1.095	-1.424
