	"59.alpha factor release sample013"	"598.29 deg growth"	"651.alpha factor release sample019"	"797.Heat Shock 000 minutes (series 3)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1012.YPD 12 h (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1097.alpha factor release sample020"	"1673.alpha factor release sample021"	"2966.WT vs Lpz8 null cells in high Cu-repeat"	"4872.1M sorbitol - 60 min"	"6344.DES460 + 0.02% MMS - 5 min"	"30773.Pomona/Brown Sir3x red"	"40950.H2O2_II_42_min"	"40951.H2O2_II_49_min"	"40956.H2O2_II_100_min"	"40958.H2O2_II_140_min"	"40960.H2O2_II_180_min"	"40965.MD_II_28_min"	"40971.MD_II_77_min"	"40973.MD_II_100_min"	"40975.MD_II_130_min"	"40976.MD_II_140_min"
"YKL081W"	0.491	0.223	0.446	0.724	-3.858	-3.184	-2.035	-2.096	-2.542	-3.137	-4.49	-5.155	-3.157	-3.837	-3.37	-3.635	-3.222	-3.654	-2.997	-2.811	-3.497	0.332	0.33	-0.035	-0.042	0.1445	0.208	0.985	0.674	0.347	0.535	1.086	1.007	-1.257	-1.45	-1.918	-0.449
"YKR084C"	0.138	-0.055	-0.15	0.191	-0.7	-0.719	-0.518	-0.631	-0.785	-1.131	-2.455	-3.0	-0.595	-0.683	-1.442	-0.679	-0.362	-0.256	-1.177	-2.183	-1.971	0.101	0.261	0.121	0.129	0.148	0.169	-0.62	-0.413	-0.329	0.14	-0.294	0.306	-0.727	-2.022	-1.202	-0.948
"YKR094C"	0.27	0.356	0.049	0.785	-3.138	-2.914	-2.619	-2.274	-1.978	-2.41	-2.464	-4.383	-2.333	-1.972	-2.7	-2.785	-1.746	-1.839	-1.792	-2.197	-2.387	-0.077	-0.226	0.255	0.016	0.221	-0.022	-1.036	-0.123	-0.592	-0.835	-0.15	-1.478	-1.729	-1.585	-1.499	-1.398
"YLL024C"	0.219	-0.092	0.215	-0.757	-1.952	-1.737	-2.005	-2.373	-1.683	-1.16	-2.574	-5.009	-1.923	-1.621	-1.443	-1.333	-0.684	-0.85	-2.804	-3.024	-3.122	0.395	0.455	0.677	-0.119	0.369	0.372	-0.228	0.203	-0.669	-0.246	-0.601	-0.526	-1.002	-2.029	-2.266	-1.68
"YLL044W"	0.195	0.218	-0.22	1.006	-4.871	-3.525	-3.158	-2.869	-2.211	-2.963	-3.79	-6.48	-3.031	-3.269	-2.156	-3.872	-2.654	-2.736	-2.724	-3.494	-3.967	0.148	0.287	0.289	-0.086	0.136	0.202	-1.636	-2.146	-0.987	-0.207	0.1	-0.054	-1.393	-0.803	-2.295	-1.53
"YLR060W"	0.071	-0.153	0.189	0.566	-3.165	-2.617	-2.047	-2.296	-2.499	-2.849	-4.941	-5.967	-1.988	-2.672	-2.566	-2.773	-2.397	-2.667	-3.118	-3.713	-4.371	-0.279	0.18	0.185	-0.212	0.076	0.239	-0.587	-0.017	-0.706	0.076	0.458	-0.211	-1.509	-1.777	-2.894	-1.071
"YLR061W"	-0.03	0.31	-0.041	0.696	-4.925	-4.297	-4.115	-3.603	-2.908	-3.127	-4.939	-6.591	-3.818	-3.021	-3.058	-4.326	-2.433	-2.88	-3.309	-3.833	-3.91	0.091	-0.108	0.189	0.078	0.465	0.031	-1.112	-1.222	-1.135	-0.26	-0.623	-0.26	-2.029	-1.564	-1.508	-2.199
"YLR153C"	0.1	-0.183	0.075	0.01	-1.873	0.159	0.55	-0.454	-0.867	-1.497	-4.481	-5.598	-1.394	-0.269	-0.671	-0.79	-1.29	-2.312	-3.578	-3.672	-3.394	-0.237	-0.316	0.092	-0.102	-0.215	0.258	-1.699	-0.996	0.074	-0.09	-0.076	-0.877	-1.629	-1.677	-2.655	-1.529
"YLR293C"	0.628	0.148	0.215	1.013	-3.594	-2.185	-2.087	-2.565	-2.207	-2.675	-3.488	-6.281	-1.751	-2.233	-2.661	-2.473	-1.45	-2.158	-2.379	-3.03	-3.186	0.639	0.515	-0.569	0.078	0.168	0.092	-0.834	-0.532	-0.253	0.288	-0.548	-0.096	-0.906	-1.028	-2.758	-1.731
"YLR339C"	0.396	0.259	-0.036	0.586	-3.243	-2.951	-2.69	-2.664	-3.285	-3.76	-4.988	-6.865	-3.194	-3.201	-2.938	-3.117	-2.647	-2.474	-2.461	-3.161	-3.973	0.476	0.498	0.342	-0.052	0.014	0.106	-0.994	-1.313	-0.004	0.885	0.382	-0.563	-2.892	-3.282	-1.044	-1.546
"YLR372W"	-0.556	0.25	0.346	0.965	-4.565	-3.104	-2.096	-2.432	-2.818	-3.001	-2.731	-4.512	-2.683	-2.643	2.656	-4.078	-2.838	-3.773	-2.844	-3.456	-3.544	-0.576	-0.341	0.024	-0.081	-0.066	0.133	-1.553	-1.72	-0.17	-0.948	-1.215	-0.412	-1.704	-2.496	-2.15	-3.309
"YLR378C"	-0.378	0.203	0.34	0.371	-1.053	-0.553	-0.434	-0.693	-0.989	-0.854	-1.61	-4.082	1.454	-1.361	-0.607	-0.505	-1.096	-1.191	-1.013	-1.826	-1.68	-0.515	-0.068	0.04	0.146	0.059	0.122	0.033	-0.315	0.789	0.163	-0.665	-0.642	0.331	-0.749	-1.531	0.526
"YLR388W"	0.231	0.456	0.077	0.956	-3.12	-2.544	-2.264	-1.926	-1.98	-1.738	-3.596	-5.506	-3.058	-2.742	-2.362	-4.025	-2.671	-2.555	-2.232	-2.581	-3.193	-0.053	0.353	0.512	0.202	0.371	0.076	-0.62	-1.207	-0.63	-0.189	0.154	-0.571	-1.367	-1.571	-0.76	-2.105
"YLR432W"	-0.079	0.166	-0.304	0.793	-2.58	-2.16	-2.424	-1.536	-1.818	-2.129	-3.532	-5.65	-2.49	-3.15	-3.001	-2.585	-1.997	-2.641	-1.934	-2.482	-3.034	-0.356	-0.068	0.278	0.228	0.104	0.244	-0.673	-1.106	0.181	0.635	-0.744	-1.039	-1.213	1.592	-2.184	-1.779
"YML056C"	NaN	0.378	NaN	1.131	-3.967	-3.497	-3.275	-3.12	-2.921	-3.786	-2.698	-5.251	-3.63	-2.67	-3.28	-2.774	-2.437	-2.674	-1.337	-2.566	-2.751	NaN	NaN	0.079	-0.123	0.221	0.38	-1.982	-2.557	-0.866	-0.398	-0.401	-0.834	-3.685	-2.885	-5.009	-3.48
"YML085C"	NaN	-0.118	NaN	0.386	-0.129	-1.29	-0.837	-0.889	-2.478	-1.372	-3.379	-4.526	-1.049	-2.04	-2.802	-0.121	-1.408	-1.564	-1.907	-2.298	-2.55	NaN	NaN	-0.143	0.135	0.027	0.26	-0.083	0.342	0.238	0.439	-0.185	-0.161	-0.834	-1.069	-1.348	-0.834
"YML106W"	0.041	0.425	0.148	0.733	-1.425	-0.881	-0.346	-0.774	-0.903	-0.968	-2.297	-3.649	-1.809	-2.071	-1.349	-1.366	-1.501	-1.583	-1.423	-1.467	-1.771	0.207	0.379	0.365	0.268	-0.024	0.074	0.261	0.583	0.39	-0.871	-0.391	-0.128	0.836	-0.249	-0.826	-1.122
"YMR033W"	NaN	0.058	NaN	0.628	-0.915	-1.816	-1.259	-1.084	-1.434	-1.22	-3.063	-4.454	-1.054	-1.514	-1.984	-1.647	-1.244	-1.469	-1.745	-1.826	-1.988	NaN	NaN	-0.036	-0.266	0.071	0.141	-0.946	-0.539	-1.027	-0.734	-0.014	-0.192	-1.206	-2.133	-1.291	-0.603
"YMR116C"	NaN	0.264	NaN	1.056	-3.012	-3.687	-4.292	-3.142	-3.089	-3.798	-4.551	-6.865	-3.905	-3.535	-3.312	-3.586	-2.851	-2.888	-2.906	-3.561	-4.003	NaN	NaN	0.314	-0.542	0.293	0.168	-1.988	-2.236	-0.788	-0.445	-0.966	-0.964	-2.439	-2.61	-3.117	-3.646
"YMR217W"	0.26	0.074	0.042	1.301	-5.293	-3.056	-3.049	-2.634	-2.518	-3.785	-4.735	-5.29	-2.869	-2.622	-2.591	-4.287	-3.341	-4.118	-3.713	-4.205	-4.469	0.017	0.07	-0.26	0.291	-0.132	0.2045	-1.192	-1.984	-0.475	-0.756	0.157	-0.65	-2.69	-3.536	-4.109	-2.568
"YMR243C"	-0.252	0.119	0.284	0.706	-0.874	-0.766	-0.628	-0.741	-1.071	-0.98	-1.258	-3.059	-1.149	-1.055	-1.29	NaN	NaN	-0.879	NaN	1.807	3.7	0.071	0.175	-0.1	0.334	-0.019	0.1755	-1.825	-1.488	-0.45	-0.612	-0.694	-0.509	-1.715	-2.508	-3.173	-1.88
"YMR260C"	0.322	0.272	-0.176	0.604	-3.404	-2.168	-2.559	-2.501	-2.112	-2.098	-2.549	-5.138	-2.22	-2.366	-2.167	-3.636	-1.968	-2.005	-1.338	-1.729	-2.229	0.025	0.284	0.223	0.124	0.323	0.1505	-0.256	-0.788	-0.629	0.459	-0.321	0.787	-1.095	-1.583	-1.368	-2.287
"YMR321C"	0.321	-0.008	0.106	0.793	-2.201	-2.459	-2.58	-2.138	-2.55	-2.298	-3.288	-3.811	-2.309	-2.22	-2.53	-2.252	-1.913	-2.8	-2.409	-2.567	-2.424	-0.094	0.282	0.108	-0.034	0.126	0.0335	-0.768	-0.863	-0.714	-0.825	-0.817	-1.245	-1.573	-1.614	-1.827	-1.736
"YNL009W"	-0.526	0.084	-0.524	-0.864	2.337	2.658	3.346	3.36	3.931	2.976	3.672	5.794	1.965	2.771	2.567	2.794	2.625	2.456	4.699	4.803	3.897	-0.523	-0.296	0.506	-0.046	-0.017	0.1525	NaN	0.434	-0.031	-0.163	0.527	0.193	1.164	0.856	-0.491	-2.089
"YNL044W"	-0.225	-0.0305	0.664	-0.349	-1.13	-0.394	0.5615	-0.894	0.356	-0.764	-3.124	-3.0545	-0.711	-1.731	-2.073	-0.9725	-1.661	-1.854	-1.698	-1.6715	-1.887	0.183	0.038	0.112	-0.1165	0.1	0.0155	-0.911	-1.042	-0.241	-0.5	-0.736	0.005	-1.255	-1.857	-0.94	-1.665
"YNL096C"	0.113	0.286	0.106	0.741	-4.113	-3.765	-3.642	-3.235	-2.81	-3.616	-4.038	-6.106	-3.045	-2.761	-3.165	-4.716	-2.776	-3.041	-3.644	-4.096	-4.68	-0.345	0.09	-0.248	-0.057	0.169	0.112	-2.047	-2.268	-1.387	-0.311	-0.38	-0.205	-1.519	-1.923	-2.607	-2.629
"YNL119W"	0.09	0.18	0.012	0.844	-6.697	-3.692	-2.694	-2.909	-2.2	-3.337	-5.354	-6.231	-3.366	-2.99	-2.998	-3.55	-1.955	-2.206	-2.822	-2.843	-3.318	-0.186	-0.123	-0.107	-0.324	0.044	0.129	-1.323	-1.879	-1.282	-0.452	-0.251	-0.474	-2.251	-2.147	-1.014	-2.961
"YNL123W"	0.285	-0.028	0.171	0.377	NaN	-3.908	-2.249	-3.75	-2.231	-2.448	-4.576	-4.562	-2.304	-3.944	-3.836	-2.133	-1.355	-1.381	-2.896	-2.858	1.907	0.009	0.049	-0.056	0.205	0.25	0.0785	-1.191	-0.856	-0.384	-0.478	0.301	0.115	-0.127	-0.843	-1.598	-0.989
"YNR043W"	0.362	-0.048	0.245	0.7105	-3.5005	-1.8155	-1.672	-1.574	-1.86	-2.628	-2.934	-5.1565	-1.9175	-1.949	-1.8335	-1.36	-2.078	-2.382	-2.655	-3.803	-3.856	0.156	0.186	-0.385	-0.264	0.057	0.113	-1.115	-1.046	-0.437	-0.122	-0.074	-1.019	-1.298	-1.206	-2.355	-1.211
"YOR312C"	-0.064	0.363	-0.189	0.9475	-3.8645	-3.381	-2.919	-2.263	-2.227	-2.2895	-3.3005	-4.8175	-3.177	-3.0	-2.5975	-4.638	-2.511	-2.402	-2.039	-1.569	-3.224	-0.28	-0.041	0.442	0.298	0.097	-0.008	-1.378	-1.235	-0.939	-0.233	-0.211	0.493	-0.856	-1.325	-1.405	-1.228
"YOR361C"	0.047	-0.069	-0.044	0.819333333333333	-1.94833333333333	-1.73166666666667	-1.46466666666667	-1.54333333333333	-1.84133333333333	-2.513	-2.869	-2.21	-0.816666666666667	-0.941666666666667	-2.198	-2.3735	-2.3155	-1.899	-2.266	-1.977	-2.109	0.005	0.138	-0.9775	0.099	0.012	0.242	-2.093	-1.827	-0.384	-0.708	-0.104	-0.851	-2.3	-3.5	-3.08	-2.631
"YOR369C"	0.42	0.43	-0.015	0.9225	-3.6225	-4.255	-3.641	-2.7865	-2.805	-3.7395	-3.724	-6.5475	-3.6415	-3.752	-3.809	-3.998	-2.858	-2.986	-2.456	-2.662	-3.502	0.228	0.301	-0.26	0.217	0.27	-0.123	-1.606	-1.677	-1.911	-0.614	-0.159	-0.92	-2.94	-2.802	-2.046	-2.533
"YPL104W"	-0.122	-0.142	0.026	-0.2865	0.457	-0.331	1.168	-1.6165	-3.819	0.937	-1.9905	-4.469	0.197	-0.362	-0.8125	1.178	-0.013	0.412	-1.199	-1.024	-1.499	NaN	-0.051	0.037	0.1	0.084	-0.008	-0.454	-0.503	0.691	0.516	0.07	0.379	1.192	-1.218	-1.015	-0.369
"YPL106C"	0.083	-0.081	0.496	-0.631	-1.99	-2.22	-1.448	-2.534	-2.197	-1.434	-2.219	-4.546	-0.874	-1.2915	-1.5195	-1.001	-0.731	-0.572	-3.281	-3.825	-4.33	-0.052	0.231	0.248	-0.432	0.208	0.162	-0.15	-0.814	0.354	-0.143	-0.268	-0.397	-0.17	-1.053	-1.598	-0.95
"YPL117C"	NaN	0.015	0.021	0.3145	-1.766	-0.954	-1.2025	-0.6955	-0.409	-0.9875	-1.2295	-3.918	-1.808	-1.164	-1.3845	-1.112	-0.468	-0.382	-0.054	-1.244	-1.431	-0.562	0.089	0.277	-0.429	0.355	0.187	-0.5	-0.504	-0.623	0.138	-0.355	0.311	-0.974	-1.176	-1.212	-1.315
"YPL142C"	0.129	0.5615	0.101	1.009	-3.1395	-2.973	-2.7515	-2.2525	-1.78	-1.891	-3.5865	-5.604	-3.3035	-2.8235	-2.16	-4.155	-2.303	-2.376	-2.148	-2.632	-2.979	-0.275	0.263	0.447	0.2	0.304	0.142	-1.636	-1.81	-1.505	-0.79	-0.055	-0.643	-0.994	-1.113	-1.618	-1.262
"YPL220W"	0.5	0.514	0.344	1.2	-3.389	-2.4215	-2.18	-2.214	-2.1715	-2.2495	-3.187	-6.1465	-3.442	-3.3935	-2.852	-3.51	-2.548	-2.639	-2.247	-2.571	-3.926	0.224	0.401	-0.03	0.081	0.236	0.216	-1.52	-2.098	-1.447	-0.152	-0.89	-0.974	-3.296	-3.677	-3.418	-3.8
"YPL273W"	0.317	0.116666666666667	0.076	0.938	-3.42133333333333	-2.60833333333333	-2.705	-2.59566666666667	-2.792	-2.96466666666667	-3.722	-5.69966666666667	-2.86466666666667	-2.69266666666667	-2.72566666666667	-2.8035	-2.4545	-3.2755	-2.794	-3.21	-3.3575	-0.3	0.074	0.2515	0.0235	0.168	0.282	-1.203	-0.72	-1.827	-1.458	-1.132	-1.251	-2.243	-2.057	-2.266	-3.347
"YPR033C"	0.239	-0.0965	0.059	0.5805	-2.7945	-1.8465	-1.291	-1.908	-2.534	-2.142	-4.8805	-7.94	-2.0735	-2.759	-2.6225	-2.203	-2.096	-2.55	-3.951	-4.382	-4.54	-0.259	0.056	0.312	0.015	0.242	0.327	-0.439	-0.824	0.068	-0.055	-0.012	-0.178	-0.963	-1.969	-1.134	-0.907
"YPR080W"	0.276	0.188	0.319	0.92	-2.0535	-1.906	-1.6575	-1.6075	-1.771	-2.584	-2.848	-5.6305	-2.144	-2.5835	-2.8585	-2.241	-1.197	-1.321	-1.689	-2.389	-3.139	0.213	0.181	-0.599	-0.11	0.408	0.212	-0.939	-0.649	0.306	0.288	0.009	-0.027	-1.021	-1.354	-1.489	-1.371
"YPR102C"	0.271	0.317	0.105	1.1555	-3.521	-3.2315	-3.2945	-3.3515	-2.7315	-2.6455	-4.045	-6.451	-4.118	-3.673	-3.277	-4.644	-2.723	-3.232	-3.352	-3.749	-4.692	0.323	0.506	0.389	0.219	0.435	0.117	-1.662	-2.56	-1.423	-1.743	-0.954	-1.278	-2.829	-3.252	-2.919	-2.66
"YPR118W"	0.418	0.0075	0.161	0.756	-2.848	-3.0	-2.0775	-2.4945	-2.706	-3.095	-3.9965	-5.524	-2.5375	-2.305	-2.577	-1.735	-2.594	-2.077	-2.882	-3.334	-3.538	0.233	0.757	-0.104	0.036	-0.027	0.177	-1.399	-0.745	-1.058	-0.639	-1.022	-1.807	-1.864	-3.694	-1.609	-2.679
"YPR119W"	-2.336	-0.007	1.106	0.39	-2.692	-2.3105	-1.0915	-1.6945	-4.2055	-1.976	-4.6155	-4.3695	-0.8395	-2.3625	-2.5025	-2.424	-2.207	-4.062	-3.433	-3.885	-3.308	1.678	1.553	-0.372	0.153	-0.096	0.084	-1.561	-1.438	-1.352	-0.457	-0.755	-0.731	-1.72	-2.787	-3.062	-2.607
"YPR130C"	-0.276	-0.1085	0.131	0.2575	-1.0855	-1.179	-1.1085	-1.479	-1.1655	-0.95	-2.0245	-6.9395	-1.0895	-0.99	-1.0095	-0.602	-0.791	-1.108	-0.901	-1.113	-0.585	-0.07	0.249	-0.108	-0.21	-0.031	0.141	-0.384	-0.127	-0.25	0.16	-0.021	0.156	-1.735	-1.703	-0.545	-1.892
"YPR132W"	0.123	0.472	-0.069	0.901	-2.849	-3.586	-3.351	-1.806	-2.6445	-2.672	-3.1925	-5.805	-3.048	-2.967	-2.8485	-3.788	-2.214	-2.292	-1.968	-2.388	-3.151	-0.136	0.218	-0.208	0.125	0.215	0.031	-1.908	-1.788	-1.349	-0.822	-0.9	-0.475	-2.308	-3.922	-1.826	-2.438
"YPR163C"	-0.136	0.2055	-0.015	1.063	-3.6815	-2.265	-2.266	-1.717	-1.8375	-0.93	-2.9485	-5.4905	-2.469	-2.6395	-2.0525	-3.136	-2.05	-2.325	-2.642	-2.895	-2.82	-0.233	0.119	0.274	-0.06	-0.192	0.195	-1.346	-2.361	-1.122	0.159	-0.212	-0.525	-1.833	-2.167	-2.195	-2.771
