	"854.YPD_6_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"1012.YPD 12 h (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1107.alpha factor release sample025"	"2556.Hypo-osmotic shock - 45 minutes"	"2557.Hypo-osmotic shock - 60 minutes"	"6344.DES460 + 0.02% MMS - 5 min"	"8287.mcm1-1 + pRS315 vs. mcm1-1 + pRS-MCM7"	"16338.DES460 vs. DES460 YPD log phase control"	"40951.H2O2_II_49_min"	"40952.H2O2_II_56_min"	"40954.H2O2_II_70_min"	"40959.H2O2_II_160_min"	"40967.MD_II_42_min"	"40970.MD_II_63_min"	"40972.MD_II_85_min"	"40976.MD_II_140_min"
"YNL062C"	-4.157	-2.256	-1.556	-2.835	-3.07	-6.263	-2.304	-2.254	-2.028	-1.717	-2.639	-2.206	0.077	0.399	0.156	-0.016	-0.033	-0.275	-0.878	-0.744	-1.644	-1.063	-0.887	-0.466	0.34	-0.575
"YNL069C"	-3.663	-1.993	-1.978	-2.285	-4.006	-4.824	-3.44	-3.85	-4.269	-2.107	-2.509	-3.665	0.175	0.434	0.398	-1.1	0.584	0.312	-1.19	-2.126	-1.27	0.533	0.275	-1.255	-0.867	-1.291
"YNL071W"	-0.4845	-0.415	-0.7005	-0.836	-1.795	-4.774	-0.5975	-0.634	0.282	-0.226	-0.635	-0.594	0.1335	0.048	0.056	0.073	-0.084	-0.107	1.2905	1.4405	1.692	0.468	1.1435	1.0035	1.735	0.95
"YNL096C"	-4.113	-3.235	-2.81	-3.616	-4.038	-6.106	-3.331	-3.045	-4.716	-3.644	-4.096	-4.68	0.182	0.381	0.323	0.169	0.421	0.272	-2.268	-2.714	-0.807	0.184	-0.858	-0.66	-2.159	-2.629
"YNL130C"	-1.538	0.59	-1.04	-1.728	-1.94	-2.872	-1.169	-1.353	-0.118	-0.934	-1.411	-1.614	0.0	-0.39	-0.12	0.122	0.443	0.123	0.823	0.023	0.531	0.355	-0.134	0.162	0.168	-0.416
"YNL132W"	-5.826	-3.25	-2.572	-3.653	-4.956	-6.392	-3.285	-3.141	-4.353	-3.396	-4.377	-4.049	-0.072	0.569	0.308	-0.156	0.103	0.001	-2.677	-2.128	-1.989	-0.388	-1.432	-1.79	-1.073	-1.343
"YNL162W"	-3.953	-2.838	-2.175	-2.163	-2.858	-6.425	-2.86	-2.872	-3.999	-1.742	-2.487	-3.468	0.065	0.234	0.234	0.3	0.393	0.231	-2.052	-2.624	-3.014	-1.007	-0.95	-1.59	-2.521	-1.637
"YOL040C"	-0.886	-1.998	-0.3965	-0.1425	-3.032	-6.413	-3.385	-0.756	-3.938	-2.028	-2.837	-3.657	0.249	0.428	0.379	0.487	0.138	-0.347	-1.501	-1.869	-1.05	0.208	0.117	-1.348	-0.822	-0.905
"YOR224C"	-2.895	-1.8585	-2.2005	-2.081	-3.348	-4.849	-2.254	-2.252	-2.185	-2.099	-2.615	-2.202	-0.12	0.292	0.201	0.083	0.156	-0.757	-1.534	-1.107	-0.839	-0.313	-1.842	-0.585	0.676	0.053
"YOR293W"	-4.155	-2.996	-2.4345	-2.697	-2.7875	-4.496	-3.442	-3.1085	-4.233	-1.856	-2.041	-3.118	0.213	0.374	0.523	0.191	0.516	0.271	-1.94	-2.096	-2.674	-1.16	-0.251	-1.996	-1.969	-2.251
"YOR312C"	-3.8645	-2.263	-2.227	-2.2895	-3.3005	-4.8175	-2.99	-3.177	-4.638	-2.039	-1.569	-3.224	-0.004	0.589	0.525	0.097	0.536	0.576	-1.235	-1.352	-1.498	-0.464	-0.101	-1.705	-0.926	-1.228
"YPL048W"	-1.568	-0.9805	-1.6885	-1.898	-3.2175	-4.579	-1.1285	-1.2575	-0.653	-1.535	-1.925	-2.183	0.123	0.306	0.215	-0.059	0.099	-0.353	0.666	0.93	0.391	0.482	1.038	0.218	-0.253	0.272
"YPL081W"	-4.5065	-3.083	-2.508	-3.086	-3.4025	-6.801	-2.5355	-2.916	-4.022	-2.789	-2.909	-3.725	0.068	0.584	0.656	0.171	0.463	0.082	-1.508	-1.652	-2.429	-0.21	-1.018	0.242	-0.99	-2.175
"YPL142C"	-3.1395	-2.2525	-1.78	-1.891	-3.5865	-5.604	-2.825	-3.3035	-4.155	-2.148	-2.632	-2.979	0.143	0.689	0.686	0.304	0.238	-0.203	-1.81	-2.248	-2.396	-0.732	-1.18	-1.475	-1.95	-1.262
"YPL160W"	-3.26033333333333	-1.608	-1.47166666666667	-2.13233333333333	-3.08233333333333	-5.284	-2.22666666666667	-2.35066666666667	-4.0365	-3.1695	-3.499	-2.977	-0.0355	0.7685	0.5555	0.0565	0.015	-0.287	-1.0145	-1.866	-2.4765	-0.426	-0.5935	-1.452	-1.8265	-0.7745
"YPL198W"	-4.269	-2.46	-2.218	-2.395	-4.3605	-6.879	-3.4825	-3.3185	-3.875	-2.487	NaN	-3.133	0.119	0.489	0.598	0.079	0.477	0.213	-1.619	-1.531	-1.5	0.12	0.741	0.347	-0.06	-0.786
"YPL226W"	-4.86566666666667	-2.407	-1.80333333333333	-2.21533333333333	-3.95033333333333	-5.67966666666667	-3.37333333333333	-2.503	-4.0095	-3.407	-2.9025	-3.983	0.1885	0.667	0.5305	0.0465	0.402	-0.057	-2.5635	-2.1345	-1.6895	-0.968	-1.627	-1.972	-1.733	-2.153
"YPR060C"	-3.5465	-3.075	-3.446	-3.377	-2.069	-3.801	-1.7345	-1.7935	-2.71	-2.107	-3.352	-2.894	0.189	0.044	-0.079	0.102	-0.008	0.37	-1.538	-1.816	-1.275	-1.105	-1.484	1.471	-0.985	-1.211
"YPR102C"	-3.521	-3.3515	-2.7315	-2.6455	-4.045	-6.451	-3.5055	-4.118	-4.644	-3.352	-3.749	-4.692	0.174	0.43	0.413	0.435	0.402	0.125	-2.56	-3.07	-2.274	-0.608	-1.827	-2.08	-1.791	-2.66
